gid	gname	chr	start	end	logCPM	logFC.XY46.XX46
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	0.474489076	-4.73466241
TRINITY_DN100932_c0_g1_i1	NA	NA	NA	NA	0.892510662	1.133200092
TRINITY_DN100986_c0_g2_i2	NA	NA	NA	NA	0.103711078	0.4384811
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	4.088741	0.599022444
TRINITY_DN101035_c0_g3_i1	NA	NA	NA	NA	0.448789219	-0.550301808
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	3.163248434	-1.611944782
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	2.848251499	-2.686553236
TRINITY_DN101072_c0_g2_i2	hdgf	Chr08	110018458	110018458	6.886359301	-11.48717789
TRINITY_DN101074_c0_g1_i1	NA	NA	NA	NA	0.275524631	0.09206768
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	3.426268406	-1.461381506
TRINITY_DN101111_c0_g1_i2	skap2	Chr06	33087585	33087585	1.952885871	-1.903766797
TRINITY_DN101150_c0_g1_i1	Xetrov90000522m	Chr01	20771304	20771304	3.745158764	0.219985225
TRINITY_DN101150_c0_g2_i1	NA	NA	NA	NA	2.031418193	-0.637026738
TRINITY_DN101180_c0_g1_i1	NA	NA	NA	NA	0.280030601	0.617916284
TRINITY_DN101193_c0_g1_i1	NA	NA	NA	NA	2.621174853	0.000641765
TRINITY_DN101232_c0_g1_i1	NA	NA	NA	NA	2.438917257	0.25964939
TRINITY_DN101244_c0_g1_i1	slc39a9	Chr08	89577681	89577681	1.447068424	-0.654069035
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	1.609080221	0.13692507
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	1.26598091	0.16362414
TRINITY_DN101325_c0_g1_i1	NA	NA	NA	NA	0.922663031	0.827806921
TRINITY_DN101325_c0_g2_i1	NA	NA	NA	NA	1.784984675	1.516921826
TRINITY_DN101326_c0_g1_i1	NA	NA	NA	NA	1.664739784	0.436817786
TRINITY_DN101332_c0_g1_i1	NA	NA	NA	NA	3.578266358	0.747014211
TRINITY_DN101356_c0_g1_i1	NA	NA	NA	NA	2.480192623	-2.359130221
TRINITY_DN101361_c0_g1_i2	mrpl22	Chr03	10915763	10915763	3.803215641	0.419548547
TRINITY_DN101365_c0_g1_i1	NA	NA	NA	NA	0.40207242	-0.056470902
TRINITY_DN101409_c0_g1_i1	NA	NA	NA	NA	0.772436857	0.646070436
TRINITY_DN101432_c0_g2_i1	gfra1	Chr07	541836	541836	0.588945072	0.800067915
TRINITY_DN101437_c0_g1_i1	NA	NA	NA	NA	4.86657535	-0.861786076
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	5.323810964	-1.617057321
TRINITY_DN101472_c0_g1_i1	NA	NA	NA	NA	1.188052998	-0.928915774
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	2.378479744	0.833869846
TRINITY_DN101481_c0_g1_i2	NA	NA	NA	NA	0.015401383	-0.461596747
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	5.309489542	-0.273144125
TRINITY_DN101537_c1_g1_i2	NA	NA	NA	NA	0.988578764	-0.069940385
TRINITY_DN101542_c0_g1_i1	uprt-like	Chr08	26339534	26339534	6.413902321	-0.788856374
TRINITY_DN101558_c0_g1_i1	NA	NA	NA	NA	1.506267474	0.172598245
TRINITY_DN101570_c0_g1_i1	zc3h14-like	Chr08	64919870	64919870	1.795001532	0.276301657
TRINITY_DN101610_c0_g2_i1	NA	NA	NA	NA	8.241192665	0.665159946
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	6.181812278	1.109236347
TRINITY_DN101738_c0_g2_i1	NA	NA	NA	NA	0.217530014	0.574025223
TRINITY_DN101739_c1_g1_i2	cfi	Chr01	59181768	59181768	1.955688876	0.572570985
TRINITY_DN101751_c0_g1_i1	NA	NA	NA	NA	3.574996648	-3.004701222
TRINITY_DN101758_c0_g1_i1	NA	NA	NA	NA	5.936390615	0.225855624
TRINITY_DN101809_c0_g1_i2	sh2b2	Chr02	41888815	41888815	3.128113301	0.803252576
TRINITY_DN101813_c0_g1_i1	ttc22	Chr04	87529624	87529624	2.285188467	0.010556504
TRINITY_DN101821_c0_g1_i1	NA	NA	NA	NA	2.211533577	0.233725162
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	5.593575841	-0.933560766
TRINITY_DN101867_c0_g1_i1	LOC101731469	scaffold_1895	10754	10754	0.499914957	-0.368292925
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	1.631688818	0.501276497
TRINITY_DN101897_c0_g1_i1	ehd2	Chr08	58578040	58578040	1.65750339	0.17468014
TRINITY_DN101901_c0_g1_i2	NA	NA	NA	NA	1.189071678	0.719681109
TRINITY_DN101903_c0_g1_i1	pfn2	Chr05	115233446	115233446	4.532066478	-0.593372178
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	4.315949299	-0.66319214
TRINITY_DN101924_c0_g1_i2	NA	NA	NA	NA	0.620264528	0.632092154
TRINITY_DN101945_c0_g2_i1	NA	NA	NA	NA	0.55982804	2.487069815
TRINITY_DN101949_c0_g1_i1	NA	NA	NA	NA	0.672809133	-0.305918136
TRINITY_DN101950_c0_g1_i1	anapc5	Chr01	153780797	153780797	2.47271804	0.203754181
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	1.003449505	-0.579339572
TRINITY_DN101966_c0_g1_i1	NA	NA	NA	NA	0.502890721	1.085586292
TRINITY_DN101967_c0_g1_i4	NA	NA	NA	NA	1.128812095	0.201037653
TRINITY_DN101983_c0_g1_i1	NA	NA	NA	NA	0.122683593	1.729019034
TRINITY_DN101988_c0_g1_i1	NA	NA	NA	NA	5.36512152	0.210586112
TRINITY_DN102000_c0_g1_i1	LOC100486967	scaffold_39	1322889	1322889	1.088862619	-0.56415183
TRINITY_DN102010_c0_g1_i1	c19orf12	Chr04	23317962	23317962	4.176380512	0.463517739
TRINITY_DN102010_c0_g3_i1	mchr1.1	Chr09	12526497	12526497	1.670639067	0.539519377
TRINITY_DN102016_c0_g1_i1	NA	NA	NA	NA	5.467133202	-1.046272184
TRINITY_DN10201_c0_g1_i1	senp8	Chr03	82450240	82450240	3.365430667	-4.275431453
TRINITY_DN102026_c0_g1_i2	inmt	Chr07	73890622	73890622	1.717627003	0.961032631
TRINITY_DN102065_c0_g1_i1	LOC101733140	Chr04	14965134	14965134	6.108347516	-2.156195295
TRINITY_DN102067_c0_g2_i1	tat	Chr04	63536360	63536360	4.160479022	0.482143627
TRINITY_DN102070_c0_g3_i2	NA	NA	NA	NA	6.463677116	-0.724772927
TRINITY_DN102078_c0_g1_i1	naf1	Chr01	42692844	42692844	5.511987416	-1.099192848
TRINITY_DN102078_c0_g2_i1	dusp5	scaffold_401	102144	102144	4.223379954	-0.685178744
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	3.808073596	0.261748905
TRINITY_DN102094_c0_g1_i1	NA	NA	NA	NA	0.701398511	-0.30861386
TRINITY_DN102094_c0_g3_i1	NA	NA	NA	NA	1.726699505	0.282052929
TRINITY_DN102104_c0_g1_i1	NA	NA	NA	NA	3.242870769	0.58672377
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	1.20413401	0.562355604
TRINITY_DN102142_c0_g1_i1	NA	NA	NA	NA	1.004319224	0.035810799
TRINITY_DN102158_c0_g1_i1	NA	NA	NA	NA	4.383467398	-0.49552773
TRINITY_DN102159_c0_g1_i2	NA	NA	NA	NA	7.471250959	0.58992895
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	5.004613167	-0.798853445
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	5.80363162	-0.62020288
TRINITY_DN102186_c0_g1_i2	NA	NA	NA	NA	7.745279558	0.755802532
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	2.238698038	0.468847739
TRINITY_DN102193_c0_g2_i1	NA	NA	NA	NA	3.002895602	0.098034292
TRINITY_DN102201_c0_g1_i1	NA	NA	NA	NA	0.779714322	-0.733693082
TRINITY_DN102218_c0_g1_i1	NA	NA	NA	NA	0.478720547	0.179339737
TRINITY_DN102252_c0_g2_i1	NA	NA	NA	NA	3.603883618	0.388650951
TRINITY_DN102255_c0_g2_i1	NA	NA	NA	NA	1.684323462	-0.303683754
TRINITY_DN102262_c0_g1_i1	erbb2	Chr10	2913053	2913053	0.264508882	0.652721092
TRINITY_DN102272_c0_g1_i1	NA	NA	NA	NA	4.074535052	-1.473375874
TRINITY_DN102276_c0_g1_i1	NA	NA	NA	NA	3.688987573	0.452026785
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	5.420924378	-0.025596801
TRINITY_DN102279_c0_g2_i1	tril	Chr06	31926898	31926898	4.607857004	-0.28997551
TRINITY_DN102288_c0_g1_i1	triobp	Chr04	112208425	112208425	2.160596771	-0.558424958
TRINITY_DN102300_c0_g1_i1	LOC101732180	Chr03	135536298	135536298	1.585370588	0.547069128
TRINITY_DN102302_c0_g2_i1	NA	NA	NA	NA	0.141710555	0.55252036
TRINITY_DN102312_c0_g1_i1	mnat1	Chr08	82013879	82013879	5.762620026	-0.097275255
TRINITY_DN102323_c0_g1_i1	echdc3-like	Chr03	72869909	72869909	0.127654478	0.817611216
TRINITY_DN102326_c0_g3_i1	NA	NA	NA	NA	2.264377593	0.521487828
TRINITY_DN102326_c0_g6_i1	NA	NA	NA	NA	0.495874713	-0.009762695
TRINITY_DN102362_c0_g1_i1	NA	NA	NA	NA	5.295535571	-1.08623556
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	4.170125597	-2.968329919
TRINITY_DN102367_c0_g1_i2	NA	NA	NA	NA	0.898547198	1.106013223
TRINITY_DN102383_c0_g1_i1	NA	NA	NA	NA	2.52260086	0.821612805
TRINITY_DN102386_c0_g1_i3	NA	NA	NA	NA	1.140324316	1.152863023
TRINITY_DN102393_c0_g1_i1	NA	NA	NA	NA	3.813295037	0.188561578
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	4.823517353	-0.695102521
TRINITY_DN102407_c0_g1_i1	NA	NA	NA	NA	1.349365821	-0.599112241
TRINITY_DN102409_c0_g1_i1	rem1	scaffold_2533	2137	2137	0.707822664	-3.884454614
TRINITY_DN102412_c0_g1_i1	NA	NA	NA	NA	0.876485628	-2.48481871
TRINITY_DN102425_c0_g1_i1	NA	NA	NA	NA	0.634590323	0.734570381
TRINITY_DN102429_c0_g1_i2	NA	NA	NA	NA	1.34803267	0.841496472
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	5.354731398	-1.803984961
TRINITY_DN102449_c0_g1_i1	NA	NA	NA	NA	2.357147558	0.645033205
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	4.501022231	-0.174624496
TRINITY_DN102456_c0_g1_i1	NA	NA	NA	NA	2.816615079	0.247479423
TRINITY_DN102459_c0_g1_i1	NA	NA	NA	NA	1.240546155	1.190080261
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	1.441329203	0.629973398
TRINITY_DN102489_c0_g2_i1	gnai3	Chr02	63269417	63269417	1.019457152	2.375879289
TRINITY_DN102489_c0_g3_i1	NA	NA	NA	NA	2.610522951	0.544843803
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	5.532706474	-0.014397321
TRINITY_DN102496_c0_g1_i1	LOC100485641	Chr02	135882898	135882898	7.528795823	-0.674185049
TRINITY_DN102496_c0_g2_i1	NA	NA	NA	NA	0.776674656	0.50387689
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	2.940372168	-0.053373453
TRINITY_DN102529_c0_g1_i1	NA	NA	NA	NA	0.042228954	-0.029818825
TRINITY_DN102531_c0_g1_i1	NA	NA	NA	NA	0.466879245	0.610088937
TRINITY_DN102539_c0_g1_i1	NA	NA	NA	NA	5.524857239	-0.040765932
TRINITY_DN102559_c0_g2_i1	NA	NA	NA	NA	3.774431396	-2.510943909
TRINITY_DN102578_c0_g1_i1	NA	NA	NA	NA	1.528511363	0.350846742
TRINITY_DN102579_c0_g1_i1	ttpa	Chr06	102990382	102990382	3.044359502	1.225781589
TRINITY_DN102581_c0_g1_i2	NA	NA	NA	NA	1.41200593	-5.202101884
TRINITY_DN102584_c0_g1_i1	NA	NA	NA	NA	0.56294212	0.270510164
TRINITY_DN102595_c0_g1_i2	slc25a10	Chr10	19666060	19666060	2.067113816	0.419113155
TRINITY_DN102616_c0_g1_i1	NA	NA	NA	NA	1.272544414	0.668185436
TRINITY_DN102628_c0_g1_i1	NA	NA	NA	NA	3.114514838	-6.942247868
TRINITY_DN102643_c0_g1_i1	NA	NA	NA	NA	0.213669389	-0.975686692
TRINITY_DN102661_c0_g1_i1	NA	NA	NA	NA	1.246519307	0.022299709
TRINITY_DN102667_c0_g1_i1	NA	NA	NA	NA	4.656507579	-0.245607387
TRINITY_DN102702_c0_g1_i1	NA	NA	NA	NA	4.040897234	-2.263597308
TRINITY_DN102760_c0_g1_i1	NA	NA	NA	NA	0.122134224	0.094802458
TRINITY_DN102865_c0_g1_i2	NA	NA	NA	NA	4.728535837	0.251147048
TRINITY_DN102894_c0_g1_i2	NA	NA	NA	NA	5.998675446	-14.88551524
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	5.700771851	-11.94937372
TRINITY_DN102903_c0_g1_i1	NA	NA	NA	NA	0.44896269	0.017679119
TRINITY_DN102912_c0_g1_i1	NA	NA	NA	NA	0.173685965	0.889501867
TRINITY_DN102914_c0_g1_i1	Xetrov90008836m	Chr03	95586053	95586053	1.555681281	0.696853121
TRINITY_DN102923_c0_g1_i1	NA	NA	NA	NA	0.66459817	0.340496333
TRINITY_DN102938_c0_g1_i1	NA	NA	NA	NA	1.032299493	-0.007088809
TRINITY_DN102989_c0_g1_i1	NA	NA	NA	NA	0.391984016	-0.055057767
TRINITY_DN103024_c0_g1_i2	NA	NA	NA	NA	1.186102658	0.440537599
TRINITY_DN103037_c0_g1_i1	Xetrov90001259m	Chr01	70178425	70178425	0.885065423	-1.093171083
TRINITY_DN103037_c0_g2_i1	NA	NA	NA	NA	3.315464633	-0.865376418
TRINITY_DN103049_c0_g4_i1	orc3	Chr05	87042358	87042358	4.646089451	0.683439579
TRINITY_DN103059_c0_g1_i1	NA	NA	NA	NA	6.752741454	0.379564975
TRINITY_DN103065_c0_g1_i1	NA	NA	NA	NA	2.206357523	0.464265723
TRINITY_DN103086_c1_g1_i1	NA	NA	NA	NA	0.111933359	1.928638256
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	5.826557608	-0.038065352
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	2.192993299	0.421735541
TRINITY_DN103157_c0_g1_i2	lhx9	Chr04	101172999	101172999	2.050804879	0.28317655
TRINITY_DN103173_c1_g1_i1	NA	NA	NA	NA	0.599664618	0.07507515
TRINITY_DN103187_c0_g1_i2	NA	NA	NA	NA	0.315375911	0.848056394
TRINITY_DN103192_c0_g1_i1	NA	NA	NA	NA	2.278658058	0.098693179
TRINITY_DN103196_c0_g1_i2	NA	NA	NA	NA	4.180386248	-0.831793211
TRINITY_DN103199_c0_g1_i1	NA	NA	NA	NA	1.175488797	0.695260461
TRINITY_DN103200_c0_g1_i1	NA	NA	NA	NA	2.771743673	0.621005978
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	5.712468587	-0.286978962
TRINITY_DN103214_c0_g1_i1	NA	NA	NA	NA	1.360473222	1.217202381
TRINITY_DN103227_c0_g1_i1	NA	NA	NA	NA	0.021685638	0.460891452
TRINITY_DN103236_c0_g2_i1	NA	NA	NA	NA	3.055355912	-0.118150212
TRINITY_DN103267_c0_g1_i1	NA	NA	NA	NA	1.070374783	-0.467307495
TRINITY_DN103270_c0_g1_i1	NA	NA	NA	NA	0.694825416	1.255373843
TRINITY_DN103284_c0_g1_i2	rnf207	Chr07	90525912	90525912	0.160523969	1.958950458
TRINITY_DN103287_c0_g1_i1	NA	NA	NA	NA	6.511235429	0.675123222
TRINITY_DN103303_c0_g1_i2	NA	NA	NA	NA	1.392174219	0.308679707
TRINITY_DN103334_c0_g1_i1	Xetrov90019068m	Chr07	98211599	98211599	2.69658441	0.521478314
TRINITY_DN103350_c0_g1_i2	ndp	Chr02	69274584	69274584	0.64335002	0.120617853
TRINITY_DN103468_c0_g1_i2	hspa13	Chr02	22412658	22412658	2.889332934	0.137479392
TRINITY_DN103496_c0_g1_i1	NA	NA	NA	NA	0.30450026	0.071686535
TRINITY_DN103500_c0_g1_i1	NA	NA	NA	NA	4.156680145	-1.203849282
TRINITY_DN103501_c0_g1_i1	NA	NA	NA	NA	0.311050464	0.312617185
TRINITY_DN103502_c0_g1_i1	NA	NA	NA	NA	7.089024913	0.218547625
TRINITY_DN103509_c0_g1_i1	NA	NA	NA	NA	2.610510401	-0.060005155
TRINITY_DN103511_c0_g1_i2	NA	NA	NA	NA	0.162975202	-0.193610704
TRINITY_DN103523_c0_g1_i1	NA	NA	NA	NA	6.539732028	0.811614044
TRINITY_DN103526_c0_g1_i1	NA	NA	NA	NA	1.917806424	-2.409666638
TRINITY_DN103527_c0_g1_i1	b9d1	Chr09	12492498	12492498	1.513207574	0.718618054
TRINITY_DN103537_c0_g1_i1	NA	NA	NA	NA	2.727330605	-1.951589137
TRINITY_DN103537_c0_g2_i1	NA	NA	NA	NA	2.599249798	-0.616836482
TRINITY_DN103542_c0_g2_i1	atp9b	Chr06	28091200	28091200	1.655677551	-0.313533305
TRINITY_DN103544_c0_g1_i2	NA	NA	NA	NA	0.282142909	1.60550471
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	7.183488884	-1.371772163
TRINITY_DN103557_c0_g2_i2	NA	NA	NA	NA	5.41429887	-1.152357093
TRINITY_DN103557_c0_g3_i1	c12orf49	Chr01	156092901	156092901	1.804716418	1.026647719
TRINITY_DN103558_c0_g1_i1	NA	NA	NA	NA	3.609325741	0.721173903
TRINITY_DN103565_c0_g1_i1	NA	NA	NA	NA	3.743330553	-1.729409902
TRINITY_DN103565_c0_g4_i1	NA	NA	NA	NA	0.037618565	-5.01153916
TRINITY_DN103567_c0_g1_i1	enpep	Chr01	58901065	58901065	6.920533486	-0.390671666
TRINITY_DN103584_c0_g2_i1	NA	NA	NA	NA	0.730646237	0.679803721
TRINITY_DN103615_c0_g1_i1	lpcat2	Chr04	45407656	45407656	6.648179523	0.031324057
TRINITY_DN103621_c0_g1_i2	NA	NA	NA	NA	3.77826955	-3.807957397
TRINITY_DN103622_c0_g3_i3	dhx15	Chr01	21109905	21109905	4.435799414	-3.268973096
TRINITY_DN103624_c0_g1_i1	NA	NA	NA	NA	0.825296445	0.34056271
TRINITY_DN103630_c0_g1_i1	crhr1.2	Chr10	7968259	7968259	5.708700277	0.027701722
TRINITY_DN103631_c0_g1_i1	NA	NA	NA	NA	1.879219454	0.616093269
TRINITY_DN103637_c0_g1_i1	NA	NA	NA	NA	3.165584784	-3.259103652
TRINITY_DN103637_c0_g2_i1	NA	NA	NA	NA	5.157001326	-14.0437609
TRINITY_DN103645_c0_g1_i1	NA	NA	NA	NA	0.078990877	0.884611656
TRINITY_DN103653_c0_g1_i1	NA	NA	NA	NA	1.566383364	-1.734627143
TRINITY_DN103658_c0_g1_i1	usp14	Chr06	93237936	93237936	6.401955631	-0.277156311
TRINITY_DN103662_c0_g1_i1	NA	NA	NA	NA	2.57831739	0.214494571
TRINITY_DN103664_c1_g1_i1	NA	NA	NA	NA	2.607743506	0.363911832
TRINITY_DN103677_c1_g1_i1	NA	NA	NA	NA	0.400340294	0.814948792
TRINITY_DN103680_c0_g1_i1	NA	NA	NA	NA	0.229455187	0.579733162
TRINITY_DN103688_c0_g1_i1	NA	NA	NA	NA	0.648824976	0.718797801
TRINITY_DN103690_c0_g1_i1	LOC100490554	Chr10	1786296	1786296	0.858548051	1.04159608
TRINITY_DN103698_c0_g1_i1	spaca5-like.2	Chr10	10577050	10577050	1.000782566	2.508684921
TRINITY_DN103706_c0_g3_i1	LOC100145345	Chr05	122157289	122157289	1.792356983	0.58835091
TRINITY_DN103714_c0_g1_i2	LOC100488634	Chr08	8553337	8553337	7.61716888	-0.365507343
TRINITY_DN103720_c0_g1_i2	irf2bpl	Chr08	61460014	61460014	2.286502757	-0.417413516
TRINITY_DN103727_c0_g1_i1	zfand2a	Chr09	23327276	23327276	1.183951032	-0.203690431
TRINITY_DN103733_c0_g2_i1	NA	NA	NA	NA	6.010076782	-0.271322809
TRINITY_DN103741_c0_g1_i2	NA	NA	NA	NA	3.36795765	-3.891943868
TRINITY_DN103744_c0_g1_i2	NA	NA	NA	NA	8.307318732	-1.058121347
TRINITY_DN103769_c0_g1_i1	NA	NA	NA	NA	6.247392094	0.41128811
TRINITY_DN103781_c0_g2_i1	NA	NA	NA	NA	0.488718195	-1.113631537
TRINITY_DN103783_c0_g1_i1	NA	NA	NA	NA	3.997661486	-1.131018074
TRINITY_DN103787_c0_g1_i1	NA	NA	NA	NA	0.934378212	0.669124878
TRINITY_DN103795_c0_g1_i3	hddc2-like	Chr05	48536852	48536852	3.460373208	0.975105078
TRINITY_DN103797_c0_g1_i1	utp6	scaffold_463	85996	85996	2.226460278	0.021185211
TRINITY_DN103798_c0_g1_i1	ercc3	scaffold_33	1195941	1195941	6.865112502	-13.09839422
TRINITY_DN103802_c0_g1_i1	NA	NA	NA	NA	1.320034014	0.199648911
TRINITY_DN103812_c0_g1_i2	NA	NA	NA	NA	6.418799074	-1.644247088
TRINITY_DN103813_c0_g1_i1	NA	NA	NA	NA	2.886856478	0.113134126
TRINITY_DN103830_c0_g1_i1	NA	NA	NA	NA	1.12611997	0.34964956
TRINITY_DN103832_c0_g1_i1	NA	NA	NA	NA	2.401708546	0.456982109
TRINITY_DN103833_c0_g1_i1	NA	NA	NA	NA	4.111614906	0.02324198
TRINITY_DN103834_c0_g11_i1	NA	NA	NA	NA	1.243534871	-0.13465997
TRINITY_DN103834_c0_g12_i1	NA	NA	NA	NA	1.51537941	-3.476691747
TRINITY_DN103834_c0_g13_i1	fam3a	Chr08	8052968	8052968	1.856447756	-0.497588057
TRINITY_DN103834_c0_g2_i1	NA	NA	NA	NA	0.41555718	0.574399929
TRINITY_DN103834_c0_g3_i1	NA	NA	NA	NA	1.32039833	-1.902529033
TRINITY_DN103834_c0_g4_i1	NA	NA	NA	NA	0.954605579	-2.316146517
TRINITY_DN103834_c0_g5_i1	NA	NA	NA	NA	0.081085929	1.116979265
TRINITY_DN103834_c0_g6_i1	NA	NA	NA	NA	0.735422089	-1.351052694
TRINITY_DN103834_c0_g7_i1	NA	NA	NA	NA	2.454826672	-1.024511394
TRINITY_DN103834_c0_g9_i1	NA	NA	NA	NA	3.884372493	-2.071580799
TRINITY_DN103838_c0_g1_i1	NA	NA	NA	NA	6.564025243	-6.646268876
TRINITY_DN103851_c0_g1_i1	LOC100144969	Chr08	50177389	50177389	2.208017138	0.145076747
TRINITY_DN103855_c0_g1_i1	NA	NA	NA	NA	3.097142769	0.616818312
TRINITY_DN103859_c0_g1_i1	NA	NA	NA	NA	1.268874701	-0.607139694
TRINITY_DN103860_c0_g1_i1	NA	NA	NA	NA	4.252353958	-3.103173561
TRINITY_DN103880_c0_g1_i1	capn1-like.1	Chr04	35495275	35495275	0.35994849	-0.264245624
TRINITY_DN103882_c0_g1_i1	NA	NA	NA	NA	3.45556855	-0.689959232
TRINITY_DN103890_c0_g1_i2	NA	NA	NA	NA	3.365773591	0.288525952
TRINITY_DN103891_c0_g1_i1	NA	NA	NA	NA	3.321869264	0.421838355
TRINITY_DN103896_c0_g1_i2	ptgr2	Chr08	85428706	85428706	3.020169712	0.174633571
TRINITY_DN103897_c0_g2_i1	NA	NA	NA	NA	5.590727297	-10.24131002
TRINITY_DN103898_c0_g1_i1	NA	NA	NA	NA	4.127543566	0.375405123
TRINITY_DN103900_c0_g1_i1	NA	NA	NA	NA	3.69994206	0.147769906
TRINITY_DN103900_c0_g2_i1	NA	NA	NA	NA	4.856370486	0.386764849
TRINITY_DN103912_c0_g1_i1	NA	NA	NA	NA	5.060107068	-1.24876975
TRINITY_DN103916_c0_g1_i1	NA	NA	NA	NA	1.856766805	0.219646864
TRINITY_DN103924_c0_g1_i1	NA	NA	NA	NA	6.815097289	0.740661125
