gid	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	PV.XYliver.XXliver	FDR.XYliver.XXliver	A12FL1	A12ML1	A15ML1	A17FL1	A17ML1	A2FL1	A7FL1	A8FL1	A8ML1
TRINITY_DN108303_c0_g1_i1	naa15	Chr01	51694092	51694092	0.920490801	-0.03727117	0.936214505	0.9870003	1.198086338	0.658405722	0.974852571	0.958026756	1.230182482	-0.141150665	1.388572703	0.754713414	0.714757702
TRINITY_DN108393_c0_g1_i2	rab28	Chr01	17543756	17543756	3.796976335	0.679353269	0.073002498	0.515196562	3.916526208	3.691481904	4.297850366	3.399372016	4.107022836	2.213108201	3.985441796	3.127887431	4.352504334
TRINITY_DN108434_c0_g2_i2	ndufs7	Chr01	80590368	80590368	2.826208478	0.659863506	0.09898503	0.579961733	2.668981697	2.885035838	2.858679518	2.373183358	3.804008294	2.48308085	3.064038591	1.47814765	2.842236415
TRINITY_DN108688_c0_g1_i1	ociad2	Chr01	30009371	30009371	0.883923421	0.358361159	0.410578139	0.842680454	0.566826213	0.720270683	1.083191411	0.898147225	1.584416683	0.59835996	0.787676146	0.754713414	0.779858418
TRINITY_DN109611_c0_g1_i2	kank1	Chr01	116514172	116514172	2.848452932	-0.119203154	0.794955538	0.965381639	2.869556844	2.976605109	2.47701918	1.319335213	2.347138579	3.193354126	2.163724166	3.795732481	3.156019436
TRINITY_DN109678_c0_g2_i1	zdhhc21	Chr01	111993185	111993185	1.442546953	-0.037732434	0.930544222	0.986303084	0.752349422	1.267943822	1.806618748	1.644941055	1.308329613	1.811091399	1.756569315	1.024480245	1.215989679
TRINITY_DN109892_c0_g1_i1	med11	Chr01	82744308	82744308	4.464020491	0.229609593	0.589988152	0.911545905	5.160539307	4.211088191	3.490406333	4.346601491	4.632598519	3.373195702	3.715609264	4.521406968	5.377262329
TRINITY_DN109983_c0_g1_i2	cwc27-like	Chr01	175369840	175369840	4.453216942	-0.16658015	0.603897945	0.916648107	4.788458964	4.5545911	4.352996376	4.530400844	4.402547995	4.875701433	3.914431999	4.323136925	4.082675268
TRINITY_DN110891_c0_g7_i1	sh3gl1	Chr01	74984069	74984069	1.709157427	-0.234008912	0.589367302	0.91115999	1.756370618	1.663968869	1.837883997	1.53127457	1.147558672	1.142698395	2.560043102	1.536824486	1.550427561
TRINITY_DN110974_c0_g1_i4	Xetrov90003223m	Chr01	157376647	157376647	7.868420833	0.676683296	0.089538301	0.555502077	6.920543482	7.795125651	8.25662346	7.510431385	8.636160348	8.464568727	6.819900149	7.26289179	7.991153374
TRINITY_DN111082_c0_g1_i1	slc2a9	Chr01	18216490	18216490	1.669394631	0.226228181	0.606522628	0.917620558	2.242944302	1.841487154	1.806618748	1.608038406	1.704882877	0.326268582	1.314425629	1.725218975	1.790489722
TRINITY_DN111189_c0_g2_i1	noc4l	Chr01	147958547	147958547	2.226562627	0.280937144	0.643022707	0.924712887	3.057410207	2.024272861	1.806618748	2.305646776	1.645906793	-0.286211066	0.296163436	2.618136389	3.31820643
TRINITY_DN111370_c0_g2_i1	isca1	Chr01	122707595	122707595	6.021388483	0.2224304	0.62191157	0.920826034	6.843475875	5.930295033	6.12020221	6.642092608	6.320309939	5.017672274	4.587972002	4.973043336	6.165714235
TRINITY_DN111510_c0_g2_i2	tmem129	Chr01	13302596	13302596	3.497809435	0.478424482	0.306988977	0.793638891	2.606151131	3.660257514	3.594757499	4.096498696	3.25215089	1.69992843	2.389963635	4.048538307	4.264260432
TRINITY_DN111515_c0_g1_i2	reep6	Chr01	80453085	80453085	2.622535425	1.117124424	0.00484317	0.170050093	2.506456296	3.086393151	3.500210916	1.998603744	2.309630532	2.291886303	1.236260331	1.891829283	3.33995633
TRINITY_DN111582_c0_g1_i1	sppl3	Chr01	143400992	143400992	2.306984393	-0.848604163	0.036281838	0.406292183	2.113392572	1.813376508	2.168166305	2.416512904	1.761542459	3.079533451	2.261678128	2.955791043	1.262286207
TRINITY_DN111788_c0_g1_i1	hcn1	Chr01	181104515	181104515	2.616660225	0.099984406	0.821642238	0.969856906	2.489149539	2.743236126	2.827866517	2.416512904	2.383696129	2.748151244	3.354114908	0.803324633	2.681170498
TRINITY_DN112278_c0_g1_i1	fsd1l-like	Chr01	108048773	108048773	1.561885931	-0.825550499	0.088096706	0.552795147	1.280876962	1.308788746	0.59034629	0.958026756	1.308329613	2.784931417	1.513130625	2.020763443	0.95919652
TRINITY_DN112453_c0_g1_i2	LOC100145219	Chr01	27080459	27080459	6.62859206	0.606595812	0.084310455	0.543534095	6.579907012	7.003792591	7.251787466	6.411232596	6.627087039	5.326051699	6.34079826	6.638612589	6.773001321
TRINITY_DN112586_c1_g1_i2	fancc	Chr01	123494974	123494974	2.210805475	-0.484329192	0.237236208	0.754462099	2.361815045	2.332283651	1.639241866	2.740161255	1.704882877	1.737942447	2.901340135	1.869173801	1.911631085
TRINITY_DN112911_c0_g1_i2	Xetrov90003361m	Chr01	165478218	165478218	4.594826504	0.46523068	0.161899005	0.67078445	4.583564286	4.748920817	5.031111164	3.919560191	4.945436613	4.884201552	3.746954388	4.427614775	4.565953979
TRINITY_DN113011_c0_g5_i1	scarb1	Chr01	151579205	151579205	4.372717109	1.131216052	0.001945653	0.100058357	4.093009618	4.668819086	5.154203759	4.43880165	4.366471024	3.408980481	2.860236023	3.525690537	5.20129821
TRINITY_DN113131_c0_g1_i5	ypel1	Chr01	145637303	145637303	5.659009493	0.536777395	0.327589948	0.806921499	4.964713	6.625550768	6.089681289	6.636377131	4.889333756	4.934176668	2.534142105	5.448432757	5.573628317
TRINITY_DN113217_c0_g1_i1	mrps30	Chr01	181453885	181453885	2.141318082	-0.42805905	0.278373095	0.776118495	1.840662162	1.896116763	2.143353897	2.305646776	1.452967407	2.548715096	2.72367422	1.914134487	1.968589147
TRINITY_DN113238_c0_g1_i1	myo5b	Chr01	191843036	191843036	2.902214274	-0.191264403	0.618913466	0.920826034	2.453900446	2.332283651	3.09699873	2.790436359	2.920132335	2.414317716	3.662801179	3.156235577	2.731405929
TRINITY_DN113325_c0_g1_i2	timm44	Chr01	73395692	73395692	7.833656048	0.395898174	0.300087288	0.789767965	7.748093149	7.967652384	7.849115466	7.749457912	8.518312405	8.240844503	6.559998254	7.438587868	7.681912268
TRINITY_DN113480_c0_g1_i2	LOC100135405	Chr01	146451221	146451221	1.511919829	0.427653199	0.461876562	0.862543313	0.192161152	0.94418799	1.030038712	1.716029845	2.895026412	-0.286211066	2.049518583	1.593207813	1.067457278
TRINITY_DN113566_c0_g1_i3	LOC100496462	Chr01	130486699	130486699	0.848112051	-0.738687387	0.173022993	0.683962871	0.192161152	-0.417937367	1.030038712	0.554609585	0.056818512	1.880709772	1.552369605	0.598204519	0.575019828
TRINITY_DN113586_c0_g1_i3	hgsnat	Chr01	77083186	77083186	3.443382527	-0.124817934	0.704868318	0.944264235	3.344007702	3.121207891	3.70907586	3.431410263	3.384313627	3.944186202	3.320414948	3.348668887	3.204248497
TRINITY_DN113676_c0_g3_i1	upb1	Chr01	144075898	144075898	0.411026737	-0.242329811	0.658504699	0.930081586	-0.090493601	-1.083509636	0.51497501	0.102820944	0.517939376	0.961777386	1.083913517	-0.096013556	0.646579962
TRINITY_DN114141_c0_g2_i1	wdr1	Chr01	18158616	18158616	0.163174163	-0.175559724	0.764542044	0.959506845	-0.581709951	0.129958354	0.435447971	0.770373284	-0.62497671	-1.372059093	1.010671466	-0.096013556	0.049866429
TRINITY_DN114145_c0_g2_i1	LOC100490989	Chr01	129763761	129763761	8.395684926	0.336431228	0.3926518	0.835571061	8.082979867	8.108057951	8.63730433	8.646992643	9.094347568	8.638877727	7.153650867	8.205217809	8.240978807
TRINITY_DN114190_c0_g1_i2	aimp1	Chr01	62768413	62768413	2.82133325	-0.14433365	0.673187173	0.933125336	2.75837702	2.602486126	2.888848154	3.113692124	2.843464598	2.48308085	3.036628121	2.92316943	2.611347413
TRINITY_DN114241_c0_g1_i1	larp7	Chr01	59504263	59504263	3.238483394	-0.761988664	0.071776188	0.512783825	3.715404845	3.143959563	2.352653268	2.757115035	2.015605676	4.364389463	3.309004395	2.855626279	3.204248497
TRINITY_DN114278_c2_g1_i2	lsm7	Chr01	73873750	73873750	0.561739664	-0.423155474	0.379356925	0.829674588	0.566826213	0.94418799	0.35128002	0.701975773	0.056818512	1.084876142	0.442584827	0.754713414	-0.449789157
TRINITY_DN114344_c0_g2_i1	LOC100486686	Chr01	89906047	89906047	1.992623671	0.022724652	0.952813047	0.990557293	1.867699351	1.784707229	2.118107271	1.940418861	1.584416683	2.041339499	1.8952866	2.1579286	2.378978652
TRINITY_DN114440_c1_g2_i1	msi1	Chr01	143135386	143135386	0.545235225	0.298984804	0.535775028	0.891693271	0.809242671	0.593768579	0.661974652	-0.126720342	0.517939376	-0.62912702	0.809434218	0.598204519	0.95919652
TRINITY_DN114522_c0_g1_i1	acads	Chr01	143384141	143384141	2.987520171	0.798975677	0.114620426	0.605603353	3.170300664	3.838205979	2.731270472	3.523465256	3.762967712	1.401439082	2.38272508	0.803324633	2.811429732
TRINITY_DN114548_c0_g1_i2	galnt7	Chr01	39562124	39562124	0.41740796	0.824137843	0.232316787	0.749517507	0.967584642	1.784707229	0.064573661	0.770373284	0.056818512	-0.836952589	-0.354901701	-2.442747519	0.420281155
TRINITY_DN114549_c0_g1_i2	lppr3	Chr01	81892404	81892404	2.543758459	0.649823972	0.170307807	0.681003261	2.869556844	1.632136616	3.172519745	2.18554643	3.329148019	2.390648542	0.575505386	2.317052625	2.826915301
TRINITY_DN114613_c0_g1_i4	isyna1	Chr01	87331353	87331353	1.392260053	-0.658090428	0.145319391	0.650285448	0.631354704	0.891381846	1.323030637	1.879788362	0.966598392	1.620756718	1.513130625	2.120050989	0.779858418
TRINITY_DN114656_c0_g2_i1	abca1	Chr01	107795208	107795208	3.674157994	0.034728582	0.927077876	0.985560543	3.896973771	3.074599004	3.734218509	3.165408666	4.262339234	4.364389463	3.09537284	3.356834443	3.454050725
TRINITY_DN115008_c0_g1_i1	ctu1	Chr01	61090188	61090188	1.556277206	0.334087501	0.441729062	0.853729829	1.320556218	1.725600746	1.408814398	0.835674348	1.059913953	1.401439082	1.864438274	1.385399594	2.357813441
TRINITY_DN115011_c0_g1_i6	tango2	Chr01	146783379	146783379	7.253201099	-0.62517491	0.186914241	0.707611923	7.901511424	6.427674338	6.051849611	7.916756711	7.966105663	7.815768495	6.296226225	6.899806566	6.061567638
TRINITY_DN115235_c0_g1_i2	LOC100486200	Chr01	124510818	124510818	5.740649969	-0.30386716	0.443774433	0.854566359	5.40852671	5.659328182	5.642160637	5.698690266	5.526387279	4.546780511	6.756208378	6.039000259	5.416174788
TRINITY_DN115244_c0_g1_i1	smpd4	Chr01	144232941	144232941	4.039998726	-0.406131886	0.225642409	0.743670102	3.961143702	3.737086819	4.112131433	3.985785333	3.70636519	3.70606336	4.27068152	4.824924896	3.596383152
TRINITY_DN115247_c0_g2_i1	foxe1	Chr01	95325677	95325677	6.937196326	0.048884263	0.889422132	0.978556133	6.954042965	6.859183658	6.976022515	6.911842896	7.221569262	7.478127359	6.060837826	6.835523201	6.757932978
TRINITY_DN115289_c0_g1_i3	tm6sf2	Chr01	101904360	101904360	2.086525891	-0.287713358	0.488541249	0.871064103	1.785018505	1.92267492	1.183959767	2.437699244	2.309630532	2.342112376	1.639978585	2.590702956	2.076172918
TRINITY_DN115296_c1_g3_i1	dock8	Chr01	116644276	116644276	4.718018323	-0.405918206	0.276758884	0.774844364	5.538297314	4.96236805	4.112131433	4.774745225	4.160674452	4.942340104	3.732790972	4.899487363	4.509493133
TRINITY_DN115561_c0_g1_i1	osgep	Chr01	130602379	130602379	4.202526108	-0.854552989	0.022459281	0.333104934	4.250238055	3.628342354	3.388511504	4.265981985	4.073847272	5.442859229	3.847653305	4.219481808	3.503071772
TRINITY_DN115584_c0_g1_i1	gnaz	Chr01	143809516	143809516	4.135854162	0.614770635	0.093596037	0.565550768	4.192598288	4.715134582	4.390381523	4.588387648	4.171169438	2.906744493	3.408589085	3.443731491	4.440701905
TRINITY_DN115705_c1_g1_i2	vldlr	Chr01	115822994	115822994	1.736029491	-0.135314871	0.742984441	0.953420998	1.666846942	1.632136616	2.168166305	1.78377962	1.147558672	1.251822965	2.15525302	1.914134487	1.47380234
TRINITY_DN115820_c0_g1_i1	mocs2-like	Chr01	179736492	179736492	3.141403686	0.315512712	0.442263257	0.853836944	2.772752165	4.099118696	2.989731138	2.916520585	3.291163064	3.637329025	2.480901915	2.92316943	2.223854968
TRINITY_DN116040_c0_g1_i1	fgf5	Chr01	76571118	76571118	5.216719354	0.212350108	0.527792417	0.888473516	4.939449627	4.952735569	5.692202915	4.921077595	5.766787946	5.372103589	5.157744272	5.154964504	4.584293682
TRINITY_DN116054_c0_g3_i1	fam149a-like	Chr01	34875296	34875296	0.529376404	-0.219051739	0.664632716	0.930767799	-0.442361785	0.995129355	0.166605626	0.554609585	0.056818512	1.142698395	0.91355875	0.422627404	0.151759979
TRINITY_DN116202_c0_g1_i6	irf9	Chr01	127143348	127143348	2.466744065	-0.674744331	0.13934902	0.641649685	3.409869329	2.371370948	1.566446719	2.305646776	1.230182482	3.079533451	1.639978585	2.576788105	2.611347413
TRINITY_DN116726_c0_g1_i1	whsc1	Chr01	12590456	12590456	0.191154589	1.029823609	0.12668878	0.623902397	0.428406518	-1.312129972	1.030038712	-1.815674847	-0.136712198	0.222833875	-0.131178564	-1.268053202	1.512623611
TRINITY_DN116805_c0_g1_i1	Xetrov90002578m	Chr01	129791521	129791521	1.348853178	-2.113628311	0.064820207	0.501521839	2.85611898	0.129958354	-2.987229828	-2.987229828	-2.987229828	2.291886303	-0.873474401	2.618136389	1.307143143
TRINITY_DN116888_c0_g1_i2	golga3-like	Chr01	147018401	147018401	6.363314891	0.126433871	0.677730902	0.934043529	6.372569412	6.311890316	6.419172611	6.225760347	6.468071413	6.350099439	6.33048926	6.244405206	6.521446323
TRINITY_DN117000_c0_g1_i2	LOC100490372	Chr01	15500329	15500329	2.446074739	-0.048779667	0.912863886	0.983416772	2.222144205	2.428085257	2.7145231	2.961099106	2.149012872	2.12977871	3.138987484	0.940041219	2.314528086
TRINITY_DN117051_c0_g5_i2	tbc1d10a	Chr01	131942891	131942891	1.488399904	0.579393219	0.263428206	0.768636878	0.809242671	2.250780994	1.489782399	0.835674348	1.868593462	2.342112376	-0.173233483	1.21619702	1.307143143
TRINITY_DN117147_c0_g3_i2	mex3c	Chr01	191308852	191308852	4.389637134	0.109197736	0.739922089	0.952237415	4.627728441	4.309968818	4.641375655	4.295294536	4.411428016	3.466717298	4.748634198	4.237283138	4.415316414
TRINITY_DN117274_c0_g4_i1	marveld2	Chr01	167456191	167456191	1.872281829	-1.4201968	0.011589286	0.257123633	2.20103983	0.129958354	0.166605626	1.17541024	0.379985581	3.034423875	1.577948284	2.820630638	2.076172918
TRINITY_DN117395_c0_g1_i1	fabp1	Chr01	15230089	15230089	1.449975743	0.179735439	0.690811315	0.939442996	1.016725472	1.497281632	1.408814398	2.108374098	1.645906793	0.961777386	1.699451408	0.483558406	1.623187456
TRINITY_DN117423_c0_g1_i1	kank3	Chr01	82339047	82339047	-0.07600677	-0.436290168	0.503094497	0.880113085	-1.105011206	0.380422469	-0.9733985	-0.126720342	-2.987229828	0.754870307	-0.173233483	0.422627404	0.246929368
TRINITY_DN117542_c0_g1_i2	isoc1	Chr01	158912481	158912481	3.465302905	-0.424797383	0.354606882	0.820628028	3.202514312	2.885035838	3.576337381	3.420809705	3.039498855	1.660885601	4.60828522	3.848804512	3.262352357
TRINITY_DN117568_c0_g1_i2	rab36	Chr01	143921007	143921007	1.727826843	-0.520582756	0.237495042	0.754462099	1.813108584	1.137975675	1.956580101	1.407880718	0.643845378	2.548715096	2.003068151	1.593207813	1.587266151
TRINITY_DN117630_c0_g1_i5	fbxw8	Chr01	156166963	156166963	2.93873267	-0.305016475	0.408579151	0.841862681	2.540459152	2.332283651	2.591509919	2.975657679	2.869475845	2.691160748	3.544534194	3.298680527	3.143705971
TRINITY_DN117670_c1_g2_i1	Xetrov90000785m	Chr01	39507087	39507087	4.753866132	-0.182140462	0.547998272	0.896354835	4.77066356	4.67664233	4.568690852	4.475117783	4.706612094	4.783289181	4.864890087	5.173574748	4.646706663
TRINITY_DN117811_c0_g1_i2	tctn2	Chr01	152326550	152326550	2.674557678	-0.031994755	0.932645381	0.986359426	2.714371661	2.428085257	3.030896737	2.634028674	2.646936397	1.774980483	2.812549346	3.156235577	2.440672677
TRINITY_DN117914_c0_g1_i3	psat1	Chr01	120348962	120348962	4.506113054	0.039126342	0.908502465	0.983185661	4.325301226	4.528891006	4.792649551	4.379819682	4.472103272	3.575689657	4.829389798	4.948938984	4.26993666
TRINITY_DN118002_c0_g1_i1	ctif	Chr01	191998107	191998107	3.053681747	-0.423157761	0.318779369	0.802543344	2.714371661	2.815877434	2.092410957	3.344341287	2.616540849	2.010612532	3.826468265	3.532915549	3.392938375
TRINITY_DN118022_c0_g1_i1	ptpn13	Chr01	88284804	88284804	2.007877815	-5.976611763	1.20E-20	2.84E-17	3.223597285	-1.583928874	-2.302225684	2.94639212	-2.987229828	2.923336177	2.439641416	2.317052625	-2.308528924
TRINITY_DN118131_c0_g3_i1	LOC101732970	Chr01	8176111	8176111	7.159489769	0.665412878	0.159041667	0.667700858	7.696717623	8.160256428	7.109316515	6.692537837	6.841023666	6.258263121	4.859685589	7.237135358	7.496446915
TRINITY_DN118260_c1_g3_i2	kcmf1	Chr01	75613371	75613371	0.672765248	-0.549570656	0.266461295	0.769302823	0.499275817	-0.290448886	0.35128002	0.630173478	0.227431964	0.422781017	1.526329223	0.850351161	0.901858934
TRINITY_DN118297_c0_g2_i1	cyp2u1	Chr01	57523715	57523715	1.482607584	0.073527599	0.884757124	0.977900436	2.34267103	2.072508957	1.183959767	0.770373284	1.059913953	0.111406653	1.047757231	1.891829283	1.512623611
TRINITY_DN118406_c0_g1_i2	setd9	Chr01	178036770	178036770	5.46777747	-0.108496565	0.725702286	0.950013831	5.318308294	5.300320356	5.281894699	5.598777938	5.731766447	5.761645731	5.329457805	5.517440386	5.259518646
TRINITY_DN118563_c0_g1_i1	Xetrov90001975m	Chr01	100592693	100592693	0.78460357	1.273883607	0.013400279	0.271862956	-0.315295501	1.974368051	1.489782399	0.474868071	1.147558672	-0.62912702	0.167287175	0.65228277	0.151759979
TRINITY_DN118603_c0_g1_i1	LOC100497056-like	Chr01	130275419	130275419	1.858329107	0.324867734	0.512731802	0.883175512	1.240075447	2.713123569	0.35128002	1.608038406	2.585491102	1.448051063	2.261678128	1.750231201	1.350647321
TRINITY_DN118783_c0_g1_i1	camk4	Chr01	135183936	135183936	0.41888763	-0.344132922	0.571677346	0.90392322	0.566826213	0.218366725	-0.5938284	0.474868071	1.059913953	-1.738906101	0.575505386	1.353109494	-0.178437597
TRINITY_DN118843_c0_g2_i2	pitpnb.2	Chr01	141530535	141530535	0.118216216	-0.444486898	0.465913833	0.864882406	-0.315295501	0.455098725	-1.2086737	0.390459837	-0.949392365	-0.836952589	1.170528116	-0.096013556	0.336207404
TRINITY_DN118887_c0_g1_i1	slc2a11	Chr01	144665580	144665580	2.252483191	0.135043688	0.740003221	0.952237415	2.399357423	2.390524513	1.898452403	2.688070707	2.895026412	1.536986683	2.245807386	1.798991154	1.911631085
TRINITY_DN118980_c0_g1_i1	pias2	Chr01	193144450	193144450	1.749765639	-0.24767761	0.556884766	0.899750749	1.945897501	1.755456661	1.639241866	1.491304565	1.230182482	2.390648542	1.119185777	2.020763443	1.725877839
TRINITY_DN118991_c1_g1_i6	c19orf10	Chr01	74713978	74713978	6.050564286	0.285710933	0.421503994	0.846373734	6.026209384	5.702116812	6.113830192	5.891445925	6.749443379	6.340865704	5.039597135	5.993899523	6.038475176
TRINITY_DN119104_c0_g1_i1	ccdc149-like	Chr01	21049873	21049873	5.094059536	-0.852966465	0.019069014	0.309238288	5.529858765	4.880060926	4.336672769	4.92857999	4.375575196	6.179302427	4.702867176	5.24130016	4.584293682
TRINITY_DN119156_c0_g1_i2	ppap2c	Chr01	102306498	102306498	8.742373362	0.473705042	0.183284473	0.700739122	8.637109052	8.55502762	9.153488872	8.359165026	9.34492288	8.417032182	8.231162626	8.836884207	8.757176881
TRINITY_DN119243_c0_g1_i3	gna14	Chr01	120099968	120099968	4.738545963	0.82449707	0.01514747	0.286114729	4.94897531	5.264432076	5.113264161	4.495466661	4.895676237	4.105545873	3.501741377	4.150699385	5.242297877
TRINITY_DN119264_c0_g1_i1	smad1	Chr01	49182917	49182917	0.474694808	0.849598974	0.142879419	0.646309815	-0.315295501	0.720270683	-0.293606965	0.701975773	2.015605676	-0.286211066	0.470166727	-0.505680582	0.049866429
TRINITY_DN119274_c0_g1_i1	nudt12-like	Chr01	137154567	137154567	2.450857964	-0.21560931	0.591754919	0.912116129	2.13580862	1.869060521	2.118107271	2.854855424	2.705871255	2.784931417	1.722570635	2.878493823	2.499836315
TRINITY_DN119327_c0_g1_i2	LOC100496714	Chr01	93635214	93635214	3.216211502	-0.749331979	0.088368482	0.553504813	2.896062806	2.666742418	1.639241866	2.975657679	2.27112124	4.090932763	3.361498074	3.795732481	3.666916731
TRINITY_DN119379_c0_g1_i1	kcnip4-like	Chr01	22625130	22625130	2.097191885	1.095769807	0.042487942	0.43389587	1.154838422	2.208235369	2.286204347	1.680923268	2.944808824	-1.079837381	1.187244067	2.645057884	2.826915301
TRINITY_DN119444_c0_g2_i4	fktn	Chr01	108104004	108104004	5.720156115	0.290631291	0.376816635	0.829106171	5.514971482	5.669164907	5.861499187	5.159713323	5.948594763	5.925032293	5.081555137	5.996515042	5.996296232
TRINITY_DN119459_c0_g1_i1	yipf7	Chr01	28520233	28520233	0.173744465	1.029412238	0.163211238	0.671692761	-0.735970815	-0.886211202	0.917471193	-0.007389335	-1.368585353	-2.987229828	0.326660718	-0.009500524	1.692453338
TRINITY_DN119470_c0_g1_i1	mif	Chr01	144581816	144581816	2.352915175	-0.72166197	0.119401551	0.614385056	3.264860859	1.841487154	2.012456199	2.373183358	1.584416683	0.896051138	2.375450022	3.146847951	2.15190281
TRINITY_DN119538_c0_g1_i1	ocel1	Chr01	99481568	99481568	6.011120235	0.351677069	0.25266697	0.763580735	6.032196541	6.247692829	6.260932326	5.674353353	5.917764519	5.935293998	5.675132393	5.872430293	6.321417305
TRINITY_DN119587_c0_g1_i2	mfsd7	Chr01	98607651	98607651	0.665028198	-0.018955812	0.970079592	0.993933326	0.499275817	-0.886211202	0.857712668	0.474868071	0.643845378	0.513239881	0.91355875	0.850351161	1.262286207
TRINITY_DN119590_c0_g4_i1	dda1	Chr01	101222621	101222621	1.082327239	-0.742643206	0.144911034	0.649559762	2.283665896	0.526099106	0.35128002	1.36428717	0.759639928	0.896051138	1.203768553	0.149363055	0.901858934
TRINITY_DN119785_c0_g3_i1	mn1	Chr01	141466689	141466689	1.306121523	-1.618236058	0.000227888	0.024365951	1.867699351	0.218366725	0.435447971	1.716029845	-0.136712198	1.579479628	1.800689353	1.936100079	0.420281155
TRINITY_DN119804_c0_g1_i1	gnpda2	Chr01	28546622	28546622	5.266500144	0.308633323	0.405163352	0.840574046	4.955291002	5.096719307	5.865297527	4.449271304	5.534538908	6.016795359	4.919683812	4.718050678	5.067551921
TRINITY_DN119888_c0_g1_i1	LOC100485773	Chr01	190259195	190259195	3.093897662	0.063954129	0.870725959	0.976494009	2.842554772	3.774019723	2.903699149	3.366606099	2.969070324	2.548715096	3.677665032	2.490356989	2.575126344
TRINITY_DN119997_c1_g2_i8	ociad1	Chr01	29964939	29964939	3.706837662	-0.278825991	0.419857494	0.8462561	3.954853636	3.304039678	3.196839737	3.61929903	3.570254797	3.789881264	3.24657536	4.297912948	3.982524261
TRINITY_DN120003_c1_g1_i1	nfxl1	Chr01	29535898	29535898	2.086688276	-0.919207997	0.037102835	0.409003617	2.417768503	2.119184334	1.030038712	2.02683922	1.059913953	1.579479628	2.774338333	2.855626279	1.550427561
TRINITY_DN120025_c0_g1_i4	arvcf	Chr01	146462404	146462404	1.022409685	0.191310199	0.664535787	0.930767799	1.198086338	0.720270683	1.603303379	0.554609585	1.059913953	0.513239881	1.203768553	1.024480245	0.95919652
