gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.XXliver	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	-0.094507622	0.094507622	unbias	0.278699067	Ovary_mean	0.0123	0.0161	1.3059
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	-0.163186115	0.163186115	unbias	0.132303324	G23_mean	0.0769	0.1219	1.5862
TRINITY_DN102288_c0_g1_i1	rbm34	Chr10	3802487	3802487	-0.998353776	0.998353776	unbias	0.570520612	Ovary_mean	0.1168	0.1976	1.6917
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	0.015436169	0.015436169	unbias	0.175182122	Testis_mean	0.0704	0.1202	1.7079
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	0.560999272	0.560999272	unbias	0.173678848	Ovary_mean	0.128	0.2116	1.6526
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	0.222243801	0.222243801	unbias	0.46905447	Liver_mean	0.1875	0.3205	1.7093
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	0.082675691	0.082675691	unbias	0.198656899	Ovary_mean	0.038	0.0702	1.8454
TRINITY_DN102539_c0_g1_i1	NA	NA	NA	NA	-0.627105318	0.627105318	unbias	0.261451474	Brain_mean	0.1183	0.1998	1.6879
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	0.114032887	0.114032887	unbias	0.135045065	Ovary_mean	0.1794	0.2865	1.5972
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	-0.005618447	0.005618447	unbias	0.328031285	Testis_mean	0.0816	0.1245	1.5262
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	0.145868135	0.145868135	unbias	0.523378908	Brain_mean	0.0471	0.0801	1.6985
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	0.57948384	0.57948384	unbias	0.142706311	Ovary_mean	0.1141	0.2017	1.7681
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	-0.151183759	0.151183759	unbias	0.287912192	Ovary_mean	0.0579	0.1024	1.7679
TRINITY_DN103621_c0_g1_i2	NA	NA	NA	NA	-0.402703043	0.402703043	unbias	0.656361493	Ovary_mean	0.1704	0.2308	1.3544
TRINITY_DN103783_c0_g1_i1	NA	NA	NA	NA	-0.351699226	0.351699226	unbias	0.454331592	Ovary_mean	0.1565	0.2719	1.738
TRINITY_DN103838_c0_g1_i1	tti2	Chr03	118704775	118704775	-0.229138454	0.229138454	unbias	0.745128049	Ovary_mean	0.0743	0.1212	1.6324
TRINITY_DN103847_c0_g1_i1	tfcp2	Chr02	138973022	138973022	0.489694209	0.489694209	unbias	0.715437885	Liver_mean	0.1055	0.1629	1.544
TRINITY_DN103896_c0_g1_i2	NA	NA	NA	NA	-0.367321415	0.367321415	unbias	0.580831565	G23_mean	0.136	0.2344	1.7238
TRINITY_DN103989_c0_g1_i1	NA	NA	NA	NA	0.247745601	0.247745601	unbias	0.253272654	Ovary_mean	0.0885	0.1434	1.6201
TRINITY_DN104173_c0_g1_i1	Xetrov90014084m	Chr05	75743400	75743400	0.408817362	0.408817362	unbias	0.258729367	Testis_mean	0.1217	0.2082	1.7112
TRINITY_DN104207_c0_g1_i1	cdca7-like.1	Chr02	144125106	144125106	-0.901195056	0.901195056	unbias	0.692934562	Ovary_mean	0.1071	0.1454	1.358
TRINITY_DN104287_c1_g1_i1	NA	NA	NA	NA	-0.565588911	0.565588911	unbias	0.476666531	Brain_mean	0.0892	0.173	1.9391
TRINITY_DN104339_c0_g1_i2	NA	NA	NA	NA	0.066064274	0.066064274	unbias	0.437249278	Ovary_mean	0.0099	0.0157	1.5775
TRINITY_DN104365_c0_g3_i1	NA	NA	NA	NA	0.706350141	0.706350141	unbias	0.427805534	Ovary_mean	0.0999	0.1188	1.1895
TRINITY_DN104428_c0_g1_i2	NA	NA	NA	NA	0.313922937	0.313922937	unbias	0.31409969	G23_mean	0.0885	0.1168	1.3195
TRINITY_DN104434_c0_g2_i1	opn1sw	Chr03	79523990	79523990	-0.24256123	0.24256123	unbias	0.79540516	Ovary_mean	0.174	0.3138	1.8029
TRINITY_DN104464_c0_g1_i1	NA	NA	NA	NA	-2.070221403	2.070221403	female	0.284610212	G23_mean	0.0939	0.1014	1.0793
TRINITY_DN104508_c0_g2_i3	NA	NA	NA	NA	-0.353350515	0.353350515	unbias	0.268226245	Ovary_mean	0.1025	0.1619	1.579
TRINITY_DN104654_c0_g1_i1	NA	NA	NA	NA	-0.296428703	0.296428703	unbias	0.632622506	Ovary_mean	0.0931	0.1819	1.954
TRINITY_DN104658_c0_g2_i1	NA	NA	NA	NA	-1.737916311	1.737916311	unbias	0.732932	Ovary_mean	0.1356	0.241	1.7772
TRINITY_DN104694_c0_g1_i1	NA	NA	NA	NA	0.047820464	0.047820464	unbias	0.353449949	Ovary_mean	0.0241	0.0443	1.8389
TRINITY_DN104732_c0_g1_i1	NA	NA	NA	NA	-0.508307191	0.508307191	unbias	0.590242833	G43_M_mean	0.2624	0.4046	1.5421
TRINITY_DN104740_c0_g1_i2	LOC100158544	Chr04	127653170	127653170	-0.029442031	0.029442031	unbias	0.428153923	Ovary_mean	0.0484	0.0932	1.925
TRINITY_DN104751_c0_g1_i2	NA	NA	NA	NA	0.333646193	0.333646193	unbias	0.383417863	Ovary_mean	0.0416	0.06	1.4428
TRINITY_DN104801_c0_g1_i1	mfsd6-like	Chr09	29936304	29936304	0.207093097	0.207093097	unbias	0.523571394	Brain_mean	0.0525	0.0603	1.1476
TRINITY_DN104812_c0_g1_i2	NA	NA	NA	NA	0.386477343	0.386477343	unbias	0.403657192	Ovary_mean	0.0791	0.1036	1.3096
TRINITY_DN104972_c0_g1_i2	NA	NA	NA	NA	0.229437111	0.229437111	unbias	0.096162953	G27_mean	0.0377	0.0743	1.9699
TRINITY_DN105060_c0_g2_i3	scaf8	Chr05	42650260	42650260	0.036077905	0.036077905	unbias	0.567829549	Brain_mean	0.0429	0.0716	1.6683
TRINITY_DN105273_c0_g1_i2	NA	NA	NA	NA	1.049566053	1.049566053	unbias	0.62476223	G27_mean	0.1152	0.2008	1.743
TRINITY_DN105372_c0_g2_i1	NA	NA	NA	NA	0.280132866	0.280132866	unbias	0.25135215	G46_M_mean	0.0978	0.1708	1.7466
TRINITY_DN105400_c0_g1_i3	NA	NA	NA	NA	-0.516537889	0.516537889	unbias	0.231737257	Ovary_mean	0.1525	0.2011	1.3186
TRINITY_DN105441_c0_g2_i3	NA	NA	NA	NA	-0.071728744	0.071728744	unbias	0.290568285	Ovary_mean	0.0128	0.0124	0.9683
TRINITY_DN105496_c0_g1_i1	NA	NA	NA	NA	0.590615236	0.590615236	unbias	0.838443055	Liver_mean	0.0578	0.102	1.7627
TRINITY_DN105560_c0_g1_i2	NA	NA	NA	NA	1.382878242	1.382878242	unbias	0.374118586	Ovary_mean	0.1374	0.1843	1.3417
TRINITY_DN105578_c0_g1_i1	NA	NA	NA	NA	0.237339042	0.237339042	unbias	0.754051954	Ovary_mean	0.1479	0.2113	1.4289
TRINITY_DN105592_c1_g1_i2	hapln4	Chr01	101891688	101891688	-1.000308285	1.000308285	unbias	0.247918508	G43_F_mean	0.1597	0.2378	1.4894
TRINITY_DN105601_c0_g1_i1	NA	NA	NA	NA	-0.248393417	0.248393417	unbias	0.654871744	Ovary_mean	0.0889	0.1503	1.6911
TRINITY_DN105647_c0_g2_i1	cpeb3	Chr07	17464515	17464515	-4.456667859	4.456667859	female	0.856680274	Ovary_mean	0.5406	0.7804	1.4436
TRINITY_DN105705_c0_g1_i1	NA	NA	NA	NA	0.728026411	0.728026411	unbias	0.417280644	G46_F_mean	0.1537	0.2185	1.4217
TRINITY_DN105726_c0_g1_i1	NA	NA	NA	NA	-0.378539789	0.378539789	unbias	0.526746595	Ovary_mean	0.0788	0.1018	1.2921
TRINITY_DN105902_c0_g1_i1	NA	NA	NA	NA	0.49186528	0.49186528	unbias	0.81511499	Brain_mean	0.0651	0.0739	1.1351
TRINITY_DN105940_c0_g1_i2	NA	NA	NA	NA	0.834687534	0.834687534	unbias	0.559635474	Ovary_mean	0.0124	0.0153	1.2403
TRINITY_DN106065_c0_g1_i2	NA	NA	NA	NA	-0.39042549	0.39042549	unbias	0.424193039	Ovary_mean	0.0442	0.0531	1.2023
TRINITY_DN106090_c0_g2_i1	NA	NA	NA	NA	-0.088401558	0.088401558	unbias	0.213188507	Ovary_mean	0.1269	0.1557	1.227
TRINITY_DN106101_c0_g1_i1	NA	NA	NA	NA	0.373822631	0.373822631	unbias	0.125290042	Ovary_mean	0.031	0.0387	1.2467
TRINITY_DN106189_c0_g2_i1	NA	NA	NA	NA	0.333304145	0.333304145	unbias	0.584198538	Liver_mean	0.1266	0.2486	1.964
TRINITY_DN106366_c0_g5_i1	NA	NA	NA	NA	1.05222317	1.05222317	unbias	0.470238685	Ovary_mean	0.0889	0.1226	1.3783
TRINITY_DN106368_c0_g2_i1	NA	NA	NA	NA	0.227543159	0.227543159	unbias	0.29255737	G23_mean	0.0957	0.1369	1.43
TRINITY_DN106392_c0_g2_i2	NA	NA	NA	NA	0.055973455	0.055973455	unbias	0.286219196	Ovary_mean	0.0667	0.1122	1.683
TRINITY_DN106464_c0_g2_i1	NA	NA	NA	NA	-0.3777128	0.3777128	unbias	0.725671081	Brain_mean	0.0366	0.0529	1.4454
TRINITY_DN106465_c0_g1_i1	NA	NA	NA	NA	0.518852273	0.518852273	unbias	0.170789231	Ovary_mean	0.0281	0.0393	1.3971
TRINITY_DN106476_c0_g1_i1	NA	NA	NA	NA	0.362742557	0.362742557	unbias	0.338705416	Brain_mean	0.0371	0.0623	1.678
TRINITY_DN106620_c0_g1_i1	NA	NA	NA	NA	-0.717821132	0.717821132	unbias	0.508133115	Ovary_mean	0.0532	0.0741	1.3921
TRINITY_DN106706_c0_g1_i4	NA	NA	NA	NA	0.828541165	0.828541165	unbias	0.250895261	Testis_mean	0.1394	0.1304	0.9357
TRINITY_DN106942_c0_g1_i1	dtl	Chr05	10944941	10944941	0.100184457	0.100184457	unbias	0.581132541	Ovary_mean	0.0487	0.0873	1.7914
TRINITY_DN106959_c0_g2_i1	ntpcr	Chr05	61282278	61282278	-0.062955125	0.062955125	unbias	0.188565794	Ovary_mean	0.0436	0.0812	1.8649
TRINITY_DN107178_c0_g3_i1	tmem45b	Chr07	67399340	67399340	0.186890691	0.186890691	unbias	0.139090567	G23_mean	0.0406	0.0775	1.906
TRINITY_DN107234_c0_g1_i1	NA	NA	NA	NA	-0.07195983	0.07195983	unbias	0.47132041	Ovary_mean	0.0603	0.1094	1.8135
TRINITY_DN107308_c0_g1_i1	NA	NA	NA	NA	0.051033353	0.051033353	unbias	0.490766137	Ovary_mean	0.0086	0.0117	1.3675
TRINITY_DN107396_c0_g1_i2	NA	NA	NA	NA	0.97088108	0.97088108	unbias	0.331983433	Brain_mean	0.0701	0.0936	1.3351
TRINITY_DN107472_c0_g1_i1	NA	NA	NA	NA	0.362878303	0.362878303	unbias	0.460025759	Brain_mean	0.0772	0.0918	1.1896
TRINITY_DN107473_c0_g2_i2	NA	NA	NA	NA	0.111078219	0.111078219	unbias	0.317688895	Ovary_mean	0.0783	0.1248	1.595
TRINITY_DN107530_c1_g1_i1	NA	NA	NA	NA	-0.626985203	0.626985203	unbias	0.29917091	Ovary_mean	0.0974	0.1502	1.5415
TRINITY_DN107586_c0_g1_i2	NA	NA	NA	NA	0.226440583	0.226440583	unbias	0.250860312	Brain_mean	0.0352	0.0451	1.2822
TRINITY_DN107672_c0_g2_i1	NA	NA	NA	NA	-0.32218645	0.32218645	unbias	0.661859096	G27_mean	0.2023	0.2949	1.4581
TRINITY_DN107696_c0_g1_i4	NA	NA	NA	NA	-0.521792056	0.521792056	unbias	0.513780259	Ovary_mean	0.0631	0.067	1.0609
TRINITY_DN107740_c0_g1_i1	NA	NA	NA	NA	-0.413978366	0.413978366	unbias	0.611786971	Ovary_mean	0.0127	0.0151	1.1955
TRINITY_DN107774_c0_g1_i2	NA	NA	NA	NA	0.19088263	0.19088263	unbias	0.228965569	Ovary_mean	0.0257	0.0288	1.1202
TRINITY_DN107777_c0_g6_i1	NA	NA	NA	NA	0.182007154	0.182007154	unbias	0.392783523	Ovary_mean	0.039	0.0505	1.293
TRINITY_DN107787_c0_g1_i1	NA	NA	NA	NA	0.23722377	0.23722377	unbias	0.342333676	Ovary_mean	0.0922	0.1632	1.7702
TRINITY_DN107852_c0_g1_i2	NA	NA	NA	NA	-0.279368694	0.279368694	unbias	0.358431925	Ovary_mean	0.0163	0.0093	0.571
TRINITY_DN107915_c0_g1_i1	NA	NA	NA	NA	-1.507635217	1.507635217	unbias	0.432931563	Brain_mean	0.0683	0.135	1.9753
TRINITY_DN107990_c0_g1_i1	NA	NA	NA	NA	0.428234163	0.428234163	unbias	0.254324425	Ovary_mean	0.0848	0.1245	1.4687
TRINITY_DN108052_c0_g1_i1	NA	NA	NA	NA	1.036733596	1.036733596	unbias	0.635667566	Liver_mean	0.0734	0.0962	1.3092
TRINITY_DN108061_c0_g1_i1	NA	NA	NA	NA	0.37956729	0.37956729	unbias	0.163126496	Ovary_mean	0.0392	0.065	1.6562
TRINITY_DN108119_c0_g1_i1	NA	NA	NA	NA	-0.289056242	0.289056242	unbias	0.720589822	G23_mean	0.1589	0.208	1.309
TRINITY_DN10812_c0_g1_i1	NA	NA	NA	NA	0.055649432	0.055649432	unbias	0.32618062	G27_mean	0.0493	0.0692	1.4016
TRINITY_DN108126_c0_g2_i2	NA	NA	NA	NA	-0.17073927	0.17073927	unbias	0.266368866	Brain_mean	0.1477	0.2825	1.912
TRINITY_DN108146_c0_g1_i2	pcolce	scaffold_313	119309	119309	-0.273854972	0.273854972	unbias	0.178756312	Brain_mean	0.0442	0.0663	1.4996
TRINITY_DN108196_c0_g1_i1	LOC101734133-like	Chr03	108075044	108075044	0.00946839	0.00946839	unbias	0.321595845	Ovary_mean	0.0643	0.0824	1.2798
TRINITY_DN108276_c0_g2_i1	NA	NA	NA	NA	-0.423287247	0.423287247	unbias	0.680474175	Testis_mean	0.0657	0.0724	1.1032
TRINITY_DN108314_c0_g1_i2	NA	NA	NA	NA	0.340588028	0.340588028	unbias	0.37142808	Brain_mean	0.071	0.0918	1.2929
TRINITY_DN108316_c0_g1_i1	NA	NA	NA	NA	0.183538335	0.183538335	unbias	0.411064998	Ovary_mean	0.0167	0.0211	1.2626
TRINITY_DN108427_c0_g3_i5	kat5	Chr04	37688066	37688066	-0.5253021	0.5253021	unbias	0.423719915	Ovary_mean	0.0748	0.1472	1.9671
TRINITY_DN108429_c0_g2_i1	slc24a3	Chr05	24144989	24144989	-0.094364956	0.094364956	unbias	0.43038175	Ovary_mean	0.0429	0.0528	1.2308
TRINITY_DN108436_c0_g1_i2	cib2	Chr03	81482528	81482528	-0.476284761	0.476284761	unbias	0.48668377	Ovary_mean	0.1115	0.0839	0.7527
TRINITY_DN108443_c0_g4_i4	tmed10	Chr04	37918776	37918776	-1.535765435	1.535765435	unbias	0.444454733	G46_M_mean	0.075	0.1463	1.9521
TRINITY_DN108539_c0_g1_i2	thap5	Chr03	56033628	56033628	-0.048447962	0.048447962	unbias	0.177139529	Ovary_mean	0.0422	0.0714	1.6932
TRINITY_DN108541_c0_g1_i1	fam228b	Chr05	141614932	141614932	0.191996173	0.191996173	unbias	0.421416301	Ovary_mean	0.0477	0.064	1.3418
TRINITY_DN108551_c0_g1_i2	NA	NA	NA	NA	-0.120548479	0.120548479	unbias	0.688632931	Brain_mean	0.0144	0.021	1.4572
TRINITY_DN108558_c2_g1_i2	NA	NA	NA	NA	0.150948251	0.150948251	unbias	0.572729047	Ovary_mean	0.0506	0.0876	1.7305
TRINITY_DN108580_c0_g1_i1	NA	NA	NA	NA	0.1376215	0.1376215	unbias	0.331756999	Brain_mean	0.0568	0.1092	1.9239
TRINITY_DN108588_c0_g1_i1	NA	NA	NA	NA	0.362677985	0.362677985	unbias	0.287791849	G43_M_mean	0.1556	0.2039	1.3108
TRINITY_DN108683_c0_g3_i1	NA	NA	NA	NA	-0.39851069	0.39851069	unbias	0.126919823	G23_mean	0.053	0.0368	0.6955
TRINITY_DN108688_c0_g1_i1	ociad2	Chr01	30009371	30009371	0.358361159	0.358361159	unbias	0.55115252	Brain_mean	0.0716	0.0933	1.3032
TRINITY_DN108726_c0_g1_i1	ctdp1	Chr06	28525794	28525794	0.770029775	0.770029775	unbias	0.145170452	G23_mean	0.0854	0.1011	1.1838
TRINITY_DN108746_c0_g1_i1	NA	NA	NA	NA	0.679073514	0.679073514	unbias	0.096468773	G27_mean	0.0337	0.0452	1.3443
TRINITY_DN108769_c0_g1_i3	NA	NA	NA	NA	-0.486730321	0.486730321	unbias	0.360515741	Brain_mean	0.0057	0.0063	1.0963
TRINITY_DN108791_c0_g2_i1	NA	NA	NA	NA	-0.37167177	0.37167177	unbias	0.552171898	Brain_mean	0.0333	0.0324	0.9722
TRINITY_DN108927_c0_g4_i1	gorab-like	Chr04	108029113	108029113	-0.011718531	0.011718531	unbias	0.317319053	Ovary_mean	0.1596	0.2324	1.456
TRINITY_DN108932_c0_g1_i1	gata4	scaffold_13	775423	775423	-0.062056346	0.062056346	unbias	0.369166807	Ovary_mean	0.1002	0.0906	0.9041
TRINITY_DN108997_c0_g1_i1	NA	NA	NA	NA	0.986406542	0.986406542	unbias	0.166963713	G27_mean	0.0581	0.0995	1.711
TRINITY_DN109101_c0_g2_i1	NA	NA	NA	NA	0.149937613	0.149937613	unbias	0.433884284	Ovary_mean	0.1856	0.1667	0.8984
TRINITY_DN109124_c0_g2_i2	NA	NA	NA	NA	-0.038156398	0.038156398	unbias	0.19323608	Brain_mean	0.1062	0.2105	1.9825
TRINITY_DN109157_c0_g1_i1	NA	NA	NA	NA	-0.16698363	0.16698363	unbias	0.235029567	Ovary_mean	0.0156	0.0301	1.9237
TRINITY_DN109160_c0_g1_i1	rnmt	Chr06	87920054	87920054	0.586305287	0.586305287	unbias	0.183563277	G27_mean	0.1321	0.117	0.8858
TRINITY_DN109252_c0_g1_i2	NA	NA	NA	NA	0.634934364	0.634934364	unbias	0.544702936	Ovary_mean	0.1287	0.1821	1.4156
TRINITY_DN109275_c0_g1_i1	NA	NA	NA	NA	-0.126774878	0.126774878	unbias	0.478059501	Ovary_mean	0.0644	0.1112	1.7268
TRINITY_DN109277_c0_g2_i3	bckdhb	Chr05	79769178	79769178	0.258626917	0.258626917	unbias	0.278600966	G23_mean	0.1038	0.1589	1.5305
TRINITY_DN109298_c0_g1_i1	NA	NA	NA	NA	0.912603154	0.912603154	unbias	0.68778495	Liver_mean	0.2703	0.5156	1.9072
TRINITY_DN109310_c0_g2_i2	NA	NA	NA	NA	-0.184243737	0.184243737	unbias	0.603543012	G43_M_mean	0.0443	0.0719	1.6242
TRINITY_DN109331_c0_g1_i1	NA	NA	NA	NA	-0.243269276	0.243269276	unbias	0.249059109	Ovary_mean	0.022	0.0175	0.7944
TRINITY_DN109423_c0_g1_i2	NA	NA	NA	NA	-0.435276391	0.435276391	unbias	0.286800666	G43_F_mean	0.1955	0.2882	1.4741
TRINITY_DN109424_c0_g2_i2	NA	NA	NA	NA	-0.311778703	0.311778703	unbias	0.567522856	Testis_mean	0.0755	0.1195	1.5831
TRINITY_DN109430_c0_g5_i1	NA	NA	NA	NA	0.898258126	0.898258126	unbias	0.565408613	Ovary_mean	0.165	0.2426	1.4703
TRINITY_DN109454_c0_g1_i2	zc3h12a	Chr02	81310231	81310231	-0.344837477	0.344837477	unbias	0.263110565	Ovary_mean	0.2116	0.3049	1.4406
TRINITY_DN109459_c0_g1_i1	NA	NA	NA	NA	0.300447071	0.300447071	unbias	0.409106994	Brain_mean	0.0437	0.0557	1.2764
TRINITY_DN109491_c0_g2_i1	NA	NA	NA	NA	-0.04241897	0.04241897	unbias	0.286487963	Testis_mean	0.1369	0.1757	1.2834
TRINITY_DN109500_c0_g1_i1	NA	NA	NA	NA	-0.102675981	0.102675981	unbias	0.171750692	G23_mean	0.0275	0.0505	1.8368
TRINITY_DN109511_c0_g1_i1	eif3j-like	Chr03	115982238	115982238	-0.525331981	0.525331981	unbias	0.544332911	Brain_mean	0.0263	0.0492	1.8727
TRINITY_DN109559_c0_g1_i1	NA	NA	NA	NA	-0.214773776	0.214773776	unbias	0.436438364	Liver_mean	0.1326	0.2053	1.5487
TRINITY_DN109560_c0_g1_i1	NA	NA	NA	NA	0.314738714	0.314738714	unbias	0.526851568	Ovary_mean	0.1453	0.2157	1.4848
TRINITY_DN109625_c0_g1_i3	NA	NA	NA	NA	-0.221835715	0.221835715	unbias	0.32503898	Ovary_mean	0.0295	0.0547	1.8545
TRINITY_DN109635_c0_g2_i1	NA	NA	NA	NA	0.117986658	0.117986658	unbias	0.186738358	Brain_mean	0.001	0.0007	0.6815
TRINITY_DN109640_c0_g2_i2	NA	NA	NA	NA	-0.583164464	0.583164464	unbias	0.270678896	Brain_mean	0.0819	0.1633	1.9941
TRINITY_DN109667_c0_g1_i2	NA	NA	NA	NA	0.100843064	0.100843064	unbias	0.341072917	Ovary_mean	0.0371	0.0672	1.8078
TRINITY_DN109678_c0_g1_i4	vezt	Chr03	47324988	47324988	-0.188979335	0.188979335	unbias	0.363092694	Ovary_mean	0.0389	0.0457	1.1736
TRINITY_DN109692_c0_g1_i2	NA	NA	NA	NA	0.420555378	0.420555378	unbias	0.15938777	Testis_mean	0.0239	0.0357	1.491
TRINITY_DN109728_c0_g1_i1	stk17a	Chr06	65785847	65785847	0.070309975	0.070309975	unbias	0.606521047	G23_mean	0.1097	0.0752	0.6858
TRINITY_DN109810_c0_g1_i1	NA	NA	NA	NA	0.143953516	0.143953516	unbias	0.210462922	Ovary_mean	0.0305	0.0603	1.9804
TRINITY_DN109817_c0_g1_i1	NA	NA	NA	NA	-0.212127095	0.212127095	unbias	0.499135008	Brain_mean	0.0695	0.0727	1.0463
TRINITY_DN109844_c0_g2_i1	NA	NA	NA	NA	-0.034641439	0.034641439	unbias	0.354602922	Ovary_mean	0.1636	0.2496	1.526
TRINITY_DN109864_c0_g1_i1	NA	NA	NA	NA	-0.517548041	0.517548041	unbias	0.441694247	Ovary_mean	0.0612	0.102	1.6682
TRINITY_DN109879_c0_g1_i1	NA	NA	NA	NA	-0.074567281	0.074567281	unbias	0.192989636	Ovary_mean	0.1064	0.1152	1.0825
TRINITY_DN109936_c0_g2_i1	NA	NA	NA	NA	-0.219914614	0.219914614	unbias	0.381561212	Ovary_mean	0.0183	0.0269	1.4722
TRINITY_DN109976_c0_g1_i1	NA	NA	NA	NA	0.17414358	0.17414358	unbias	0.441126566	G43_F_mean	0.1189	0.1333	1.121
TRINITY_DN109980_c1_g1_i1	NA	NA	NA	NA	1.725470134	1.725470134	unbias	0.529646518	G43_F_mean	0.0447	0.0508	1.138
TRINITY_DN109991_c0_g1_i2	NA	NA	NA	NA	0.14121812	0.14121812	unbias	0.199076815	Ovary_mean	0.0762	0.1381	1.8122
TRINITY_DN110022_c0_g1_i1	LOC100493669-like	Chr02	7493012	7493012	0.17361355	0.17361355	unbias	0.451953779	Ovary_mean	0.0759	0.12	1.5823
TRINITY_DN110047_c0_g1_i3	NA	NA	NA	NA	0.028503819	0.028503819	unbias	0.361409154	Brain_mean	0.124	0.2167	1.7478
TRINITY_DN110102_c0_g2_i3	NA	NA	NA	NA	0.286104104	0.286104104	unbias	0.326610653	Brain_mean	0.0216	0.0363	1.6819
TRINITY_DN110132_c0_g2_i1	NA	NA	NA	NA	-0.005906526	0.005906526	unbias	0.22421265	Ovary_mean	0.0019	0.003	1.6174
TRINITY_DN110146_c0_g1_i3	NA	NA	NA	NA	1.106405199	1.106405199	unbias	0.443003085	Liver_mean	0.0728	0.1335	1.8353
TRINITY_DN110153_c0_g1_i1	NA	NA	NA	NA	0.679306253	0.679306253	unbias	0.31821499	Ovary_mean	0.0679	0.1167	1.7178
TRINITY_DN110205_c0_g1_i1	NA	NA	NA	NA	-3.053756027	3.053756027	female	0.927238995	Liver_mean	0.2041	0.2195	1.0753
TRINITY_DN110214_c0_g1_i3	map6	Chr02	169611801	169611801	-0.442845794	0.442845794	unbias	0.696509662	Liver_mean	0.1288	0.1689	1.3121
TRINITY_DN110248_c0_g1_i1	NA	NA	NA	NA	-0.031567273	0.031567273	unbias	0.629615748	Brain_mean	0.0129	0.0199	1.5477
TRINITY_DN110265_c0_g1_i1	NA	NA	NA	NA	-0.249800401	0.249800401	unbias	0.410874473	Ovary_mean	0.0534	0.0796	1.4913
TRINITY_DN110307_c0_g1_i3	cdadc1-like	Chr02	146267316	146267316	0.029269985	0.029269985	unbias	0.239844625	Ovary_mean	0.0399	0.0735	1.8415
TRINITY_DN110314_c0_g1_i3	NA	NA	NA	NA	-0.115114912	0.115114912	unbias	0.436149235	Ovary_mean	0.0766	0.1499	1.9564
TRINITY_DN110346_c0_g1_i2	NA	NA	NA	NA	0.371277432	0.371277432	unbias	0.431359026	Ovary_mean	0.0737	0.1275	1.7291
TRINITY_DN110445_c1_g1_i3	NA	NA	NA	NA	0.092336952	0.092336952	unbias	0.336314892	Brain_mean	0.0353	0.0538	1.5229
