gid	gname	chr	start	end	logFC.XYliver.XXliver	bias
TRINITY_DN128592_c11_g1_i1	NA	NA	NA	NA	-5.358864259	female
TRINITY_DN122454_c0_g2_i2	LOC100497319-like	Chr04	5017215	5017215	-5.323386596	female
TRINITY_DN128124_c11_g2_i3	NA	NA	NA	NA	-5.247376085	female
TRINITY_DN130085_c0_g1_i1	olig2	Chr02	10825409	10825409	-5.037035886	female
TRINITY_DN128148_c0_g18_i1	NA	NA	NA	NA	-4.925423007	female
TRINITY_DN134935_c0_g2_i1	ppard	Chr02	77328531	77328531	-4.798901095	female
TRINITY_DN121385_c0_g3_i3	NA	NA	NA	NA	-4.707147127	female
TRINITY_DN19764_c0_g1_i1	phpt1	scaffold_389	14246	14246	-4.49055851	female
TRINITY_DN105647_c0_g2_i1	cpeb3	Chr07	17464515	17464515	-4.456667859	female
TRINITY_DN121200_c0_g1_i1	NA	NA	NA	NA	-4.37269188	female
TRINITY_DN132254_c0_g1_i1	NA	NA	NA	NA	-4.325688162	female
TRINITY_DN107602_c0_g2_i1	NA	NA	NA	NA	-4.315514111	female
TRINITY_DN96380_c0_g3_i1	LOC100493856	scaffold_590	7981	7981	-4.277478803	female
TRINITY_DN124875_c1_g1_i1	NA	NA	NA	NA	-4.172411036	female
TRINITY_DN136095_c7_g1_i1	c16orf52	Chr09	18941179	18941179	-4.095957823	female
TRINITY_DN9176_c0_g1_i1	NA	NA	NA	NA	-4.063791282	female
TRINITY_DN127692_c0_g3_i1	NA	NA	NA	NA	-4.044261481	female
TRINITY_DN124267_c8_g1_i2	NA	NA	NA	NA	-4.038651836	female
TRINITY_DN136702_c5_g1_i1	NA	NA	NA	NA	-3.906641123	female
TRINITY_DN131692_c0_g2_i1	sox6	scaffold_66	137652	137652	-3.904450861	female
TRINITY_DN130203_c1_g4_i1	NA	NA	NA	NA	-3.857197532	female
TRINITY_DN121545_c0_g4_i1	NA	NA	NA	NA	-3.836021641	female
TRINITY_DN126527_c2_g2_i1	NA	NA	NA	NA	-3.822266183	female
TRINITY_DN102016_c0_g3_i1	NA	NA	NA	NA	-3.739188666	female
TRINITY_DN122533_c0_g1_i1	NA	NA	NA	NA	-3.733733711	female
TRINITY_DN136702_c5_g3_i1	NA	NA	NA	NA	-3.692267988	female
TRINITY_DN120478_c0_g1_i1	NA	NA	NA	NA	-3.621765462	female
TRINITY_DN129651_c0_g4_i5	NA	NA	NA	NA	-3.615302271	female
TRINITY_DN153705_c0_g1_i1	ccdc174	Chr04	122095444	122095444	-3.464816925	female
TRINITY_DN118888_c0_g1_i2	NA	NA	NA	NA	-3.457718499	female
TRINITY_DN133894_c0_g1_i1	NA	NA	NA	NA	-3.281658857	female
TRINITY_DN129827_c5_g2_i1	NA	NA	NA	NA	-3.243653146	female
TRINITY_DN182627_c0_g1_i1	pdf	Chr04	62250610	62250610	-3.186921597	female
TRINITY_DN134475_c3_g2_i1	NA	NA	NA	NA	-3.134720782	female
TRINITY_DN119925_c1_g1_i1	NA	NA	NA	NA	-3.120454498	female
TRINITY_DN126137_c6_g9_i1	NA	NA	NA	NA	-3.111803519	female
TRINITY_DN120303_c0_g4_i1	NA	NA	NA	NA	-3.095528364	female
TRINITY_DN120435_c1_g1_i1	NA	NA	NA	NA	-3.076202755	female
TRINITY_DN97635_c0_g1_i5	NA	NA	NA	NA	-3.066630051	female
TRINITY_DN110205_c0_g1_i1	NA	NA	NA	NA	-3.053756027	female
TRINITY_DN126361_c2_g2_i3	LOC100489250	Chr09	68034296	68034296	-3.019120764	female
TRINITY_DN96058_c0_g1_i3	NA	NA	NA	NA	-3.003010835	female
TRINITY_DN133419_c0_g1_i1	NA	NA	NA	NA	-2.993365337	female
TRINITY_DN106055_c0_g2_i1	NA	NA	NA	NA	-2.956473148	female
TRINITY_DN114670_c0_g1_i1	NA	NA	NA	NA	-2.955721232	female
TRINITY_DN134442_c2_g1_i1	angptl2	scaffold_92	123295	123295	-2.914347867	female
TRINITY_DN117740_c0_g1_i2	NA	NA	NA	NA	-2.81977204	female
TRINITY_DN120502_c0_g1_i1	NA	NA	NA	NA	-2.818424224	female
TRINITY_DN131767_c0_g2_i1	lrp5	Chr04	41881405	41881405	-2.803814111	female
TRINITY_DN123800_c0_g1_i1	bmp10	Chr03	111376568	111376568	-2.783466643	female
TRINITY_DN75938_c0_g1_i1	NA	NA	NA	NA	-2.780642976	female
TRINITY_DN125465_c0_g2_i1	NA	NA	NA	NA	-2.779774464	female
TRINITY_DN110867_c0_g1_i1	NA	NA	NA	NA	-2.710222192	female
TRINITY_DN127334_c4_g1_i1	NA	NA	NA	NA	-2.671068998	female
TRINITY_DN121035_c0_g2_i1	NA	NA	NA	NA	-2.626886183	female
TRINITY_DN124366_c0_g1_i1	NA	NA	NA	NA	-2.561231076	female
TRINITY_DN129181_c0_g4_i14	NA	NA	NA	NA	-2.538701784	female
TRINITY_DN34585_c0_g1_i1	NA	NA	NA	NA	-2.537109179	female
TRINITY_DN113738_c0_g2_i6	NA	NA	NA	NA	-2.518932889	female
TRINITY_DN125119_c3_g6_i1	NA	NA	NA	NA	-2.511500783	female
TRINITY_DN136165_c4_g1_i1	NA	NA	NA	NA	-2.506001093	female
TRINITY_DN72345_c0_g1_i1	NA	NA	NA	NA	-2.479275006	female
TRINITY_DN161459_c0_g1_i1	NA	NA	NA	NA	-2.475387345	female
TRINITY_DN126074_c5_g1_i3	LOC101731355	Chr07	111930208	111930208	-2.4696838	female
TRINITY_DN131174_c1_g2_i1	pvrl2	Chr07	101340057	101340057	-2.468847317	female
TRINITY_DN97415_c1_g1_i1	NA	NA	NA	NA	-2.416601872	female
TRINITY_DN112847_c0_g1_i1	NA	NA	NA	NA	-2.380860315	female
TRINITY_DN135762_c3_g1_i1	sumo2	Chr10	35830902	35830902	-2.365215341	female
TRINITY_DN127333_c1_g3_i1	NA	NA	NA	NA	-2.338777991	female
TRINITY_DN127041_c0_g1_i3	aldh1l2	Chr03	40739666	40739666	-2.252765327	female
TRINITY_DN116092_c0_g3_i1	NA	NA	NA	NA	-2.243559755	female
TRINITY_DN130860_c2_g1_i3	NA	NA	NA	NA	-2.24239074	female
TRINITY_DN107343_c0_g1_i1	NA	NA	NA	NA	-2.209730975	female
TRINITY_DN114230_c0_g1_i1	NA	NA	NA	NA	-2.200203263	female
TRINITY_DN128775_c0_g1_i1	gdap1l1	Chr10	30298649	30298649	-2.160645946	female
TRINITY_DN119834_c0_g1_i2	LOC100497391	Chr04	80333838	80333838	-2.141823808	female
TRINITY_DN134057_c5_g4_i2	NA	NA	NA	NA	-2.11277974	female
TRINITY_DN104464_c0_g1_i1	NA	NA	NA	NA	-2.070221403	female
TRINITY_DN129937_c0_g3_i4	NA	NA	NA	NA	-2.05422191	female
TRINITY_DN120956_c1_g1_i8	desi1	Chr04	103997688	103997688	-2.003905631	female
TRINITY_DN107814_c0_g2_i1	NA	NA	NA	NA	-1.995818029	female
TRINITY_DN131259_c12_g4_i1	NA	NA	NA	NA	-1.987264594	female
TRINITY_DN134779_c7_g2_i1	NA	NA	NA	NA	-1.976792062	female
TRINITY_DN130147_c2_g5_i1	LOC100493063	Chr07	72856189	72856189	-1.968256438	female
TRINITY_DN127281_c1_g1_i3	NA	NA	NA	NA	-1.959832552	female
TRINITY_DN120145_c0_g1_i1	NA	NA	NA	NA	-1.916458903	female
TRINITY_DN129628_c2_g2_i2	NA	NA	NA	NA	-1.846158932	female
TRINITY_DN128335_c3_g2_i1	NA	NA	NA	NA	-1.843755634	female
TRINITY_DN121738_c0_g2_i3	NA	NA	NA	NA	-1.838587492	female
TRINITY_DN122662_c0_g12_i1	NA	NA	NA	NA	-1.818675773	female
TRINITY_DN134360_c3_g1_i1	srrd	Chr01	140229000	140229000	-1.801477583	female
TRINITY_DN135127_c9_g1_i3	NA	NA	NA	NA	-1.798628365	female
TRINITY_DN99267_c0_g1_i2	dtd1	Chr05	23915090	23915090	-1.794572935	female
TRINITY_DN115794_c1_g1_i1	NA	NA	NA	NA	-1.774671705	female
TRINITY_DN134082_c5_g3_i3	NA	NA	NA	NA	-1.721589485	female
TRINITY_DN111810_c0_g4_i1	traf3	Chr08	76953094	76953094	-1.716046912	female
TRINITY_DN129562_c0_g3_i1	NA	NA	NA	NA	-1.709489247	female
TRINITY_DN115366_c0_g1_i1	NA	NA	NA	NA	-1.707595965	female
TRINITY_DN130236_c1_g1_i4	htatip2	scaffold_84	636289	636289	-1.686731695	female
TRINITY_DN131688_c2_g1_i2	NA	NA	NA	NA	-1.623341885	female
TRINITY_DN119785_c0_g3_i1	mn1	Chr01	141466689	141466689	-1.618236058	female
TRINITY_DN111338_c0_g1_i1	NA	NA	NA	NA	-1.574556635	female
TRINITY_DN136145_c2_g6_i4	NA	NA	NA	NA	-1.486827683	female
TRINITY_DN128286_c3_g2_i3	NA	NA	NA	NA	-1.434121429	female
TRINITY_DN133528_c0_g1_i3	LOC100493285	Chr07	31817510	31817510	-1.431711639	female
TRINITY_DN132736_c0_g1_i2	NA	NA	NA	NA	-1.410038222	female
TRINITY_DN126754_c2_g1_i1	NA	NA	NA	NA	-1.395206989	female
TRINITY_DN127570_c2_g1_i1	NA	NA	NA	NA	-1.370856881	female
TRINITY_DN122337_c2_g1_i4	NA	NA	NA	NA	-1.315261135	female
TRINITY_DN120485_c1_g5_i1	NA	NA	NA	NA	-1.309615656	female
TRINITY_DN112749_c0_g3_i7	NA	NA	NA	NA	-1.297419642	female
TRINITY_DN115604_c0_g3_i1	NA	NA	NA	NA	-1.270564338	female
TRINITY_DN130313_c0_g5_i1	tmem110	Chr03	74287462	74287462	-1.153859577	female
TRINITY_DN128065_c4_g6_i1	dnajc4	Chr04	40294051	40294051	1.161763484	male
TRINITY_DN118885_c0_g1_i1	NA	NA	NA	NA	1.220496704	male
TRINITY_DN133911_c4_g9_i1	NA	NA	NA	NA	1.2300306	male
TRINITY_DN193423_c0_g1_i1	NA	NA	NA	NA	1.257538568	male
TRINITY_DN124548_c3_g1_i1	NA	NA	NA	NA	1.268690407	male
TRINITY_DN132067_c0_g1_i6	NA	NA	NA	NA	1.27419203	male
TRINITY_DN124990_c0_g3_i2	NA	NA	NA	NA	1.279130716	male
TRINITY_DN127460_c5_g2_i1	NA	NA	NA	NA	1.282242597	male
TRINITY_DN130953_c3_g3_i1	NA	NA	NA	NA	1.288693967	male
TRINITY_DN130362_c0_g1_i1	NA	NA	NA	NA	1.289859956	male
TRINITY_DN122195_c3_g2_i1	NA	NA	NA	NA	1.31597103	male
TRINITY_DN123723_c1_g1_i1	NA	NA	NA	NA	1.316762478	male
TRINITY_DN131896_c3_g1_i2	NA	NA	NA	NA	1.31822668	male
TRINITY_DN129860_c0_g3_i1	NA	NA	NA	NA	1.322715689	male
TRINITY_DN131771_c1_g1_i2	NA	NA	NA	NA	1.326175544	male
TRINITY_DN96922_c0_g1_i1	NA	NA	NA	NA	1.334247603	male
TRINITY_DN119358_c1_g2_i4	NA	NA	NA	NA	1.335364672	male
TRINITY_DN100376_c0_g3_i1	bcar1	Chr04	51234279	51234279	1.338158491	male
TRINITY_DN111143_c0_g1_i2	NA	NA	NA	NA	1.346202506	male
TRINITY_DN130699_c6_g2_i2	NA	NA	NA	NA	1.354434054	male
TRINITY_DN136241_c3_g1_i3	NA	NA	NA	NA	1.379398737	male
TRINITY_DN44500_c0_g1_i1	NA	NA	NA	NA	1.402911466	male
TRINITY_DN159788_c0_g1_i1	NA	NA	NA	NA	1.408752976	male
TRINITY_DN130675_c0_g1_i3	coq4	Chr08	375122	375122	1.431664197	male
TRINITY_DN122349_c0_g1_i2	NA	NA	NA	NA	1.441922821	male
TRINITY_DN132293_c0_g2_i1	NA	NA	NA	NA	1.453021733	male
TRINITY_DN124234_c1_g3_i1	NA	NA	NA	NA	1.463432856	male
TRINITY_DN131738_c0_g7_i11	NA	NA	NA	NA	1.480892357	male
TRINITY_DN126104_c3_g4_i3	NA	NA	NA	NA	1.506596664	male
TRINITY_DN119631_c0_g1_i1	NA	NA	NA	NA	1.510334489	male
TRINITY_DN132129_c0_g1_i2	NA	NA	NA	NA	1.510939542	male
TRINITY_DN124922_c6_g7_i1	NA	NA	NA	NA	1.519684303	male
TRINITY_DN130050_c8_g5_i3	NA	NA	NA	NA	1.52786153	male
TRINITY_DN121659_c3_g1_i2	ruvbl2	Chr07	105538234	105538234	1.547937774	male
TRINITY_DN59305_c0_g1_i1	NA	NA	NA	NA	1.551975796	male
TRINITY_DN132176_c6_g1_i1	NA	NA	NA	NA	1.557779667	male
TRINITY_DN135638_c10_g1_i1	NA	NA	NA	NA	1.578087103	male
TRINITY_DN93628_c0_g1_i1	NA	NA	NA	NA	1.608024492	male
TRINITY_DN118037_c0_g1_i1	NA	NA	NA	NA	1.627189376	male
TRINITY_DN131144_c0_g5_i1	NA	NA	NA	NA	1.632222754	male
TRINITY_DN124971_c4_g3_i1	NA	NA	NA	NA	1.649596787	male
TRINITY_DN119671_c0_g2_i1	NA	NA	NA	NA	1.665063863	male
TRINITY_DN125819_c0_g7_i4	NA	NA	NA	NA	1.671965586	male
TRINITY_DN133317_c0_g2_i7	klhl35	Chr02	169691636	169691636	1.681849423	male
TRINITY_DN129251_c2_g1_i5	NA	NA	NA	NA	1.696122213	male
TRINITY_DN132137_c3_g3_i1	NA	NA	NA	NA	1.709151225	male
TRINITY_DN120232_c0_g1_i1	NA	NA	NA	NA	1.709966268	male
TRINITY_DN134398_c2_g2_i2	NA	NA	NA	NA	1.739991936	male
TRINITY_DN131144_c0_g3_i1	NA	NA	NA	NA	1.740875895	male
TRINITY_DN125191_c7_g1_i1	NA	NA	NA	NA	1.751034708	male
TRINITY_DN114003_c0_g1_i1	NA	NA	NA	NA	1.753450252	male
TRINITY_DN120237_c0_g2_i1	brsk1-like	Chr07	105976371	105976371	1.768689816	male
TRINITY_DN129698_c3_g1_i2	NA	NA	NA	NA	1.784458929	male
TRINITY_DN128547_c9_g1_i2	LOC100489101	Chr02	62314647	62314647	1.815930308	male
TRINITY_DN133763_c2_g2_i1	NA	NA	NA	NA	1.827620866	male
TRINITY_DN130095_c2_g1_i1	NA	NA	NA	NA	1.838377177	male
TRINITY_DN115622_c0_g2_i1	NA	NA	NA	NA	1.84013331	male
TRINITY_DN121821_c2_g2_i4	NA	NA	NA	NA	1.844359514	male
TRINITY_DN113202_c0_g1_i1	NA	NA	NA	NA	1.869263293	male
TRINITY_DN119647_c0_g2_i1	NA	NA	NA	NA	1.909097791	male
TRINITY_DN116909_c0_g1_i3	NA	NA	NA	NA	1.933832672	male
TRINITY_DN130008_c0_g2_i4	atp1b4-like	Chr08	24828563	24828563	1.978563379	male
TRINITY_DN130045_c0_g3_i2	NA	NA	NA	NA	1.990976882	male
TRINITY_DN122018_c0_g2_i1	NA	NA	NA	NA	2.03302998	male
TRINITY_DN112720_c0_g1_i1	NA	NA	NA	NA	2.045442672	male
TRINITY_DN109189_c0_g1_i1	NA	NA	NA	NA	2.135694867	male
TRINITY_DN112525_c0_g1_i1	asmtl	Chr02	34679028	34679028	2.161334502	male
TRINITY_DN131346_c3_g1_i2	NA	NA	NA	NA	2.282220094	male
TRINITY_DN116300_c0_g1_i1	Xetrov90028034m	scaffold_316	172984	172984	2.382084772	male
TRINITY_DN117920_c0_g1_i5	NA	NA	NA	NA	2.441376366	male
TRINITY_DN133435_c0_g5_i1	NA	NA	NA	NA	2.452094984	male
TRINITY_DN87581_c0_g1_i1	NA	NA	NA	NA	2.490140702	male
TRINITY_DN129964_c1_g5_i2	NA	NA	NA	NA	2.548743967	male
TRINITY_DN132978_c0_g1_i2	dopey2	Chr02	9291954	9291954	2.556362532	male
TRINITY_DN142384_c0_g1_i1	NA	NA	NA	NA	2.570256684	male
TRINITY_DN127904_c4_g1_i1	taok3	Chr01	156808132	156808132	2.621237956	male
TRINITY_DN96852_c0_g2_i1	NA	NA	NA	NA	2.652243532	male
TRINITY_DN129489_c0_g1_i5	NA	NA	NA	NA	2.677352689	male
TRINITY_DN121831_c0_g1_i1	frmd8	Chr04	38983942	38983942	2.771942266	male
TRINITY_DN124874_c1_g1_i1	Xetrov90019353m	Chr07	108127519	108127519	2.824940801	male
TRINITY_DN123466_c0_g1_i2	NA	NA	NA	NA	2.826820412	male
TRINITY_DN129430_c0_g1_i1	NA	NA	NA	NA	2.836859147	male
TRINITY_DN93825_c0_g1_i2	NA	NA	NA	NA	2.904174817	male
TRINITY_DN122892_c0_g1_i1	LOC100492550	Chr01	98813361	98813361	3.152822812	male
TRINITY_DN117521_c0_g1_i1	NA	NA	NA	NA	3.196010304	male
TRINITY_DN121044_c0_g1_i1	elp2	Chr06	61012013	61012013	3.422606114	male
TRINITY_DN130177_c4_g1_i1	slc5a11-like	Chr09	13427778	13427778	3.473940594	male
TRINITY_DN130651_c1_g2_i1	NA	NA	NA	NA	3.533389114	male
TRINITY_DN127236_c4_g6_i1	NA	NA	NA	NA	3.693907945	male
TRINITY_DN129354_c0_g1_i2	ccdc135	Chr04	28065592	28065592	3.799982639	male
TRINITY_DN130291_c2_g1_i1	dlx3	Chr10	9665319	9665319	3.900855771	male
TRINITY_DN124380_c13_g1_i1	Xetrov90008305m	Chr03	68392753	68392753	4.205536924	male
TRINITY_DN123704_c2_g4_i2	NA	NA	NA	NA	4.389597627	male
TRINITY_DN128940_c2_g1_i1	NA	NA	NA	NA	4.625186163	male
TRINITY_DN134012_c5_g2_i1	NA	NA	NA	NA	5.118567006	male
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	5.372521516	male
TRINITY_DN179330_c0_g1_i1	NA	NA	NA	NA	5.415179576	male
TRINITY_DN126089_c1_g1_i2	NA	NA	NA	NA	5.704305392	male
TRINITY_DN131507_c1_g1_i1	NA	NA	NA	NA	8.292111058	male
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	10.05841231	male
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	0.369321195	unbias
TRINITY_DN100055_c0_g1_i1	NA	NA	NA	NA	1.222249772	unbias
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	0.569287571	unbias
TRINITY_DN100099_c0_g2_i1	dnajb11	Chr09	43499058	43499058	-0.171326036	unbias
TRINITY_DN100160_c0_g1_i1	prkcq	Chr03	74606063	74606063	-0.016152498	unbias
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	0.349531037	unbias
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	-0.184999738	unbias
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	0.264037412	unbias
TRINITY_DN100300_c0_g1_i1	NA	NA	NA	NA	1.086242361	unbias
TRINITY_DN100376_c0_g1_i1	Xetrov90003149m	Chr01	153885424	153885424	-0.179337366	unbias
TRINITY_DN100376_c0_g2_i1	NA	NA	NA	NA	0.962822872	unbias
TRINITY_DN100410_c0_g1_i1	galnt10	Chr03	9068162	9068162	0.146973323	unbias
TRINITY_DN100549_c0_g1_i1	NA	NA	NA	NA	-0.449796411	unbias
TRINITY_DN100595_c0_g1_i1	NA	NA	NA	NA	0.201943489	unbias
TRINITY_DN100617_c0_g1_i1	NA	NA	NA	NA	-0.121563239	unbias
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	0.337962097	unbias
TRINITY_DN100681_c0_g1_i1	NA	NA	NA	NA	-0.130418902	unbias
TRINITY_DN100706_c0_g3_i1	NA	NA	NA	NA	-0.392645571	unbias
TRINITY_DN100751_c0_g1_i1	NA	NA	NA	NA	-0.012293937	unbias
TRINITY_DN100835_c0_g1_i1	Xetrov90002071m	Chr01	105042124	105042124	-0.321921819	unbias
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	1.68751074	unbias
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	-0.186712136	unbias
TRINITY_DN100856_c0_g2_i1	NA	NA	NA	NA	-0.295410446	unbias
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	-0.720664544	unbias
TRINITY_DN100986_c0_g2_i2	NA	NA	NA	NA	-0.554325322	unbias
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	-0.532768097	unbias
TRINITY_DN101023_c0_g2_i1	NA	NA	NA	NA	-0.24477758	unbias
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	-0.77911209	unbias
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	-0.222082881	unbias
TRINITY_DN101074_c0_g1_i1	socs6	scaffold_21	2671703	2671703	-0.079704726	unbias
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	0.354097788	unbias
TRINITY_DN101150_c0_g1_i1	uba2	Chr04	19265605	19265605	-0.712300915	unbias
TRINITY_DN101150_c0_g2_i1	NA	NA	NA	NA	-1.399066054	unbias
TRINITY_DN101180_c0_g1_i1	LOC100494811	Chr04	21103744	21103744	0.559480538	unbias
TRINITY_DN101244_c0_g1_i1	NA	NA	NA	NA	0.956406433	unbias
TRINITY_DN101269_c0_g1_i5	NA	NA	NA	NA	0.570129875	unbias
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	-0.229064212	unbias
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	-0.523762184	unbias
TRINITY_DN101325_c0_g1_i1	mmadhc	Chr09	71696330	71696330	0.505004273	unbias
TRINITY_DN101325_c0_g2_i1	NA	NA	NA	NA	1.556825433	unbias
TRINITY_DN101332_c0_g1_i1	NA	NA	NA	NA	0.086503554	unbias
TRINITY_DN101356_c0_g1_i1	pdia2	Chr09	9296722	9296722	0.090309412	unbias
TRINITY_DN101361_c0_g1_i2	NA	NA	NA	NA	0.725958131	unbias
TRINITY_DN101409_c0_g1_i1	NA	NA	NA	NA	-1.564645331	unbias
TRINITY_DN101432_c0_g2_i1	NA	NA	NA	NA	-0.087884536	unbias
TRINITY_DN101437_c0_g1_i1	NA	NA	NA	NA	-0.131847841	unbias
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	-0.121452802	unbias
TRINITY_DN101472_c0_g1_i1	NA	NA	NA	NA	0.387651793	unbias
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	1.054883038	unbias
TRINITY_DN101481_c0_g1_i2	NA	NA	NA	NA	-0.453132028	unbias
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.358560448	unbias
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	-0.07810206	unbias
TRINITY_DN101558_c0_g1_i1	NA	NA	NA	NA	-0.574828982	unbias
TRINITY_DN101562_c0_g2_i1	copz1	Chr02	142395009	142395009	-0.956561713	unbias
TRINITY_DN101610_c0_g2_i1	NA	NA	NA	NA	-0.866244377	unbias
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	-0.308251224	unbias
TRINITY_DN101739_c1_g1_i2	NA	NA	NA	NA	-0.31133529	unbias
TRINITY_DN101751_c0_g1_i1	NA	NA	NA	NA	-0.071379956	unbias
TRINITY_DN101758_c0_g1_i1	NA	NA	NA	NA	0.416616166	unbias
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	-0.382055945	unbias
TRINITY_DN101813_c0_g1_i1	mras	Chr09	50931287	50931287	1.538265916	unbias
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	-1.228951918	unbias
TRINITY_DN101867_c0_g1_i1	NA	NA	NA	NA	-0.629911515	unbias
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	0.548962444	unbias
TRINITY_DN101897_c0_g1_i1	NA	NA	NA	NA	-0.912027947	unbias
TRINITY_DN101901_c0_g1_i2	NA	NA	NA	NA	-0.823053416	unbias
TRINITY_DN101903_c0_g1_i1	NA	NA	NA	NA	-0.65435346	unbias
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	0.025378664	unbias
TRINITY_DN101924_c0_g1_i2	NA	NA	NA	NA	0.370376721	unbias
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	0.542588607	unbias
TRINITY_DN101964_c0_g1_i1	NA	NA	NA	NA	0.972403133	unbias
TRINITY_DN102000_c0_g1_i1	NA	NA	NA	NA	-0.356249282	unbias
TRINITY_DN102016_c0_g1_i1	NA	NA	NA	NA	0.312700198	unbias
TRINITY_DN102039_c0_g1_i2	NA	NA	NA	NA	0.451585558	unbias
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	-1.031514447	unbias
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	-0.383206998	unbias
TRINITY_DN102078_c0_g1_i1	rundc3a	Chr10	14285958	14285958	0.440272676	unbias
TRINITY_DN102078_c0_g2_i1	NA	NA	NA	NA	0.581942073	unbias
TRINITY_DN102083_c0_g1_i1	NA	NA	NA	NA	0.020297215	unbias
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	-0.532319272	unbias
TRINITY_DN102104_c0_g1_i1	NA	NA	NA	NA	-0.550147553	unbias
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	0.453617828	unbias
TRINITY_DN102150_c0_g1_i3	NA	NA	NA	NA	0.524286381	unbias
TRINITY_DN102158_c0_g1_i1	NA	NA	NA	NA	-0.539333478	unbias
TRINITY_DN102159_c0_g1_i2	NA	NA	NA	NA	0.431148496	unbias
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.267394783	unbias
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	-0.094507622	unbias
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	-0.578956071	unbias
