gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.Xxliver	bias	tau	tissue
TRINITY_DN103557_c0_g2_i2	NA	NA	NA	NA	-0.172335761	0.172335761	unbias	0.303549566	Ovary_mean
TRINITY_DN103557_c0_g3_i1	NA	NA	NA	NA	-0.711745898	0.711745898	unbias	0.303562803	Ovary_mean
TRINITY_DN103558_c0_g1_i1	NA	NA	NA	NA	-0.072887724	0.072887724	unbias	0.251870845	G27_mean
TRINITY_DN103565_c0_g1_i1	NA	NA	NA	NA	-0.300867115	0.300867115	unbias	0.516075377	Ovary_mean
TRINITY_DN103567_c0_g1_i1	NA	NA	NA	NA	0.298986917	0.298986917	unbias	0.204788318	Ovary_mean
TRINITY_DN103615_c0_g1_i1	NA	NA	NA	NA	0.415295913	0.415295913	unbias	0.172768343	G27_mean
TRINITY_DN103621_c0_g1_i2	NA	NA	NA	NA	-0.402703043	0.402703043	unbias	0.656361493	Ovary_mean
TRINITY_DN103630_c0_g1_i1	NA	NA	NA	NA	0.084715034	0.084715034	unbias	0.294095878	Brain_mean
TRINITY_DN103631_c0_g1_i1	wdr44	Chr08	45918035	45918035	0.242834355	0.242834355	unbias	0.468484196	G43_M_mean
TRINITY_DN103658_c0_g1_i1	NA	NA	NA	NA	-0.00208438	0.00208438	unbias	0.14778659	G23_mean
TRINITY_DN103662_c0_g1_i1	NA	NA	NA	NA	-0.308373426	0.308373426	unbias	0.41493569	Liver_mean
TRINITY_DN103664_c1_g1_i1	NA	NA	NA	NA	-0.11883501	0.11883501	unbias	0.416269511	G43_F_mean
TRINITY_DN103666_c0_g1_i1	NA	NA	NA	NA	-0.240564046	0.240564046	unbias	0.740506087	Brain_mean
TRINITY_DN103690_c0_g1_i1	NA	NA	NA	NA	0.691553477	0.691553477	unbias	0.74129608	Liver_mean
TRINITY_DN103690_c0_g2_i1	NA	NA	NA	NA	-0.204329312	0.204329312	unbias	0.612819722	Liver_mean
TRINITY_DN103706_c0_g3_i1	NA	NA	NA	NA	0.796283368	0.796283368	unbias	0.512153567	G27_mean
TRINITY_DN103714_c0_g1_i2	NA	NA	NA	NA	0.917449957	0.917449957	unbias	0.10765998	Liver_mean
TRINITY_DN103714_c0_g2_i1	NA	NA	NA	NA	-0.341945786	0.341945786	unbias	0.438118863	Liver_mean
TRINITY_DN103727_c0_g1_i1	NA	NA	NA	NA	-0.352710047	0.352710047	unbias	0.412840436	G23_mean
TRINITY_DN103733_c0_g2_i1	ubn2	Chr04	104819166	104819166	0.444751692	0.444751692	unbias	0.103378309	G27_mean
TRINITY_DN103744_c0_g1_i2	LOC100493204	Chr09	26892655	26892655	-0.171607826	0.171607826	unbias	0.145671447	G23_mean
TRINITY_DN103769_c0_g1_i1	NA	NA	NA	NA	0.718795391	0.718795391	unbias	0.141186226	Testis_mean
TRINITY_DN103783_c0_g1_i1	NA	NA	NA	NA	-0.351699226	0.351699226	unbias	0.454331592	Ovary_mean
TRINITY_DN103787_c0_g1_i1	fam46d	Chr08	43190824	43190824	-0.844981148	0.844981148	unbias	0.340092944	Brain_mean
TRINITY_DN103795_c0_g1_i3	foxi4.1	Chr01	15315114	15315114	-0.022186474	0.022186474	unbias	0.184532014	G43_F_mean
TRINITY_DN103812_c0_g1_i2	NA	NA	NA	NA	0.694632075	0.694632075	unbias	0.281789859	G46_F_mean
TRINITY_DN103813_c0_g1_i1	NA	NA	NA	NA	-0.273695385	0.273695385	unbias	0.312051645	G43_F_mean
TRINITY_DN103825_c0_g1_i1	NA	NA	NA	NA	-1.316382153	1.316382153	unbias	0.892764344	Liver_mean
TRINITY_DN103830_c0_g1_i1	NA	NA	NA	NA	0.65688885	0.65688885	unbias	0.620085212	Brain_mean
TRINITY_DN103832_c0_g1_i1	NA	NA	NA	NA	0.081906054	0.081906054	unbias	0.291040231	G43_F_mean
TRINITY_DN103833_c0_g1_i1	NA	NA	NA	NA	0.180082696	0.180082696	unbias	0.129424969	Brain_mean
TRINITY_DN103834_c0_g11_i1	NA	NA	NA	NA	-0.781146168	0.781146168	unbias	0.507100633	Brain_mean
TRINITY_DN103834_c0_g12_i1	NA	NA	NA	NA	-0.468061261	0.468061261	unbias	0.534394986	G46_F_mean
TRINITY_DN103834_c0_g13_i1	steap1	Chr06	20814169	20814169	-0.745383512	0.745383512	unbias	0.337424341	Ovary_mean
TRINITY_DN103834_c0_g2_i1	NA	NA	NA	NA	-1.300948512	1.300948512	unbias	0.572016362	Ovary_mean
TRINITY_DN103834_c0_g3_i1	NA	NA	NA	NA	-2.223159225	2.223159225	unbias	0.492756494	Ovary_mean
TRINITY_DN103834_c0_g4_i1	NA	NA	NA	NA	0.929853894	0.929853894	unbias	0.520487005	G46_F_mean
TRINITY_DN103834_c0_g6_i1	NA	NA	NA	NA	0.294803911	0.294803911	unbias	0.501984219	Brain_mean
TRINITY_DN103834_c0_g7_i1	NA	NA	NA	NA	-1.054010017	1.054010017	unbias	0.314832895	Brain_mean
TRINITY_DN103834_c0_g8_i1	capn13	Chr05	3180802	3180802	0.363314267	0.363314267	unbias	0.637590788	Brain_mean
TRINITY_DN103834_c0_g9_i1	NA	NA	NA	NA	-0.104528684	0.104528684	unbias	0.332019357	Brain_mean
TRINITY_DN103838_c0_g1_i1	tti2	Chr03	118704775	118704775	-0.229138454	0.229138454	unbias	0.745128049	Ovary_mean
TRINITY_DN103847_c0_g1_i1	tfcp2	Chr02	138973022	138973022	0.489694209	0.489694209	unbias	0.715437885	Liver_mean
TRINITY_DN103851_c0_g1_i1	fbxo40-like	scaffold_85	167555	167555	0.431510608	0.431510608	unbias	0.100680542	Brain_mean
TRINITY_DN103879_c0_g1_i2	st6galnac2	Chr10	36838978	36838978	0.324705022	0.324705022	unbias	0.833821137	Liver_mean
TRINITY_DN103882_c0_g1_i1	NA	NA	NA	NA	-0.232920056	0.232920056	unbias	0.431736201	Ovary_mean
TRINITY_DN103890_c0_g1_i2	NA	NA	NA	NA	-0.976070871	0.976070871	unbias	0.671118945	Brain_mean
TRINITY_DN103896_c0_g1_i2	NA	NA	NA	NA	-0.367321415	0.367321415	unbias	0.580831565	G23_mean
TRINITY_DN103898_c0_g1_i1	NA	NA	NA	NA	-0.690681756	0.690681756	unbias	0.58323093	Brain_mean
TRINITY_DN103912_c0_g1_i1	NA	NA	NA	NA	0.595349584	0.595349584	unbias	0.414787075	Brain_mean
TRINITY_DN103924_c0_g1_i1	rnf219-like	Chr02	122246529	122246529	0.256988567	0.256988567	unbias	0.554165929	Liver_mean
TRINITY_DN103964_c0_g1_i1	NA	NA	NA	NA	-0.638842048	0.638842048	unbias	0.37185441	G43_F_mean
TRINITY_DN103974_c0_g2_i1	NA	NA	NA	NA	-1.311042511	1.311042511	unbias	0.359947617	G23_mean
TRINITY_DN103986_c0_g1_i1	NA	NA	NA	NA	0.237343607	0.237343607	unbias	0.329670222	Brain_mean
TRINITY_DN103989_c0_g1_i1	NA	NA	NA	NA	0.247745601	0.247745601	unbias	0.253272654	Ovary_mean
TRINITY_DN104004_c0_g1_i1	NA	NA	NA	NA	0.153688267	0.153688267	unbias	0.441820982	Brain_mean
TRINITY_DN104012_c0_g1_i1	NA	NA	NA	NA	0.303331602	0.303331602	unbias	0.376675843	Brain_mean
TRINITY_DN104027_c0_g1_i1	liph	Chr02	22388327	22388327	0.674335319	0.674335319	unbias	0.519930826	G43_M_mean
TRINITY_DN104090_c1_g1_i1	NA	NA	NA	NA	0.548541658	0.548541658	unbias	0.269074314	G46_F_mean
TRINITY_DN104090_c1_g2_i1	NA	NA	NA	NA	-0.616777966	0.616777966	unbias	0.264123166	G23_mean
TRINITY_DN104110_c1_g1_i1	NA	NA	NA	NA	0.25975632	0.25975632	unbias	0.292505142	Ovary_mean
TRINITY_DN104155_c0_g1_i1	NA	NA	NA	NA	-0.218673358	0.218673358	unbias	0.302755196	Testis_mean
TRINITY_DN104156_c0_g1_i3	NA	NA	NA	NA	-0.125554262	0.125554262	unbias	0.314139398	Ovary_mean
