gid	gname	chr	start	end	logFC.XY43.XX43	abslogFC.XY43.XX43	bias	tau	tissue
TRINITY_DN100788_c0_g1_i1	pls1	Chr05	116352087	116352087	-0.871550145	0.871550145	unbias	0.369813872	G23_mean
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	-0.077297231	0.077297231	unbias	0.482394987	G27_mean
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	1.429677951	1.429677951	unbias	0.600952679	Liver_mean
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	-0.11296711	0.11296711	unbias	0.257924434	G46_F_mean
TRINITY_DN100856_c0_g2_i1	pmp2	Chr06	109097975	109097975	-0.748796911	0.748796911	unbias	0.173797402	Ovary_mean
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	-0.254656453	0.254656453	unbias	0.290451992	Ovary_mean
TRINITY_DN100932_c0_g1_i1	NA	NA	NA	NA	0.447775547	0.447775547	unbias	0.437994161	G46_M_mean
TRINITY_DN100945_c0_g2_i1	atp1b4-like	Chr08	24828563	24828563	0.668697904	0.668697904	unbias	0.664159979	G23_mean
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	-0.276050949	0.276050949	unbias	0.221386767	G43_F_mean
TRINITY_DN101023_c0_g2_i1	ssna1	Chr08	103347	103347	0.829688126	0.829688126	unbias	0.564474088	G43_M_mean
TRINITY_DN101035_c0_g3_i1	NA	NA	NA	NA	0.116029637	0.116029637	unbias	0.571382443	Ovary_mean
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	0.219652679	0.219652679	unbias	0.568551038	Ovary_mean
TRINITY_DN101047_c0_g1_i2	gldc	Chr01	114524252	114524252	-0.322644703	0.322644703	unbias	0.674802958	Ovary_mean
TRINITY_DN101072_c0_g2_i2	NA	NA	NA	NA	-5.96559315	5.96559315	female	0.83180771	Ovary_mean
TRINITY_DN101074_c0_g1_i1	NA	NA	NA	NA	-0.562759053	0.562759053	unbias	0.194238419	G23_mean
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	-0.302590819	0.302590819	unbias	0.272358664	Ovary_mean
TRINITY_DN101111_c0_g1_i2	NA	NA	NA	NA	0.159454253	0.159454253	unbias	0.430844052	Ovary_mean
TRINITY_DN101150_c0_g1_i1	NA	NA	NA	NA	-0.152709307	0.152709307	unbias	0.467467793	G23_mean
TRINITY_DN101150_c0_g2_i1	NA	NA	NA	NA	0.250816495	0.250816495	unbias	0.442735358	Ovary_mean
TRINITY_DN101180_c0_g1_i1	NA	NA	NA	NA	1.100800935	1.100800935	unbias	0.578716991	G43_M_mean
TRINITY_DN101193_c0_g1_i1	NA	NA	NA	NA	0.00480639	0.00480639	unbias	0.483785357	G27_mean
TRINITY_DN101211_c0_g2_i1	NA	NA	NA	NA	0.286552511	0.286552511	unbias	0.695502919	Brain_mean
TRINITY_DN101217_c0_g1_i1	ippk	Chr04	113574422	113574422	0.019998419	0.019998419	unbias	0.22252119	Brain_mean
TRINITY_DN101232_c0_g1_i1	ralyl	Chr06	109681568	109681568	0.161114449	0.161114449	unbias	0.684011892	Brain_mean
TRINITY_DN101244_c0_g1_i1	NA	NA	NA	NA	-0.588888461	0.588888461	unbias	0.359381798	Ovary_mean
TRINITY_DN101269_c0_g1_i5	NA	NA	NA	NA	0.711223007	0.711223007	unbias	0.424543137	G23_mean
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	0.237294936	0.237294936	unbias	0.218768651	Brain_mean
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	-0.468917111	0.468917111	unbias	0.24382234	Ovary_mean
TRINITY_DN101326_c0_g1_i1	cnksr2	Chr02	41296797	41296797	-0.279427427	0.279427427	unbias	0.588842979	G31_mean
TRINITY_DN101332_c0_g1_i1	NA	NA	NA	NA	0.169479837	0.169479837	unbias	0.319042261	G46_M_mean
TRINITY_DN101356_c0_g1_i1	nsun3-like	Chr02	17600060	17600060	0.334089705	0.334089705	unbias	0.608105373	Ovary_mean
TRINITY_DN101361_c0_g1_i2	NA	NA	NA	NA	-0.671924663	0.671924663	unbias	0.493693894	G23_mean
TRINITY_DN101409_c0_g1_i1	NA	NA	NA	NA	-0.898678071	0.898678071	unbias	0.431514611	G31_mean
TRINITY_DN101432_c0_g2_i1	ipmk	Chr07	7302223	7302223	0.015521111	0.015521111	unbias	0.396883116	G27_mean
TRINITY_DN101437_c0_g1_i1	LOC100488384-like	scaffold_316	127985	127985	-0.384439532	0.384439532	unbias	0.219601614	Ovary_mean
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	0.172738488	0.172738488	unbias	0.456256144	Ovary_mean
TRINITY_DN101472_c0_g1_i1	NA	NA	NA	NA	-0.311040276	0.311040276	unbias	0.450467266	Ovary_mean
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	0.025123022	0.025123022	unbias	0.377335453	G46_M_mean
TRINITY_DN101481_c0_g1_i2	NA	NA	NA	NA	-0.078157002	0.078157002	unbias	0.253034125	Brain_mean
TRINITY_DN101483_c0_g2_i1	NA	NA	NA	NA	0.261260735	0.261260735	unbias	0.422296431	Brain_mean
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.200778845	0.200778845	unbias	0.155105807	G23_mean
TRINITY_DN101537_c1_g1_i2	NA	NA	NA	NA	-0.438016062	0.438016062	unbias	0.361773111	G46_F_mean
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	0.035816107	0.035816107	unbias	0.246994246	Ovary_mean
TRINITY_DN101558_c0_g1_i1	NA	NA	NA	NA	-0.096711203	0.096711203	unbias	0.408787278	Ovary_mean
TRINITY_DN101570_c0_g1_i1	NA	NA	NA	NA	-1.46806948	1.46806948	unbias	0.667369427	G46_M_mean
TRINITY_DN101570_c0_g2_i1	NA	NA	NA	NA	1.928213071	1.928213071	unbias	0.815529444	G43_M_mean
TRINITY_DN101592_c0_g2_i1	NA	NA	NA	NA	-0.227688941	0.227688941	unbias	0.76304533	Ovary_mean
TRINITY_DN101610_c0_g2_i1	NA	NA	NA	NA	-0.672620907	0.672620907	unbias	0.155789205	G43_F_mean
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	-0.507119141	0.507119141	unbias	0.42239493	G43_F_mean
TRINITY_DN101739_c1_g1_i2	NA	NA	NA	NA	0.109149255	0.109149255	unbias	0.332059141	G43_M_mean
TRINITY_DN101751_c0_g1_i1	s1pr5	Chr03	127323105	127323105	-0.43951459	0.43951459	unbias	0.488707151	Ovary_mean
TRINITY_DN101758_c0_g1_i1	Xetrov90003730m	Chr01	188782517	188782517	-0.388554573	0.388554573	unbias	0.100775864	G27_mean
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	0.389292808	0.389292808	unbias	0.389206888	Brain_mean
TRINITY_DN101813_c0_g1_i1	NA	NA	NA	NA	-0.92313111	0.92313111	unbias	0.562385747	G27_mean
TRINITY_DN101821_c0_g1_i1	NA	NA	NA	NA	0.157261097	0.157261097	unbias	0.72321634	Brain_mean
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	0.191086617	0.191086617	unbias	0.361985432	Ovary_mean
TRINITY_DN101867_c0_g1_i1	NA	NA	NA	NA	-0.404623009	0.404623009	unbias	0.239577365	G23_mean
TRINITY_DN101869_c0_g1_i1	slc37a2	Chr07	65097722	65097722	0.570346129	0.570346129	unbias	0.590899102	Brain_mean
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	-0.143793968	0.143793968	unbias	0.292855113	G31_mean
TRINITY_DN101897_c0_g1_i1	NA	NA	NA	NA	-0.367361043	0.367361043	unbias	0.314697661	Brain_mean
TRINITY_DN101901_c0_g1_i2	NA	NA	NA	NA	-0.306853869	0.306853869	unbias	0.414443877	G31_mean
TRINITY_DN101903_c0_g1_i1	NA	NA	NA	NA	-0.255242043	0.255242043	unbias	0.426192232	Ovary_mean
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	0.507507983	0.507507983	unbias	0.437470329	Ovary_mean
TRINITY_DN101919_c0_g1_i1	NA	NA	NA	NA	0.539318071	0.539318071	unbias	0.405239302	G43_M_mean
TRINITY_DN101924_c0_g1_i2	NA	NA	NA	NA	-0.32226952	0.32226952	unbias	0.290416036	G23_mean
TRINITY_DN101935_c0_g2_i1	NA	NA	NA	NA	2.012712772	2.012712772	unbias	0.4516215	Brain_mean
TRINITY_DN101945_c0_g2_i1	rnmtl1	Chr02	92666816	92666816	0.265140952	0.265140952	unbias	0.465739189	G31_mean
TRINITY_DN101949_c0_g1_i1	pnrc2	Chr02	54849501	54849501	0.000953339	0.000953339	unbias	0.77580829	G43_M_mean
TRINITY_DN101950_c0_g1_i1	NA	NA	NA	NA	0.446081073	0.446081073	unbias	0.681324228	Brain_mean
TRINITY_DN101953_c0_g1_i3	myoz1	Chr07	52868617	52868617	-0.602961106	0.602961106	unbias	0.411181266	Ovary_mean
TRINITY_DN101960_c0_g1_i1	NA	NA	NA	NA	-0.238981777	0.238981777	unbias	0.573879492	G43_F_mean
TRINITY_DN101966_c0_g1_i1	NA	NA	NA	NA	-0.246788808	0.246788808	unbias	0.442336924	G46_M_mean
TRINITY_DN101967_c0_g1_i4	NA	NA	NA	NA	0.293802028	0.293802028	unbias	0.620018416	Brain_mean
TRINITY_DN101988_c0_g1_i1	NA	NA	NA	NA	-0.688306165	0.688306165	unbias	0.506954367	G43_F_mean
TRINITY_DN102000_c0_g1_i1	NA	NA	NA	NA	-0.683363896	0.683363896	unbias	0.411829916	Testis_mean
TRINITY_DN102010_c0_g1_i1	NA	NA	NA	NA	-0.492349584	0.492349584	unbias	0.570825803	G43_F_mean
TRINITY_DN102010_c0_g3_i1	NA	NA	NA	NA	0.169954375	0.169954375	unbias	0.657701848	G46_M_mean
TRINITY_DN102016_c0_g1_i1	NA	NA	NA	NA	-0.298364118	0.298364118	unbias	0.313979328	Ovary_mean
TRINITY_DN10201_c0_g1_i1	znf131	Chr01	182108399	182108399	-0.640738933	0.640738933	unbias	0.724792982	G46_F_mean
TRINITY_DN102026_c0_g1_i2	spock3	Chr01	41555975	41555975	0.470375028	0.470375028	unbias	0.532322044	Brain_mean
TRINITY_DN102032_c0_g1_i1	NA	NA	NA	NA	0.739705577	0.739705577	unbias	0.821750861	Brain_mean
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	-0.0461439	0.0461439	unbias	0.403031814	Ovary_mean
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	-0.436181448	0.436181448	unbias	0.418307414	Testis_mean
TRINITY_DN102070_c0_g3_i2	NA	NA	NA	NA	-0.057422321	0.057422321	unbias	0.660870683	G46_F_mean
TRINITY_DN102078_c0_g1_i1	NA	NA	NA	NA	-0.33175945	0.33175945	unbias	0.253002842	Ovary_mean
TRINITY_DN102078_c0_g2_i1	NA	NA	NA	NA	-0.54093111	0.54093111	unbias	0.232454096	Ovary_mean
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	-0.224731198	0.224731198	unbias	0.209951272	Ovary_mean
TRINITY_DN102094_c0_g1_i1	fam81b-like	Chr01	172482617	172482617	-0.611064839	0.611064839	unbias	0.855450342	Brain_mean
TRINITY_DN102094_c0_g2_i1	NA	NA	NA	NA	0.994521683	0.994521683	unbias	0.871260263	Brain_mean
TRINITY_DN102094_c0_g3_i1	NA	NA	NA	NA	0.302258801	0.302258801	unbias	0.783130121	Brain_mean
TRINITY_DN102104_c0_g1_i1	limch1-like	Chr01	27762044	27762044	-0.311802172	0.311802172	unbias	0.315922318	G43_F_mean
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	0.330539593	0.330539593	unbias	0.475950957	Ovary_mean
TRINITY_DN102142_c0_g1_i1	adamtsl4	Chr08	106754257	106754257	-0.175512782	0.175512782	unbias	0.548131402	G27_mean
TRINITY_DN102158_c0_g1_i1	apoa1bp	Chr08	111805654	111805654	-0.505802556	0.505802556	unbias	0.219737896	Ovary_mean
TRINITY_DN102159_c0_g1_i2	NA	NA	NA	NA	-0.296957202	0.296957202	unbias	0.429824349	Liver_mean
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.355157479	0.355157479	unbias	0.452032675	Ovary_mean
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	-0.030427587	0.030427587	unbias	0.278699067	Ovary_mean
TRINITY_DN102186_c0_g1_i2	NA	NA	NA	NA	-0.422320023	0.422320023	unbias	0.549792995	G43_F_mean
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	0.555708477	0.555708477	unbias	0.358722229	Brain_mean
TRINITY_DN102193_c0_g2_i1	NA	NA	NA	NA	0.176594257	0.176594257	unbias	0.414616606	Brain_mean
TRINITY_DN102201_c0_g1_i1	NA	NA	NA	NA	0.38874222	0.38874222	unbias	0.357658707	Ovary_mean
TRINITY_DN102218_c0_g1_i1	NA	NA	NA	NA	-0.150136778	0.150136778	unbias	0.256674623	Liver_mean
TRINITY_DN102252_c0_g2_i1	NA	NA	NA	NA	0.018376391	0.018376391	unbias	0.432400696	G23_mean
TRINITY_DN102255_c0_g2_i1	NA	NA	NA	NA	1.490401046	1.490401046	unbias	0.6422132	G43_M_mean
TRINITY_DN102262_c0_g1_i1	NA	NA	NA	NA	0.028364023	0.028364023	unbias	0.437455618	G46_M_mean
TRINITY_DN102272_c0_g1_i1	NA	NA	NA	NA	-0.277966441	0.277966441	unbias	0.421140065	Ovary_mean
TRINITY_DN102276_c0_g1_i1	NA	NA	NA	NA	-0.505996737	0.505996737	unbias	0.615566053	G43_F_mean
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	-0.232947809	0.232947809	unbias	0.132303324	G23_mean
TRINITY_DN102279_c0_g2_i1	NA	NA	NA	NA	0.603732742	0.603732742	unbias	0.156069923	G46_F_mean
TRINITY_DN102288_c0_g1_i1	Xetrov90026621m	scaffold_1597	1024	1024	-0.133923015	0.133923015	unbias	0.570520612	Ovary_mean
TRINITY_DN102300_c0_g1_i1	eif4a1	scaffold_931	33821	33821	-0.627322449	0.627322449	unbias	0.395879112	G23_mean
TRINITY_DN102312_c0_g1_i1	NA	NA	NA	NA	-0.584092981	0.584092981	unbias	0.559183584	G27_mean
TRINITY_DN102326_c0_g3_i1	NA	NA	NA	NA	-0.161221373	0.161221373	unbias	0.515309286	G46_M_mean
TRINITY_DN102362_c0_g1_i1	NA	NA	NA	NA	-0.294434286	0.294434286	unbias	0.221581925	Ovary_mean
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	-0.873100581	0.873100581	unbias	0.485979641	Ovary_mean
TRINITY_DN102367_c0_g1_i2	kif1b-like	Chr07	38595796	38595796	0.109798276	0.109798276	unbias	0.479030197	G43_M_mean
TRINITY_DN102383_c0_g1_i1	NA	NA	NA	NA	-0.646756925	0.646756925	unbias	0.739148267	G43_F_mean
TRINITY_DN102386_c0_g1_i3	LOC100497746	Chr10	36585170	36585170	-0.277755431	0.277755431	unbias	0.380571805	G46_M_mean
TRINITY_DN102393_c0_g1_i1	Xetrov90018014m	Chr07	38203133	38203133	-0.716522432	0.716522432	unbias	0.665881596	G27_mean
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	-0.389068718	0.389068718	unbias	0.175182122	Testis_mean
TRINITY_DN102407_c0_g1_i1	NA	NA	NA	NA	-0.792228471	0.792228471	unbias	0.31598298	G31_mean
TRINITY_DN102425_c0_g1_i1	NA	NA	NA	NA	0.719122482	0.719122482	unbias	0.645064333	Brain_mean
TRINITY_DN102429_c0_g1_i2	NA	NA	NA	NA	-0.494308614	0.494308614	unbias	0.311362152	G43_F_mean
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	-0.31045429	0.31045429	unbias	0.342235666	Ovary_mean
TRINITY_DN102449_c0_g1_i1	NA	NA	NA	NA	-0.396078494	0.396078494	unbias	0.419641723	G43_F_mean
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	0.05290901	0.05290901	unbias	0.173678848	Ovary_mean
TRINITY_DN102456_c0_g1_i1	NA	NA	NA	NA	-0.381687101	0.381687101	unbias	0.345738047	Liver_mean
TRINITY_DN102459_c0_g1_i1	NA	NA	NA	NA	-0.180057111	0.180057111	unbias	0.56214195	Brain_mean
TRINITY_DN102469_c0_g1_i1	zcchc4	scaffold_69	788197	788197	0.368988893	0.368988893	unbias	0.46905447	Liver_mean
TRINITY_DN102489_c0_g2_i1	NA	NA	NA	NA	-1.714699915	1.714699915	unbias	0.669484389	G46_M_mean
TRINITY_DN102489_c0_g3_i1	NA	NA	NA	NA	1.301153487	1.301153487	unbias	0.4774328	G43_M_mean
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	-0.005942911	0.005942911	unbias	0.198656899	Ovary_mean
TRINITY_DN102496_c0_g1_i1	gfm2-like	Chr01	165785366	165785366	-0.12133846	0.12133846	unbias	0.141215721	G23_mean
TRINITY_DN102496_c0_g2_i1	NA	NA	NA	NA	-0.073706347	0.073706347	unbias	0.520019597	G43_M_mean
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	0.166208341	0.166208341	unbias	0.551779824	G23_mean
TRINITY_DN102529_c0_g1_i1	NA	NA	NA	NA	-0.614364759	0.614364759	unbias	0.389325049	G43_F_mean
TRINITY_DN102531_c0_g1_i1	NA	NA	NA	NA	0.228948596	0.228948596	unbias	0.573863595	Brain_mean
TRINITY_DN102539_c0_g1_i1	psen1	Chr08	85906217	85906217	0.082609992	0.082609992	unbias	0.261451474	Brain_mean
TRINITY_DN102559_c0_g2_i1	NA	NA	NA	NA	0.132248696	0.132248696	unbias	0.445084774	Ovary_mean
TRINITY_DN102578_c0_g1_i1	thap11	Chr04	43957999	43957999	-0.351697198	0.351697198	unbias	0.48798068	G23_mean
TRINITY_DN102579_c0_g1_i1	NA	NA	NA	NA	0.081042982	0.081042982	unbias	0.762407146	G46_M_mean
TRINITY_DN102584_c0_g1_i1	NA	NA	NA	NA	0.001940853	0.001940853	unbias	0.293181019	Ovary_mean
TRINITY_DN102595_c0_g1_i2	cpt1b	Chr03	80241473	80241473	0.523980889	0.523980889	unbias	0.575191016	G43_M_mean
TRINITY_DN102616_c0_g1_i1	NA	NA	NA	NA	0.173121953	0.173121953	unbias	0.221974512	Ovary_mean
TRINITY_DN102643_c0_g1_i1	NA	NA	NA	NA	0.057142362	0.057142362	unbias	0.230751502	G43_M_mean
TRINITY_DN102646_c0_g1_i1	NA	NA	NA	NA	0.227268079	0.227268079	unbias	0.583653778	Brain_mean
TRINITY_DN102661_c0_g1_i1	med21	scaffold_3413	781	781	-0.71628214	0.71628214	unbias	0.265085616	G23_mean
TRINITY_DN102667_c0_g1_i1	NA	NA	NA	NA	-0.42604114	0.42604114	unbias	0.132277249	Brain_mean
TRINITY_DN102702_c0_g1_i1	ppp1r27	Chr10	19845234	19845234	-0.478484539	0.478484539	unbias	0.361097661	Ovary_mean
TRINITY_DN102760_c0_g1_i1	rbbp5	Chr02	64308174	64308174	0.369815133	0.369815133	unbias	0.491140846	Brain_mean
TRINITY_DN102865_c0_g1_i2	NA	NA	NA	NA	-0.314070591	0.314070591	unbias	0.132699684	G46_M_mean
TRINITY_DN102894_c0_g1_i2	morc2	Chr01	131453682	131453682	-5.962388638	5.962388638	female	0.867868075	Ovary_mean
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	-5.985659622	5.985659622	female	0.846612067	Ovary_mean
TRINITY_DN102903_c0_g1_i1	NA	NA	NA	NA	-0.210645409	0.210645409	unbias	0.212100098	Brain_mean
TRINITY_DN102914_c0_g1_i1	sytl4	Chr08	43451652	43451652	-0.630092324	0.630092324	unbias	0.821819724	Brain_mean
TRINITY_DN102923_c0_g1_i1	NA	NA	NA	NA	-0.43079359	0.43079359	unbias	0.167352175	Ovary_mean
TRINITY_DN102938_c0_g1_i1	NA	NA	NA	NA	-0.147300628	0.147300628	unbias	0.240538882	Ovary_mean
TRINITY_DN102989_c0_g1_i1	NA	NA	NA	NA	-0.039240419	0.039240419	unbias	0.361973385	Brain_mean
TRINITY_DN103024_c0_g1_i2	NA	NA	NA	NA	-0.310310271	0.310310271	unbias	0.249860859	Brain_mean
TRINITY_DN103049_c0_g4_i1	NA	NA	NA	NA	0.339381046	0.339381046	unbias	0.406762304	G46_M_mean
TRINITY_DN103059_c0_g1_i1	NA	NA	NA	NA	-0.347215162	0.347215162	unbias	0.08358136	G27_mean
TRINITY_DN103065_c0_g1_i1	NA	NA	NA	NA	-0.635439134	0.635439134	unbias	0.213525084	G46_M_mean
TRINITY_DN103086_c1_g1_i1	NA	NA	NA	NA	-0.313479542	0.313479542	unbias	0.58971986	G43_F_mean
TRINITY_DN103096_c0_g1_i1	NA	NA	NA	NA	-0.464493832	0.464493832	unbias	0.628430106	G43_F_mean
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.441284981	0.441284981	unbias	0.135045065	Ovary_mean
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	-0.320871688	0.320871688	unbias	0.328031285	Testis_mean
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	0.524666224	0.524666224	unbias	0.523378908	Brain_mean
TRINITY_DN103187_c0_g1_i2	NA	NA	NA	NA	-0.740702588	0.740702588	unbias	0.448114577	G46_M_mean
TRINITY_DN103192_c0_g1_i1	thbs2	Chr05	40438631	40438631	-0.778192526	0.778192526	unbias	0.237240829	Testis_mean
TRINITY_DN103196_c0_g1_i2	slc39a1-like.1	Chr03	97498254	97498254	-0.467560757	0.467560757	unbias	0.271416799	Ovary_mean
TRINITY_DN103199_c0_g1_i1	slc30a8	Chr06	121704700	121704700	-0.381939929	0.381939929	unbias	0.531855546	Brain_mean
TRINITY_DN103200_c0_g1_i1	arv1	Chr05	55465944	55465944	-0.804773873	0.804773873	unbias	0.587964576	G23_mean
TRINITY_DN103204_c0_g1_i1	pfn2	Chr05	115233446	115233446	-0.178735867	0.178735867	unbias	0.500679938	Brain_mean
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	-0.346733132	0.346733132	unbias	0.142706311	Ovary_mean
TRINITY_DN103214_c0_g1_i1	NA	NA	NA	NA	-0.186485805	0.186485805	unbias	0.465885075	Brain_mean
TRINITY_DN103227_c0_g1_i1	cdca8	Chr02	58943714	58943714	-0.020444724	0.020444724	unbias	0.593196589	Brain_mean
TRINITY_DN103236_c0_g2_i1	NA	NA	NA	NA	-0.001975336	0.001975336	unbias	0.141307059	Brain_mean
TRINITY_DN103267_c0_g1_i1	NA	NA	NA	NA	0.178952541	0.178952541	unbias	0.373449412	Brain_mean
TRINITY_DN103287_c0_g1_i1	NA	NA	NA	NA	-1.379241478	1.379241478	unbias	0.640508437	G46_M_mean
TRINITY_DN103303_c0_g1_i2	NA	NA	NA	NA	0.145352568	0.145352568	unbias	0.322745401	Brain_mean
TRINITY_DN103324_c0_g1_i1	NA	NA	NA	NA	-0.130885148	0.130885148	unbias	0.294889435	Brain_mean
TRINITY_DN103334_c0_g1_i1	NA	NA	NA	NA	0.186854919	0.186854919	unbias	0.321827147	Brain_mean
TRINITY_DN103350_c0_g1_i2	NA	NA	NA	NA	-0.567463605	0.567463605	unbias	0.263731729	G46_F_mean
TRINITY_DN103458_c0_g1_i1	NA	NA	NA	NA	0.433376423	0.433376423	unbias	0.421330508	G43_M_mean
