gid	gname	chr	start	end	logFC.XY43.XX43
TRINITY_DN101217_c0_g1_i1	ippk	Chr04	113574422	113574422	0.019998419
TRINITY_DN101232_c0_g1_i1	ralyl	Chr06	109681568	109681568	0.161114449
TRINITY_DN101244_c0_g1_i1	NA	NA	NA	NA	-0.588888461
TRINITY_DN101269_c0_g1_i5	NA	NA	NA	NA	0.711223007
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	0.237294936
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	-0.468917111
TRINITY_DN101326_c0_g1_i1	cnksr2	Chr02	41296797	41296797	-0.279427427
TRINITY_DN101332_c0_g1_i1	NA	NA	NA	NA	0.169479837
TRINITY_DN101356_c0_g1_i1	nsun3-like	Chr02	17600060	17600060	0.334089705
TRINITY_DN101361_c0_g1_i2	NA	NA	NA	NA	-0.671924663
TRINITY_DN101409_c0_g1_i1	NA	NA	NA	NA	-0.898678071
TRINITY_DN101432_c0_g2_i1	ipmk	Chr07	7302223	7302223	0.015521111
TRINITY_DN101437_c0_g1_i1	LOC100488384-like	scaffold_316	127985	127985	-0.384439532
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	0.172738488
TRINITY_DN101472_c0_g1_i1	NA	NA	NA	NA	-0.311040276
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	0.025123022
TRINITY_DN101481_c0_g1_i2	NA	NA	NA	NA	-0.078157002
TRINITY_DN101483_c0_g2_i1	NA	NA	NA	NA	0.261260735
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.200778845
TRINITY_DN101537_c1_g1_i2	NA	NA	NA	NA	-0.438016062
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	0.035816107
TRINITY_DN101558_c0_g1_i1	NA	NA	NA	NA	-0.096711203
TRINITY_DN101570_c0_g1_i1	NA	NA	NA	NA	-1.46806948
TRINITY_DN101570_c0_g2_i1	NA	NA	NA	NA	1.928213071
TRINITY_DN101592_c0_g2_i1	NA	NA	NA	NA	-0.227688941
TRINITY_DN101610_c0_g2_i1	NA	NA	NA	NA	-0.672620907
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	-0.507119141
TRINITY_DN101739_c1_g1_i2	NA	NA	NA	NA	0.109149255
TRINITY_DN101751_c0_g1_i1	s1pr5	Chr03	127323105	127323105	-0.43951459
TRINITY_DN101758_c0_g1_i1	Xetrov90003730m	Chr01	188782517	188782517	-0.388554573
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	0.389292808
TRINITY_DN101813_c0_g1_i1	NA	NA	NA	NA	-0.92313111
TRINITY_DN101821_c0_g1_i1	NA	NA	NA	NA	0.157261097
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	0.191086617
TRINITY_DN101867_c0_g1_i1	NA	NA	NA	NA	-0.404623009
TRINITY_DN101869_c0_g1_i1	slc37a2	Chr07	65097722	65097722	0.570346129
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	-0.143793968
TRINITY_DN101897_c0_g1_i1	NA	NA	NA	NA	-0.367361043
TRINITY_DN101901_c0_g1_i2	NA	NA	NA	NA	-0.306853869
TRINITY_DN101903_c0_g1_i1	NA	NA	NA	NA	-0.255242043
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	0.507507983
TRINITY_DN101919_c0_g1_i1	NA	NA	NA	NA	0.539318071
TRINITY_DN101924_c0_g1_i2	NA	NA	NA	NA	-0.32226952
TRINITY_DN101935_c0_g2_i1	NA	NA	NA	NA	2.012712772
TRINITY_DN101945_c0_g2_i1	rnmtl1	Chr02	92666816	92666816	0.265140952
TRINITY_DN101949_c0_g1_i1	pnrc2	Chr02	54849501	54849501	0.000953339
TRINITY_DN101950_c0_g1_i1	NA	NA	NA	NA	0.446081073
TRINITY_DN101953_c0_g1_i3	myoz1	Chr07	52868617	52868617	-0.602961106
TRINITY_DN101960_c0_g1_i1	NA	NA	NA	NA	-0.238981777
TRINITY_DN101966_c0_g1_i1	NA	NA	NA	NA	-0.246788808
TRINITY_DN101967_c0_g1_i4	NA	NA	NA	NA	0.293802028
TRINITY_DN101988_c0_g1_i1	NA	NA	NA	NA	-0.688306165
TRINITY_DN102000_c0_g1_i1	NA	NA	NA	NA	-0.683363896
TRINITY_DN102010_c0_g1_i1	NA	NA	NA	NA	-0.492349584
TRINITY_DN102010_c0_g3_i1	NA	NA	NA	NA	0.169954375
TRINITY_DN102016_c0_g1_i1	NA	NA	NA	NA	-0.298364118
TRINITY_DN10201_c0_g1_i1	znf131	Chr01	182108399	182108399	-0.640738933
TRINITY_DN102026_c0_g1_i2	spock3	Chr01	41555975	41555975	0.470375028
TRINITY_DN102032_c0_g1_i1	NA	NA	NA	NA	0.739705577
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	-0.0461439
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	-0.436181448
TRINITY_DN102070_c0_g3_i2	NA	NA	NA	NA	-0.057422321
TRINITY_DN102078_c0_g1_i1	NA	NA	NA	NA	-0.33175945
TRINITY_DN102078_c0_g2_i1	NA	NA	NA	NA	-0.54093111
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	-0.224731198
TRINITY_DN102094_c0_g1_i1	fam81b-like	Chr01	172482617	172482617	-0.611064839
TRINITY_DN102094_c0_g2_i1	NA	NA	NA	NA	0.994521683
TRINITY_DN102094_c0_g3_i1	NA	NA	NA	NA	0.302258801
TRINITY_DN102104_c0_g1_i1	limch1-like	Chr01	27762044	27762044	-0.311802172
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	0.330539593
TRINITY_DN102142_c0_g1_i1	adamtsl4	Chr08	106754257	106754257	-0.175512782
TRINITY_DN102158_c0_g1_i1	apoa1bp	Chr08	111805654	111805654	-0.505802556
TRINITY_DN102159_c0_g1_i2	NA	NA	NA	NA	-0.296957202
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.355157479
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	-0.030427587
TRINITY_DN102186_c0_g1_i2	NA	NA	NA	NA	-0.422320023
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	0.555708477
TRINITY_DN102193_c0_g2_i1	NA	NA	NA	NA	0.176594257
TRINITY_DN102201_c0_g1_i1	NA	NA	NA	NA	0.38874222
TRINITY_DN102218_c0_g1_i1	NA	NA	NA	NA	-0.150136778
TRINITY_DN102252_c0_g2_i1	NA	NA	NA	NA	0.018376391
TRINITY_DN102255_c0_g2_i1	NA	NA	NA	NA	1.490401046
TRINITY_DN102262_c0_g1_i1	NA	NA	NA	NA	0.028364023
TRINITY_DN102272_c0_g1_i1	NA	NA	NA	NA	-0.277966441
TRINITY_DN102276_c0_g1_i1	NA	NA	NA	NA	-0.505996737
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	-0.232947809
TRINITY_DN102279_c0_g2_i1	NA	NA	NA	NA	0.603732742
TRINITY_DN102288_c0_g1_i1	Xetrov90026621m	scaffold_1597	1024	1024	-0.133923015
TRINITY_DN102300_c0_g1_i1	eif4a1	scaffold_931	33821	33821	-0.627322449
TRINITY_DN102312_c0_g1_i1	NA	NA	NA	NA	-0.584092981
TRINITY_DN102326_c0_g3_i1	NA	NA	NA	NA	-0.161221373
TRINITY_DN102362_c0_g1_i1	NA	NA	NA	NA	-0.294434286
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	-0.873100581
TRINITY_DN102367_c0_g1_i2	kif1b-like	Chr07	38595796	38595796	0.109798276
TRINITY_DN102383_c0_g1_i1	NA	NA	NA	NA	-0.646756925
TRINITY_DN102386_c0_g1_i3	LOC100497746	Chr10	36585170	36585170	-0.277755431
TRINITY_DN102393_c0_g1_i1	Xetrov90018014m	Chr07	38203133	38203133	-0.716522432
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	-0.389068718
TRINITY_DN102407_c0_g1_i1	NA	NA	NA	NA	-0.792228471
TRINITY_DN102425_c0_g1_i1	NA	NA	NA	NA	0.719122482
TRINITY_DN102429_c0_g1_i2	NA	NA	NA	NA	-0.494308614
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	-0.31045429
TRINITY_DN102449_c0_g1_i1	NA	NA	NA	NA	-0.396078494
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	0.05290901
TRINITY_DN102456_c0_g1_i1	NA	NA	NA	NA	-0.381687101
TRINITY_DN102459_c0_g1_i1	NA	NA	NA	NA	-0.180057111
TRINITY_DN102469_c0_g1_i1	zcchc4	scaffold_69	788197	788197	0.368988893
TRINITY_DN102489_c0_g2_i1	NA	NA	NA	NA	-1.714699915
TRINITY_DN102489_c0_g3_i1	NA	NA	NA	NA	1.301153487
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	-0.005942911
TRINITY_DN102496_c0_g1_i1	gfm2-like	Chr01	165785366	165785366	-0.12133846
TRINITY_DN102496_c0_g2_i1	NA	NA	NA	NA	-0.073706347
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	0.166208341
TRINITY_DN102529_c0_g1_i1	NA	NA	NA	NA	-0.614364759
TRINITY_DN102531_c0_g1_i1	NA	NA	NA	NA	0.228948596
TRINITY_DN102539_c0_g1_i1	psen1	Chr08	85906217	85906217	0.082609992
TRINITY_DN102559_c0_g2_i1	NA	NA	NA	NA	0.132248696
TRINITY_DN102578_c0_g1_i1	thap11	Chr04	43957999	43957999	-0.351697198
TRINITY_DN102579_c0_g1_i1	NA	NA	NA	NA	0.081042982
TRINITY_DN102584_c0_g1_i1	NA	NA	NA	NA	0.001940853
TRINITY_DN102595_c0_g1_i2	cpt1b	Chr03	80241473	80241473	0.523980889
TRINITY_DN102616_c0_g1_i1	NA	NA	NA	NA	0.173121953
TRINITY_DN102643_c0_g1_i1	NA	NA	NA	NA	0.057142362
TRINITY_DN102646_c0_g1_i1	NA	NA	NA	NA	0.227268079
TRINITY_DN102661_c0_g1_i1	med21	scaffold_3413	781	781	-0.71628214
TRINITY_DN102667_c0_g1_i1	NA	NA	NA	NA	-0.42604114
TRINITY_DN102702_c0_g1_i1	ppp1r27	Chr10	19845234	19845234	-0.478484539
TRINITY_DN102760_c0_g1_i1	rbbp5	Chr02	64308174	64308174	0.369815133
TRINITY_DN102865_c0_g1_i2	NA	NA	NA	NA	-0.314070591
TRINITY_DN102894_c0_g1_i2	morc2	Chr01	131453682	131453682	-5.962388638
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	-5.985659622
TRINITY_DN102903_c0_g1_i1	NA	NA	NA	NA	-0.210645409
TRINITY_DN102914_c0_g1_i1	sytl4	Chr08	43451652	43451652	-0.630092324
TRINITY_DN102923_c0_g1_i1	NA	NA	NA	NA	-0.43079359
TRINITY_DN102938_c0_g1_i1	NA	NA	NA	NA	-0.147300628
TRINITY_DN102989_c0_g1_i1	NA	NA	NA	NA	-0.039240419
TRINITY_DN103024_c0_g1_i2	NA	NA	NA	NA	-0.310310271
TRINITY_DN103049_c0_g4_i1	NA	NA	NA	NA	0.339381046
TRINITY_DN103059_c0_g1_i1	NA	NA	NA	NA	-0.347215162
TRINITY_DN103065_c0_g1_i1	NA	NA	NA	NA	-0.635439134
TRINITY_DN103086_c1_g1_i1	NA	NA	NA	NA	-0.313479542
TRINITY_DN103096_c0_g1_i1	NA	NA	NA	NA	-0.464493832
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.441284981
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	-0.320871688
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	0.524666224
TRINITY_DN103187_c0_g1_i2	NA	NA	NA	NA	-0.740702588
TRINITY_DN103192_c0_g1_i1	thbs2	Chr05	40438631	40438631	-0.778192526
TRINITY_DN103196_c0_g1_i2	slc39a1-like.1	Chr03	97498254	97498254	-0.467560757
TRINITY_DN103199_c0_g1_i1	slc30a8	Chr06	121704700	121704700	-0.381939929
TRINITY_DN103200_c0_g1_i1	arv1	Chr05	55465944	55465944	-0.804773873
TRINITY_DN103204_c0_g1_i1	pfn2	Chr05	115233446	115233446	-0.178735867
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	-0.346733132
TRINITY_DN103214_c0_g1_i1	NA	NA	NA	NA	-0.186485805
TRINITY_DN103227_c0_g1_i1	cdca8	Chr02	58943714	58943714	-0.020444724
TRINITY_DN103236_c0_g2_i1	NA	NA	NA	NA	-0.001975336
TRINITY_DN103267_c0_g1_i1	NA	NA	NA	NA	0.178952541
TRINITY_DN103287_c0_g1_i1	NA	NA	NA	NA	-1.379241478
TRINITY_DN103303_c0_g1_i2	NA	NA	NA	NA	0.145352568
TRINITY_DN103324_c0_g1_i1	NA	NA	NA	NA	-0.130885148
TRINITY_DN103334_c0_g1_i1	NA	NA	NA	NA	0.186854919
TRINITY_DN103350_c0_g1_i2	NA	NA	NA	NA	-0.567463605
TRINITY_DN103458_c0_g1_i1	NA	NA	NA	NA	0.433376423
TRINITY_DN103468_c0_g1_i2	LOC100488825	Chr08	80817118	80817118	1.25644782
TRINITY_DN103496_c0_g1_i1	NA	NA	NA	NA	-0.786679207
TRINITY_DN103500_c0_g1_i1	NA	NA	NA	NA	-0.347656386
TRINITY_DN103501_c0_g1_i1	NA	NA	NA	NA	0.10007211
TRINITY_DN103502_c0_g1_i1	NA	NA	NA	NA	-0.488094843
TRINITY_DN103509_c0_g1_i1	NA	NA	NA	NA	-0.214652056
TRINITY_DN103511_c0_g1_i2	NA	NA	NA	NA	-1.001197322
TRINITY_DN103523_c0_g1_i1	LOC101735153	Chr08	29517071	29517071	-0.086562467
TRINITY_DN103526_c0_g1_i1	atp5c1	Chr03	74165467	74165467	0.208140174
TRINITY_DN103527_c0_g1_i1	NA	NA	NA	NA	1.227578642
TRINITY_DN103537_c0_g1_i1	NA	NA	NA	NA	-0.377927752
TRINITY_DN103537_c0_g2_i1	NA	NA	NA	NA	-0.152164508
TRINITY_DN103544_c0_g1_i2	NA	NA	NA	NA	0.435487595
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	-0.12935831
TRINITY_DN103557_c0_g2_i2	dmrt3	Chr01	116424526	116424526	0.137647978
TRINITY_DN103557_c0_g3_i1	NA	NA	NA	NA	-0.781855163
TRINITY_DN103558_c0_g1_i1	NA	NA	NA	NA	-0.250784174
TRINITY_DN103565_c0_g1_i1	agr2	Chr06	44561203	44561203	-0.132988938
TRINITY_DN103567_c0_g1_i1	NA	NA	NA	NA	0.02604309
TRINITY_DN103584_c0_g2_i1	NA	NA	NA	NA	-0.184710857
TRINITY_DN103598_c0_g1_i1	dusp1	Chr03	32247850	32247850	0.221420572
TRINITY_DN103615_c0_g1_i1	kcp	Chr03	77919456	77919456	-0.345739803
TRINITY_DN103621_c0_g1_i2	NA	NA	NA	NA	-0.154833732
TRINITY_DN103622_c0_g3_i3	iqcg	Chr05	110532259	110532259	-0.022043875
TRINITY_DN103624_c0_g1_i1	NA	NA	NA	NA	0.423182367
TRINITY_DN103630_c0_g1_i1	NA	NA	NA	NA	-0.136214979
TRINITY_DN103631_c0_g1_i1	NA	NA	NA	NA	0.007707366
TRINITY_DN103634_c0_g1_i1	NA	NA	NA	NA	0.291243422
TRINITY_DN103637_c0_g1_i1	LOC100486333-like	Chr08	18909118	18909118	-1.350558296
TRINITY_DN103653_c0_g1_i1	NA	NA	NA	NA	0.108650111
TRINITY_DN103658_c0_g1_i1	NA	NA	NA	NA	-0.181574104
TRINITY_DN103662_c0_g1_i1	psmd10	Chr08	31111447	31111447	-0.037692597
TRINITY_DN103663_c0_g4_i1	NA	NA	NA	NA	-0.46159102
TRINITY_DN103664_c1_g1_i1	NA	NA	NA	NA	-0.568267908
TRINITY_DN103677_c1_g1_i1	NA	NA	NA	NA	-0.110684577
TRINITY_DN103680_c0_g1_i1	NA	NA	NA	NA	-0.613262679
TRINITY_DN103688_c0_g1_i1	NA	NA	NA	NA	-0.480240116
TRINITY_DN103698_c0_g1_i1	NA	NA	NA	NA	0.475245246
TRINITY_DN103704_c0_g1_i1	NA	NA	NA	NA	2.941640836
TRINITY_DN103706_c0_g3_i1	NA	NA	NA	NA	0.036454985
TRINITY_DN103714_c0_g1_i2	NA	NA	NA	NA	0.112577387
TRINITY_DN103714_c0_g2_i1	klhl42	Chr03	1934463	1934463	-1.710736348
TRINITY_DN103718_c0_g1_i1	NA	NA	NA	NA	-2.480479718
TRINITY_DN103720_c0_g1_i2	oprd1	Chr02	52800257	52800257	-1.55021912
TRINITY_DN103727_c0_g1_i1	NA	NA	NA	NA	-0.181434891
TRINITY_DN103733_c0_g2_i1	NA	NA	NA	NA	-0.465815635
TRINITY_DN103741_c0_g1_i2	NA	NA	NA	NA	-0.53927379
TRINITY_DN103744_c0_g1_i2	NA	NA	NA	NA	-0.024743062
TRINITY_DN103769_c0_g1_i1	cxorf58	Chr02	38822569	38822569	-0.056050677
TRINITY_DN103776_c0_g1_i1	NA	NA	NA	NA	0.291356817
TRINITY_DN103781_c0_g2_i1	usp14	Chr06	93237936	93237936	-0.354884135
TRINITY_DN103783_c0_g1_i1	tmem55a	Chr06	111742449	111742449	-0.204800439
TRINITY_DN103787_c0_g1_i1	NA	NA	NA	NA	-0.054650445
TRINITY_DN103795_c0_g1_i3	NA	NA	NA	NA	-0.476395686
TRINITY_DN103797_c0_g1_i1	NA	NA	NA	NA	0.629750725
TRINITY_DN103798_c0_g1_i1	kctd9	Chr03	106568067	106568067	-5.756070448
TRINITY_DN103802_c0_g1_i1	NA	NA	NA	NA	0.464344119
TRINITY_DN103812_c0_g1_i2	NA	NA	NA	NA	-0.166047685
TRINITY_DN103813_c0_g1_i1	fbxl8	Chr04	54710603	54710603	-0.224259653
TRINITY_DN103830_c0_g1_i1	fam3d	scaffold_14	146778	146778	0.486218963
TRINITY_DN103832_c0_g1_i1	NA	NA	NA	NA	-0.420592473
TRINITY_DN103833_c0_g1_i1	rac1	Chr09	19622633	19622633	0.29181523
TRINITY_DN103834_c0_g11_i1	NA	NA	NA	NA	-0.066048956
TRINITY_DN103834_c0_g12_i1	NA	NA	NA	NA	-2.138070429
TRINITY_DN103834_c0_g13_i1	NA	NA	NA	NA	-0.17544576
TRINITY_DN103834_c0_g3_i1	nif	Chr03	112220786	112220786	0.05346755
TRINITY_DN103834_c0_g4_i1	Xetrov90022714m	Chr09	3340566	3340566	-3.181136933
TRINITY_DN103834_c0_g5_i1	NA	NA	NA	NA	0.32578122
TRINITY_DN103834_c0_g6_i1	NA	NA	NA	NA	-1.133733758
TRINITY_DN103834_c0_g7_i1	atp5s	Chr08	71922078	71922078	-0.083250759
TRINITY_DN103834_c0_g9_i1	NA	NA	NA	NA	-1.919124174
TRINITY_DN103838_c0_g1_i1	cpox-like	Chr02	16477067	16477067	-4.180733467
TRINITY_DN103851_c0_g1_i1	kcnk7	Chr08	83453752	83453752	0.490751151
TRINITY_DN103855_c0_g1_i1	NA	NA	NA	NA	-0.158068378
TRINITY_DN103859_c0_g1_i1	NA	NA	NA	NA	-0.070872068
TRINITY_DN103860_c0_g1_i1	NA	NA	NA	NA	-0.445489342
TRINITY_DN103877_c0_g1_i1	NA	NA	NA	NA	1.110551479
TRINITY_DN103882_c0_g1_i1	NA	NA	NA	NA	-0.14775187
TRINITY_DN103890_c0_g1_i2	NA	NA	NA	NA	0.22178974
TRINITY_DN103891_c0_g1_i1	NA	NA	NA	NA	-1.232071012
TRINITY_DN103896_c0_g1_i2	kiaa1715	Chr09	59802739	59802739	0.269897546
TRINITY_DN103897_c0_g2_i1	NA	NA	NA	NA	-10.94799315
TRINITY_DN103898_c0_g1_i1	NA	NA	NA	NA	-0.023732455
TRINITY_DN103900_c0_g1_i1	NA	NA	NA	NA	1.16254283
TRINITY_DN103900_c0_g2_i1	tmf1	Chr04	131462024	131462024	-0.335375268
TRINITY_DN103912_c0_g1_i1	NA	NA	NA	NA	-0.122723614
TRINITY_DN103916_c0_g1_i1	Xetrov90015490m	Chr06	3513978	3513978	0.518645689
TRINITY_DN103924_c0_g1_i1	NA	NA	NA	NA	0.668763351
TRINITY_DN103926_c0_g1_i1	NA	NA	NA	NA	-0.266475444
TRINITY_DN103929_c0_g1_i1	NA	NA	NA	NA	1.955862599
TRINITY_DN103931_c0_g1_i3	NA	NA	NA	NA	1.475713933
TRINITY_DN103941_c0_g1_i1	NA	NA	NA	NA	0.041972273
TRINITY_DN103964_c0_g1_i1	NA	NA	NA	NA	-0.739898117
TRINITY_DN103974_c0_g2_i1	sorl1	Chr07	88174319	88174319	0.189806049
TRINITY_DN103986_c0_g1_i1	NA	NA	NA	NA	0.044342604
TRINITY_DN103989_c0_g1_i1	NA	NA	NA	NA	-0.302546465
TRINITY_DN104004_c0_g1_i1	slc51a-like.2	Chr05	109993376	109993376	0.774541496
TRINITY_DN104012_c0_g1_i1	NA	NA	NA	NA	0.818858164
TRINITY_DN104018_c1_g1_i1	NA	NA	NA	NA	1.231847247
TRINITY_DN104027_c0_g1_i1	zdhhc15	Chr08	26308882	26308882	0.489441979
TRINITY_DN104055_c0_g1_i1	homer1	Chr01	163878577	163878577	0.262184811
TRINITY_DN104073_c1_g1_i1	NA	NA	NA	NA	-0.473442311
TRINITY_DN104088_c0_g1_i2	fam211b	Chr01	144116504	144116504	-0.463147988
TRINITY_DN104090_c1_g2_i1	NA	NA	NA	NA	0.003754016
TRINITY_DN104110_c1_g1_i1	NA	NA	NA	NA	0.396601339
TRINITY_DN104132_c0_g1_i1	klf5	Chr02	123811722	123811722	0.926505102
TRINITY_DN104155_c0_g1_i1	NA	NA	NA	NA	-0.628512455
TRINITY_DN104156_c0_g1_i3	fpgs	Chr08	2372438	2372438	0.074948626
TRINITY_DN104158_c0_g1_i1	NA	NA	NA	NA	0.587007056
TRINITY_DN104158_c0_g2_i1	NA	NA	NA	NA	0.208151392
TRINITY_DN104173_c0_g1_i1	ift22	Chr02	42701284	42701284	-0.094281256
TRINITY_DN104173_c0_g2_i1	NA	NA	NA	NA	-0.752679942
TRINITY_DN104226_c0_g1_i1	NA	NA	NA	NA	-0.248158767
TRINITY_DN104231_c0_g1_i1	NA	NA	NA	NA	-0.87775964
TRINITY_DN104233_c0_g1_i1	NA	NA	NA	NA	-0.105167388
TRINITY_DN104240_c0_g1_i1	NA	NA	NA	NA	-0.261193915
TRINITY_DN104253_c0_g1_i1	NA	NA	NA	NA	0.276645988
TRINITY_DN104275_c0_g1_i1	sox2	Chr05	95996743	95996743	0.672069359
TRINITY_DN104287_c1_g1_i1	ankle2-like	Chr01	146995879	146995879	0.539349605
TRINITY_DN104296_c0_g2_i1	NA	NA	NA	NA	-0.269494596
TRINITY_DN104318_c0_g1_i1	NA	NA	NA	NA	-0.805016806
TRINITY_DN104331_c0_g1_i1	thoc1	Chr06	93207095	93207095	-0.471950875
TRINITY_DN104334_c0_g1_i1	NA	NA	NA	NA	0.30762937
TRINITY_DN104337_c0_g1_i1	NA	NA	NA	NA	-0.558630412
TRINITY_DN104339_c0_g1_i2	slc37a3-like	Chr03	219441	219441	0.838319124
TRINITY_DN104354_c0_g1_i5	NA	NA	NA	NA	-0.201540906
TRINITY_DN104356_c0_g1_i3	NA	NA	NA	NA	-0.27365474
