gid	gname	chr	start	end	logFC.XY43.XX43	abslogFC.XY43.XX43	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN127070_c0_g1_i3	NA	NA	NA	NA	-3.04935019	3.04935019	female	0.763323771	Ovary_mean	0.1381	0.2172	1.5734
TRINITY_DN127129_c2_g3_i1	NA	NA	NA	NA	-6.43400854	6.43400854	female	0.87539592	Ovary_mean	0.1346	0.2598	1.9303
TRINITY_DN129466_c1_g5_i1	NA	NA	NA	NA	-4.386264843	4.386264843	female	0.856463847	Ovary_mean	0.2196	0.2445	1.1132
TRINITY_DN130577_c0_g2_i5	NA	NA	NA	NA	-4.916211612	4.916211612	female	0.893391746	Ovary_mean	0.2551	0.4968	1.9476
TRINITY_DN131370_c0_g1_i1	mafg	Chr10	20016369	20016369	-2.471113071	2.471113071	female	0.767099057	Testis_mean	0.101	0.1977	1.9572
TRINITY_DN132305_c3_g4_i3	NA	NA	NA	NA	-4.669217864	4.669217864	female	0.866905485	Ovary_mean	0.1371	0.2527	1.8432
TRINITY_DN132480_c0_g2_i5	NA	NA	NA	NA	-2.339225403	2.339225403	female	0.707248797	Testis_mean	0.1156	0.1907	1.6503
TRINITY_DN135526_c5_g1_i1	postn	Chr02	148527377	148527377	-5.088309739	5.088309739	female	0.895660137	Ovary_mean	0.138	0.2305	1.6705
TRINITY_DN135643_c7_g7_i1	LOC100495666	Chr03	128127747	128127747	-8.855046793	8.855046793	female	0.480371194	G31_mean	0.0159	0.0287	1.7982
TRINITY_DN208554_c0_g1_i1	il17c	Chr04	69300183	69300183	-6.059424038	6.059424038	female	0.779861152	Ovary_mean	0.0691	0.0942	1.3623
TRINITY_DN45542_c0_g1_i1	NA	NA	NA	NA	-5.698186325	5.698186325	female	0.836261984	Ovary_mean	0.2401	0.3266	1.3606
TRINITY_DN83270_c0_g1_i1	dnm2	Chr03	127992323	127992323	-5.216743009	5.216743009	female	0.816230812	Ovary_mean	0.0289	0.0568	1.9672
TRINITY_DN97559_c0_g1_i1	NA	NA	NA	NA	-2.510709265	2.510709265	female	0.733267972	Ovary_mean	0.0678	0.0952	1.4042
TRINITY_DN98655_c0_g1_i1	NA	NA	NA	NA	-4.745057841	4.745057841	female	0.861882739	Ovary_mean	0.1385	0.211	1.5236
TRINITY_DN121490_c3_g1_i3	NA	NA	NA	NA	2.746749474	2.746749474	male	0.518447177	Brain_mean	0.1222	0.2357	1.9282
TRINITY_DN127436_c2_g1_i1	NA	NA	NA	NA	2.555936696	2.555936696	male	0.418123091	Brain_mean	0.0448	0.0605	1.3523
TRINITY_DN131565_c0_g5_i1	NA	NA	NA	NA	2.24757282	2.24757282	male	0.692591758	G43_M_mean	0.2542	0.3724	1.4649
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.200778845	0.200778845	unbias	0.155105807	G23_mean	0.0471	0.0856	1.8187
TRINITY_DN101953_c0_g1_i3	myoz1	Chr07	52868617	52868617	-0.602961106	0.602961106	unbias	0.411181266	Ovary_mean	0.1123	0.1753	1.5602
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	-0.232947809	0.232947809	unbias	0.132303324	G23_mean	0.0769	0.1219	1.5862
TRINITY_DN102469_c0_g1_i1	zcchc4	scaffold_69	788197	788197	0.368988893	0.368988893	unbias	0.46905447	Liver_mean	0.1875	0.3205	1.7093
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	-0.005942911	0.005942911	unbias	0.198656899	Ovary_mean	0.038	0.0702	1.8454
TRINITY_DN102539_c0_g1_i1	psen1	Chr08	85906217	85906217	0.082609992	0.082609992	unbias	0.261451474	Brain_mean	0.1183	0.1998	1.6879
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.441284981	0.441284981	unbias	0.135045065	Ovary_mean	0.1794	0.2865	1.5972
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	-0.320871688	0.320871688	unbias	0.328031285	Testis_mean	0.0816	0.1245	1.5262
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	0.524666224	0.524666224	unbias	0.523378908	Brain_mean	0.0471	0.0801	1.6985
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	-0.346733132	0.346733132	unbias	0.142706311	Ovary_mean	0.1141	0.2017	1.7681
TRINITY_DN104287_c1_g1_i1	ankle2-like	Chr01	146995879	146995879	0.539349605	0.539349605	unbias	0.476666531	Brain_mean	0.0892	0.173	1.9391
TRINITY_DN104339_c0_g1_i2	slc37a3-like	Chr03	219441	219441	0.838319124	0.838319124	unbias	0.437249278	Ovary_mean	0.0099	0.0157	1.5775
TRINITY_DN104694_c0_g1_i1	NA	NA	NA	NA	0.365453087	0.365453087	unbias	0.353449949	Ovary_mean	0.0241	0.0443	1.8389
TRINITY_DN104801_c0_g1_i1	NA	NA	NA	NA	0.111891143	0.111891143	unbias	0.523571394	Brain_mean	0.0525	0.0603	1.1476
TRINITY_DN104972_c0_g1_i2	NA	NA	NA	NA	-0.629945386	0.629945386	unbias	0.096162953	G27_mean	0.0377	0.0743	1.9699
TRINITY_DN105060_c0_g2_i3	NA	NA	NA	NA	0.033482638	0.033482638	unbias	0.567829549	Brain_mean	0.0429	0.0716	1.6683
TRINITY_DN105400_c0_g1_i3	NA	NA	NA	NA	-0.125661257	0.125661257	unbias	0.231737257	Ovary_mean	0.1525	0.2011	1.3186
TRINITY_DN105592_c1_g1_i2	NA	NA	NA	NA	-0.651305059	0.651305059	unbias	0.247918508	G43_F_mean	0.1597	0.2378	1.4894
TRINITY_DN105705_c0_g1_i1	NA	NA	NA	NA	-0.023592474	0.023592474	unbias	0.417280644	G46_F_mean	0.1537	0.2185	1.4217
TRINITY_DN105726_c0_g1_i1	NA	NA	NA	NA	0.91190619	0.91190619	unbias	0.526746595	Ovary_mean	0.0788	0.1018	1.2921
TRINITY_DN106101_c0_g1_i1	NA	NA	NA	NA	-0.166516957	0.166516957	unbias	0.125290042	Ovary_mean	0.031	0.0387	1.2467
TRINITY_DN106392_c0_g2_i2	NA	NA	NA	NA	0.348538422	0.348538422	unbias	0.286219196	Ovary_mean	0.0667	0.1122	1.683
TRINITY_DN107234_c0_g1_i1	NA	NA	NA	NA	0.077898899	0.077898899	unbias	0.47132041	Ovary_mean	0.0603	0.1094	1.8135
TRINITY_DN107396_c0_g1_i2	gjd4	Chr06	13273382	13273382	0.213949173	0.213949173	unbias	0.331983433	Brain_mean	0.0701	0.0936	1.3351
TRINITY_DN107777_c0_g6_i1	NA	NA	NA	NA	0.527096618	0.527096618	unbias	0.392783523	Ovary_mean	0.039	0.0505	1.293
TRINITY_DN108061_c0_g1_i1	NA	NA	NA	NA	-0.44054649	0.44054649	unbias	0.163126496	Ovary_mean	0.0392	0.065	1.6562
TRINITY_DN10812_c0_g1_i1	NA	NA	NA	NA	-0.028538972	0.028538972	unbias	0.32618062	G27_mean	0.0493	0.0692	1.4016
TRINITY_DN108196_c0_g1_i1	lgi1	Chr07	27854961	27854961	-0.433165683	0.433165683	unbias	0.321595845	Ovary_mean	0.0643	0.0824	1.2798
TRINITY_DN108314_c0_g1_i2	NA	NA	NA	NA	0.633419221	0.633419221	unbias	0.37142808	Brain_mean	0.071	0.0918	1.2929
TRINITY_DN108539_c0_g1_i2	NA	NA	NA	NA	-0.329298346	0.329298346	unbias	0.177139529	Ovary_mean	0.0422	0.0714	1.6932
TRINITY_DN108558_c2_g1_i2	NA	NA	NA	NA	0.338778735	0.338778735	unbias	0.572729047	Ovary_mean	0.0506	0.0876	1.7305
TRINITY_DN108580_c0_g1_i1	NA	NA	NA	NA	-0.283716321	0.283716321	unbias	0.331756999	Brain_mean	0.0568	0.1092	1.9239
TRINITY_DN108588_c0_g1_i1	NA	NA	NA	NA	0.218048091	0.218048091	unbias	0.287791849	G43_M_mean	0.1556	0.2039	1.3108
TRINITY_DN108683_c0_g3_i1	NA	NA	NA	NA	-0.175932593	0.175932593	unbias	0.126919823	G23_mean	0.053	0.0368	0.6955
TRINITY_DN108726_c0_g1_i1	NA	NA	NA	NA	-0.411992001	0.411992001	unbias	0.145170452	G23_mean	0.0854	0.1011	1.1838
TRINITY_DN109124_c0_g2_i2	NA	NA	NA	NA	-0.123779135	0.123779135	unbias	0.19323608	Brain_mean	0.1062	0.2105	1.9825
TRINITY_DN109157_c0_g1_i1	NA	NA	NA	NA	0.166391285	0.166391285	unbias	0.235029567	Ovary_mean	0.0156	0.0301	1.9237
TRINITY_DN109277_c0_g2_i3	NA	NA	NA	NA	-0.438315564	0.438315564	unbias	0.278600966	G23_mean	0.1038	0.1589	1.5305
TRINITY_DN109500_c0_g1_i1	NA	NA	NA	NA	-0.149482591	0.149482591	unbias	0.171750692	G23_mean	0.0275	0.0505	1.8368
TRINITY_DN109511_c0_g1_i1	NA	NA	NA	NA	-0.098430714	0.098430714	unbias	0.544332911	Brain_mean	0.0263	0.0492	1.8727
TRINITY_DN109559_c0_g1_i1	NA	NA	NA	NA	0.063156627	0.063156627	unbias	0.436438364	Liver_mean	0.1326	0.2053	1.5487
TRINITY_DN109817_c0_g1_i1	ctbp1	Chr01	14365424	14365424	0.24729904	0.24729904	unbias	0.499135008	Brain_mean	0.0695	0.0727	1.0463
TRINITY_DN109879_c0_g1_i1	NA	NA	NA	NA	0.062383931	0.062383931	unbias	0.192989636	Ovary_mean	0.1064	0.1152	1.0825
TRINITY_DN109991_c0_g1_i2	nfe2	Chr02	142407017	142407017	-0.320302741	0.320302741	unbias	0.199076815	Ovary_mean	0.0762	0.1381	1.8122
TRINITY_DN110047_c0_g1_i3	NA	NA	NA	NA	0.432351379	0.432351379	unbias	0.361409154	Brain_mean	0.124	0.2167	1.7478
TRINITY_DN110102_c0_g2_i3	NA	NA	NA	NA	0.14217041	0.14217041	unbias	0.326610653	Brain_mean	0.0216	0.0363	1.6819
TRINITY_DN110248_c0_g1_i1	dis3l	Chr03	117066135	117066135	-0.030894828	0.030894828	unbias	0.629615748	Brain_mean	0.0129	0.0199	1.5477
TRINITY_DN110307_c0_g1_i3	gclm	Chr04	93684285	93684285	-0.131824522	0.131824522	unbias	0.239844625	Ovary_mean	0.0399	0.0735	1.8415
TRINITY_DN110587_c0_g1_i1	ubash3b	Chr07	88558299	88558299	-0.478012023	0.478012023	unbias	0.088343235	G27_mean	0.1585	0.1584	0.9991
TRINITY_DN110750_c0_g1_i1	NA	NA	NA	NA	0.147538979	0.147538979	unbias	0.20446531	Testis_mean	0.0698	0.0976	1.3977
TRINITY_DN110884_c0_g1_i2	tomm22	Chr04	110087033	110087033	-0.039384868	0.039384868	unbias	0.434323991	Ovary_mean	0.1472	0.216	1.4676
TRINITY_DN110930_c0_g1_i1	dab2-like	Chr01	183607385	183607385	-0.374812761	0.374812761	unbias	0.360354251	G27_mean	0.0713	0.091	1.2768
TRINITY_DN111096_c0_g1_i1	NA	NA	NA	NA	0.251789739	0.251789739	unbias	0.372466531	G43_M_mean	0.1598	0.3196	1.9997
TRINITY_DN111221_c0_g1_i1	NA	NA	NA	NA	-0.138640968	0.138640968	unbias	0.42248944	Liver_mean	0.0231	0.033	1.4292
TRINITY_DN111246_c0_g1_i4	slc31a2	Chr08	12094695	12094695	0.11265743	0.11265743	unbias	0.21519793	Ovary_mean	0.0614	0.083	1.351
TRINITY_DN111292_c0_g1_i1	NA	NA	NA	NA	0.273753064	0.273753064	unbias	0.327892291	Ovary_mean	0.0596	0.1115	1.8711
TRINITY_DN111370_c0_g2_i1	LOC100493411	Chr08	15733074	15733074	0.025415795	0.025415795	unbias	0.170696328	Ovary_mean	0.0318	0.0444	1.3962
TRINITY_DN111460_c0_g3_i3	NA	NA	NA	NA	0.081658024	0.081658024	unbias	0.196772412	G23_mean	0.0195	0.0343	1.7571
TRINITY_DN111504_c0_g1_i1	ints8	Chr06	115589497	115589497	-0.572019302	0.572019302	unbias	0.186796027	Ovary_mean	0.0757	0.1377	1.8203
TRINITY_DN111536_c1_g1_i1	NA	NA	NA	NA	0.070878507	0.070878507	unbias	0.763702196	Brain_mean	0.0723	0.1132	1.5659
TRINITY_DN111683_c1_g3_i4	NA	NA	NA	NA	0.36595641	0.36595641	unbias	0.661410431	Brain_mean	0.0893	0.0946	1.0591
TRINITY_DN111719_c1_g1_i1	NA	NA	NA	NA	-0.016159026	0.016159026	unbias	0.38321206	Ovary_mean	0.0652	0.12	1.8406
TRINITY_DN112043_c0_g1_i1	NA	NA	NA	NA	-0.14335164	0.14335164	unbias	0.225408979	Brain_mean	0.0177	0.026	1.4702
TRINITY_DN112100_c0_g1_i1	NA	NA	NA	NA	-0.290754603	0.290754603	unbias	0.159772746	Ovary_mean	0.0052	0.0093	1.7907
TRINITY_DN112165_c1_g1_i2	NA	NA	NA	NA	-0.289703741	0.289703741	unbias	0.089770068	Ovary_mean	0.0245	0.0279	1.1382
TRINITY_DN112199_c0_g1_i2	NA	NA	NA	NA	-0.036532257	0.036532257	unbias	0.279228907	Brain_mean	0.0991	0.1499	1.5118
TRINITY_DN112238_c0_g7_i3	NA	NA	NA	NA	0.348639927	0.348639927	unbias	0.504279107	G23_mean	0.1107	0.1991	1.7987
TRINITY_DN112304_c0_g1_i1	NA	NA	NA	NA	-0.103228644	0.103228644	unbias	0.401840136	G43_M_mean	0.1211	0.1572	1.2978
TRINITY_DN112362_c1_g2_i1	NA	NA	NA	NA	0.538155724	0.538155724	unbias	0.503498776	Brain_mean	0.0449	0.0522	1.1629
TRINITY_DN112607_c0_g1_i1	NA	NA	NA	NA	-0.075310438	0.075310438	unbias	0.329087939	Brain_mean	0.0674	0.0589	0.8734
TRINITY_DN112665_c0_g1_i1	NA	NA	NA	NA	-0.0767638	0.0767638	unbias	0.178643141	G46_M_mean	0.1141	0.1651	1.4464
TRINITY_DN112734_c0_g2_i8	NA	NA	NA	NA	1.099461056	1.099461056	unbias	0.532486329	Brain_mean	0.0651	0.1034	1.5888
TRINITY_DN112753_c0_g1_i1	NA	NA	NA	NA	-0.213786199	0.213786199	unbias	0.249927739	Ovary_mean	0.1428	0.2327	1.6291
TRINITY_DN112796_c0_g1_i1	nedd9	Chr06	84814727	84814727	0.116743912	0.116743912	unbias	0.517336535	G27_mean	0.113	0.1915	1.6948
TRINITY_DN112819_c0_g1_i1	NA	NA	NA	NA	-0.37437896	0.37437896	unbias	0.311313473	G23_mean	0.1195	0.193	1.6153
TRINITY_DN112889_c0_g1_i1	kti12	Chr03	81085984	81085984	0.386131506	0.386131506	unbias	0.297572269	Brain_mean	0.0327	0.0374	1.1424
TRINITY_DN112986_c0_g1_i1	NA	NA	NA	NA	-0.556896747	0.556896747	unbias	0.068818111	Brain_mean	0.1108	0.0903	0.8153
TRINITY_DN113047_c0_g1_i1	NA	NA	NA	NA	-0.427963737	0.427963737	unbias	0.431980594	Brain_mean	0.1012	0.1719	1.6991
TRINITY_DN113204_c0_g2_i1	NA	NA	NA	NA	-0.403423892	0.403423892	unbias	0.495647836	Ovary_mean	0.0069	0.0124	1.8076
TRINITY_DN113259_c0_g1_i1	NA	NA	NA	NA	-0.576214355	0.576214355	unbias	0.235661385	Ovary_mean	0.2083	0.1953	0.9373
TRINITY_DN113391_c0_g1_i1	NA	NA	NA	NA	-0.588511399	0.588511399	unbias	0.279050334	Ovary_mean	0.1232	0.2242	1.8203
TRINITY_DN113502_c0_g1_i1	fam110c	Chr05	129693386	129693386	0.028407861	0.028407861	unbias	0.102770661	G23_mean	0.0133	0.0108	0.8076
TRINITY_DN113528_c0_g1_i1	Xetrov90013120m	Chr05	12633371	12633371	0.044855119	0.044855119	unbias	0.448152209	Brain_mean	0.1014	0.1939	1.9129
TRINITY_DN113591_c0_g1_i1	NA	NA	NA	NA	0.500316815	0.500316815	unbias	0.426753659	G43_M_mean	0.0768	0.0975	1.2685
TRINITY_DN113593_c0_g1_i1	ccdc28a-like	Chr05	65282772	65282772	-0.400137706	0.400137706	unbias	0.474659407	Ovary_mean	0.1695	0.2045	1.2069
TRINITY_DN113670_c0_g1_i2	NA	NA	NA	NA	0.402492111	0.402492111	unbias	0.529477668	Ovary_mean	0.0739	0.1388	1.8788
TRINITY_DN113732_c1_g1_i1	NA	NA	NA	NA	-0.066123752	0.066123752	unbias	0.116821427	G23_mean	0.0072	0.0074	1.0296
TRINITY_DN113850_c0_g1_i2	NA	NA	NA	NA	-0.224788533	0.224788533	unbias	0.285066458	G23_mean	0.255	0.2396	0.9398
TRINITY_DN114047_c0_g1_i2	NA	NA	NA	NA	0.139822852	0.139822852	unbias	0.345711133	G27_mean	0.0592	0.0947	1.6007
TRINITY_DN114091_c0_g2_i3	ern2	Chr09	15406472	15406472	0.285768799	0.285768799	unbias	0.4294977	G43_M_mean	0.091	0.1498	1.6467
TRINITY_DN114120_c0_g1_i1	LOC100485912	Chr08	117133503	117133503	0.094199991	0.094199991	unbias	0.132581904	Ovary_mean	0.1318	0.25	1.8973
TRINITY_DN114132_c1_g1_i2	NA	NA	NA	NA	-0.116245204	0.116245204	unbias	0.385729716	Brain_mean	0.0558	0.1096	1.9649
TRINITY_DN114178_c0_g1_i2	cdk15	Chr09	47094605	47094605	-0.404193551	0.404193551	unbias	0.206742801	G43_F_mean	0.1732	0.2866	1.655
TRINITY_DN114340_c0_g2_i2	NA	NA	NA	NA	-0.11553638	0.11553638	unbias	0.536616274	Brain_mean	0.0294	0.0473	1.6105
TRINITY_DN114416_c0_g2_i3	NA	NA	NA	NA	-0.097047989	0.097047989	unbias	0.358449806	Brain_mean	0.0918	0.1794	1.9537
TRINITY_DN114586_c0_g1_i1	NA	NA	NA	NA	-0.030556126	0.030556126	unbias	0.16744915	Brain_mean	0.0023	0.0024	1.0553
TRINITY_DN114618_c0_g1_i5	LOC100490614	Chr07	110706113	110706113	-0.116876859	0.116876859	unbias	0.094150571	Ovary_mean	0.1424	0.0763	0.5355
TRINITY_DN114653_c0_g2_i1	hnrnpa0	Chr03	21969477	21969477	-0.425270664	0.425270664	unbias	0.118970519	G27_mean	0.0612	0.1138	1.858
TRINITY_DN114656_c0_g2_i1	mypn-like	Chr07	30295400	30295400	-0.076882954	0.076882954	unbias	0.275894304	Ovary_mean	0.0544	0.0727	1.3371
TRINITY_DN114755_c0_g1_i2	NA	NA	NA	NA	0.403355166	0.403355166	unbias	0.457183491	Testis_mean	0.0927	0.1144	1.2337
TRINITY_DN114808_c0_g1_i1	NA	NA	NA	NA	-0.003680283	0.003680283	unbias	0.36296448	Ovary_mean	0.072	0.1182	1.641
TRINITY_DN114942_c0_g1_i1	nol4-like	Chr06	97620720	97620720	-0.703442811	0.703442811	unbias	0.237026096	G43_F_mean	0.0586	0.1103	1.8842
TRINITY_DN115052_c1_g1_i1	NA	NA	NA	NA	0.441032221	0.441032221	unbias	0.27623535	Ovary_mean	0.0766	0.1379	1.8005
TRINITY_DN115157_c0_g1_i1	commd1	Chr05	27990909	27990909	0.115646298	0.115646298	unbias	0.299454368	Testis_mean	0.0817	0.1155	1.4125
TRINITY_DN115195_c0_g1_i1	NA	NA	NA	NA	-0.431165226	0.431165226	unbias	0.496236918	Brain_mean	0.0834	0.0754	0.9031
TRINITY_DN115232_c1_g1_i1	NA	NA	NA	NA	-0.355895239	0.355895239	unbias	0.161091113	G27_mean	0.0296	0.0464	1.5655
TRINITY_DN115267_c0_g1_i2	NA	NA	NA	NA	0.464115666	0.464115666	unbias	0.319631858	G31_mean	0.1018	0.2003	1.9677
TRINITY_DN115346_c0_g2_i1	NA	NA	NA	NA	-0.261116876	0.261116876	unbias	0.16883627	Ovary_mean	0.0662	0.0572	0.8641
TRINITY_DN115501_c0_g2_i1	NA	NA	NA	NA	0.050199945	0.050199945	unbias	0.279364154	Ovary_mean	0.1755	0.3237	1.845
TRINITY_DN115511_c0_g1_i1	NA	NA	NA	NA	0.274204899	0.274204899	unbias	0.305979071	Ovary_mean	0.1448	0.2774	1.916
TRINITY_DN115620_c0_g2_i1	tmem39b	Chr02	82395230	82395230	-0.024316853	0.024316853	unbias	0.105141379	G23_mean	0.0379	0.0495	1.3069
TRINITY_DN115720_c0_g1_i1	NA	NA	NA	NA	-0.427984013	0.427984013	unbias	0.310928189	Ovary_mean	0.0403	0.0493	1.2236
TRINITY_DN115827_c0_g3_i1	NA	NA	NA	NA	-0.255090837	0.255090837	unbias	0.269934657	Ovary_mean	0.0733	0.1257	1.7146
TRINITY_DN115833_c0_g3_i2	NA	NA	NA	NA	0.206953832	0.206953832	unbias	0.224063779	Brain_mean	0.055	0.0839	1.5248
TRINITY_DN115972_c0_g1_i1	rhou	Chr08	57363656	57363656	0.399507468	0.399507468	unbias	0.541635145	Ovary_mean	0.0692	0.0798	1.153
TRINITY_DN115979_c0_g3_i5	NA	NA	NA	NA	-0.015896383	0.015896383	unbias	0.129502285	Ovary_mean	0.1014	0.1413	1.3934
TRINITY_DN116051_c0_g1_i1	NA	NA	NA	NA	0.085217499	0.085217499	unbias	0.355411592	G27_mean	0.2453	0.3893	1.587
TRINITY_DN116115_c0_g1_i2	NA	NA	NA	NA	-0.620967919	0.620967919	unbias	0.375853775	Ovary_mean	0.0415	0.0826	1.9888
TRINITY_DN116142_c0_g1_i1	NA	NA	NA	NA	-0.319705718	0.319705718	unbias	0.09891693	Brain_mean	0.0021	0.0023	1.1045
TRINITY_DN116146_c0_g1_i1	sptan1	Chr08	4223508	4223508	-0.19635604	0.19635604	unbias	0.091603204	G23_mean	0.0355	0.0668	1.8827
TRINITY_DN116186_c0_g1_i2	tnnc2	Chr10	16545216	16545216	0.306792042	0.306792042	unbias	0.295312158	G43_M_mean	0.0804	0.135	1.6793
TRINITY_DN116211_c0_g1_i1	NA	NA	NA	NA	-0.043886559	0.043886559	unbias	0.445025882	G27_mean	0.0802	0.1507	1.8784
TRINITY_DN116275_c1_g1_i2	sowaha	Chr03	28493685	28493685	-0.042350871	0.042350871	unbias	0.206781997	G43_M_mean	0.2271	0.2998	1.3199
TRINITY_DN116305_c1_g1_i2	NA	NA	NA	NA	-0.055720583	0.055720583	unbias	0.109673667	Liver_mean	0.0568	0.0723	1.2722
TRINITY_DN116333_c0_g1_i1	cebpz	Chr05	59084228	59084228	-0.432160916	0.432160916	unbias	0.11506155	Testis_mean	0.0272	0.0526	1.9305
TRINITY_DN116360_c0_g1_i2	NA	NA	NA	NA	-0.42294808	0.42294808	unbias	0.097100677	G23_mean	0.0652	0.0858	1.3168
TRINITY_DN116389_c0_g1_i1	NA	NA	NA	NA	0.23840899	0.23840899	unbias	0.182362688	Ovary_mean	0.086	0.1448	1.6835
TRINITY_DN116410_c0_g2_i2	NA	NA	NA	NA	-0.156458687	0.156458687	unbias	0.313805914	Ovary_mean	0.1114	0.1568	1.4079
TRINITY_DN116479_c0_g2_i1	LOC101730228-like.2	Chr07	24634562	24634562	-0.087090047	0.087090047	unbias	0.269358873	Brain_mean	0.0905	0.1193	1.3179
TRINITY_DN116513_c0_g3_i1	NA	NA	NA	NA	-0.317176262	0.317176262	unbias	0.271422213	Ovary_mean	0.1539	0.1956	1.2706
TRINITY_DN116527_c0_g1_i1	lrrn4cl	Chr04	39819168	39819168	-0.021465884	0.021465884	unbias	0.269117658	G23_mean	0.0041	0.0039	0.9416
TRINITY_DN116585_c0_g1_i1	LOC100490204-like	Chr08	105096844	105096844	-0.532399318	0.532399318	unbias	0.288221912	Ovary_mean	0.1023	0.1609	1.5733
