G23	F-bias	23_F-bias		TRINITY_DN114651_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN109596_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN127070_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN123821_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN113760_c0_g3_i2			
G46	F-bias	46_F-bias		TRINITY_DN123296_c1_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN124523_c1_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN126089_c1_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN103838_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN98838_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN115683_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN126410_c3_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN111236_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN131370_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN114443_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN115095_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN133080_c7_g9_i1			
G46	F-bias	46_F-bias		TRINITY_DN130955_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN111594_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN126312_c0_g1_i4			
G46	F-bias	46_F-bias		TRINITY_DN124521_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN124680_c0_g2_i3			
G46	F-bias	46_F-bias		TRINITY_DN120254_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN136055_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN118445_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN97559_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN123710_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN127864_c2_g4_i4			
G46	F-bias	46_F-bias		TRINITY_DN120335_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN135189_c4_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN105601_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN47771_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN122919_c1_g3_i3			
G46	F-bias	46_F-bias		TRINITY_DN124336_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN118157_c1_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN131258_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN127929_c1_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN119209_c1_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN126507_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN105578_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN125143_c3_g4_i3			
G46	F-bias	46_F-bias		TRINITY_DN79505_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN117339_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN117624_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN129243_c2_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN136526_c4_g4_i1			
G46	F-bias	46_F-bias		TRINITY_DN120485_c1_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN131492_c6_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN125009_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN128099_c4_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN116451_c0_g2_i3			
G46	F-bias	46_F-bias		TRINITY_DN133319_c2_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN119475_c1_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN115713_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN44990_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN116961_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN117098_c1_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN112755_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN122245_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN136167_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN116802_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN127094_c2_g3_i3			
G46	F-bias	46_F-bias		TRINITY_DN112693_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN124190_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN136563_c5_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN133726_c0_g3_i2			
G46	F-bias	46_F-bias		TRINITY_DN105440_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN133604_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN117235_c0_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN124491_c7_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN125797_c1_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN125054_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN128259_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN121554_c1_g10_i1			
G46	F-bias	46_F-bias		TRINITY_DN116617_c0_g2_i3			
G46	F-bias	46_F-bias		TRINITY_DN126425_c1_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN120619_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN131157_c1_g4_i5			
G46	F-bias	46_F-bias		TRINITY_DN121284_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN95685_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN134067_c2_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN127491_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN129674_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN117317_c1_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN135789_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN120396_c0_g1_i4			
G46	F-bias	46_F-bias		TRINITY_DN135970_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN131198_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN119683_c0_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN103621_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN112841_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN126405_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN117651_c0_g1_i7			
G46	F-bias	46_F-bias		TRINITY_DN118360_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN126256_c6_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN112117_c1_g1_i4			
G46	F-bias	46_F-bias		TRINITY_DN134918_c2_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN118145_c0_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN128282_c6_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN87009_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN125015_c1_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN120473_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN134031_c5_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN127576_c0_g1_i5			
G46	F-bias	46_F-bias		TRINITY_DN133585_c15_g11_i1			
G46	F-bias	46_F-bias		TRINITY_DN122373_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN112473_c1_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN117075_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN130211_c0_g1_i4			
G46	F-bias	46_F-bias		TRINITY_DN122749_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN114784_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN130202_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN116067_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN121419_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN118097_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN131222_c0_g2_i4			
G46	F-bias	46_F-bias		TRINITY_DN131939_c2_g8_i2			
G46	F-bias	46_F-bias		TRINITY_DN126839_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN127341_c11_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN134056_c1_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN126421_c2_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN121973_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN114190_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN73574_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN112907_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN133053_c7_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN126447_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN127409_c0_g1_i4			
G46	F-bias	46_F-bias		TRINITY_DN119069_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN131487_c9_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN69029_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN126025_c7_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN132030_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN131787_c2_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN110037_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN123183_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN133045_c7_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN121214_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN103622_c0_g3_i3			
G46	F-bias	46_F-bias		TRINITY_DN115417_c0_g2_i3			
G46	F-bias	46_F-bias		TRINITY_DN124862_c1_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN133539_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN132489_c2_g2_i5			
G46	F-bias	46_F-bias		TRINITY_DN52793_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN126178_c1_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN120743_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN129928_c3_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN119793_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN119678_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN129880_c2_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN124609_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN115840_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN135175_c3_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN87383_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN121040_c0_g3_i2			
G46	F-bias	46_F-bias		TRINITY_DN128247_c5_g9_i3			
G46	F-bias	46_F-bias		TRINITY_DN130511_c0_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN131601_c5_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN135712_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN135567_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN130709_c2_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN119122_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN95955_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN119499_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN124305_c4_g1_i5			
G46	F-bias	46_F-bias		TRINITY_DN116903_c1_g2_i3			
G46	F-bias	46_F-bias		TRINITY_DN120025_c0_g1_i4			
G46	F-bias	46_F-bias		TRINITY_DN133957_c1_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN131150_c0_g3_i3			
G46	F-bias	46_F-bias		TRINITY_DN132667_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN129499_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN132882_c8_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN121091_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN93605_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN132433_c1_g3_i2			
G46	F-bias	46_F-bias		TRINITY_DN121465_c4_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN129474_c1_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN126158_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN132830_c9_g3_i5			
G46	F-bias	46_F-bias		TRINITY_DN124864_c5_g3_i3			
G46	F-bias	46_F-bias		TRINITY_DN123168_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN121931_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN119528_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN122956_c5_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN122125_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN126693_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN123780_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN124265_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN121615_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN113605_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN116369_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN133418_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN124238_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN125238_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN126754_c2_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN25151_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN130600_c2_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN135049_c4_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN115972_c1_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN128268_c2_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN133282_c1_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN121728_c2_g2_i3			
G46	F-bias	46_F-bias		TRINITY_DN114338_c0_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN133596_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN127273_c0_g3_i2			
G46	F-bias	46_F-bias		TRINITY_DN112453_c0_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN129923_c0_g2_i3			
G46	F-bias	46_F-bias		TRINITY_DN109275_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN91515_c0_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN120113_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN131397_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN121064_c0_g1_i5			
G46	F-bias	46_F-bias		TRINITY_DN129005_c2_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN125445_c4_g5_i1			
G46	F-bias	46_F-bias		TRINITY_DN124462_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN121378_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN122604_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN120772_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN123723_c3_g4_i1			
G46	F-bias	46_F-bias		TRINITY_DN122768_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN133114_c1_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN129942_c2_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN132429_c0_g3_i7			
G46	F-bias	46_F-bias		TRINITY_DN122453_c4_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN122414_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN125043_c0_g2_i6			
G46	F-bias	46_F-bias		TRINITY_DN133687_c4_g5_i4			
G46	F-bias	46_F-bias		TRINITY_DN133256_c3_g11_i2			
G46	F-bias	46_F-bias		TRINITY_DN23385_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN132344_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN118793_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN92629_c0_g4_i1			
G46	F-bias	46_F-bias		TRINITY_DN116915_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN127630_c3_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN127049_c0_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN110780_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN128313_c7_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN130280_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN114817_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN135010_c3_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN121787_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN135187_c1_g1_i4			
G46	F-bias	46_F-bias		TRINITY_DN120962_c4_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN133002_c6_g5_i3			
G46	F-bias	46_F-bias		TRINITY_DN129787_c3_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN130667_c0_g1_i5			
G46	F-bias	46_F-bias		TRINITY_DN33377_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN135986_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN124667_c1_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN131869_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN121956_c0_g1_i6			
G46	F-bias	46_F-bias		TRINITY_DN125832_c3_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN131826_c4_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN133859_c1_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN118908_c1_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN110022_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN113980_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN117099_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN128038_c3_g1_i6			
G46	F-bias	46_F-bias		TRINITY_DN128285_c6_g3_i4			
G46	F-bias	46_F-bias		TRINITY_DN132181_c5_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN131011_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN125607_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN126559_c1_g4_i2			
G46	F-bias	46_F-bias		TRINITY_DN135280_c4_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN131927_c5_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN133650_c1_g3_i5			
G46	F-bias	46_F-bias		TRINITY_DN122173_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN125563_c4_g2_i4			
G46	F-bias	46_F-bias		TRINITY_DN129519_c3_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN130962_c1_g2_i12			
G46	F-bias	46_F-bias		TRINITY_DN126577_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN116819_c1_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN129177_c1_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN118609_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN130994_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN114829_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN118390_c0_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN135782_c2_g2_i3			
G46	F-bias	46_F-bias		TRINITY_DN124463_c0_g2_i3			
G46	F-bias	46_F-bias		TRINITY_DN133301_c2_g3_i5			
G46	F-bias	46_F-bias		TRINITY_DN128427_c0_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN133473_c0_g7_i11			
G46	F-bias	46_F-bias		TRINITY_DN125997_c0_g3_i2			
G46	F-bias	46_F-bias		TRINITY_DN132128_c1_g1_i4			
G46	F-bias	46_F-bias		TRINITY_DN132703_c8_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN134844_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN129939_c4_g1_i15			
G46	F-bias	46_F-bias		TRINITY_DN125960_c1_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN128356_c6_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN132817_c1_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN122435_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN23317_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN125761_c2_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN129218_c0_g1_i9			
G46	F-bias	46_F-bias		TRINITY_DN115655_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN120991_c0_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN126161_c0_g2_i4			
G46	F-bias	46_F-bias		TRINITY_DN125618_c1_g2_i2			
G46	F-bias	46_F-bias		TRINITY_DN118496_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN131201_c5_g3_i7			
G46	F-bias	46_F-bias		TRINITY_DN116557_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN127485_c0_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN126838_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN131516_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN108932_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN130785_c3_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN133563_c2_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN123988_c0_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN131809_c9_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN130045_c0_g4_i1			
G46	F-bias	46_F-bias		TRINITY_DN123704_c2_g3_i1			
