G23	M-bias	23_M-bias		TRINITY_DN93628_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN115794_c1_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN121738_c0_g2_i3			
Gonad	F-bias	Go_F-bias		TRINITY_DN124922_c6_g7_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN126754_c2_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN118885_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN130699_c6_g2_i2			
Gonad	F-bias	Go_F-bias		TRINITY_DN129628_c2_g2_i2			
Gonad	M-bias	Go_M-bias		TRINITY_DN104464_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN129827_c5_g2_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN110867_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN126089_c1_g1_i2			
Gonad	M-bias	Go_M-bias		TRINITY_DN44500_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN131896_c3_g1_i2			
Gonad	M-bias	Go_M-bias		TRINITY_DN133911_c4_g9_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN129698_c3_g1_i2			
Gonad	M-bias	Go_M-bias		TRINITY_DN112847_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN132129_c0_g1_i2			
Gonad	M-bias	Go_M-bias		TRINITY_DN179330_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN121035_c0_g2_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN113202_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN119647_c0_g2_i1			
