gid	gene name	chr	start	end
TRINITY_DN133950_c1_g1_i1	LOC100495180	Chr01	10131517	10131517
TRINITY_DN132748_c0_g1_i1	fbxo41	Chr01	10405434	10405434
TRINITY_DN125750_c0_g3_i1	cct7	Chr01	10430696	10430696
TRINITY_DN115470_c1_g1_i1	pradc1	Chr01	10441921	10441921
TRINITY_DN118977_c1_g1_i4	glod5	Chr01	10447866	10447866
TRINITY_DN104136_c0_g1_i1	not	Chr01	10478571	10478571
TRINITY_DN128139_c0_g1_i1	sfxn5	Chr01	10604833	10604833
TRINITY_DN136513_c0_g2_i1	spr	Chr01	10753033	10753033
TRINITY_DN121512_c0_g1_i1	ptcd3	Chr01	11285961	11285961
TRINITY_DN131184_c1_g2_i2	immt-like	Chr01	11303415	11303415
TRINITY_DN127634_c2_g2_i1	kdm3a-like	Chr01	11385032	11385032
TRINITY_DN131863_c2_g1_i1	chmp3	Chr01	11413724	11413724
TRINITY_DN119946_c0_g1_i2	rnf103	Chr01	11428540	11428540
TRINITY_DN131177_c4_g2_i3	rmnd5a	Chr01	11449164	11449164
TRINITY_DN112067_c0_g1_i2	vim.2	Chr01	11588720	11588720
TRINITY_DN118037_c0_g1_i1	tnip2	Chr01	11849553	11849553
TRINITY_DN132851_c3_g3_i1	rnf4	Chr01	11979280	11979280
TRINITY_DN130517_c0_g6_i2	LOC100495334	Chr01	12014876	12014876
TRINITY_DN130861_c0_g1_i1	zfyve28-like.1	Chr01	12117808	12117808
TRINITY_DN122446_c0_g2_i3	nat8l	Chr01	12374500	12374500
TRINITY_DN133282_c1_g1_i2	nelfa	Chr01	12542971	12542971
TRINITY_DN130066_c0_g1_i1	LOC100492954	Chr01	12568075	12568075
TRINITY_DN131684_c1_g1_i2	whsc1	Chr01	12590456	12590456
TRINITY_DN129056_c4_g1_i1	letm1	Chr01	12657347	12657347
TRINITY_DN130833_c0_g1_i2	fgfr3	Chr01	12768111	12768111
TRINITY_DN86639_c0_g1_i1	tmem129	Chr01	13302596	13302596
TRINITY_DN133920_c0_g7_i2	slbp	Chr01	13321554	13321554
TRINITY_DN125443_c1_g1_i4	fam53a	Chr01	13456936	13456936
TRINITY_DN130766_c0_g1_i1	uvssa	Chr01	13985998	13985998
TRINITY_DN127084_c1_g6_i1	maea	Chr01	14027089	14027089
TRINITY_DN131480_c4_g1_i1	ctbp1	Chr01	14365424	14365424
TRINITY_DN115755_c0_g1_i2	spon2	Chr01	14487640	14487640
TRINITY_DN119577_c0_g1_i2	LOC100489853	Chr01	14502547	14502547
TRINITY_DN116177_c0_g1_i2	rnf212	Chr01	14518463	14518463
TRINITY_DN134258_c0_g1_i2	fgfrl1	Chr01	14724047	14724047
TRINITY_DN130136_c6_g1_i1	Xetrov90000413m	Chr01	15030282	15030282
TRINITY_DN135786_c4_g1_i1	polr1a	Chr01	15112002	15112002
TRINITY_DN124832_c9_g3_i2	mrpl35	Chr01	15165528	15165528
TRINITY_DN131325_c0_g1_i1	krcc1	Chr01	15174033	15174033
TRINITY_DN108116_c0_g2_i2	smyd1	Chr01	15203364	15203364
TRINITY_DN126545_c0_g3_i5	fabp1	Chr01	15230089	15230089
TRINITY_DN57864_c0_g2_i1	thnsl2	Chr01	15242191	15242191
TRINITY_DN44424_c0_g2_i1	foxi4.1	Chr01	15315114	15315114
TRINITY_DN118468_c0_g1_i1	LOC100490372	Chr01	15500329	15500329
TRINITY_DN120300_c0_g1_i1	lrpap1	Chr01	15735464	15735464
TRINITY_DN124739_c2_g4_i1	dok7-like	Chr01	15769619	15769619
TRINITY_DN123323_c0_g4_i2	hgfac	Chr01	15854605	15854605
TRINITY_DN136486_c1_g1_i2	LOC101731678-like	Chr01	15912763	15912763
TRINITY_DN123446_c5_g2_i2	msantd1	Chr01	16011690	16011690
TRINITY_DN122559_c1_g2_i1	htt	Chr01	16029872	16029872
TRINITY_DN132123_c0_g2_i1	grk4	Chr01	16126243	16126243
TRINITY_DN125463_c6_g3_i1	nop14	Chr01	16332469	16332469
TRINITY_DN130709_c0_g1_i3	med28	Chr01	16439407	16439407
TRINITY_DN129521_c3_g1_i1	lap3	Chr01	16446315	16446315
TRINITY_DN134524_c2_g2_i1	qdpr	Chr01	16477747	16477747
TRINITY_DN115590_c0_g1_i2	ldb2	Chr01	16710027	16710027
TRINITY_DN128074_c1_g1_i2	tapt1	Chr01	16782031	16782031
TRINITY_DN133074_c3_g1_i3	fgfbp2	Chr01	16906025	16906025
TRINITY_DN128167_c5_g1_i1	fgfbp1	Chr01	16917640	16917640
TRINITY_DN129214_c3_g1_i1	cd38	Chr01	16945176	16945176
TRINITY_DN111129_c0_g1_i1	fbxl5	Chr01	16988064	16988064
TRINITY_DN133322_c1_g2_i1	c1qtnf7	Chr01	17071229	17071229
TRINITY_DN134489_c4_g2_i3	cpeb2-like	Chr01	17123704	17123704
TRINITY_DN135645_c1_g1_i2	bod1l1	Chr01	17372725	17372725
TRINITY_DN119167_c0_g2_i2	nkx3-2	Chr01	17502283	17502283
TRINITY_DN133312_c3_g1_i2	rab28	Chr01	17543756	17543756
TRINITY_DN13889_c0_g1_i1	hs3st1	Chr01	17966463	17966463
TRINITY_DN132219_c3_g1_i1	wdr1	Chr01	18158616	18158616
TRINITY_DN105496_c0_g1_i1	slc2a9	Chr01	18216490	18216490
TRINITY_DN121616_c0_g1_i2	LOC100495174	Chr01	18430207	18430207
TRINITY_DN128451_c0_g1_i2	otop1	Chr01	18521298	18521298
TRINITY_DN124747_c0_g1_i2	LOC100493887	Chr01	18549030	18549030
TRINITY_DN129958_c8_g2_i4	zbtb49	Chr01	18600153	18600153
TRINITY_DN133657_c2_g1_i6	nsg1	Chr01	18625008	18625008
TRINITY_DN129893_c2_g1_i1	msx1	Chr01	18950075	18950075
TRINITY_DN135630_c3_g5_i3	Xetrov90000497m	Chr01	18982421	18982421
TRINITY_DN121884_c0_g2_i1	stk32b	Chr01	19018414	19018414
TRINITY_DN131709_c1_g1_i1	evc	Chr01	19204475	19204475
TRINITY_DN135934_c1_g1_i3	crmp1	Chr01	19259195	19259195
TRINITY_DN117584_c0_g1_i1	jakmip1	Chr01	19315484	19315484
TRINITY_DN135788_c4_g1_i1	wfs1	Chr01	19412425	19412425
TRINITY_DN132751_c3_g1_i2	man2b2	Chr01	19541771	19541771
TRINITY_DN122661_c0_g1_i5	afap1	Chr01	19754013	19754013
TRINITY_DN125306_c0_g1_i1	sorcs2	Chr01	19859326	19859326
TRINITY_DN124459_c0_g2_i1	grpel1	Chr01	20357492	20357492
TRINITY_DN115713_c0_g1_i1	tada2b	Chr01	20365262	20365262
TRINITY_DN133002_c6_g5_i3	tbc1d14-like	Chr01	20379605	20379605
TRINITY_DN133722_c0_g8_i2	kiaa0232-like	Chr01	20451126	20451126
TRINITY_DN132879_c5_g7_i1	LOC100489920-like	Chr01	20481224	20481224
TRINITY_DN135660_c1_g1_i2	htra3	Chr01	20681225	20681225
TRINITY_DN133572_c0_g1_i1	Xetrov90000522m	Chr01	20771304	20771304
TRINITY_DN122501_c0_g1_i2	sepsecs	Chr01	20963028	20963028
TRINITY_DN132299_c1_g1_i4	lgi2	Chr01	21004860	21004860
TRINITY_DN126111_c0_g1_i3	ccdc149-like	Chr01	21049873	21049873
TRINITY_DN125605_c3_g3_i1	sod3	Chr01	21082217	21082217
TRINITY_DN126027_c5_g1_i5	dhx15	Chr01	21109905	21109905
TRINITY_DN122892_c0_g1_i1	gba3	Chr01	22342374	22342374
TRINITY_DN125467_c0_g1_i1	gpr125	Chr01	22373004	22373004
TRINITY_DN120168_c0_g1_i6	kcnip4-like	Chr01	22625130	22625130
TRINITY_DN125771_c0_g1_i3	pacrgl	Chr01	22668808	22668808
TRINITY_DN133053_c7_g1_i2	ncapg	Chr01	23327161	23327161
TRINITY_DN124709_c0_g1_i1	LOC101733347	Chr01	23356858	23356858
TRINITY_DN119575_c0_g1_i1	kiaa1239-like	Chr01	24108295	24108295
TRINITY_DN117851_c0_g1_i1	LOC101734689	Chr01	24368691	24368691
TRINITY_DN128925_c6_g1_i3	arap2	Chr01	24463234	24463234
TRINITY_DN126571_c0_g1_i2	LOC101731735	Chr01	25052787	25052787
TRINITY_DN135833_c1_g3_i5	pcdh7	Chr01	25551505	25551505
TRINITY_DN128230_c0_g1_i1	pgm2	Chr01	25900313	25900313
TRINITY_DN126034_c2_g2_i2	rell1	Chr01	25921146	25921146
TRINITY_DN134533_c0_g2_i6	tbc1d1-like	Chr01	25964030	25964030
TRINITY_DN124045_c0_g2_i1	klf3	Chr01	26186197	26186197
TRINITY_DN128430_c0_g1_i1	tlr1	Chr01	26236628	26236628
TRINITY_DN129675_c0_g1_i1	tlr6	Chr01	26251596	26251596
TRINITY_DN130912_c4_g1_i3	LOC101733203	Chr01	26292904	26292904
TRINITY_DN130667_c0_g1_i5	klhl5-like	Chr01	26330435	26330435
TRINITY_DN135439_c2_g1_i3	rfc1	Chr01	26473514	26473514
TRINITY_DN134492_c1_g7_i3	klb	Chr01	26974623	26974623
TRINITY_DN65335_c0_g1_i1	LOC101733414	Chr01	27003630	27003630
TRINITY_DN135838_c9_g1_i4	LOC101735113	Chr01	27009720	27009720
TRINITY_DN135580_c5_g2_i3	Xetrov90000594m	Chr01	27050817	27050817
TRINITY_DN135038_c3_g2_i1	LOC100145219	Chr01	27080459	27080459
TRINITY_DN114647_c0_g1_i1	rhoh	Chr01	27214303	27214303
TRINITY_DN127380_c0_g1_i1	nsun7	Chr01	27448767	27448767
TRINITY_DN135346_c0_g1_i2	apbb2	Chr01	27469299	27469299
TRINITY_DN151312_c0_g1_i1	uchl1	Chr01	27627849	27627849
TRINITY_DN135123_c1_g2_i12	limch1-like	Chr01	27762044	27762044
TRINITY_DN132188_c0_g1_i4	tmem33	Chr01	27958081	27958081
TRINITY_DN134374_c0_g2_i5	slc30a9	Chr01	27983571	27983571
TRINITY_DN122039_c0_g3_i1	bend4-like	Chr01	28031281	28031281
TRINITY_DN135811_c0_g1_i3	atp8a1	Chr01	28181203	28181203
TRINITY_DN133544_c1_g1_i2	Xetrov90000626m	Chr01	28442756	28442756
TRINITY_DN124877_c0_g1_i2	yipf7	Chr01	28520233	28520233
TRINITY_DN122741_c0_g2_i3	gnpda2	Chr01	28546622	28546622
TRINITY_DN130143_c0_g1_i2	guf1-like	Chr01	28561872	28561872
TRINITY_DN132835_c1_g1_i1	gabra2	Chr01	28822358	28822358
TRINITY_DN127789_c1_g1_i2	commd8	Chr01	29313103	29313103
TRINITY_DN124518_c0_g1_i1	corin-like	Chr01	29391953	29391953
TRINITY_DN134596_c7_g1_i2	nfxl1	Chr01	29535898	29535898
TRINITY_DN120682_c0_g2_i1	cnga1	Chr01	29576562	29576562
TRINITY_DN121695_c0_g1_i1	nipal1	Chr01	29602560	29602560
TRINITY_DN130058_c1_g1_i1	tec	Chr01	29623054	29623054
TRINITY_DN130867_c0_g1_i2	LOC100491488-like	Chr01	29715824	29715824
TRINITY_DN208554_c0_g1_i1	zar1	Chr01	29767993	29767993
TRINITY_DN123281_c5_g2_i1	ociad1	Chr01	29964939	29964939
TRINITY_DN117920_c0_g1_i5	ociad2	Chr01	30009371	30009371
TRINITY_DN132954_c5_g2_i3	sgcb	Chr01	30041959	30041959
TRINITY_DN127470_c0_g2_i2	rasl11b	Chr01	30238664	30238664
TRINITY_DN128819_c3_g2_i9	scfd2	Chr01	30442404	30442404
TRINITY_DN114964_c0_g1_i1	fip1l1	Chr01	30492454	30492454
TRINITY_DN122356_c1_g4_i9	lnx1	Chr01	30538429	30538429
TRINITY_DN135508_c3_g1_i4	chic2	Chr01	30765806	30765806
TRINITY_DN108586_c0_g1_i1	gsx2	Chr01	30801762	30801762
TRINITY_DN130262_c0_g1_i1	LOC100124862	Chr01	30840173	30840173
TRINITY_DN129971_c0_g2_i1	kit	Chr01	30989876	30989876
TRINITY_DN124784_c6_g7_i1	srd5a3	Chr01	31182035	31182035
TRINITY_DN109817_c0_g1_i1	clock	Chr01	31205911	31205911
TRINITY_DN117797_c0_g1_i4	Xetrov90000677m	Chr01	31358862	31358862
TRINITY_DN98415_c0_g1_i1	LOC100486416	Chr01	31390754	31390754
TRINITY_DN132637_c3_g9_i1	cep135	Chr01	31450070	31450070
TRINITY_DN134982_c7_g1_i1	aasdh-like	Chr01	31594777	31594777
TRINITY_DN127233_c1_g1_i5	paics.1	Chr01	31652922	31652922
TRINITY_DN133539_c0_g1_i1	ppat	Chr01	31660752	31660752
TRINITY_DN135615_c0_g1_i2	lonrf1	Chr01	31681950	31681950
TRINITY_DN121845_c0_g1_i1	LOC100488302-like	Chr01	31743645	31743645
TRINITY_DN118998_c1_g1_i2	dlc1	Chr01	31801414	31801414
TRINITY_DN126147_c0_g3_i3	sgcz	Chr01	32129779	32129779
TRINITY_DN127502_c1_g1_i1	tusc3	Chr01	32624515	32624515
TRINITY_DN125213_c1_g1_i3	msr1	Chr01	32745277	32745277
TRINITY_DN131386_c0_g4_i5	micu3-like	Chr01	32910226	32910226
TRINITY_DN128794_c0_g4_i3	zdhhc2	Chr01	33018188	33018188
TRINITY_DN128579_c1_g1_i1	cnot7	Chr01	33076463	33076463
TRINITY_DN117670_c1_g2_i1	vps37a	Chr01	33086111	33086111
TRINITY_DN132310_c0_g1_i1	mtmr7-like	Chr01	33120053	33120053
TRINITY_DN134130_c0_g2_i4	slc7a2-like	Chr01	33210256	33210256
TRINITY_DN126171_c0_g1_i1	pdgfrl	Chr01	33244452	33244452
TRINITY_DN118815_c0_g1_i1	fgl1	Chr01	33404389	33404389
TRINITY_DN133614_c2_g1_i2	asah1	Chr01	33488227	33488227
TRINITY_DN128736_c2_g1_i6	frg1	Chr01	33503208	33503208
TRINITY_DN118984_c1_g1_i1	klkb1-like	Chr01	34796670	34796670
TRINITY_DN126268_c0_g1_i2	cyp4v2-like.2	Chr01	34856089	34856089
TRINITY_DN123925_c0_g1_i1	fam149a-like	Chr01	34875296	34875296
TRINITY_DN123059_c0_g3_i4	Xetrov90000734m	Chr01	35206850	35206850
TRINITY_DN96807_c0_g1_i1	c4orf47	Chr01	35229000	35229000
TRINITY_DN132235_c2_g1_i3	ufsp2	Chr01	35235940	35235940
TRINITY_DN133048_c2_g2_i1	ankrd37	Chr01	35248675	35248675
TRINITY_DN129651_c0_g1_i10	lrp2bp	Chr01	35254051	35254051
TRINITY_DN127312_c0_g1_i1	snx25-like	Chr01	35262666	35262666
TRINITY_DN129524_c0_g1_i5	cfap97	Chr01	35359086	35359086
TRINITY_DN122458_c2_g6_i2	slc25a4	Chr01	35377311	35377311
TRINITY_DN123556_c0_g1_i1	LOC100487093-like	Chr01	35386654	35386654
TRINITY_DN126308_c0_g2_i9	acsl1	Chr01	35491194	35491194
TRINITY_DN118791_c0_g1_i2	LOC100486222	Chr01	35569041	35569041
TRINITY_DN132334_c4_g8_i2	Xetrov90000750m	Chr01	35584180	35584180
TRINITY_DN130185_c1_g1_i1	casp3	Chr01	35599082	35599082
TRINITY_DN134419_c0_g3_i4	irf2	Chr01	35632416	35632416
TRINITY_DN103720_c0_g1_i2	enpp6	Chr01	35674507	35674507
TRINITY_DN133450_c2_g1_i8	stox2-like	Chr01	35710892	35710892
TRINITY_DN133296_c0_g1_i1	trappc11	Chr01	35835302	35835302
TRINITY_DN114997_c0_g2_i1	rwdd4	Chr01	35864811	35864811
TRINITY_DN122453_c4_g2_i1	ing2	Chr01	35947272	35947272
TRINITY_DN125895_c0_g1_i2	cdkn2aip	Chr01	35971555	35971555
TRINITY_DN112782_c0_g1_i1	cldn22	Chr01	36037300	36037300
TRINITY_DN134104_c0_g2_i1	MGC79698	Chr01	36078011	36078011
TRINITY_DN118861_c0_g1_i3	dctd	Chr01	36234709	36234709
TRINITY_DN133213_c0_g2_i33	Xetrov90000766m	Chr01	36457341	36457341
TRINITY_DN114799_c0_g1_i1	aga	Chr01	38042206	38042206
TRINITY_DN118908_c1_g2_i2	neil3	Chr01	38056089	38056089
TRINITY_DN120746_c0_g3_i1	spcs3	Chr01	38518783	38518783
TRINITY_DN117723_c0_g1_i1	spata4-like	Chr01	38573353	38573353
TRINITY_DN131226_c2_g1_i4	wdr17-like	Chr01	38582869	38582869
TRINITY_DN131356_c6_g1_i1	gpm6a	Chr01	38740647	38740647
TRINITY_DN117697_c0_g1_i1	glra3	Chr01	38904974	38904974
TRINITY_DN129065_c3_g2_i2	hpgd	Chr01	39025088	39025088
TRINITY_DN124503_c1_g2_i2	cep44	Chr01	39130121	39130121
TRINITY_DN115291_c0_g1_i1	fbxo8	Chr01	39144104	39144104
TRINITY_DN112070_c0_g1_i2	hand2	Chr01	39412802	39412802
TRINITY_DN117356_c0_g1_i1	Xetrov90000785m	Chr01	39507087	39507087
TRINITY_DN119668_c0_g1_i3	hmgb2	Chr01	39547683	39547683
TRINITY_DN118401_c0_g1_i1	galnt7	Chr01	39562124	39562124
TRINITY_DN120323_c0_g1_i1	aadat	Chr01	40608103	40608103
TRINITY_DN129929_c2_g2_i1	mfap3l-like	Chr01	40665017	40665017
TRINITY_DN134050_c6_g4_i1	LOC100488348	Chr01	40704275	40704275
TRINITY_DN128606_c2_g13_i11	clcn3	Chr01	40715452	40715452
TRINITY_DN125206_c3_g4_i2	nek1	Chr01	40766102	40766102
TRINITY_DN126563_c2_g1_i1	sh3rf1	Chr01	40862906	40862906
TRINITY_DN124342_c3_g1_i3	cbr4	Chr01	40971260	40971260
TRINITY_DN135522_c0_g2_i1	ddx60	Chr01	41320214	41320214
TRINITY_DN129293_c1_g2_i1	LOC100488610	Chr01	41360546	41360546
TRINITY_DN118687_c0_g1_i2	anxa10	Chr01	41382093	41382093
TRINITY_DN128031_c1_g1_i1	spock3	Chr01	41555975	41555975
TRINITY_DN131466_c7_g2_i1	cpe	Chr01	41986099	41986099
TRINITY_DN124214_c0_g1_i1	msmo1	Chr01	42074453	42074453
TRINITY_DN124401_c0_g2_i2	klhl2	Chr01	42086166	42086166
TRINITY_DN129005_c3_g1_i3	Xetrov90000830m	Chr01	42293235	42293235
TRINITY_DN123858_c0_g2_i2	npy5r	Chr01	42493852	42493852
TRINITY_DN119506_c0_g1_i1	npy1r	Chr01	42581942	42581942
TRINITY_DN133037_c0_g1_i2	naf1	Chr01	42692844	42692844
TRINITY_DN130774_c0_g1_i1	fstl5	Chr01	42967530	42967530
TRINITY_DN117279_c0_g1_i4	LOC100493543	Chr01	43628302	43628302
TRINITY_DN121952_c0_g1_i1	fnip2-like	Chr01	43643926	43643926
TRINITY_DN122124_c0_g1_i2	ppid	Chr01	43711990	43711990
TRINITY_DN125603_c0_g3_i1	etfdh	Chr01	43724131	43724131
TRINITY_DN121986_c0_g1_i2	tmem144	Chr01	43946688	43946688
TRINITY_DN121364_c0_g1_i2	fam198b	Chr01	43970167	43970167
TRINITY_DN134453_c2_g1_i11	Xetrov90000859m	Chr01	44098177	44098177
TRINITY_DN134647_c1_g1_i1	glrb	Chr01	44226997	44226997
TRINITY_DN121176_c0_g1_i3	pdgfc	Chr01	44413093	44413093
TRINITY_DN129561_c4_g1_i11	tdo2	Chr01	44561624	44561624
TRINITY_DN78864_c0_g1_i1	asic5	Chr01	44585322	44585322
TRINITY_DN133790_c10_g2_i2	gucy1a3-like	Chr01	44695371	44695371
TRINITY_DN120645_c0_g1_i2	map9-like	Chr01	44821426	44821426
TRINITY_DN118156_c0_g2_i1	npy2r-like.1	Chr01	44934338	44934338
TRINITY_DN129468_c0_g4_i4	LOC100485002	Chr01	45162774	45162774
TRINITY_DN136088_c0_g4_i1	fgg	Chr01	45258642	45258642
TRINITY_DN123395_c1_g3_i1	LOC101730283	Chr01	45285232	45285232
TRINITY_DN136472_c0_g4_i2	fgb	Chr01	45300519	45300519
TRINITY_DN125476_c1_g2_i1	plrg1	Chr01	45313874	45313874
TRINITY_DN127187_c0_g3_i1	sfrp2	Chr01	45713108	45713108
TRINITY_DN103986_c0_g1_i1	tlr2	Chr01	45753921	45753921
TRINITY_DN131754_c2_g2_i2	mnd1	Chr01	45875149	45875149
TRINITY_DN123431_c0_g2_i2	trim2	Chr01	45903183	45903183
TRINITY_DN134537_c4_g1_i1	fhdc1	Chr01	46032260	46032260
TRINITY_DN125918_c1_g1_i4	Xetrov90000896m	Chr01	46089611	46089611
TRINITY_DN131859_c6_g3_i1	ercc8	Chr01	46198772	46198772
TRINITY_DN123048_c0_g1_i8	fbxw7-like	Chr01	46276113	46276113
TRINITY_DN126816_c1_g1_i1	pet112	Chr01	46772336	46772336
TRINITY_DN133143_c0_g1_i1	fam160a1-like	Chr01	46847698	46847698
TRINITY_DN126212_c0_g2_i2	rps3a	Chr01	47125192	47125192
TRINITY_DN125614_c0_g2_i1	mab21l2	Chr01	47348499	47348499
TRINITY_DN130800_c2_g2_i2	nr3c2	Chr01	47821074	47821074
TRINITY_DN131821_c0_g3_i4	arhgap10	Chr01	48026778	48026778
TRINITY_DN131263_c0_g2_i5	prmt9	Chr01	48135580	48135580
TRINITY_DN135499_c8_g1_i2	tmem184c	Chr01	48169717	48169717
TRINITY_DN135594_c6_g2_i2	ednra	Chr01	48225092	48225092
TRINITY_DN121308_c0_g2_i1	ttc29-like	Chr01	48527193	48527193
TRINITY_DN107651_c0_g1_i1	pou4f2	Chr01	48700122	48700122
TRINITY_DN109331_c0_g1_i1	slc10a7	Chr01	48736012	48736012
TRINITY_DN125629_c0_g2_i2	mmaa	Chr01	49159254	49159254
TRINITY_DN130789_c5_g2_i2	smad1	Chr01	49182917	49182917
TRINITY_DN118679_c0_g3_i1	hhip	Chr01	49491640	49491640
TRINITY_DN125585_c0_g1_i3	anapc10	Chr01	49632803	49632803
TRINITY_DN120562_c0_g1_i1	abce1	Chr01	49660265	49660265
TRINITY_DN127163_c0_g4_i1	smarca5	Chr01	49814354	49814354
TRINITY_DN127619_c2_g2_i2	Xetrov90000956m	Chr01	49857945	49857945
TRINITY_DN125916_c0_g2_i1	usp38	Chr01	49976472	49976472
TRINITY_DN132334_c4_g6_i1	rnf150	Chr01	50883857	50883857
TRINITY_DN132344_c0_g1_i2	tbc1d9	Chr01	51015976	51015976
TRINITY_DN119416_c2_g1_i1	ucp1	Chr01	51073395	51073395
TRINITY_DN131085_c8_g2_i1	elmod2	Chr01	51080887	51080887
TRINITY_DN114720_c2_g1_i2	mgat4a	Chr01	51145888	51145888
TRINITY_DN132264_c1_g1_i5	clgn-like	Chr01	51220422	51220422
TRINITY_DN135743_c0_g2_i1	LOC100127860	Chr01	51606696	51606696
TRINITY_DN123320_c0_g3_i7	setd7	Chr01	51619256	51619256
TRINITY_DN116978_c0_g1_i1	LOC733556	Chr01	51640120	51640120
TRINITY_DN123229_c1_g2_i1	rab33b	Chr01	51662085	51662085
TRINITY_DN130369_c0_g4_i1	naa15	Chr01	51694092	51694092
TRINITY_DN124922_c6_g7_i1	ccrn4l	Chr01	51728403	51728403
TRINITY_DN122455_c0_g1_i1	elf2	Chr01	51750008	51750008
TRINITY_DN128439_c3_g4_i2	LOC100496726	Chr01	52351562	52351562
TRINITY_DN122080_c1_g1_i1	pcdh18	Chr01	52732382	52732382
TRINITY_DN65638_c0_g1_i1	LOC100135109	Chr01	54415657	54415657
TRINITY_DN136739_c19_g2_i1	c4orf33	Chr01	54475487	54475487
TRINITY_DN133034_c0_g4_i1	LOC101733996	Chr01	54504852	54504852
TRINITY_DN132830_c9_g3_i5	jade1	Chr01	54589520	54589520
TRINITY_DN125066_c0_g1_i1	pgrmc2	Chr01	54746200	54746200
TRINITY_DN130649_c0_g2_i4	larp1b	Chr01	54760979	54760979
TRINITY_DN132416_c2_g1_i5	c4orf29	Chr01	54793723	54793723
TRINITY_DN129849_c0_g1_i3	mfsd8	Chr01	54814496	54814496
TRINITY_DN128154_c0_g1_i1	plk4	Chr01	54832382	54832382
TRINITY_DN132674_c0_g1_i3	Xetrov90001020m	Chr01	54856100	54856100
TRINITY_DN121104_c0_g2_i1	intu	Chr01	54888126	54888126
TRINITY_DN125836_c0_g1_i3	LOC100498452	Chr01	54941710	54941710
TRINITY_DN134016_c0_g1_i4	ankrd50	Chr01	55884569	55884569
TRINITY_DN130642_c0_g1_i1	spry1	Chr01	56198463	56198463
TRINITY_DN117534_c0_g1_i1	spata5-like	Chr01	56387734	56387734
TRINITY_DN129740_c0_g3_i1	nudt6	Chr01	56462480	56462480
TRINITY_DN124136_c0_g3_i1	fgf2	Chr01	56473227	56473227
TRINITY_DN118391_c0_g1_i1	bbs12-like	Chr01	56525994	56525994
TRINITY_DN135643_c4_g1_i1	cetn4	Chr01	56529228	56529228
TRINITY_DN131450_c1_g5_i5	Xetrov90001039m	Chr01	56647536	56647536
TRINITY_DN123646_c0_g3_i1	trpc3	Chr01	57352438	57352438
TRINITY_DN130357_c0_g2_i1	bbs7	Chr01	57409675	57409675
TRINITY_DN131193_c0_g3_i1	exosc9	Chr01	57467351	57467351
TRINITY_DN130999_c0_g2_i1	anxa5	Chr01	57497673	57497673
TRINITY_DN124164_c0_g1_i2	cyp2u1	Chr01	57523715	57523715
