gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain
TRINITY_DN129581_c0_g1_i5	eif2b1	Chr01	152378996	152378996	5.00177883426472	-1.01302589309645	1.17243307814312e-08	1.52973205870723e-05
TRINITY_DN129784_c1_g7_i1	LOC100487939	Chr01	65386604	65386604	2.59631211021699	2.99993483062138	5.64752380301281e-05	0.0120303782562955
TRINITY_DN130300_c0_g1_i3	LOC100495139	Chr03	528609	528609	3.97544806927216	3.0714963988749	0.000111611578742591	0.0190831877334569
TRINITY_DN130680_c2_g1_i1	musk	Chr01	103510401	103510401	2.52024918663103	-3.03039383779192	9.96926392222013e-05	0.0179412373827817
TRINITY_DN131218_c0_g1_i10	elmo3	Chr04	28457416	28457416	3.29558178396396	1.86160406262311	0.000291324367575108	0.038504901994315
TRINITY_DN131753_c0_g4_i1	ccnb3	Chr08	18281290	18281290	2.99403985985015	3.34919937586388	1.92990392226956e-05	0.00559564920573601
TRINITY_DN132104_c0_g2_i3	Xetrov90001997m	Chr01	101423083	101423083	3.50844255974898	2.33448777963117	9.75415384071025e-05	0.0179412373827817
TRINITY_DN132560_c1_g5_i1	LOC100127632	Chr06	134197299	134197299	1.09802598071471	4.13537269035931	1.60754131499931e-09	5.14480047638019e-06
TRINITY_DN132667_c0_g6_i1	sumo2	Chr10	35830902	35830902	4.32151132563433	-1.18411724284655	1.81945007056645e-05	0.00558571171663901
TRINITY_DN133563_c2_g1_i1	c2orf69	Chr09	46182130	46182130	4.59520288502497	-1.24737811918576	0.000179349928436777	0.0266962979296854
TRINITY_DN133976_c2_g2_i1	lmx1b.1	Chr08	9183575	9183575	3.70889786814174	1.51514413054607	0.00012848613532784	0.0207608478468978
TRINITY_DN134021_c2_g1_i2	folr1	scaffold_1043	10484	10484	1.38976241452286	2.69592850314286	0.00032203853499568	0.0402226726652944
TRINITY_DN134429_c5_g1_i1	cnp-like	Chr10	2240187	2240187	7.86241086415721	1.2278559488728	6.6797946585458e-06	0.00268168064022696
TRINITY_DN134524_c3_g3_i1	f5	Chr02	68653653	68653653	5.00246728275436	3.93313575569362	2.83554903626714e-05	0.0073993652101391
TRINITY_DN135618_c2_g1_i1	kcnj13	Chr05	123073357	123073357	6.82050057758029	1.09992293394678	2.64677011328442e-06	0.00162511684955664
TRINITY_DN135640_c2_g9_i1	sftpc	Chr03	119317068	119317068	6.13517152442906	-5.28477970869554	1.45534418548413e-05	0.00474715081502603
TRINITY_DN135896_c2_g3_i1	cndp2	scaffold_21	1670075	1670075	12.1133470731034	4.67230188407554	3.91515403837959e-05	0.00946709947301763
TRINITY_DN135947_c1_g1_i1	LOC100486817-like	scaffold_147	323376	323376	1.78773826951612	-4.03360118548588	7.36325062338179e-08	8.53973444520657e-05
TRINITY_DN27351_c0_g1_i1	rpl7a	scaffold_124	334120	334120	4.24551116380242	-4.75687839407543	2.27846034245828e-05	0.00625857080383671
TRINITY_DN61282_c0_g1_i1	LOC100494322	Chr06	18209355	18209355	0.247796063632623	3.06606885312844	0.000185796826782548	0.0266962979296854
TRINITY_DN69144_c0_g1_i1	hdac1	Chr02	82271699	82271699	3.91249258973295	-1.85573413071308	6.47584145219149e-06	0.00268168064022696
TRINITY_DN87264_c0_g2_i1	smarcb1	Chr01	144686502	144686502	1.80560899578062	-5.06410896791169	8.65009938320505e-06	0.00322463347721051
TRINITY_DN90720_c0_g1_i1	rpl14	Chr06	72948445	72948445	3.3233540439801	-4.79947876221914	7.28128703513336e-07	0.000584631339020939
TRINITY_DN91309_c0_g1_i2	LOC100490994	Chr02	145155702	145155702	1.24567657444021	2.18317618901441	0.000145758599213801	0.0230519433120251
TRINITY_DN93345_c0_g1_i1	srsf1	Chr02	50295128	50295128	3.69177748095442	-1.83262201578372	1.03352643074262e-06	0.000719196592272761
