gid	gname	chr	start	end	logCPM	logFC.XY43.XX43	PV.XY43.XX43	FDR.XY43.XX43	stage	sexbias
TRINITY_DN208554_c0_g1_i1	il17c	Chr04	69300183	69300183	2.792027373	-6.059424038	8.51E-11	1.45E-07	G43	female
TRINITY_DN136663_c13_g1_i1	sbds	Chr02	94363061	94363061	3.668830995	-6.019328872	3.40E-10	4.57E-07	G43	female
TRINITY_DN110679_c0_g1_i1	NA	NA	NA	NA	1.299259659	-6.009040831	1.03E-08	6.30E-06	G43	female
TRINITY_DN119116_c0_g1_i1	NA	NA	NA	NA	1.067951159	-5.992639733	1.78E-07	6.32E-05	G43	female
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	2.271986773	-5.985659622	6.14E-07	0.000181055	G43	female
TRINITY_DN101072_c0_g2_i2	NA	NA	NA	NA	3.495097931	-5.96559315	2.47E-09	2.04E-06	G43	female
TRINITY_DN102894_c0_g1_i2	morc2	Chr01	131453682	131453682	2.825293294	-5.962388638	7.48E-11	1.45E-07	G43	female
TRINITY_DN109666_c0_g1_i1	NA	NA	NA	NA	4.108694011	-5.915561205	1.54E-07	5.69E-05	G43	female
TRINITY_DN127464_c0_g11_i1	NA	NA	NA	NA	0.287693187	-5.798395392	2.59E-08	1.23E-05	G43	female
TRINITY_DN69456_c0_g1_i2	NA	NA	NA	NA	3.872721444	-5.771727582	3.53E-08	1.61E-05	G43	female
TRINITY_DN103798_c0_g1_i1	kctd9	Chr03	106568067	106568067	3.335117009	-5.756070448	4.78E-09	3.59E-06	G43	female
TRINITY_DN119774_c0_g1_i2	NA	NA	NA	NA	1.83006603	-5.724247635	1.26E-08	7.21E-06	G43	female
TRINITY_DN45542_c0_g1_i1	NA	NA	NA	NA	2.985273429	-5.698186325	7.62E-10	8.86E-07	G43	female
TRINITY_DN75302_c0_g2_i1	NA	NA	NA	NA	3.037799024	-5.601548147	4.39E-08	1.93E-05	G43	female
TRINITY_DN74428_c0_g1_i1	NA	NA	NA	NA	5.434680731	-5.589055751	4.73E-07	0.000151311	G43	female
TRINITY_DN131394_c0_g1_i2	NA	NA	NA	NA	0.030788712	-5.562057728	7.74E-07	0.000210488	G43	female
TRINITY_DN98815_c0_g2_i1	NA	NA	NA	NA	3.667516981	-5.535404677	3.12E-09	2.49E-06	G43	female
TRINITY_DN131553_c0_g2_i1	NA	NA	NA	NA	0.564638089	-5.493481233	1.78E-07	6.32E-05	G43	female
TRINITY_DN151548_c0_g1_i1	map2k6	Chr10	21091508	21091508	3.118497524	-5.480688799	4.15E-09	3.22E-06	G43	female
TRINITY_DN124389_c0_g1_i1	NA	NA	NA	NA	0.818403022	-5.469445363	2.83E-07	9.52E-05	G43	female
TRINITY_DN118245_c0_g1_i2	NA	NA	NA	NA	4.260034929	-5.454161172	4.50E-10	5.75E-07	G43	female
TRINITY_DN120456_c0_g1_i1	NA	NA	NA	NA	2.311701259	-5.432757596	1.58E-09	1.45E-06	G43	female
TRINITY_DN151741_c0_g1_i1	NA	NA	NA	NA	1.271459779	-5.417222294	5.76E-07	0.000176894	G43	female
TRINITY_DN128402_c0_g1_i2	NA	NA	NA	NA	4.993866978	-5.408248523	2.12E-09	1.80E-06	G43	female
TRINITY_DN105624_c0_g1_i1	usp13	Chr05	95267617	95267617	1.101761252	-5.361443016	1.54E-08	8.58E-06	G43	female
TRINITY_DN124325_c0_g1_i1	NA	NA	NA	NA	4.474947184	-5.358873034	1.94E-08	9.73E-06	G43	female
TRINITY_DN69434_c0_g2_i1	NA	NA	NA	NA	0.685866594	-5.358249149	1.89E-08	9.69E-06	G43	female
TRINITY_DN133291_c0_g1_i1	NA	NA	NA	NA	3.590552419	-5.351762909	2.44E-10	3.46E-07	G43	female
TRINITY_DN116966_c0_g1_i1	NA	NA	NA	NA	3.445313359	-5.325369569	4.80E-11	1.12E-07	G43	female
TRINITY_DN135315_c3_g4_i2	NA	NA	NA	NA	0.657562987	-5.313107317	8.05E-06	0.001634352	G43	female
TRINITY_DN83270_c0_g1_i1	dnm2	Chr03	127992323	127992323	4.911158444	-5.216743009	6.79E-09	4.69E-06	G43	female
TRINITY_DN118281_c0_g1_i1	NA	NA	NA	NA	1.082581103	-5.184766098	1.13E-07	4.40E-05	G43	female
TRINITY_DN133291_c0_g2_i1	ect2	Chr05	93110394	93110394	3.836537191	-5.18053194	1.15E-09	1.23E-06	G43	female
TRINITY_DN126078_c0_g1_i1	NA	NA	NA	NA	1.539121213	-5.177776576	8.21E-09	5.38E-06	G43	female
TRINITY_DN112272_c0_g1_i1	NA	NA	NA	NA	0.044341721	-5.163111735	4.30E-06	0.000957231	G43	female
TRINITY_DN135535_c0_g1_i2	ctdspl2	Chr03	115925040	115925040	5.367215135	-5.149671868	1.78E-08	9.31E-06	G43	female
TRINITY_DN119011_c0_g1_i1	NA	NA	NA	NA	3.855603595	-5.122920108	8.70E-10	9.68E-07	G43	female
TRINITY_DN131690_c0_g1_i2	NA	NA	NA	NA	0.852826756	-5.114549179	1.27E-08	7.21E-06	G43	female
TRINITY_DN121548_c0_g1_i1	NA	NA	NA	NA	1.81405537	-5.098498227	9.56E-07	0.000251995	G43	female
TRINITY_DN121355_c0_g1_i4	NA	NA	NA	NA	1.074561523	-5.094790784	2.25E-06	0.000522909	G43	female
TRINITY_DN135526_c5_g1_i1	postn	Chr02	148527377	148527377	0.827765279	-5.088309739	6.07E-06	0.001283217	G43	female
TRINITY_DN127464_c0_g3_i1	NA	NA	NA	NA	0.462045151	-5.084168105	8.17E-09	5.38E-06	G43	female
TRINITY_DN109929_c0_g1_i1	steap1	Chr06	20814169	20814169	2.478064095	-5.041153273	2.35E-10	3.46E-07	G43	female
TRINITY_DN124448_c4_g1_i1	lhx6	Chr08	16228747	16228747	0.773135863	-5.033444181	1.20E-07	4.59E-05	G43	female
TRINITY_DN135947_c1_g1_i1	rhof	Chr01	153580211	153580211	1.885221194	-5.021640784	7.56E-08	3.12E-05	G43	female
TRINITY_DN128638_c0_g1_i2	NA	NA	NA	NA	4.876096136	-5.021281005	5.28E-10	6.43E-07	G43	female
TRINITY_DN133823_c0_g1_i1	NA	NA	NA	NA	0.734365058	-4.974799251	1.74E-07	6.32E-05	G43	female
TRINITY_DN120071_c0_g1_i2	NA	NA	NA	NA	2.789976948	-4.919958981	5.17E-07	0.000163275	G43	female
TRINITY_DN133823_c0_g2_i1	NA	NA	NA	NA	3.539398312	-4.91699593	7.17E-07	0.000201945	G43	female
TRINITY_DN130577_c0_g2_i5	NA	NA	NA	NA	0.831797899	-4.916211612	1.13E-08	6.70E-06	G43	female
TRINITY_DN135585_c3_g1_i1	tmco1	Chr04	108906135	108906135	1.751987037	-4.886519956	8.73E-08	3.54E-05	G43	female
TRINITY_DN119288_c0_g1_i2	Xetrov90006124m	Chr02	129202544	129202544	3.245728322	-4.845393213	5.25E-07	0.0001636	G43	female
TRINITY_DN129651_c0_g4_i5	NA	NA	NA	NA	4.082265061	-4.798089305	2.28E-06	0.00052515	G43	female
TRINITY_DN98655_c0_g1_i1	NA	NA	NA	NA	1.549517755	-4.745057841	6.68E-07	0.000194095	G43	female
TRINITY_DN131553_c0_g1_i1	NA	NA	NA	NA	3.192425478	-4.723511883	8.22E-06	0.001654338	G43	female
TRINITY_DN119751_c0_g1_i3	NA	NA	NA	NA	1.782543413	-4.706583052	1.07E-06	0.000268074	G43	female
TRINITY_DN129116_c0_g1_i3	pigb	Chr03	90802306	90802306	0.882771449	-4.686855018	6.98E-07	0.000200438	G43	female
TRINITY_DN119494_c0_g1_i1	NA	NA	NA	NA	1.732459651	-4.676646489	8.22E-07	0.000221357	G43	female
TRINITY_DN132305_c3_g4_i3	NA	NA	NA	NA	1.354687295	-4.669217864	1.90E-06	0.000452935	G43	female
TRINITY_DN129649_c3_g2_i1	NA	NA	NA	NA	2.179306327	-4.642688302	8.40E-05	0.013773024	G43	female
TRINITY_DN126729_c2_g1_i2	NA	NA	NA	NA	0.869195174	-4.636947592	1.44E-06	0.000355691	G43	female
TRINITY_DN131147_c0_g2_i1	ptrh2	Chr02	87231843	87231843	1.209557637	-4.634383143	5.78E-06	0.001232249	G43	female
TRINITY_DN120818_c0_g1_i2	NA	NA	NA	NA	0.567110868	-4.607243768	2.58E-05	0.004710853	G43	female
TRINITY_DN124438_c0_g1_i1	NA	NA	NA	NA	1.362602092	-4.591698821	4.46E-07	0.000144296	G43	female
TRINITY_DN110103_c0_g1_i1	NA	NA	NA	NA	1.518455973	-4.563973049	7.64E-07	0.000210209	G43	female
TRINITY_DN125285_c2_g1_i3	NA	NA	NA	NA	2.177762788	-4.560369969	9.85E-09	6.15E-06	G43	female
TRINITY_DN123456_c0_g3_i1	NA	NA	NA	NA	2.005896334	-4.492178451	1.14E-07	4.40E-05	G43	female
TRINITY_DN129711_c1_g5_i1	NA	NA	NA	NA	3.200031713	-4.459147268	8.10E-05	0.01336685	G43	female
TRINITY_DN122293_c0_g1_i1	NA	NA	NA	NA	1.543542391	-4.440674068	3.38E-06	0.000764587	G43	female
TRINITY_DN117740_c0_g1_i2	NA	NA	NA	NA	2.233417502	-4.426718632	3.45E-07	0.000114462	G43	female
TRINITY_DN121071_c0_g1_i4	nkx2-4	Chr05	25188671	25188671	2.639040377	-4.420462375	3.75E-07	0.000123091	G43	female
TRINITY_DN123462_c3_g1_i1	NA	NA	NA	NA	1.185838174	-4.409368139	2.19E-06	0.00051368	G43	female
TRINITY_DN129466_c1_g5_i1	NA	NA	NA	NA	0.203156439	-4.386264843	4.33E-05	0.007424389	G43	female
TRINITY_DN165190_c0_g1_i1	Xetrov90000956m	Chr01	49857945	49857945	1.408564816	-4.381459828	1.70E-08	9.23E-06	G43	female
TRINITY_DN125519_c4_g4_i2	eral1	Chr03	40298751	40298751	1.287956859	-4.377575183	9.36E-07	0.000249315	G43	female
TRINITY_DN123052_c0_g1_i2	NA	NA	NA	NA	0.602622224	-4.345027024	0.000184453	0.028416946	G43	female
TRINITY_DN108208_c0_g1_i3	NA	NA	NA	NA	2.805370277	-4.339788345	1.96E-07	6.88E-05	G43	female
TRINITY_DN127708_c1_g3_i1	gorasp1	Chr06	5780457	5780457	0.165514861	-4.311196788	6.71E-06	0.00139465	G43	female
TRINITY_DN125971_c0_g1_i2	NA	NA	NA	NA	0.532432755	-4.299730534	1.08E-05	0.002109433	G43	female
TRINITY_DN164909_c0_g1_i1	NA	NA	NA	NA	3.463540115	-4.25989216	1.82E-06	0.000439415	G43	female
TRINITY_DN113538_c0_g1_i1	NA	NA	NA	NA	2.191345898	-4.238794732	2.25E-05	0.004202551	G43	female
TRINITY_DN103838_c0_g1_i1	cpox-like	Chr02	16477067	16477067	3.032561977	-4.180733467	6.71E-08	2.81E-05	G43	female
TRINITY_DN118738_c0_g2_i1	NA	NA	NA	NA	0.898260214	-4.128085267	7.36E-05	0.012302102	G43	female
TRINITY_DN111232_c1_g1_i1	galns-like	Chr04	60915790	60915790	0.283916666	-4.031199474	5.49E-05	0.009301143	G43	female
TRINITY_DN125309_c0_g1_i1	NA	NA	NA	NA	3.755078098	-3.99006112	2.33E-08	1.15E-05	G43	female
TRINITY_DN123396_c0_g1_i4	NA	NA	NA	NA	4.48719686	-3.98297427	1.51E-09	1.45E-06	G43	female
TRINITY_DN125119_c3_g4_i1	NA	NA	NA	NA	1.927891994	-3.96874925	9.96E-07	0.000255154	G43	female
TRINITY_DN128648_c7_g8_i1	NA	NA	NA	NA	0.70215967	-3.968169624	0.000101095	0.016260441	G43	female
TRINITY_DN130878_c0_g1_i3	NA	NA	NA	NA	0.47805999	-3.924127854	2.71E-05	0.004918674	G43	female
TRINITY_DN117638_c0_g1_i1	NA	NA	NA	NA	1.262202374	-3.910451975	4.89E-06	0.001068224	G43	female
TRINITY_DN121347_c0_g1_i2	hook2-like	scaffold_185	94113	94113	1.474049498	-3.851454336	6.17E-08	2.67E-05	G43	female
TRINITY_DN117125_c0_g1_i1	NA	NA	NA	NA	3.423434578	-3.841147209	8.97E-09	5.74E-06	G43	female
TRINITY_DN124147_c1_g3_i2	NA	NA	NA	NA	1.323088944	-3.765222551	1.25E-05	0.002413575	G43	female
TRINITY_DN111236_c0_g1_i1	NA	NA	NA	NA	2.317032836	-3.74342717	5.81E-07	0.000176894	G43	female
TRINITY_DN132704_c0_g2_i5	dgat2	Chr02	169548535	169548535	3.104588503	-3.739291124	7.29E-07	0.000202768	G43	female
TRINITY_DN124263_c0_g1_i1	NA	NA	NA	NA	3.522298164	-3.663751365	2.19E-07	7.58E-05	G43	female
TRINITY_DN124226_c0_g1_i1	NA	NA	NA	NA	0.137599669	-3.639005881	0.000290202	0.041003471	G43	female
TRINITY_DN129237_c5_g4_i2	NA	NA	NA	NA	1.081000937	-3.609627966	6.93E-06	0.001418617	G43	female
TRINITY_DN135315_c3_g6_i1	kiaa0232-like	Chr01	20451126	20451126	0.642895946	-3.595223947	3.93E-05	0.006880595	G43	female
TRINITY_DN130577_c0_g1_i1	NA	NA	NA	NA	1.168566932	-3.580196965	1.03E-05	0.00202356	G43	female
TRINITY_DN133404_c0_g2_i3	NA	NA	NA	NA	0.856371947	-3.430884136	2.75E-05	0.004921967	G43	female
TRINITY_DN125119_c3_g6_i1	NA	NA	NA	NA	2.639423447	-3.398385519	1.50E-06	0.000364869	G43	female
TRINITY_DN124411_c0_g2_i4	NA	NA	NA	NA	3.244765617	-3.375926805	4.46E-06	0.000982774	G43	female
TRINITY_DN93558_c0_g2_i1	NA	NA	NA	NA	2.205605053	-3.373741823	2.00E-06	0.000473228	G43	female
TRINITY_DN124649_c0_g1_i1	NA	NA	NA	NA	3.507372395	-3.372459469	5.91E-07	0.000177737	G43	female
TRINITY_DN121788_c0_g1_i1	NA	NA	NA	NA	3.723365706	-3.32556838	9.83E-07	0.000255154	G43	female
TRINITY_DN124256_c0_g1_i2	NA	NA	NA	NA	0.603203201	-3.299982813	0.000215886	0.031730211	G43	female
TRINITY_DN108709_c0_g1_i2	NA	NA	NA	NA	3.391977625	-3.278154308	5.55E-06	0.001191849	G43	female
TRINITY_DN133440_c0_g2_i2	NA	NA	NA	NA	1.582165965	-3.271855458	2.75E-05	0.004921967	G43	female
TRINITY_DN117446_c0_g1_i2	NA	NA	NA	NA	4.739124858	-3.242111039	3.61E-08	1.62E-05	G43	female
TRINITY_DN126089_c1_g1_i2	skiv2l2-like	Chr01	178712368	178712368	2.631050067	-3.19676856	6.21E-06	0.001300883	G43	female
TRINITY_DN103834_c0_g4_i1	Xetrov90022714m	Chr09	3340566	3340566	0.029004578	-3.181136933	0.000230246	0.033647433	G43	female
TRINITY_DN123821_c0_g1_i1	NA	NA	NA	NA	1.238413666	-3.15109905	7.94E-05	0.013177326	G43	female
TRINITY_DN130933_c7_g1_i2	NA	NA	NA	NA	3.615282883	-3.145996763	3.50E-06	0.000784762	G43	female
TRINITY_DN130816_c3_g1_i1	NA	NA	NA	NA	2.366803635	-3.103292145	1.02E-05	0.002014888	G43	female
TRINITY_DN124339_c4_g2_i1	NA	NA	NA	NA	0.031290792	-3.072660801	9.35E-05	0.015228597	G43	female
TRINITY_DN124339_c4_g3_i4	NA	NA	NA	NA	0.865018542	-3.056139692	4.06E-05	0.007063991	G43	female
TRINITY_DN127070_c0_g1_i3	NA	NA	NA	NA	2.114933721	-3.04935019	9.07E-06	0.001812993	G43	female
TRINITY_DN107978_c0_g1_i1	NA	NA	NA	NA	1.132443008	-3.034810391	2.58E-05	0.004710853	G43	female
TRINITY_DN129649_c3_g1_i3	NA	NA	NA	NA	3.822007826	-2.971718924	9.98E-07	0.000255154	G43	female
TRINITY_DN135835_c0_g1_i3	NA	NA	NA	NA	3.653994714	-2.94054968	0.000300153	0.042083171	G43	female
TRINITY_DN120912_c0_g1_i3	NA	NA	NA	NA	1.106344324	-2.891648384	0.00026359	0.037871054	G43	female
TRINITY_DN131183_c0_g2_i1	LOC101734118	Chr02	159127977	159127977	0.719384349	-2.850236277	0.000209192	0.031656057	G43	female
TRINITY_DN114033_c0_g3_i2	NA	NA	NA	NA	1.428733956	-2.843029913	0.000121451	0.019291907	G43	female
TRINITY_DN129730_c0_g1_i2	NA	NA	NA	NA	1.608809454	-2.791106937	0.000214847	0.031730211	G43	female
TRINITY_DN129466_c1_g2_i3	NA	NA	NA	NA	1.096189806	-2.780453971	0.000210464	0.031661247	G43	female
TRINITY_DN131450_c1_g5_i5	eml3	Chr04	41585277	41585277	2.351005355	-2.773944731	0.000126928	0.020037326	G43	female
TRINITY_DN118674_c0_g1_i2	NA	NA	NA	NA	2.814622865	-2.770248978	5.17E-05	0.008808081	G43	female
TRINITY_DN123296_c1_g1_i2	NA	NA	NA	NA	1.693069312	-2.752975065	2.24E-05	0.004202551	G43	female
TRINITY_DN120412_c0_g1_i2	NA	NA	NA	NA	2.80180107	-2.735644998	2.36E-05	0.004366721	G43	female
TRINITY_DN127464_c0_g13_i1	NA	NA	NA	NA	2.629210103	-2.533679575	4.17E-05	0.007200455	G43	female
TRINITY_DN97559_c0_g1_i1	NA	NA	NA	NA	4.443810234	-2.510709265	0.000192739	0.029515681	G43	female
TRINITY_DN116137_c0_g2_i2	wars2	scaffold_1854	17	17	1.642347668	-2.488010892	9.86E-05	0.015953329	G43	female
TRINITY_DN128648_c7_g2_i1	NA	NA	NA	NA	2.742126608	-2.487337846	0.000301135	0.042083171	G43	female
TRINITY_DN131370_c0_g1_i1	mafg	Chr10	20016369	20016369	3.364701789	-2.471113071	1.52E-05	0.002896473	G43	female
TRINITY_DN126410_c3_g1_i3	NA	NA	NA	NA	5.17011364	-2.437969947	1.32E-05	0.00254735	G43	female
TRINITY_DN132480_c0_g2_i5	NA	NA	NA	NA	3.019893279	-2.339225403	1.92E-05	0.003644163	G43	female
TRINITY_DN123125_c7_g2_i1	morn1	Chr07	81541217	81541217	4.087844926	-2.030251936	0.000154735	0.024277263	G43	female
TRINITY_DN128595_c0_g6_i1	NA	NA	NA	NA	4.752340531	-2.026439863	0.000214374	0.031730211	G43	female
TRINITY_DN142384_c0_g1_i1	NA	NA	NA	NA	1.764107813	2.131405655	0.000336921	0.0468284	G43	male
TRINITY_DN124874_c1_g1_i1	rnf26	Chr07	86057804	86057804	4.634777705	2.164275802	5.38E-06	0.001166759	G43	male
TRINITY_DN131565_c0_g5_i1	NA	NA	NA	NA	4.10031904	2.24757282	0.000273893	0.039131517	G43	male
TRINITY_DN126159_c0_g1_i2	prkcd	Chr04	113363332	113363332	3.571094011	2.363546726	0.000341786	0.047247819	G43	male
TRINITY_DN127436_c2_g1_i1	NA	NA	NA	NA	2.155605022	2.555936696	0.000236706	0.034394945	G43	male
TRINITY_DN121490_c3_g1_i3	NA	NA	NA	NA	1.104769532	2.746749474	7.15E-05	0.012022079	G43	male
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	0.936700073	2.793083223	3.93E-05	0.006880595	G43	male
TRINITY_DN133889_c1_g7_i1	Xetrov90000522m	Chr01	20771304	20771304	5.318671832	2.850644919	0.000206158	0.03138267	G43	male
TRINITY_DN119926_c0_g1_i1	stk16	Chr09	78602996	78602996	2.690324597	2.931996685	0.000159173	0.024821245	G43	male
TRINITY_DN116044_c0_g2_i1	nxnl1	Chr03	124621269	124621269	1.275481359	3.022782272	0.000284699	0.040449391	G43	male
TRINITY_DN133889_c1_g4_i7	NA	NA	NA	NA	4.936104637	3.176505723	3.59E-05	0.006374431	G43	male
TRINITY_DN116044_c0_g1_i1	NA	NA	NA	NA	1.040033974	3.212457175	0.000351007	0.048261594	G43	male
TRINITY_DN129533_c4_g2_i3	Xetrov90029798m	scaffold_622	10589	10589	4.147019781	3.318206368	0.000114792	0.018348075	G43	male
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	0.973774169	3.489854998	1.03E-06	0.000260346	G43	male
TRINITY_DN130291_c2_g1_i1	NA	NA	NA	NA	0.892675075	3.6131319	7.19E-07	0.000201945	G43	male
TRINITY_DN127614_c0_g1_i2	NA	NA	NA	NA	1.480580082	3.781880606	0.000248985	0.035974753	G43	male
TRINITY_DN125925_c5_g1_i1	fut8	Chr08	99166881	99166881	0.944798779	4.068266362	0.000213234	0.031730211	G43	male
TRINITY_DN130234_c0_g4_i4	kcnj1	Chr07	66717587	66717587	3.826813049	4.777365441	0.000166273	0.025771301	G43	male
TRINITY_DN134625_c0_g1_i4	NA	NA	NA	NA	3.447526869	4.984260611	6.16E-07	0.000181055	G43	male
TRINITY_DN129279_c4_g4_i1	lmbrd1	Chr05	90577488	90577488	1.640831693	5.343337432	1.56E-09	1.45E-06	G43	male
TRINITY_DN180950_c0_g1_i1	NA	NA	NA	NA	0.191856859	5.731592986	2.89E-06	0.000660014	G43	male
TRINITY_DN27210_c0_g1_i1	NA	NA	NA	NA	2.745061041	6.845879572	6.84E-06	0.001410605	G43	male
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	0.632990371	7.537763162	1.53E-12	4.34E-09	G43	male
TRINITY_DN121465_c5_g2_i1	NA	NA	NA	NA	2.318275603	7.910859932	4.17E-17	3.55E-13	G43	male
TRINITY_DN128130_c4_g11_i1	NA	NA	NA	NA	0.418464669	9.167846809	6.39E-13	2.04E-09	G43	male
TRINITY_DN127093_c0_g4_i1	NA	NA	NA	NA	0.916920732	9.68734612	9.31E-08	3.72E-05	G43	male
TRINITY_DN127464_c0_g2_i1	b3galt1	Chr09	64355431	64355431	1.085221133	9.864909739	3.96E-15	1.69E-11	G43	male
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.108000475	9.888689647	1.57E-16	1.00E-12	G43	male
TRINITY_DN127055_c1_g5_i1	NA	NA	NA	NA	1.124555895	9.904435091	2.10E-16	1.07E-12	G43	male
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	2.219949089	11.02532958	1.76E-23	4.50E-19	G43	male
