gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain	stage 
TRINITY_DN122025_c0_g1_i3	ccnf	Chr09	16615834	16615834	4.495699508	1.244346222	4.61E-06	0.002098806	Brain
TRINITY_DN122261_c0_g1_i1	kl	Chr02	150083364	150083364	2.745878698	3.066026653	3.39E-05	0.008639085	Brain
TRINITY_DN122443_c0_g1_i3	krt8.2	scaffold_305	197019	197019	1.563831015	3.469499571	0.000436462	0.048986946	Brain
TRINITY_DN123918_c0_g2_i1	Xetrov90003223m	Chr01	157376647	157376647	4.420113184	2.564622296	2.42E-05	0.006487334	Brain
TRINITY_DN125115_c2_g1_i1	slc2a12	Chr05	35072933	35072933	4.819264475	3.011690872	4.15E-05	0.009467099	Brain
TRINITY_DN125191_c6_g2_i1	hnrpk	Chr01	122027702	122027702	4.849864701	-1.679531372	4.62E-06	0.002098806	Brain
TRINITY_DN125860_c0_g1_i1	ace2	Chr02	32764999	32764999	0.643382213	2.266781899	0.000321621	0.040222673	Brain
TRINITY_DN125863_c4_g1_i1	u2surp	Chr05	116552973	116552973	3.463608005	-1.290918692	0.000366594	0.043982802	Brain
TRINITY_DN125892_c0_g1_i1	cpa6	Chr06	104525054	104525054	2.666144555	2.371471646	4.72E-05	0.010492496	Brain
TRINITY_DN126288_c0_g1_i3	LOC101732168	Chr09	22556050	22556050	1.5187495	-1.754060619	0.000149028	0.023217154	Brain
TRINITY_DN126485_c2_g1_i2	LOC100487777	Chr01	65368064	65368064	2.528125013	2.077986222	4.12E-06	0.002098806	Brain
TRINITY_DN126719_c0_g1_i3	col21a1	Chr05	88497470	88497470	5.030382223	5.54000429	8.18E-10	5.14E-06	Brain
TRINITY_DN127055_c1_g7_i1	adamts3	scaffold_51	687719	687719	4.718817015	1.809438983	9.70E-05	0.017941237	Brain
TRINITY_DN127522_c0_g1_i1	sirt6	Chr06	34956913	34956913	5.015068493	-1.112896984	1.97E-09	5.14E-06	Brain
TRINITY_DN127888_c0_g2_i1	Xetrov90004892m	Chr02	55329164	55329164	1.743320469	3.574780617	1.01E-06	0.000719197	Brain
TRINITY_DN129581_c0_g1_i5	eif2b1	Chr01	152378996	152378996	5.001778834	-1.013025893	1.17E-08	1.53E-05	Brain
TRINITY_DN129784_c1_g7_i1	LOC100487939	Chr01	65386604	65386604	2.59631211	2.999934831	5.65E-05	0.012030378	Brain
TRINITY_DN130300_c0_g1_i3	LOC100495139	Chr03	528609	528609	3.975448069	3.071496399	0.000111612	0.019083188	Brain
TRINITY_DN130680_c2_g1_i1	musk	Chr01	103510401	103510401	2.520249187	-3.030393838	9.97E-05	0.017941237	Brain
TRINITY_DN131218_c0_g1_i10	elmo3	Chr04	28457416	28457416	3.295581784	1.861604063	0.000291324	0.038504902	Brain
TRINITY_DN131753_c0_g4_i1	ccnb3	Chr08	18281290	18281290	2.99403986	3.349199376	1.93E-05	0.005595649	Brain
TRINITY_DN132104_c0_g2_i3	Xetrov90001997m	Chr01	101423083	101423083	3.50844256	2.33448778	9.75E-05	0.017941237	Brain
TRINITY_DN132560_c1_g5_i1	LOC100127632	Chr06	134197299	134197299	1.098025981	4.13537269	1.61E-09	5.14E-06	Brain
TRINITY_DN132667_c0_g6_i1	sumo2	Chr10	35830902	35830902	4.321511326	-1.184117243	1.82E-05	0.005585712	Brain
TRINITY_DN133563_c2_g1_i1	c2orf69	Chr09	46182130	46182130	4.595202885	-1.247378119	0.00017935	0.026696298	Brain
TRINITY_DN133976_c2_g2_i1	lmx1b.1	Chr08	9183575	9183575	3.708897868	1.515144131	0.000128486	0.020760848	Brain
TRINITY_DN134021_c2_g1_i2	folr1	scaffold_1043	10484	10484	1.389762415	2.695928503	0.000322039	0.040222673	Brain
TRINITY_DN134429_c5_g1_i1	cnp-like	Chr10	2240187	2240187	7.862410864	1.227855949	6.68E-06	0.002681681	Brain
TRINITY_DN134524_c3_g3_i1	f5	Chr02	68653653	68653653	5.002467283	3.933135756	2.84E-05	0.007399365	Brain
TRINITY_DN135618_c2_g1_i1	kcnj13	Chr05	123073357	123073357	6.820500578	1.099922934	2.65E-06	0.001625117	Brain
TRINITY_DN135640_c2_g9_i1	sftpc	Chr03	119317068	119317068	6.135171524	-5.284779709	1.46E-05	0.004747151	Brain
TRINITY_DN135896_c2_g3_i1	cndp2	scaffold_21	1670075	1670075	12.11334707	4.672301884	3.92E-05	0.009467099	Brain
TRINITY_DN135947_c1_g1_i1	LOC100486817-like	scaffold_147	323376	323376	1.78773827	-4.033601185	7.36E-08	8.54E-05	Brain
TRINITY_DN27351_c0_g1_i1	rpl7a	scaffold_124	334120	334120	4.245511164	-4.756878394	2.28E-05	0.006258571	Brain
TRINITY_DN61282_c0_g1_i1	LOC100494322	Chr06	18209355	18209355	0.247796064	3.066068853	0.000185797	0.026696298	Brain
TRINITY_DN69144_c0_g1_i1	hdac1	Chr02	82271699	82271699	3.91249259	-1.855734131	6.48E-06	0.002681681	Brain
TRINITY_DN87264_c0_g2_i1	smarcb1	Chr01	144686502	144686502	1.805608996	-5.064108968	8.65E-06	0.003224633	Brain
TRINITY_DN90720_c0_g1_i1	rpl14	Chr06	72948445	72948445	3.323354044	-4.799478762	7.28E-07	0.000584631	Brain
TRINITY_DN91309_c0_g1_i2	LOC100490994	Chr02	145155702	145155702	1.245676574	2.183176189	0.000145759	0.023051943	Brain
TRINITY_DN93345_c0_g1_i1	srsf1	Chr02	50295128	50295128	3.691777481	-1.832622016	1.03E-06	0.000719197	Brain
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	0.635702656	-4.560478262	6.06859E-06	0.000910484	Liver
TRINITY_DN102065_c0_g1_i1	uck2	Chr04	108945411	108945411	5.377860399	-1.117377778	0.000118923	0.010338517	Liver
TRINITY_DN102252_c0_g2_i1	ccdc39	Chr05	95583263	95583263	0.794194675	-2.123528881	0.000567939	0.029300589	Liver
TRINITY_DN104464_c0_g1_i1	fam57a	Chr02	92704574	92704574	3.31118282	-2.111400618	1.24846E-05	0.001659019	Liver
TRINITY_DN105266_c0_g2_i1	fgf23.1	Chr03	2636733	2636733	0.39483839	2.376499699	0.000486284	0.026388047	Liver
TRINITY_DN105438_c0_g1_i1	LOC100492550	Chr01	98813361	98813361	1.817875218	-5.756667269	0.00057543	0.029410163	Liver
TRINITY_DN105647_c0_g2_i1	ccnb1	Chr01	173679416	173679416	1.045633863	-4.502326682	1.58958E-07	4.1073E-05	Liver
TRINITY_DN107060_c0_g1_i1	cpn1	Chr07	27352634	27352634	6.419123312	-1.399562375	0.000487932	0.026388047	Liver
TRINITY_DN108243_c0_g2_i1	lrrc40	Chr04	80786527	80786527	4.094570748	1.110360691	0.000423119	0.02414635	Liver
TRINITY_DN109371_c1_g1_i3	gstt1-like.2	Chr01	144545279	144545279	0.23439017	2.95600378	0.000271433	0.018164562	Liver
TRINITY_DN110103_c0_g1_i1	vegt	Chr01	144396774	144396774	0.04705585	-3.750809046	4.77256E-05	0.004825471	Liver
TRINITY_DN110205_c0_g1_i1	LOC100493461	Chr03	49725402	49725402	5.401328124	-3.111811031	3.62096E-10	2.40587E-07	Liver
TRINITY_DN110455_c0_g1_i2	slc35e2b	Chr07	70975572	70975572	3.933820358	1.361908328	0.000525993	0.027799917	Liver
TRINITY_DN110725_c0_g1_i3	phyhd1	Chr08	4052114	4052114	6.866223274	1.583359505	0.000583207	0.029533379	Liver
TRINITY_DN110856_c0_g1_i2	LOC100492713	Chr10	31128083	31128083	0.860325856	4.127428293	8.63486E-06	0.001255023	Liver
TRINITY_DN110867_c0_g1_i1	LOC100490816	Chr07	110069925	110069925	2.697085117	-2.802918551	0.000224752	0.015833362	Liver
TRINITY_DN111143_c0_g1_i2	LOC101731864	Chr04	117646987	117646987	5.801512248	1.288239839	2.56691E-05	0.002911883	Liver
TRINITY_DN111810_c0_g4_i1	efhc1	scaffold_13	924821	924821	2.397667779	-1.753985488	0.000179745	0.014169386	Liver
TRINITY_DN112248_c0_g1_i1	LOC100490871-like	Chr08	49569400	49569400	0.621179263	-4.427717838	2.48459E-05	0.002853295	Liver
TRINITY_DN112847_c0_g1_i1	dnali1	Chr02	58958061	58958061	1.564584733	-2.436693212	1.72614E-05	0.002085262	Liver
TRINITY_DN113202_c0_g1_i1	lpl	Chr01	77718946	77718946	6.786623853	1.682800597	0.000192116	0.014635079	Liver
TRINITY_DN113644_c0_g1_i2	sdr16c5	Chr06	100960825	100960825	6.254533099	1.087192942	0.000193519	0.014635079	Liver
TRINITY_DN113738_c0_g2_i6	LOC101732387-like	Chr09	3111846	3111846	3.918074683	-2.537086515	2.68915E-07	6.58277E-05	Liver
TRINITY_DN114230_c0_g1_i1	akr1d1	Chr03	1394571	1394571	1.384721248	-2.238943035	0.000543011	0.028537215	Liver
TRINITY_DN114606_c0_g2_i1	tekt1	Chr02	37000751	37000751	0.911104461	-5.629740471	1.89634E-09	1.03763E-06	Liver
TRINITY_DN114876_c0_g1_i1	s100z	Chr01	164876388	164876388	1.285330745	-4.471751618	4.44604E-05	0.004544733	Liver
TRINITY_DN115604_c0_g3_i1	cish	Chr04	117186306	117186306	5.985473302	-1.313653136	7.57616E-05	0.007265302	Liver
TRINITY_DN115622_c0_g2_i1	slc25a45	Chr04	39038154	39038154	5.324609268	1.674969818	5.14877E-06	0.000825757	Liver
TRINITY_DN115768_c0_g1_i1	daw1	Chr05	125223404	125223404	0.616215166	-5.261360972	7.52946E-09	3.50195E-06	Liver
TRINITY_DN115794_c1_g1_i1	gadd45a	Chr04	80098648	80098648	4.103302507	-1.858400402	5.34968E-06	0.000843436	Liver
TRINITY_DN116267_c0_g2_i1	efhb	Chr06	78601633	78601633	0.205860602	-6.653276636	3.15894E-07	7.53448E-05	Liver
TRINITY_DN116300_c0_g1_i1	LOC100485470	scaffold_3458	958	958	4.720100621	2.347435053	0.00026981	0.018164562	Liver
TRINITY_DN116445_c0_g1_i2	spata18-like	Chr03	107714407	107714407	0.82203889	-7.37025129	3.24762E-11	3.02094E-08	Liver
TRINITY_DN116647_c0_g1_i2	aldoc	Chr02	27040961	27040961	2.759370028	-3.219805194	0.000438279	0.024559474	Liver
TRINITY_DN116754_c0_g4_i2	fam3c	Chr03	60043221	60043221	5.715387059	-1.312990059	0.00037579	0.022552246	Liver
TRINITY_DN117118_c0_g1_i3	gcg.2	Chr02	139567073	139567073	0.455576962	3.873139369	0.000691607	0.034093891	Liver
TRINITY_DN117125_c0_g1_i1	cldn6.1	Chr09	7060698	7060698	0.404587286	-6.915578306	1.47911E-07	4.04667E-05	Liver
TRINITY_DN117920_c0_g1_i5	ociad2	Chr01	30009371	30009371	3.658641177	2.330854091	1.73071E-06	0.000328552	Liver
TRINITY_DN118037_c0_g1_i1	tnip2	Chr01	11849553	11849553	4.49626759	1.384400143	0.00043053	0.024419466	Liver
TRINITY_DN118217_c0_g1_i1	mmel1	Chr07	94518650	94518650	0.077227925	-3.737957057	0.000182336	0.01425287	Liver
TRINITY_DN118271_c0_g1_i1	efhc2	Chr02	69130965	69130965	0.947900189	-4.839929728	4.41447E-08	1.52087E-05	Liver
TRINITY_DN118490_c0_g1_i1	kcnrg	Chr02	146592610	146592610	0.983266158	-5.789837092	9.15055E-06	0.001309514	Liver
TRINITY_DN118885_c0_g1_i1	dcxr	Chr10	23561507	23561507	5.786273038	1.167774537	0.000304541	0.019402995	Liver
TRINITY_DN119116_c0_g1_i1	cdca9	Chr04	25187540	25187540	0.182012188	-3.402314736	0.000131376	0.011134095	Liver
TRINITY_DN119230_c0_g1_i2	cbfa2t3	Chr04	60974730	60974730	2.125806813	-1.783580727	0.001166472	0.04887621	Liver
TRINITY_DN119288_c0_g1_i2	velo1	Chr06	26122147	26122147	0.498185584	-3.451321622	0.000911889	0.040585597	Liver
TRINITY_DN119516_c0_g2_i1	batf-like	Chr08	61230166	61230166	1.402642455	2.642441545	0.000409802	0.023552048	Liver
TRINITY_DN119631_c0_g1_i1	hsdl2	Chr01	96084504	96084504	7.798896971	1.433427589	2.30695E-05	0.002682407	Liver
TRINITY_DN119647_c0_g2_i1	cyb5r2	Chr04	8224918	8224918	7.024479277	1.863459626	0.000357056	0.021819843	Liver
TRINITY_DN119671_c0_g2_i1	inhbc.2	Chr02	136973605	136973605	8.566806043	1.601614447	0.00020704	0.015018564	Liver
TRINITY_DN119929_c0_g1_i1	hibadh	Chr06	32622949	32622949	6.996444567	1.155445098	0.001121997	0.047875324	Liver
TRINITY_DN119996_c0_g1_i1	lhb	Chr07	105507839	105507839	0.139551965	-6.517920282	5.61278E-08	1.74033E-05	Liver
TRINITY_DN120071_c0_g1_i2	patl2	Chr02	9933215	9933215	0.270659617	-3.179629054	0.000842739	0.038807707	Liver
TRINITY_DN120237_c0_g2_i1	adm2	Chr03	79748783	79748783	7.427758103	1.715389622	3.17252E-05	0.003471855	Liver
TRINITY_DN120246_c0_g2_i1	iqcd	Chr01	132795144	132795144	2.493769632	-1.627164434	0.001172828	0.048922167	Liver
TRINITY_DN120335_c0_g1_i2	egln3	Chr08	93567678	93567678	0.889982513	-3.9275565	0.000584191	0.029533379	Liver
TRINITY_DN120502_c0_g1_i1	cfap45	Chr08	115240803	115240803	1.32568012	-2.870715247	3.8037E-06	0.000643309	Liver
TRINITY_DN120530_c0_g1_i1	LOC101732970	Chr01	8176111	8176111	0.603636629	-3.218531839	2.23353E-05	0.002629915	Liver
TRINITY_DN120932_c1_g1_i3	Xetrov90002329m	Chr01	123441776	123441776	1.604380341	-1.784682593	0.00045855	0.025349015	Liver
TRINITY_DN121035_c0_g2_i1	sox9	Chr10	22455490	22455490	1.40861092	-2.651600685	3.80669E-05	0.003934424	Liver
TRINITY_DN121044_c0_g1_i1	LOC100486127-like	Chr01	116814354	116814354	3.859662676	3.360485855	2.01575E-10	1.56254E-07	Liver
TRINITY_DN121201_c0_g1_i1	fkbp7	Chr09	58999266	58999266	4.927345585	-1.198754249	0.000716264	0.034701485	Liver
TRINITY_DN121308_c0_g2_i1	ttc29-like	Chr01	48527193	48527193	0.375582685	-4.995668877	5.17272E-07	0.000117358	Liver
TRINITY_DN121505_c1_g3_i1	elovl7	Chr01	176647919	176647919	1.948682734	-4.273931391	0.000395375	0.023156181	Liver
TRINITY_DN121654_c1_g7_i2	meis3	Chr08	58917012	58917012	1.031326872	-2.370032172	0.000132862	0.011134095	Liver
TRINITY_DN121738_c0_g2_i3	krt19	Chr10	1735025	1735025	7.264742733	-1.886250188	4.18656E-09	2.04965E-06	Liver
TRINITY_DN122069_c0_g1_i6	piwil4	Chr02	161869885	161869885	3.36041727	-5.305114818	0.000188785	0.014513074	Liver
TRINITY_DN122195_c3_g4_i1	mafb	Chr10	32391302	32391302	5.212013866	1.268880893	0.000139356	0.011574021	Liver
TRINITY_DN122349_c0_g1_i2	mtmr4-like	Chr02	38221796	38221796	4.891602567	1.416302192	0.000287046	0.018672041	Liver
TRINITY_DN122533_c0_g1_i1	serpine1	scaffold_48	919493	919493	5.620848606	-3.872040312	1.53245E-07	4.07282E-05	Liver
TRINITY_DN122610_c1_g2_i3	npas2	Chr02	106739627	106739627	4.258756815	3.327333296	3.57284E-05	0.00377665	Liver
TRINITY_DN122699_c0_g2_i1	ccdc33	Chr03	83015671	83015671	1.650460459	-6.495972842	1.3683E-07	3.85694E-05	Liver
TRINITY_DN122753_c0_g1_i3	gprin3	Chr01	69220445	69220445	1.999729313	-2.605384184	0.000132517	0.011134095	Liver
TRINITY_DN122759_c0_g1_i2	LOC100489859	Chr05	27660308	27660308	2.214984973	-4.000635867	0.000364529	0.022018477	Liver
TRINITY_DN122892_c0_g1_i1	gba3	Chr01	22342374	22342374	3.456401936	3.113574981	1.48965E-06	0.000288682	Liver
TRINITY_DN122949_c0_g1_i1	dnah3	Chr09	18554647	18554647	0.443043394	-3.40890478	0.000442249	0.024633541	Liver
TRINITY_DN123027_c0_g2_i7	ca5b	Chr04	68234606	68234606	7.492262033	-1.163440729	0.000790012	0.037493307	Liver
TRINITY_DN123349_c1_g3_i1	aloxe3	scaffold_440	14897	14897	-0.035169455	-3.085460031	0.000570136	0.029300589	Liver
TRINITY_DN123466_c0_g1_i2	rhpn1	Chr06	133191075	133191075	2.365374388	2.749661523	5.44998E-05	0.005393157	Liver
TRINITY_DN123552_c0_g1_i1	LOC100485989	Chr08	12371088	12371088	1.933267328	2.294467471	0.000295533	0.019015709	Liver
TRINITY_DN123704_c2_g3_i1	cpb1	Chr05	118699094	118699094	7.94689086	10.04218215	1.86715E-09	1.03763E-06	Liver
TRINITY_DN123800_c0_g1_i1	odf3	Chr03	79902662	79902662	0.936004036	-2.851951652	8.30774E-05	0.00780592	Liver
TRINITY_DN123829_c0_g3_i1	ccdc37	Chr04	122572617	122572617	0.515724879	-2.57252553	0.000460544	0.025349015	Liver
TRINITY_DN123918_c0_g2_i1	Xetrov90003223m	Chr01	157376647	157376647	0.84705111	2.825065335	4.98667E-05	0.004987746	Liver
TRINITY_DN124234_c1_g3_i1	MGC107884	Chr05	40339734	40339734	6.988185719	1.402234488	0.000187681	0.014513074	Liver
TRINITY_DN124325_c0_g1_i1	ccna1	Chr02	149015518	149015518	0.153959038	-6.585647763	2.78167E-06	0.00048821	Liver
TRINITY_DN124366_c0_g1_i1	fosl1	Chr04	37884416	37884416	1.904565181	-2.647880883	1.57748E-05	0.00195649	Liver
TRINITY_DN124770_c0_g1_i3	Xetrov90030464m	scaffold_786	45098	45098	0.626567892	-4.507225545	2.00804E-06	0.000366252	Liver
TRINITY_DN124807_c0_g1_i1	LOC101730543	Chr04	54903475	54903475	0.558676486	-3.20308811	5.91522E-05	0.005731599	Liver
TRINITY_DN124922_c6_g7_i1	ccrn4l	Chr01	51728403	51728403	4.499373324	1.385433288	0.000394844	0.023156181	Liver
TRINITY_DN125430_c6_g3_i4	rapgef5-like.2	Chr06	42223055	42223055	3.125710306	1.609435046	0.00097763	0.042694434	Liver
TRINITY_DN125539_c0_g2_i1	arl13a-like	Chr08	17453577	17453577	2.938830866	2.348901351	0.000757244	0.036308701	Liver
TRINITY_DN125604_c1_g2_i1	grb10	Chr06	68729976	68729976	5.446306731	-1.318358922	0.000805011	0.037819264	Liver
TRINITY_DN125707_c1_g1_i1	tmx2	Chr07	58504699	58504699	4.966678786	-1.174712938	9.51276E-05	0.008564584	Liver
TRINITY_DN126089_c1_g1_i2	tdrd5	Chr04	91181395	91181395	4.043482054	5.722725904	5.68933E-07	0.000126005	Liver
TRINITY_DN126104_c3_g4_i3	Xetrov90019654m	Chr08	83730	83730	4.993275127	1.427107879	0.000549534	0.028717799	Liver
TRINITY_DN126346_c1_g1_i1	LOC101730630	scaffold_36	97865	97865	4.41664725	-2.740920312	0.000195585	0.014672035	Liver
TRINITY_DN126356_c1_g3_i1	tmem178.2	Chr04	7766390	7766390	0.672647402	-3.566159652	0.000205265	0.015018564	Liver
TRINITY_DN126367_c3_g1_i1	prph	Chr02	133413302	133413302	1.735358092	1.875407563	0.000868697	0.039519394	Liver
TRINITY_DN126472_c1_g2_i1	c15orf26	Chr03	98729607	98729607	1.096837183	-5.888150671	4.96814E-08	1.59357E-05	Liver
TRINITY_DN126492_c5_g1_i3	lgals3	Chr08	84391789	84391789	5.476017406	-1.571713964	0.000207711	0.015018564	Liver
TRINITY_DN126719_c0_g1_i3	col21a1	Chr05	88497470	88497470	3.943218336	5.679950896	1.38834E-08	6.11192E-06	Liver
TRINITY_DN126754_c2_g1_i1	soat1	Chr04	91256047	91256047	4.871318159	-1.45247489	8.03904E-05	0.007630523	Liver
TRINITY_DN126826_c2_g1_i1	gjd4	Chr06	13273382	13273382	0.801710318	2.771354816	0.000159202	0.012990305	Liver
TRINITY_DN126910_c8_g7_i3	ret	Chr07	44663724	44663724	2.121312327	3.447088084	0.000209892	0.015018564	Liver
TRINITY_DN126931_c1_g2_i7	asic2-like.2	Chr10	8365536	8365536	3.581536595	-2.455685777	0.00081996	0.038327974	Liver
TRINITY_DN127187_c0_g3_i1	sfrp2	Chr01	45713108	45713108	1.325558363	-4.844598371	1.41548E-05	0.001779301	Liver
TRINITY_DN127333_c1_g1_i5	bhlhe40	Chr04	119695583	119695583	5.981262726	-1.512273266	0.0009263	0.040759274	Liver
TRINITY_DN127465_c0_g1_i2	LOC100489362	Chr07	94982653	94982653	0.955023453	-3.963113815	1.90448E-05	0.002271212	Liver
TRINITY_DN127522_c0_g1_i1	sirt6	Chr06	34956913	34956913	4.795319954	-1.275289497	0.001216881	0.049865314	Liver
TRINITY_DN127561_c4_g3_i1	Xetrov90012402m	Chr04	110209451	110209451	7.548529609	-6.739709376	6.09745E-26	1.89062E-22	Liver
TRINITY_DN127649_c0_g1_i1	ccdc176	Chr08	60797297	60797297	4.324122613	-2.339991279	0.000754354	0.036308701	Liver
TRINITY_DN127780_c0_g1_i1	LOC100485722	Chr02	137875105	137875105	2.133693632	3.600096513	0.00049503	0.026617151	Liver
TRINITY_DN127880_c5_g10_i1	slc22a31-like	Chr04	61145578	61145578	4.162620085	-1.351137448	0.000673918	0.033703166	Liver
TRINITY_DN127960_c0_g3_i11	faxdc2	Chr03	9456018	9456018	6.975878993	1.127976228	0.000480695	0.026302478	Liver
TRINITY_DN128065_c4_g6_i1	LOC101732178	Chr03	3532839	3532839	5.161164038	1.101025583	0.00022972	0.01594668	Liver
TRINITY_DN128124_c11_g2_i3	olfm4	Chr08	58013003	58013003	6.00984328	-5.212124103	5.11048E-20	9.50754E-17	Liver
TRINITY_DN128273_c2_g2_i2	shpk	Chr02	31907654	31907654	6.712037069	1.055613643	0.001156523	0.048678637	Liver
TRINITY_DN128335_c3_g2_i1	mycl	Chr02	86787902	86787902	3.048316074	-1.897961553	9.35361E-06	0.001318291	Liver
TRINITY_DN128409_c3_g1_i1	aox1	Chr09	46331829	46331829	2.651647124	-4.48902716	1.0995E-05	0.001482255	Liver
TRINITY_DN128520_c0_g1_i4	smoc1	Chr08	87218453	87218453	3.000839362	1.503834752	0.000928936	0.040759274	Liver
TRINITY_DN128547_c9_g1_i2	fbxo21	Chr01	156265776	156265776	1.882133493	1.722818763	0.000341733	0.021192001	Liver
TRINITY_DN128592_c11_g1_i1	ntrk3-like.1	Chr03	100874930	100874930	8.038305031	-5.488075962	1.34579E-32	6.25929E-29	Liver
TRINITY_DN128775_c0_g1_i1	LOC100494841-like	Chr01	161269104	161269104	0.981538799	-2.201337641	0.000329984	0.02073996	Liver
TRINITY_DN128940_c2_g1_i1	LOC496913-like	Chr02	62548925	62548925	3.377324259	4.616170785	6.2635E-14	6.47368E-11	Liver
TRINITY_DN129181_c0_g4_i14	wdr25	Chr08	75836689	75836689	4.41734977	-2.597205556	1.34262E-05	0.001754328	Liver
TRINITY_DN129331_c1_g1_i1	prph2	Chr05	11491673	11491673	0.271557561	-4.894053135	0.00032093	0.020308114	Liver
TRINITY_DN129354_c0_g1_i2	ptgis-like	Chr10	30087612	30087612	1.181077734	3.772586763	4.93381E-08	1.59357E-05	Liver
TRINITY_DN129430_c0_g1_i1	dgat2	Chr02	169548535	169548535	6.444808847	2.654188548	1.07141E-07	3.21492E-05	Liver
TRINITY_DN129489_c0_g1_i5	fgd3-like	scaffold_192	166797	166797	2.808583036	2.571655108	0.000112001	0.009922245	Liver
TRINITY_DN129523_c0_g4_i3	grik5-like.1	Chr07	81057966	81057966	2.763061915	-6.413668096	0.000162145	0.013115424	Liver
TRINITY_DN129628_c2_g2_i2	greb1l	Chr06	93381104	93381104	4.893889216	-1.883650568	4.8238E-07	0.000112178	Liver
TRINITY_DN129651_c0_g4_i5	LOC394444	Chr03	134065551	134065551	2.010231124	-3.022507264	9.37788E-05	0.008564584	Liver
TRINITY_DN129827_c5_g2_i1	cldn4	Chr02	38090824	38090824	4.752135003	-3.305574929	3.10323E-14	3.60828E-11	Liver
TRINITY_DN129859_c0_g13_i1	cldn1	Chr05	99769722	99769722	0.473244504	-5.142094149	1.00999E-06	0.000204209	Liver
TRINITY_DN129860_c0_g3_i1	amdhd1	Chr03	47684352	47684352	8.425978421	1.251991205	0.000170655	0.013567782	Liver
TRINITY_DN129937_c0_g1_i1	flvcr2	Chr08	61249794	61249794	8.0158861	-1.840402066	0.000699953	0.034268216	Liver
TRINITY_DN130034_c2_g7_i4	cryl1	Chr02	155835560	155835560	7.58774756	1.208601826	0.001188412	0.049167999	Liver
TRINITY_DN130045_c0_g4_i1	soat2	Chr02	144642070	144642070	4.405977707	2.064609698	3.29302E-05	0.003561818	Liver
TRINITY_DN130050_c8_g5_i3	LOC100496633-like	Chr01	177562673	177562673	3.436038921	1.470061346	6.89511E-06	0.001018068	Liver
TRINITY_DN130177_c4_g1_i1	fibcd1	Chr08	5904689	5904689	1.516195366	3.470921593	9.02758E-10	5.5983E-07	Liver
