gid	gname	chr	start	end	logCPM	logFC.MB.FB	PV.MB.FB	FDR.MB.FB	A17MB	A17FB	A16MB	A15MB	A15FB	A12FB	A10MB	A10FB	A8MB	average	ward.D
TRINITY_DN100851_c0_g2_i1	NA	NA	NA	NA	3.35395819577019	-5.42612640522561	1.92115149230353e-08	5.48925554062351e-07	-1.70925234684164	5.05818199026429	-2.76073336601957	-2.76073336601957	3.10047246946295	5.10738708628898	1.30059020432327	3.64795183189569	-2.16867773884217	1	1
TRINITY_DN100875_c0_g1_i1	NA	NA	NA	NA	2.90065742006288	-5.71453691671678	8.67511618866563e-10	3.05335825051443e-08	-2.76073336601957	4.54012506899615	-2.76073336601957	-2.36916322704831	2.55571140042671	4.61202416315221	0.690809518814347	3.52830203147149	-2.76073336601958	1	1
TRINITY_DN101171_c0_g1_i1	NA	NA	NA	NA	2.46489666728661	-5.16092702166341	6.74928573608861e-10	2.45235690128746e-08	-2.76073336601957	4.10122917821254	-2.76073336601957	-1.23921924045531	1.97848862107517	4.25055655649435	0.545776515840278	2.88377787064992	-2.76073336601958	1	1
TRINITY_DN101274_c0_g1_i2	NA	NA	NA	NA	1.3450067307318	-5.82226426238053	2.1566078234555e-14	3.23917882018153e-12	-2.76073336601957	3.17794070187272	-2.76073336601957	-2.36916322704831	1.17307038161853	3.00555504025979	-0.906421051844555	1.30771586949757	-2.76073336601958	1	1
TRINITY_DN101453_c0_g1_i1	NA	NA	NA	NA	1.49307913129481	-6.48643090814703	1.29099618320179e-17	8.43260692967177e-15	-2.76073336601957	3.08334661226315	-2.76073336601957	-2.76073336601957	1.22601848374833	3.31027812283704	-1.13189686064402	1.89631286158633	-2.76073336601958	1	1
TRINITY_DN101696_c0_g4_i1	NA	NA	NA	NA	1.53748890075265	-4.32973877611166	1.56570193578143e-07	4.06056050510555e-06	-2.76073336601957	3.22300917338894	-2.08346519122015	-2.36916322704831	1.00146173000584	3.11899187097344	0.467398733457097	2.01976212721349	-2.16867773884217	1	1
TRINITY_DN101742_c0_g1_i1	NA	NA	NA	NA	0.225221173032053	-4.52911182788438	3.78329860970231e-09	1.19529255400122e-07	-2.76073336601957	1.75630999370538	-2.76073336601957	-2.76073336601957	0.212983515738366	1.5953480001835	-0.906421051844555	0.921060765796632	-2.16867773884217	1	1
TRINITY_DN101742_c0_g2_i1	c12orf5	Chr03	2661117	2661117	0.0332800617194627	-4.55617413155951	5.93073838337816e-09	1.82250162991184e-07	-2.76073336601957	1.45004900318208	-2.76073336601957	-2.76073336601957	-0.0137801987182962	1.5953480001835	-1.13189686064402	0.563453708283176	-2.16867773884217	1	1
TRINITY_DN101747_c0_g1_i1	NA	NA	NA	NA	3.32533657132253	-5.01125121462002	2.44730900291926e-10	9.81965256642762e-09	-1.70925234684164	5.06438640405776	-1.27668463650643	-2.36916322704831	2.88691561085112	5.00780153044416	1.4709598670427	3.73159645235702	-1.42606264623299	1	1
TRINITY_DN101899_c0_g1_i2	kpna1	scaffold_327	13306	13306	2.67211027889566	-5.82134739650383	4.66441820200179e-16	1.55963707190029e-13	-2.76073336601957	4.30360661501506	-2.76073336601957	-2.36916322704831	2.6164650901452	4.34101959651677	0.202937409264039	3.24173721148177	-1.75010671133744	1	1
TRINITY_DN101927_c0_g2_i1	NA	NA	NA	NA	2.20180856028934	-5.97387948746676	1.33205140691351e-14	2.25292763276051e-12	-2.14124688619374	3.66808448005304	-2.76073336601957	-2.76073336601957	1.74447929141065	4.0718890767474	-0.247639751583682	2.85090375851511	-2.76073336601958	1	1
TRINITY_DN101963_c0_g2_i1	NA	NA	NA	NA	0.98363404945252	-5.38071782767076	2.63595010361444e-10	1.05314268222217e-08	-2.76073336601957	2.54086133930389	-2.76073336601957	-2.76073336601957	0.497705471871747	2.84993613211285	-0.711467750267295	1.20740018370384	-2.76073336601958	1	1
TRINITY_DN102148_c0_g1_i2	NA	NA	NA	NA	0.759502699286329	-4.24671883093257	7.06902121475158e-06	0.000165043723074586	-2.76073336601957	2.20127200874091	-2.76073336601957	-2.76073336601957	0.40889839351045	2.41169032025532	-0.004831877434283	1.35537370968266	-2.76073336601958	1	1
TRINITY_DN10241_c0_g1_i1	NA	NA	NA	NA	0.179071246321413	-5.45363587482834	4.62536962461889e-12	2.98650015279703e-10	-2.76073336601957	1.2898302411654	-2.76073336601957	-2.36916322704831	-0.0137801987182962	1.9726817570001	-1.72770341095746	1.04249636575762	-2.76073336601958	1	1
TRINITY_DN102522_c0_g4_i1	NA	NA	NA	NA	0.229066502091228	-5.08926625512862	1.23623923607139e-10	5.38329479434684e-09	-2.76073336601957	1.66126802366683	-2.76073336601957	-2.76073336601957	0.314264004723763	1.77916020078898	-1.13189686064402	0.856281522322073	-2.76073336601958	1	1
TRINITY_DN103197_c0_g1_i2	NA	NA	NA	NA	3.05070014321618	-5.58347551999638	1.63302094533343e-11	9.05440562189188e-10	-2.14124688619374	4.55782407699392	-2.76073336601957	-1.80805613539913	2.63616078387073	4.81925203064679	0.822585087227048	3.82765173876069	-2.76073336601958	1	1
TRINITY_DN103690_c0_g1_i1	NA	NA	NA	NA	0.375400799599302	4.75615018839892	0.000214320241528857	0.00469915115052382	-1.37724487870555	-2.76073336601957	-2.08346519122015	2.2613615683359	-2.10877662483621	-1.6813776453044	-2.15366708707112	-2.76073336601957	2.16663196790712	2	2
TRINITY_DN103781_c0_g2_i1	npl	Chr04	90000796	90000796	1.87173634438848	1.35268319521725	0.000647676445921669	0.0137500289770234	2.69562133957163	1.10956942158674	1.65676151969309	2.36807208142211	0.40889839351045	1.08295974554337	2.69538328215253	1.30771586949757	1.78308995284605	3	2
TRINITY_DN103814_c0_g1_i1	NA	NA	NA	NA	2.80796656704696	-5.39142383153279	9.51072414332662e-10	3.32248394295541e-08	-2.76073336601957	4.34496887362497	-2.76073336601957	-1.80805613539913	2.65559120908357	4.51690991273999	0.822585087227048	3.48610715160991	-2.76073336601958	1	1
TRINITY_DN10390_c0_g1_i1	NA	NA	NA	NA	2.27400926409299	-5.60878306564237	2.09738471767463e-19	3.10048655606986e-16	-2.14124688619374	3.80776776919976	-2.76073336601957	-2.36916322704831	2.42594430456144	3.88406324429341	-0.121133712871129	2.96282804382315	-1.75010671133744	1	1
TRINITY_DN104020_c2_g2_i1	NA	NA	NA	NA	0.881876113062445	-5.57113050192178	2.42089916491101e-13	2.41119839875374e-11	-2.76073336601957	2.48645130260637	-2.76073336601957	-2.36916322704831	0.497705471871747	2.59932602208875	-1.13189686064402	1.35537370968266	-2.76073336601958	1	1
TRINITY_DN104234_c0_g1_i8	NA	NA	NA	NA	1.4028640478369	-5.26671806270575	1.22439923306536e-10	5.34001572346379e-09	-2.14124688619374	3.02091234121779	-2.76073336601957	-2.76073336601957	0.87455185300601	3.2114220223046	-0.386314334012995	1.7254800953304	-2.76073336601958	1	1
TRINITY_DN104435_c0_g4_i2	slc40a1	Chr09	39469907	39469907	1.8284475518666	-5.25988376321384	7.669672574325e-12	4.64263132747987e-10	-2.76073336601957	3.38048717262521	-2.76073336601957	-2.06150099111154	1.67000184501265	3.56172746369937	-0.004831877434283	2.33710006605688	-2.76073336601958	1	1
TRINITY_DN104559_c0_g1_i2	NA	NA	NA	NA	3.200396174569	-5.59413967134109	2.84137690878943e-14	4.05105346381567e-12	-1.70925234684164	4.83685404279418	-2.76073336601957	-2.36916322704831	2.98233475481285	4.95148262817594	0.75820132560311	3.66696311683158	-1.1616193157615	1	1
TRINITY_DN104862_c0_g1_i1	NA	NA	NA	NA	0.351978057493788	-6.13124814615221	1.29608499070359e-13	1.43885925430402e-11	-2.76073336601957	2.03431453069026	-2.76073336601957	-2.36916322704831	-0.142099724706935	1.81327063875985	-2.76073336601957	1.15449924137904	-2.16867773884217	1	1
TRINITY_DN105267_c0_g2_i2	NA	NA	NA	NA	2.53836359040704	1.44561868217903	1.13843201835995e-05	0.000263603793072348	2.5472645818505	1.6281431524901	3.03417392944109	3.2805672018165	1.91541049043177	1.4293227308393	3.28085308488323	1.35537370968266	2.70290241560805	2	2
TRINITY_DN105569_c0_g2_i1	NA	NA	NA	NA	1.20323506191396	-5.4155210908911	1.37031258357233e-12	1.02634585426123e-10	-2.14124688619374	2.8590284608747	-2.76073336601957	-2.76073336601957	0.40889839351045	2.97574524439869	-0.906421051844555	1.65104932058724	-2.16867773884217	1	1
TRINITY_DN10566_c0_g1_i1	NA	NA	NA	NA	0.331135074826753	-4.89881633966819	5.26231972916692e-09	1.63317982578023e-07	-2.76073336601957	1.78664842166147	-2.76073336601957	-2.76073336601957	-0.142099724706935	1.91101451444476	-0.906421051844555	1.15449924137904	-2.76073336601958	1	1
TRINITY_DN105687_c0_g1_i1	NA	NA	NA	NA	1.56885155561126	2.77910832189914	1.30001831911674e-05	0.000300276435271643	1.288332656382	-0.470109095763466	-0.226454812119037	3.1520569001842	-0.0137801987182962	-0.0458370457960322	1.85645590621073	-1.05855565754763	2.82985523508263	2	2
TRINITY_DN105825_c0_g1_i2	NA	NA	NA	NA	1.43179221646113	-5.70639437683299	8.88542234970601e-17	4.15941429226988e-14	-2.14124688619374	2.901233988274	-2.76073336601957	-2.36916322704831	1.50841451548112	3.2616966320554	-0.906421051844555	1.7254800953304	-2.76073336601958	1	1
TRINITY_DN106039_c0_g1_i1	NA	NA	NA	NA	0.579831325510829	-6.33948850034578	6.72254407512735e-16	2.07490214767145e-13	-2.14124688619374	2.05938147208743	-2.76073336601957	-2.76073336601957	0.581361458921747	2.27150538369811	-2.15366708707112	1.15449924137904	-2.76073336601958	1	1
TRINITY_DN106039_c0_g3_i1	ehhadh	Chr09	49804538	49804538	0.664770992271243	-4.99790961729016	1.90619237628278e-05	0.000437054900184934	-2.76073336601957	2.20127200874091	-2.76073336601957	-2.76073336601957	-2.76073336601957	2.38925181312247	-0.711467750267295	1.68874465397849	-2.76073336601958	1	1
TRINITY_DN106190_c0_g4_i1	NA	NA	NA	NA	2.71625141667104	-5.40304471184707	6.77467030886115e-09	2.05930914464267e-07	-2.76073336601957	4.35005676070496	-2.76073336601957	-2.06150099111154	2.28334085011511	4.55772483800126	0.75820132560311	3.02309051339917	-2.76073336601958	1	1
TRINITY_DN106368_c0_g2_i1	NA	NA	NA	NA	4.50793511588713	0.89080594212154	5.07627516621289e-05	0.00115260582533081	4.72357376420083	3.60988836661196	4.84298324023722	5.12640296891966	4.09514276260412	3.75838412619099	4.67924188824854	4.25577746210762	4.75618080372498	2	2
TRINITY_DN106665_c0_g1_i1	lrrn3	Chr03	56576714	56576714	0.915588395608695	3.03321245658354	0.00101786729052606	0.0211769174733373	-0.684184732677626	-0.333324976624003	-1.27668463650643	2.24745019719078	-1.66137363046342	-1.34408907263803	-0.711467750267295	-1.33289220621081	3.02824080868482	2	2
TRINITY_DN106674_c0_g1_i1	NA	NA	NA	NA	3.93319852088032	-5.30829763301998	4.99644441342768e-13	4.34474099814066e-11	-0.880384341349751	5.53777440957361	-2.08346519122015	-1.80805613539913	3.91338447241501	5.65545704527816	1.7278785086686	4.3819493196337	-0.938221361433542	1	1
TRINITY_DN106700_c0_g1_i1	NA	NA	NA	NA	1.05290656100567	-6.00737588776424	1.00741141407292e-13	1.18389809150904e-11	-2.76073336601957	2.77072230375243	-2.76073336601957	-2.76073336601957	0.581361458921747	2.76534278113623	-1.13189686064402	1.40150743882741	-2.76073336601958	1	1
TRINITY_DN106700_c0_g3_i1	NA	NA	NA	NA	0.354019120966677	-4.67567795199455	3.4959902638077e-09	1.11076785678243e-07	-2.14124688619374	1.69364937380351	-2.76073336601957	-2.76073336601957	-0.0137801987182962	2.0025542681185	-0.906421051844555	1.15449924137904	-2.76073336601958	1	1
TRINITY_DN107049_c0_g1_i1	NA	NA	NA	NA	0.382819496011975	-5.6219122451572	5.0717622662955e-10	1.88926507657085e-08	-2.76073336601957	2.05938147208743	-2.76073336601957	-2.76073336601957	-0.614147378587069	2.14328809581483	-1.39925911009131	0.71728440606937	-2.76073336601958	1	1
TRINITY_DN108087_c0_g1_i1	NA	NA	NA	NA	0.548397856775796	-5.49769123453768	1.06780508971867e-12	8.37749764104138e-11	-2.14124688619374	2.08402030127614	-2.76073336601957	-2.36916322704831	-0.0137801987182962	2.29583602757589	-1.72770341095746	1.0995844413127	-2.76073336601958	1	1
TRINITY_DN108113_c0_g1_i1	NA	NA	NA	NA	0.227871176790499	-5.46017546394314	3.46375907926142e-12	2.32743065213434e-10	-2.76073336601957	1.72531984960707	-2.76073336601957	-2.76073336601957	0.497705471871747	1.74422370037448	-1.39925911009131	0.71728440606937	-2.76073336601958	1	1
TRINITY_DN108200_c0_g1_i1	NA	NA	NA	NA	0.546902219071362	-4.47392235813238	1.16385833980636e-06	2.83024148832392e-05	-2.76073336601957	1.87401388248913	-2.76073336601957	-2.76073336601957	0.40889839351045	2.4555467454482	-0.386314334012995	0.563453708283176	-2.76073336601958	1	1
TRINITY_DN10853_c0_g1_i1	NA	NA	NA	NA	1.61017091793903	-5.41552282246667	1.22519727527529e-12	9.45387798644426e-11	-2.76073336601957	3.16645011167528	-2.76073336601957	-2.06150099111154	1.00146173000584	3.41395070448475	-0.386314334012995	2.18713884517484	-2.76073336601958	1	1
TRINITY_DN108588_c0_g1_i1	NA	NA	NA	NA	3.96489424979902	1.13899182760308	0.00110110743893669	0.0228242100645127	4.73219037898645	3.17794070187272	4.3182221343025	4.07850318474538	2.95122435652538	3.41395070448475	5.02196023022231	3.35157073791928	2.79914891777891	3	2
TRINITY_DN108642_c0_g2_i1	NA	NA	NA	NA	0.866774939041999	-6.18060957562767	2.74161384425561e-16	1.00004815641048e-13	-2.76073336601957	2.20127200874091	-2.76073336601957	-2.76073336601957	1.11810476063242	2.69390480947332	-1.39925911009131	1.25842976403465	-2.76073336601958	1	1
TRINITY_DN10867_c0_g2_i1	NA	NA	NA	NA	1.33166060516462	-4.74313227191219	2.0597813368781e-10	8.42111767232828e-09	-2.76073336601957	2.88730221970817	-2.08346519122015	-1.80805613539913	1.11810476063242	3.185612096325	-0.247639751583682	1.30771586949757	-2.76073336601958	1	1
TRINITY_DN108799_c0_g1_i2	NA	NA	NA	NA	1.09544317889599	-4.98159025990757	3.54444037779939e-12	2.36120249647716e-10	-2.76073336601957	2.70869812167597	-2.76073336601957	-2.36916322704831	0.497705471871747	2.65681396323753	-0.711467750267295	1.89631286158633	-1.75010671133744	1	1
TRINITY_DN108799_c0_g3_i1	NA	NA	NA	NA	0.193283147954524	-4.79063847469221	6.70822758098805e-10	2.44535281160455e-08	-2.76073336601957	1.59423981166946	-2.76073336601957	-2.36916322704831	-0.0137801987182962	1.81327063875985	-1.13189686064402	0.856281522322073	-2.76073336601958	1	1
TRINITY_DN109173_c0_g3_i2	NA	NA	NA	NA	1.50708613832635	-5.41981222390003	1.65400448645785e-16	6.73275710306401e-14	-2.76073336601957	2.80076228197059	-1.62439905261603	-2.36916322704831	1.5505394988444	3.32217211555463	-0.711467750267295	2.16055673268715	-2.76073336601958	1	1
TRINITY_DN109226_c0_g1_i2	NA	NA	NA	NA	0.417591456538051	-5.31306798489496	1.26247153317911e-12	9.66186320228928e-11	-2.76073336601957	1.92945019617136	-2.76073336601957	-2.76073336601957	0.581361458921747	2.0025542681185	-1.39925911009131	0.856281522322073	-2.16867773884217	1	1
TRINITY_DN109305_c0_g1_i1	NA	NA	NA	NA	0.601130981265197	4.10619062448649	0.0007787975917343	0.0164096683863776	-1.10752980123919	-2.1887316805868	-2.76073336601957	2.38087257141426	-2.10877662483621	-2.76073336601957	-1.39925911009131	-1.05855565754763	2.50781646537611	2	2
TRINITY_DN109305_c0_g2_i2	LOC100485936	Chr10	37793960	37793960	2.91615411115038	3.53387547566126	0.000123095677675741	0.00273961037946002	0.499480786980479	-0.333324976624003	0.0447837998082115	4.64341172663299	0.87455185300601	0.463953928016969	0.620114757187685	-0.29924798363227	5.05800928768512	2	2
TRINITY_DN109620_c0_g1_i2	NA	NA	NA	NA	0.34817729438073	-4.91793118371947	1.76251139083381e-09	5.78990145430983e-08	-2.76073336601957	2.17857164503859	-2.76073336601957	-2.76073336601957	-0.142099724706935	1.7084201324398	-1.13189686064402	0.788456284782641	-2.16867773884217	1	1
TRINITY_DN109728_c0_g1_i1	NA	NA	NA	NA	1.09608561749878	2.10112060385357	0.00199577751524528	0.040327628108413	1.58322985646627	0.292164299661417	2.29896280110954	2.00442515651883	0.735391793568115	-2.76073336601957	1.20721393736588	-1.67194128501677	0.580266707208417	3	2
TRINITY_DN109924_c0_g1_i1	NA	NA	NA	NA	0.322231422184778	-5.18836886970353	7.94449657440098e-10	2.82451994031899e-08	-2.14124688619374	1.72531984960707	-2.76073336601957	-2.76073336601957	-0.142099724706935	2.27150538369811	-1.39925911009131	0.391240940835033	-2.76073336601958	1	1
TRINITY_DN109924_c0_g2_i1	NA	NA	NA	NA	0.119831387103388	-4.95252940376334	6.10557437600527e-09	1.87009015811189e-07	-2.14124688619374	1.41163135195454	-2.76073336601957	-2.76073336601957	-0.282956751940792	2.08863070379364	-1.39925911009131	0.195649108662036	-2.76073336601958	1	1
TRINITY_DN109985_c0_g2_i1	LOC100495196	Chr03	6274250	6274250	0.667405146119181	-5.07584378048302	8.52584552784289e-11	3.86261173485433e-09	-2.14124688619374	2.3097064688901	-2.76073336601957	-2.36916322704831	0.40889839351045	2.47698493666323	-1.13189686064402	0.479915404221083	-2.76073336601958	1	1
TRINITY_DN109985_c0_g3_i1	NA	NA	NA	NA	0.269008477215507	-4.83231341214593	8.66221931391652e-10	3.05264433964835e-08	-2.76073336601957	1.78664842166147	-2.76073336601957	-2.76073336601957	0.314264004723763	1.51472232121254	-0.906421051844555	1.20740018370384	-2.76073336601958	1	1
TRINITY_DN110034_c0_g2_i1	NA	NA	NA	NA	0.24084175800054	-2.36262174057565	0.000612282701548007	0.0130183075233754	-2.76073336601957	1.33158367395653	-0.226454812119037	-0.255527128233171	0.660431295060162	1.47265433189018	-2.76073336601957	0.391240940835033	-0.938221361433542	1	1
TRINITY_DN110159_c0_g4_i1	NA	NA	NA	NA	1.07827907113792	-5.7369085660946	6.93453082621652e-12	4.28731386172604e-10	-2.76073336601957	2.57602711833656	-2.76073336601957	-2.76073336601957	0.40889839351045	3.00555504025979	-0.906421051844555	1.44621152656006	-2.76073336601958	1	1
TRINITY_DN110547_c0_g1_i3	ezh1	Chr10	11719501	11719501	3.01890850847339	-4.81504348215642	1.60403850619124e-06	3.87050081816095e-05	-2.14124688619374	4.70009518370844	-2.76073336601957	-2.06150099111154	2.78473569897677	4.74166834694769	1.58671065406693	3.279285172021	-2.76073336601958	1	1
TRINITY_DN110624_c0_g2_i1	NA	NA	NA	NA	1.92859232376313	-6.65503120656079	1.16016138605345e-19	2.08668601459162e-16	-2.76073336601957	3.4673325724767	-2.76073336601957	-2.76073336601957	1.59146929813151	3.74960306942728	-0.906421051844555	2.53633325306775	-2.76073336601958	1	1
TRINITY_DN110624_c0_g3_i4	NA	NA	NA	NA	1.55922597880347	-6.01100201449454	5.32111511180532e-14	6.9777160054708e-12	-2.76073336601957	3.00809458341795	-2.76073336601957	-2.76073336601957	0.735391793568115	3.32217211555463	-0.711467750267295	2.53633325306775	-2.76073336601958	1	1
TRINITY_DN110653_c0_g1_i1	NA	NA	NA	NA	0.00876302980424051	-5.20348965157616	4.48537020229956e-11	2.14983946880525e-09	-2.76073336601957	1.48747010722928	-2.76073336601957	-2.76073336601957	0.40889839351045	1.4293227308393	-1.39925911009131	0.479915404221083	-2.76073336601958	1	1
TRINITY_DN110815_c0_g1_i2	aloxe3	scaffold_440	14897	14897	1.41259338431743	-3.60627320792545	1.1705883161311e-10	5.12922215837352e-09	-1.37724487870555	2.5932937072263	-0.560777363225674	-1.23921924045531	1.42028468285551	3.03476133774434	0.202937409264039	2.13347562789552	-2.16867773884217	1	1
TRINITY_DN110989_c1_g2_i1	NA	NA	NA	NA	1.25581646653335	3.65435010096328	2.88482680733748e-05	0.00065874902876169	2.19506210837832	-0.470109095763466	3.26395532841931	2.16104146393883	-1.66137363046342	-1.6813776453044	-0.906421051844555	-1.33289220621081	-0.938221361433542	3	2
TRINITY_DN1111_c0_g2_i1	NA	NA	NA	NA	0.362936018661846	-8.15485289777494	2.23834678679347e-17	1.25736892401336e-14	-2.76073336601957	1.01022279535258	-2.76073336601957	-2.76073336601957	0.40889839351045	1.94217760238254	-2.76073336601957	1.95935751298097	-2.76073336601958	1	1
TRINITY_DN111332_c0_g1_i1	NA	NA	NA	NA	1.50501490853459	1.41124921207645	0.000360341447124733	0.00778614343123449	2.1443154023789	0.903525692177684	2.27281168846235	1.82871281577443	0.581361458921747	0.626254629577913	2.05710746157517	0.296757133447198	1.25912783262899	3	2
TRINITY_DN112375_c0_g4_i1	NA	NA	NA	NA	6.23472982165931	-1.75364945538353	1.77563374839339e-06	4.2735411389139e-05	5.59043220566944	7.39358888638523	4.88243123986459	5.11878181146341	5.26368192352689	7.79887310110751	5.21721154697053	6.02046386653727	5.09007257345235	1	1
TRINITY_DN112540_c0_g2_i2	NA	NA	NA	NA	4.02287295681277	-5.14096193136374	2.36927895895607e-06	5.66649727263224e-05	-1.37724487870555	5.61165735744725	-2.76073336601957	-2.76073336601957	3.76920728223361	5.73990307858934	2.25672194249784	4.63461551219895	-2.16867773884217	1	1
TRINITY_DN112540_c0_g3_i1	NA	NA	NA	NA	2.4949997485639	-5.62607792494137	2.5742445827052e-12	1.78967345530795e-10	-2.14124688619374	3.90776926793755	-2.76073336601957	-2.36916322704831	2.15269194509163	4.41507956991424	0.296582073442255	3.03777087028326	-2.76073336601958	1	1
TRINITY_DN112746_c0_g3_i1	NA	NA	NA	NA	0.727493469626132	-4.8883710621708	4.35656224386725e-10	1.64466080300403e-08	-2.76073336601957	2.26730559000411	-2.76073336601957	-2.76073336601957	0.40889839351045	2.36645879462972	-0.711467750267295	1.30771586949757	-2.16867773884217	1	1
TRINITY_DN11276_c0_g2_i1	NA	NA	NA	NA	2.38616163189016	-5.15072333209136	7.42518402199895e-10	2.66689441976834e-08	-2.76073336601957	3.97517981971338	-2.08346519122015	-2.76073336601957	2.17978540233179	4.16728754357681	0.545776515840278	2.74753275837816	-1.75010671133744	1	1
TRINITY_DN112930_c0_g1_i1	gapvd1-like	Chr08	10168645	10168645	2.24608033540028	1.76404002158457	0.00146811049053434	0.0300984082829474	1.85976169209735	0.204992950391595	1.5300135856061	3.23898949116862	1.11810476063242	1.08295974554337	1.34510560853165	1.5725686655332	3.9467386669115	2	2
TRINITY_DN113162_c1_g1_i1	NA	NA	NA	NA	4.64067944222535	0.847457023629421	0.0020725801618385	0.041699540834927	5.43285389038811	4.15454660413966	4.86503182184097	5.37056294849904	4.5124014707571	3.96215157018644	4.4282506639266	3.70425023061411	4.31013213312507	3	2
TRINITY_DN113192_c0_g1_i1	NA	NA	NA	NA	2.51757302688545	-5.14596676399627	1.12139795757086e-07	2.9546627049055e-06	-2.14124688619374	3.93511261002702	-2.76073336601957	-2.76073336601957	2.23249206729498	4.32928060705697	0.822585087227048	3.20318584478344	-2.76073336601958	1	1
TRINITY_DN113292_c0_g1_i3	NA	NA	NA	NA	4.29994293080921	1.09034421275038	9.56051659098088e-05	0.00214992977975084	5.21962298498534	3.80035239989678	4.59116441188505	4.56145050037474	3.59900397305585	3.33396885203853	4.92631483130129	3.63835141025467	3.72781024671302	3	2
TRINITY_DN113301_c1_g1_i1	uevld	scaffold_603	88383	88383	6.6943122532679	1.15556461390636	0.000155284029779947	0.00342343998777815	6.528876108507	6.28225198519219	7.1607491781909	7.16177582592205	4.65437864614448	5.65545704527816	7.47883350446649	6.53940519741449	7.00525157848421	2	2
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	0.696748722274609	6.48509081521525	1.23189617536063e-15	3.17433650250953e-13	1.54461619879803	-2.76073336601957	1.69665151224923	1.08809227156695	-2.76073336601957	-2.76073336601957	1.91668802669726	-2.11597315997981	0.843651930925788	2	2
TRINITY_DN1138_c0_g1_i1	pja2-like	Chr01	135727530	135727530	0.309193845028022	-6.03293785902433	3.44355122313417e-13	3.13006547586309e-11	-2.76073336601957	1.87401388248913	-2.76073336601957	-2.76073336601957	0.40889839351045	1.9726817570001	-1.72770341095746	0.563453708283176	-2.76073336601958	1	1
TRINITY_DN114072_c0_g2_i2	NA	NA	NA	NA	2.93646109709929	-5.16586337518563	1.02083784980898e-08	3.01813396711418e-07	-1.70925234684164	4.47175001076628	-2.76073336601957	-2.06150099111154	2.33245828201585	4.76799588591441	1.10737321756872	3.53866070656046	-2.76073336601958	1	1
