ID	Am2_314	Am2_315	Am2_316	Am2_318	Am4_314	Am4_317	Am5_311	Am5_312	Am5_313
TRINITY_DN101728_c0_g2_i1	340.235	575.158	252.702	258.023	528.546	473.637	516.776	601.18	596.927
TRINITY_DN101751_c0_g1_i1	124	224	141	94	74	78	89	117	113
TRINITY_DN101798_c0_g1_i1	0	7	3	4	3	5	3	8	3
TRINITY_DN101809_c0_g1_i2	149	164	118	84	170	162	290	561	199
TRINITY_DN101821_c0_g1_i1	190	240	112	156	228	153	166	250	162
TRINITY_DN101833_c0_g1_i1	230	308	301	172	260	297	212	321	337
TRINITY_DN101895_c0_g1_i1	154	198	110	118	158	184	161	288	200
TRINITY_DN101903_c0_g2_i2	189	311	247	123	127	184	269	498	287
TRINITY_DN101930_c0_g2_i1	1	0	0	0	1	0	3	2	0
TRINITY_DN101930_c0_g4_i3	2	3	1	1	2	1	5	3	2
TRINITY_DN101966_c0_g1_i1	15	20	8	13	8	10	18	23	29
TRINITY_DN102026_c0_g1_i2	66	105	50	14	34	59	70	175	79
TRINITY_DN102065_c0_g1_i1	536	1035	637	472	450	452	423	599	499
TRINITY_DN102078_c0_g1_i1	1943	2338	1567	1245	1808	1787	1824	2285	1804
TRINITY_DN102094_c0_g3_i1	214	322	174	197	368	218	202	300	181
TRINITY_DN102159_c0_g1_i2	863	1142	909	560	824	776	1034	1578	1078
TRINITY_DN102162_c0_g1_i1	197	266	149	146	140	165	250	303	258
TRINITY_DN102167_c0_g1_i2	1156	1554	1054	812	985	1547	1253	2046	1435
TRINITY_DN102186_c0_g1_i2	1820	2551	1206	1349	1986	1662	1342	1192	1594
TRINITY_DN102193_c0_g2_i1	190	327	172	154	148	175	271	419	197
TRINITY_DN102198_c0_g1_i3	11	16	6	9	5	7	8	16	9
TRINITY_DN102252_c0_g2_i1	122	131	108	82	119	157	142	249	190
TRINITY_DN102271_c0_g3_i1	1	2	0	0	1	2	0	1	1
TRINITY_DN102272_c0_g1_i1	253	457	322	206	289	192	194	388	280
TRINITY_DN102276_c0_g1_i1	186	335	120	98	152	87	186	258	161
TRINITY_DN102279_c0_g1_i1	1686	2081	1658	1318	1270	1263	1846	3306	2523
TRINITY_DN102288_c0_g1_i1	80	163	96	29	51	78	76	93	87
TRINITY_DN102312_c0_g1_i1	2030	2589	3754	1211	589	881	2229	2297	1254
TRINITY_DN102326_c0_g6_i1	17	36	16	30	24	26	38	40	51
TRINITY_DN102393_c0_g1_i1	753	1052	586	515	1107	956	2037	2183	1228
TRINITY_DN102400_c0_g1_i1	1057	1362	1032	796	912	1050	923	1383	1185
TRINITY_DN102455_c0_g1_i1	232	345	232	169	241	308	395	736	466
TRINITY_DN102459_c0_g1_i1	57	72	20	27	78	26	39	70	47
TRINITY_DN102469_c0_g1_i1	42	47	34	28	55	29	67	102	56
TRINITY_DN10248_c0_g1_i1	62	67	31	40	68	88	79	108	81
TRINITY_DN102493_c0_g1_i1	637	1328	811	476	265	395	598	841	555
TRINITY_DN102496_c0_g1_i1	4836	6329	4352.96	3384.98	4091	4787	5383	8364	5928
TRINITY_DN102500_c0_g1_i1	217	339	157	149	220	204	258	359	238
TRINITY_DN102539_c0_g1_i1	498	817	587	395	500	551	720	1278	801
TRINITY_DN102559_c0_g2_i1	116	313	253	96	48	59	54	76	56
TRINITY_DN102581_c0_g1_i2	60.8346	76.287	12.8809	30.9501	12.9649	12.7959	14.7351	19.4916	13.2396
TRINITY_DN102595_c0_g1_i2	101	136	71	69	93	77	64	123	83
TRINITY_DN102921_c0_g1_i1	3	14	4	3	8	0	0	3	5
TRINITY_DN103107_c0_g1_i1	2735	3636	2169	1726	2214	2508	2199	2761	2412
TRINITY_DN103150_c0_g1_i1	45	71	55	50	59	52	74	133	66
TRINITY_DN103157_c0_g1_i2	44.6179	54.5407	47.9146	40.1632	78.3715	83.0421	54.9028	115.054	59.3551
TRINITY_DN103196_c0_g1_i2	465	637	490	385	503	436	523	683	639
TRINITY_DN103209_c0_g3_i2	1610	2047	1226	1114	1760	1642	1521	2195	1842
TRINITY_DN103509_c0_g1_i1	460	1051	694	417	474	784	538	858	834
TRINITY_DN103526_c0_g1_i1	138	236	123	89	164	140	186	288	176
TRINITY_DN103537_c0_g2_i1	207	394	270.715	182	179	185	242	317.078	201
TRINITY_DN103544_c0_g1_i2	8	20	11	11	11	12	10	39	7
TRINITY_DN103549_c0_g1_i1	2443	4365	2893	1789	1334	1591	2153	3033	2212
TRINITY_DN103557_c0_g2_i2	860	1025	798	645	764	801	891	1325	1032
TRINITY_DN103565_c0_g4_i1	150	236	192	104	115	147	170	259	191
TRINITY_DN103567_c0_g1_i1	1789	2915.42	1795	1454	1617	1966.46	2278	3674.55	2466.81
TRINITY_DN103584_c0_g2_i1	41	46	28	28	43	42	44	63	40
TRINITY_DN103614_c0_g2_i2	64	49	44	44	69	37	41	61	50
TRINITY_DN103615_c0_g1_i1	2285	2853	2154	1678	1068	2108	1797	4730	3054
TRINITY_DN103621_c0_g1_i2	52.9754	87.7389	43.0781	35.7147	93.8178	97.4004	154.046	163.747	163.942
TRINITY_DN103622_c0_g3_i3	246.797	503.217	205.571	281.004	445.448	258.466	289.979	503.941	303.529
TRINITY_DN103630_c0_g1_i1	1167.97	1667.11	993.114	865.604	1114.88	1159.38	1207.45	1947.92	1426.69
TRINITY_DN103637_c0_g3_i1	30	87	51	36	28	38	40	70	34
TRINITY_DN103653_c0_g1_i1	64	95	51	55	63	43	60	121	72
TRINITY_DN103657_c0_g2_i2	7	5	10	5	9	3	0	13	1
TRINITY_DN103662_c0_g1_i1	42	77	52	23	45	49	88	113	53
TRINITY_DN103690_c0_g1_i1	69	91	75	50	98	91	102	138	112
TRINITY_DN103698_c0_g1_i1	8	12	8	3	3	6	62	94	11
TRINITY_DN103704_c0_g1_i1	1181	1512	1142	868	931	1220	2304	5232	2076
TRINITY_DN103708_c0_g1_i1	1	1	0	0	1	0	0	1	1
TRINITY_DN103714_c0_g1_i2	2540	3742	2658	1782	2456	2388	3277	5538	2776
TRINITY_DN103720_c0_g1_i2	87	90	36	51	80	54	353	138	222
TRINITY_DN103733_c0_g2_i1	1635	2150	1349	1218	1731	1570	1819	2343	2040
TRINITY_DN103741_c0_g1_i2	51	55	26	50	89	96	71	131	134
TRINITY_DN103776_c0_g1_i1	1819	2642	2705	2002	1540	590	1068	3638	1489
TRINITY_DN103783_c0_g1_i1	228	307	192	152	207	240	284	434	335
TRINITY_DN103812_c0_g1_i2	1164	1432	1117	889	1089	1171	1561	2293	1482
TRINITY_DN103830_c0_g1_i1	39	44	30	27	54	50	68	137	79
TRINITY_DN103838_c0_g1_i1	4	5	4	3	10	6	4	8	4
TRINITY_DN103847_c0_g1_i1	22	18	18	7	5	21	34	100	19
TRINITY_DN103855_c0_g1_i1	96	152	140	81	64	98	128	183	169
TRINITY_DN103859_c0_g1_i1	0	2	1	0	1	1	1	6	0
TRINITY_DN103860_c0_g1_i1	155	279	109	171	159	242	228	348	280
TRINITY_DN103862_c0_g1_i1	268.563	184.932	140.55	112.579	141.462	216.8	243.722	321.976	207.409
TRINITY_DN103877_c0_g1_i1	3	14	3	7	10	10	18	34	14
TRINITY_DN103882_c0_g1_i1	80	135	99	51	95	84	63	114	121
TRINITY_DN103890_c0_g1_i2	285	421	235	276	386	290	237	554	294
TRINITY_DN103891_c0_g1_i1	159	224	124	83	63	107	136	218	206
TRINITY_DN103896_c0_g1_i2	214	977	539	262	390	836	853	1600	941
TRINITY_DN103912_c0_g1_i1	823	1451	709	669	765	858	1298	1645	1286
TRINITY_DN103926_c0_g2_i1	50	61	31	44	47	40	42	97	35
TRINITY_DN103986_c0_g1_i1	59	68	48	30	32	44	115	198	62
TRINITY_DN103989_c0_g1_i1	980	1509	1200	795	631	815	762	1177	854
TRINITY_DN104027_c0_g1_i1	43	53	32	43	49	64	44	76	68
TRINITY_DN104136_c0_g1_i1	4	1	1	2	4	3	2	6	3
TRINITY_DN104140_c0_g1_i1	1	3	5	3	5	4	3	5	3
TRINITY_DN104155_c0_g1_i1	111	164	91	72	168	119	119	190	193
TRINITY_DN104173_c0_g1_i1	411	474	313	294	397	390	378	669	480
TRINITY_DN104207_c0_g1_i1	11	23	10	8	10	10	13	21	4
TRINITY_DN104287_c1_g1_i1	125	256	105	91	121	151	198	366	251
TRINITY_DN104334_c0_g1_i1	34	47	29	15	45	19	61	121	101
TRINITY_DN104339_c0_g1_i2	80	188	130	74	139	140	341	624	156
TRINITY_DN104365_c0_g3_i1	235	287	187	185	220	199	217	348	276
TRINITY_DN104396_c0_g1_i1	290	69	122	111	84	135	200	207	160
TRINITY_DN104428_c0_g1_i2	458.337	632.775	481.973	296.974	351.453	351.667	413.224	594.042	514.504
TRINITY_DN104436_c0_g1_i1	5	1	0	1	8	1	7	17	5
TRINITY_DN104463_c0_g1_i1	15	19	19	9	18	15	27	56	34
TRINITY_DN104464_c0_g1_i1	94	133	80	57	76	71	94	119	111
TRINITY_DN104496_c0_g2_i1	4	2	2	3	2	3	9	19	1
TRINITY_DN104508_c0_g2_i3	229	293	231	186	262	272	393	590	325
TRINITY_DN104546_c0_g1_i1	19	30	42	11	67	83	25	58	35
TRINITY_DN104583_c0_g1_i1	68	108	66	47	52	100	66	167	98
TRINITY_DN104654_c0_g1_i1	14	36	26	16	26	13	51	47	32
TRINITY_DN104658_c0_g2_i1	14.548	19.4752	12.0217	6.68146	12.6968	10.4823	9.10485	17.3734	34.6178
TRINITY_DN104667_c0_g1_i3	622	946	580	616	787	659	703	1352	718
TRINITY_DN104694_c0_g1_i1	219	387	306	194	185	248	190	425	250
TRINITY_DN104721_c0_g1_i1	841	1155	697	626	914	697	580	899	785
TRINITY_DN104732_c0_g1_i1	11	20	14	5	15	3	23	20	21
TRINITY_DN104740_c0_g1_i2	286	469	306	210	195	280	305	556	327
TRINITY_DN104748_c0_g2_i1	123	135	69	55	70	89	72	122	107
TRINITY_DN104751_c0_g1_i2	470	498	356	300	507	495	491	805	550
TRINITY_DN104757_c0_g1_i1	30	36	26	19	19	41	35.0543	57	56
TRINITY_DN104783_c1_g1_i1	82	223	50	51	71	83	129	300	124
TRINITY_DN104786_c0_g1_i1	0	4	1	1	3	2	6	7	3
TRINITY_DN104789_c0_g1_i1	182	125	120	146	222	110	157	223	256
TRINITY_DN104801_c0_g1_i1	502	770	397	389	516	486	567	812	656
TRINITY_DN104812_c0_g1_i2	115	222	164	106	127	125	128	210	142
TRINITY_DN104838_c0_g1_i1	7	16	9	10	15	10	25	34	19
TRINITY_DN104874_c0_g2_i2	492	694	481	434	606	804	803	1188	712
TRINITY_DN104919_c0_g1_i1	1125	1964	1143	887	1495	1182	1096	1653	1859
TRINITY_DN104942_c0_g1_i2	1166	1655	1506	988	489	718	682	999	681
TRINITY_DN104972_c0_g1_i2	4752	6730	4098	3512	6106	5208	5315	7324	7025
TRINITY_DN105030_c0_g1_i1	6	0	5	0	2	2	3	10	3
TRINITY_DN105039_c0_g1_i1	110	193	101	60	200	195	452	761	272
TRINITY_DN105042_c0_g2_i1	276	518	368	173	387	416	1107	1752	495
TRINITY_DN105056_c0_g1_i3	51.0444	118	65	46.0488	75.1401	75.2459	154.77	210.392	122.086
TRINITY_DN105060_c0_g2_i3	109	133	85	101	110	91	124	172	105
TRINITY_DN105062_c0_g1_i1	1	1	0	0	0	0	2	0	0
TRINITY_DN105074_c0_g4_i1	3	3	2	0	1	2	2	3	3
TRINITY_DN105118_c0_g1_i1	82.2966	201.752	81.1306	115.293	115.9	105.498	87.2977	133.084	87.1779
TRINITY_DN105151_c0_g1_i1	111	181	93	67	96	86	98	149	129
TRINITY_DN105227_c0_g1_i1	81	212	136	117	201	149	340	261	192
TRINITY_DN105232_c0_g1_i1	9	12	9	7	7	10	13	20	26
TRINITY_DN105250_c0_g1_i2	1408	2200	1063	1043	1463	1410	1484	2198	2053
TRINITY_DN105266_c0_g2_i1	1	0	1	0	0	0	2	5	1
TRINITY_DN105273_c0_g1_i2	81	72	40	33	19	51	93	144	91
TRINITY_DN105309_c0_g3_i1	72	270	47	90	100	80	108	136	100
TRINITY_DN105353_c0_g2_i2	59	79	50	48	50	100	53	95	98
TRINITY_DN105372_c0_g2_i1	59	120	84	29	63	132	443	662	108
TRINITY_DN105387_c0_g2_i3	40	80	31	27	42	38	44	82	54
TRINITY_DN105400_c0_g1_i3	389	535	336	322	457	469	434	856	569
TRINITY_DN105413_c0_g1_i1	432	709	369	313	524	466	522	748	693
TRINITY_DN105435_c0_g1_i1	67	169	32	21	63	57	33	115	119
TRINITY_DN105438_c0_g1_i1	69	64	44	49	43	66	66	109	61
TRINITY_DN105440_c0_g1_i1	132	202	133	129	117	244	210	269	177
TRINITY_DN105441_c0_g2_i3	394	651	359	315	295	315	469	785	442
TRINITY_DN105453_c0_g1_i1	1074	1524	818	833	1122	880	884	1292	1199
TRINITY_DN105472_c0_g3_i2	1092	2153	1416	1034	840	1015	1311	2076	1259
TRINITY_DN105481_c1_g1_i1	136	214	137	110	175	122	114	255	131
TRINITY_DN105496_c0_g1_i1	2	0	0	0	0	0	1	0	1
TRINITY_DN105503_c0_g2_i1	2	0	0	1	3	1	1	1	1
TRINITY_DN105513_c0_g1_i1	14	27	13	11	14	28	46	91	17
TRINITY_DN105534_c0_g1_i1	0	0	1	0	0	0	6	14	0
TRINITY_DN105560_c0_g1_i2	145	322	163	118	394	420	452	633	528
TRINITY_DN105578_c0_g1_i1	8	6	6	5	4	13	23	23	11
TRINITY_DN105592_c1_g1_i2	186	207	75	171	176	140	217	271	249
TRINITY_DN105601_c0_g1_i1	142	232	121	95	158	149	172	311	209
TRINITY_DN105618_c0_g1_i1	55	83	26	33	53	37	52	33	21
TRINITY_DN105624_c0_g1_i1	0	0	1	0	1	2	0	2	1
TRINITY_DN105635_c0_g1_i1	393	610	378	331	484	397	366	490	554
TRINITY_DN105647_c0_g2_i1	4	2	2	2	7	1	2	0	0
TRINITY_DN105669_c0_g5_i1	38	82	53	36	40	73	64	86	54
TRINITY_DN105682_c0_g3_i1	138	178	130	112	103	135	139	147	141.469
TRINITY_DN105687_c0_g2_i1	661	634	512	332	414	471	637	585	574
TRINITY_DN105705_c0_g1_i1	27.5654	58.8372	17.3372	26.6114	24.3166	49.4534	113.512	119.979	57.5381
TRINITY_DN105709_c0_g1_i2	11	32	5	6	19	14	21	10	9
TRINITY_DN105721_c0_g1_i1	66	96	48	37	70	24	95	87	53
TRINITY_DN105726_c0_g1_i1	28	70	51	21	39	27	74	155	51
TRINITY_DN105741_c0_g1_i2	48	60	31	39	48	27	36	55	31
TRINITY_DN105744_c0_g1_i1	144	160	84	92	182	114	171	345	237
TRINITY_DN105809_c0_g1_i1	894	1192	797	577	718	781	753	992	944
TRINITY_DN105848_c0_g1_i1	40	46	8	13	21	27	26	63	46
TRINITY_DN105850_c0_g2_i1	177	147	124	104	274	236	293	490	373
TRINITY_DN105885_c0_g1_i1	101.103	188.75	68	92.8674	116.524	94	133.853	139.145	132.788
TRINITY_DN105901_c0_g1_i1	15	20	15	15	23	14	20	23	17
TRINITY_DN105902_c0_g1_i1	1	8	5	3	4	6	11	19	6
TRINITY_DN105911_c1_g5_i1	45	79	36	20	49	55	76	94	61
TRINITY_DN105940_c0_g1_i2	25	44	28	13	23	18	37	47	23
TRINITY_DN105985_c0_g1_i1	4	5	3	6	8	4	1	4	2
TRINITY_DN106065_c0_g1_i2	429	820	602	339	298	390	448	683	496
TRINITY_DN106090_c0_g2_i1	1064	1421	942	768	1093	919	1042	1298	1045
TRINITY_DN106100_c0_g2_i1	48	56	35	37	76	55	59	94	68
TRINITY_DN106101_c0_g1_i1	4059	6234	4992	3780	3600	3644	4713	6789	4721
TRINITY_DN106130_c0_g1_i1	79	131	70	51	54	90	63	64	88
TRINITY_DN106138_c0_g2_i1	12.4362	27.9307	12.2238	5.28382	20.2647	26.9142	29.6511	28.3926	46.3306
TRINITY_DN106189_c0_g2_i1	121.819	189.853	101.434	78.1272	144.353	96.6975	182.443	194.325	148.73
TRINITY_DN106219_c0_g3_i1	789	1112	658	582	437	553	674	876	724
TRINITY_DN106229_c0_g1_i2	48	64	54	26	45	86	62	98	83
TRINITY_DN106256_c0_g3_i3	29	90	27	18	205	132	181	287	133
TRINITY_DN106296_c0_g1_i1	9	15	11	2	8	3	17	27	8
TRINITY_DN106298_c0_g1_i1	5	4	7	1	1	2	6	4	2
TRINITY_DN106339_c0_g2_i1	1	0	1	1	1	2	1	2	1
TRINITY_DN106354_c0_g2_i1	3	10	4	2	8	7	19	23	3
TRINITY_DN106366_c0_g5_i1	180	389	238	134	148	267	272	489	247
TRINITY_DN106368_c0_g2_i1	157	398	168	109	182	202	320	558	307
TRINITY_DN106392_c0_g2_i2	500	638	423	351	479	843	967	1721	905
TRINITY_DN106419_c0_g1_i2	131.64	123.197	117.637	80.9869	52.7326	76.1622	77.8021	181.409	154.158
TRINITY_DN106429_c0_g1_i1	4258	4556	3509	2532	2578	3760	2820	4736	3582
TRINITY_DN106447_c0_g1_i1	1520	2024	1407	1091	1258	1462	1296	2151	1656
TRINITY_DN106464_c0_g2_i1	32	51	22	17	25	26	26	55	41
TRINITY_DN106465_c0_g1_i1	1947	3154	2268	1465	1305	1799	1896	3119	2410
TRINITY_DN106476_c0_g1_i1	1947	2695	1727	1404	1039	1192	1461	2120	2251
TRINITY_DN106492_c0_g1_i4	8	23	12	15	18	9	30	83	11
TRINITY_DN106502_c0_g1_i1	41	64	49	35	41	80	60	125	95
TRINITY_DN106515_c0_g1_i1	52	65	30	35	55	26	42	61	53
TRINITY_DN106620_c0_g1_i1	203	380	211	154	243	230	329	476	305
TRINITY_DN106653_c0_g2_i1	322	405	278	216	378	340	367	371	436
TRINITY_DN106674_c0_g1_i1	7	12	13	10	9	12	3	8	12
TRINITY_DN106700_c0_g2_i1	368	766	434	319	324	415	445	672	480
TRINITY_DN106706_c0_g1_i4	623	819	498	450	577	478	341	766	496
TRINITY_DN106733_c0_g1_i1	242	310	204	183	211	266	186	330	309
TRINITY_DN106770_c0_g1_i1	1	7	4	5	4	6	13	44	4
TRINITY_DN106792_c0_g3_i1	2	0	0	0	0	1	0	1	0
TRINITY_DN106830_c0_g1_i1	2	4	1	1	1	1	2	3	0
TRINITY_DN106850_c0_g1_i1	621	773	672	393	481	561	370	724	659
TRINITY_DN106866_c0_g3_i1	37	25	51	13	28	75	52	153	100
TRINITY_DN106899_c0_g2_i1	4.09583	5	5	3	6.13724	6.32726	6.09869	19.1882	7
TRINITY_DN106923_c0_g1_i1	3	14	11	6	1	7	6	37	8
TRINITY_DN106942_c0_g1_i1	75.6714	115.632	54.1278	58.0836	58.6175	75.1437	94.0869	179.316	74.5708
TRINITY_DN106959_c0_g2_i1	2238	3406	2351	1754	1342	1860	2245	3120	2131
TRINITY_DN107055_c0_g1_i1	6	20	9	6	15	12	13	35	9
TRINITY_DN107060_c0_g1_i1	19.2618	40	19	12	24	27	36	95	27
TRINITY_DN107124_c0_g2_i1	4	4	0	3	0	3	4	5	1
TRINITY_DN107137_c0_g1_i1	16	15	10	11	14	13	24	53	15
TRINITY_DN107170_c0_g1_i1	2	5	2	0	3	0	2	1	9
TRINITY_DN107178_c0_g3_i1	955	1335	978	728	698	787	1152	1613	1183
TRINITY_DN107214_c0_g1_i1	49	67	53	43	45	57	36	64	60
TRINITY_DN107229_c0_g1_i1	0	5	1	3	1	0	2	0	2
TRINITY_DN107234_c0_g1_i1	123	158	101	79	155	170	258	563	123
TRINITY_DN107308_c0_g1_i1	142	142	120	87	103	103	100	182	147
TRINITY_DN107374_c0_g2_i1	38	42	32	23	20	38	69	101	39
TRINITY_DN107396_c0_g1_i2	89	187	79	80	88	99	133	258	160
TRINITY_DN107447_c0_g1_i1	2	0	1	2	0	2	0	5	0
TRINITY_DN107449_c0_g1_i2	839	1468	1043	640	642	625	717	1123	815
TRINITY_DN107450_c0_g3_i2	76	139	56	48	80	104	63	139	126
TRINITY_DN107472_c0_g1_i1	143	177	132	89	124	117	196	324	186
TRINITY_DN107473_c0_g2_i2	155	256	181	131	198	189	184.551	347.456	211
TRINITY_DN107522_c0_g2_i2	102	91	50	81	114	64	123	181	204
TRINITY_DN107524_c0_g1_i2	803.706	727.218	694.788	495.565	598.655	463.206	584.753	781.382	582.32
TRINITY_DN107530_c1_g1_i1	2454	5395	2924	2483	2785	3152	3042	4929	3959
TRINITY_DN107586_c0_g1_i2	447	659	550	263	219	359	622	955	748
TRINITY_DN107605_c0_g1_i1	23	27	15	3	10	10	12	30	23
TRINITY_DN107632_c0_g1_i1	1	1	1	1	1	6	1	3	3
TRINITY_DN107645_c0_g1_i1	411.896	571.899	356	319	348	379	410	587	468.927
TRINITY_DN107651_c0_g1_i1	16	17	10	20	15	13	10	22	15
TRINITY_DN107659_c0_g1_i1	825	1391	774	581	1085	884	986	1974	1436
TRINITY_DN107672_c0_g2_i1	9428	8692	10288	6431	4872	12348	13245	19830	13689
TRINITY_DN107696_c0_g1_i4	424	527	388	299	334	380	481	715	542
TRINITY_DN107704_c0_g1_i1	17887	11904	11551	14564	28355	13263	28342	22124	21397
TRINITY_DN107740_c0_g1_i1	92.3056	125.655	92.1365	72.1486	82.9569	64.6192	87.7115	121.852	85.4403
TRINITY_DN107742_c0_g1_i1	4	5	1	1	3	2	1	1	3
TRINITY_DN107748_c0_g3_i1	518	766	746	333	207	444	412	734	544
TRINITY_DN107751_c0_g1_i1	500	948	455	390	478	569	722	923	697
TRINITY_DN107757_c0_g1_i1	2242	2400	3560	3759	1572	2600	1282	2674	2671
TRINITY_DN107761_c0_g1_i1	47	63	44	19	31	67	59	67	65
TRINITY_DN107774_c0_g1_i2	2226	2812	2264	2165	2285	2277	2439	3353	2832
TRINITY_DN107777_c0_g6_i1	529.272	926.43	622.941	369.45	443.777	547.259	660.522	1132.05	789.625
TRINITY_DN107783_c0_g1_i1	22	34	8	28	33	16	20	38	20
TRINITY_DN107787_c0_g1_i1	424	740	484	338	415	474	497	772	597
TRINITY_DN107852_c0_g1_i2	506	752	508	390	435	492	647	953	672
TRINITY_DN107898_c0_g1_i1	284	393	269	220	297	201	245	281	277
TRINITY_DN107915_c0_g1_i1	10089	10347	5499	5158	3821	3880	6561	13969	15467
TRINITY_DN107920_c0_g1_i1	205	489	306	174	175	151	155	255	263
TRINITY_DN107928_c0_g1_i1	0	6	0	1	5	0	9	30	0
TRINITY_DN107988_c0_g2_i2	275	568	588	202	245	315	193	581	360
TRINITY_DN107990_c0_g1_i1	849	1068	698	658	1076	905	1196	1419	977
TRINITY_DN108052_c0_g1_i1	52	95	100	55	65	137	110	106	83
TRINITY_DN108061_c0_g1_i1	732	1072	743	514	710	691	745	1033	868
TRINITY_DN108071_c0_g1_i1	44	38	73	94	22	20	32	29	31
TRINITY_DN108116_c0_g2_i2	2138	3719	1970	1894	2873	2673	2880	3895	3090
TRINITY_DN108119_c0_g1_i1	222	103	141	95	87	116	159	147	183
TRINITY_DN10812_c0_g1_i1	800	874	626	504	283	502	638	1022	690
TRINITY_DN108126_c0_g2_i2	1502	2433	1264	918	1129	1753	1745	3209	2041
TRINITY_DN108144_c0_g2_i1	195	96	75	52	22	93	86	160	140
TRINITY_DN108146_c0_g1_i2	3409	4717	3185	3423	4014	3299	4328	4935	4272
TRINITY_DN108182_c0_g5_i1	1436	1824	832	1115	1774	1157	1402	1831	1404
TRINITY_DN108186_c0_g2_i5	339	355	142	207	343	447	340	385	285
TRINITY_DN108196_c0_g1_i1	218	547	237	169	379	392	426	672	505
TRINITY_DN108203_c0_g2_i1	8	13	4	15	14	8	37	64	56
TRINITY_DN108207_c0_g2_i1	6009	11559	3078	7295	13387	6707	12170	10072	12113
TRINITY_DN108215_c0_g1_i2	175	238	221	127	176	227	150	332	266
TRINITY_DN108227_c0_g1_i1	576	932	635	417	391	472	465	734	507
TRINITY_DN108243_c0_g2_i1	577	939	556	477	279	514	473	823	762
TRINITY_DN108276_c0_g2_i1	163	249	140	86	155	195	166	206	202
TRINITY_DN108300_c0_g1_i1	18.1957	42.685	19.2267	16.9112	35.7515	28.6139	16	33.2311	38.5501
TRINITY_DN108303_c0_g1_i1	52	79	47	38	58	117	90	127	144
TRINITY_DN108305_c0_g1_i1	0	2	0	0	0	0	0	6	0
TRINITY_DN108305_c0_g2_i1	2	2	2	1	2	1	1	10	1
TRINITY_DN108314_c0_g1_i2	132.956	248.706	129	127.073	235.641	203	268.614	566.846	251.234
TRINITY_DN108316_c0_g1_i1	495	768	470	436	472	579	710	1106	693
TRINITY_DN108339_c0_g1_i1	3	5	3	0	2	0	0	0	1
TRINITY_DN108376_c0_g1_i4	62.2122	109.64	49.9432	47.1638	44.5106	72.0724	72.7994	107.614	71.9004
TRINITY_DN108393_c0_g1_i2	78	56	33	31	75	26	34	121	79
TRINITY_DN108410_c0_g1_i1	45	70	47	33	44	94	76	115	98
