gid	gname	chr	logFC.XY43.XX43	tau	tissue	bias	dNdS	dN	dS	stage
TRINITY_DN109511_c0_g1_i1	NA	NA	-0.098430714	0.544332911	Brain_mean	unbias	0.0263	0.0492	1.8727	G43
TRINITY_DN109559_c0_g1_i1	NA	NA	0.063156627	0.436438364	Liver_mean	unbias	0.1326	0.2053	1.5487	G43
TRINITY_DN109817_c0_g1_i1	ctbp1	Chr01	0.24729904	0.499135008	Brain_mean	unbias	0.0695	0.0727	1.0463	G43
TRINITY_DN109879_c0_g1_i1	NA	NA	0.062383931	0.192989636	Ovary_mean	unbias	0.1064	0.1152	1.0825	G43
TRINITY_DN109991_c0_g1_i2	nfe2	Chr02	-0.320302741	0.199076815	Ovary_mean	unbias	0.0762	0.1381	1.8122	G43
TRINITY_DN110047_c0_g1_i3	NA	NA	0.432351379	0.361409154	Brain_mean	unbias	0.124	0.2167	1.7478	G43
TRINITY_DN110102_c0_g2_i3	NA	NA	0.14217041	0.326610653	Brain_mean	unbias	0.0216	0.0363	1.6819	G43
TRINITY_DN110248_c0_g1_i1	dis3l	Chr03	-0.030894828	0.629615748	Brain_mean	unbias	0.0129	0.0199	1.5477	G43
TRINITY_DN110307_c0_g1_i3	gclm	Chr04	-0.131824522	0.239844625	Ovary_mean	unbias	0.0399	0.0735	1.8415	G43
TRINITY_DN110587_c0_g1_i1	ubash3b	Chr07	-0.478012023	0.088343235	G27_mean	unbias	0.1585	0.1584	0.9991	G43
TRINITY_DN110750_c0_g1_i1	NA	NA	0.147538979	0.20446531	Testis_mean	unbias	0.0698	0.0976	1.3977	G43
TRINITY_DN110884_c0_g1_i2	tomm22	Chr04	-0.039384868	0.434323991	Ovary_mean	unbias	0.1472	0.216	1.4676	G43
TRINITY_DN110930_c0_g1_i1	dab2-like	Chr01	-0.374812761	0.360354251	G27_mean	unbias	0.0713	0.091	1.2768	G43
TRINITY_DN111096_c0_g1_i1	NA	NA	0.251789739	0.372466531	G43_M_mean	unbias	0.1598	0.3196	1.9997	G43
TRINITY_DN111221_c0_g1_i1	NA	NA	-0.138640968	0.42248944	Liver_mean	unbias	0.0231	0.033	1.4292	G43
TRINITY_DN111246_c0_g1_i4	slc31a2	Chr08	0.11265743	0.21519793	Ovary_mean	unbias	0.0614	0.083	1.351	G43
TRINITY_DN111292_c0_g1_i1	NA	NA	0.273753064	0.327892291	Ovary_mean	unbias	0.0596	0.1115	1.8711	G43
TRINITY_DN111370_c0_g2_i1	LOC100493411	Chr08	0.025415795	0.170696328	Ovary_mean	unbias	0.0318	0.0444	1.3962	G43
TRINITY_DN111460_c0_g3_i3	NA	NA	0.081658024	0.196772412	G23_mean	unbias	0.0195	0.0343	1.7571	G43
TRINITY_DN111504_c0_g1_i1	ints8	Chr06	-0.572019302	0.186796027	Ovary_mean	unbias	0.0757	0.1377	1.8203	G43
TRINITY_DN111536_c1_g1_i1	NA	NA	0.070878507	0.763702196	Brain_mean	unbias	0.0723	0.1132	1.5659	G43
TRINITY_DN111683_c1_g3_i4	NA	NA	0.36595641	0.661410431	Brain_mean	unbias	0.0893	0.0946	1.0591	G43
TRINITY_DN111719_c1_g1_i1	NA	NA	-0.016159026	0.38321206	Ovary_mean	unbias	0.0652	0.12	1.8406	G43
TRINITY_DN112043_c0_g1_i1	NA	NA	-0.14335164	0.225408979	Brain_mean	unbias	0.0177	0.026	1.4702	G43
TRINITY_DN112100_c0_g1_i1	NA	NA	-0.290754603	0.159772746	Ovary_mean	unbias	0.0052	0.0093	1.7907	G43
TRINITY_DN112165_c1_g1_i2	NA	NA	-0.289703741	0.089770068	Ovary_mean	unbias	0.0245	0.0279	1.1382	G43
TRINITY_DN112199_c0_g1_i2	NA	NA	-0.036532257	0.279228907	Brain_mean	unbias	0.0991	0.1499	1.5118	G43
TRINITY_DN112238_c0_g7_i3	NA	NA	0.348639927	0.504279107	G23_mean	unbias	0.1107	0.1991	1.7987	G43
TRINITY_DN112304_c0_g1_i1	NA	NA	-0.103228644	0.401840136	G43_M_mean	unbias	0.1211	0.1572	1.2978	G43
TRINITY_DN112362_c1_g2_i1	NA	NA	0.538155724	0.503498776	Brain_mean	unbias	0.0449	0.0522	1.1629	G43
TRINITY_DN112607_c0_g1_i1	NA	NA	-0.075310438	0.329087939	Brain_mean	unbias	0.0674	0.0589	0.8734	G43
TRINITY_DN112665_c0_g1_i1	NA	NA	-0.0767638	0.178643141	G46_M_mean	unbias	0.1141	0.1651	1.4464	G43
TRINITY_DN112734_c0_g2_i8	NA	NA	1.099461056	0.532486329	Brain_mean	unbias	0.0651	0.1034	1.5888	G43
TRINITY_DN112753_c0_g1_i1	NA	NA	-0.213786199	0.249927739	Ovary_mean	unbias	0.1428	0.2327	1.6291	G43
TRINITY_DN112796_c0_g1_i1	nedd9	Chr06	0.116743912	0.517336535	G27_mean	unbias	0.113	0.1915	1.6948	G43
TRINITY_DN112819_c0_g1_i1	NA	NA	-0.37437896	0.311313473	G23_mean	unbias	0.1195	0.193	1.6153	G43
TRINITY_DN112889_c0_g1_i1	kti12	Chr03	0.386131506	0.297572269	Brain_mean	unbias	0.0327	0.0374	1.1424	G43
TRINITY_DN112986_c0_g1_i1	NA	NA	-0.556896747	0.068818111	Brain_mean	unbias	0.1108	0.0903	0.8153	G43
TRINITY_DN113047_c0_g1_i1	NA	NA	-0.427963737	0.431980594	Brain_mean	unbias	0.1012	0.1719	1.6991	G43
TRINITY_DN113204_c0_g2_i1	NA	NA	-0.403423892	0.495647836	Ovary_mean	unbias	0.0069	0.0124	1.8076	G43
TRINITY_DN113259_c0_g1_i1	NA	NA	-0.576214355	0.235661385	Ovary_mean	unbias	0.2083	0.1953	0.9373	G43
TRINITY_DN113391_c0_g1_i1	NA	NA	-0.588511399	0.279050334	Ovary_mean	unbias	0.1232	0.2242	1.8203	G43
TRINITY_DN113502_c0_g1_i1	fam110c	Chr05	0.028407861	0.102770661	G23_mean	unbias	0.0133	0.0108	0.8076	G43
TRINITY_DN113528_c0_g1_i1	Xetrov90013120m	Chr05	0.044855119	0.448152209	Brain_mean	unbias	0.1014	0.1939	1.9129	G43
TRINITY_DN113591_c0_g1_i1	NA	NA	0.500316815	0.426753659	G43_M_mean	unbias	0.0768	0.0975	1.2685	G43
TRINITY_DN113593_c0_g1_i1	ccdc28a-like	Chr05	-0.400137706	0.474659407	Ovary_mean	unbias	0.1695	0.2045	1.2069	G43
TRINITY_DN113670_c0_g1_i2	NA	NA	0.402492111	0.529477668	Ovary_mean	unbias	0.0739	0.1388	1.8788	G43
TRINITY_DN113732_c1_g1_i1	NA	NA	-0.066123752	0.116821427	G23_mean	unbias	0.0072	0.0074	1.0296	G43
TRINITY_DN113850_c0_g1_i2	NA	NA	-0.224788533	0.285066458	G23_mean	unbias	0.255	0.2396	0.9398	G43
TRINITY_DN114047_c0_g1_i2	NA	NA	0.139822852	0.345711133	G27_mean	unbias	0.0592	0.0947	1.6007	G43
TRINITY_DN114091_c0_g2_i3	ern2	Chr09	0.285768799	0.4294977	G43_M_mean	unbias	0.091	0.1498	1.6467	G43
TRINITY_DN114120_c0_g1_i1	LOC100485912	Chr08	0.094199991	0.132581904	Ovary_mean	unbias	0.1318	0.25	1.8973	G43
TRINITY_DN114132_c1_g1_i2	NA	NA	-0.116245204	0.385729716	Brain_mean	unbias	0.0558	0.1096	1.9649	G43
TRINITY_DN114178_c0_g1_i2	cdk15	Chr09	-0.404193551	0.206742801	G43_F_mean	unbias	0.1732	0.2866	1.655	G43
TRINITY_DN114340_c0_g2_i2	NA	NA	-0.11553638	0.536616274	Brain_mean	unbias	0.0294	0.0473	1.6105	G43
TRINITY_DN114416_c0_g2_i3	NA	NA	-0.097047989	0.358449806	Brain_mean	unbias	0.0918	0.1794	1.9537	G43
TRINITY_DN114586_c0_g1_i1	NA	NA	-0.030556126	0.16744915	Brain_mean	unbias	0.0023	0.0024	1.0553	G43
TRINITY_DN114618_c0_g1_i5	LOC100490614	Chr07	-0.116876859	0.094150571	Ovary_mean	unbias	0.1424	0.0763	0.5355	G43
TRINITY_DN114653_c0_g2_i1	hnrnpa0	Chr03	-0.425270664	0.118970519	G27_mean	unbias	0.0612	0.1138	1.858	G43
TRINITY_DN114656_c0_g2_i1	mypn-like	Chr07	-0.076882954	0.275894304	Ovary_mean	unbias	0.0544	0.0727	1.3371	G43
TRINITY_DN114755_c0_g1_i2	NA	NA	0.403355166	0.457183491	Testis_mean	unbias	0.0927	0.1144	1.2337	G43
TRINITY_DN114808_c0_g1_i1	NA	NA	-0.003680283	0.36296448	Ovary_mean	unbias	0.072	0.1182	1.641	G43
TRINITY_DN114942_c0_g1_i1	nol4-like	Chr06	-0.703442811	0.237026096	G43_F_mean	unbias	0.0586	0.1103	1.8842	G43
TRINITY_DN115052_c1_g1_i1	NA	NA	0.441032221	0.27623535	Ovary_mean	unbias	0.0766	0.1379	1.8005	G43
TRINITY_DN115157_c0_g1_i1	commd1	Chr05	0.115646298	0.299454368	Testis_mean	unbias	0.0817	0.1155	1.4125	G43
TRINITY_DN115195_c0_g1_i1	NA	NA	-0.431165226	0.496236918	Brain_mean	unbias	0.0834	0.0754	0.9031	G43
TRINITY_DN115232_c1_g1_i1	NA	NA	-0.355895239	0.161091113	G27_mean	unbias	0.0296	0.0464	1.5655	G43
TRINITY_DN115267_c0_g1_i2	NA	NA	0.464115666	0.319631858	G31_mean	unbias	0.1018	0.2003	1.9677	G43
TRINITY_DN115346_c0_g2_i1	NA	NA	-0.261116876	0.16883627	Ovary_mean	unbias	0.0662	0.0572	0.8641	G43
TRINITY_DN115501_c0_g2_i1	NA	NA	0.050199945	0.279364154	Ovary_mean	unbias	0.1755	0.3237	1.845	G43
TRINITY_DN115511_c0_g1_i1	NA	NA	0.274204899	0.305979071	Ovary_mean	unbias	0.1448	0.2774	1.916	G43
TRINITY_DN115620_c0_g2_i1	tmem39b	Chr02	-0.024316853	0.105141379	G23_mean	unbias	0.0379	0.0495	1.3069	G43
TRINITY_DN115720_c0_g1_i1	NA	NA	-0.427984013	0.310928189	Ovary_mean	unbias	0.0403	0.0493	1.2236	G43
TRINITY_DN115827_c0_g3_i1	NA	NA	-0.255090837	0.269934657	Ovary_mean	unbias	0.0733	0.1257	1.7146	G43
TRINITY_DN115833_c0_g3_i2	NA	NA	0.206953832	0.224063779	Brain_mean	unbias	0.055	0.0839	1.5248	G43
TRINITY_DN115972_c0_g1_i1	rhou	Chr08	0.399507468	0.541635145	Ovary_mean	unbias	0.0692	0.0798	1.153	G43
TRINITY_DN115979_c0_g3_i5	NA	NA	-0.015896383	0.129502285	Ovary_mean	unbias	0.1014	0.1413	1.3934	G43
TRINITY_DN116051_c0_g1_i1	NA	NA	0.085217499	0.355411592	G27_mean	unbias	0.2453	0.3893	1.587	G43
TRINITY_DN116115_c0_g1_i2	NA	NA	-0.620967919	0.375853775	Ovary_mean	unbias	0.0415	0.0826	1.9888	G43
TRINITY_DN116142_c0_g1_i1	NA	NA	-0.319705718	0.09891693	Brain_mean	unbias	0.0021	0.0023	1.1045	G43
TRINITY_DN116146_c0_g1_i1	sptan1	Chr08	-0.19635604	0.091603204	G23_mean	unbias	0.0355	0.0668	1.8827	G43
TRINITY_DN116186_c0_g1_i2	tnnc2	Chr10	0.306792042	0.295312158	G43_M_mean	unbias	0.0804	0.135	1.6793	G43
TRINITY_DN116211_c0_g1_i1	NA	NA	-0.043886559	0.445025882	G27_mean	unbias	0.0802	0.1507	1.8784	G43
TRINITY_DN116275_c1_g1_i2	sowaha	Chr03	-0.042350871	0.206781997	G43_M_mean	unbias	0.2271	0.2998	1.3199	G43
TRINITY_DN116305_c1_g1_i2	NA	NA	-0.055720583	0.109673667	Liver_mean	unbias	0.0568	0.0723	1.2722	G43
TRINITY_DN116333_c0_g1_i1	cebpz	Chr05	-0.432160916	0.11506155	Testis_mean	unbias	0.0272	0.0526	1.9305	G43
TRINITY_DN116360_c0_g1_i2	NA	NA	-0.42294808	0.097100677	G23_mean	unbias	0.0652	0.0858	1.3168	G43
TRINITY_DN116389_c0_g1_i1	NA	NA	0.23840899	0.182362688	Ovary_mean	unbias	0.086	0.1448	1.6835	G43
TRINITY_DN116410_c0_g2_i2	NA	NA	-0.156458687	0.313805914	Ovary_mean	unbias	0.1114	0.1568	1.4079	G43
TRINITY_DN116479_c0_g2_i1	LOC101730228-like.2	Chr07	-0.087090047	0.269358873	Brain_mean	unbias	0.0905	0.1193	1.3179	G43
TRINITY_DN116513_c0_g3_i1	NA	NA	-0.317176262	0.271422213	Ovary_mean	unbias	0.1539	0.1956	1.2706	G43
TRINITY_DN116527_c0_g1_i1	lrrn4cl	Chr04	-0.021465884	0.269117658	G23_mean	unbias	0.0041	0.0039	0.9416	G43
TRINITY_DN116585_c0_g1_i1	LOC100490204-like	Chr08	-0.532399318	0.288221912	Ovary_mean	unbias	0.1023	0.1609	1.5733	G43
TRINITY_DN116633_c0_g1_i1	NA	NA	0.156503701	0.301808461	Ovary_mean	unbias	0.0858	0.1119	1.3044	G43
TRINITY_DN116639_c0_g1_i2	NA	NA	-0.329140295	0.114297233	G23_mean	unbias	0.0632	0.1255	1.9847	G43
TRINITY_DN116830_c0_g1_i1	NA	NA	-0.463421721	0.223945338	Ovary_mean	unbias	0.0409	0.0643	1.5723	G43
TRINITY_DN116866_c0_g1_i1	NA	NA	0.378296197	0.21312925	G46_M_mean	unbias	0.0624	0.0964	1.5449	G43
TRINITY_DN116944_c0_g1_i1	cope	Chr01	-0.376349552	0.260308767	Ovary_mean	unbias	0.0947	0.1686	1.7807	G43
TRINITY_DN116983_c0_g1_i1	NA	NA	-0.031178228	0.187010596	G27_mean	unbias	0.0337	0.0525	1.5581	G43
TRINITY_DN117203_c0_g3_i1	ubxn6	Chr01	0.267163908	0.385131027	Brain_mean	unbias	0.027	0.0278	1.0314	G43
TRINITY_DN117253_c0_g2_i1	NA	NA	0.402747128	0.265955148	Ovary_mean	unbias	0.0068	0.0103	1.5289	G43
TRINITY_DN117274_c0_g1_i1	NA	NA	0.363966106	0.22828748	Brain_mean	unbias	0.0469	0.0675	1.4394	G43
TRINITY_DN117338_c0_g1_i3	NA	NA	-0.312720444	0.266423245	G23_mean	unbias	0.1304	0.2292	1.758	G43
TRINITY_DN117383_c0_g1_i2	NA	NA	-0.309755632	0.165778066	Brain_mean	unbias	0.0121	0.0209	1.7263	G43
TRINITY_DN117421_c0_g1_i2	NA	NA	-0.423067753	0.236968026	Ovary_mean	unbias	0.0541	0.0748	1.3824	G43
TRINITY_DN117472_c0_g7_i2	NA	NA	0.776934985	0.309487323	Brain_mean	unbias	0.038	0.0677	1.7823	G43
TRINITY_DN117479_c0_g1_i1	NA	NA	0.129706899	0.505186427	Brain_mean	unbias	0.0911	0.1569	1.7217	G43
TRINITY_DN117492_c0_g1_i3	NA	NA	-0.233522091	0.316394284	Ovary_mean	unbias	0.0464	0.0766	1.6516	G43
TRINITY_DN117502_c1_g2_i1	NA	NA	-0.203406398	0.229778665	Liver_mean	unbias	0.0439	0.0703	1.6015	G43
TRINITY_DN117533_c1_g1_i2	tgfb2	Chr05	0.576583825	0.199298942	G43_M_mean	unbias	0.1496	0.1838	1.2284	G43
TRINITY_DN117562_c0_g1_i1	NA	NA	-0.396223044	0.087679687	Ovary_mean	unbias	0.0316	0.0563	1.7849	G43
TRINITY_DN117580_c0_g1_i2	NA	NA	-0.029766619	0.519793218	Ovary_mean	unbias	0.1012	0.147	1.4516	G43
TRINITY_DN117599_c0_g1_i1	atp10a	Chr02	-0.157743431	0.16267972	Brain_mean	unbias	0.0967	0.1512	1.5647	G43
TRINITY_DN117670_c1_g2_i1	NA	NA	0.051987265	0.207567497	Ovary_mean	unbias	0.0899	0.1206	1.3409	G43
TRINITY_DN117699_c0_g1_i2	NA	NA	0.53326274	0.277963869	Brain_mean	unbias	0.0199	0.0376	1.893	G43
TRINITY_DN117709_c0_g1_i3	NA	NA	0.023138708	0.120804002	G27_mean	unbias	0.2034	0.361	1.7749	G43
TRINITY_DN117737_c0_g1_i2	NA	NA	-0.180093722	0.114325173	G27_mean	unbias	0.0283	0.0403	1.4222	G43
TRINITY_DN117774_c0_g1_i4	NA	NA	0.020720434	0.19713624	Ovary_mean	unbias	0.0416	0.0523	1.2592	G43
