gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46	ID	tau	tissue
TRINITY_DN10201_c0_g1_i1	senp8	Chr03	82450240	82450240	3.365430667	-4.275431453	2.51E-22	1.57E-20	TRINITY_DN10201_c0_g1_i1	0.724792981732583	G46_F_mean
TRINITY_DN102065_c0_g1_i1	LOC101733140	Chr04	14965134	14965134	6.108347516	-2.156195295	6.53E-11	1.53E-09	TRINITY_DN102065_c0_g1_i1	0.403031814059715	Ovary_mean
TRINITY_DN102078_c0_g1_i1	naf1	Chr01	42692844	42692844	5.511987416	-1.099192848	0.001625136	0.010430393	TRINITY_DN102078_c0_g1_i1	0.253002841736777	Ovary_mean
TRINITY_DN102272_c0_g1_i1	NA	NA	NA	NA	4.074535052	-1.473375874	4.22E-05	0.000398646	TRINITY_DN102272_c0_g1_i1	0.421140065250922	Ovary_mean
TRINITY_DN102362_c0_g1_i1	NA	NA	NA	NA	5.295535571	-1.08623556	0.000208304	0.001684053	TRINITY_DN102362_c0_g1_i1	0.22158192528708	Ovary_mean
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	4.170125597	-2.968329919	5.42E-11	1.28E-09	TRINITY_DN102365_c0_g1_i1	0.485979641007744	Ovary_mean
TRINITY_DN102409_c0_g1_i1	rem1	scaffold_2533	2137	2137	0.707822664	-3.884454614	3.10E-07	4.35E-06	TRINITY_DN102409_c0_g1_i1	0.807670714962983	G46_F_mean
TRINITY_DN102412_c0_g1_i1	NA	NA	NA	NA	0.876485628	-2.48481871	2.69E-06	3.23E-05	TRINITY_DN102412_c0_g1_i1	0.660680262770739	G46_F_mean
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	5.354731398	-1.803984961	2.09E-09	4.03E-08	TRINITY_DN102444_c0_g1_i1	0.342235666052996	Ovary_mean
TRINITY_DN102559_c0_g2_i1	NA	NA	NA	NA	3.774431396	-2.510943909	6.15E-08	9.62E-07	TRINITY_DN102559_c0_g2_i1	0.445084774486419	Ovary_mean
TRINITY_DN102581_c0_g1_i2	NA	NA	NA	NA	1.41200593	-5.202101884	9.15E-19	4.54E-17	TRINITY_DN102581_c0_g1_i2	0.737419528366986	Ovary_mean
TRINITY_DN102628_c0_g1_i1	NA	NA	NA	NA	3.114514838	-6.942247868	1.60E-38	2.15E-36	TRINITY_DN102628_c0_g1_i1	0.870576840138494	Ovary_mean
TRINITY_DN102702_c0_g1_i1	NA	NA	NA	NA	4.040897234	-2.263597308	3.02E-11	7.35E-10	TRINITY_DN102702_c0_g1_i1	0.361097661465348	Ovary_mean
TRINITY_DN102894_c0_g1_i2	NA	NA	NA	NA	5.998675446	-14.88551524	7.32E-94	1.14E-90	TRINITY_DN102894_c0_g1_i2	0.867868074691997	Ovary_mean
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	5.700771851	-11.94937372	2.70E-96	7.04E-93	TRINITY_DN102894_c0_g2_i1	0.846612067067892	Ovary_mean
TRINITY_DN103500_c0_g1_i1	NA	NA	NA	NA	4.156680145	-1.203849282	0.00012495	0.001062881	TRINITY_DN103500_c0_g1_i1	0.283480735490773	Ovary_mean
TRINITY_DN103526_c0_g1_i1	NA	NA	NA	NA	1.917806424	-2.409666638	1.07E-06	1.39E-05	TRINITY_DN103526_c0_g1_i1	0.601049356729616	Ovary_mean
TRINITY_DN103537_c0_g1_i1	NA	NA	NA	NA	2.727330605	-1.951589137	6.90E-07	9.21E-06	TRINITY_DN103537_c0_g1_i1	0.473927076536884	Ovary_mean
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	7.183488884	-1.371772163	3.17E-05	0.000307219	TRINITY_DN103549_c0_g1_i1	0.287912191736214	Ovary_mean
TRINITY_DN103557_c0_g2_i2	NA	NA	NA	NA	5.41429887	-1.152357093	0.000179177	0.001471957	TRINITY_DN103557_c0_g2_i2	0.303549566132396	Ovary_mean
TRINITY_DN103565_c0_g1_i1	NA	NA	NA	NA	3.743330553	-1.729409902	1.89E-06	2.34E-05	TRINITY_DN103565_c0_g1_i1	0.516075376501107	Ovary_mean
TRINITY_DN103565_c0_g4_i1	NA	NA	NA	NA	0.037618565	-5.01153916	5.93E-09	1.08E-07	TRINITY_DN103565_c0_g4_i1	0.904829465972751	Ovary_mean
TRINITY_DN103621_c0_g1_i2	NA	NA	NA	NA	3.77826955	-3.807957397	9.33E-19	4.62E-17	TRINITY_DN103621_c0_g1_i2	0.656361492546055	Ovary_mean
TRINITY_DN103622_c0_g3_i3	dhx15	Chr01	21109905	21109905	4.435799414	-3.268973096	3.84E-19	1.95E-17	TRINITY_DN103622_c0_g3_i3	0.490328286919476	Ovary_mean
TRINITY_DN103637_c0_g1_i1	NA	NA	NA	NA	3.165584784	-3.259103652	3.12E-17	1.36E-15	TRINITY_DN103637_c0_g1_i1	0.557196878141368	Ovary_mean
TRINITY_DN103637_c0_g2_i1	NA	NA	NA	NA	5.157001326	-14.0437609	2.27E-62	6.51E-60	TRINITY_DN103637_c0_g2_i1	0.856251526845784	Ovary_mean
TRINITY_DN103653_c0_g1_i1	NA	NA	NA	NA	1.566383364	-1.734627143	0.000400273	0.003029805	TRINITY_DN103653_c0_g1_i1	0.765978192417874	Brain_mean
TRINITY_DN103741_c0_g1_i2	NA	NA	NA	NA	3.36795765	-3.891943868	4.26E-19	2.16E-17	TRINITY_DN103741_c0_g1_i2	0.665037908744162	Ovary_mean
TRINITY_DN103744_c0_g1_i2	NA	NA	NA	NA	8.307318732	-1.058121347	0.00374557	0.021347865	TRINITY_DN103744_c0_g1_i2	0.145671446984436	G23_mean
TRINITY_DN103783_c0_g1_i1	NA	NA	NA	NA	3.997661486	-1.131018074	0.000532463	0.003905931	TRINITY_DN103783_c0_g1_i1	0.454331591697296	Ovary_mean
TRINITY_DN103798_c0_g1_i1	ercc3	scaffold_33	1195941	1195941	6.865112502	-13.09839422	2.44E-96	7.04E-93	TRINITY_DN103798_c0_g1_i1	0.841909767891541	Ovary_mean
TRINITY_DN103812_c0_g1_i2	NA	NA	NA	NA	6.418799074	-1.644247088	1.44E-07	2.13E-06	TRINITY_DN103812_c0_g1_i2	0.28178985948072	G46_F_mean
TRINITY_DN103834_c0_g12_i1	NA	NA	NA	NA	1.51537941	-3.476691747	1.64E-05	0.000168831	TRINITY_DN103834_c0_g12_i1	0.534394985571354	G46_F_mean
TRINITY_DN103834_c0_g3_i1	NA	NA	NA	NA	1.32039833	-1.902529033	0.000182246	0.001493719	TRINITY_DN103834_c0_g3_i1	0.492756494292968	Ovary_mean
TRINITY_DN103834_c0_g4_i1	NA	NA	NA	NA	0.954605579	-2.316146517	7.06E-06	7.80E-05	TRINITY_DN103834_c0_g4_i1	0.520487004623414	G46_F_mean
TRINITY_DN103834_c0_g9_i1	NA	NA	NA	NA	3.884372493	-2.071580799	2.92E-05	0.000284795	TRINITY_DN103834_c0_g9_i1	0.332019356883403	Brain_mean
TRINITY_DN103838_c0_g1_i1	NA	NA	NA	NA	6.564025243	-6.646268876	1.21E-48	2.24E-46	TRINITY_DN103838_c0_g1_i1	0.745128048641171	Ovary_mean
TRINITY_DN103860_c0_g1_i1	NA	NA	NA	NA	4.252353958	-3.103173561	5.72E-21	3.26E-19	TRINITY_DN103860_c0_g1_i1	0.575758460011373	Ovary_mean
TRINITY_DN103897_c0_g2_i1	NA	NA	NA	NA	5.590727297	-10.24131002	1.48E-56	3.42E-54	TRINITY_DN103897_c0_g2_i1	0.853466082378608	Ovary_mean
TRINITY_DN103912_c0_g1_i1	NA	NA	NA	NA	5.060107068	-1.24876975	0.000206415	0.001670405	TRINITY_DN103912_c0_g1_i1	0.414787075153102	Brain_mean
TRINITY_DN103989_c0_g1_i1	NA	NA	NA	NA	5.130627578	-1.035593199	0.000334329	0.00259524	TRINITY_DN103989_c0_g1_i1	0.253272653599933	Ovary_mean
TRINITY_DN104090_c1_g2_i1	scara3-like	scaffold_786	771	771	2.510126351	-1.07516099	0.00514349	0.027808489	TRINITY_DN104090_c1_g2_i1	0.26412316581363	G23_mean
TRINITY_DN104207_c0_g1_i1	NA	NA	NA	NA	1.036145319	-3.681619619	5.82E-08	9.13E-07	TRINITY_DN104207_c0_g1_i1	0.692934561937111	Ovary_mean
TRINITY_DN104240_c0_g1_i1	NA	NA	NA	NA	3.995072609	-1.067679789	0.002982035	0.017586886	TRINITY_DN104240_c0_g1_i1	0.222010423477025	Ovary_mean
TRINITY_DN104337_c0_g1_i1	NA	NA	NA	NA	3.982309478	-1.095422433	0.00098962	0.006734543	TRINITY_DN104337_c0_g1_i1	0.384740900481461	Brain_mean
TRINITY_DN104365_c0_g3_i1	NA	NA	NA	NA	3.761647977	-1.070400221	0.002972981	0.017541782	TRINITY_DN104365_c0_g3_i1	0.42780553379623	Ovary_mean
TRINITY_DN104383_c0_g4_i1	NA	NA	NA	NA	0.436706688	-2.555816091	6.48E-06	7.23E-05	TRINITY_DN104383_c0_g4_i1	0.694805292203545	Ovary_mean
TRINITY_DN104463_c0_g1_i1	NA	NA	NA	NA	0.314517555	-1.92978696	0.000398618	0.003019113	TRINITY_DN104463_c0_g1_i1	0.466391725083502	Ovary_mean
TRINITY_DN104496_c0_g2_i1	NA	NA	NA	NA	1.124329429	-3.096085064	8.89E-09	1.58E-07	TRINITY_DN104496_c0_g2_i1	0.77907353166894	Ovary_mean
TRINITY_DN104550_c0_g2_i1	NA	NA	NA	NA	3.292348099	-2.253810255	2.43E-09	4.64E-08	TRINITY_DN104550_c0_g2_i1	0.542801630755976	Ovary_mean
TRINITY_DN104654_c0_g1_i1	ino80	Chr08	95309657	95309657	1.826191733	-2.099046875	1.06E-05	0.00011315	TRINITY_DN104654_c0_g1_i1	0.632622505789773	Ovary_mean
TRINITY_DN104751_c0_g1_i2	NA	NA	NA	NA	4.502586786	-1.464496149	7.99E-07	1.05E-05	TRINITY_DN104751_c0_g1_i2	0.383417862586942	Ovary_mean
TRINITY_DN104812_c0_g1_i2	NA	NA	NA	NA	3.137574751	-1.68479093	4.26E-06	4.90E-05	TRINITY_DN104812_c0_g1_i2	0.403657191930535	Ovary_mean
TRINITY_DN104835_c0_g1_i2	NA	NA	NA	NA	4.970896041	-1.662865636	3.49E-08	5.66E-07	TRINITY_DN104835_c0_g1_i2	0.225475585341768	G46_F_mean
TRINITY_DN104838_c0_g1_i1	NA	NA	NA	NA	0.514297026	-1.532800673	0.007013744	0.035942014	TRINITY_DN104838_c0_g1_i1	0.744429372442488	Ovary_mean
TRINITY_DN104942_c0_g1_i2	NA	NA	NA	NA	5.476695078	-2.076065602	2.18E-10	4.77E-09	TRINITY_DN104942_c0_g1_i2	0.319365462231545	Ovary_mean
TRINITY_DN105140_c0_g1_i1	NA	NA	NA	NA	2.356444232	-1.742829928	0.000480113	0.003556432	TRINITY_DN105140_c0_g1_i1	0.427258851648458	G46_F_mean
TRINITY_DN105215_c0_g1_i1	NA	NA	NA	NA	4.397386178	-1.612990255	1.86E-07	2.70E-06	TRINITY_DN105215_c0_g1_i1	0.451281292772738	Ovary_mean
TRINITY_DN105386_c0_g2_i1	NA	NA	NA	NA	4.278795497	-1.8573342	2.25E-08	3.74E-07	TRINITY_DN105386_c0_g2_i1	0.509795859377396	Ovary_mean
TRINITY_DN105440_c0_g1_i1	NA	NA	NA	NA	4.0286748	-4.071972548	9.92E-27	8.27E-25	TRINITY_DN105440_c0_g1_i1	0.660503475018424	Ovary_mean
TRINITY_DN105453_c0_g1_i1	slc27a4	Chr08	7891739	7891739	5.530570521	-1.249512122	8.84E-05	0.00077895	TRINITY_DN105453_c0_g1_i1	0.332925800920395	Ovary_mean
TRINITY_DN105455_c0_g3_i1	NA	NA	NA	NA	1.289397265	-3.137029265	4.86E-08	7.72E-07	TRINITY_DN105455_c0_g3_i1	0.664385223992697	Ovary_mean
TRINITY_DN105472_c0_g3_i2	NA	NA	NA	NA	6.780193922	-1.543547266	2.29E-06	2.80E-05	TRINITY_DN105472_c0_g3_i2	0.277518007337507	Ovary_mean
TRINITY_DN105525_c0_g1_i1	NA	NA	NA	NA	1.583472978	-6.587444528	5.19E-24	3.55E-22	TRINITY_DN105525_c0_g1_i1	0.837235120029264	Ovary_mean
TRINITY_DN105560_c0_g1_i2	NA	NA	NA	NA	4.576257724	-1.265767355	3.15E-05	0.000305903	TRINITY_DN105560_c0_g1_i2	0.374118585513072	Ovary_mean
TRINITY_DN105578_c0_g1_i1	NA	NA	NA	NA	1.661863474	-4.703992967	9.88E-16	3.76E-14	TRINITY_DN105578_c0_g1_i1	0.754051954388796	Ovary_mean
TRINITY_DN105601_c0_g1_i1	NA	NA	NA	NA	6.700928349	-5.008871934	4.79E-40	6.87E-38	TRINITY_DN105601_c0_g1_i1	0.654871744282291	Ovary_mean
TRINITY_DN105624_c0_g1_i1	NA	NA	NA	NA	3.817293593	-10.84079259	1.39E-61	3.91E-59	TRINITY_DN105624_c0_g1_i1	0.912901138177901	Ovary_mean
TRINITY_DN105647_c0_g2_i1	NA	NA	NA	NA	6.986414829	-11.81141532	4.45E-96	1.01E-92	TRINITY_DN105647_c0_g2_i1	0.856680274077789	Ovary_mean
TRINITY_DN105682_c0_g3_i1	NA	NA	NA	NA	2.598274108	-1.792830821	2.23E-06	2.73E-05	TRINITY_DN105682_c0_g3_i1	0.384512991957076	Ovary_mean
TRINITY_DN105941_c0_g1_i1	NA	NA	NA	NA	2.745800423	-1.582370867	0.00011465	0.000983654	TRINITY_DN105941_c0_g1_i1	0.469810406333218	Ovary_mean
TRINITY_DN106065_c0_g1_i2	NA	NA	NA	NA	4.891689985	-1.299027206	2.39E-05	0.000237377	TRINITY_DN106065_c0_g1_i2	0.424193038589614	Ovary_mean
TRINITY_DN106219_c0_g3_i1	NA	NA	NA	NA	5.236711049	-1.940058898	1.91E-10	4.23E-09	TRINITY_DN106219_c0_g3_i1	0.31634252368643	Ovary_mean
TRINITY_DN106464_c0_g2_i1	NA	NA	NA	NA	1.667945533	-2.390172886	3.91E-07	5.41E-06	TRINITY_DN106464_c0_g2_i1	0.725671081109346	Brain_mean
TRINITY_DN106700_c0_g2_i1	NA	NA	NA	NA	5.186514292	-1.739884217	1.61E-08	2.73E-07	TRINITY_DN106700_c0_g2_i1	0.395304894716575	Ovary_mean
TRINITY_DN106700_c0_g5_i1	NA	NA	NA	NA	0.820242713	-1.862735006	0.000691038	0.00490891	TRINITY_DN106700_c0_g5_i1	0.445334120288514	Ovary_mean
TRINITY_DN106815_c0_g2_i2	NA	NA	NA	NA	6.263157455	-2.024925012	1.36E-09	2.68E-08	TRINITY_DN106815_c0_g2_i2	0.351170742849132	Ovary_mean
TRINITY_DN106850_c0_g1_i1	NA	NA	NA	NA	4.499714129	-1.074690577	0.003298309	0.019197929	TRINITY_DN106850_c0_g1_i1	0.18500480997471	Ovary_mean
TRINITY_DN106873_c0_g1_i2	NA	NA	NA	NA	3.608325799	-6.0798219	1.52E-42	2.29E-40	TRINITY_DN106873_c0_g1_i2	0.686129773624598	Ovary_mean
TRINITY_DN106942_c0_g1_i1	NA	NA	NA	NA	2.503856309	-1.878857317	6.81E-06	7.55E-05	TRINITY_DN106942_c0_g1_i1	0.581132540652457	Ovary_mean
TRINITY_DN106948_c0_g1_i1	lamp2	Chr08	24855484	24855484	5.143677149	-1.829849598	1.10E-09	2.19E-08	TRINITY_DN106948_c0_g1_i1	0.315232281241637	Ovary_mean
TRINITY_DN107012_c1_g2_i1	NA	NA	NA	NA	2.167812939	-1.553194591	0.006295612	0.032842262	TRINITY_DN107012_c1_g2_i1	0.406474983955511	G46_F_mean
TRINITY_DN107308_c0_g1_i1	wasl	Chr03	60799665	60799665	2.501392779	-1.203030321	0.0016656	0.010657842	TRINITY_DN107308_c0_g1_i1	0.490766136918827	Ovary_mean
TRINITY_DN107311_c0_g1_i1	NA	NA	NA	NA	1.649994517	-2.159490618	0.000127173	0.001079951	TRINITY_DN107311_c0_g1_i1	0.628512899760969	Ovary_mean
TRINITY_DN107450_c0_g3_i2	NA	NA	NA	NA	3.568585752	-3.168642736	1.19E-17	5.38E-16	TRINITY_DN107450_c0_g3_i2	0.711182957478782	Ovary_mean
TRINITY_DN107487_c0_g1_i1	NA	NA	NA	NA	3.811085433	-1.320873028	0.002727508	0.016348658	TRINITY_DN107487_c0_g1_i1	0.704148209000224	Ovary_mean
TRINITY_DN107530_c1_g1_i1	psmd11	Chr10	6662497	6662497	7.374248307	-1.16468088	0.000827656	0.005753225	TRINITY_DN107530_c1_g1_i1	0.299170910366109	Ovary_mean
TRINITY_DN107602_c0_g3_i1	NA	NA	NA	NA	3.157995151	-2.618374102	0.003300592	0.019206733	TRINITY_DN107602_c0_g3_i1	0.848616191580236	Liver_mean
TRINITY_DN107645_c0_g1_i1	heatr5b	Chr05	56957349	56957349	4.373210293	-1.203078475	8.69E-05	0.000767606	TRINITY_DN107645_c0_g1_i1	0.318796900873238	Ovary_mean
TRINITY_DN107694_c0_g1_i2	NA	NA	NA	NA	0.562342135	-1.560893494	0.005070941	0.027470537	TRINITY_DN107694_c0_g1_i2	0.296067786162144	G23_mean
TRINITY_DN107696_c0_g1_i4	NA	NA	NA	NA	4.539337773	-1.342941941	6.74E-06	7.48E-05	TRINITY_DN107696_c0_g1_i4	0.513780258657334	Ovary_mean
TRINITY_DN107702_c1_g1_i2	NA	NA	NA	NA	3.761390244	-1.405994506	0.000146829	0.001231355	TRINITY_DN107702_c1_g1_i2	0.349652940746891	Ovary_mean
TRINITY_DN107704_c0_g1_i1	NA	NA	NA	NA	3.534119167	-2.316417885	0.000393277	0.002985006	TRINITY_DN107704_c0_g1_i1	0.785659672385451	G31_mean
TRINITY_DN107727_c0_g1_i1	NA	NA	NA	NA	4.300387049	-1.475306546	1.08E-05	0.000114921	TRINITY_DN107727_c0_g1_i1	0.402001144203746	Ovary_mean
TRINITY_DN107740_c0_g1_i1	NA	NA	NA	NA	3.338236896	-2.063017987	4.89E-07	6.68E-06	TRINITY_DN107740_c0_g1_i1	0.611786971130092	Ovary_mean
TRINITY_DN107751_c0_g1_i1	gatsl3	Chr01	131983209	131983209	5.23016869	-1.12239531	0.000146227	0.001227136	TRINITY_DN107751_c0_g1_i1	0.432456607935639	Testis_mean
TRINITY_DN107774_c0_g1_i2	NA	NA	NA	NA	6.498556429	-1.160881475	0.000374674	0.002858591	TRINITY_DN107774_c0_g1_i2	0.22896556920548	Ovary_mean
TRINITY_DN107898_c0_g1_i1	NA	NA	NA	NA	3.257515598	-1.308741137	0.00038519	0.00292897	TRINITY_DN107898_c0_g1_i1	0.297317259472147	Ovary_mean
TRINITY_DN107936_c0_g1_i2	NA	NA	NA	NA	4.704742691	-1.400923912	2.28E-06	2.79E-05	TRINITY_DN107936_c0_g1_i2	0.209558967656336	Ovary_mean
TRINITY_DN107978_c0_g1_i1	NA	NA	NA	NA	2.984759658	-5.776145017	2.59E-26	2.09E-24	TRINITY_DN107978_c0_g1_i1	0.80277168853057	Testis_mean
TRINITY_DN108208_c0_g1_i3	NA	NA	NA	NA	5.754522918	-8.940880205	1.44E-78	7.31E-76	TRINITY_DN108208_c0_g1_i3	0.709599140084289	Ovary_mean
TRINITY_DN108227_c0_g1_i1	NA	NA	NA	NA	4.784917167	-1.261677409	1.66E-05	0.000170944	TRINITY_DN108227_c0_g1_i1	0.27869769713074	Ovary_mean
TRINITY_DN108316_c0_g1_i1	NA	NA	NA	NA	5.613516331	-1.592468463	1.77E-07	2.58E-06	TRINITY_DN108316_c0_g1_i1	0.411064997520586	Ovary_mean
TRINITY_DN108427_c0_g3_i5	NA	NA	NA	NA	4.422671526	-1.848577304	4.50E-09	8.35E-08	TRINITY_DN108427_c0_g3_i5	0.423719915106537	Ovary_mean
TRINITY_DN108436_c0_g1_i2	ate1-like	Chr07	10842921	10842921	3.931411495	-1.38155846	7.04E-05	0.000634711	TRINITY_DN108436_c0_g1_i2	0.486683770101534	Ovary_mean
TRINITY_DN108450_c0_g1_i2	NA	NA	NA	NA	5.299082593	-2.873018321	8.90E-20	4.72E-18	TRINITY_DN108450_c0_g1_i2	0.490951628482269	Ovary_mean
TRINITY_DN108450_c0_g4_i1	ccdc67	Chr02	162628104	162628104	5.031225442	-2.372524171	3.58E-15	1.30E-13	TRINITY_DN108450_c0_g4_i1	0.425713388729103	Ovary_mean
TRINITY_DN108455_c0_g1_i3	NA	NA	NA	NA	6.71824237	-1.337437926	3.55E-05	0.000341378	TRINITY_DN108455_c0_g1_i3	0.209858838295425	Testis_mean
TRINITY_DN108480_c0_g1_i1	NA	NA	NA	NA	5.117710634	-1.042601983	0.001473984	0.009553698	TRINITY_DN108480_c0_g1_i1	0.323473269110706	Ovary_mean
TRINITY_DN108566_c0_g3_i1	NA	NA	NA	NA	5.289502039	-2.637974725	0.006522214	0.03381924	TRINITY_DN108566_c0_g3_i1	0.731589556050582	G46_F_mean
TRINITY_DN108613_c0_g1_i1	bcl2l10	Chr03	92162507	92162507	1.736215906	-1.809276374	4.04E-05	0.000383288	TRINITY_DN108613_c0_g1_i1	0.672627469125726	Ovary_mean
TRINITY_DN108653_c0_g1_i2	slc27a2-like	Chr03	95097236	95097236	4.58634501	-2.944073229	1.26E-21	7.61E-20	TRINITY_DN108653_c0_g1_i2	0.466564676861845	Ovary_mean
TRINITY_DN108668_c0_g1_i1	fkbpl	Chr08	54065238	54065238	1.26766909	-4.830071634	3.10E-16	1.23E-14	TRINITY_DN108668_c0_g1_i1	0.813232563970087	Ovary_mean
TRINITY_DN108700_c0_g1_i1	NA	NA	NA	NA	5.527867632	-2.851847274	4.60E-17	1.96E-15	TRINITY_DN108700_c0_g1_i1	0.548809152299272	Ovary_mean
TRINITY_DN108703_c0_g8_i1	NA	NA	NA	NA	0.760216339	-1.752815966	0.002126057	0.013187261	TRINITY_DN108703_c0_g8_i1	0.500341561239005	G23_mean
TRINITY_DN108709_c0_g1_i2	NA	NA	NA	NA	5.633012639	-7.062448458	7.44E-68	2.47E-65	TRINITY_DN108709_c0_g1_i2	0.748406363335129	Testis_mean
TRINITY_DN108732_c0_g1_i1	c7orf55	Chr04	105219785	105219785	6.034532301	-1.702612736	2.73E-08	4.48E-07	TRINITY_DN108732_c0_g1_i1	0.196793710783913	G46_F_mean
TRINITY_DN108746_c0_g3_i1	NA	NA	NA	NA	0.062180101	-8.850538638	5.44E-17	2.30E-15	TRINITY_DN108746_c0_g3_i1	0.391906730755604	Brain_mean
TRINITY_DN108791_c0_g1_i1	NA	NA	NA	NA	1.729642926	-1.718917678	0.000507934	0.003742509	TRINITY_DN108791_c0_g1_i1	0.531563012434713	Brain_mean
TRINITY_DN108791_c0_g2_i1	NA	NA	NA	NA	2.565343699	-1.84427199	6.90E-05	0.000622773	TRINITY_DN108791_c0_g2_i1	0.552171897558996	Brain_mean
TRINITY_DN108927_c0_g4_i1	NA	NA	NA	NA	3.52922977	-1.096220312	0.002063299	0.012849124	TRINITY_DN108927_c0_g4_i1	0.317319052755116	Ovary_mean
TRINITY_DN108930_c0_g1_i3	NA	NA	NA	NA	2.223157516	-2.260625998	2.06E-07	2.97E-06	TRINITY_DN108930_c0_g1_i3	0.479124657215167	G27_mean
TRINITY_DN108932_c0_g1_i1	NA	NA	NA	NA	6.600057024	-2.490433995	2.80E-12	7.54E-11	TRINITY_DN108932_c0_g1_i1	0.369166807158735	Ovary_mean
TRINITY_DN109050_c0_g1_i1	NA	NA	NA	NA	0.738872651	-6.48734519	2.34E-11	5.75E-10	TRINITY_DN109050_c0_g1_i1	0.881167738882032	Ovary_mean
TRINITY_DN109077_c0_g1_i1	NA	NA	NA	NA	2.133257585	-2.808401895	2.22E-06	2.71E-05	TRINITY_DN109077_c0_g1_i1	0.78694018558908	Ovary_mean
TRINITY_DN109099_c0_g2_i2	NA	NA	NA	NA	1.078124137	-7.295567601	3.20E-19	1.64E-17	TRINITY_DN109099_c0_g2_i2	0.915981719657603	Ovary_mean
TRINITY_DN109101_c0_g2_i1	map1lc3c	Chr05	60980250	60980250	3.315031367	-1.200913342	0.000802467	0.005607825	TRINITY_DN109101_c0_g2_i1	0.433884283930239	Ovary_mean
TRINITY_DN109193_c0_g1_i1	NA	NA	NA	NA	2.097418317	-2.090744786	2.75E-07	3.89E-06	TRINITY_DN109193_c0_g1_i1	0.53306117826652	Ovary_mean
TRINITY_DN109252_c0_g1_i2	LOC100498119	Chr08	58033011	58033011	3.143746532	-2.422927448	2.43E-09	4.64E-08	TRINITY_DN109252_c0_g1_i2	0.544702935602569	Ovary_mean
