chr	chrid	trans	dNdS	dN	dS				
Chr01	sexchr	TRINITY_DN125527_c2_g1_i1	0.0225	0.0171	0.7601				
Chr01	sexchr	TRINITY_DN117701_c0_g2_i2	0.1659	0.1286	0.7753				
Chr01	sexchr	TRINITY_DN122130_c0_g1_i3	0.0131	0.0102	0.7783				
Chr01	sexchr	TRINITY_DN130051_c1_g2_i3	0.0141	0.011	0.7807				
Chr01	sexchr	TRINITY_DN123854_c0_g4_i5	0.0396	0.031	0.782				
Chr01	sexchr	TRINITY_DN127187_c0_g3_i1	0.0409	0.0323	0.7897				
Chr01	sexchr	TRINITY_DN109331_c0_g1_i1	0.022	0.0175	0.7944				
Chr01	sexchr	TRINITY_DN131034_c5_g2_i1	0.001	0.0008	0.7954				
Chr01	sexchr	TRINITY_DN133552_c1_g1_i3	0.0766	0.0611	0.7975				
Chr01	sexchr	TRINITY_DN127743_c1_g1_i6	0.0046	0.0037	0.7991				
Chr01	sexchr	TRINITY_DN126563_c2_g1_i1	0.1132	0.0906	0.8011				
Chr01	sexchr	TRINITY_DN134012_c7_g2_i6	0.0432	0.0347	0.8027				
Chr01	sexchr	TRINITY_DN127529_c6_g3_i1	0.0134	0.0109	0.8071				
Chr01	sexchr	TRINITY_DN118790_c0_g2_i1	0.0865	0.0699	0.8073				
Chr01	sexchr	TRINITY_DN130709_c2_g1_i1	0.0296	0.0239	0.8089				
Chr01	sexchr	TRINITY_DN123581_c0_g1_i2	0.1957	0.1589	0.8124				
Chr01	sexchr	TRINITY_DN130330_c1_g1_i1	0.1487	0.1209	0.8133				
Chr01	sexchr	TRINITY_DN112986_c0_g1_i1	0.1108	0.0903	0.8153				
Chr01	sexchr	TRINITY_DN120297_c0_g1_i2	0.0411	0.0336	0.8169				
Chr01	sexchr	TRINITY_DN134453_c2_g1_i11	0.0142	0.0117	0.8275				
Chr01	sexchr	TRINITY_DN132874_c0_g1_i1	0.0083	0.0069	0.8297				
Chr01	sexchr	TRINITY_DN130642_c0_g1_i1	0.0971	0.081	0.8346				
Chr01	sexchr	TRINITY_DN115291_c0_g1_i1	0.0908	0.076	0.837				
Chr01	sexchr	TRINITY_DN118896_c0_g1_i4	0.0204	0.0171	0.8387				
Chr01	sexchr	TRINITY_DN127637_c0_g3_i1	0.0044	0.0037	0.8396				
Chr01	sexchr	TRINITY_DN134489_c4_g2_i3	0.0777	0.0655	0.8427				
Chr01	sexchr	TRINITY_DN117052_c0_g2_i1	0.0362	0.0305	0.8439				
Chr01	sexchr	TRINITY_DN127164_c5_g2_i1	0.005	0.0042	0.8471				
Chr01	sexchr	TRINITY_DN135038_c3_g2_i1	0.008	0.0067	0.8483				
Chr01	sexchr	TRINITY_DN133481_c0_g2_i6	0.1569	0.1334	0.8506				
Chr01	sexchr	TRINITY_DN126701_c6_g2_i1	0.009	0.0078	0.8568				
Chr01	sexchr	TRINITY_DN126147_c0_g3_i3	0.1386	0.119	0.8582				
Chr01	sexchr	TRINITY_DN116442_c0_g3_i1	0.061	0.0527	0.8639				
Chr01	sexchr	TRINITY_DN121685_c0_g1_i1	0.0089	0.0077	0.8688				
Chr01	sexchr	TRINITY_DN107651_c0_g1_i1	0.0183	0.0161	0.8777				
Chr01	sexchr	TRINITY_DN128579_c1_g1_i1	0.014	0.0123	0.8787				
Chr01	sexchr	TRINITY_DN126571_c0_g1_i2	0.0989	0.088	0.8896				
Chr01	sexchr	TRINITY_DN132295_c1_g2_i5	0.0104	0.0093	0.8914				
Chr01	sexchr	TRINITY_DN124739_c2_g4_i1	0.1138	0.1015	0.8919				
Chr01	sexchr	TRINITY_DN128794_c0_g4_i3	0.0449	0.0405	0.9012				
Chr01	sexchr	TRINITY_DN135280_c3_g3_i1	0.0524	0.0473	0.9028				
Chr01	sexchr	TRINITY_DN108932_c0_g1_i1	0.1002	0.0906	0.9041				
Chr01	sexchr	TRINITY_DN119755_c1_g2_i1	0.1276	0.1155	0.9048				
Chr01	sexchr	TRINITY_DN113403_c0_g2_i2	0.3247	0.2943	0.9061				
Chr01	sexchr	TRINITY_DN135443_c0_g3_i1	0.0429	0.0391	0.9126				
Chr01	sexchr	TRINITY_DN118842_c0_g1_i2	0.0116	0.0107	0.9185				
Chr01	sexchr	TRINITY_DN129309_c0_g2_i1	0.3383	0.3107	0.9185				
Chr01	sexchr	TRINITY_DN127053_c0_g1_i2	0.1115	0.1027	0.9213				
Chr01	sexchr	TRINITY_DN122458_c2_g6_i2	0.0428	0.0395	0.9227				
Chr01	sexchr	TRINITY_DN122039_c0_g3_i1	0.0954	0.0883	0.926				
Chr01	sexchr	TRINITY_DN122446_c0_g2_i3	0.1027	0.0961	0.9362				
Chr01	sexchr	TRINITY_DN99232_c0_g1_i1	0.1796	0.1685	0.938				
Chr01	sexchr	TRINITY_DN119798_c0_g1_i2	0.1588	0.1493	0.9404				
Chr01	sexchr	TRINITY_DN124045_c0_g2_i1	0.1111	0.1049	0.9436				
Chr01	sexchr	TRINITY_DN107447_c0_g1_i1	0.0482	0.0455	0.9438				
Chr01	sexchr	TRINITY_DN129884_c3_g1_i1	0.0436	0.0412	0.9444				
Chr01	sexchr	TRINITY_DN129864_c0_g1_i2	0.0091	0.0086	0.9476				
Chr01	sexchr	TRINITY_DN127429_c4_g2_i7	0.0331	0.0314	0.9499				
Chr01	sexchr	TRINITY_DN113317_c0_g1_i1	0.0635	0.0605	0.9528				
Chr01	sexchr	TRINITY_DN126027_c5_g1_i5	0.0194	0.0186	0.9577				
Chr01	sexchr	TRINITY_DN124985_c4_g2_i1	0.06	0.0576	0.9602				
Chr01	sexchr	TRINITY_DN122256_c0_g1_i1	0.0177	0.017	0.9609				
Chr01	sexchr	TRINITY_DN123546_c0_g1_i3	0.0507	0.0488	0.9617				
Chr01	sexchr	TRINITY_DN132334_c4_g6_i1	0.0657	0.0633	0.9634				
Chr01	sexchr	TRINITY_DN130081_c0_g2_i16	0.0675	0.0653	0.9669				
Chr01	sexchr	TRINITY_DN118329_c0_g1_i1	0.0846	0.0819	0.9674				
Chr01	sexchr	TRINITY_DN124220_c0_g1_i2	0.1517	0.1471	0.9697				
Chr01	sexchr	TRINITY_DN131843_c0_g3_i1	0.0111	0.0108	0.9701				
Chr01	sexchr	TRINITY_DN134026_c0_g3_i4	0.07	0.0682	0.9743				
Chr01	sexchr	TRINITY_DN133722_c0_g8_i2	0.1674	0.1632	0.9749				
Chr01	sexchr	TRINITY_DN132218_c3_g1_i4	0.0648	0.0633	0.9766				
Chr01	sexchr	TRINITY_DN121494_c0_g1_i3	0.0728	0.0712	0.9774				
Chr01	sexchr	TRINITY_DN92463_c0_g1_i2	0.0705	0.0691	0.981				
Chr01	sexchr	TRINITY_DN133691_c3_g1_i1	0.0364	0.0357	0.9817				
Chr01	sexchr	TRINITY_DN131880_c0_g1_i1	0.0605	0.0597	0.9861				
Chr01	sexchr	TRINITY_DN127084_c1_g6_i1	0.0092	0.0091	0.9892				
Chr01	sexchr	TRINITY_DN130789_c5_g2_i2	0.0074	0.0074	0.9906				
Chr01	sexchr	TRINITY_DN111980_c0_g1_i1	0.0932	0.0924	0.9916				
Chr01	sexchr	TRINITY_DN152513_c0_g1_i1	0.0348	0.0345	0.9929				
Chr01	sexchr	TRINITY_DN131403_c3_g1_i1	0.0678	0.0675	0.995				
Chr01	sexchr	TRINITY_DN131801_c4_g3_i2	0.0044	0.0044	0.997				
Chr01	sexchr	TRINITY_DN122851_c0_g2_i1	0.003	0.003	1.0022				
Chr01	sexchr	TRINITY_DN121796_c1_g2_i1	0.0031	0.0031	1.0064				
Chr01	sexchr	TRINITY_DN125476_c1_g2_i1	0.0284	0.0286	1.0071				
Chr01	sexchr	TRINITY_DN129065_c3_g2_i2	0.0579	0.0584	1.0083				
Chr01	sexchr	TRINITY_DN120518_c0_g1_i4	0.1087	0.11	1.0114				
Chr01	sexchr	TRINITY_DN132891_c7_g2_i3	0.0279	0.0283	1.015				
Chr01	sexchr	TRINITY_DN132075_c0_g1_i5	0.0831	0.0845	1.0168				
Chr01	sexchr	TRINITY_DN131520_c3_g3_i24	0.0253	0.0258	1.0172				
Chr01	sexchr	TRINITY_DN133312_c3_g1_i2	0.024	0.0244	1.0179				
Chr01	sexchr	TRINITY_DN122427_c0_g2_i8	0.0061	0.0063	1.0257				
Chr01	sexchr	TRINITY_DN136201_c8_g1_i1	0.0879	0.0902	1.0268				
Chr01	sexchr	TRINITY_DN133002_c6_g5_i3	0.059	0.0607	1.028				
Chr01	sexchr	TRINITY_DN65335_c0_g1_i1	0.0637	0.0656	1.0294				
Chr01	sexchr	TRINITY_DN126957_c0_g1_i3	0.1069	0.1105	1.0338				
Chr01	sexchr	TRINITY_DN122538_c1_g1_i1	0.0408	0.0422	1.0351				
Chr01	sexchr	TRINITY_DN134485_c8_g1_i1	0.0157	0.0163	1.0356				
Chr01	sexchr	TRINITY_DN127470_c0_g2_i2	0.0975	0.1011	1.0366				
Chr01	sexchr	TRINITY_DN117066_c0_g1_i2	0.1458	0.1515	1.0391				
Chr01	sexchr	TRINITY_DN130867_c0_g1_i2	0.1363	0.1418	1.0404				
Chr01	sexchr	TRINITY_DN123158_c0_g1_i7	0.0468	0.0488	1.0418				
Chr01	sexchr	TRINITY_DN109817_c0_g1_i1	0.0695	0.0727	1.0463				
Chr01	sexchr	TRINITY_DN123721_c0_g1_i1	0.0596	0.0625	1.048				
Chr01	sexchr	TRINITY_DN132835_c1_g1_i1	0.0202	0.0212	1.0495				
Chr01	sexchr	TRINITY_DN118679_c0_g3_i1	0.0716	0.0753	1.0513				
Chr01	sexchr	TRINITY_DN129529_c0_g1_i1	0.0169	0.0178	1.0518				
Chr01	sexchr	TRINITY_DN135346_c0_g1_i2	0.0634	0.0667	1.0519				
Chr01	sexchr	TRINITY_DN114862_c0_g1_i1	0.0953	0.1003	1.0523				
Chr01	sexchr	TRINITY_DN123745_c1_g1_i5	0.0698	0.0735	1.0541				
Chr01	sexchr	TRINITY_DN132314_c2_g7_i2	0.0397	0.042	1.0587				
Chr01	sexchr	TRINITY_DN129884_c4_g1_i1	0.0383	0.0405	1.059				
Chr01	sexchr	TRINITY_DN127208_c2_g8_i1	0.0685	0.0727	1.0613				
Chr01	sexchr	TRINITY_DN134834_c0_g3_i2	0.0158	0.0169	1.0653				
Chr01	sexchr	TRINITY_DN125585_c0_g1_i3	0.0046	0.0049	1.0682				
Chr01	sexchr	TRINITY_DN127394_c1_g1_i1	0.0499	0.0533	1.0684				
Chr01	sexchr	TRINITY_DN134871_c2_g2_i4	0.0634	0.0678	1.0691				
Chr01	sexchr	TRINITY_DN127261_c1_g2_i6	0.0183	0.0196	1.0704				
Chr01	sexchr	TRINITY_DN131356_c6_g1_i1	0.0229	0.0246	1.0714				
Chr01	sexchr	TRINITY_DN128439_c3_g4_i2	0.0683	0.0732	1.0715				
Chr01	sexchr	TRINITY_DN124988_c3_g1_i2	0.0462	0.0495	1.0716				
Chr01	sexchr	TRINITY_DN133657_c2_g1_i6	0.0097	0.0104	1.0735				
Chr01	sexchr	TRINITY_DN123632_c2_g2_i5	0.1411	0.1518	1.0762				
Chr01	sexchr	TRINITY_DN119194_c0_g3_i2	0.0143	0.0154	1.0763				
Chr01	sexchr	TRINITY_DN120475_c3_g4_i2	0.0916	0.0988	1.0782				
Chr01	sexchr	TRINITY_DN134717_c3_g1_i3	0.1522	0.1645	1.0807				
Chr01	sexchr	TRINITY_DN124616_c2_g1_i2	0.0626	0.0677	1.0808				
Chr01	sexchr	TRINITY_DN116139_c0_g2_i1	0.0895	0.0969	1.0818				
Chr01	sexchr	TRINITY_DN109879_c0_g1_i1	0.1064	0.1152	1.0825				
Chr01	sexchr	TRINITY_DN124518_c0_g1_i1	0.108	0.1172	1.085				
Chr01	sexchr	TRINITY_DN132455_c0_g1_i2	0.0945	0.1028	1.0882				
Chr01	sexchr	TRINITY_DN135999_c2_g9_i12	0.0136	0.0148	1.0888				
Chr01	sexchr	TRINITY_DN136457_c2_g1_i1	0.0763	0.0831	1.0891				
Chr01	sexchr	TRINITY_DN108586_c0_g1_i1	0.0968	0.1057	1.0918				
Chr01	sexchr	TRINITY_DN135660_c1_g1_i2	0.0638	0.0697	1.0935				
Chr01	sexchr	TRINITY_DN133809_c0_g1_i2	0.0658	0.072	1.0944				
Chr01	sexchr	TRINITY_DN126653_c0_g2_i1	0.2927	0.3213	1.0977				
Chr01	sexchr	TRINITY_DN132727_c1_g2_i3	0.1359	0.1492	1.0979				
Chr01	sexchr	TRINITY_DN135090_c2_g7_i2	0.1128	0.1245	1.1035				
Chr01	sexchr	TRINITY_DN131068_c1_g7_i3	0.1024	0.1132	1.1051				
Chr01	sexchr	TRINITY_DN121132_c3_g5_i3	0.1207	0.1338	1.108				
Chr01	sexchr	TRINITY_DN109439_c0_g1_i1	0.2616	0.2902	1.1096				
Chr01	sexchr	TRINITY_DN121176_c0_g1_i3	0.0817	0.0907	1.111				
Chr01	sexchr	TRINITY_DN126450_c1_g3_i1	0.061	0.0679	1.112				
Chr01	sexchr	TRINITY_DN99652_c0_g1_i3	0.0076	0.0085	1.1143				
Chr01	sexchr	TRINITY_DN117330_c0_g1_i2	0.0077	0.0085	1.1143				
Chr01	sexchr	TRINITY_DN123377_c2_g3_i1	0.0192	0.0214	1.1146				
Chr01	sexchr	TRINITY_DN118709_c0_g1_i3	0.011	0.0123	1.1163				
Chr01	sexchr	TRINITY_DN124186_c1_g1_i1	0.0674	0.0753	1.118				
Chr01	sexchr	TRINITY_DN119167_c0_g2_i2	0.11	0.1233	1.1202				
Chr01	sexchr	TRINITY_DN125918_c1_g1_i4	0.0517	0.058	1.1211				
Chr01	sexchr	TRINITY_DN118562_c0_g3_i1	0.0551	0.0619	1.122				
Chr01	sexchr	TRINITY_DN133769_c10_g3_i1	0.0207	0.0233	1.1244				
Chr01	sexchr	TRINITY_DN125908_c0_g1_i1	0.0664	0.0747	1.1246				
Chr01	sexchr	TRINITY_DN121256_c0_g1_i1	0.0818	0.0921	1.1253				
Chr01	sexchr	TRINITY_DN122590_c2_g1_i1	0.0554	0.0624	1.126				
Chr01	sexchr	TRINITY_DN118005_c0_g2_i1	0.1022	0.1151	1.1264				
Chr01	sexchr	TRINITY_DN120562_c0_g1_i1	0.0202	0.0228	1.1276				
Chr01	sexchr	TRINITY_DN127922_c6_g2_i8	0.0648	0.0733	1.1309				
Chr01	sexchr	TRINITY_DN120579_c0_g2_i2	0.0178	0.0201	1.1318				
Chr01	sexchr	TRINITY_DN127502_c1_g1_i1	0.0212	0.024	1.1319				
Chr01	sexchr	TRINITY_DN125190_c0_g1_i1	0.1091	0.1236	1.1331				
Chr01	sexchr	TRINITY_DN126015_c0_g1_i5	0.1905	0.2159	1.1332				
Chr01	sexchr	TRINITY_DN130295_c0_g1_i2	0.1415	0.1604	1.1337				
Chr01	sexchr	TRINITY_DN105030_c0_g1_i1	0.0674	0.0767	1.1379				
Chr01	sexchr	TRINITY_DN109980_c1_g1_i1	0.0447	0.0508	1.138				
Chr01	sexchr	TRINITY_DN112165_c1_g1_i2	0.0245	0.0279	1.1382				
Chr01	sexchr	TRINITY_DN125100_c0_g2_i2	0.0831	0.0948	1.1405				
Chr01	sexchr	TRINITY_DN130861_c0_g1_i1	0.0776	0.0886	1.1423				
Chr01	sexchr	TRINITY_DN115149_c0_g1_i2	0.1006	0.115	1.1433				
Chr01	sexchr	TRINITY_DN102500_c0_g1_i1	0.0467	0.0534	1.1438				
Chr01	sexchr	TRINITY_DN135580_c5_g2_i3	0.122	0.1397	1.1452				
Chr01	sexchr	TRINITY_DN124649_c0_g1_i1	0.0572	0.0657	1.1483				
Chr01	sexchr	TRINITY_DN125443_c1_g1_i4	0.107	0.1231	1.1504				
Chr01	sexchr	TRINITY_DN125701_c1_g11_i1	0.0418	0.0481	1.1515				
Chr01	sexchr	TRINITY_DN122011_c0_g2_i2	0.1024	0.1179	1.1519				
Chr01	sexchr	TRINITY_DN127143_c0_g3_i3	0.0404	0.0466	1.1542				
Chr01	sexchr	TRINITY_DN126038_c0_g1_i2	0.0537	0.062	1.156				
Chr01	sexchr	TRINITY_DN126956_c0_g1_i4	0.0604	0.0699	1.1577				
Chr01	sexchr	TRINITY_DN122613_c0_g1_i3	0.1074	0.1244	1.158				
Chr01	sexchr	TRINITY_DN111129_c0_g1_i1	0.1258	0.1457	1.1584				
Chr01	sexchr	TRINITY_DN129469_c0_g2_i4	0.1466	0.17	1.1599				
Chr01	sexchr	TRINITY_DN131609_c6_g1_i3	0.0503	0.0584	1.1612				
Chr01	sexchr	TRINITY_DN112362_c1_g2_i1	0.0449	0.0522	1.1629				
Chr01	sexchr	TRINITY_DN125182_c0_g2_i2	0.0378	0.044	1.1637				
Chr01	sexchr	TRINITY_DN126301_c0_g1_i2	0.1084	0.1262	1.1637				
Chr01	sexchr	TRINITY_DN130195_c2_g1_i1	0.0351	0.0408	1.1647				
Chr01	sexchr	TRINITY_DN132188_c0_g1_i4	0.0534	0.0622	1.1649				
Chr01	sexchr	TRINITY_DN133132_c2_g1_i1	0.2159	0.2515	1.1651				
Chr01	sexchr	TRINITY_DN133091_c4_g1_i1	0.0159	0.0186	1.1659				
Chr01	sexchr	TRINITY_DN130800_c2_g2_i2	0.1708	0.1992	1.1659				
Chr01	sexchr	TRINITY_DN120733_c0_g2_i1	0.0685	0.08	1.1669				
Chr01	sexchr	TRINITY_DN70214_c0_g1_i1	0.1017	0.1187	1.1673				
Chr01	sexchr	TRINITY_DN131201_c5_g3_i7	0.0598	0.0698	1.1675				
Chr01	sexchr	TRINITY_DN127427_c5_g1_i1	0.1002	0.117	1.1683				
Chr01	sexchr	TRINITY_DN133722_c0_g4_i1	0.0441	0.0515	1.1686				
Chr01	sexchr	TRINITY_DN133151_c4_g1_i1	0.0935	0.1094	1.1704				
Chr01	sexchr	TRINITY_DN124848_c3_g1_i2	0.0538	0.063	1.1712				
Chr01	sexchr	TRINITY_DN117173_c0_g1_i1	0.0924	0.1084	1.1725				
Chr01	sexchr	TRINITY_DN132123_c0_g2_i1	0.043	0.0505	1.1756				
Chr01	sexchr	TRINITY_DN133089_c1_g2_i1	0.1397	0.1644	1.1762				
Chr01	sexchr	TRINITY_DN122615_c0_g2_i1	0.0959	0.1129	1.1772				
Chr01	sexchr	TRINITY_DN130669_c1_g2_i1	0.0429	0.0507	1.1797				
Chr01	sexchr	TRINITY_DN130680_c2_g1_i1	0.0748	0.0884	1.1821				
Chr01	sexchr	TRINITY_DN123093_c0_g2_i1	0.0694	0.082	1.1827				
Chr01	sexchr	TRINITY_DN117723_c0_g1_i1	0.1373	0.1624	1.1831				
Chr01	sexchr	TRINITY_DN115800_c0_g2_i1	0.0712	0.0843	1.1843				
Chr01	sexchr	TRINITY_DN122677_c3_g3_i2	0.0435	0.0516	1.1859				
Chr01	sexchr	TRINITY_DN117878_c0_g1_i1	0.02	0.0238	1.1912				
Chr01	sexchr	TRINITY_DN126602_c0_g1_i2	0.1236	0.1474	1.1924				
Chr01	sexchr	TRINITY_DN126815_c0_g1_i5	0.182	0.217	1.1924				
Chr01	sexchr	TRINITY_DN112081_c0_g3_i7	0.1014	0.1213	1.1953				
Chr01	sexchr	TRINITY_DN121641_c0_g1_i1	0.0666	0.0796	1.1959				
Chr01	sexchr	TRINITY_DN133604_c1_g1_i1	0.0377	0.0452	1.2				
Chr01	sexchr	TRINITY_DN87087_c0_g1_i1	0.0285	0.0342	1.2022				
Chr01	sexchr	TRINITY_DN106065_c0_g1_i2	0.0442	0.0531	1.2023				
Chr01	sexchr	TRINITY_DN120105_c0_g1_i1	0.2068	0.2488	1.203				
Chr01	sexchr	TRINITY_DN133213_c0_g2_i33	0.0348	0.042	1.2039				
Chr01	sexchr	TRINITY_DN125325_c6_g2_i2	0.0785	0.0945	1.2045				
Chr01	sexchr	TRINITY_DN125832_c3_g1_i1	0.0399	0.0481	1.2046				
Chr01	sexchr	TRINITY_DN135424_c2_g12_i1	0.0759	0.0915	1.2057				
Chr01	sexchr	TRINITY_DN124409_c0_g1_i1	0.0585	0.0705	1.2061				
Chr01	sexchr	TRINITY_DN131364_c4_g5_i3	0.0527	0.0636	1.207				
Chr01	sexchr	TRINITY_DN128031_c1_g1_i1	0.054	0.0651	1.207				
Chr01	sexchr	TRINITY_DN121771_c0_g1_i1	0.0666	0.0806	1.2102				
Chr01	sexchr	TRINITY_DN120918_c0_g1_i1	0.0952	0.1152	1.2102				
Chr01	sexchr	TRINITY_DN125895_c0_g1_i2	0.183	0.2215	1.2106				
Chr01	sexchr	TRINITY_DN116229_c1_g1_i3	0.0302	0.0366	1.2108				
Chr01	sexchr	TRINITY_DN129927_c0_g1_i1	0.031	0.0376	1.2127				
Chr01	sexchr	TRINITY_DN132900_c0_g3_i3	0.0335	0.0406	1.2135				
Chr01	sexchr	TRINITY_DN122501_c0_g1_i2	0.0835	0.1014	1.2137				
Chr01	sexchr	TRINITY_DN126700_c0_g1_i1	0.0801	0.0972	1.2139				
Chr01	sexchr	TRINITY_DN124435_c0_g2_i2	0.0093	0.0113	1.214				
Chr01	sexchr	TRINITY_DN126428_c0_g1_i1	0.0928	0.1126	1.2141				
Chr01	sexchr	TRINITY_DN125667_c5_g2_i2	0.0678	0.0823	1.2146				
Chr01	sexchr	TRINITY_DN126499_c3_g4_i2	0.0399	0.0485	1.2151				
Chr01	sexchr	TRINITY_DN123217_c0_g2_i1	0.0633	0.0769	1.2155				
Chr01	sexchr	TRINITY_DN131177_c4_g2_i3	0.0215	0.0262	1.2172				
Chr01	sexchr	TRINITY_DN131386_c0_g4_i5	0.0596	0.0725	1.2173				
Chr01	sexchr	TRINITY_DN119308_c0_g2_i1	0.0534	0.065	1.2178				
Chr01	sexchr	TRINITY_DN126721_c4_g1_i3	0.09	0.1096	1.2179				
Chr01	sexchr	TRINITY_DN127751_c5_g1_i6	0.051	0.0621	1.2181				
Chr01	sexchr	TRINITY_DN126910_c7_g3_i1	0.0443	0.0539	1.2183				
Chr01	sexchr	TRINITY_DN135885_c1_g5_i1	0.0189	0.0231	1.2184				
Chr01	sexchr	TRINITY_DN119242_c0_g1_i2	0.1016	0.1239	1.2196				
Chr01	sexchr	TRINITY_DN133651_c3_g1_i2	0.118	0.1439	1.2198				
Chr01	sexchr	TRINITY_DN131295_c2_g2_i3	0.1107	0.1351	1.2213				
Chr01	sexchr	TRINITY_DN110679_c0_g1_i1	0.1135	0.1386	1.2213				
Chr01	sexchr	TRINITY_DN120337_c0_g1_i1	0.0531	0.0649	1.2216				
Chr01	sexchr	TRINITY_DN124877_c0_g1_i2	0.1183	0.1446	1.2223				
Chr01	sexchr	TRINITY_DN115720_c0_g1_i1	0.0403	0.0493	1.2236				
Chr01	sexchr	TRINITY_DN134647_c1_g1_i1	0.0193	0.0237	1.2249				
Chr01	sexchr	TRINITY_DN129740_c0_g3_i1	0.146	0.1789	1.2252				
Chr01	sexchr	TRINITY_DN133282_c1_g1_i2	0.0424	0.052	1.2267				
Chr01	sexchr	TRINITY_DN122303_c1_g2_i1	0.1943	0.2384	1.2268				
Chr01	sexchr	TRINITY_DN124126_c0_g1_i3	0.0688	0.0845	1.2272				
Chr01	sexchr	TRINITY_DN128365_c2_g2_i1	0.0704	0.0864	1.2272				
Chr01	sexchr	TRINITY_DN105438_c0_g1_i1	0.0759	0.0932	1.2285				
Chr01	sexchr	TRINITY_DN65638_c0_g1_i1	0.137	0.1686	1.2309				
Chr01	sexchr	TRINITY_DN116616_c0_g1_i1	0.0944	0.1162	1.2317				
Chr01	sexchr	TRINITY_DN120991_c0_g2_i2	0.0441	0.0544	1.2337				
Chr01	sexchr	TRINITY_DN132905_c2_g2_i1	0.0309	0.0383	1.2385				
Chr01	sexchr	TRINITY_DN115062_c0_g1_i1	0.0983	0.1218	1.2388				
Chr01	sexchr	TRINITY_DN122839_c0_g1_i1	0.1066	0.132	1.2388				
