gid	gname	chr	logFC.XY46.XX46	tau	tissue
TRINITY_DN114792_c0_g1_i1	NA	NA	1.239120826	0.40560496288182	G43_F_mean
TRINITY_DN114818_c0_g1_i1	zfp36l2	Chr05	2.493433015	0.604371402661392	G43_M_mean
TRINITY_DN114875_c0_g1_i1	mcoln2-like	Chr04	1.549762578	0.660034974555054	G43_F_mean
TRINITY_DN114884_c0_g2_i1	mgam	Chr05	1.733437217	0.764664410585673	G46_M_mean
TRINITY_DN115056_c0_g1_i4	NA	NA	1.490276043	0.357269382141304	G46_M_mean
TRINITY_DN115114_c1_g1_i1	NA	NA	1.157123098	0.289535241999438	Brain_mean
TRINITY_DN115474_c0_g1_i1	NA	NA	2.035807973	0.390234270999286	G43_M_mean
TRINITY_DN115612_c0_g2_i2	NA	NA	1.146866467	0.524419565374428	G23_mean
TRINITY_DN115650_c0_g1_i2	NA	NA	1.053354993	0.475587294303375	Liver_mean
TRINITY_DN115715_c2_g3_i1	apoe	Chr07	1.288608854	0.616006695813771	Liver_mean
TRINITY_DN115900_c0_g1_i2	NA	NA	2.633055804	0.646502152328736	G43_F_mean
TRINITY_DN116209_c0_g1_i1	NA	NA	1.793826934	0.411831132696553	G43_M_mean
TRINITY_DN116233_c0_g1_i1	prkcb	Chr09	1.36360183	0.234470444496448	G46_M_mean
TRINITY_DN116288_c1_g1_i1	NA	NA	1.305171907	0.373617300039599	G46_M_mean
TRINITY_DN116299_c0_g1_i2	NA	NA	1.697401916	0.697394490502518	G43_M_mean
TRINITY_DN116347_c0_g1_i1	NA	NA	1.281665792	0.289838698180593	G43_M_mean
TRINITY_DN116432_c0_g1_i1	NA	NA	1.016801515	0.221145843128269	Brain_mean
TRINITY_DN116593_c2_g1_i4	NA	NA	1.385113165	0.438889879720995	G46_M_mean
TRINITY_DN116614_c0_g1_i2	NA	NA	1.429682328	0.752975987631276	G46_M_mean
TRINITY_DN116614_c0_g2_i1	LOC100496659	scaffold_393	1.662910707	0.732994913274631	G46_M_mean
TRINITY_DN116643_c1_g1_i1	NA	NA	1.259326597	0.251828322836652	G46_M_mean
TRINITY_DN116685_c1_g1_i2	zufsp	Chr05	1.536817108	0.786450858914459	G43_M_mean
TRINITY_DN116707_c0_g1_i1	hivep2	Chr05	1.815484837	0.612750934608529	Liver_mean
TRINITY_DN116728_c0_g1_i2	NA	NA	1.394556704	0.459275727888957	G43_M_mean
TRINITY_DN116738_c0_g1_i1	NA	NA	2.268655319	0.365805447196319	G46_M_mean
TRINITY_DN116761_c0_g1_i4	NA	NA	1.939431608	0.447523459512418	Brain_mean
TRINITY_DN116797_c0_g2_i1	NA	NA	1.983863164	0.482825322635991	G46_M_mean
TRINITY_DN117156_c0_g1_i1	NA	NA	1.563337789	0.462609917599945	G27_mean
TRINITY_DN117170_c0_g1_i1	NA	NA	4.595205694	0.820223171023629	G46_M_mean
TRINITY_DN117241_c3_g1_i2	NA	NA	3.022049618	0.761726854398644	G46_M_mean
TRINITY_DN117640_c0_g1_i2	NA	NA	1.70110949	0.343925751714273	G46_M_mean
TRINITY_DN117755_c0_g1_i1	NA	NA	1.617105717	0.238641668073673	G43_M_mean
TRINITY_DN117820_c0_g3_i1	NA	NA	3.47249265	0.880084879334489	G46_M_mean
TRINITY_DN117870_c0_g5_i2	NA	NA	3.517749556	0.667411642528238	Brain_mean
TRINITY_DN117884_c1_g1_i1	NA	NA	1.301610978	0.54403251976547	G43_M_mean
TRINITY_DN117885_c0_g1_i3	NA	NA	1.542064933	0.520536704183704	Liver_mean
TRINITY_DN117942_c0_g1_i2	NA	NA	1.785309772	0.553459238563066	G23_mean
TRINITY_DN118227_c0_g1_i2	NA	NA	1.113197189	0.502691517047657	G46_M_mean
TRINITY_DN118266_c0_g1_i1	NA	NA	1.674164082	0.720943873942933	Brain_mean
TRINITY_DN118284_c0_g1_i1	NA	NA	1.447855043	0.574984955234293	G46_M_mean
TRINITY_DN118393_c0_g1_i3	kdm4a	Chr04	1.793290971	0.492445231359237	G27_mean
TRINITY_DN118431_c0_g1_i1	NA	NA	2.108552103	0.763990400434898	G43_M_mean
TRINITY_DN118457_c0_g3_i1	NA	NA	1.461873276	0.606241176352676	G46_M_mean
TRINITY_DN118540_c0_g2_i1	NA	NA	1.650625966	0.833440383828873	Brain_mean
TRINITY_DN118565_c0_g1_i1	NA	NA	1.365167991	0.507598948550047	Liver_mean
TRINITY_DN118623_c0_g1_i1	npffr2	scaffold_51	1.006942537	0.611834324926999	G43_M_mean
TRINITY_DN118731_c3_g2_i1	NA	NA	1.936358846	0.432495990311611	Testis_mean
TRINITY_DN118874_c0_g1_i1	NA	NA	1.261674954	0.587639400935335	Liver_mean
TRINITY_DN118899_c0_g1_i1	tom1	Chr04	1.267238922	0.360524028575358	G46_M_mean
TRINITY_DN119358_c1_g1_i1	c3orf52-like	Chr02	1.872204378	0.328992595111243	Liver_mean
TRINITY_DN119358_c1_g2_i4	foxn1	Chr02	1.6536333	0.47200183644127	G31_mean
TRINITY_DN119416_c2_g1_i1	NA	NA	2.349435466	0.650958887320672	G27_mean
TRINITY_DN119556_c0_g16_i1	NA	NA	8.095463522	0.614770859778327	Brain_mean
TRINITY_DN119556_c0_g19_i1	NA	NA	3.515503247	0.703967141444183	Brain_mean
TRINITY_DN119592_c2_g1_i2	NA	NA	1.100983937	0.543521080810045	G46_M_mean
TRINITY_DN119634_c0_g1_i1	NA	NA	1.100691265	0.660178001790342	Brain_mean
TRINITY_DN119670_c0_g1_i4	rcvrn.2	Chr07	1.200913538	0.507975734947141	G43_F_mean
TRINITY_DN119733_c1_g1_i9	NA	NA	1.125845809	0.408322110990597	G31_mean
TRINITY_DN119901_c0_g2_i2	NA	NA	1.245124487	0.77294537900822	G46_M_mean
TRINITY_DN120002_c1_g1_i1	NA	NA	1.688435181	0.530165744368386	G23_mean
TRINITY_DN120010_c0_g1_i1	NA	NA	1.180701226	0.538732672010418	G46_M_mean
TRINITY_DN120044_c0_g2_i2	NA	NA	1.594271585	0.4973422238614	Liver_mean
TRINITY_DN120135_c0_g1_i1	NA	NA	1.170060416	0.534095316008118	G23_mean
TRINITY_DN120324_c0_g1_i2	NA	NA	1.009416218	0.357990325058929	G46_M_mean
TRINITY_DN120340_c2_g4_i4	NA	NA	1.196179648	0.428910748637024	Brain_mean
TRINITY_DN120395_c0_g1_i1	NA	NA	1.260787425	0.357104975360157	Testis_mean
TRINITY_DN120448_c1_g1_i3	qdpr	Chr01	1.541595697	0.446620833057332	G43_M_mean
TRINITY_DN120481_c0_g1_i2	NA	NA	1.744010935	0.394037990925691	G43_M_mean
TRINITY_DN120528_c0_g1_i2	NA	NA	1.314623897	0.619569271366651	G46_M_mean
TRINITY_DN120629_c2_g4_i6	NA	NA	2.59562233	0.396235097148408	G46_M_mean
TRINITY_DN120714_c0_g1_i1	NA	NA	1.69834984	0.411997448152576	Brain_mean
TRINITY_DN120731_c0_g1_i5	srbd1-like	Chr05	1.805749262	0.533243445483563	G46_M_mean
TRINITY_DN120758_c3_g1_i1	prhoxnb	Chr02	2.117145512	0.231085080868071	G31_mean
TRINITY_DN120758_c3_g3_i1	LOC100497560	scaffold_8947	10.3751399	0.404507155929304	G43_M_mean
TRINITY_DN121065_c0_g1_i2	NA	NA	1.810841021	0.434981526123864	Brain_mean
TRINITY_DN121093_c3_g5_i3	rfc3	Chr02	1.103171993	0.373365406526493	G27_mean
TRINITY_DN121243_c0_g1_i4	NA	NA	1.243576155	0.734460138594214	G46_M_mean
TRINITY_DN121257_c0_g1_i1	NA	NA	1.289295442	0.440516263113736	G46_M_mean
TRINITY_DN121322_c0_g1_i2	NA	NA	1.311341737	0.548544726530146	Liver_mean
TRINITY_DN121418_c2_g1_i1	NA	NA	1.22169457	0.204796604819748	G43_F_mean
TRINITY_DN121465_c5_g2_i1	entpd4	Chr03	9.281980254	0.508595224633037	Brain_mean
TRINITY_DN121490_c3_g1_i3	NA	NA	1.609327338	0.518447176515329	Brain_mean
TRINITY_DN121497_c2_g2_i2	emc1	scaffold_378	1.424603913	0.546368323651175	G46_M_mean
TRINITY_DN121524_c0_g1_i2	NA	NA	1.71767515	0.255346417959926	G43_M_mean
TRINITY_DN121580_c0_g1_i1	NA	NA	3.888745557	0.360513453973022	G23_mean
TRINITY_DN121580_c0_g2_i1	NA	NA	5.593426841	0.4134809654348	G23_mean
TRINITY_DN121583_c1_g3_i5	NA	NA	1.02109732	0.677269287666752	Liver_mean
TRINITY_DN121601_c6_g1_i1	NA	NA	2.919982238	0.53298000061211	G46_M_mean
TRINITY_DN121660_c4_g4_i1	NA	NA	1.722840222	0.549174443655532	Brain_mean
TRINITY_DN121675_c2_g1_i3	NA	NA	1.616696404	0.512887960084969	Brain_mean
TRINITY_DN121797_c0_g1_i2	NA	NA	1.302370042	0.682261499284015	G46_M_mean
TRINITY_DN121846_c0_g2_i2	NA	NA	1.485717146	0.496064919721328	Brain_mean
TRINITY_DN121909_c0_g2_i1	NA	NA	1.802803359	0.512827566063302	G31_mean
TRINITY_DN121909_c0_g4_i1	NA	NA	1.496626725	0.443700528194546	G46_M_mean
TRINITY_DN121941_c0_g10_i1	NA	NA	1.03335564	0.279067124359858	G46_M_mean
TRINITY_DN122038_c0_g1_i2	NA	NA	1.138242624	0.295947665243147	G46_M_mean
TRINITY_DN122160_c0_g4_i1	lats1	Chr05	1.936535949	0.514244211499299	Ovary_mean
TRINITY_DN122162_c1_g1_i2	NA	NA	1.633334373	0.629989664116936	G27_mean
TRINITY_DN122177_c1_g1_i1	NA	NA	1.0912689	0.593647023361095	Ovary_mean
TRINITY_DN122351_c0_g1_i2	mrps23	Chr02	1.240928155	0.606960811840772	G46_M_mean
TRINITY_DN122416_c0_g1_i4	NA	NA	2.159097645	0.635781610734698	Liver_mean
TRINITY_DN122600_c2_g2_i1	NA	NA	1.474548905	0.556498058468013	G46_M_mean
TRINITY_DN122630_c10_g2_i2	NA	NA	1.819095807	0.393437131874965	G31_mean
TRINITY_DN122657_c3_g1_i1	cep44	Chr01	1.143472039	0.154150654230573	G46_M_mean
TRINITY_DN122807_c0_g1_i1	cpo	Chr09	1.927349255	0.408610597755954	G27_mean
TRINITY_DN122876_c3_g1_i10	NA	NA	1.175907916	0.180116606763793	G46_M_mean
TRINITY_DN122908_c0_g1_i1	NA	NA	1.203417888	0.481111079966784	G43_M_mean
TRINITY_DN122909_c5_g5_i1	NA	NA	2.024223876	0.490287562639732	G46_M_mean
TRINITY_DN122991_c3_g1_i1	NA	NA	1.058205544	0.247184476567705	G23_mean
TRINITY_DN123208_c0_g1_i1	serinc2	Chr02	1.949143503	0.768502509777815	G23_mean
TRINITY_DN123298_c0_g2_i2	Xetrov90029739m	scaffold_6020	1.547864159	0.741016100040259	Brain_mean
TRINITY_DN123374_c0_g1_i4	NA	NA	1.000173869	0.657926274726128	Liver_mean
TRINITY_DN123456_c0_g6_i3	NA	NA	2.527137767	0.275076609282223	G43_M_mean
TRINITY_DN123513_c0_g1_i2	NA	NA	1.67901805	0.637454180321783	G43_M_mean
TRINITY_DN123534_c0_g1_i2	NA	NA	1.149870797	0.350043114616481	G23_mean
TRINITY_DN123549_c0_g1_i2	LOC100491716	Chr06	1.231623691	0.35063416021242	G43_M_mean
TRINITY_DN123637_c0_g1_i2	NA	NA	1.266762553	0.441499826708675	Testis_mean
TRINITY_DN123733_c4_g1_i2	NA	NA	1.050066675	0.415417245699301	Brain_mean
TRINITY_DN123748_c0_g1_i1	NA	NA	1.684362618	0.538962520310773	Brain_mean
TRINITY_DN123784_c7_g8_i1	NA	NA	1.58996753	0.474582672636956	G43_M_mean
TRINITY_DN123790_c0_g1_i2	NA	NA	1.809561947	0.529016022263679	G43_M_mean
TRINITY_DN123854_c0_g4_i5	NA	NA	1.369955748	0.282431905499801	G46_M_mean
TRINITY_DN124034_c2_g15_i1	NA	NA	5.712865346	0.582052636318135	G43_M_mean
TRINITY_DN124049_c5_g2_i1	NA	NA	1.191388398	0.52795522237609	Liver_mean
TRINITY_DN124076_c2_g2_i3	zcrb1	Chr03	1.278430152	0.219465040143102	G46_M_mean
TRINITY_DN124081_c0_g8_i1	NA	NA	1.985982253	0.503043303474965	Liver_mean
TRINITY_DN124093_c3_g9_i1	NA	NA	2.110354145	0.63091576002497	G23_mean
TRINITY_DN124099_c3_g1_i1	NA	NA	1.091243469	0.365513089295255	G43_M_mean
TRINITY_DN124136_c0_g3_i1	NA	NA	1.718446022	0.670769769423201	Brain_mean
TRINITY_DN124151_c5_g6_i3	NA	NA	1.692096368	0.709374335934493	Brain_mean
TRINITY_DN124180_c0_g7_i1	NA	NA	1.241384718	0.533233874729656	Liver_mean
TRINITY_DN124181_c0_g1_i1	NA	NA	1.189913935	0.635231186778554	G46_M_mean
TRINITY_DN124205_c0_g1_i1	NA	NA	1.514726462	0.585219183767411	Liver_mean
TRINITY_DN124217_c2_g4_i3	NA	NA	1.286510599	0.517776449160081	G43_M_mean
TRINITY_DN124233_c1_g1_i3	NA	NA	1.618784534	0.779179455455054	Liver_mean
TRINITY_DN124284_c0_g1_i4	NA	NA	1.415689879	0.204725378727206	G46_M_mean
TRINITY_DN124346_c9_g1_i1	NA	NA	1.286337132	0.649642621706616	Ovary_mean
TRINITY_DN124412_c0_g5_i9	ift46-like	Chr07	1.723076022	0.242649519710884	Brain_mean
TRINITY_DN124423_c0_g1_i3	cited4	Chr02	1.630454644	0.554345999950258	Testis_mean
TRINITY_DN124536_c0_g2_i2	med10	Chr06	1.174887372	0.691610015898209	Liver_mean
TRINITY_DN124538_c2_g3_i2	NA	NA	1.295273293	0.583009542668099	Brain_mean
TRINITY_DN124561_c0_g1_i1	NA	NA	1.493803325	0.606642657812037	Brain_mean
TRINITY_DN124623_c3_g1_i1	NA	NA	1.353679768	0.440274635021395	Liver_mean
TRINITY_DN124623_c3_g3_i1	LOC100497319-like	Chr04	1.280289282	0.400943187258987	Liver_mean
TRINITY_DN124728_c6_g7_i1	NA	NA	8.254258508	0.425108850718724	Testis_mean
TRINITY_DN124731_c3_g1_i2	fzd7	Chr09	1.234161668	0.355285802703484	G23_mean
TRINITY_DN124744_c0_g1_i1	NA	NA	1.627698784	0.347562767722906	G31_mean
TRINITY_DN124820_c0_g1_i1	NA	NA	1.95191471	0.766157213483203	G43_M_mean
TRINITY_DN124874_c1_g1_i1	NA	NA	2.590029401	0.653157943518837	G27_mean
TRINITY_DN124908_c0_g1_i1	NA	NA	8.664428823	0.609694543808573	G43_F_mean
TRINITY_DN124948_c0_g1_i6	NA	NA	1.175056337	0.761395433709713	G46_M_mean
TRINITY_DN124983_c3_g1_i1	cdh1	Chr04	1.315681959	0.432773361246747	G46_M_mean
TRINITY_DN124990_c0_g3_i2	NA	NA	1.331968378	0.628312729406734	Liver_mean
TRINITY_DN125075_c1_g1_i1	NA	NA	2.908260585	0.650834398417268	G27_mean
TRINITY_DN125075_c1_g2_i3	capsl	Chr01	3.500302464	0.724678906973242	G27_mean
TRINITY_DN125124_c5_g1_i1	NA	NA	1.131485213	0.692413330417124	G46_M_mean
TRINITY_DN125138_c7_g3_i10	NA	NA	1.115408614	0.225029791591974	G43_M_mean
TRINITY_DN125174_c0_g8_i1	NA	NA	1.20346438	0.197241303860153	Brain_mean
TRINITY_DN125213_c1_g1_i3	NA	NA	1.546733495	0.705905354296839	Liver_mean
TRINITY_DN125260_c4_g1_i9	wrap73	Chr07	1.11627392	0.44578413120903	Brain_mean
TRINITY_DN125266_c2_g2_i2	NA	NA	1.659161329	0.479934677406189	G31_mean
TRINITY_DN125272_c0_g1_i3	apba3-like	Chr01	1.302672444	0.416626549380003	G46_M_mean
TRINITY_DN125283_c5_g3_i3	LOC100492997-like	Chr02	1.069246312	0.60050051691245	Liver_mean
TRINITY_DN125325_c9_g1_i1	NA	NA	1.726077734	0.333269087767283	Ovary_mean
TRINITY_DN125335_c7_g1_i2	NA	NA	1.054167192	0.297892244096328	Brain_mean
TRINITY_DN125353_c3_g2_i2	sox17a	Chr06	1.444767492	0.600486751076031	G43_M_mean
TRINITY_DN125398_c5_g2_i1	NA	NA	1.087250539	0.345447833572452	G43_F_mean
TRINITY_DN125462_c0_g1_i2	NA	NA	2.284131789	0.65121415253471	G46_M_mean
TRINITY_DN125466_c11_g2_i1	NA	NA	1.229426005	0.554726052253121	Liver_mean
TRINITY_DN125503_c0_g1_i1	NA	NA	1.301308355	0.56373244257441	Liver_mean
TRINITY_DN125552_c1_g2_i2	pdk3	Chr02	1.265266705	0.428780866880597	G46_M_mean
TRINITY_DN125609_c0_g1_i2	NA	NA	1.26832983	0.307100521836756	G27_mean
TRINITY_DN125647_c0_g1_i9	alkbh4-like	Chr02	1.985695966	0.517237984726455	Liver_mean
TRINITY_DN125745_c5_g1_i4	NA	NA	1.127466125	0.467878594265079	G46_M_mean
TRINITY_DN125793_c1_g7_i4	NA	NA	1.399006985	0.453252908103913	Brain_mean
TRINITY_DN125867_c6_g4_i1	LOC100498468-like	Chr01	1.096952287	0.725347771138371	Liver_mean
TRINITY_DN125884_c1_g1_i5	NA	NA	1.156028771	0.487884992089259	G46_M_mean
TRINITY_DN125900_c0_g1_i1	NA	NA	1.449016909	0.607329546507102	G43_M_mean
TRINITY_DN125906_c5_g3_i1	hsd17b10	Chr08	1.567072093	0.497828934350093	G43_M_mean
TRINITY_DN125925_c5_g1_i1	NA	NA	3.404852812	0.542370114011379	G46_M_mean
TRINITY_DN125938_c4_g5_i1	znf609	Chr03	1.16946871	0.547857199016828	G46_M_mean
TRINITY_DN126091_c1_g2_i1	NA	NA	1.398890279	0.408172844041972	G27_mean
TRINITY_DN126149_c3_g1_i1	NA	NA	1.405236707	0.550197437553516	G43_M_mean
TRINITY_DN126259_c0_g2_i4	NA	NA	1.337451561	0.470748596466561	Liver_mean
TRINITY_DN126267_c3_g1_i1	NA	NA	1.276733607	0.393030480365635	Brain_mean
TRINITY_DN126268_c0_g1_i2	NA	NA	1.136551586	0.3082178752109	Liver_mean
TRINITY_DN126295_c0_g1_i7	med8	Chr04	1.18959967	0.45765588581175	Brain_mean
TRINITY_DN126349_c0_g1_i2	NA	NA	1.945315261	0.853501974362044	G46_M_mean
TRINITY_DN126384_c1_g6_i1	NA	NA	1.247776583	0.474516093164332	Brain_mean
TRINITY_DN126398_c0_g1_i1	NA	NA	1.372412339	0.51089138199191	G23_mean
TRINITY_DN126418_c2_g4_i16	NA	NA	2.265110586	0.752306282154601	Liver_mean
TRINITY_DN126419_c5_g1_i1	NA	NA	1.085183844	0.599777804146265	G46_M_mean
TRINITY_DN126424_c0_g2_i6	NA	NA	1.184403474	0.613366176506346	G23_mean
TRINITY_DN126442_c0_g1_i1	NA	NA	1.860868187	0.448973816883712	G46_M_mean
TRINITY_DN126460_c0_g2_i1	golga7	Chr03	1.550800752	0.71466309882492	G46_M_mean
TRINITY_DN126460_c0_g5_i1	NA	NA	1.377975788	0.720577907726339	G46_M_mean
TRINITY_DN126469_c1_g1_i1	NA	NA	1.317211435	0.447384683307211	Ovary_mean
TRINITY_DN126527_c2_g1_i1	NA	NA	1.352607466	0.340559209157261	Liver_mean
TRINITY_DN126593_c2_g1_i4	efhb	Chr06	1.499648448	0.457715488732403	G27_mean
TRINITY_DN126598_c0_g1_i2	NA	NA	1.220559943	0.371341475439195	G43_M_mean
TRINITY_DN126598_c0_g2_i1	NA	NA	1.957902285	0.49782913002931	G43_M_mean
TRINITY_DN126614_c0_g1_i1	hoxb6	Chr10	1.49207838	0.544851082059994	Testis_mean
TRINITY_DN126720_c3_g2_i5	NA	NA	2.58294273	0.749572251338157	Liver_mean
TRINITY_DN126783_c1_g10_i1	tspear	Chr09	1.600326224	0.255741920590455	G46_M_mean
TRINITY_DN126808_c0_g1_i1	NA	NA	1.483898154	0.573187047550293	Testis_mean
TRINITY_DN126836_c2_g1_i2	NA	NA	1.406851768	0.301457599054355	G46_M_mean
TRINITY_DN126877_c0_g1_i1	slc35a3.2	Chr07	1.347600354	0.396750534555488	G43_M_mean
TRINITY_DN126878_c0_g1_i1	NA	NA	1.27315894	0.544358238444746	Brain_mean
TRINITY_DN126888_c6_g1_i1	NA	NA	4.709437918	0.800419146142382	G46_M_mean
TRINITY_DN126888_c6_g2_i3	dazap1	Chr01	3.063693907	0.737736225933811	G46_M_mean
TRINITY_DN126900_c0_g6_i1	NA	NA	1.121427757	0.412521685952484	G43_M_mean
TRINITY_DN126900_c0_g7_i1	NA	NA	1.052652346	0.475908129772266	G43_M_mean
TRINITY_DN126981_c2_g1_i2	NA	NA	1.054809745	0.509485557752245	G27_mean
TRINITY_DN126986_c0_g1_i1	NA	NA	1.119935674	0.533487465598796	G31_mean
TRINITY_DN127055_c1_g5_i1	NA	NA	8.64976726	0.752713295531492	G23_mean
TRINITY_DN127146_c0_g1_i1	LOC100488563-like	Chr10	1.985211422	0.736626746227934	G43_M_mean
TRINITY_DN127208_c2_g6_i1	usp1	Chr04	3.528729144	0.658158459225435	Brain_mean
TRINITY_DN127211_c0_g1_i1	atxn1-like	Chr06	2.120154798	0.754668260086995	G27_mean
TRINITY_DN127236_c4_g3_i2	NA	NA	1.486243892	0.691366591656752	Liver_mean
