ID	A10FB	A10MB	A12FB	A15FB	A15MB	A16FB	A16MB	A17FB	A17MB	A8MB
TRINITY_DN91116_c5_g1_i1	241.536	150.706	197.699	66.3483	218.806	353.843	250.102	200.896	199.859	125.105
TRINITY_DN90521_c3_g1_i1	7	8	11	21	57	39	17	31	19	21
TRINITY_DN122042_c0_g1_i1	23	22	37	40	62	31	19	35	29	18
TRINITY_DN91458_c3_g1_i3	748.992	864	918	1007	1819	1186	756	1108	1040.36	637
TRINITY_DN88692_c2_g2_i1	7	10	2	6	10	17	7	5	8	6
TRINITY_DN81994_c0_g1_i9	3555	4351	3322	2887	5525	5291	3591	4447	3779	2996
TRINITY_DN88102_c1_g2_i1	202	263	284	258	542	411	238	341	229	302
TRINITY_DN73081_c0_g4_i1	9	20	15	4	13	24	6	19	10	23
TRINITY_DN103124_c0_g1_i1	2	6.14912	9	7.80959	16	11.3948	4	13.3957	9	10
TRINITY_DN81658_c0_g3_i1	28	43	33	23	38	42	24	53	40	28
TRINITY_DN27993_c0_g1_i1	14	5	45	11	0	0	0	39	0	0
TRINITY_DN79671_c0_g1_i1	43	33	55	60	115	60	49	71	79	66
TRINITY_DN69004_c0_g2_i1	35	40	48	59	103	31	41	69	66	50
TRINITY_DN82512_c6_g3_i1	82.4527	99.4103	86.3329	97.1904	139.398	166.003	67.3579	98	99.0074	84.3902
TRINITY_DN85727_c3_g1_i1	24	53	17	24	85	35	21	27	17	15
TRINITY_DN89750_c5_g1_i3	40.8076	73	45	44.8307	61	65	20	45	65	74
TRINITY_DN85372_c0_g1_i2	211	159	117	124	242.133	257.142	162	146	164.542	150
TRINITY_DN87368_c0_g1_i1	17	9	16	15	9	6	3	7	20	14
TRINITY_DN88843_c4_g9_i1	122.311	142.412	113.445	109.959	166.643	187.657	114.979	202.988	173.02	80.5897
TRINITY_DN91270_c0_g8_i1	2.16653	2.09052	3	32.4136	23.8275	29.4306	0	8.52267	3.93173	0
TRINITY_DN37680_c0_g1_i1	7	8	5	5	11	14	6	16	4	12
TRINITY_DN93128_c2_g1_i11	146	168	287	369	406	441	472	154	95	156
TRINITY_DN70800_c0_g2_i2	6	4	4	5	4	0	3	70	0	2
TRINITY_DN86123_c1_g10_i1	8	10	5	13	3	20	11	13	6	8
TRINITY_DN93692_c0_g1_i1	6	0	0	13	8	7	3	9	0	24
TRINITY_DN91547_c1_g3_i3	40	61	53	66	102	71	38	69	65	55
TRINITY_DN87731_c0_g1_i1	40	19	31	13	16	28	9	18	8	22
TRINITY_DN75235_c0_g1_i1	99.9853	61.7761	82.5816	70.7977	218.464	97.7104	48.5329	67.9822	88.1812	123.162
TRINITY_DN86308_c1_g3_i3	44	48	55	28	87	72	49	42	47	43
TRINITY_DN74708_c0_g1_i1	46.2094	31	48.3807	45.3297	63.1311	50.1574	49	33.356	32	50
TRINITY_DN83992_c1_g2_i1	144	121	130	102	175	159	88	119	150	95
TRINITY_DN90013_c0_g1_i3	48	60	32	40	55	43	27	37	62	60
TRINITY_DN88283_c1_g2_i1	79	104	105	139	267	121	128	109	73	166
TRINITY_DN123842_c0_g1_i1	88	15	209	56	4	0	0	210	0	0
TRINITY_DN87652_c0_g1_i1	129.286	160.67	153.531	105.681	374.343	154.714	166.386	140.249	143.024	198.326
TRINITY_DN50930_c0_g1_i1	73	40	37	32	96	70	23	51	59	118
TRINITY_DN92094_c0_g2_i1	35	38	43	43.5497	87	58	21	43	58	40
TRINITY_DN85039_c7_g1_i1	16	20	23	18	71	37	22	45	32	20
TRINITY_DN83148_c0_g1_i1	38	20.0067	26	41.0473	42.0437	31.009	19.0187	18.0879	29	23.0111
TRINITY_DN88940_c3_g2_i2	104	153	144	159	226	143	142	152	160	111
TRINITY_DN58356_c0_g1_i1	0	0	0	0	0	0	0	0	0	0
TRINITY_DN83349_c4_g5_i1	2	5	2	2	1	2	1	1	2	5
TRINITY_DN91803_c0_g3_i2	975	1025	816	992	1842	1584	593	1353	1337	841
TRINITY_DN89520_c6_g1_i1	27	19	47	35	70	55	27	41	30	36
TRINITY_DN86394_c2_g1_i1	19	24	11	14	18	10	22	20	15	18
TRINITY_DN68452_c1_g2_i1	6	9	11	13	33	13	9	14	18	5
TRINITY_DN76716_c0_g1_i1	45	14	11	38	38	44	20	8	7	40
TRINITY_DN77374_c1_g3_i1	44	59	64	61	134	60	64	54	56	52
TRINITY_DN88010_c0_g2_i1	196	332	192	208	676	351	292	226	440	182
TRINITY_DN72222_c0_g1_i1	133	117	108	73	199	132	113	171	129	164.544
TRINITY_DN84075_c2_g1_i5	122	164	166	136	353	179	195	250	128	157
TRINITY_DN77315_c0_g3_i1	80	53.2483	88	76	102.682	113	55.7684	72	117	73
TRINITY_DN93085_c1_g3_i1	294.311	188.501	268.359	269.071	418.36	257.615	173.599	233.828	192.091	144.914
TRINITY_DN91046_c0_g5_i1	187.671	157	145	219.712	252.267	147	172	189	152	190.995
TRINITY_DN57609_c0_g1_i1	142	168	119	99	270	182	144	151	194	100
TRINITY_DN87440_c4_g2_i1	79	101	91	90	187	159	107	107	139	141
TRINITY_DN90196_c1_g3_i2	77	79	44	44	121	103	86	48	66	51
TRINITY_DN71531_c0_g1_i1	0	0	0	0	1	0	1	0	0	0
TRINITY_DN76870_c0_g4_i1	4	3	12	6	13	13	5	11	6	8
TRINITY_DN86582_c1_g1_i1	28	24	26	29	39	52	32	30	17	35
TRINITY_DN88749_c6_g1_i1	272.237	421.752	328.688	352.756	655.29	524.959	275.485	446.821	286.907	320.238
TRINITY_DN91446_c0_g1_i5	183	189	183	191	285	227	142	221	248	173
TRINITY_DN94297_c0_g1_i2	338.281	324.753	458.092	414.259	639.074	667.093	380.169	510.413	456.08	414.702
TRINITY_DN66678_c0_g1_i1	26	29.3458	18	20	31	29	16	23.6708	26	19
TRINITY_DN91138_c1_g2_i1	0	0	0	0	0	0	0	0	0	0
TRINITY_DN89030_c3_g2_i1	47.4359	44	81.4676	70.8477	112.426	50	53	44	78	44
TRINITY_DN60950_c0_g1_i1	12	1	5	4	0	4	15	0	1	0
TRINITY_DN93283_c0_g5_i1	57	83	75	42	80	86	61	82	87	47
TRINITY_DN89681_c4_g1_i1	28.7038	16.9758	14.0181	0	31.0558	33.9676	3.36278	35.9094	36.4415	22.2079
TRINITY_DN93811_c0_g2_i1	8	5	0	0	0	0	0	2.09956	0	4.95099
TRINITY_DN51458_c0_g2_i1	0	0	0	0	2	1	0	1	0	0
TRINITY_DN83813_c0_g2_i1	203.145	181.602	119.492	164.86	213.069	221.62	88.5332	178.553	209.633	87.5744
TRINITY_DN83858_c0_g1_i1	818	961	735	750	1546	1115	925	890	905	856
TRINITY_DN75233_c0_g1_i2	230	218	204	143	361	285	171	268	170	201
TRINITY_DN78320_c0_g1_i1	17	14	8	8	22	10	15	32	12	12
TRINITY_DN85053_c2_g3_i1	52.517	173.391	86.1277	234.709	395.181	382.63	258.276	74.7498	351.754	291.288
TRINITY_DN88324_c2_g3_i1	30.5891	39.2022	37.6564	67.751	136.032	55.076	42.7359	53.3318	62.849	37.9595
TRINITY_DN76448_c1_g1_i1	148	105	85	78	114	196	140	78	126	177
TRINITY_DN94063_c2_g3_i3	196.889	149.774	165	160.864	414.849	179.095	114.493	144.869	147.202	213.891
TRINITY_DN63773_c0_g1_i1	81.5857	81.6509	71.4483	70.4427	131	104.168	67.4536	89	105.941	92.2698
TRINITY_DN92653_c1_g6_i1	5	2	6	2	3.00689	2	4	4.00587	2	6
TRINITY_DN89051_c0_g1_i1	10977	7498	6637	5611	11816	9182.99	7788	6192.99	4976.98	8025
TRINITY_DN92864_c3_g4_i1	56	54	61.5505	55.4899	91.4717	73.9232	58	92.1405	81.0989	64
TRINITY_DN64168_c0_g2_i1	15	11	23	21	44	32	10	32	35	18
TRINITY_DN92008_c6_g1_i1	92.1918	149.886	140.053	114.212	320.161	178.386	126.379	168.314	170.213	105.288
TRINITY_DN39765_c0_g2_i1	12	17	19	19	24	26	6	14	20	9
TRINITY_DN62710_c0_g1_i1	45.4031	92.7849	44.4785	82.018	78.8735	117.034	69.0091	54.3153	80.7493	72.6358
TRINITY_DN90681_c1_g3_i1	178.737	376	333	349	425	390	228	715	419	323.925
TRINITY_DN81197_c1_g2_i1	4.01565	0	2.0088	0	1.0085	1.01628	1.01521	3.00391	5.13618	2.00513
TRINITY_DN92982_c4_g5_i1	131.509	98.9367	136.935	99.8277	196.36	160.917	96.9958	150.338	151.721	158.251
TRINITY_DN92453_c4_g4_i1	245	304	221	255	483	365	320	345	267	214
TRINITY_DN79091_c1_g1_i2	17.4108	16.9253	15.4178	9.31274	43.7276	20.7927	31.1393	20	27.5827	15.4965
TRINITY_DN39242_c0_g1_i1	12.1838	6.98925	9.67562	21.1662	28.2376	20.2563	7.71352	12.9886	12.8149	9.74357
TRINITY_DN85340_c3_g5_i1	29.1219	53.6713	40	56.9518	80.8594	66	62.5213	66	81	47.1719
TRINITY_DN79533_c0_g1_i1	1508	1737	1415	1230	2111	2238	1512	1378	1194	1026
TRINITY_DN84246_c0_g2_i3	22	38	103	80	204	72.0748	68	35	13	168
TRINITY_DN93889_c2_g1_i2	4682	5513	4856	4095	8048	7545	5168	6293	5330	4635
TRINITY_DN90542_c3_g1_i2	1981	2293	2234	2171	3945	3190	1946	2836	2660	2362
TRINITY_DN91622_c2_g1_i1	8	15	15	14	24	11	9	10	11	21
TRINITY_DN88684_c1_g2_i1	103	92	121	70	198	136	67	143	107	146
TRINITY_DN23716_c0_g1_i1	32	25	10	8	32	31	7	30	16	22
TRINITY_DN53737_c0_g1_i1	3	1	2	6	9	3	3.0084	5.00624	3	2
TRINITY_DN93648_c7_g1_i4	33	49.4005	31.8974	38.1623	80.2163	41.7895	40.313	49.5235	35.5986	45.2396
TRINITY_DN92470_c0_g1_i1	506	613	513	600	857	924	532	633	512	511.111
TRINITY_DN86288_c0_g2_i1	0	2	1	1	2	1	1	2	0	0
TRINITY_DN87041_c2_g1_i5	91	187.081	139	104.049	284.251	149	111	132	142	141.729
TRINITY_DN81803_c1_g3_i4	746	778	1040	827	1124	832	1096.56	1279	848.033	902
TRINITY_DN76128_c0_g2_i1	149	130	122	130	177	164	117	96	160	157
TRINITY_DN87398_c0_g1_i1	635	763	482	501	843	702	430	596	599	738
TRINITY_DN92458_c1_g5_i1	6	3	9	17	24	6	12	5	14	14
TRINITY_DN78550_c0_g1_i1	403	429	277	288	507	443	274	301	282	334
TRINITY_DN85356_c2_g1_i2	33	29	28	27	52	75	35	50	44	43
TRINITY_DN91697_c2_g2_i1	166.301	145.103	128.621	131.691	343.486	137.4	111.249	148.093	145.432	166.027
TRINITY_DN90629_c2_g3_i1	0	2.54017	1.9136	0	5.02508	7.72923	0	0	0	0
TRINITY_DN76890_c0_g1_i1	9	4	20	5	12	7	7	1	2	10
TRINITY_DN82680_c1_g2_i2	1.01501	7.07882	13.2253	11.5856	16.1653	10.0907	15	12.5086	12.1385	17.7664
TRINITY_DN61752_c0_g1_i2	10	14	15	6	19	7	12	14	21	18
TRINITY_DN79703_c7_g1_i1	21.6023	31.182	26.5786	17.3618	88.9877	29.136	50	32.5939	54.2096	51.1805
TRINITY_DN67578_c0_g1_i1	6	5	15	18	33	17	14	25	7	6
TRINITY_DN79220_c1_g2_i1	28.174	22.2642	62.5176	58.362	74.6857	73.1315	49.1624	62.4433	68.9575	103.366
TRINITY_DN83394_c1_g3_i2	32	42	39	53	91	67	39	58	57	55
TRINITY_DN90815_c5_g18_i1	178.813	523.353	516.067	371.515	1013.59	503.012	326.41	746.61	263.458	380.029
TRINITY_DN112857_c0_g1_i1	11	2	37	9	0	1	0	40	0	0
TRINITY_DN67863_c0_g2_i1	0	3	0	2	6	2	2	3	1	5
TRINITY_DN86743_c0_g1_i1	251	221	231	204	487	331	267	253	230	329
TRINITY_DN93654_c1_g4_i2	212	181	142	149	315	279	162	181	172	190
TRINITY_DN91203_c3_g3_i1	161	168	154	159	270	202	105	208	158	189
TRINITY_DN84434_c0_g1_i1	10	4	14	9	59	3	10	24	15	48
TRINITY_DN85115_c4_g5_i3	19	15	33	28	88	34	26	33	22	29
TRINITY_DN89668_c0_g2_i2	30	41	32	37	64	66	30	52	41	46
TRINITY_DN47402_c0_g2_i1	4	4	2	1	7	5	3	13	9	5
TRINITY_DN79349_c2_g1_i1	43	66	34	53	83	67	45	52	40	41
TRINITY_DN90504_c3_g4_i1	50	31	38	41	40	74	22	40	59	46
TRINITY_DN75080_c0_g1_i1	1	1	1	0	0	0	0	0	0	3
TRINITY_DN84375_c0_g4_i2	24	31	31	27	46	37	17	36	36	34
TRINITY_DN121853_c0_g1_i1	0	52.6624	31.6804	0	47.0677	30.9456	28.211	22.4536	37.7627	26.5547
TRINITY_DN118917_c0_g1_i1	1	2	2	2	0	2	0	2	0	2
TRINITY_DN93089_c0_g8_i1	4	5	9	7	20	4	13	11	8	18
TRINITY_DN83007_c4_g4_i1	15	11	24	16	28	37	19	18	14	20
TRINITY_DN92386_c1_g2_i2	153.446	249.301	217.349	216	407.564	345.375	282.688	240.349	222.748	171.34
TRINITY_DN83315_c0_g1_i1	4	8	6	3	18	13	4	10	14	6
TRINITY_DN93356_c0_g1_i1	57.0227	39	79.0286	87.0449	79.1483	130.051	56	119.184	55	64
TRINITY_DN88258_c3_g1_i2	538	722	729	720	1245	835	511	1027	771	736
TRINITY_DN92634_c1_g8_i1	4.08903	0	3.18255	4.26414	2.08225	3.23937	3.18771	4.21055	3.18305	5.53041
TRINITY_DN83018_c0_g1_i1	13.0218	13.6021	16.3893	19.3034	21.2267	28.3545	11.5504	27.3702	20.2918	24.282
TRINITY_DN93203_c0_g1_i4	122	95	235	233	353	224	103	171	129	228
TRINITY_DN90348_c0_g1_i4	66	62	100	98	172	111	80	114	133	91
TRINITY_DN78964_c0_g4_i1	28	15	91	49.2878	165	31	21	22	20	98
TRINITY_DN85444_c2_g7_i1	43.3961	19.3135	45.9034	34.8299	45.2549	62.2674	23.4199	39.1198	40.0707	41.2522
TRINITY_DN84899_c0_g1_i2	11	24	31	28	48	33	31	35	36	26
TRINITY_DN89768_c0_g1_i2	334	351	329	303	511	494	263	401	385	252
TRINITY_DN84017_c0_g2_i1	19	15	16	27	35	37	27	24	29	36
TRINITY_DN84437_c0_g3_i4	205	124	60	123	118	519.05	344	339.637	113	169
TRINITY_DN88119_c0_g3_i4	1494	1489	1189	1253	2334	1964	1290	1353	1217	1503
TRINITY_DN84145_c9_g1_i1	102.57	31	118.293	86	139.518	73.8287	53.3428	35.334	88	78
TRINITY_DN78722_c0_g2_i1	5	15	11	9	23	31.5944	3.19155	8.33526	6.89746	17
TRINITY_DN69947_c0_g1_i1	33	33	22	17	31	29	36	24	21	29
TRINITY_DN93583_c1_g1_i3	55	55	36	40	32	39	10.496	40	28.5797	51.7688
TRINITY_DN70337_c0_g1_i1	0	4	0	0	0	0	0	0	0	0
TRINITY_DN85451_c2_g1_i1	522	399	285	248	443	460	305	287	182	224
TRINITY_DN90479_c0_g2_i1	113	160	165	165	233	249	173	144	139	137
TRINITY_DN84957_c0_g2_i5	277.429	444.424	138.278	211.206	445.319	256.558	241.796	212.323	368.425	243.289
TRINITY_DN88242_c0_g1_i2	983	1091	804	719	1546	1322	745	1070	1124	707
TRINITY_DN88049_c1_g3_i1	6	0	2.02171	3	3	9	0	0	4	1
TRINITY_DN91412_c6_g5_i1	1	4	5	4	36	6	15	5	8	2
TRINITY_DN45386_c0_g1_i1	13	9	18	8	20	6	5	24	7	14
TRINITY_DN92689_c3_g1_i1	8	8	8	26	27.2596	28	15	9	12	10
TRINITY_DN86559_c0_g2_i1	63	38	40	40	73	50	50	47	29	53
TRINITY_DN83347_c0_g1_i2	500	435	299	271	533	488	313	349	264	323
TRINITY_DN25355_c0_g1_i1	20	17	17	16	18	36	13	24	11	13
TRINITY_DN101251_c0_g1_i1	14	11.2019	15	12.3446	18	12	8	24	21	14.2201
TRINITY_DN93670_c0_g2_i4	242	201	172	214	437	359	252	218	248	275
TRINITY_DN94323_c3_g1_i8	303	206	392	411	496	693	179	292	388	298
TRINITY_DN94499_c2_g1_i1	109	22	288	64	0	0	0	333	0	0
TRINITY_DN51556_c0_g3_i1	19	21	16	13	43	22	28	18	16	11
TRINITY_DN87307_c1_g1_i1	7	11	9	17	25	11	6	22	23	18
TRINITY_DN48549_c0_g1_i1	5.32999	3.2587	0	0.401986	0	0	6.50454	0	0	13
TRINITY_DN87851_c10_g1_i2	13154	14107	12249	8851	19356	19154	11715	15282	11060	10645
TRINITY_DN91339_c3_g2_i1	27	13	17	24	27	40	14	22	12	9
TRINITY_DN63693_c0_g2_i1	61	58	42	65	105	47	57	70	85	74
TRINITY_DN86776_c1_g1_i1	118.218	88	140.199	142.845	247.744	147.601	93.1831	139.432	126.317	124
TRINITY_DN74139_c0_g1_i1	1286	1383	1090	866	1798	1665	952	1034	1359	897
TRINITY_DN90093_c0_g2_i1	8114.86	10115	7594.93	7510.98	15707.9	13880.9	10795	9268.83	9745.99	8486.9
TRINITY_DN92726_c4_g1_i3	1	3	7	8	5	7	6	15	2	11
TRINITY_DN77481_c0_g1_i1	89	104	119	129	240	114	98	124	217	117
TRINITY_DN112298_c0_g1_i1	10	11	10	15	27	11	6	12	19	20
TRINITY_DN84167_c1_g2_i1	36216	29054	23540	22105	43717	33001	28985	21268	16382	28132
TRINITY_DN94530_c3_g1_i1	2915.48	2911.79	2702.57	3220	5902	3807.37	2708	3372	2862.25	3878
TRINITY_DN86500_c0_g1_i1	123.341	131.365	113	148	208	241	127	210	78	145.321
TRINITY_DN80085_c1_g1_i1	45	40	60	38	81	55	63	50	42	31
TRINITY_DN90469_c4_g3_i2	61.7773	15	29	17.428	96	58	42	18	22.4901	28.5186
TRINITY_DN90702_c1_g3_i1	61	71	62	67	96	98	42	62	70	82
TRINITY_DN93826_c1_g1_i3	12	13	3	5	4	5	3	3	2	6
TRINITY_DN88673_c0_g1_i1	0	3	4	3	7	3	1	1	2	6
TRINITY_DN71074_c0_g1_i1	17.0329	62.1963	40.9621	80.347	46.0709	98.0406	51.8257	26.4111	15.3083	63.5532
TRINITY_DN84843_c0_g1_i1	145	148	146	152	307	212	141	160	173	107
TRINITY_DN87258_c4_g1_i2	149.22	164.415	149.205	142.646	242.292	199.786	96.5541	163.493	196.79	195.907
TRINITY_DN91170_c7_g3_i1	14.5455	32	25.0833	56	38.6364	52	26	72	48	49
TRINITY_DN93623_c3_g5_i3	73.9506	77.129	46.3302	55.6615	145.252	108.224	78.3796	57.4462	105.823	61.627
TRINITY_DN66628_c0_g1_i1	10	13.5013	17	10	21.0504	11	15.2717	9	5	10
TRINITY_DN83813_c0_g8_i2	1252	1696	1697.99	1661	3003	2266	1756.99	2213	1683	1350
TRINITY_DN86391_c5_g3_i1	4427	5415	4983	4516	9292	6524	4767	5969	4242	4841
TRINITY_DN87036_c2_g1_i2	347	309	367	432	658	407	293	388	391	384
TRINITY_DN91701_c0_g5_i1	84.4603	101.27	77.2468	80.2176	144.974	140.735	109.572	95.2927	188.052	216.266
TRINITY_DN81752_c0_g1_i2	170	250	174	167	245	350	195	211	138	212
TRINITY_DN84724_c0_g2_i1	17	21.3605	6	14	72	2	7	5	5	14
TRINITY_DN86920_c0_g1_i2	142	137	134	148	267	214	116	152	121	179
TRINITY_DN88690_c1_g2_i2	379.731	372.805	445.178	305.417	485.859	437.014	171.329	404.646	616.874	371.214
TRINITY_DN84693_c1_g1_i2	43	32	58	61	118	58	22	46	36	34
TRINITY_DN83947_c1_g4_i1	237	169	357	410	372	532	277	299	381	264
TRINITY_DN65448_c0_g1_i1	14	25	17	18	20	19	13	26	28	14
TRINITY_DN92238_c2_g2_i1	52	80	57	45	84	34	39	67	100	45
TRINITY_DN83937_c0_g2_i2	297.483	393.475	217.672	228	450.708	423.47	349	283.417	285	214.369
TRINITY_DN66498_c0_g1_i2	71.0449	44	70.6514	77	139	42.3075	42	102	103	73
TRINITY_DN92822_c1_g1_i1	65	45	60	48	110	67	41	52	47	51
TRINITY_DN75215_c0_g1_i1	85.5369	74.6181	80.6579	50.7175	137.955	115.824	87.3226	108.711	84.2612	66.7264
TRINITY_DN92946_c8_g3_i1	158.241	135.291	117.076	110.921	231.35	162.374	122.75	168.587	179.014	198.763
TRINITY_DN76174_c0_g2_i2	100	86	96	115	199	152	99	112	78	101
TRINITY_DN69997_c0_g1_i1	18.9743	28.6053	29.2653	18.9239	38.6868	24.647	16.3413	40.0522	32.9821	30.5116
TRINITY_DN89789_c0_g1_i3	114.279	114.213	177.406	175.273	315.512	166.533	95.269	241.438	114.291	136.126
TRINITY_DN79581_c0_g4_i1	25	27	12	18	38	24	18	19	19	17
TRINITY_DN91469_c2_g4_i1	0	0	0	1.01093	0	0	1	0	0	1.0104
TRINITY_DN76811_c1_g1_i1	69.9598	64.5251	54.2751	42.7392	89.3784	69.4196	53.1317	45.3112	74.8625	50.1577
TRINITY_DN72572_c0_g1_i1	23.0204	27.0655	8.02556	7.00643	19.0179	30.0753	11.0242	40.0509	39.1348	21.055
TRINITY_DN72375_c0_g1_i1	437	714	569	474	1160	768	612	602	556	489
TRINITY_DN80266_c2_g4_i4	114	97	117	93.6487	220	111	86	115	155	151
TRINITY_DN91001_c6_g3_i1	4	10	6	28	56	85	7	46	4	3
TRINITY_DN94615_c4_g7_i1	14	41	37	33	48	23	23	53	39	30
TRINITY_DN65401_c1_g1_i1	0	3	0	0	4	1	2	0	4	0
TRINITY_DN89867_c2_g1_i3	238.523	165.875	188.234	335.93	468.743	349.297	176.305	235.218	84.3143	233.833
TRINITY_DN85781_c1_g1_i4	109	103	111	90	200	131	117	127	144	90
TRINITY_DN92200_c5_g2_i2	32	24	44	27	37	46	32	26	30	50
TRINITY_DN88040_c5_g2_i1	36	39	45	30	55	82.7889	55	49.6639	29	53
TRINITY_DN92731_c0_g1_i1	14.3026	8.14337	7	11.4391	20.3902	13	6	13.6451	8.74906	14.5421
TRINITY_DN81145_c1_g2_i1	39	28	65.8372	44	92	80	45	56	45	50
TRINITY_DN71721_c0_g1_i1	0	106	81	55	145	86	41	111	139	134
TRINITY_DN80878_c1_g1_i1	41.2579	68.3676	48.0665	76	122	69.1823	46.1661	141.326	44.3464	69.448
TRINITY_DN84391_c3_g3_i1	21.4552	411.99	272.999	261	431.99	296.061	0.000833407	472.525	425.999	333.008
TRINITY_DN81654_c0_g1_i1	356	462	217	261	529	521	280	251	239	338
TRINITY_DN91456_c1_g2_i2	130	129.04	163	96	234	189	109	240	217	281
TRINITY_DN77298_c0_g1_i1	2	0	0	0	3	0	0	0	1	0
TRINITY_DN86013_c4_g2_i4	11.0757	5.03332	8	11	16	26.6081	4.30506	8.0447	17	16.1824
TRINITY_DN85884_c2_g3_i1	5.11171	13.625	14.897	8.53109	35.5879	20.3463	16.0911	13.0125	9.69226	16.5719
TRINITY_DN89965_c2_g1_i4	132.721	100.859	111.627	119.643	292.956	186.948	93.1261	84.9468	124.965	125.523
TRINITY_DN70504_c0_g1_i1	14.4893	17.4149	26.8561	13.4383	24.4838	36.0623	24.5924	22.6521	8.59173	17.0672
TRINITY_DN67928_c0_g1_i1	13	20	26	13	26	22	22	15	15	11
TRINITY_DN87699_c2_g4_i2	1291.73	1487.9	1753.77	1723.86	3129.45	2007.87	1655.85	1562	1278.43	1448.83
TRINITY_DN83935_c1_g1_i3	45	27	43	50	83	60	33	79	36	61
TRINITY_DN85943_c2_g5_i2	0	0	0	0	0	0	0	0	0	0
TRINITY_DN84222_c5_g1_i1	76.6294	87.3359	78.2139	69.8791	133.517	114.568	78.5004	104.344	99.484	72.427
TRINITY_DN84919_c4_g2_i1	41	54.1342	55	32	58	54	42	53	56	48
TRINITY_DN67052_c0_g1_i1	2	9	20	4	12	1	1	16	18	15
TRINITY_DN76882_c0_g1_i1	170	133	132	131	224	223	143	146	153	132
TRINITY_DN92757_c6_g4_i1	222	351.507	221.771	200	312.623	247	182.666	268	275	254.344
TRINITY_DN91950_c4_g1_i1	2	1	1	0	1	0	0	0	1	1
TRINITY_DN92294_c3_g1_i1	8913	6050	4444	4686	8684	6972	6471	4924	6278	8731
TRINITY_DN38047_c0_g2_i1	0	0	2.0258	0.000102147	1.00737	0	2.02327	1.02228	1.00264	1.01237
TRINITY_DN71967_c0_g1_i1	2665	2865	2314	2247	3751	3931	2482	2928	2773	2333
TRINITY_DN94356_c0_g1_i1	870	1072	635	721	1513	1237	873	807	897	963
TRINITY_DN79731_c0_g2_i1	19	8	9	17	13	12	11	15	19	23
TRINITY_DN39122_c0_g2_i1	1	0	4	5	1	1	0	2	1	4
TRINITY_DN78075_c0_g1_i6	2	5	2	5	6	10	7	2	4	2
TRINITY_DN77887_c0_g1_i1	0	0	0	1	2	0	2	2	1	1
TRINITY_DN88720_c5_g1_i1	8.04641	8.54251	9.60838	10.8029	34.9599	9	12	7	2.21081	20.0416
TRINITY_DN81782_c1_g5_i2	85.4916	47.6663	116.71	56.5426	103.781	32.2796	48.4734	32.1077	66.3371	94.6821
TRINITY_DN94162_c2_g1_i1	42	20	26	43	52.5954	78.671	28	30	35.8641	18
TRINITY_DN91791_c1_g3_i1	4	11	8	7	6	8	8	5	10	6
TRINITY_DN84556_c0_g2_i1	10.8167	6.80401	3.1267	5.46384	11.0111	1.0545	9.26022	3.13739	11.2852	5.70522
