gid	gname	chr	start	end	logFC.XYtestis.XXovary	abslogFC.XYtestis.XXovary	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN103150_c0_g1_i1	LOC100489834-like	Chr09	56025025	56025025	1.099079787	1.099079787	unbias	0.375544167	Testis_mean	0.0816	0.1245	1.5262
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	-0.227298157	0.227298157	unbias	0.568647296	Brain_mmean	0.0471	0.0801	1.6985
TRINITY_DN103209_c0_g3_i2	LOC100495429	Chr09	46235139	46235139	-0.18722787	0.18722787	unbias	0.139736082	Ovary_mean	0.1141	0.2017	1.7681
TRINITY_DN103526_c0_g1_i1	capn2.2	Chr05	5263143	5263143	-2.629955349	2.629955349	female	0.619290643	Ovary_mean	0.0511	0.0908	1.7749
TRINITY_DN103621_c0_g1_i2	smc3	scaffold_401	72807	72807	-1.717840771	1.717840771	female	0.700727109	Ovary_mean	0.1704	0.2308	1.3544
TRINITY_DN103622_c0_g3_i3	NA	NA	NA	NA	-2.907884227	2.907884227	female	0.5106073	Ovary_mean	0.1036	0.1679	1.6208
TRINITY_DN103653_c0_g1_i1	cbll1	Chr03	66684436	66684436	-4.404281168	4.404281168	female	0.767498165	Brain_fmean	0.0311	0.0462	1.4862
TRINITY_DN103657_c0_g2_i2	six1	Chr08	82160146	82160146	0.233362669	0.233362669	unbias	0.87217626	Brain_fmean	0.0024	0.0042	1.7295
TRINITY_DN103704_c0_g1_i1	NA	NA	NA	NA	-1.662437395	1.662437395	female	0.779787765	G31_mmean	0.1949	0.2886	1.4806
TRINITY_DN103720_c0_g1_i2	NA	NA	NA	NA	-0.15187811	0.15187811	unbias	0.498870473	Brain_mmean	0.1192	0.1809	1.5179
TRINITY_DN103783_c0_g1_i1	NA	NA	NA	NA	-1.205059818	1.205059818	female	0.490403251	Ovary_mean	0.1565	0.2719	1.738
TRINITY_DN103838_c0_g1_i1	NA	NA	NA	NA	-6.480451356	6.480451356	female	0.793468978	Ovary_mean	0.0743	0.1212	1.6324
TRINITY_DN103855_c0_g1_i1	stk16	Chr09	78602996	78602996	6.274621618	6.274621618	male	0.557022048	Testis_mean	0.0197	0.0249	1.2626
TRINITY_DN103859_c0_g1_i1	dlgap1	Chr06	91641944	91641944	3.415362294	3.415362294	male	0.962343999	Testis_mean	0.1828	0.3626	1.9837
TRINITY_DN103896_c0_g1_i2	LOC101731651	scaffold_135	53302	53302	0.213918571	0.213918571	unbias	0.542271212	G23_mmean	0.136	0.2344	1.7238
TRINITY_DN103989_c0_g1_i1	NA	NA	NA	NA	-0.373198263	0.373198263	unbias	0.258720657	Ovary_mean	0.0885	0.1434	1.6201
TRINITY_DN104173_c0_g1_i1	pfkp	Chr06	12075746	12075746	1.762070191	1.762070191	male	0.265391286	Testis_mean	0.1217	0.2082	1.7112
TRINITY_DN104207_c0_g1_i1	NA	NA	NA	NA	-0.78871563	0.78871563	unbias	0.722574477	Ovary_mean	0.1071	0.1454	1.358
TRINITY_DN104287_c1_g1_i1	NA	NA	NA	NA	0.48445165	0.48445165	unbias	0.518937609	Brain_fmean	0.0892	0.173	1.9391
TRINITY_DN104339_c0_g1_i2	NA	NA	NA	NA	-0.642008972	0.642008972	unbias	0.443111179	Ovary_mean	0.0099	0.0157	1.5775
TRINITY_DN104365_c0_g3_i1	scml4-like	Chr05	75784736	75784736	-0.738042667	0.738042667	unbias	0.471346293	Ovary_mean	0.0999	0.1188	1.1895
TRINITY_DN104428_c0_g1_i2	slc41a2	Chr03	40671470	40671470	-1.311862547	1.311862547	female	0.288033524	G23_mmean	0.0885	0.1168	1.3195
TRINITY_DN104434_c0_g2_i1	NA	NA	NA	NA	-2.868916072	2.868916072	female	0.812985216	Ovary_mean	0.174	0.3138	1.8029
TRINITY_DN104464_c0_g1_i1	NA	NA	NA	NA	1.111192907	1.111192907	male	0.297143318	Brain_mmean	0.0939	0.1014	1.0793
TRINITY_DN104654_c0_g1_i1	NA	NA	NA	NA	-0.560845841	0.560845841	unbias	0.667587307	Ovary_mean	0.0931	0.1819	1.954
TRINITY_DN104658_c0_g2_i1	NA	NA	NA	NA	-0.518315267	0.518315267	unbias	0.760347627	Ovary_mean	0.1356	0.241	1.7772
TRINITY_DN104667_c0_g1_i3	prpf4b	Chr06	51006452	51006452	2.605115496	2.605115496	male	0.464926481	Brain_mmean	0.0959	0.1441	1.5034
TRINITY_DN104694_c0_g1_i1	NA	NA	NA	NA	-0.208566853	0.208566853	unbias	0.402121776	Brain_mmean	0.0241	0.0443	1.8389
TRINITY_DN104721_c0_g1_i1	NA	NA	NA	NA	3.569384035	3.569384035	male	0.705658308	Brain_mmean	0.0491	0.078	1.5902
TRINITY_DN104740_c0_g1_i2	NA	NA	NA	NA	-2.24163101	2.24163101	female	0.452856277	Ovary_mean	0.0484	0.0932	1.925
TRINITY_DN104751_c0_g1_i2	NA	NA	NA	NA	-2.283459332	2.283459332	female	0.401085647	Ovary_mean	0.0416	0.06	1.4428
TRINITY_DN104801_c0_g1_i1	psma2	Chr06	66010297	66010297	0.461586692	0.461586692	unbias	0.52790364	Brain_fmean	0.0525	0.0603	1.1476
TRINITY_DN104972_c0_g1_i2	NA	NA	NA	NA	0.547463883	0.547463883	unbias	0.088868842	G27_fmean	0.0377	0.0743	1.9699
TRINITY_DN105030_c0_g1_i1	cdkn1a	Chr02	67900893	67900893	-1.694779559	1.694779559	female	0.906354154	Brain_fmean	0.0674	0.0767	1.1379
TRINITY_DN105060_c0_g2_i3	NA	NA	NA	NA	0.004868775	0.004868775	unbias	0.576363007	Brain_fmean	0.0429	0.0716	1.6683
TRINITY_DN105372_c0_g2_i1	LOC100488775-like	Chr05	125888264	125888264	0.922048919	0.922048919	unbias	0.266458137	G46_M_mean	0.0978	0.1708	1.7466
TRINITY_DN105400_c0_g1_i3	NA	NA	NA	NA	0.121842349	0.121842349	unbias	0.24982071	Ovary_mean	0.1525	0.2011	1.3186
TRINITY_DN105438_c0_g1_i1	NA	NA	NA	NA	7.580893634	7.580893634	male	0.804005912	Brain_mmean	0.0759	0.0932	1.2285
TRINITY_DN105440_c0_g1_i1	NA	NA	NA	NA	-2.221296958	2.221296958	female	0.721561751	Ovary_mean	0.05	0.0838	1.6769
TRINITY_DN105578_c0_g1_i1	NA	NA	NA	NA	-2.148793105	2.148793105	female	0.793924477	Ovary_mean	0.1479	0.2113	1.4289
TRINITY_DN105592_c1_g1_i2	NA	NA	NA	NA	0.136787843	0.136787843	unbias	0.224430782	G27_fmean	0.1597	0.2378	1.4894
TRINITY_DN105601_c0_g1_i1	NA	NA	NA	NA	-4.548541026	4.548541026	female	0.701864526	Ovary_mean	0.0889	0.1503	1.6911
TRINITY_DN105647_c0_g2_i1	vwa5a-like	scaffold_138	345924	345924	-11.35528165	11.35528165	female	0.921850243	Ovary_mean	0.5406	0.7804	1.4436
TRINITY_DN105705_c0_g1_i1	smarcc2	Chr02	134219166	134219166	-0.035246483	0.035246483	unbias	0.511401922	G46_F_mean	0.1537	0.2185	1.4217
TRINITY_DN105721_c0_g1_i1	rpn1	Chr04	125087462	125087462	1.711812582	1.711812582	male	0.644234799	G46_M_mean	0.1036	0.1411	1.363
TRINITY_DN105726_c0_g1_i1	NA	NA	NA	NA	0.132903498	0.132903498	unbias	0.538085116	Ovary_mean	0.0788	0.1018	1.2921
TRINITY_DN105744_c0_g1_i1	tgif1	Chr06	91819489	91819489	-1.70206233	1.70206233	unbias	0.604993603	Brain_mmean	0.0641	0.1136	1.7726
TRINITY_DN105902_c0_g1_i1	adat2	Chr05	67567102	67567102	0.21212338	0.21212338	unbias	0.825471316	Brain_fmean	0.0651	0.0739	1.1351
TRINITY_DN105940_c0_g1_i2	pofut2	Chr09	50738397	50738397	-1.211834269	1.211834269	female	0.562203372	Ovary_mean	0.0124	0.0153	1.2403
TRINITY_DN106065_c0_g1_i2	sass6	Chr01	124600137	124600137	-1.536839044	1.536839044	female	0.439832165	Ovary_mean	0.0442	0.0531	1.2023
TRINITY_DN106090_c0_g2_i1	NA	NA	NA	NA	-1.354660205	1.354660205	female	0.213337935	Ovary_mean	0.1269	0.1557	1.227
TRINITY_DN106100_c0_g2_i1	mfsd9	Chr02	107322485	107322485	1.573892266	1.573892266	male	0.805194125	Brain_fmean	0.0313	0.0286	0.9137
TRINITY_DN106101_c0_g1_i1	NA	NA	NA	NA	-0.044572996	0.044572996	unbias	0.114320571	Ovary_mean	0.031	0.0387	1.2467
TRINITY_DN106189_c0_g2_i1	NA	NA	NA	NA	0.048013472	0.048013472	unbias	0.583518706	Liver_fmean	0.1266	0.2486	1.964
TRINITY_DN106296_c0_g1_i1	dpepe	Chr09	50885200	50885200	0.05886623	0.05886623	unbias	0.552262031	Brain_fmean	0.0329	0.0368	1.1181
TRINITY_DN106354_c0_g2_i1	NA	NA	NA	NA	2.291307145	2.291307145	male	0.888873125	Brain_fmean	0.044	0.0704	1.599
TRINITY_DN106366_c0_g5_i1	nkx6-1	Chr01	92538054	92538054	-5.069764019	5.069764019	female	0.527915597	Ovary_mean	0.0889	0.1226	1.3783
TRINITY_DN106368_c0_g2_i1	NA	NA	NA	NA	3.231381906	3.231381906	male	0.256137111	G23_mmean	0.0957	0.1369	1.43
TRINITY_DN106392_c0_g2_i2	NA	NA	NA	NA	0.091638479	0.091638479	unbias	0.310371448	Ovary_mean	0.0667	0.1122	1.683
TRINITY_DN106464_c0_g2_i1	NA	NA	NA	NA	-2.374486129	2.374486129	female	0.775014805	Brain_fmean	0.0366	0.0529	1.4454
TRINITY_DN106476_c0_g1_i1	MGC147576	Chr07	27800564	27800564	1.345697135	1.345697135	male	0.369336964	Brain_mmean	0.0371	0.0623	1.678
TRINITY_DN106492_c0_g1_i4	NA	NA	NA	NA	3.08562748	3.08562748	male	0.718766725	Brain_mmean	0.0316	0.0313	0.9892
TRINITY_DN106620_c0_g1_i1	NA	NA	NA	NA	-2.855106392	2.855106392	female	0.536980079	Ovary_mean	0.0532	0.0741	1.3921
TRINITY_DN106733_c0_g1_i1	pik3r4	Chr06	72298837	72298837	1.609707729	1.609707729	male	0.754311614	Brain_mmean	0.1025	0.1451	1.4155
TRINITY_DN106792_c0_g3_i1	NA	NA	NA	NA	7.133484623	7.133484623	male	1.029500288	Testis_mean	0.066	0.094	1.4245
TRINITY_DN106899_c0_g2_i1	NA	NA	NA	NA	-0.715995299	0.715995299	unbias	0.672974341	Ovary_mean	0.2917	0.4423	1.5162
TRINITY_DN106942_c0_g1_i1	kdm8	Chr09	25889994	25889994	-1.77674507	1.77674507	female	0.609934744	Ovary_mean	0.0487	0.0873	1.7914
TRINITY_DN107170_c0_g1_i1	NA	NA	NA	NA	0.87405461	0.87405461	unbias	0.926884228	Testis_mean	0.2255	0.4167	1.8477
TRINITY_DN107178_c0_g3_i1	NA	NA	NA	NA	-1.121635269	1.121635269	female	0.132910206	G23_fmean	0.0406	0.0775	1.906
TRINITY_DN107234_c0_g1_i1	NA	NA	NA	NA	-0.052738779	0.052738779	unbias	0.462035998	Ovary_mean	0.0603	0.1094	1.8135
TRINITY_DN107308_c0_g1_i1	NA	NA	NA	NA	-1.403345428	1.403345428	female	0.509824948	Ovary_mean	0.0086	0.0117	1.3675
TRINITY_DN107374_c0_g2_i1	NA	NA	NA	NA	-2.522890726	2.522890726	female	0.771299558	Ovary_mean	0.0882	0.1595	1.8091
TRINITY_DN107396_c0_g1_i2	NA	NA	NA	NA	0.557617762	0.557617762	unbias	0.420752774	Brain_mmean	0.0701	0.0936	1.3351
TRINITY_DN107472_c0_g1_i1	syt16-like	Chr08	81613253	81613253	2.396687766	2.396687766	male	0.478024315	Brain_fmean	0.0772	0.0918	1.1896
TRINITY_DN107473_c0_g2_i2	NA	NA	NA	NA	-2.107771112	2.107771112	female	0.319180507	Ovary_mean	0.0783	0.1248	1.595
TRINITY_DN107530_c1_g1_i1	NA	NA	NA	NA	-1.5819096	1.5819096	female	0.326146599	Ovary_mean	0.0974	0.1502	1.5415
TRINITY_DN107548_c0_g1_i1	NA	NA	NA	NA	-1.092304804	1.092304804	unbias	0.784671433	Ovary_mean	0.3691	0.5935	1.6081
TRINITY_DN107696_c0_g1_i4	NA	NA	NA	NA	-2.248876587	2.248876587	female	0.543133436	Ovary_mean	0.0631	0.067	1.0609
TRINITY_DN107740_c0_g1_i1	NA	NA	NA	NA	-2.521128149	2.521128149	female	0.651408248	Ovary_mean	0.0127	0.0151	1.1955
TRINITY_DN107761_c0_g1_i1	NA	NA	NA	NA	1.864508024	1.864508024	male	0.540941576	Brain_mmean	0.0647	0.1191	1.8409
TRINITY_DN107774_c0_g1_i2	NA	NA	NA	NA	-0.471882319	0.471882319	unbias	0.233174819	Ovary_mean	0.0257	0.0288	1.1202
TRINITY_DN107777_c0_g6_i1	fli1	Chr07	66629448	66629448	-0.381757338	0.381757338	unbias	0.393336697	Ovary_mean	0.039	0.0505	1.293
TRINITY_DN107787_c0_g1_i1	cyp3a5	Chr06	73744779	73744779	-1.38345678	1.38345678	female	0.358659886	Ovary_mean	0.0922	0.1632	1.7702
TRINITY_DN107852_c0_g1_i2	sirt3.1	Chr04	14651574	14651574	-1.052454094	1.052454094	female	0.375037377	Ovary_mean	0.0163	0.0093	0.571
TRINITY_DN107915_c0_g1_i1	NA	NA	NA	NA	4.491151781	4.491151781	male	0.447814593	Brain_mmean	0.0683	0.135	1.9753
TRINITY_DN107928_c0_g1_i1	irx5	Chr04	44934379	44934379	0.983606332	0.983606332	unbias	0.624574333	Brain_fmean	0.0955	0.1501	1.5707
TRINITY_DN107990_c0_g1_i1	NA	NA	NA	NA	-1.206767703	1.206767703	female	0.245202771	Ovary_mean	0.0848	0.1245	1.4687
TRINITY_DN108052_c0_g1_i1	hap1	Chr10	1919847	1919847	-5.903093829	5.903093829	female	0.655005871	Liver_mmean	0.0734	0.0962	1.3092
TRINITY_DN108061_c0_g1_i1	lrrtm1	Chr01	3694236	3694236	0.130520668	0.130520668	unbias	0.159037928	Ovary_mean	0.0392	0.065	1.6562
TRINITY_DN10812_c0_g1_i1	NA	NA	NA	NA	-0.831596231	0.831596231	unbias	0.340619516	G27_mmean	0.0493	0.0692	1.4016
TRINITY_DN108126_c0_g2_i2	NA	NA	NA	NA	2.043561267	2.043561267	male	0.281067127	Brain_fmean	0.1477	0.2825	1.912
TRINITY_DN108196_c0_g1_i1	NA	NA	NA	NA	0.002946417	0.002946417	unbias	0.325066504	Ovary_mean	0.0643	0.0824	1.2798
TRINITY_DN108276_c0_g2_i1	NA	NA	NA	NA	7.285309695	7.285309695	male	0.700956465	Testis_mean	0.0657	0.0724	1.1032
TRINITY_DN108305_c0_g1_i1	NA	NA	NA	NA	-4.18340806	4.18340806	female	0.85969866	Ovary_mean	0.0487	0.0591	1.2138
TRINITY_DN108314_c0_g1_i2	NA	NA	NA	NA	0.861148798	0.861148798	unbias	0.419949503	Brain_mmean	0.071	0.0918	1.2929
TRINITY_DN108427_c0_g3_i5	NA	NA	NA	NA	-2.299274528	2.299274528	female	0.43547334	Ovary_mean	0.0748	0.1472	1.9671
TRINITY_DN108429_c0_g2_i1	NA	NA	NA	NA	-1.641254156	1.641254156	female	0.453608037	Ovary_mean	0.0429	0.0528	1.2308
TRINITY_DN108436_c0_g1_i2	NA	NA	NA	NA	-1.546252816	1.546252816	female	0.520227666	Ovary_mean	0.1115	0.0839	0.7527
TRINITY_DN108539_c0_g1_i2	NA	NA	NA	NA	0.316921607	0.316921607	unbias	0.178723397	Ovary_mean	0.0422	0.0714	1.6932
TRINITY_DN108541_c0_g1_i1	NA	NA	NA	NA	-2.427446322	2.427446322	female	0.446596101	Ovary_mean	0.0477	0.064	1.3418
TRINITY_DN108551_c0_g1_i2	NA	NA	NA	NA	1.345816136	1.345816136	male	0.682001497	Brain_mmean	0.0144	0.021	1.4572
TRINITY_DN108558_c2_g1_i2	NA	NA	NA	NA	-0.844142597	0.844142597	unbias	0.594215724	Ovary_mean	0.0506	0.0876	1.7305
TRINITY_DN108580_c0_g1_i1	NA	NA	NA	NA	-0.463335731	0.463335731	unbias	0.384390432	Brain_fmean	0.0568	0.1092	1.9239
TRINITY_DN108588_c0_g1_i1	NA	NA	NA	NA	0.760061847	0.760061847	unbias	0.398238291	Brain_mmean	0.1556	0.2039	1.3108
TRINITY_DN108683_c0_g3_i1	NA	NA	NA	NA	-0.11011379	0.11011379	unbias	0.126396601	G23_mmean	0.053	0.0368	0.6955
TRINITY_DN108688_c0_g1_i1	NA	NA	NA	NA	-2.054246154	2.054246154	female	0.587323385	Brain_fmean	0.0716	0.0933	1.3032
TRINITY_DN108726_c0_g1_i1	NA	NA	NA	NA	-0.044247163	0.044247163	unbias	0.135177663	G23_mmean	0.0854	0.1011	1.1838
TRINITY_DN108791_c0_g2_i1	NA	NA	NA	NA	-0.455192046	0.455192046	unbias	0.574594446	Brain_fmean	0.0333	0.0324	0.9722
TRINITY_DN108927_c0_g4_i1	NA	NA	NA	NA	-0.481853524	0.481853524	unbias	0.322498714	Ovary_mean	0.1596	0.2324	1.456
TRINITY_DN108930_c0_g1_i3	NA	NA	NA	NA	-2.833300561	2.833300561	female	0.452281839	G27_fmean	0.2597	0.433	1.6673
TRINITY_DN108932_c0_g1_i1	NA	NA	NA	NA	-1.480020018	1.480020018	female	0.386398318	Ovary_mean	0.1002	0.0906	0.9041
TRINITY_DN108997_c0_g1_i1	socs3-like.1	Chr07	103921321	103921321	3.295472325	3.295472325	male	0.165058426	G27_mmean	0.0581	0.0995	1.711
TRINITY_DN109101_c0_g2_i1	atp1b2	scaffold_393	31787	31787	-0.486040964	0.486040964	unbias	0.455714557	Ovary_mean	0.1856	0.1667	0.8984
TRINITY_DN109124_c0_g2_i2	NA	NA	NA	NA	0.367574521	0.367574521	unbias	0.234747656	Brain_mmean	0.1062	0.2105	1.9825
TRINITY_DN109149_c0_g2_i1	NA	NA	NA	NA	1.331228912	1.331228912	male	0.769482273	Brain_fmean	0.0158	0.0138	0.8728
TRINITY_DN109157_c0_g1_i1	NA	NA	NA	NA	-0.474000161	0.474000161	unbias	0.258600445	Ovary_mean	0.0156	0.0301	1.9237
TRINITY_DN109252_c0_g1_i2	NA	NA	NA	NA	-0.060887773	0.060887773	unbias	0.597359884	Ovary_mean	0.1287	0.1821	1.4156
TRINITY_DN109275_c0_g1_i1	NA	NA	NA	NA	-1.831547701	1.831547701	female	0.514076437	Ovary_mean	0.0644	0.1112	1.7268
TRINITY_DN109277_c0_g2_i3	NA	NA	NA	NA	0.458265059	0.458265059	unbias	0.306248417	G23_mmean	0.1038	0.1589	1.5305
TRINITY_DN109295_c0_g1_i1	NA	NA	NA	NA	0.043460518	0.043460518	unbias	0.363830036	G23_fmean	0.1667	0.2407	1.4435
TRINITY_DN109308_c0_g1_i1	NA	NA	NA	NA	-0.292233057	0.292233057	unbias	0.544668429	Ovary_mean	0.1947	0.307	1.5763
TRINITY_DN109423_c0_g1_i2	NA	NA	NA	NA	4.322486741	4.322486741	male	0.302691416	G43_F_mean	0.1955	0.2882	1.4741
TRINITY_DN109424_c0_g2_i2	sorl1	Chr07	88174319	88174319	5.182808255	5.182808255	male	0.517822092	Testis_mean	0.0755	0.1195	1.5831
TRINITY_DN109430_c0_g5_i1	NA	NA	NA	NA	-2.027842879	2.027842879	female	0.590125319	Ovary_mean	0.165	0.2426	1.4703
TRINITY_DN109454_c0_g1_i2	NA	NA	NA	NA	-0.560250658	0.560250658	unbias	0.268798673	Ovary_mean	0.2116	0.3049	1.4406
TRINITY_DN109459_c0_g1_i1	LOC100487782	Chr01	90567902	90567902	-1.153171158	1.153171158	female	0.428867672	Brain_mmean	0.0437	0.0557	1.2764
TRINITY_DN109463_c0_g2_i1	Xetrov90014084m	Chr05	75743400	75743400	7.518771575	7.518771575	male	0.680497095	Testis_mean	0.1004	0.1422	1.4162
TRINITY_DN109500_c0_g1_i1	egln1	Chr05	61512261	61512261	0.514013855	0.514013855	unbias	0.168483933	G23_mmean	0.0275	0.0505	1.8368
TRINITY_DN109511_c0_g1_i1	NA	NA	NA	NA	0.247166133	0.247166133	unbias	0.599485441	Brain_fmean	0.0263	0.0492	1.8727
TRINITY_DN109559_c0_g1_i1	cryba1	Chr02	25483717	25483717	-0.362455501	0.362455501	unbias	0.487463506	Liver_fmean	0.1326	0.2053	1.5487
TRINITY_DN109560_c0_g1_i1	NA	NA	NA	NA	-1.536025999	1.536025999	female	0.567490799	Ovary_mean	0.1453	0.2157	1.4848
TRINITY_DN109596_c0_g1_i1	NA	NA	NA	NA	-8.211740506	8.211740506	female	0.741428955	Ovary_mean	0.0744	0.111	1.4913
TRINITY_DN109640_c0_g2_i2	NA	NA	NA	NA	1.256831651	1.256831651	male	0.319815009	Brain_fmean	0.0819	0.1633	1.9941
TRINITY_DN109666_c0_g1_i1	mmp13	Chr02	158768110	158768110	-12.70137726	12.70137726	female	0.884110453	Ovary_mean	0.1894	0.3577	1.8886
TRINITY_DN109667_c0_g1_i2	LOC100498256	Chr07	44337616	44337616	-1.486093548	1.486093548	female	0.368720459	Ovary_mean	0.0371	0.0672	1.8078
TRINITY_DN109692_c0_g1_i2	mbp	scaffold_21	365078	365078	1.851316482	1.851316482	male	0.200661263	Brain_fmean	0.0239	0.0357	1.491
TRINITY_DN109817_c0_g1_i1	prmt2	Chr09	55864011	55864011	-0.649909861	0.649909861	unbias	0.526879161	Brain_fmean	0.0695	0.0727	1.0463
TRINITY_DN109864_c0_g1_i1	ggt1	Chr01	144154082	144154082	-1.069690161	1.069690161	female	0.457913161	Ovary_mean	0.0612	0.102	1.6682
TRINITY_DN109879_c0_g1_i1	NA	NA	NA	NA	-0.336400223	0.336400223	unbias	0.204207654	Ovary_mean	0.1064	0.1152	1.0825
TRINITY_DN109897_c0_g1_i1	NA	NA	NA	NA	2.096591823	2.096591823	male	0.392687925	Brain_fmean	0.1177	0.1733	1.4721
TRINITY_DN109913_c0_g1_i1	NA	NA	NA	NA	-7.930868341	7.930868341	female	0.969270664	Ovary_mean	0.1951	0.329	1.6866
TRINITY_DN109922_c0_g2_i1	Xetrov90012559m	Chr04	115900474	115900474	-1.643420345	1.643420345	female	0.776014863	Ovary_mean	0.1168	0.12	1.0272
TRINITY_DN109929_c0_g1_i1	NA	NA	NA	NA	-4.927081209	4.927081209	female	0.908644545	Ovary_mean	0.0768	0.1115	1.4529
TRINITY_DN109936_c0_g2_i1	wdr5	scaffold_19	484953	484953	-1.490475185	1.490475185	female	0.407999692	Ovary_mean	0.0183	0.0269	1.4722
TRINITY_DN109991_c0_g1_i2	NA	NA	NA	NA	-0.152505301	0.152505301	unbias	0.217750635	Ovary_mean	0.0762	0.1381	1.8122
TRINITY_DN110022_c0_g1_i1	LOC101734265	Chr09	10024668	10024668	-2.116945082	2.116945082	female	0.470067433	Ovary_mean	0.0759	0.12	1.5823
TRINITY_DN110037_c0_g1_i1	NA	NA	NA	NA	-2.79185629	2.79185629	female	0.783516196	Ovary_mean	0.06	0.0777	1.2952
TRINITY_DN110047_c0_g1_i3	LOC100496186	scaffold_711	13654	13654	-0.196299046	0.196299046	unbias	0.440789349	Brain_mmean	0.124	0.2167	1.7478
TRINITY_DN110052_c0_g1_i1	NA	NA	NA	NA	-4.45423739	4.45423739	female	0.866123363	G46_F_mean	0.1299	0.1261	0.9714
TRINITY_DN110102_c0_g2_i3	NA	NA	NA	NA	0.535002551	0.535002551	unbias	0.369491967	Brain_mmean	0.0216	0.0363	1.6819
