gid	gname	chr	start	end	logFC.XYtestis.XXovary	abslogFC.XYtestis.XXovary	bias	tau	tissue
TRINITY_DN100411_c0_g3_i1	NA	NA	NA	NA	-2.191126252	2.191126252	female	0.537655056	Ovary_mean
TRINITY_DN100465_c0_g1_i1	NA	NA	NA	NA	-2.193780539	2.193780539	female	0.966087368	Ovary_mean
TRINITY_DN100528_c0_g1_i1	mrvi1	scaffold_203	255729	255729	-0.294707236	0.294707236	unbias	0.584203607	Ovary_mean
TRINITY_DN100538_c0_g1_i1	NA	NA	NA	NA	-1.02241733	1.02241733	unbias	0.436121266	G23_mmean
TRINITY_DN100549_c0_g1_i1	NA	NA	NA	NA	0.680270322	0.680270322	unbias	0.406904097	Brain_fmean
TRINITY_DN100550_c0_g1_i1	NA	NA	NA	NA	-0.97108437	0.97108437	unbias	0.910766621	Ovary_mean
TRINITY_DN100550_c0_g2_i1	NA	NA	NA	NA	-2.097017066	2.097017066	female	0.916590971	Ovary_mean
TRINITY_DN100586_c0_g1_i1	mogat1-like.1	Chr02	169580384	169580384	3.930112321	3.930112321	male	0.431096319	G46_M_mean
TRINITY_DN100637_c0_g1_i1	NA	NA	NA	NA	-1.195935612	1.195935612	unbias	0.689492139	Brain_fmean
TRINITY_DN100638_c0_g2_i1	LOC100495096	scaffold_261	12460	12460	-1.260719512	1.260719512	female	0.195032263	Ovary_mean
TRINITY_DN100681_c0_g1_i1	NA	NA	NA	NA	-0.434233164	0.434233164	unbias	0.141796895	Brain_fmean
TRINITY_DN100684_c0_g1_i1	tet2	Chr01	63209689	63209689	-0.466351282	0.466351282	unbias	0.434386206	G23_fmean
TRINITY_DN100684_c0_g3_i1	LOC100488348	Chr01	40704275	40704275	-0.645692792	0.645692792	unbias	0.380993312	G27_mmean
TRINITY_DN100706_c0_g3_i1	NA	NA	NA	NA	-0.637134734	0.637134734	unbias	0.1456891	Brain_fmean
TRINITY_DN100751_c0_g1_i1	neurod4	Chr02	141301618	141301618	0.175607841	0.175607841	unbias	0.309325789	Brain_fmean
TRINITY_DN100779_c0_g1_i1	NA	NA	NA	NA	-0.8640126	0.8640126	unbias	0.582069999	G27_mmean
TRINITY_DN100806_c0_g1_i1	NA	NA	NA	NA	-2.974916478	2.974916478	female	0.849692348	Ovary_mean
TRINITY_DN100830_c0_g1_i2	NA	NA	NA	NA	3.699629332	3.699629332	male	0.881737443	Testis_mean
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	6.562094953	6.562094953	male	0.437639948	G27_mmean
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	-0.128161474	0.128161474	unbias	0.280627776	Brain_mmean
TRINITY_DN100856_c0_g2_i1	NA	NA	NA	NA	-0.079277999	0.079277999	unbias	0.20354166	Brain_mmean
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	-3.557492084	3.557492084	female	0.832491733	Ovary_mean
TRINITY_DN100915_c0_g2_i1	ppp2r5c	Chr08	76432024	76432024	-1.084116636	1.084116636	unbias	0.534408145	Brain_mmean
TRINITY_DN100985_c0_g1_i1	NA	NA	NA	NA	0.931137133	0.931137133	unbias	0.580753235	Testis_mean
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	1.200132494	1.200132494	male	0.214017864	G43_F_mean
TRINITY_DN101035_c0_g3_i1	ptbp3	Chr01	95962064	95962064	-3.143141818	3.143141818	female	0.600830486	Ovary_mean
TRINITY_DN101042_c0_g2_i1	ca14	Chr08	111966709	111966709	-1.660433523	1.660433523	female	0.606357753	Ovary_mean
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	-2.882178859	2.882178859	female	0.719096943	Ovary_mean
TRINITY_DN101055_c0_g2_i1	NA	NA	NA	NA	-0.491429371	0.491429371	unbias	0.677705652	Brain_mmean
TRINITY_DN101072_c0_g1_i1	NA	NA	NA	NA	-3.147953191	3.147953191	female	1.027120034	Ovary_mean
TRINITY_DN101072_c0_g2_i2	NA	NA	NA	NA	-5.891858286	5.891858286	female	0.901888887	Ovary_mean
TRINITY_DN101074_c0_g1_i1	NA	NA	NA	NA	0.781254603	0.781254603	unbias	0.209076279	G23_fmean
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	-0.084594557	0.084594557	unbias	0.273916653	Ovary_mean
TRINITY_DN101111_c0_g1_i2	cpt1b	Chr03	80241473	80241473	-0.340924402	0.340924402	unbias	0.473016121	Ovary_mean
TRINITY_DN101116_c0_g3_i1	grhl3	Chr02	55205102	55205102	-6.201670564	6.201670564	female	0.981280046	Ovary_mean
TRINITY_DN101150_c0_g1_i1	NA	NA	NA	NA	-2.091770351	2.091770351	female	0.472543558	G23_mmean
TRINITY_DN101150_c0_g2_i1	NA	NA	NA	NA	-1.736696763	1.736696763	unbias	0.452904283	Ovary_mean
TRINITY_DN101180_c0_g1_i1	LOC100216027	Chr04	40038217	40038217	-1.327115895	1.327115895	unbias	0.638427447	G43_M_mean
TRINITY_DN101193_c0_g1_i1	stc2	Chr03	33855176	33855176	-2.089269272	2.089269272	female	0.530143701	G31_mmean
TRINITY_DN101217_c0_g1_i1	NA	NA	NA	NA	-0.343803769	0.343803769	unbias	0.346337874	Brain_fmean
TRINITY_DN101232_c0_g1_i1	rybp	Chr04	129685828	129685828	3.198190205	3.198190205	male	0.675159323	Brain_mmean
TRINITY_DN101244_c0_g1_i1	NA	NA	NA	NA	-0.438866135	0.438866135	unbias	0.378557799	Ovary_mean
TRINITY_DN101247_c0_g2_i1	NA	NA	NA	NA	1.444710524	1.444710524	unbias	0.668128292	Testis_mean
TRINITY_DN101247_c0_g3_i1	NA	NA	NA	NA	1.005937148	1.005937148	male	0.653078653	Brain_mmean
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	0.208930532	0.208930532	unbias	0.288124765	Brain_fmean
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	-0.840462179	0.840462179	unbias	0.287104048	Brain_mmean
TRINITY_DN101332_c0_g1_i1	cdk9	Chr08	2359461	2359461	0.590148206	0.590148206	unbias	0.359279261	G46_M_mean
TRINITY_DN101356_c0_g1_i1	NA	NA	NA	NA	-0.747939331	0.747939331	unbias	0.654838779	Ovary_mean
TRINITY_DN101361_c0_g1_i2	NA	NA	NA	NA	1.508402493	1.508402493	male	0.451788343	G23_mmean
TRINITY_DN101369_c0_g1_i1	sec31a	Chr01	91624136	91624136	-3.404158964	3.404158964	female	0.97872422	Ovary_mean
TRINITY_DN101369_c0_g2_i1	NA	NA	NA	NA	-3.13825836	3.13825836	female	0.931272206	Ovary_mean
TRINITY_DN101425_c0_g1_i1	NA	NA	NA	NA	-8.031032948	8.031032948	female	1.02921343	Ovary_mean
TRINITY_DN101437_c0_g1_i1	uox	Chr04	29744316	29744316	0.184893391	0.184893391	unbias	0.235972827	Ovary_mean
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	-1.975176504	1.975176504	female	0.484065879	Ovary_mean
TRINITY_DN101472_c0_g1_i1	NA	NA	NA	NA	-0.441101505	0.441101505	unbias	0.463317315	Ovary_mean
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	2.299558851	2.299558851	male	0.379893771	G46_M_mean
TRINITY_DN101481_c0_g1_i2	spryd7	Chr02	146554790	146554790	0.422793192	0.422793192	unbias	0.333703367	Brain_fmean
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.188324358	0.188324358	unbias	0.170045449	G23_mmean
TRINITY_DN101489_c0_g1_i1	s1pr2	Chr03	126673962	126673962	-8.314355298	8.314355298	female	1.027476404	Ovary_mean
TRINITY_DN101504_c0_g2_i1	pfn2	Chr05	115233446	115233446	-1.106721089	1.106721089	unbias	0.612365254	Ovary_mean
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	-1.277621101	1.277621101	female	0.253323869	Ovary_mean
TRINITY_DN101558_c0_g1_i1	NA	NA	NA	NA	-0.358131481	0.358131481	unbias	0.434258624	Ovary_mean
TRINITY_DN101592_c0_g2_i1	NA	NA	NA	NA	-5.063148526	5.063148526	female	0.834554414	Ovary_mean
TRINITY_DN101728_c0_g2_i1	epor	Chr03	129216492	129216492	3.495145334	3.495145334	male	0.459006234	G43_F_mean
TRINITY_DN101751_c0_g1_i1	NA	NA	NA	NA	-1.599087539	1.599087539	female	0.51580006	Ovary_mean
TRINITY_DN101758_c0_g1_i1	NA	NA	NA	NA	0.448291001	0.448291001	unbias	0.098486839	G27_fmean
TRINITY_DN101809_c0_g1_i2	sumo2	Chr10	35830902	35830902	2.349384489	2.349384489	male	0.412454283	Brain_fmean
TRINITY_DN101813_c0_g1_i1	NA	NA	NA	NA	-4.182615205	4.182615205	female	0.500209223	G27_mmean
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	-2.681386346	2.681386346	female	0.394024284	Ovary_mean
TRINITY_DN101867_c0_g1_i1	NA	NA	NA	NA	0.173268903	0.173268903	unbias	0.261813566	G23_mmean
TRINITY_DN101876_c0_g1_i1	NA	NA	NA	NA	-3.227235344	3.227235344	female	0.898471288	Ovary_mean
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	1.869543753	1.869543753	male	0.32010738	G31_mmean
TRINITY_DN101897_c0_g1_i1	NA	NA	NA	NA	1.518446502	1.518446502	male	0.399599534	Brain_mmean
TRINITY_DN101903_c0_g1_i1	NA	NA	NA	NA	-2.363597079	2.363597079	female	0.455250056	Ovary_mean
TRINITY_DN101903_c0_g2_i2	phka2-like	Chr02	40416520	40416520	-1.893340213	1.893340213	female	0.469207272	Ovary_mean
TRINITY_DN101907_c0_g2_i1	NA	NA	NA	NA	2.557964688	2.557964688	male	0.785778309	Testis_mean
TRINITY_DN101935_c0_g2_i1	NA	NA	NA	NA	2.778220908	2.778220908	male	0.553789112	Brain_mmean
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	0.241087454	0.241087454	unbias	0.428111172	Ovary_mean
TRINITY_DN101966_c0_g1_i1	NA	NA	NA	NA	0.569706292	0.569706292	unbias	0.57209203	G46_M_mean
TRINITY_DN102000_c0_g1_i1	polr1a	Chr01	15112002	15112002	1.662161837	1.662161837	male	0.411657529	Testis_mean
TRINITY_DN102016_c0_g1_i1	st3gal6	Chr02	23604370	23604370	-0.244462534	0.244462534	unbias	0.331308297	Ovary_mean
TRINITY_DN10201_c0_g1_i1	NA	NA	NA	NA	-3.938074498	3.938074498	female	0.774695299	G46_F_mean
TRINITY_DN102020_c0_g1_i1	NA	NA	NA	NA	0.801223221	0.801223221	unbias	0.402214069	Testis_mean
TRINITY_DN102020_c0_g2_i1	NA	NA	NA	NA	-1.03116049	1.03116049	unbias	0.695237294	Ovary_mean
TRINITY_DN102033_c1_g2_i1	NA	NA	NA	NA	-3.684249954	3.684249954	female	0.993891171	Ovary_mean
TRINITY_DN102065_c0_g1_i1	slc5a7-like.1	Chr02	105961371	105961371	-2.066848894	2.066848894	female	0.434214696	Ovary_mean
TRINITY_DN102065_c0_g2_i1	ncf2	Chr04	89742909	89742909	0.985085699	0.985085699	unbias	0.758044704	Testis_mean
TRINITY_DN102067_c0_g1_i1	NA	NA	NA	NA	0.207883986	0.207883986	unbias	0.631505376	Testis_mean
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	3.718726949	3.718726949	male	0.462382496	Testis_mean
TRINITY_DN102078_c0_g1_i1	NA	NA	NA	NA	-0.619114318	0.619114318	unbias	0.261237667	Ovary_mean
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	-0.112781882	0.112781882	unbias	0.22164913	Ovary_mean
TRINITY_DN102104_c0_g1_i1	NA	NA	NA	NA	3.020525917	3.020525917	male	0.322697995	G43_F_mean
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	-2.369680404	2.369680404	female	0.486775433	Ovary_mean
TRINITY_DN102142_c0_g1_i1	arhgap4	Chr08	14121901	14121901	1.536435552	1.536435552	unbias	0.538210506	G27_mmean
TRINITY_DN102159_c0_g1_i2	pdilt	Chr09	18435564	18435564	-0.113260358	0.113260358	unbias	0.46068713	Liver_fmean
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-1.989864092	1.989864092	female	0.497457845	Ovary_mean
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	1.157650512	1.157650512	male	0.435739261	Brain_fmean
TRINITY_DN102193_c0_g2_i1	vps35	Chr04	25038462	25038462	-0.061856812	0.061856812	unbias	0.445715317	Brain_fmean
TRINITY_DN102201_c0_g1_i1	NA	NA	NA	NA	-0.608036793	0.608036793	unbias	0.385276075	Brain_mmean
TRINITY_DN102252_c0_g2_i1	gucy1a2	Chr02	157285509	157285509	3.089467448	3.089467448	male	0.443087166	G23_mmean
TRINITY_DN102276_c0_g1_i1	LOC100490446-like	Chr03	134527436	134527436	-0.876762508	0.876762508	unbias	0.683653075	G43_F_mean
TRINITY_DN102279_c0_g1_i1	gak	Chr01	80173675	80173675	-0.370066064	0.370066064	unbias	0.148778968	G23_mmean
TRINITY_DN102279_c0_g2_i1	NA	NA	NA	NA	-0.562270635	0.562270635	unbias	0.17047988	G23_fmean
TRINITY_DN102288_c0_g1_i1	NA	NA	NA	NA	-0.579886088	0.579886088	unbias	0.636104975	Ovary_mean
TRINITY_DN102300_c0_g1_i1	NA	NA	NA	NA	4.353418217	4.353418217	male	0.403244184	G23_fmean
TRINITY_DN102303_c0_g1_i1	cul3	Chr05	120359914	120359914	-8.711553043	8.711553043	female	1.007479723	Ovary_mean
TRINITY_DN102362_c0_g1_i1	NA	NA	NA	NA	-0.204537879	0.204537879	unbias	0.225177242	Ovary_mean
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	-1.242321324	1.242321324	female	0.507290717	Ovary_mean
TRINITY_DN102370_c0_g1_i1	NA	NA	NA	NA	-1.53598382	1.53598382	female	0.634367459	Ovary_mean
TRINITY_DN102400_c0_g2_i1	NA	NA	NA	NA	0.59350566	0.59350566	unbias	0.530181848	Testis_mean
TRINITY_DN102407_c0_g1_i1	NA	NA	NA	NA	0.175807677	0.175807677	unbias	0.346573817	Brain_fmean
TRINITY_DN102412_c0_g1_i1	NA	NA	NA	NA	-4.303721729	4.303721729	female	0.698316855	G46_F_mean
TRINITY_DN102429_c0_g1_i2	gdpd5	Chr02	169719095	169719095	1.170749141	1.170749141	male	0.314321121	G43_F_mean
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	-0.506932366	0.506932366	unbias	0.360773137	Ovary_mean
TRINITY_DN102449_c0_g1_i1	NA	NA	NA	NA	-0.350903986	0.350903986	unbias	0.431321007	G43_F_mean
TRINITY_DN102456_c0_g1_i1	NA	NA	NA	NA	0.229336803	0.229336803	unbias	0.48595209	Liver_mmean
TRINITY_DN102459_c0_g1_i1	LOC733553	Chr03	107441880	107441880	-0.891622516	0.891622516	unbias	0.616896586	Brain_mmean
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	0.125164674	0.125164674	unbias	0.524397524	Liver_fmean
TRINITY_DN102493_c0_g1_i1	kiaa1024	Chr03	115651364	115651364	-0.219972405	0.219972405	unbias	0.203652497	Ovary_mean
TRINITY_DN102496_c0_g1_i1	NA	NA	NA	NA	0.083237854	0.083237854	unbias	0.146281621	G23_mmean
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	1.873934767	1.873934767	male	0.54774587	G23_fmean
TRINITY_DN102539_c0_g1_i1	NA	NA	NA	NA	0.409742207	0.409742207	unbias	0.350280171	Brain_mmean
TRINITY_DN102559_c0_g2_i1	gpatch1	Chr04	20982131	20982131	-1.128646076	1.128646076	female	0.490634631	Ovary_mean
TRINITY_DN102584_c0_g1_i1	NA	NA	NA	NA	-0.804720362	0.804720362	unbias	0.375609887	Brain_fmean
TRINITY_DN102616_c0_g1_i1	NA	NA	NA	NA	-0.692658628	0.692658628	unbias	0.238162136	Brain_fmean
TRINITY_DN102628_c0_g1_i1	NA	NA	NA	NA	-4.485673367	4.485673367	female	0.942394355	Ovary_mean
TRINITY_DN102643_c0_g1_i1	NA	NA	NA	NA	-0.408105692	0.408105692	unbias	0.26672218	G43_M_mean
TRINITY_DN102661_c0_g1_i1	NA	NA	NA	NA	0.64678975	0.64678975	unbias	0.259109979	G23_fmean
TRINITY_DN102667_c0_g1_i1	NA	NA	NA	NA	0.201686319	0.201686319	unbias	0.17431997	Brain_fmean
TRINITY_DN102702_c0_g1_i1	NA	NA	NA	NA	-0.573787103	0.573787103	unbias	0.39105166	Ovary_mean
TRINITY_DN102772_c0_g1_i1	NA	NA	NA	NA	-1.340109633	1.340109633	unbias	0.4231872	Ovary_mean
TRINITY_DN102865_c0_g1_i2	os9-like	Chr02	138049041	138049041	1.621113902	1.621113902	male	0.194483358	Brain_mmean
TRINITY_DN102868_c0_g1_i4	NA	NA	NA	NA	-5.344742018	5.344742018	female	0.86227727	Ovary_mean
TRINITY_DN102894_c0_g1_i2	LOC101731441	Chr07	95541409	95541409	-15.8812175	15.8812175	female	0.933461949	Ovary_mean
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	-12.80195346	12.80195346	female	0.920555942	Ovary_mean
TRINITY_DN102894_c0_g3_i1	NA	NA	NA	NA	-8.028129419	8.028129419	female	1.038481946	Ovary_mean
TRINITY_DN102903_c0_g1_i1	NA	NA	NA	NA	-1.115637596	1.115637596	female	0.262633434	Brain_fmean
TRINITY_DN102923_c0_g1_i1	NA	NA	NA	NA	-0.303826938	0.303826938	unbias	0.200318895	Brain_fmean
TRINITY_DN102931_c0_g1_i1	NA	NA	NA	NA	-2.275442085	2.275442085	female	1.00373513	Ovary_mean
TRINITY_DN102931_c0_g2_i1	NA	NA	NA	NA	-1.17821788	1.17821788	female	0.904142876	Ovary_mean
TRINITY_DN102938_c0_g1_i1	NA	NA	NA	NA	-0.257225329	0.257225329	unbias	0.237453564	Ovary_mean
TRINITY_DN103024_c0_g1_i2	NA	NA	NA	NA	0.812853772	0.812853772	unbias	0.292296804	Brain_mmean
TRINITY_DN103049_c0_g4_i1	NA	NA	NA	NA	-3.094400105	3.094400105	female	0.443236246	G46_M_mean
TRINITY_DN103059_c0_g1_i1	NA	NA	NA	NA	0.433621166	0.433621166	unbias	0.083164472	G27_fmean
TRINITY_DN103065_c0_g1_i1	casz1	Chr07	39083845	39083845	-0.574257461	0.574257461	unbias	0.23086557	G46_M_mean
TRINITY_DN103100_c0_g1_i1	NA	NA	NA	NA	-4.464369502	4.464369502	female	1.005212564	Ovary_mean
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.780547229	0.780547229	unbias	0.139536702	Ovary_mean
TRINITY_DN103145_c0_g1_i1	NA	NA	NA	NA	3.918370421	3.918370421	male	0.666608103	Brain_fmean
TRINITY_DN103150_c0_g1_i1	LOC100489834-like	Chr09	56025025	56025025	1.099079787	1.099079787	unbias	0.375544167	Testis_mean
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	-0.227298157	0.227298157	unbias	0.568647296	Brain_mmean
TRINITY_DN103159_c1_g1_i1	NA	NA	NA	NA	-0.280252549	0.280252549	unbias	0.374048539	Brain_mmean
TRINITY_DN103196_c0_g1_i2	NA	NA	NA	NA	-1.293342179	1.293342179	female	0.272730276	Ovary_mean
TRINITY_DN103209_c0_g3_i2	LOC100495429	Chr09	46235139	46235139	-0.18722787	0.18722787	unbias	0.139736082	Ovary_mean
TRINITY_DN103214_c0_g1_i1	LOC100145136	Chr02	62465560	62465560	5.845544082	5.845544082	male	0.508233663	Brain_mmean
TRINITY_DN103233_c0_g1_i1	elavl2	Chr01	109575141	109575141	-3.58428212	3.58428212	female	0.971599187	Ovary_mean
TRINITY_DN103236_c0_g2_i1	NA	NA	NA	NA	0.680814458	0.680814458	unbias	0.219464026	Brain_mmean
TRINITY_DN103260_c0_g1_i1	LOC101730718-like	scaffold_208	63567	63567	-3.384792089	3.384792089	female	0.958317722	Ovary_mean
TRINITY_DN103267_c0_g1_i1	NA	NA	NA	NA	1.653471792	1.653471792	male	0.459804173	Brain_mmean
TRINITY_DN103284_c0_g1_i2	Xetrov90021170m	Chr08	62609795	62609795	1.484571873	1.484571873	male	0.434721816	Liver_fmean
TRINITY_DN103303_c0_g1_i2	NA	NA	NA	NA	0.514771569	0.514771569	unbias	0.385986825	Brain_fmean
TRINITY_DN103324_c0_g1_i1	NA	NA	NA	NA	-0.228927698	0.228927698	unbias	0.35568815	Brain_mmean
TRINITY_DN103334_c0_g1_i1	NA	NA	NA	NA	-0.082945675	0.082945675	unbias	0.37834483	Brain_mmean
TRINITY_DN103424_c0_g1_i1	NA	NA	NA	NA	-1.489824627	1.489824627	female	0.563570492	Brain_mmean
TRINITY_DN103500_c0_g1_i1	fcf1	Chr08	60975442	60975442	-0.095698968	0.095698968	unbias	0.300281271	Ovary_mean
TRINITY_DN103501_c0_g1_i1	NA	NA	NA	NA	2.573896481	2.573896481	male	0.634452896	Brain_fmean
TRINITY_DN103511_c0_g1_i2	acvr1	Chr09	68767643	68767643	-0.056678558	0.056678558	unbias	0.497948042	Brain_mmean
TRINITY_DN103526_c0_g1_i1	capn2.2	Chr05	5263143	5263143	-2.629955349	2.629955349	female	0.619290643	Ovary_mean
TRINITY_DN103537_c0_g1_i1	NA	NA	NA	NA	-1.788085911	1.788085911	female	0.498017879	Ovary_mean
TRINITY_DN103537_c0_g2_i1	gnb3	Chr07	1299936	1299936	2.454311237	2.454311237	male	0.360648716	Testis_mean
TRINITY_DN103544_c0_g1_i2	hdac5	Chr10	14106312	14106312	1.332617122	1.332617122	male	0.471080709	Brain_mmean
TRINITY_DN103557_c0_g3_i1	NA	NA	NA	NA	-0.851748129	0.851748129	unbias	0.291222265	Ovary_mean
TRINITY_DN103558_c0_g1_i1	gnb1	Chr07	71155128	71155128	-0.222951529	0.222951529	unbias	0.252684802	G27_mmean
TRINITY_DN103565_c0_g1_i1	NA	NA	NA	NA	-1.323307785	1.323307785	female	0.54370292	Ovary_mean
TRINITY_DN103565_c0_g2_i1	NA	NA	NA	NA	-7.923852783	7.923852783	female	1.000335663	Ovary_mean
TRINITY_DN103565_c0_g4_i1	NA	NA	NA	NA	-4.043861175	4.043861175	female	0.958933976	Ovary_mean
TRINITY_DN103567_c0_g1_i1	NA	NA	NA	NA	-1.60864216	1.60864216	female	0.209787303	Ovary_mean
TRINITY_DN103615_c0_g1_i1	cdc37l1	Chr01	115087659	115087659	1.657714848	1.657714848	male	0.181753769	G27_fmean
TRINITY_DN103618_c0_g1_i1	NA	NA	NA	NA	-0.230957766	0.230957766	unbias	0.629882702	Brain_fmean
TRINITY_DN103621_c0_g1_i2	smc3	scaffold_401	72807	72807	-1.717840771	1.717840771	female	0.700727109	Ovary_mean
TRINITY_DN103622_c0_g3_i3	NA	NA	NA	NA	-2.907884227	2.907884227	female	0.5106073	Ovary_mean
TRINITY_DN103637_c0_g1_i1	NA	NA	NA	NA	-1.190286368	1.190286368	female	0.610750526	Ovary_mean
TRINITY_DN103637_c0_g2_i1	Xetrov90015728m	Chr06	20798284	20798284	-3.835895939	3.835895939	female	0.935619616	Ovary_mean
TRINITY_DN103637_c0_g3_i1	NA	NA	NA	NA	-2.384398145	2.384398145	unbias	1.04076839	Ovary_mean
TRINITY_DN103653_c0_g1_i1	cbll1	Chr03	66684436	66684436	-4.404281168	4.404281168	female	0.767498165	Brain_fmean
TRINITY_DN103657_c0_g2_i2	six1	Chr08	82160146	82160146	0.233362669	0.233362669	unbias	0.87217626	Brain_fmean
TRINITY_DN103658_c0_g1_i1	bcl7b	Chr02	31784058	31784058	0.456464925	0.456464925	unbias	0.141191484	G23_mmean
TRINITY_DN103662_c0_g1_i1	NA	NA	NA	NA	-0.556121537	0.556121537	unbias	0.513439842	Liver_fmean
TRINITY_DN103664_c1_g1_i1	NA	NA	NA	NA	0.383483547	0.383483547	unbias	0.49181939	Brain_mmean
TRINITY_DN103666_c0_g1_i1	NA	NA	NA	NA	1.224334526	1.224334526	unbias	0.750684052	Brain_mmean
TRINITY_DN103679_c0_g1_i1	NA	NA	NA	NA	-3.929324479	3.929324479	female	0.877241431	Ovary_mean
TRINITY_DN103704_c0_g1_i1	NA	NA	NA	NA	-1.662437395	1.662437395	female	0.779787765	G31_mmean
TRINITY_DN103706_c0_g3_i1	NA	NA	NA	NA	1.46942227	1.46942227	male	0.520641716	G27_mmean
TRINITY_DN103714_c0_g1_i2	NA	NA	NA	NA	0.214863399	0.214863399	unbias	0.199844038	Liver_mmean
TRINITY_DN103714_c0_g2_i1	NA	NA	NA	NA	-1.239335133	1.239335133	unbias	0.466496704	Liver_fmean
TRINITY_DN103720_c0_g1_i2	NA	NA	NA	NA	-0.15187811	0.15187811	unbias	0.498870473	Brain_mmean
TRINITY_DN103727_c0_g1_i1	NA	NA	NA	NA	-1.149010718	1.149010718	unbias	0.47096099	G23_fmean
TRINITY_DN103733_c0_g2_i1	NA	NA	NA	NA	-0.05350267	0.05350267	unbias	0.102185588	G27_fmean
TRINITY_DN103744_c0_g1_i2	NA	NA	NA	NA	1.003705207	1.003705207	male	0.161647171	G23_fmean
TRINITY_DN103744_c0_g2_i1	NA	NA	NA	NA	-0.522507127	0.522507127	unbias	0.638731252	Ovary_mean
