gid	gname	chr	logFC.XY46.XX46	tau	tissue	bias	dNdS	dN	dS	stage
TRINITY_DN115043_c0_g1_i2	NA	NA	-1.007011041	0.429539674	Ovary_mean	female	0.0444	0.0591	1.3322	G46
TRINITY_DN115075_c0_g1_i1	NA	NA	-1.36915216	0.460174862	Ovary_mean	female	0.0498	0.0577	1.1583	G46
TRINITY_DN115095_c0_g1_i1	NA	NA	-5.949261784	0.65900031	Ovary_mean	female	0.025	0.0327	1.3058	G46
TRINITY_DN115131_c0_g3_i1	NA	NA	-1.850985586	0.470881265	Ovary_mean	female	0.0856	0.1332	1.5563	G46
TRINITY_DN115189_c0_g1_i2	NA	NA	-1.674086671	0.622086438	Ovary_mean	female	0.0431	0.0617	1.4317	G46
TRINITY_DN115242_c0_g1_i2	NA	NA	-2.14298898	0.515797716	Ovary_mean	female	0.1672	0.2501	1.496	G46
TRINITY_DN115244_c0_g1_i1	tgs1-like	Chr06	-1.049687746	0.37472166	Ovary_mean	female	0.1126	0.2229	1.9788	G46
TRINITY_DN115343_c0_g1_i1	NA	NA	-1.734606206	0.386176553	Ovary_mean	female	0.0202	0.0236	1.1688	G46
TRINITY_DN115417_c0_g2_i3	NA	NA	-3.26335875	0.468213432	Ovary_mean	female	0.0402	0.0507	1.2601	G46
TRINITY_DN115432_c0_g1_i1	LOC100493255	Chr05	-1.659413517	0.520952301	Ovary_mean	female	0.0496	0.0573	1.155	G46
TRINITY_DN115646_c0_g1_i1	NA	NA	-2.267223872	0.493361167	Ovary_mean	female	0.0546	0.0768	1.4083	G46
TRINITY_DN115655_c0_g1_i1	NA	NA	-2.513090474	0.482386107	Ovary_mean	female	0.071	0.1255	1.7672	G46
TRINITY_DN115683_c0_g1_i2	trpc1-like	Chr05	-6.390308376	0.829761684	Ovary_mean	female	0.1418	0.2527	1.7813	G46
TRINITY_DN115713_c0_g1_i1	NA	NA	-4.413865884	0.740033957	Ovary_mean	female	0.0201	0.0337	1.6755	G46
TRINITY_DN115840_c0_g1_i2	NA	NA	-3.194729277	0.568351175	Ovary_mean	female	0.1646	0.2499	1.518	G46
TRINITY_DN115856_c0_g1_i2	cul2	Chr06	-1.847895215	0.487435462	Ovary_mean	female	0.0561	0.1025	1.8283	G46
TRINITY_DN115972_c1_g1_i2	NA	NA	-2.950398417	0.647462104	Ovary_mean	female	0.046	0.0562	1.2215	G46
TRINITY_DN116067_c0_g1_i1	NA	NA	-3.488355415	0.764603668	Ovary_mean	female	0.0731	0.1135	1.5519	G46
TRINITY_DN116210_c0_g1_i1	cep120	Chr01	-2.458974514	0.461575524	Ovary_mean	female	0.121	0.1714	1.4164	G46
TRINITY_DN116290_c0_g1_i1	NA	NA	-1.659549151	0.40561075	Ovary_mean	female	0.0392	0.0687	1.755	G46
TRINITY_DN116369_c0_g1_i1	NA	NA	-2.999946299	0.488503958	Ovary_mean	female	0.021	0.0401	1.9085	G46
TRINITY_DN116391_c0_g1_i1	NA	NA	-2.341484609	0.569941948	Ovary_mean	female	0.0535	0.0953	1.7805	G46
TRINITY_DN116451_c0_g2_i3	NA	NA	-4.494165466	0.767533754	Ovary_mean	female	0.0859	0.1353	1.5757	G46
TRINITY_DN116543_c0_g2_i1	NA	NA	-1.797751979	0.622950028	Brain_mean	female	0.0583	0.0427	0.7325	G46
TRINITY_DN116557_c0_g1_i2	NA	NA	-2.507443222	0.450111219	Ovary_mean	female	0.0891	0.1673	1.8772	G46
TRINITY_DN116594_c0_g1_i1	NA	NA	-1.949602904	0.69939535	Ovary_mean	female	0.0633	0.0861	1.3604	G46
TRINITY_DN116617_c0_g2_i3	NA	NA	-4.007030178	0.767617597	Ovary_mean	female	0.057	0.0902	1.5818	G46
TRINITY_DN116647_c0_g1_i2	NA	NA	-1.25656167	0.424630614	Brain_mean	female	0.0387	0.0512	1.3221	G46
TRINITY_DN116651_c0_g1_i3	mfap3-like	Chr03	-1.589051733	0.47038272	Ovary_mean	female	0.0245	0.0439	1.7933	G46
TRINITY_DN116684_c0_g2_i1	mfsd8	Chr01	-1.504583628	0.726505243	Brain_mean	female	0.2295	0.3447	1.5015	G46
TRINITY_DN116737_c1_g1_i2	NA	NA	-1.29706086	0.329270275	Ovary_mean	female	0.0498	0.067	1.3451	G46
TRINITY_DN116762_c0_g1_i1	NA	NA	-2.349937425	0.475810974	Ovary_mean	female	0.019	0.0293	1.5445	G46
TRINITY_DN116802_c0_g2_i1	NA	NA	-4.17585773	0.625488364	Ovary_mean	female	0.0717	0.1048	1.4614	G46
TRINITY_DN116819_c1_g1_i1	NA	NA	-2.620730591	0.61106118	Ovary_mean	female	0.2315	0.3789	1.6363	G46
TRINITY_DN116854_c0_g1_i3	slc25a16	Chr07	-1.457955312	0.456868536	Ovary_mean	female	0.0325	0.0406	1.2502	G46
TRINITY_DN116899_c0_g1_i3	LOC100495930	scaffold_389	-1.709470537	0.392721478	Ovary_mean	female	0.0184	0.0261	1.4152	G46
TRINITY_DN116903_c1_g2_i3	cldn7	scaffold_1648	-3.092203449	0.671475649	Ovary_mean	female	0.0114	0.0212	1.8659	G46
TRINITY_DN116915_c0_g1_i3	NA	NA	-2.776133691	0.741341122	Ovary_mean	female	0.1269	0.1672	1.3183	G46
TRINITY_DN116961_c0_g1_i1	NA	NA	-4.35455786	0.660334277	Ovary_mean	female	0.0875	0.143	1.6342	G46
TRINITY_DN116963_c0_g1_i1	NA	NA	-1.591303657	0.415194611	Ovary_mean	female	0.0437	0.0807	1.8462	G46
TRINITY_DN116971_c0_g2_i1	NA	NA	-1.291712627	0.3689476	Ovary_mean	female	0.1556	0.2112	1.3569	G46
TRINITY_DN117075_c0_g1_i1	NA	NA	-3.553390584	0.688292061	Ovary_mean	female	0.0921	0.1261	1.3697	G46
TRINITY_DN117098_c1_g2_i2	NA	NA	-4.273416866	0.779196074	Ovary_mean	female	0.0456	0.0887	1.9457	G46
TRINITY_DN117099_c0_g2_i1	Xetrov90028296m	scaffold_36	-2.659503523	0.764684159	Ovary_mean	female	0.1299	0.1628	1.2533	G46
TRINITY_DN117117_c1_g1_i2	NA	NA	-1.169174133	0.455725423	Ovary_mean	female	0.1648	0.277	1.6807	G46
TRINITY_DN117125_c0_g1_i1	NA	NA	-8.365988055	0.777255934	Ovary_mean	female	0.0591	0.1002	1.6963	G46
TRINITY_DN117152_c0_g3_i2	NA	NA	-1.115395808	0.61194265	Brain_mean	female	0.1223	0.1362	1.1137	G46
TRINITY_DN117189_c0_g2_i1	taf5	Chr07	-1.276856462	0.524531183	Ovary_mean	female	0.2306	0.2743	1.1895	G46
TRINITY_DN117235_c0_g3_i1	fam193b	Chr03	-4.062075395	0.600691797	Ovary_mean	female	0.2471	0.373	1.5093	G46
TRINITY_DN117317_c1_g2_i1	NA	NA	-3.902813458	0.690444163	Ovary_mean	female	0.0387	0.0368	0.9523	G46
TRINITY_DN117330_c0_g1_i2	NA	NA	-1.086600083	0.250076932	Ovary_mean	female	0.0077	0.0085	1.1143	G46
TRINITY_DN117339_c0_g2_i1	NA	NA	-4.667991936	0.784536326	Ovary_mean	female	0.12	0.214	1.7833	G46
TRINITY_DN117404_c0_g1_i1	npm1	Chr03	-2.316111807	0.392084256	Ovary_mean	female	0.0594	0.0597	1.0055	G46
TRINITY_DN117528_c0_g3_i1	NA	NA	-1.734932543	0.414166243	Testis_mean	female	0.1613	0.1206	0.7476	G46
TRINITY_DN117619_c0_g1_i1	socs1	Chr09	-1.453684555	0.515772826	Ovary_mean	female	0.093	0.1574	1.6927	G46
TRINITY_DN117624_c0_g1_i1	NA	NA	-4.66514899	0.8104523	Ovary_mean	female	0.0081	0.0104	1.2885	G46
TRINITY_DN117639_c0_g2_i1	NA	NA	-1.50918848	0.45947333	Ovary_mean	female	0.1363	0.1695	1.2432	G46
TRINITY_DN117651_c0_g1_i7	NA	NA	-3.787189743	0.646634475	Ovary_mean	female	0.0382	0.0537	1.4059	G46
TRINITY_DN117665_c0_g2_i1	fev	Chr09	-2.074059859	0.456031982	Ovary_mean	female	0.0139	0.0194	1.3978	G46
TRINITY_DN117706_c0_g2_i2	NA	NA	-1.562713614	0.401014561	Brain_mean	female	0.0402	0.0448	1.1141	G46
TRINITY_DN117724_c0_g1_i1	NA	NA	-1.538724904	0.703100727	Ovary_mean	female	0.1143	0.18	1.5757	G46
TRINITY_DN117785_c0_g2_i1	NA	NA	-1.355011844	0.421481051	Ovary_mean	female	0.0295	0.0375	1.2735	G46
TRINITY_DN117803_c0_g1_i2	NA	NA	-1.999273577	0.470580505	Ovary_mean	female	0.0332	0.0568	1.709	G46
TRINITY_DN117814_c0_g1_i3	NA	NA	-2.023334015	0.607243196	Testis_mean	female	0.0445	0.0673	1.5137	G46
TRINITY_DN117842_c0_g1_i2	NA	NA	-2.256876332	0.79578464	Brain_mean	female	0.0221	0.0245	1.1082	G46
TRINITY_DN117855_c1_g1_i3	NA	NA	-1.044643481	0.445332892	Ovary_mean	female	0.1639	0.2226	1.3585	G46
TRINITY_DN117878_c0_g1_i1	NA	NA	-1.911811262	0.692793668	Ovary_mean	female	0.02	0.0238	1.1912	G46
TRINITY_DN117920_c0_g1_i5	NA	NA	-1.311464177	0.301599585	Ovary_mean	female	0.2086	0.2936	1.407	G46
TRINITY_DN118097_c0_g2_i1	dtd1	Chr05	-3.468323745	0.733173057	Ovary_mean	female	0.0824	0.1111	1.3487	G46
TRINITY_DN118145_c0_g2_i2	NA	NA	-3.667993341	0.562147149	Ovary_mean	female	0.2005	0.3074	1.5334	G46
TRINITY_DN118157_c1_g1_i1	NA	NA	-4.79145185	0.48244926	Ovary_mean	female	0.1319	0.1776	1.3464	G46
TRINITY_DN118194_c0_g1_i3	NA	NA	-1.448825048	0.45344291	Ovary_mean	female	0.0788	0.1357	1.7225	G46
TRINITY_DN118226_c0_g1_i1	Xetrov90021653m	Chr08	-2.031404132	0.56816881	Ovary_mean	female	0.1097	0.1735	1.582	G46
TRINITY_DN118258_c0_g1_i2	aqp8	Chr09	-1.449996237	0.441306345	Ovary_mean	female	0.1891	0.2396	1.2674	G46
TRINITY_DN118281_c0_g1_i1	NA	NA	-10.69335517	0.877922663	Ovary_mean	female	0.1003	0.1719	1.7135	G46
TRINITY_DN118346_c0_g2_i1	nags	Chr10	-1.922485669	0.712735181	Ovary_mean	female	0.0513	0.081	1.5798	G46
TRINITY_DN118360_c0_g1_i2	NA	NA	-3.772509948	0.646726792	Ovary_mean	female	0.166	0.2942	1.7725	G46
TRINITY_DN118372_c0_g2_i1	NA	NA	-1.798002665	0.415999818	Ovary_mean	female	0.0629	0.1132	1.7985	G46
TRINITY_DN118379_c0_g1_i1	NA	NA	-1.965868465	0.686920717	Ovary_mean	female	0.0731	0.1259	1.7225	G46
TRINITY_DN118389_c0_g1_i1	gdf10	Chr07	-1.941472617	0.450897759	Ovary_mean	female	0.0156	0.0267	1.7158	G46
TRINITY_DN118390_c0_g2_i2	NA	NA	-2.614583114	0.644908978	Ovary_mean	female	0.3801	0.3475	0.9142	G46
TRINITY_DN118445_c0_g1_i3	NA	NA	-5.167743643	0.790718512	Ovary_mean	female	0.0519	0.0588	1.1339	G46
TRINITY_DN118479_c0_g1_i1	NA	NA	-2.398950765	0.521091781	Ovary_mean	female	0.0543	0.0948	1.7456	G46
TRINITY_DN118496_c0_g1_i2	NA	NA	-2.511217318	0.646918659	Ovary_mean	female	0.0619	0.0946	1.5273	G46
TRINITY_DN118504_c0_g1_i1	strap	scaffold_266	-1.869143748	0.34265651	Ovary_mean	female	0.0843	0.1354	1.606	G46
TRINITY_DN118530_c0_g2_i5	NA	NA	-1.113238388	0.446712098	Ovary_mean	female	0.0621	0.0895	1.4409	G46
TRINITY_DN118554_c3_g1_i4	lyn	Chr06	-8.972108207	0.896345679	Ovary_mean	female	0.2345	0.3588	1.5299	G46
TRINITY_DN118556_c0_g1_i2	NA	NA	-1.751340975	0.304646902	Ovary_mean	female	0.0817	0.1319	1.6158	G46
TRINITY_DN118604_c0_g1_i1	NA	NA	-1.836429658	0.691083397	Ovary_mean	female	0.0312	0.0554	1.7774	G46
TRINITY_DN118609_c0_g1_i1	NA	NA	-2.61315512	0.533525816	Ovary_mean	female	0.0515	0.0446	0.867	G46
TRINITY_DN118628_c0_g2_i3	NA	NA	-1.038445776	0.440853939	Ovary_mean	female	0.09	0.1559	1.732	G46
TRINITY_DN118644_c0_g1_i1	NA	NA	-1.133891369	0.552214769	Ovary_mean	female	0.2019	0.2975	1.4737	G46
TRINITY_DN118661_c0_g2_i1	Xetrov90014406m	Chr05	-1.734262685	0.428875188	Ovary_mean	female	0.0467	0.0879	1.8837	G46
TRINITY_DN118755_c0_g1_i1	NA	NA	-1.355627504	0.452951506	Ovary_mean	female	0.1409	0.2128	1.5102	G46
TRINITY_DN118793_c0_g1_i1	LOC733709	Chr07	-2.779381164	0.688268764	Ovary_mean	female	0.0637	0.1054	1.6544	G46
TRINITY_DN118855_c1_g1_i1	NA	NA	-1.859992964	0.722142988	Ovary_mean	female	0.0574	0.0719	1.2539	G46
TRINITY_DN118875_c0_g2_i1	NA	NA	-1.864003181	0.528262713	Ovary_mean	female	0.0442	0.061	1.3803	G46
TRINITY_DN118908_c1_g2_i2	NA	NA	-2.673550181	0.538959444	Ovary_mean	female	0.1177	0.2105	1.7876	G46
TRINITY_DN118925_c0_g1_i1	NA	NA	-1.570165179	0.46475685	Ovary_mean	female	0.0675	0.1135	1.682	G46
TRINITY_DN118933_c2_g2_i1	ube2v2	Chr06	-1.566876818	0.330500371	Ovary_mean	female	0.0975	0.095	0.9741	G46
TRINITY_DN118958_c0_g1_i1	LOC100491292-like	Chr07	-1.536737955	0.351147171	Ovary_mean	female	0.0812	0.126	1.5504	G46
TRINITY_DN118968_c0_g1_i1	NA	NA	-1.37709531	0.361597465	Ovary_mean	female	0.0307	0.0534	1.7355	G46
TRINITY_DN118995_c0_g1_i2	NA	NA	-1.478555195	0.398130945	Ovary_mean	female	0.0961	0.1223	1.2731	G46
TRINITY_DN119035_c0_g1_i2	NA	NA	-1.710119996	0.368442994	Ovary_mean	female	0.0539	0.0786	1.4578	G46
TRINITY_DN119069_c0_g1_i2	NA	NA	-3.340159727	0.558910719	Ovary_mean	female	0.0675	0.1135	1.6829	G46
TRINITY_DN119100_c0_g1_i2	NA	NA	-1.009607787	0.47811299	Ovary_mean	female	0.0603	0.0853	1.4152	G46
TRINITY_DN119102_c3_g7_i5	poldip3	Chr04	-1.520817817	0.386007698	Ovary_mean	female	0.0972	0.1498	1.5404	G46
TRINITY_DN119122_c0_g1_i3	NA	NA	-3.115591643	0.411450963	Ovary_mean	female	0.0297	0.0262	0.8838	G46
TRINITY_DN119209_c1_g2_i1	NA	NA	-4.749591455	0.66878395	Ovary_mean	female	0.0949	0.1636	1.7242	G46
TRINITY_DN119243_c0_g1_i3	NA	NA	-1.101269166	0.432344402	Ovary_mean	female	0.1055	0.1152	1.0916	G46
