gid	direction	gid	gname	chr	logFC.XY46.XX46	tau	tissue	bias
TRINITY_DN107308_c0_g1_i1	female	TRINITY_DN107308_c0_g1_i1	wasl	Chr03	-1.203030321	0.490766137	Ovary_mean	female
TRINITY_DN107311_c0_g1_i1	female	TRINITY_DN107311_c0_g1_i1	NA	NA	-2.159490618	0.6285129	Ovary_mean	female
TRINITY_DN107450_c0_g3_i2	female	TRINITY_DN107450_c0_g3_i2	NA	NA	-3.168642736	0.711182957	Ovary_mean	female
TRINITY_DN107487_c0_g1_i1	female	TRINITY_DN107487_c0_g1_i1	NA	NA	-1.320873028	0.704148209	Ovary_mean	female
TRINITY_DN107530_c1_g1_i1	female	TRINITY_DN107530_c1_g1_i1	psmd11	Chr10	-1.16468088	0.29917091	Ovary_mean	female
TRINITY_DN107645_c0_g1_i1	female	TRINITY_DN107645_c0_g1_i1	heatr5b	Chr05	-1.203078475	0.318796901	Ovary_mean	female
TRINITY_DN107696_c0_g1_i4	female	TRINITY_DN107696_c0_g1_i4	NA	NA	-1.342941941	0.513780259	Ovary_mean	female
TRINITY_DN107727_c0_g1_i1	female	TRINITY_DN107727_c0_g1_i1	NA	NA	-1.475306546	0.402001144	Ovary_mean	female
TRINITY_DN107740_c0_g1_i1	female	TRINITY_DN107740_c0_g1_i1	NA	NA	-2.063017987	0.611786971	Ovary_mean	female
TRINITY_DN108208_c0_g1_i3	female	TRINITY_DN108208_c0_g1_i3	NA	NA	-8.940880205	0.70959914	Ovary_mean	female
TRINITY_DN108427_c0_g3_i5	female	TRINITY_DN108427_c0_g3_i5	NA	NA	-1.848577304	0.423719915	Ovary_mean	female
TRINITY_DN108436_c0_g1_i2	female	TRINITY_DN108436_c0_g1_i2	ate1-like	Chr07	-1.38155846	0.48668377	Ovary_mean	female
TRINITY_DN108450_c0_g1_i2	female	TRINITY_DN108450_c0_g1_i2	NA	NA	-2.873018321	0.490951628	Ovary_mean	female
TRINITY_DN108450_c0_g4_i1	female	TRINITY_DN108450_c0_g4_i1	ccdc67	Chr02	-2.372524171	0.425713389	Ovary_mean	female
TRINITY_DN108668_c0_g1_i1	female	TRINITY_DN108668_c0_g1_i1	fkbpl	Chr08	-4.830071634	0.813232564	Ovary_mean	female
TRINITY_DN108703_c0_g8_i1	female	TRINITY_DN108703_c0_g8_i1	NA	NA	-1.752815966	0.500341561	G23_mean	female
TRINITY_DN108930_c0_g1_i3	female	TRINITY_DN108930_c0_g1_i3	NA	NA	-2.260625998	0.479124657	G27_mean	female
TRINITY_DN108932_c0_g1_i1	female	TRINITY_DN108932_c0_g1_i1	NA	NA	-2.490433995	0.369166807	Ovary_mean	female
TRINITY_DN109050_c0_g1_i1	female	TRINITY_DN109050_c0_g1_i1	NA	NA	-6.48734519	0.881167739	Ovary_mean	female
TRINITY_DN109077_c0_g1_i1	female	TRINITY_DN109077_c0_g1_i1	NA	NA	-2.808401895	0.786940186	Ovary_mean	female
TRINITY_DN109099_c0_g2_i2	female	TRINITY_DN109099_c0_g2_i2	NA	NA	-7.295567601	0.91598172	Ovary_mean	female
TRINITY_DN109253_c0_g1_i1	female	TRINITY_DN109253_c0_g1_i1	NA	NA	-8.078777936	0.88865547	Ovary_mean	female
TRINITY_DN109275_c0_g1_i1	female	TRINITY_DN109275_c0_g1_i1	NA	NA	-2.905882991	0.478059501	Ovary_mean	female
TRINITY_DN109288_c0_g1_i1	female	TRINITY_DN109288_c0_g1_i1	fam124b	Chr05	-4.112857236	0.713454038	Ovary_mean	female
TRINITY_DN109332_c0_g1_i1	female	TRINITY_DN109332_c0_g1_i1	NA	NA	-1.640677647	0.455029014	Ovary_mean	female
TRINITY_DN109430_c0_g5_i1	female	TRINITY_DN109430_c0_g5_i1	brox	Chr05	-1.690559315	0.565408613	Ovary_mean	female
TRINITY_DN109440_c0_g1_i1	female	TRINITY_DN109440_c0_g1_i1	NA	NA	-1.795213258	0.620592911	Ovary_mean	female
TRINITY_DN109541_c0_g2_i1	female	TRINITY_DN109541_c0_g2_i1	NA	NA	-3.63519657	0.575503994	Ovary_mean	female
TRINITY_DN109560_c0_g1_i1	female	TRINITY_DN109560_c0_g1_i1	NA	NA	-1.918763153	0.526851568	Ovary_mean	female
TRINITY_DN109596_c0_g1_i1	female	TRINITY_DN109596_c0_g1_i1	NA	NA	-7.755034001	0.709010869	Ovary_mean	female
TRINITY_DN109646_c1_g1_i3	female	TRINITY_DN109646_c1_g1_i3	NA	NA	-4.418703379	0.62920725	Ovary_mean	female
TRINITY_DN109666_c0_g1_i1	female	TRINITY_DN109666_c0_g1_i1	NA	NA	-12.10335183	0.808450443	Ovary_mean	female
TRINITY_DN109667_c0_g1_i2	female	TRINITY_DN109667_c0_g1_i2	NA	NA	-1.20102945	0.341072917	Ovary_mean	female
TRINITY_DN109669_c1_g2_i1	female	TRINITY_DN109669_c1_g2_i1	cth	Chr04	-5.453158932	0.531520757	Ovary_mean	female
TRINITY_DN109790_c0_g1_i1	female	TRINITY_DN109790_c0_g1_i1	NA	NA	-1.242069143	0.367374079	Ovary_mean	female
TRINITY_DN109823_c0_g1_i2	female	TRINITY_DN109823_c0_g1_i2	NA	NA	-2.621580002	0.631689886	Brain_mean	female
TRINITY_DN109883_c0_g1_i1	female	TRINITY_DN109883_c0_g1_i1	NA	NA	-5.507860116	0.848511997	Ovary_mean	female
TRINITY_DN109913_c0_g1_i1	female	TRINITY_DN109913_c0_g1_i1	NA	NA	-9.298120997	0.90284786	Ovary_mean	female
TRINITY_DN109913_c0_g2_i1	female	TRINITY_DN109913_c0_g2_i1	NA	NA	-10.66485568	0.900128161	Ovary_mean	female
TRINITY_DN109929_c0_g1_i1	female	TRINITY_DN109929_c0_g1_i1	NA	NA	-11.15822606	0.830558631	Ovary_mean	female
TRINITY_DN109936_c0_g2_i1	female	TRINITY_DN109936_c0_g2_i1	NA	NA	-1.594062881	0.381561212	Ovary_mean	female
TRINITY_DN109944_c0_g1_i1	female	TRINITY_DN109944_c0_g1_i1	NA	NA	-1.615708222	0.488009674	Ovary_mean	female
TRINITY_DN109983_c0_g1_i2	female	TRINITY_DN109983_c0_g1_i2	NA	NA	-1.658834321	0.434685987	Ovary_mean	female
TRINITY_DN110022_c0_g1_i1	female	TRINITY_DN110022_c0_g1_i1	NA	NA	-2.667071305	0.451953779	Ovary_mean	female
TRINITY_DN110037_c0_g1_i1	female	TRINITY_DN110037_c0_g1_i1	NA	NA	-3.298390808	0.7576335	Ovary_mean	female
TRINITY_DN110068_c0_g2_i4	female	TRINITY_DN110068_c0_g2_i4	NA	NA	-1.906065782	0.635023796	Ovary_mean	female
TRINITY_DN110103_c0_g1_i1	female	TRINITY_DN110103_c0_g1_i1	Xetrov90030986m	scaffold_99	-8.569026429	0.873793545	Ovary_mean	female
TRINITY_DN110156_c0_g1_i1	female	TRINITY_DN110156_c0_g1_i1	NA	NA	-2.884659852	0.372428206	Ovary_mean	female
TRINITY_DN110201_c0_g1_i1	female	TRINITY_DN110201_c0_g1_i1	NA	NA	-3.060936802	0.48852418	Ovary_mean	female
TRINITY_DN110230_c0_g1_i1	female	TRINITY_DN110230_c0_g1_i1	LOC100485394	Chr02	-1.260842477	0.582691962	Ovary_mean	female
TRINITY_DN110258_c0_g1_i1	female	TRINITY_DN110258_c0_g1_i1	fign-like	Chr09	-1.314264232	0.407190832	Ovary_mean	female
TRINITY_DN110265_c0_g1_i1	female	TRINITY_DN110265_c0_g1_i1	NA	NA	-1.076460138	0.410874473	Ovary_mean	female
TRINITY_DN110298_c0_g3_i1	female	TRINITY_DN110298_c0_g3_i1	sts	Chr02	-1.44905914	0.301498519	G23_mean	female
TRINITY_DN110346_c0_g1_i2	female	TRINITY_DN110346_c0_g1_i2	NA	NA	-1.767349659	0.431359026	Ovary_mean	female
TRINITY_DN110523_c0_g1_i2	female	TRINITY_DN110523_c0_g1_i2	NA	NA	-2.191826065	0.561285678	Ovary_mean	female
TRINITY_DN110644_c0_g1_i1	female	TRINITY_DN110644_c0_g1_i1	surf4.2	scaffold_2303	-5.909832902	0.940782986	Ovary_mean	female
TRINITY_DN110644_c0_g2_i1	female	TRINITY_DN110644_c0_g2_i1	NA	NA	-5.953377629	0.910316306	Ovary_mean	female
TRINITY_DN110644_c0_g3_i1	female	TRINITY_DN110644_c0_g3_i1	NA	NA	-8.02078597	0.887496426	Ovary_mean	female
TRINITY_DN110679_c0_g1_i1	female	TRINITY_DN110679_c0_g1_i1	NA	NA	-10.76486731	0.890071596	Ovary_mean	female
TRINITY_DN110734_c0_g1_i1	female	TRINITY_DN110734_c0_g1_i1	NA	NA	-6.180376777	0.890729958	Ovary_mean	female
TRINITY_DN110778_c0_g1_i1	female	TRINITY_DN110778_c0_g1_i1	NA	NA	-1.565557498	0.416398847	Ovary_mean	female
TRINITY_DN110780_c0_g1_i2	female	TRINITY_DN110780_c0_g1_i2	NA	NA	-2.75852712	0.620690618	Ovary_mean	female
TRINITY_DN110801_c0_g2_i1	female	TRINITY_DN110801_c0_g2_i1	fam219b	Chr03	-1.515498238	0.50059551	Ovary_mean	female
TRINITY_DN110864_c0_g1_i2	female	TRINITY_DN110864_c0_g1_i2	NA	NA	-3.234818949	0.65508782	Brain_mean	female
TRINITY_DN110877_c0_g1_i3	female	TRINITY_DN110877_c0_g1_i3	NA	NA	-2.47451153	0.508118335	Ovary_mean	female
TRINITY_DN110885_c0_g1_i1	female	TRINITY_DN110885_c0_g1_i1	NA	NA	-2.260926852	0.571335037	Ovary_mean	female
TRINITY_DN110915_c0_g1_i1	female	TRINITY_DN110915_c0_g1_i1	NA	NA	-11.01236425	0.908042298	Ovary_mean	female
TRINITY_DN110915_c0_g2_i1	female	TRINITY_DN110915_c0_g2_i1	NA	NA	-6.49600229	0.898523133	Ovary_mean	female
TRINITY_DN110920_c0_g1_i2	female	TRINITY_DN110920_c0_g1_i2	NA	NA	-1.060479727	0.336326775	Ovary_mean	female
TRINITY_DN110967_c0_g1_i1	female	TRINITY_DN110967_c0_g1_i1	NA	NA	-1.570541344	0.613441302	Ovary_mean	female
TRINITY_DN110993_c0_g1_i2	female	TRINITY_DN110993_c0_g1_i2	NA	NA	-1.541823956	0.449030578	Ovary_mean	female
TRINITY_DN111028_c0_g1_i1	female	TRINITY_DN111028_c0_g1_i1	NA	NA	-13.05645752	0.860872775	Ovary_mean	female
TRINITY_DN111065_c0_g1_i5	female	TRINITY_DN111065_c0_g1_i5	NA	NA	-3.152705929	0.419015896	G46_F_mean	female
TRINITY_DN111223_c0_g1_i1	female	TRINITY_DN111223_c0_g1_i1	NA	NA	-1.565828924	0.362263447	Ovary_mean	female
TRINITY_DN111232_c0_g2_i1	female	TRINITY_DN111232_c0_g2_i1	LOC100488102	Chr06	-6.442548468	0.829145648	Ovary_mean	female
TRINITY_DN111232_c1_g1_i1	female	TRINITY_DN111232_c1_g1_i1	NA	NA	-6.55496605	0.869686417	Ovary_mean	female
TRINITY_DN111236_c0_g1_i1	female	TRINITY_DN111236_c0_g1_i1	NA	NA	-6.277773293	0.796821699	Ovary_mean	female
TRINITY_DN111318_c0_g1_i3	female	TRINITY_DN111318_c0_g1_i3	NA	NA	-3.664463936	0.703076995	Ovary_mean	female
TRINITY_DN111323_c0_g3_i1	female	TRINITY_DN111323_c0_g3_i1	NA	NA	-2.186486416	0.49180364	Ovary_mean	female
TRINITY_DN111329_c0_g1_i2	female	TRINITY_DN111329_c0_g1_i2	nos3	Chr06	-4.883984732	0.861080769	Ovary_mean	female
TRINITY_DN111515_c0_g1_i2	female	TRINITY_DN111515_c0_g1_i2	NA	NA	-1.005612933	0.380595482	Brain_mean	female
TRINITY_DN111552_c0_g1_i1	female	TRINITY_DN111552_c0_g1_i1	NA	NA	-2.092227075	0.471552667	Ovary_mean	female
TRINITY_DN111588_c1_g2_i1	female	TRINITY_DN111588_c1_g2_i1	NA	NA	-4.972864332	0.846193688	Ovary_mean	female
TRINITY_DN111590_c0_g1_i1	female	TRINITY_DN111590_c0_g1_i1	LOC733842	scaffold_208	-1.333951497	0.331355107	Ovary_mean	female
TRINITY_DN111594_c0_g1_i2	female	TRINITY_DN111594_c0_g1_i2	NA	NA	-5.585302352	0.698221224	Ovary_mean	female
TRINITY_DN111724_c0_g1_i1	female	TRINITY_DN111724_c0_g1_i1	lppr3	Chr01	-6.191674944	0.488509326	Ovary_mean	female
TRINITY_DN111860_c0_g1_i1	female	TRINITY_DN111860_c0_g1_i1	afg3l1p	Chr04	-2.263086779	0.545643192	Ovary_mean	female
TRINITY_DN111968_c1_g1_i1	female	TRINITY_DN111968_c1_g1_i1	Xetrov90029597m	scaffold_5650	-2.186242038	0.521107339	Ovary_mean	female
TRINITY_DN112103_c0_g1_i1	female	TRINITY_DN112103_c0_g1_i1	NA	NA	-1.113381032	0.258387937	Ovary_mean	female
TRINITY_DN112117_c1_g1_i4	female	TRINITY_DN112117_c1_g1_i4	uba3	Chr04	-3.727382775	0.75816465	Ovary_mean	female
TRINITY_DN112124_c0_g2_i1	female	TRINITY_DN112124_c0_g2_i1	NA	NA	-10.75826753	0.86272052	Ovary_mean	female
TRINITY_DN112166_c0_g2_i1	female	TRINITY_DN112166_c0_g2_i1	NA	NA	-2.194736124	0.495494002	Ovary_mean	female
TRINITY_DN112226_c0_g2_i2	female	TRINITY_DN112226_c0_g2_i2	NA	NA	-3.867016882	0.554035692	Brain_mean	female
TRINITY_DN112243_c0_g1_i1	female	TRINITY_DN112243_c0_g1_i1	NA	NA	-4.935110583	0.671223383	G46_F_mean	female
TRINITY_DN112243_c1_g1_i1	female	TRINITY_DN112243_c1_g1_i1	NA	NA	-4.286556358	0.539251344	G46_F_mean	female
TRINITY_DN112246_c1_g5_i1	female	TRINITY_DN112246_c1_g5_i1	NA	NA	-2.720290242	0.49703912	Ovary_mean	female
TRINITY_DN112272_c0_g1_i1	female	TRINITY_DN112272_c0_g1_i1	NA	NA	-9.024170148	0.853146705	Ovary_mean	female
TRINITY_DN112287_c0_g1_i1	female	TRINITY_DN112287_c0_g1_i1	NA	NA	-4.519658117	0.821886002	Ovary_mean	female
TRINITY_DN112341_c0_g1_i1	female	TRINITY_DN112341_c0_g1_i1	metap2	Chr03	-2.163451508	0.399500846	Ovary_mean	female
TRINITY_DN112343_c0_g1_i1	female	TRINITY_DN112343_c0_g1_i1	NA	NA	-2.807457406	0.686461443	Ovary_mean	female
TRINITY_DN112397_c0_g1_i1	female	TRINITY_DN112397_c0_g1_i1	thumpd3	Chr04	-1.566879546	0.596054776	Ovary_mean	female
TRINITY_DN112453_c0_g3_i1	female	TRINITY_DN112453_c0_g3_i1	NA	NA	-2.913686733	0.465638829	Ovary_mean	female
TRINITY_DN112473_c1_g1_i1	female	TRINITY_DN112473_c1_g1_i1	NA	NA	-3.555663102	0.710127482	Brain_mean	female
TRINITY_DN112473_c1_g2_i2	female	TRINITY_DN112473_c1_g2_i2	ptrh2	Chr02	-1.549810973	0.518790658	Ovary_mean	female
TRINITY_DN112501_c0_g1_i7	female	TRINITY_DN112501_c0_g1_i7	NA	NA	-2.415955498	0.476957695	Ovary_mean	female
TRINITY_DN112598_c0_g2_i1	female	TRINITY_DN112598_c0_g2_i1	NA	NA	-3.45370611	0.611764931	Ovary_mean	female
TRINITY_DN112693_c0_g2_i1	female	TRINITY_DN112693_c0_g2_i1	prim2	Chr05	-4.132982013	0.728887452	Ovary_mean	female
TRINITY_DN112755_c0_g2_i1	female	TRINITY_DN112755_c0_g2_i1	kiaa1468	Chr06	-4.256706749	0.766021087	Ovary_mean	female
TRINITY_DN112756_c0_g1_i1	female	TRINITY_DN112756_c0_g1_i1	def6	Chr02	-1.801436678	0.602909825	Ovary_mean	female
TRINITY_DN112800_c0_g1_i2	female	TRINITY_DN112800_c0_g1_i2	NA	NA	-1.220498529	0.478463321	Ovary_mean	female
TRINITY_DN112822_c0_g1_i1	female	TRINITY_DN112822_c0_g1_i1	NA	NA	-3.201926926	0.72323936	Ovary_mean	female
TRINITY_DN112841_c0_g1_i1	female	TRINITY_DN112841_c0_g1_i1	NA	NA	-3.799414906	0.740099764	Ovary_mean	female
TRINITY_DN112849_c0_g1_i1	female	TRINITY_DN112849_c0_g1_i1	NA	NA	-2.968978431	0.634771827	Ovary_mean	female
TRINITY_DN112907_c0_g2_i1	female	TRINITY_DN112907_c0_g2_i1	NA	NA	-3.392442607	0.448255658	Ovary_mean	female
TRINITY_DN112933_c0_g2_i1	female	TRINITY_DN112933_c0_g2_i1	NA	NA	-3.061088405	0.648081494	Ovary_mean	female
TRINITY_DN112935_c0_g1_i1	female	TRINITY_DN112935_c0_g1_i1	NA	NA	-1.86857258	0.373356398	Ovary_mean	female
TRINITY_DN112943_c0_g1_i2	female	TRINITY_DN112943_c0_g1_i2	NA	NA	-1.040854433	0.344804408	Ovary_mean	female
TRINITY_DN112953_c0_g1_i2	female	TRINITY_DN112953_c0_g1_i2	NA	NA	-2.240548771	0.536402388	Ovary_mean	female
TRINITY_DN113124_c0_g1_i3	female	TRINITY_DN113124_c0_g1_i3	NA	NA	-1.731037268	0.392345703	Ovary_mean	female
TRINITY_DN113177_c0_g1_i2	female	TRINITY_DN113177_c0_g1_i2	NA	NA	-2.505258215	0.588482526	Ovary_mean	female
TRINITY_DN113183_c0_g1_i2	female	TRINITY_DN113183_c0_g1_i2	NA	NA	-5.368782261	0.423329605	Ovary_mean	female
TRINITY_DN113212_c0_g2_i2	female	TRINITY_DN113212_c0_g2_i2	stmn4	Chr05	-1.966008182	0.4185641	Ovary_mean	female
TRINITY_DN113308_c0_g1_i2	female	TRINITY_DN113308_c0_g1_i2	aqp10	scaffold_627	-8.047126684	0.906393187	Ovary_mean	female
TRINITY_DN113341_c0_g1_i2	female	TRINITY_DN113341_c0_g1_i2	NA	NA	-1.508485673	0.451796403	Ovary_mean	female
TRINITY_DN113356_c0_g2_i1	female	TRINITY_DN113356_c0_g2_i1	NA	NA	-2.009992625	0.331992378	Ovary_mean	female
TRINITY_DN113362_c0_g2_i1	female	TRINITY_DN113362_c0_g2_i1	NA	NA	-4.699957593	0.715308346	Ovary_mean	female
TRINITY_DN113377_c0_g2_i1	female	TRINITY_DN113377_c0_g2_i1	tfcp2	Chr02	-1.177610145	0.687024697	Ovary_mean	female
TRINITY_DN113419_c0_g3_i1	female	TRINITY_DN113419_c0_g3_i1	NA	NA	-3.566091011	0.618523444	Ovary_mean	female
TRINITY_DN113439_c0_g1_i1	female	TRINITY_DN113439_c0_g1_i1	NA	NA	-1.676691145	0.519379659	Ovary_mean	female
TRINITY_DN113447_c0_g1_i1	female	TRINITY_DN113447_c0_g1_i1	NA	NA	-1.728321677	0.364934743	Ovary_mean	female
TRINITY_DN113530_c0_g1_i1	female	TRINITY_DN113530_c0_g1_i1	NA	NA	-1.504921311	0.477415451	Ovary_mean	female
TRINITY_DN113538_c0_g1_i1	female	TRINITY_DN113538_c0_g1_i1	NA	NA	-8.963109914	0.814918633	Ovary_mean	female
TRINITY_DN113561_c0_g1_i1	female	TRINITY_DN113561_c0_g1_i1	nckap1l-like	Chr02	-2.383378375	0.506135272	Ovary_mean	female
TRINITY_DN113595_c0_g2_i2	female	TRINITY_DN113595_c0_g2_i2	NA	NA	-1.828461382	0.737328578	Ovary_mean	female
TRINITY_DN113605_c0_g1_i1	female	TRINITY_DN113605_c0_g1_i1	NA	NA	-2.999980396	0.727432061	Ovary_mean	female
TRINITY_DN113614_c0_g1_i2	female	TRINITY_DN113614_c0_g1_i2	NA	NA	-5.295805689	0.761327579	Ovary_mean	female
TRINITY_DN113665_c0_g3_i1	female	TRINITY_DN113665_c0_g3_i1	NA	NA	-2.753119627	0.625365377	Ovary_mean	female
TRINITY_DN113738_c0_g2_i6	female	TRINITY_DN113738_c0_g2_i6	NA	NA	-2.009927281	0.530105586	G23_mean	female
TRINITY_DN113753_c1_g1_i1	female	TRINITY_DN113753_c1_g1_i1	NA	NA	-1.215231431	0.38819218	Ovary_mean	female
TRINITY_DN113753_c2_g1_i1	female	TRINITY_DN113753_c2_g1_i1	NA	NA	-2.864452847	0.436662306	Ovary_mean	female
TRINITY_DN113760_c0_g3_i2	female	TRINITY_DN113760_c0_g3_i2	NA	NA	-7.360741694	0.81507379	Ovary_mean	female
TRINITY_DN113807_c0_g1_i1	female	TRINITY_DN113807_c0_g1_i1	NA	NA	-2.565132804	0.641322439	Ovary_mean	female
TRINITY_DN113820_c0_g1_i1	female	TRINITY_DN113820_c0_g1_i1	tasp1	Chr05	-4.5794477	0.602041615	Ovary_mean	female
