gid	gname	chr	logFC.XY46.XX46	tau	tissue	bias	RBH	TRANS	dNdS	dN	dS
TRINITY_DN112755_c0_g2_i1	kiaa1468	Chr06	-4.256706749	0.766021087	Ovary_mean	female	RBH_pair_760.fa.best.phy	TRINITY_DN112755_c0_g2_i1	0.035	0.0574	1.6416
TRINITY_DN112841_c0_g1_i1	NA	NA	-3.799414906	0.740099764	Ovary_mean	female	RBH_pair_773.fa.best.phy	TRINITY_DN112841_c0_g1_i1	0.0857	0.1154	1.3469
TRINITY_DN112907_c0_g2_i1	NA	NA	-3.392442607	0.448255658	Ovary_mean	female	RBH_pair_780.fa.best.phy	TRINITY_DN112907_c0_g2_i1	0.0792	0.1344	1.696
TRINITY_DN112953_c0_g1_i2	NA	NA	-2.240548771	0.536402388	Ovary_mean	female	RBH_pair_785.fa.best.phy	TRINITY_DN112953_c0_g1_i2	0.1104	0.214	1.9383
TRINITY_DN113022_c0_g5_i1	NA	NA	-1.425806598	0.271382134	Ovary_mean	female	RBH_pair_787.fa.best.phy	TRINITY_DN113022_c0_g5_i1	0.0433	0.0432	0.999
TRINITY_DN113124_c0_g1_i3	NA	NA	-1.731037268	0.392345703	Ovary_mean	female	RBH_pair_796.fa.best.phy	TRINITY_DN113124_c0_g1_i3	0.0639	0.1019	1.5957
TRINITY_DN113129_c0_g2_i2	NA	NA	-1.809815227	0.533474646	Ovary_mean	female	RBH_pair_797.fa.best.phy	TRINITY_DN113129_c0_g2_i2	0.1404	0.2214	1.5766
TRINITY_DN113212_c0_g2_i2	stmn4	Chr05	-1.966008182	0.4185641	Ovary_mean	female	RBH_pair_808.fa.best.phy	TRINITY_DN113212_c0_g2_i2	0.0389	0.0355	0.9134
TRINITY_DN113238_c0_g1_i1	NA	NA	-2.607394117	0.377540205	Ovary_mean	female	RBH_pair_812.fa.best.phy	TRINITY_DN113238_c0_g1_i1	0.0117	0.0124	1.0564
TRINITY_DN113248_c0_g1_i1	mcm2	Chr04	-1.524482229	0.448929791	Ovary_mean	female	RBH_pair_813.fa.best.phy	TRINITY_DN113248_c0_g1_i1	0.0746	0.145	1.9443
TRINITY_DN113341_c0_g1_i2	NA	NA	-1.508485673	0.451796403	Ovary_mean	female	RBH_pair_831.fa.best.phy	TRINITY_DN113341_c0_g1_i2	0.1436	0.213	1.4827
TRINITY_DN113466_c0_g1_i2	cramp1l-like	Chr09	-2.067684508	0.426692551	Ovary_mean	female	RBH_pair_845.fa.best.phy	TRINITY_DN113466_c0_g1_i2	0.0634	0.117	1.8461
TRINITY_DN113530_c0_g1_i1	NA	NA	-1.504921311	0.477415451	Ovary_mean	female	RBH_pair_854.fa.best.phy	TRINITY_DN113530_c0_g1_i1	0.0468	0.0843	1.8017
TRINITY_DN113561_c0_g1_i1	nckap1l-like	Chr02	-2.383378375	0.506135272	Ovary_mean	female	RBH_pair_858.fa.best.phy	TRINITY_DN113561_c0_g1_i1	0.1627	0.2879	1.7688
TRINITY_DN113595_c0_g2_i2	NA	NA	-1.828461382	0.737328578	Ovary_mean	female	RBH_pair_865.fa.best.phy	TRINITY_DN113595_c0_g2_i2	0.0922	0.1409	1.5284
TRINITY_DN113605_c0_g1_i1	NA	NA	-2.999980396	0.727432061	Ovary_mean	female	RBH_pair_866.fa.best.phy	TRINITY_DN113605_c0_g1_i1	0.0353	0.0483	1.369
TRINITY_DN113613_c0_g3_i1	NA	NA	-1.103667489	0.389988458	Ovary_mean	female	RBH_pair_868.fa.best.phy	TRINITY_DN113613_c0_g3_i1	0.1838	0.175	0.9517
TRINITY_DN113753_c1_g1_i1	NA	NA	-1.215231431	0.38819218	Ovary_mean	female	RBH_pair_886.fa.best.phy	TRINITY_DN113753_c1_g1_i1	0.0406	0.0656	1.617
TRINITY_DN113760_c0_g3_i2	NA	NA	-7.360741694	0.81507379	Ovary_mean	female	RBH_pair_887.fa.best.phy	TRINITY_DN113760_c0_g3_i2	0.1841	0.2909	1.5801
TRINITY_DN113789_c0_g1_i1	NA	NA	-1.157966118	0.25788274	Ovary_mean	female	RBH_pair_891.fa.best.phy	TRINITY_DN113789_c0_g1_i1	0.0061	0.0082	1.3362
TRINITY_DN113887_c0_g1_i1	NA	NA	-2.538234757	0.758749917	G31_mean	female	RBH_pair_905.fa.best.phy	TRINITY_DN113887_c0_g1_i1	0.2108	0.4154	1.9705
TRINITY_DN113911_c0_g2_i1	NA	NA	-2.421101667	0.514219095	Ovary_mean	female	RBH_pair_910.fa.best.phy	TRINITY_DN113911_c0_g2_i1	0.1325	0.166	1.2531
TRINITY_DN113919_c0_g2_i1	tagln2	Chr08	-1.785246641	0.285101831	Ovary_mean	female	RBH_pair_915.fa.best.phy	TRINITY_DN113919_c0_g2_i1	0.0366	0.0635	1.7339
TRINITY_DN113958_c0_g1_i1	NA	NA	-2.058357909	0.452385358	Ovary_mean	female	RBH_pair_917.fa.best.phy	TRINITY_DN113958_c0_g1_i1	0.0592	0.0943	1.5946
TRINITY_DN113980_c0_g1_i2	NA	NA	-2.662356383	0.471973207	Ovary_mean	female	RBH_pair_919.fa.best.phy	TRINITY_DN113980_c0_g1_i2	0.0699	0.1308	1.8717
TRINITY_DN114052_c0_g1_i1	tmem54	Chr02	-1.324180582	0.528431235	Ovary_mean	female	RBH_pair_933.fa.best.phy	TRINITY_DN114052_c0_g1_i1	0.0433	0.0822	1.8971
TRINITY_DN114162_c0_g2_i5	NA	NA	-1.390016296	0.471493014	Testis_mean	female	RBH_pair_956.fa.best.phy	TRINITY_DN114162_c0_g2_i5	0.1507	0.2316	1.5372
TRINITY_DN114190_c0_g1_i2	NA	NA	-3.400145907	0.573038131	Ovary_mean	female	RBH_pair_960.fa.best.phy	TRINITY_DN114190_c0_g1_i2	0.0545	0.0905	1.6614
TRINITY_DN114256_c0_g1_i1	LOC100497526	Chr06	-1.124423509	0.287477633	Ovary_mean	female	RBH_pair_968.fa.best.phy	TRINITY_DN114256_c0_g1_i1	0.1272	0.2427	1.908
TRINITY_DN114305_c0_g2_i2	pgm2	Chr01	-1.789704253	0.689828917	Ovary_mean	female	RBH_pair_973.fa.best.phy	TRINITY_DN114305_c0_g2_i2	0.1223	0.1721	1.4074
TRINITY_DN114338_c0_g2_i2	NA	NA	-2.927491733	0.433249892	Ovary_mean	female	RBH_pair_978.fa.best.phy	TRINITY_DN114338_c0_g2_i2	0.0975	0.1516	1.5545
TRINITY_DN114344_c0_g2_i1	NA	NA	-2.189278562	0.514614394	Ovary_mean	female	RBH_pair_980.fa.best.phy	TRINITY_DN114344_c0_g2_i1	0.068	0.0927	1.3623
TRINITY_DN114443_c0_g1_i1	NA	NA	-6.016347243	0.902979599	Ovary_mean	female	RBH_pair_999.fa.best.phy	TRINITY_DN114443_c0_g1_i1	0.1329	0.2534	1.9061
TRINITY_DN114649_c0_g1_i2	LOC100485706	Chr03	-1.544036329	0.287664304	Ovary_mean	female	RBH_pair_1033.fa.best.phy	TRINITY_DN114649_c0_g1_i2	0.0012	0.0021	1.7061
TRINITY_DN114651_c0_g1_i3	NA	NA	-2.344519682	0.422673948	Ovary_mean	female	RBH_pair_1034.fa.best.phy	TRINITY_DN114651_c0_g1_i3	0.0352	0.0533	1.516
TRINITY_DN114661_c0_g1_i2	NA	NA	-1.483484164	0.446769812	Ovary_mean	female	RBH_pair_1037.fa.best.phy	TRINITY_DN114661_c0_g1_i2	0.1904	0.2674	1.4042
TRINITY_DN114732_c1_g6_i1	bmper	Chr06	-2.090444384	0.4582802	Ovary_mean	female	RBH_pair_1051.fa.best.phy	TRINITY_DN114732_c1_g6_i1	0.1469	0.2313	1.5752
