gid	gname	chr	start	end	logFC.XYbrain.XXrain	bias	tau	tissue
TRINITY_DN100295_c0_g1_i1	gins2	Chr04	67310826	67310826	-1.240374014	unbias	0.960391495	Brain_fmean
TRINITY_DN100300_c0_g1_i1	nxph2	Chr09	76125906	76125906	2.000622619	unbias	0.575462817	Brain_mmean
TRINITY_DN100348_c0_g1_i1	NA	NA	NA	NA	0.278376145	unbias	0.945528011	Brain_mmean
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	0.527140121	unbias	0.33834217	G46_M_mean
TRINITY_DN100360_c0_g1_i1	mphosph6	Chr04	66339509	66339509	-4.793510475	female	0.973546028	Brain_fmean
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	0.017341149	unbias	0.416926551	Brain_mmean
TRINITY_DN100411_c0_g3_i1	rspo3	Chr05	46662187	46662187	-0.635772005	unbias	0.537655056	Ovary_mean
TRINITY_DN100435_c0_g1_i1	LOC100490310	Chr02	146504622	146504622	-0.848429037	unbias	0.938291225	Brain_fmean
TRINITY_DN100514_c0_g1_i1	NA	NA	NA	NA	0.35997615	unbias	0.914820161	Brain_mmean
TRINITY_DN100549_c0_g1_i1	LOC100486041-like	Chr01	65671663	65671663	-0.096523723	unbias	0.406904097	Brain_fmean
TRINITY_DN100595_c0_g1_i1	NA	NA	NA	NA	-0.112753898	unbias	0.19357363	Brain_fmean
TRINITY_DN100617_c0_g1_i1	NA	NA	NA	NA	0.671895238	unbias	0.689787193	Brain_mmean
TRINITY_DN100636_c0_g1_i1	NA	NA	NA	NA	-0.044793775	unbias	0.396914093	G23_fmean
TRINITY_DN100637_c0_g1_i1	NA	NA	NA	NA	-0.187683599	unbias	0.689492139	Brain_fmean
TRINITY_DN100638_c0_g2_i1	mertk	Chr05	38783057	38783057	0.134521501	unbias	0.195032263	Ovary_mean
TRINITY_DN100681_c0_g1_i1	NA	NA	NA	NA	-0.132620197	unbias	0.141796895	Brain_fmean
TRINITY_DN100684_c0_g1_i1	NA	NA	NA	NA	0.48531111	unbias	0.434386206	G23_fmean
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	0.98788823	unbias	0.380993312	G27_mmean
TRINITY_DN100706_c0_g3_i1	ubac1	scaffold_467	139410	139410	-0.134617555	unbias	0.1456891	Brain_fmean
TRINITY_DN100730_c0_g1_i1	NA	NA	NA	NA	0.374254034	unbias	0.683425316	Brain_mmean
TRINITY_DN100751_c0_g1_i1	b3gat2	Chr05	91434519	91434519	-0.332184061	unbias	0.309325789	Brain_fmean
TRINITY_DN100754_c0_g1_i1	NA	NA	NA	NA	-0.062179765	unbias	0.645895403	G46_M_mean
TRINITY_DN100779_c0_g1_i1	NA	NA	NA	NA	-0.288874158	unbias	0.582069999	G27_mmean
TRINITY_DN100788_c0_g1_i1	NA	NA	NA	NA	0.024656645	unbias	0.345261534	G23_fmean
TRINITY_DN100789_c0_g1_i1	NA	NA	NA	NA	-0.446591649	unbias	0.442122179	Brain_fmean
TRINITY_DN100822_c0_g1_i1	dpysl3	Chr03	34136739	34136739	0.219566687	unbias	0.956560251	Brain_mmean
TRINITY_DN100827_c0_g1_i1	LOC100493471	Chr04	45705683	45705683	-0.184203524	unbias	0.716903996	Brain_fmean
TRINITY_DN100835_c0_g1_i1	ednrb2	Chr08	44124017	44124017	0.25251502	unbias	0.437639948	G27_mmean
TRINITY_DN100852_c0_g1_i1	ell2	Chr01	172702126	172702126	-0.067120508	unbias	0.541333759	Brain_mmean
TRINITY_DN100856_c0_g1_i1	rgs8	Chr04	90048764	90048764	0.007651138	unbias	0.280627776	Brain_mmean
TRINITY_DN100856_c0_g2_i1	NA	NA	NA	NA	0.06450499	unbias	0.20354166	Brain_mmean
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	-0.255432578	unbias	0.326273107	Ovary_mean
TRINITY_DN100915_c0_g2_i1	LOC100487591	Chr04	81035890	81035890	0.742521002	unbias	0.534408145	Brain_mmean
TRINITY_DN100932_c0_g1_i1	NA	NA	NA	NA	-0.543032788	unbias	0.447648528	G46_M_mean
TRINITY_DN100963_c0_g1_i1	NA	NA	NA	NA	0.348570509	unbias	0.877498071	Brain_mmean
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	-0.010512465	unbias	0.214017864	G43_F_mean
TRINITY_DN101035_c0_g3_i1	NA	NA	NA	NA	0.46027532	unbias	0.600830486	Ovary_mean
TRINITY_DN101038_c0_g1_i1	NA	NA	NA	NA	-0.234686419	unbias	0.749606423	Brain_fmean
TRINITY_DN101042_c0_g2_i1	plcxd3	Chr01	182748621	182748621	-0.180671364	unbias	0.606357753	Ovary_mean
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	-0.102153438	unbias	0.719096943	Ovary_mean
TRINITY_DN101055_c0_g2_i1	NA	NA	NA	NA	0.174157862	unbias	0.677705652	Brain_mmean
TRINITY_DN101070_c0_g2_i1	NA	NA	NA	NA	0.002247146	unbias	0.941636667	Brain_mmean
TRINITY_DN101074_c0_g1_i1	gbas	Chr02	94271619	94271619	-0.131670177	unbias	0.209076279	G23_fmean
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	-0.074919772	unbias	0.273916653	Ovary_mean
TRINITY_DN101111_c0_g1_i2	amdhd1	Chr03	47684352	47684352	-0.026945651	unbias	0.473016121	Ovary_mean
TRINITY_DN101115_c0_g1_i2	NA	NA	NA	NA	-0.040965713	unbias	0.793397145	Brain_mmean
TRINITY_DN101145_c0_g1_i1	NA	NA	NA	NA	-0.587508467	unbias	0.835250921	Brain_fmean
TRINITY_DN101150_c0_g1_i1	NA	NA	NA	NA	0.10211482	unbias	0.472543558	G23_mmean
TRINITY_DN101150_c0_g2_i1	NA	NA	NA	NA	0.676119396	unbias	0.452904283	Ovary_mean
TRINITY_DN101169_c0_g1_i2	dhrs13	Chr02	26410633	26410633	0.204164925	unbias	0.701338785	Brain_mmean
TRINITY_DN101175_c0_g1_i1	NA	NA	NA	NA	-0.008589749	unbias	0.905554332	Brain_fmean
TRINITY_DN101211_c0_g2_i1	NA	NA	NA	NA	-0.384033313	unbias	0.734402799	Brain_fmean
TRINITY_DN101211_c0_g3_i1	NA	NA	NA	NA	-0.236526863	unbias	0.809499844	Brain_fmean
TRINITY_DN101217_c0_g1_i1	NA	NA	NA	NA	-0.342312182	unbias	0.346337874	Brain_fmean
TRINITY_DN101232_c0_g1_i1	klhl4	Chr08	41177234	41177234	0.093480185	unbias	0.675159323	Brain_mmean
TRINITY_DN101244_c0_g1_i1	NA	NA	NA	NA	0.474344211	unbias	0.378557799	Ovary_mean
TRINITY_DN101247_c0_g3_i1	NA	NA	NA	NA	0.110605147	unbias	0.653078653	Brain_mmean
TRINITY_DN101269_c0_g1_i5	NA	NA	NA	NA	-0.242882995	unbias	0.466858407	G23_fmean
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	-0.275775693	unbias	0.288124765	Brain_fmean
TRINITY_DN101292_c0_g1_i3	NA	NA	NA	NA	-0.104700202	unbias	0.876163604	Brain_fmean
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	0.303518854	unbias	0.287104048	Brain_mmean
TRINITY_DN101332_c0_g1_i1	rnf214-like	Chr07	84251433	84251433	-0.126486816	unbias	0.359279261	G46_M_mean
TRINITY_DN101356_c0_g1_i1	pdcd6ip	Chr06	82552138	82552138	0.052898494	unbias	0.654838779	Ovary_mean
TRINITY_DN101361_c0_g1_i2	qrfpr	Chr01	62153419	62153419	0.20224169	unbias	0.451788343	G23_mmean
TRINITY_DN101409_c0_g1_i1	Xetrov90022469m	Chr08	116927634	116927634	-0.126091951	unbias	0.396156883	G31_mmean
TRINITY_DN101432_c0_g2_i1	NA	NA	NA	NA	0.360952807	unbias	0.319922517	G27_mmean
TRINITY_DN101437_c0_g1_i1	NA	NA	NA	NA	-0.121628301	unbias	0.235972827	Ovary_mean
TRINITY_DN101457_c0_g1_i1	cyb561	Chr10	7711105	7711105	0.107111481	unbias	0.484065879	Ovary_mean
TRINITY_DN101472_c0_g1_i1	NA	NA	NA	NA	0.062289491	unbias	0.463317315	Ovary_mean
TRINITY_DN101477_c0_g1_i2	echdc2	Chr04	86875102	86875102	-0.129199658	unbias	0.379893771	G46_M_mean
TRINITY_DN101481_c0_g1_i2	NA	NA	NA	NA	-0.30718635	unbias	0.333703367	Brain_fmean
TRINITY_DN101483_c0_g2_i1	NA	NA	NA	NA	0.827615395	unbias	0.536541262	Brain_mmean
TRINITY_DN101488_c0_g2_i2	blmh	Chr02	24132124	24132124	-0.005117627	unbias	0.170045449	G23_mmean
TRINITY_DN101510_c0_g2_i1	NA	NA	NA	NA	-0.048039356	unbias	0.854303865	Brain_mmean
TRINITY_DN101511_c0_g2_i1	NA	NA	NA	NA	0.366274292	unbias	0.970131243	Brain_mmean
TRINITY_DN101511_c1_g1_i1	NA	NA	NA	NA	0.05729482	unbias	0.94258549	Brain_mmean
TRINITY_DN101537_c1_g1_i2	casp1	Chr02	38169668	38169668	0.215502708	unbias	0.412703434	G46_F_mean
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	0.034137587	unbias	0.253323869	Ovary_mean
TRINITY_DN101555_c2_g1_i2	NA	NA	NA	NA	0.368818381	unbias	0.878837354	Brain_mmean
TRINITY_DN101558_c0_g1_i1	LOC100492971	Chr09	8482537	8482537	0.046216965	unbias	0.434258624	Ovary_mean
TRINITY_DN101562_c0_g2_i1	plekhb2	Chr05	123326745	123326745	0.336093428	unbias	0.712013597	Brain_mmean
TRINITY_DN101606_c0_g1_i1	NA	NA	NA	NA	0.952417275	unbias	0.829536962	Brain_mmean
TRINITY_DN101610_c0_g2_i1	NA	NA	NA	NA	0.230562621	unbias	0.176829961	G43_F_mean
TRINITY_DN101611_c0_g3_i1	NA	NA	NA	NA	-0.18792354	unbias	0.962326334	Brain_fmean
TRINITY_DN101627_c0_g2_i1	NA	NA	NA	NA	-0.020985368	unbias	0.894950823	Brain_mmean
TRINITY_DN101627_c0_g3_i1	fndc3a	Chr08	44549440	44549440	0.347807606	unbias	0.921624036	Brain_mmean
TRINITY_DN101630_c0_g3_i1	NA	NA	NA	NA	0.05898858	unbias	0.908374163	Brain_mmean
TRINITY_DN101728_c0_g2_i1	fam172b	Chr02	101553638	101553638	0.421028978	unbias	0.459006234	G43_F_mean
TRINITY_DN101738_c0_g2_i1	NA	NA	NA	NA	0.197142738	unbias	0.428795695	Brain_mmean
TRINITY_DN101739_c1_g1_i2	NA	NA	NA	NA	-0.005879192	unbias	0.334721874	G43_M_mean
TRINITY_DN101751_c0_g1_i1	LOC594879	Chr01	96973380	96973380	-0.299087069	unbias	0.51580006	Ovary_mean
TRINITY_DN101758_c0_g1_i1	NA	NA	NA	NA	-0.082533259	unbias	0.098486839	G27_fmean
TRINITY_DN101767_c0_g1_i3	NA	NA	NA	NA	-0.196498918	unbias	0.750188584	Brain_fmean
TRINITY_DN101791_c0_g1_i1	NA	NA	NA	NA	-0.450641964	unbias	0.738257659	Brain_fmean
TRINITY_DN101795_c1_g1_i1	NA	NA	NA	NA	1.698396291	unbias	0.83342422	Brain_mmean
TRINITY_DN101798_c0_g1_i1	NA	NA	NA	NA	0.050596514	unbias	0.936851828	Brain_mmean
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	-0.178326129	unbias	0.412454283	Brain_fmean
TRINITY_DN101821_c0_g1_i1	LOC100486705	Chr06	4999391	4999391	0.018594706	unbias	0.703153505	Brain_mmean
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	-0.113114444	unbias	0.394024284	Ovary_mean
TRINITY_DN101835_c0_g3_i1	NA	NA	NA	NA	0.135868186	unbias	0.647329477	Brain_mmean
TRINITY_DN101867_c0_g1_i1	NA	NA	NA	NA	-0.079888953	unbias	0.261813566	G23_mmean
TRINITY_DN101869_c0_g1_i1	NA	NA	NA	NA	0.143829923	unbias	0.609127914	Brain_mmean
TRINITY_DN101870_c0_g1_i1	NA	NA	NA	NA	-0.482229753	unbias	0.882108962	Brain_fmean
TRINITY_DN101871_c0_g1_i1	NA	NA	NA	NA	0.205885583	unbias	0.813130958	Brain_mmean
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	-0.214137327	unbias	0.32010738	G31_mmean
TRINITY_DN101897_c0_g1_i1	copb2	Chr05	124927864	124927864	0.091190974	unbias	0.399599534	Brain_mmean
TRINITY_DN101903_c0_g1_i1	ckmt1b	Chr03	97416787	97416787	0.154471183	unbias	0.455250056	Ovary_mean
TRINITY_DN101903_c0_g2_i2	arhgef12	Chr07	87356877	87356877	0.186764247	unbias	0.469207272	Ovary_mean
TRINITY_DN101924_c0_g1_i2	NA	NA	NA	NA	-0.068258096	unbias	0.257230037	G23_mmean
TRINITY_DN101930_c0_g2_i1	LOC100485959-like.1	Chr07	104577349	104577349	-0.004625195	unbias	0.961401256	Brain_mmean
TRINITY_DN101930_c0_g4_i3	NA	NA	NA	NA	-0.616425525	unbias	0.946025075	Brain_fmean
TRINITY_DN101935_c0_g2_i1	NA	NA	NA	NA	1.62510127	unbias	0.553789112	Brain_mmean
TRINITY_DN101945_c0_g2_i1	crnkl1	Chr05	24504574	24504574	-0.471340003	unbias	0.521161325	G31_fmean
TRINITY_DN101950_c0_g1_i1	sgk3	Chr06	104176173	104176173	0.582963992	unbias	0.735070975	Brain_mmean
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	-0.252395773	unbias	0.428111172	Ovary_mean
TRINITY_DN101967_c0_g1_i4	NA	NA	NA	NA	0.023697078	unbias	0.620008627	Brain_mmean
TRINITY_DN102000_c0_g1_i1	NA	NA	NA	NA	0.167082445	unbias	0.411657529	Testis_mean
TRINITY_DN10201_c0_g1_i1	NA	NA	NA	NA	0.139890983	unbias	0.774695299	G46_F_mean
TRINITY_DN102016_c0_g1_i1	NA	NA	NA	NA	-0.112379027	unbias	0.331308297	Ovary_mean
TRINITY_DN102026_c0_g1_i2	NA	NA	NA	NA	-0.149009481	unbias	0.577737791	Brain_fmean
TRINITY_DN102032_c0_g1_i1	NA	NA	NA	NA	0.018242672	unbias	0.7996036	Brain_mmean
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	0.130006048	unbias	0.434214696	Ovary_mean
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	0.666416336	unbias	0.462382496	Testis_mean
TRINITY_DN102078_c0_g1_i1	NA	NA	NA	NA	-0.081577353	unbias	0.261237667	Ovary_mean
TRINITY_DN102078_c0_g2_i1	senp7	Chr02	101593514	101593514	-0.247547178	unbias	0.245801134	Ovary_mean
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	-0.0837004	unbias	0.22164913	Ovary_mean
TRINITY_DN102094_c0_g1_i1	NA	NA	NA	NA	-0.37383649	unbias	0.843226352	Brain_fmean
TRINITY_DN102094_c0_g2_i1	NA	NA	NA	NA	-0.118542764	unbias	0.85066817	Brain_fmean
TRINITY_DN102094_c0_g3_i1	NA	NA	NA	NA	-0.114023693	unbias	0.761298496	Brain_fmean
TRINITY_DN102104_c0_g1_i1	camkk2-like	Chr01	153827883	153827883	0.034371575	unbias	0.322697995	G43_F_mean
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	0.098196942	unbias	0.486775433	Ovary_mean
TRINITY_DN102158_c0_g1_i1	idh3b	scaffold_202	424463	424463	-0.122050275	unbias	0.208238663	Ovary_mean
TRINITY_DN102159_c0_g1_i2	NA	NA	NA	NA	-0.063311811	unbias	0.46068713	Liver_fmean
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.286516878	unbias	0.497457845	Ovary_mean
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	0.120052827	unbias	0.29869715	Ovary_mean
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	-0.564260494	unbias	0.435739261	Brain_fmean
TRINITY_DN102193_c0_g2_i1	NA	NA	NA	NA	-0.107647176	unbias	0.445715317	Brain_fmean
TRINITY_DN102198_c0_g1_i3	sec22b	Chr04	107751288	107751288	-0.312822541	unbias	0.895915579	Brain_fmean
TRINITY_DN102201_c0_g1_i1	NA	NA	NA	NA	0.050679237	unbias	0.385276075	Brain_mmean
TRINITY_DN102218_c0_g1_i1	zdhhc13	scaffold_299	109734	109734	-0.175670289	unbias	0.418069932	Liver_fmean
TRINITY_DN102252_c0_g2_i1	NA	NA	NA	NA	0.189574486	unbias	0.443087166	G23_mmean
TRINITY_DN102253_c0_g2_i3	NA	NA	NA	NA	-0.615034348	unbias	0.549566213	Brain_fmean
TRINITY_DN102260_c0_g1_i2	ube2g2	Chr09	50283188	50283188	0.033695559	unbias	0.777064594	Brain_mmean
TRINITY_DN102272_c0_g1_i1	hmgb1	Chr02	151219853	151219853	0.023301909	unbias	0.448244822	Ovary_mean
TRINITY_DN102276_c0_g1_i1	NA	NA	NA	NA	-0.52143445	unbias	0.683653075	G43_F_mean
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	0.140905539	unbias	0.148778968	G23_mmean
TRINITY_DN102279_c0_g2_i1	NA	NA	NA	NA	0.176771778	unbias	0.17047988	G23_fmean
TRINITY_DN102296_c0_g1_i2	NA	NA	NA	NA	-0.5929436	unbias	0.677267025	Brain_fmean
TRINITY_DN102300_c0_g1_i1	NA	NA	NA	NA	1.373720777	unbias	0.403244184	G23_fmean
TRINITY_DN102302_c0_g2_i1	tanc2	Chr10	7622183	7622183	0.119105623	unbias	0.317993441	Brain_mmean
TRINITY_DN102314_c0_g1_i1	NA	NA	NA	NA	0.810786728	unbias	0.717116856	Brain_mmean
TRINITY_DN102362_c0_g1_i1	nkx2-2	Chr05	25239851	25239851	-0.122295432	unbias	0.225177242	Ovary_mean
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	-0.133970237	unbias	0.507290717	Ovary_mean
TRINITY_DN102367_c0_g1_i2	NA	NA	NA	NA	-0.095829605	unbias	0.489053518	G43_M_mean
TRINITY_DN102370_c0_g1_i1	NA	NA	NA	NA	-0.269451787	unbias	0.634367459	Ovary_mean
TRINITY_DN102398_c0_g1_i1	NA	NA	NA	NA	0.113947963	unbias	0.457857442	Brain_mmean
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	-0.107619197	unbias	0.174012021	Testis_mean
TRINITY_DN102407_c0_g1_i1	yipf5	Chr03	29468437	29468437	-0.681472395	unbias	0.346573817	Brain_fmean
TRINITY_DN102415_c0_g1_i1	NA	NA	NA	NA	0.061164183	unbias	0.896400527	Brain_mmean
TRINITY_DN102425_c0_g1_i1	pusl1-like	Chr07	69886168	69886168	0.06958068	unbias	0.662027149	Brain_mmean
TRINITY_DN102429_c0_g1_i2	LOC100485265	Chr01	131046486	131046486	0.047515807	unbias	0.314321121	G43_F_mean
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	-0.061909362	unbias	0.360773137	Ovary_mean
TRINITY_DN102449_c0_g1_i1	NA	NA	NA	NA	-0.202098637	unbias	0.431321007	G43_F_mean
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	-0.024275152	unbias	0.185950609	Ovary_mean
TRINITY_DN102459_c0_g1_i1	NA	NA	NA	NA	0.01293375	unbias	0.616896586	Brain_mmean
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	-0.469534854	unbias	0.524397524	Liver_fmean
TRINITY_DN10248_c0_g1_i1	NA	NA	NA	NA	0.067851727	unbias	0.703047648	Brain_mmean
TRINITY_DN102489_c0_g3_i1	NA	NA	NA	NA	-0.447260601	unbias	0.515521103	G43_M_mean
TRINITY_DN102490_c0_g1_i1	NA	NA	NA	NA	-0.597196436	unbias	0.851738085	Brain_fmean
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	0.497016595	unbias	0.203652497	Ovary_mean
TRINITY_DN102496_c0_g1_i1	NA	NA	NA	NA	0.042669696	unbias	0.146281621	G23_mmean
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	-0.159147106	unbias	0.54774587	G23_fmean
TRINITY_DN102529_c0_g1_i1	mthfs	Chr03	115637860	115637860	-0.249499635	unbias	0.417875652	G43_F_mean
TRINITY_DN102531_c0_g1_i1	NA	NA	NA	NA	0.018549687	unbias	0.607882066	Brain_mmean
TRINITY_DN102539_c0_g1_i1	hmx3	Chr07	11821120	11821120	0.105320603	unbias	0.350280171	Brain_mmean
TRINITY_DN102559_c0_g2_i1	NA	NA	NA	NA	0.079946891	unbias	0.490634631	Ovary_mean
TRINITY_DN102573_c0_g1_i1	NA	NA	NA	NA	0.125813332	unbias	0.665690463	Brain_mmean
TRINITY_DN102574_c0_g1_i1	NA	NA	NA	NA	-0.469305767	unbias	0.823448065	Brain_fmean
TRINITY_DN102578_c0_g1_i1	NA	NA	NA	NA	0.300993824	unbias	0.450145714	G23_mmean
TRINITY_DN102584_c0_g1_i1	NA	NA	NA	NA	-0.723930855	unbias	0.375609887	Brain_fmean
TRINITY_DN102595_c0_g1_i2	NA	NA	NA	NA	0.254715214	unbias	0.592060982	G43_M_mean
TRINITY_DN102597_c0_g1_i1	sfxn5	Chr01	10604833	10604833	0.38563492	unbias	0.933956811	Brain_mmean
TRINITY_DN102616_c0_g1_i1	NA	NA	NA	NA	-0.161945926	unbias	0.238162136	Brain_fmean
TRINITY_DN102643_c0_g1_i1	NA	NA	NA	NA	0.152956087	unbias	0.26672218	G43_M_mean
TRINITY_DN102646_c0_g1_i1	LOC100487727	Chr04	14722474	14722474	-0.0717609	unbias	0.597730243	Brain_fmean
TRINITY_DN102667_c0_g1_i1	NA	NA	NA	NA	-0.230200177	unbias	0.17431997	Brain_fmean
TRINITY_DN102702_c0_g1_i1	csrp2bp	Chr05	38703141	38703141	-0.086462591	unbias	0.39105166	Ovary_mean
TRINITY_DN102735_c0_g1_i1	NA	NA	NA	NA	-0.28286662	unbias	0.922949966	Brain_fmean
TRINITY_DN102752_c0_g1_i1	NA	NA	NA	NA	0.095893877	unbias	0.716524137	Brain_mmean
TRINITY_DN102760_c0_g1_i1	NA	NA	NA	NA	0.093543085	unbias	0.543421012	Brain_mmean
TRINITY_DN102859_c0_g1_i1	NA	NA	NA	NA	-0.285178515	unbias	0.932054927	Brain_fmean
TRINITY_DN102861_c0_g2_i1	NA	NA	NA	NA	-0.273486318	unbias	0.492456683	Brain_fmean
TRINITY_DN102865_c0_g1_i2	LOC101734171	Chr07	67692509	67692509	0.360874082	unbias	0.194483358	Brain_mmean
TRINITY_DN102901_c0_g1_i2	ppih	Chr07	78076994	78076994	-0.541572044	unbias	0.533467383	Brain_fmean
TRINITY_DN102903_c0_g1_i1	gpc1	Chr05	123731518	123731518	-0.204095947	unbias	0.262633434	Brain_fmean
TRINITY_DN102912_c0_g1_i1	NA	NA	NA	NA	0.365010967	unbias	0.445675969	G31_mmean
TRINITY_DN102914_c0_g1_i1	prpf8-like	Chr02	40017773	40017773	1.049458425	unbias	0.853989817	Brain_mmean
TRINITY_DN102914_c0_g2_i1	NA	NA	NA	NA	0.818149467	unbias	0.857009391	Brain_mmean
TRINITY_DN102921_c0_g1_i1	st3gal2.2	Chr10	34055145	34055145	0.031577035	unbias	0.911949639	Brain_mmean
TRINITY_DN102923_c0_g1_i1	NA	NA	NA	NA	-0.154446335	unbias	0.200318895	Brain_fmean
TRINITY_DN102938_c0_g1_i1	NA	NA	NA	NA	-0.091815691	unbias	0.237453564	Ovary_mean
TRINITY_DN102965_c0_g1_i1	NA	NA	NA	NA	-0.185576495	unbias	0.79078039	Brain_fmean
TRINITY_DN102983_c0_g2_i1	LOC101732553	Chr07	63537769	63537769	0.323909791	unbias	0.951319075	Brain_mmean
TRINITY_DN102989_c0_g1_i1	NA	NA	NA	NA	-0.054729836	unbias	0.423435521	Brain_fmean
TRINITY_DN102995_c0_g1_i1	LOC100492850-like	Chr07	102949753	102949753	-0.461666454	unbias	0.928506868	Brain_fmean
TRINITY_DN103001_c0_g1_i1	LOC100493955	Chr07	103011511	103011511	-0.151809088	unbias	0.972172789	Brain_fmean
TRINITY_DN103001_c0_g2_i1	zdhhc5	Chr07	58181357	58181357	0.01338336	unbias	0.923797012	Brain_mmean
TRINITY_DN103024_c0_g1_i2	NA	NA	NA	NA	0.030493227	unbias	0.292296804	Brain_mmean
TRINITY_DN103049_c0_g4_i1	NA	NA	NA	NA	-0.396072521	unbias	0.443236246	G46_M_mean
TRINITY_DN103059_c0_g1_i1	NA	NA	NA	NA	0.00446987	unbias	0.083164472	G27_fmean
TRINITY_DN103065_c0_g1_i1	NA	NA	NA	NA	-0.171513835	unbias	0.23086557	G46_M_mean
TRINITY_DN103073_c0_g1_i1	NA	NA	NA	NA	-0.55996427	unbias	0.907423582	Brain_fmean
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.085559822	unbias	0.139536702	Ovary_mean
TRINITY_DN103117_c1_g1_i1	NA	NA	NA	NA	-0.071440934	unbias	0.746751097	Brain_mmean
TRINITY_DN103120_c0_g1_i2	irf2	Chr01	35632416	35632416	0.460737641	unbias	0.780608222	Brain_mmean
TRINITY_DN103145_c0_g1_i1	NA	NA	NA	NA	-0.404448068	unbias	0.666608103	Brain_fmean
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	0.160037553	unbias	0.375544167	Testis_mean
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	-0.013531311	unbias	0.568647296	Brain_mmean
TRINITY_DN103159_c1_g1_i1	itgb3	Chr10	8961274	8961274	-0.089881809	unbias	0.374048539	Brain_mmean
