gid	gname	chr	start	end	logFC.XYbrain.XXrain	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN101821_c0_g1_i1	LOC100486705	Chr06	4999391	4999391	0.018594706	unbias	0.703153505	Brain_mmean	0.1315	0.1055	0.8024
TRINITY_DN101903_c0_g2_i2	arhgef12	Chr07	87356877	87356877	0.186764247	unbias	0.469207272	Ovary_mean	0.1532	0.1723	1.1247
TRINITY_DN101930_c0_g2_i1	LOC100485959-like.1	Chr07	104577349	104577349	-0.004625195	unbias	0.961401256	Brain_mmean	0.0239	0.0328	1.3695
TRINITY_DN101930_c0_g4_i3	NA	NA	NA	NA	-0.616425525	unbias	0.946025075	Brain_fmean	0.061	0.0665	1.0894
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	-0.252395773	unbias	0.428111172	Ovary_mean	0.1123	0.1753	1.5602
TRINITY_DN102026_c0_g1_i2	NA	NA	NA	NA	-0.149009481	unbias	0.577737791	Brain_fmean	0.0728	0.1038	1.4255
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	0.130006048	unbias	0.434214696	Ovary_mean	0.0308	0.0476	1.5475
TRINITY_DN102078_c0_g1_i1	NA	NA	NA	NA	-0.081577353	unbias	0.261237667	Ovary_mean	0.0307	0.0444	1.4466
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.286516878	unbias	0.497457845	Ovary_mean	0.1384	0.2751	1.9882
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	0.120052827	unbias	0.29869715	Ovary_mean	0.0123	0.0161	1.3059
TRINITY_DN102198_c0_g1_i3	sec22b	Chr04	107751288	107751288	-0.312822541	unbias	0.895915579	Brain_fmean	0.118	0.1657	1.4038
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	0.140905539	unbias	0.148778968	G23_mmean	0.0769	0.1219	1.5862
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	-0.107619197	unbias	0.174012021	Testis_mean	0.0704	0.1202	1.7079
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	-0.024275152	unbias	0.185950609	Ovary_mean	0.128	0.2116	1.6526
TRINITY_DN102459_c0_g1_i1	NA	NA	NA	NA	0.01293375	unbias	0.616896586	Brain_mmean	0.0406	0.072	1.7709
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	-0.469534854	unbias	0.524397524	Liver_fmean	0.1875	0.3205	1.7093
TRINITY_DN10248_c0_g1_i1	NA	NA	NA	NA	0.067851727	unbias	0.703047648	Brain_mmean	0.1519	0.2049	1.349
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	0.497016595	unbias	0.203652497	Ovary_mean	0.038	0.0702	1.8454
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	-0.159147106	unbias	0.54774587	G23_fmean	0.0467	0.0534	1.1438
TRINITY_DN102539_c0_g1_i1	hmx3	Chr07	11821120	11821120	0.105320603	unbias	0.350280171	Brain_mmean	0.1183	0.1998	1.6879
TRINITY_DN102595_c0_g1_i2	NA	NA	NA	NA	0.254715214	unbias	0.592060982	G43_M_mean	0.0532	0.0718	1.3508
TRINITY_DN102921_c0_g1_i1	st3gal2.2	Chr10	34055145	34055145	0.031577035	unbias	0.911949639	Brain_mmean	0.0435	0.0728	1.6749
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.085559822	unbias	0.139536702	Ovary_mean	0.1794	0.2865	1.5972
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	0.160037553	unbias	0.375544167	Testis_mean	0.0816	0.1245	1.5262
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	-0.013531311	unbias	0.568647296	Brain_mmean	0.0471	0.0801	1.6985
TRINITY_DN103209_c0_g3_i2	rab25	Chr08	111876972	111876972	-0.13244001	unbias	0.139736082	Ovary_mean	0.1141	0.2017	1.7681
TRINITY_DN103509_c0_g1_i1	NA	NA	NA	NA	-0.480266556	unbias	0.600261969	G23_mmean	0.1007	0.1285	1.2759
TRINITY_DN103526_c0_g1_i1	rnf38	Chr01	97731465	97731465	-0.010492424	unbias	0.619290643	Ovary_mean	0.0511	0.0908	1.7749
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	0.166712557	unbias	0.312515837	Ovary_mean	0.0579	0.1024	1.7679
TRINITY_DN103584_c0_g2_i1	ctdspl2	Chr03	115925040	115925040	1.584422594	unbias	0.719761967	Brain_mmean	0.0662	0.0951	1.4364
TRINITY_DN103614_c0_g2_i2	Xetrov90008423m	Chr03	76840268	76840268	0.800313359	unbias	0.830591348	Brain_mmean	0.1832	0.178	0.972
TRINITY_DN103621_c0_g1_i2	NA	NA	NA	NA	0.006118786	unbias	0.700727109	Ovary_mean	0.1704	0.2308	1.3544
TRINITY_DN103622_c0_g3_i3	tmem231	Chr04	66691879	66691879	-0.015376883	unbias	0.5106073	Ovary_mean	0.1036	0.1679	1.6208
TRINITY_DN103653_c0_g1_i1	NA	NA	NA	NA	-0.121045797	unbias	0.767498165	Brain_fmean	0.0311	0.0462	1.4862
TRINITY_DN103657_c0_g2_i2	NA	NA	NA	NA	-0.187532187	unbias	0.87217626	Brain_fmean	0.0024	0.0042	1.7295
TRINITY_DN103698_c0_g1_i1	NA	NA	NA	NA	-0.4686178	unbias	0.673602195	Brain_fmean	0.009	0.0124	1.3701
TRINITY_DN103720_c0_g1_i2	NA	NA	NA	NA	0.54480701	unbias	0.498870473	Brain_mmean	0.1192	0.1809	1.5179
TRINITY_DN103783_c0_g1_i1	plekha2	Chr03	121580427	121580427	0.187634278	unbias	0.490403251	Ovary_mean	0.1565	0.2719	1.738
TRINITY_DN103838_c0_g1_i1	rap2b	Chr05	105840621	105840621	0.444160707	unbias	0.793468978	Ovary_mean	0.0743	0.1212	1.6324
TRINITY_DN103891_c0_g1_i1	gpm6a	Chr01	38740647	38740647	0.774243963	unbias	0.524909783	Brain_mmean	0.077	0.1254	1.6285
TRINITY_DN103989_c0_g1_i1	NA	NA	NA	NA	-0.071321164	unbias	0.258720657	Ovary_mean	0.0885	0.1434	1.6201
TRINITY_DN104173_c0_g1_i1	NA	NA	NA	NA	0.460993497	unbias	0.265391286	Testis_mean	0.1217	0.2082	1.7112
TRINITY_DN104207_c0_g1_i1	timeless	Chr02	135230911	135230911	-0.022687936	unbias	0.722574477	Ovary_mean	0.1071	0.1454	1.358
TRINITY_DN104287_c1_g1_i1	dscam	Chr02	6877719	6877719	-0.049297995	unbias	0.518937609	Brain_fmean	0.0892	0.173	1.9391
TRINITY_DN104339_c0_g1_i2	abhd8	Chr01	101190060	101190060	-0.066946312	unbias	0.443111179	Ovary_mean	0.0099	0.0157	1.5775
TRINITY_DN104365_c0_g3_i1	NA	NA	NA	NA	0.051770464	unbias	0.471346293	Ovary_mean	0.0999	0.1188	1.1895
TRINITY_DN104428_c0_g1_i2	NA	NA	NA	NA	0.125755877	unbias	0.288033524	G23_mmean	0.0885	0.1168	1.3195
TRINITY_DN104434_c0_g2_i1	NA	NA	NA	NA	-0.419982412	unbias	0.812985216	Ovary_mean	0.174	0.3138	1.8029
TRINITY_DN104464_c0_g1_i1	ramp3	Chr06	67957827	67957827	-0.050823038	unbias	0.297143318	Brain_mmean	0.0939	0.1014	1.0793
TRINITY_DN104508_c0_g2_i3	NA	NA	NA	NA	-0.119324377	unbias	0.302173955	Ovary_mean	0.1025	0.1619	1.579
TRINITY_DN104654_c0_g1_i1	NA	NA	NA	NA	-0.455083791	unbias	0.667587307	Ovary_mean	0.0931	0.1819	1.954
TRINITY_DN104658_c0_g2_i1	NA	NA	NA	NA	0.197187253	unbias	0.760347627	Ovary_mean	0.1356	0.241	1.7772
TRINITY_DN104667_c0_g1_i3	NA	NA	NA	NA	0.194437614	unbias	0.464926481	Brain_mmean	0.0959	0.1441	1.5034
TRINITY_DN104694_c0_g1_i1	NA	NA	NA	NA	0.115719316	unbias	0.402121776	Brain_mmean	0.0241	0.0443	1.8389
TRINITY_DN104721_c0_g1_i1	LOC100489738	Chr08	3381013	3381013	0.119049661	unbias	0.705658308	Brain_mmean	0.0491	0.078	1.5902
TRINITY_DN104732_c0_g1_i1	NA	NA	NA	NA	-0.293160032	unbias	0.613586486	G43_M_mean	0.2624	0.4046	1.5421
TRINITY_DN104740_c0_g1_i2	NA	NA	NA	NA	-0.204735726	unbias	0.452856277	Ovary_mean	0.0484	0.0932	1.925
TRINITY_DN104751_c0_g1_i2	NA	NA	NA	NA	-0.179644067	unbias	0.401085647	Ovary_mean	0.0416	0.06	1.4428
TRINITY_DN104801_c0_g1_i1	NA	NA	NA	NA	-0.111732337	unbias	0.52790364	Brain_fmean	0.0525	0.0603	1.1476
TRINITY_DN104812_c0_g1_i2	NA	NA	NA	NA	-0.184670163	unbias	0.410673238	Ovary_mean	0.0791	0.1036	1.3096
TRINITY_DN104972_c0_g1_i2	oaf-like	Chr07	87281103	87281103	-0.049913298	unbias	0.088868842	G27_fmean	0.0377	0.0743	1.9699
TRINITY_DN105030_c0_g1_i1	NA	NA	NA	NA	-0.622221658	unbias	0.906354154	Brain_fmean	0.0674	0.0767	1.1379
TRINITY_DN105060_c0_g2_i3	NA	NA	NA	NA	-0.107495584	unbias	0.576363007	Brain_fmean	0.0429	0.0716	1.6683
TRINITY_DN105062_c0_g1_i1	NA	NA	NA	NA	-0.00623569	unbias	0.948064724	Brain_mmean	0.1007	0.1697	1.6853
TRINITY_DN105074_c0_g4_i1	NA	NA	NA	NA	0.146541879	unbias	0.855648058	Brain_mmean	0.0429	0.0726	1.6918
TRINITY_DN105151_c0_g1_i1	NA	NA	NA	NA	0.298813165	unbias	0.494258594	G23_mmean	0.204	0.4034	1.978
TRINITY_DN105273_c0_g1_i2	NA	NA	NA	NA	-0.400298378	unbias	0.59619219	G27_mmean	0.1152	0.2008	1.743
TRINITY_DN105372_c0_g2_i1	NA	NA	NA	NA	0.019708487	unbias	0.266458137	G46_M_mean	0.0978	0.1708	1.7466
TRINITY_DN105387_c0_g2_i3	NA	NA	NA	NA	0.600036446	unbias	0.527206497	Brain_mmean	0.0502	0.0665	1.3255
TRINITY_DN105400_c0_g1_i3	NA	NA	NA	NA	-0.022466484	unbias	0.24982071	Ovary_mean	0.1525	0.2011	1.3186
TRINITY_DN105438_c0_g1_i1	NA	NA	NA	NA	-0.02074602	unbias	0.804005912	Brain_mmean	0.0759	0.0932	1.2285
TRINITY_DN105441_c0_g2_i3	NA	NA	NA	NA	-0.074705646	unbias	0.287618799	Ovary_mean	0.0128	0.0124	0.9683
TRINITY_DN105560_c0_g1_i2	NA	NA	NA	NA	0.211258937	unbias	0.410375768	Ovary_mean	0.1374	0.1843	1.3417
TRINITY_DN105578_c0_g1_i1	NA	NA	NA	NA	-0.187745761	unbias	0.793924477	Ovary_mean	0.1479	0.2113	1.4289
TRINITY_DN105592_c1_g1_i2	NA	NA	NA	NA	-0.819466939	unbias	0.224430782	G27_fmean	0.1597	0.2378	1.4894
TRINITY_DN105601_c0_g1_i1	LOC100494696	Chr05	126897068	126897068	-0.047910062	unbias	0.701864526	Ovary_mean	0.0889	0.1503	1.6911
TRINITY_DN105705_c0_g1_i1	NA	NA	NA	NA	-0.630328378	unbias	0.511401922	G46_F_mean	0.1537	0.2185	1.4217
TRINITY_DN105721_c0_g1_i1	NA	NA	NA	NA	-0.266525862	unbias	0.644234799	G46_M_mean	0.1036	0.1411	1.363
TRINITY_DN105726_c0_g1_i1	NA	NA	NA	NA	0.03572286	unbias	0.538085116	Ovary_mean	0.0788	0.1018	1.2921
TRINITY_DN105744_c0_g1_i1	NA	NA	NA	NA	0.289903227	unbias	0.604993603	Brain_mmean	0.0641	0.1136	1.7726
TRINITY_DN105885_c0_g1_i1	lsm4	Chr01	84349586	84349586	-0.2712349	unbias	0.524479132	G46_F_mean	0.0701	0.1062	1.5145
TRINITY_DN105902_c0_g1_i1	ppil2	Chr01	145672928	145672928	-0.212518147	unbias	0.825471316	Brain_fmean	0.0651	0.0739	1.1351
TRINITY_DN105940_c0_g1_i2	NA	NA	NA	NA	0.087011222	unbias	0.562203372	Ovary_mean	0.0124	0.0153	1.2403
TRINITY_DN106065_c0_g1_i2	tpgs1	Chr01	86538887	86538887	0.067224352	unbias	0.439832165	Ovary_mean	0.0442	0.0531	1.2023
TRINITY_DN106090_c0_g2_i1	ndufv2	Chr06	89344871	89344871	-0.090381152	unbias	0.213337935	Ovary_mean	0.1269	0.1557	1.227
TRINITY_DN106100_c0_g2_i1	NA	NA	NA	NA	-0.216346977	unbias	0.805194125	Brain_fmean	0.0313	0.0286	0.9137
TRINITY_DN106101_c0_g1_i1	NA	NA	NA	NA	0.020735989	unbias	0.114320571	Ovary_mean	0.031	0.0387	1.2467
TRINITY_DN106130_c0_g1_i1	ripk4	Chr02	5721979	5721979	0.008586856	unbias	0.704481421	Brain_fmean	0.0757	0.144	1.9021
TRINITY_DN106189_c0_g2_i1	NA	NA	NA	NA	0.111668008	unbias	0.583518706	Liver_fmean	0.1266	0.2486	1.964
TRINITY_DN106296_c0_g1_i1	NA	NA	NA	NA	-0.247262763	unbias	0.552262031	Brain_fmean	0.0329	0.0368	1.1181
TRINITY_DN106339_c0_g2_i1	inpp5j	Chr01	131649401	131649401	0.245364027	unbias	0.955768448	Brain_mmean	0.0741	0.1206	1.6271
TRINITY_DN106354_c0_g2_i1	NA	NA	NA	NA	-0.105198046	unbias	0.888873125	Brain_fmean	0.044	0.0704	1.599
TRINITY_DN106366_c0_g5_i1	mrpl18	Chr03	85744578	85744578	0.644299427	unbias	0.527915597	Ovary_mean	0.0889	0.1226	1.3783
TRINITY_DN106392_c0_g2_i2	NA	NA	NA	NA	0.105122776	unbias	0.310371448	Ovary_mean	0.0667	0.1122	1.683
TRINITY_DN106464_c0_g2_i1	NA	NA	NA	NA	-0.140011705	unbias	0.775014805	Brain_fmean	0.0366	0.0529	1.4454
TRINITY_DN106465_c0_g1_i1	NA	NA	NA	NA	0.071957934	unbias	0.165596721	Ovary_mean	0.0281	0.0393	1.3971
TRINITY_DN106476_c0_g1_i1	wrb	Chr02	7672769	7672769	0.50132102	unbias	0.369336964	Brain_mmean	0.0371	0.0623	1.678
TRINITY_DN106492_c0_g1_i4	cacna2d1	Chr03	69916863	69916863	0.062323747	unbias	0.718766725	Brain_mmean	0.0316	0.0313	0.9892
TRINITY_DN106515_c0_g1_i1	tdp2	Chr06	29582585	29582585	0.919426571	unbias	0.636689621	G23_mmean	0.1088	0.1004	0.9227
TRINITY_DN106620_c0_g1_i1	Xetrov90025314m	Chr10	29936557	29936557	0.199864315	unbias	0.536980079	Ovary_mean	0.0532	0.0741	1.3921
TRINITY_DN106706_c0_g1_i4	NA	NA	NA	NA	-0.02581886	unbias	0.25862767	Testis_mean	0.1394	0.1304	0.9357
TRINITY_DN106733_c0_g1_i1	NA	NA	NA	NA	-0.036451065	unbias	0.754311614	Brain_mmean	0.1025	0.1451	1.4155
TRINITY_DN106770_c0_g1_i1	NA	NA	NA	NA	0.270928334	unbias	0.756995594	Brain_mmean	0.1547	0.2466	1.5939
TRINITY_DN106899_c0_g2_i1	psmd8	Chr08	58987512	58987512	0.272516071	unbias	0.672974341	Ovary_mean	0.2917	0.4423	1.5162
TRINITY_DN106942_c0_g1_i1	NA	NA	NA	NA	0.068449385	unbias	0.609934744	Ovary_mean	0.0487	0.0873	1.7914
TRINITY_DN106959_c0_g2_i1	NA	NA	NA	NA	-0.005719844	unbias	0.195071609	Ovary_mean	0.0436	0.0812	1.8649
TRINITY_DN107055_c0_g1_i1	NA	NA	NA	NA	-0.00040129	unbias	0.739769821	Brain_mmean	0.0649	0.0856	1.3191
TRINITY_DN107124_c0_g2_i1	NA	NA	NA	NA	0.191194447	unbias	0.936857145	Brain_mmean	0.0575	0.1027	1.7878
TRINITY_DN107137_c0_g1_i1	NA	NA	NA	NA	-0.282410944	unbias	0.936266521	Brain_fmean	0.0668	0.0888	1.3286
TRINITY_DN107178_c0_g3_i1	hnmt	Chr09	76295402	76295402	-0.105605393	unbias	0.132910206	G23_fmean	0.0406	0.0775	1.906
TRINITY_DN107234_c0_g1_i1	NA	NA	NA	NA	-0.056269973	unbias	0.462035998	Ovary_mean	0.0603	0.1094	1.8135
TRINITY_DN107308_c0_g1_i1	NA	NA	NA	NA	-0.469699314	unbias	0.509824948	Ovary_mean	0.0086	0.0117	1.3675
TRINITY_DN107396_c0_g1_i2	NA	NA	NA	NA	0.409412418	unbias	0.420752774	Brain_mmean	0.0701	0.0936	1.3351
TRINITY_DN107447_c0_g1_i1	arrdc4	Chr03	104698395	104698395	-0.435651864	unbias	0.927227479	Brain_fmean	0.0482	0.0455	0.9438
TRINITY_DN107472_c0_g1_i1	NA	NA	NA	NA	-0.010088154	unbias	0.478024315	Brain_fmean	0.0772	0.0918	1.1896
TRINITY_DN107473_c0_g2_i2	NA	NA	NA	NA	-0.016771213	unbias	0.319180507	Ovary_mean	0.0783	0.1248	1.595
TRINITY_DN107530_c1_g1_i1	NA	NA	NA	NA	0.221284537	unbias	0.326146599	Ovary_mean	0.0974	0.1502	1.5415
TRINITY_DN107586_c0_g1_i2	LOC101735172	scaffold_783	23105	23105	-0.081370209	unbias	0.276423953	Brain_fmean	0.0352	0.0451	1.2822
TRINITY_DN107651_c0_g1_i1	spon2	Chr01	14487640	14487640	-0.273059688	unbias	0.883181969	Brain_fmean	0.0183	0.0161	0.8777
TRINITY_DN107696_c0_g1_i4	NA	NA	NA	NA	0.192182835	unbias	0.543133436	Ovary_mean	0.0631	0.067	1.0609
TRINITY_DN107740_c0_g1_i1	NA	NA	NA	NA	-0.16332927	unbias	0.651408248	Ovary_mean	0.0127	0.0151	1.1955
TRINITY_DN107761_c0_g1_i1	NA	NA	NA	NA	0.302950264	unbias	0.540941576	Brain_mmean	0.0647	0.1191	1.8409
TRINITY_DN107774_c0_g1_i2	cant1	Chr10	11897375	11897375	-0.021903341	unbias	0.233174819	Ovary_mean	0.0257	0.0288	1.1202
TRINITY_DN107777_c0_g6_i1	NA	NA	NA	NA	-0.383854366	unbias	0.393336697	Ovary_mean	0.039	0.0505	1.293
TRINITY_DN107787_c0_g1_i1	c6orf211	Chr03	8981568	8981568	-0.118018	unbias	0.358659886	Ovary_mean	0.0922	0.1632	1.7702
TRINITY_DN107852_c0_g1_i2	NA	NA	NA	NA	-0.052600696	unbias	0.375037377	Ovary_mean	0.0163	0.0093	0.571
TRINITY_DN107915_c0_g1_i1	NA	NA	NA	NA	0.040947322	unbias	0.447814593	Brain_mmean	0.0683	0.135	1.9753
TRINITY_DN107928_c0_g1_i1	endog	Chr08	26349426	26349426	-0.281903829	unbias	0.624574333	Brain_fmean	0.0955	0.1501	1.5707
TRINITY_DN107990_c0_g1_i1	NA	NA	NA	NA	-0.071455156	unbias	0.245202771	Ovary_mean	0.0848	0.1245	1.4687
TRINITY_DN108061_c0_g1_i1	NA	NA	NA	NA	-0.131412326	unbias	0.159037928	Ovary_mean	0.0392	0.065	1.6562
TRINITY_DN10812_c0_g1_i1	NA	NA	NA	NA	1.014654619	unbias	0.340619516	G27_mmean	0.0493	0.0692	1.4016
TRINITY_DN108126_c0_g2_i2	NA	NA	NA	NA	-0.172231148	unbias	0.281067127	Brain_fmean	0.1477	0.2825	1.912
TRINITY_DN108146_c0_g1_i2	NA	NA	NA	NA	-0.016687803	unbias	0.212059109	Brain_fmean	0.0442	0.0663	1.4996
TRINITY_DN108196_c0_g1_i1	NA	NA	NA	NA	-0.168546207	unbias	0.325066504	Ovary_mean	0.0643	0.0824	1.2798
TRINITY_DN108207_c0_g2_i1	snx29	Chr09	28574551	28574551	-0.249443222	unbias	0.432472048	G46_M_mean	0.0476	0.0762	1.6008
TRINITY_DN108276_c0_g2_i1	ubxn1	Chr04	41738999	41738999	0.087826813	unbias	0.700956465	Testis_mean	0.0657	0.0724	1.1032
TRINITY_DN108305_c0_g1_i1	NA	NA	NA	NA	-0.044615476	unbias	0.85969866	Ovary_mean	0.0487	0.0591	1.2138
TRINITY_DN108314_c0_g1_i2	ntm-like	Chr07	48334596	48334596	-0.012659407	unbias	0.419949503	Brain_mmean	0.071	0.0918	1.2929
TRINITY_DN108316_c0_g1_i1	napepld-like	Chr03	68339005	68339005	0.079510248	unbias	0.445466245	Ovary_mean	0.0167	0.0211	1.2626
TRINITY_DN108376_c0_g1_i4	NA	NA	NA	NA	0.448155294	unbias	0.541437415	G46_M_mean	0.0733	0.059	0.8048
TRINITY_DN108423_c0_g1_i1	NA	NA	NA	NA	0.002587691	unbias	0.942121805	Brain_mmean	0.3319	0.1119	0.3371
TRINITY_DN108427_c0_g3_i5	NA	NA	NA	NA	0.202574689	unbias	0.43547334	Ovary_mean	0.0748	0.1472	1.9671
TRINITY_DN108429_c0_g2_i1	rnf186	scaffold_217	2593	2593	-0.152208885	unbias	0.453608037	Ovary_mean	0.0429	0.0528	1.2308
TRINITY_DN108436_c0_g1_i2	NA	NA	NA	NA	0.023626156	unbias	0.520227666	Ovary_mean	0.1115	0.0839	0.7527
TRINITY_DN108465_c0_g1_i1	cpz	scaffold_52	430785	430785	-0.215700187	unbias	0.876661846	Brain_fmean	0.0179	0.0154	0.8624
TRINITY_DN108539_c0_g1_i2	NA	NA	NA	NA	-0.154052597	unbias	0.178723397	Ovary_mean	0.0422	0.0714	1.6932
TRINITY_DN108541_c0_g1_i1	LOC100496641	Chr03	89919588	89919588	-0.136982669	unbias	0.446596101	Ovary_mean	0.0477	0.064	1.3418
TRINITY_DN108551_c0_g1_i2	NA	NA	NA	NA	0.026560351	unbias	0.682001497	Brain_mmean	0.0144	0.021	1.4572
TRINITY_DN108558_c2_g1_i2	NA	NA	NA	NA	-0.00613055	unbias	0.594215724	Ovary_mean	0.0506	0.0876	1.7305
TRINITY_DN108580_c0_g1_i1	NA	NA	NA	NA	-0.136524441	unbias	0.384390432	Brain_fmean	0.0568	0.1092	1.9239
TRINITY_DN108586_c0_g1_i1	NA	NA	NA	NA	-0.486597101	unbias	0.728527317	Brain_fmean	0.0968	0.1057	1.0918
TRINITY_DN108588_c0_g1_i1	Xetrov90015993m	Chr06	39274572	39274572	1.027246168	unbias	0.398238291	Brain_mmean	0.1556	0.2039	1.3108
TRINITY_DN108683_c0_g3_i1	ciao1	Chr03	109207090	109207090	0.070926663	unbias	0.126396601	G23_mmean	0.053	0.0368	0.6955
TRINITY_DN108688_c0_g1_i1	ccdc18-like	Chr04	94001941	94001941	-0.138307991	unbias	0.587323385	Brain_fmean	0.0716	0.0933	1.3032
TRINITY_DN108726_c0_g1_i1	NA	NA	NA	NA	0.056988039	unbias	0.135177663	G23_mmean	0.0854	0.1011	1.1838
TRINITY_DN108746_c0_g1_i1	NA	NA	NA	NA	0.076850671	unbias	0.11727182	Brain_mmean	0.0337	0.0452	1.3443
TRINITY_DN108769_c0_g1_i3	NA	NA	NA	NA	-0.160935943	unbias	0.394881415	Brain_fmean	0.0057	0.0063	1.0963
TRINITY_DN108791_c0_g2_i1	NA	NA	NA	NA	-0.020324169	unbias	0.574594446	Brain_fmean	0.0333	0.0324	0.9722
TRINITY_DN108927_c0_g4_i1	NA	NA	NA	NA	-0.141573577	unbias	0.322498714	Ovary_mean	0.1596	0.2324	1.456
TRINITY_DN108930_c0_g1_i3	NA	NA	NA	NA	0.156714676	unbias	0.452281839	G27_fmean	0.2597	0.433	1.6673
TRINITY_DN108932_c0_g1_i1	slc12a5	Chr10	16189364	16189364	-0.038028596	unbias	0.386398318	Ovary_mean	0.1002	0.0906	0.9041
TRINITY_DN108949_c2_g1_i2	NA	NA	NA	NA	-0.184455391	unbias	0.916948302	Brain_fmean	0.0157	0.0268	1.7025
TRINITY_DN108997_c0_g1_i1	NA	NA	NA	NA	0.277827637	unbias	0.165058426	G27_mmean	0.0581	0.0995	1.711
TRINITY_DN109101_c0_g2_i1	prps1	Chr08	16910402	16910402	0.156023741	unbias	0.455714557	Ovary_mean	0.1856	0.1667	0.8984
TRINITY_DN109124_c0_g2_i2	NA	NA	NA	NA	0.00986424	unbias	0.234747656	Brain_mmean	0.1062	0.2105	1.9825
TRINITY_DN109137_c0_g1_i1	NA	NA	NA	NA	-0.247696068	unbias	0.506166038	G43_M_mean	0.0366	0.0512	1.3995
TRINITY_DN109149_c0_g2_i1	NA	NA	NA	NA	-0.149187221	unbias	0.769482273	Brain_fmean	0.0158	0.0138	0.8728
TRINITY_DN109157_c0_g1_i1	NA	NA	NA	NA	-0.024961729	unbias	0.258600445	Ovary_mean	0.0156	0.0301	1.9237
TRINITY_DN109160_c0_g1_i1	tfcp2	Chr02	138973022	138973022	-0.007376386	unbias	0.173562251	Liver_mmean	0.1321	0.117	0.8858
TRINITY_DN109210_c0_g1_i1	NA	NA	NA	NA	0.090082493	unbias	0.776121111	Brain_mmean	0.0457	0.0624	1.3637
TRINITY_DN109252_c0_g1_i2	NA	NA	NA	NA	0.259709894	unbias	0.597359884	Ovary_mean	0.1287	0.1821	1.4156
TRINITY_DN109275_c0_g1_i1	NA	NA	NA	NA	0.092206256	unbias	0.514076437	Ovary_mean	0.0644	0.1112	1.7268
TRINITY_DN109277_c0_g2_i3	NA	NA	NA	NA	-0.304281386	unbias	0.306248417	G23_mmean	0.1038	0.1589	1.5305
