gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain	A10FB	A10MB	A12FB	A15FB	A15MB	A16FB	A16MB	A17FB	A17MB	A8MB	average	ward.D
TRINITY_DN116138_c0_g2_i2	Xetrov90010951m	Chr04	36003417	36003417	3.81822073143282	4.00124883235638	0.000371300562370452	0.0440413098866225	2.39142517805754	0.870484150225036	-0.277889818817065	0.484110447405483	6.19035336202447	0.223517910212317	-1.35911364649686	-0.990703463190976	-0.551939944195782	5.71543786156405	1	1
TRINITY_DN117036_c0_g1_i1	tmem98	Chr10	10632374	10632374	3.7156713811848	2.22120942039866	0.000129282919146231	0.0207608478468978	1.76129565895964	2.53089503186778	2.58908447976441	2.40132042361831	5.36137882918027	1.81473457837628	1.92476426871826	2.45493052532403	2.66156002416009	5.61152205004098	1	1
TRINITY_DN117446_c0_g1_i2	ddx4	Chr01	178458618	178458618	2.39417341131428	1.97267930839847	7.34560470220177e-06	0.00283975636598452	-0.0559013145901376	3.07267480266495	0.757186860597879	1.70878993644502	2.69881094329726	1.48677535428872	2.42176350099787	1.34832277021742	2.32896882254067	3.97883555793309	1	1
TRINITY_DN117550_c0_g1_i1	angptl7	Chr07	39873142	39873142	5.45345302583754	1.02901041691634	0.000101785368640176	0.0180073843706128	5.1680886793064	5.67108623756008	4.75118963249132	4.77804328070111	5.90497518738283	5.15816833095356	4.95662166649836	4.19997416760306	6.63724990140332	5.7046553541342	3	1
TRINITY_DN117646_c0_g2_i1	gmnc-like	Chr05	99423059	99423059	2.84730307055519	1.81437403238286	8.04716756361162e-05	0.0161531413517265	1.25715963211475	2.62629978032016	2.19372195567476	1.26647040670008	3.44455498803928	1.7722061653039	1.81263685256134	1.88569381777696	3.13550834383177	4.68248152540112	1	1
TRINITY_DN118329_c0_g1_i1	auh	Chr01	126397660	126397660	6.94481736249669	-0.810333530132541	1.85251895456264e-07	0.000193365928477248	7.55944989029777	6.87442689684703	7.30676085961779	6.97208823734594	6.27178156299159	7.38830173335859	6.46368997327668	7.17139244851485	6.40563699207257	6.32771140476039	2	2
TRINITY_DN119403_c0_g1_i1	dact1	Chr08	83069930	83069930	7.6382339986819	0.516357612650766	2.23894656929763e-05	0.00625857080383671	7.4220267007499	7.9081329962988	7.3785439811774	7.41304229341908	7.84061329565854	7.41013568621584	7.99307229534758	7.14430342120361	7.88375939407627	7.7272933900891	3	1
TRINITY_DN120105_c0_g1_i1	atg10-like	Chr01	168180809	168180809	5.21118423392707	-0.692369809679548	6.65262546300215e-05	0.0136157067809444	5.58350516085089	4.93258356793245	5.27642035694072	5.61092332597528	4.65248462679851	5.69068183418565	4.8110136046586	5.36576572288282	4.97122639299863	4.7539518364501	2	2
TRINITY_DN120649_c0_g2_i1	lgals9c	Chr02	101393331	101393331	3.70256548242262	-0.974405496603128	0.000331399678982115	0.0402226726652944	3.81782036387905	3.30188415119772	4.21454424421066	4.52213652832751	3.03364925120304	3.82229343981576	3.7187227898945	4.02997557827312	2.59399380687856	2.83990839748142	2	2
TRINITY_DN120657_c0_g1_i5	lpar2	Chr03	124503911	124503911	4.23491699584135	0.849692132399712	0.000291424339677226	0.038504901994315	4.08393102699929	4.55011334331941	3.10657491543862	4.17681306837768	4.55648737887966	3.75836468305761	4.72844247205314	3.36944122786075	4.7011346887956	4.40900598062689	3	1
TRINITY_DN120835_c1_g3_i1	h2afy	Chr03	16514310	16514310	2.60318931918459	-2.33780642852675	4.49536828935652e-06	0.00209880583785751	3.50947348701629	1.71236925195796	4.07335809577444	2.23494154391846	0.83979210071272	0.989210098914085	1.06576866820579	3.97246316027659	0.989000836597385	0.858235920038088	2	2
TRINITY_DN120963_c0_g1_i2	LOC100494554	Chr02	26934936	26934936	2.85026444772812	3.61345565433402	1.8503143857844e-06	0.00120709884742609	-0.0559013145901376	1.15275377482549	0.330551636190593	0.484110447405483	4.28131561670166	0.747196238350093	1.24926050281805	0.0200065965818246	0.761557040393869	5.27012656764545	1	1
TRINITY_DN120967_c0_g2_i1	sulf1	Chr06	105111004	105111004	5.97221580351352	1.05483817464998	6.43393459268668e-05	0.0134314818556927	5.58779589253632	5.87908654434611	5.17062742252869	5.37124498628487	6.88326638306068	5.07750847411941	5.42547276722866	5.49392204070787	6.03722266636399	7.09994032014446	1	1
TRINITY_DN120979_c0_g1_i3	enpp2	Chr06	122905717	122905717	8.91296552400294	1.49719093922967	2.99323287076926e-06	0.00173574248361608	7.04209736333994	8.42896946414953	8.10031484907482	8.10185590363499	9.87907873544691	8.13371674844528	9.05261858506255	8.22597380615308	8.94066193870239	10.2871031764479	1	1
TRINITY_DN121102_c2_g1_i1	LOC100489129	Chr06	82005940	82005940	1.62865231465141	-2.65422110335205	0.000428799426825768	0.0488567247703781	-2.01236509818939	-0.637179088583538	2.92670637238408	3.10292306714681	0.83979210071272	2.718887957039	-0.911106777663351	1.55051078205792	0.632802413803997	-0.975135434983124	2	2
TRINITY_DN121505_c1_g3_i1	elovl7	Chr01	176647919	176647919	3.32863728269238	1.51564420009431	8.25596258051764e-05	0.0161927476390476	3.25270553657247	4.41413542433109	1.64732229062673	2.04684299507541	3.5143530970042	2.718887957039	3.4455295742122	1.6711004757896	4.48503360475951	2.9895428467377	3	1
TRINITY_DN122025_c0_g1_i3	ccnf	Chr09	16615834	16615834	4.49569950796668	1.24434622197455	4.61429916254929e-06	0.00209880583785751	4.08393102699929	4.76800089253452	3.48665493258461	4.25498286396303	5.44546121288827	3.00257877784435	4.99566045399974	3.6147172928076	5.1872209476706	4.20989479115461	3	1
TRINITY_DN122261_c0_g1_i1	kl	Chr02	150083364	150083364	2.74587869782036	3.06602665273934	3.3933940010262e-05	0.00863908453236865	0.74512549625792	0.762625649846443	0.984521336071121	0.753978713651414	4.63020077194202	-0.606854526316625	1.24926050281805	0.931868140316757	0.879756426442401	4.72578714287386	1	1
TRINITY_DN122443_c0_g1_i3	krt8.2	scaffold_305	197019	197019	1.56383101492417	3.46949957070369	0.000436461576882008	0.0489869455859613	-0.0559013145901376	0.519213645273353	0.154792621278646	-0.557586791938831	0.709819641484474	-1.14481840933888	0.468331573454573	-2.01236509818939	-1.34882479739548	4.41783519718866	1	1
TRINITY_DN122660_c2_g2_i4	slc16a6-like	scaffold_443	29690	29690	6.22295838330242	0.934067225187138	5.18536124656579e-06	0.0022552000288189	5.85671964150967	6.5159605710597	5.66884193084479	5.79038450968307	6.60911191143957	5.55928112681672	5.71389933225256	5.51421679786343	6.86032771704121	7.04400951866022	3	1
TRINITY_DN123918_c0_g2_i1	Xetrov90003223m	Chr01	157376647	157376647	4.42011318375818	2.56462229582262	2.42389387057141e-05	0.00648733441564727	2.79922378449639	2.11456426172863	2.58908447976441	2.89544240402066	6.08123561347769	2.65009387155696	2.98430693095115	2.27633361439979	3.49166179034599	6.48301338178697	1	1
TRINITY_DN124558_c3_g2_i6	ca2	Chr06	110376963	110376963	8.09596936085775	0.676902609196844	3.77797766044796e-05	0.00938917400470377	7.89859168380598	8.54542673328763	7.31854103503384	7.40938441369238	8.36256031978051	7.78642686297706	8.57354072538291	8.04391941209326	8.16775563438977	8.28389253015501	3	1
TRINITY_DN124848_c3_g1_i2	slc12a2	Chr01	159210667	159210667	6.75463006380184	0.645151840306004	0.000116348698527741	0.0192769478608342	6.44908816306722	7.00589924890404	6.41279544612565	6.49439236087349	7.22629242390167	5.91737981081376	6.77549071277978	6.62111487522318	7.34949191751857	6.74397777992695	3	1
TRINITY_DN125115_c2_g1_i1	slc2a12	Chr05	35072933	35072933	4.81926447541572	3.01169087245894	4.15057662150349e-05	0.00946709947301763	2.9130253173918	2.28018290253778	2.40490441071427	3.00290937023716	6.5545420786237	2.52760356277862	2.30228692756767	2.38612151291314	2.66156002416009	7.11087090889079	1	1
TRINITY_DN125191_c6_g2_i1	hnrpk	Chr01	122027702	122027702	4.84986470064219	-1.6795313715727	4.6246919209353e-06	0.00209880583785751	4.99797414939159	4.15089075402337	6.22249253021517	4.6923394979197	3.91172548924101	3.8118334385137	3.76464990157962	6.19288117313845	3.15907752877157	3.80128415009322	2	2
TRINITY_DN125397_c2_g1_i1	LOC100490379	Chr10	1710810	1710810	3.81909607482537	0.966310699758321	0.000287905832222511	0.038504901994315	3.84675176934136	4.53380065948232	3.13053312962954	3.05378271654349	4.18676212734458	3.05673660027971	4.52109527070651	3.07374739542846	4.04083446486334	3.59877407892629	3	1
TRINITY_DN125860_c0_g1_i1	ace2	Chr02	32764999	32764999	0.643382213136589	2.26678189901437	0.000321621085141839	0.0402226726652944	-0.287768921723517	0.380145432514774	-0.898803125877148	-0.557586791938831	1.31246699065295	-0.054097178681938	0.855490929878735	-1.41292542987506	0.158774131356786	2.37949721306331	1	1
TRINITY_DN125863_c4_g1_i1	u2surp	Chr05	116552973	116552973	3.46360800526557	-1.29091869163906	0.000366593578844493	0.0439828020227451	3.61414405833868	3.13888326900615	4.51679507959861	3.65759154483459	2.08979419085037	2.57785440299563	2.82001944289447	4.61515883139759	2.40978506523606	2.86595023541802	2	2
TRINITY_DN125892_c0_g1_i1	cpa6	Chr06	104525054	104525054	2.66614455531171	2.37147164556059	4.72453852088539e-05	0.0104924964002131	1.5663516245242	3.44832392233992	0.628502197576613	0.872075743405889	3.99081084574475	1.31964580507496	0.855490929878735	1.02533195788686	0.989000836597385	4.37313864177952	1	1
TRINITY_DN126145_c3_g1_i2	nampt	Chr03	67255881	67255881	4.86452970459899	0.786928203678424	0.000277482609781138	0.0381100458012568	3.91663944553736	4.95112888825249	4.47061559264976	4.37985867736969	5.36408194862969	4.5884541152958	5.62539873414476	4.63753343627206	4.66866074336454	5.21039984989565	1	1
TRINITY_DN126288_c0_g1_i3	LOC101732168	Chr09	22556050	22556050	1.51874950000371	-1.75406061932793	0.000149027528112378	0.0232171543050299	2.26851764112943	0.226227633952634	2.81286680960729	1.35025953441718	0.566968112082536	1.06162960375315	0.312146196428045	2.42093620901976	0.632802413803997	0.858235920038088	2	2
TRINITY_DN126308_c0_g2_i9	acsl1	Chr01	35491194	35491194	6.67949272302412	0.794654106409216	0.000113350990560867	0.0190831877334569	6.36908429872163	6.62969881803668	6.1685503812365	6.31050854724304	7.44313334976036	6.17983453330441	6.66882657330069	6.10194258532977	6.42277679347876	7.5599077405996	1	1
TRINITY_DN126485_c2_g1_i2	LOC100487777	Chr01	65368064	65368064	2.52812501300837	2.07798622242874	4.11666340609324e-06	0.00209880583785751	1.07354342118611	4.00467804708918	1.77441048773334	1.57586951891651	3.08698230157136	0.912962308868855	3.67128541326694	0.482345394329194	2.10458307237657	2.05667059822235	3	1
TRINITY_DN126719_c0_g1_i3	col21a1	Chr05	88497470	88497470	5.03038222292407	5.54000429016211	8.18418695368456e-10	5.14480047638019e-06	0.74512549625792	6.13841324124097	0.330551636190593	1.35025953441718	1.35656927738944	0.344564077119313	0.609247970514687	0.344067195445154	6.28227930279709	7.38522632830315	3	1
TRINITY_DN127055_c1_g7_i1	adamts3	scaffold_51	687719	687719	4.7188170151829	1.80943898313663	9.69738045552881e-05	0.0179412373827817	3.376910887131	3.88117096101187	3.0822121091788	4.09416392122301	6.28895304372945	3.22385245464706	3.57145815999755	3.75775856616129	4.1029155016933	6.33705077106213	1	1
TRINITY_DN127522_c0_g1_i1	sirt6	Chr06	34956913	34956913	5.01506849283437	-1.11289698424311	1.9715656165473e-09	5.14480047638019e-06	5.31507678225827	4.46664038822818	5.39983862860012	5.38620964627907	4.30401647493212	5.59021318721101	4.72069627711927	5.60406249898997	4.15072589042205	4.07127311087525	2	2
TRINITY_DN127562_c0_g1_i2	LOC100493255	Chr05	112375079	112375079	6.10460218177232	0.632964146816115	0.000186705283470687	0.0266962979296854	5.51756410283896	6.60258267878032	5.66474590542643	5.85993020674189	6.41552491715566	5.77924814970744	6.44500637195534	5.91615494943853	6.51471243999738	5.83231898645747	3	1
TRINITY_DN127888_c0_g2_i1	Xetrov90004892m	Chr02	55329164	55329164	1.74332046856983	3.57478061662893	1.00702469835342e-06	0.000719196592272761	1.07354342118611	2.49763797734335	-1.35071024160247	-2.01236509818939	2.03656692769331	-2.01236509818939	1.62619227379503	-0.664481798766581	2.15233913446021	3.64462599177399	3	1
TRINITY_DN127993_c2_g2_i2	mfge8	Chr03	99765346	99765346	7.31679010805059	0.569584622289951	3.99584812428858e-05	0.00946709947301763	6.869577643015	7.3892192996061	7.02619809105007	7.14334923920366	7.92861221646241	6.92416287103921	7.33039011532627	7.04597091321563	7.47451987719129	7.65538948279766	1	1
TRINITY_DN128464_c2_g2_i4	Xetrov90005170m	Chr02	68602051	68602051	5.56833190113778	-0.697603847409044	0.000107788201660504	0.0187515541488723	5.73433231935397	4.96336130470418	5.88143221914244	5.65277711014417	5.48821346689027	5.69068183418565	5.16505321200584	6.30895073423775	5.15241532888763	5.06622422725011	2	2
TRINITY_DN128556_c1_g1_i2	me2	Chr01	191673355	191673355	6.19002134404455	-0.721574630711085	0.000442191230927602	0.0491020432810884	5.98912768857462	6.01162687992831	6.4935309023497	6.37444298144404	6.21451929302959	6.7350556928187	5.60870774406878	6.79541192333742	5.73794053640931	5.11590099456181	2	2
TRINITY_DN129262_c0_g1_i1	ccdc28b	Chr02	82466852	82466852	6.74187080487569	-0.965657229391406	5.588607108685e-09	9.72231350007567e-06	7.33536980599901	6.55083068177601	7.04994751431096	6.99504791527893	5.9542426862638	7.30031220064585	6.40448165190165	7.00209688674391	6.09335209906751	5.76471735253457	2	2
TRINITY_DN129474_c1_g1_i2	uggt2	Chr02	118770833	118770833	4.78393257832303	-0.872805696041912	4.53671625329023e-06	0.00209880583785751	5.35590056431705	4.20340323317036	4.90495445309908	5.10793277287913	4.22889375020182	5.2148430793557	3.93499994269047	5.1440739598154	4.32754156861832	4.65287165318364	2	2
TRINITY_DN129581_c0_g1_i5	eif2b1	Chr01	152378996	152378996	5.00177883426472	-1.01302589309645	1.17243307814312e-08	1.52973205870723e-05	5.5398810207935	4.43185024607785	5.29243750329341	5.42537275494331	4.29837465985787	5.58100300511857	4.67332482290794	5.22017207034398	4.27457808181161	4.36403072448455	2	2
TRINITY_DN129658_c2_g4_i1	LOC101734415	scaffold_961	6668	6668	5.51256721385341	0.968903729027245	1.20148143192473e-05	0.00432450454704495	4.96536733964458	5.38313837610476	4.87690174305315	4.82273008659599	6.19035336202447	4.93055428276935	5.31148240600348	5.13885514194667	5.81414772477434	6.50182048985151	1	1
TRINITY_DN129784_c1_g7_i1	LOC100487939	Chr01	65386604	65386604	2.59631211021699	2.99993483062138	5.64752380301281e-05	0.0120303782562955	0.14380953637415	1.76921580953303	1.3536545961703	1.08270845039039	4.47380694131833	-1.51434018189772	4.42902377585324	0.482345394329194	1.51262215179677	0.507497152256499	3	1
TRINITY_DN130262_c0_g1_i1	LOC100124862	Chr01	30840173	30840173	5.98569414548022	0.719453103784242	9.84210236949012e-05	0.0179412373827817	5.57055586368832	6.03789121171537	5.52712691823312	5.72125518062513	6.52827178132746	5.56240434791974	5.74859543618189	5.52625801479522	6.27150709250114	6.70843727290108	1	1
TRINITY_DN130300_c0_g1_i3	LOC100495139	Chr03	528609	528609	3.97544806927216	3.0714963988749	0.000111611578742591	0.0190831877334569	1.82083239988956	1.38873029731675	1.26984363149027	1.88769549216145	5.85780651974767	1.7722061653039	0.609247970514687	2.11560617002917	1.71699856956412	6.17203401628641	1	1
TRINITY_DN130680_c2_g1_i1	musk	Chr01	103510401	103510401	2.52024918663103	-3.03039383779192	9.96926392222013e-05	0.0179412373827817	1.07354342118611	0.762625649846443	-0.555197224377408	5.23460514961477	0.408401529572685	2.86769526413377	0.7376167593167	1.6711004757896	0.491420863811046	0.215064979128706	2	2
TRINITY_DN131068_c1_g7_i3	ltb4dh	Chr01	103075036	103075036	6.0725499906211	-0.763547466069469	5.35386935724968e-05	0.0116424350731192	6.69164271951737	5.82313331733625	5.91974672567817	6.12669822734036	5.66083002287563	6.73920166676271	5.86911939168754	6.36589691183972	5.52769977061337	5.25049112400865	2	2
TRINITY_DN131218_c0_g1_i10	elmo3	Chr04	28457416	28457416	3.29558178396396	1.86160406262311	0.000291324367575108	0.038504901994315	1.87800926030797	2.87964911192259	0.875327287553572	1.88769549216145	2.9923143881736	2.50180616500635	3.3683060288367	2.78395518773202	2.75732293618976	5.45733692608834	1	1
TRINITY_DN131753_c0_g4_i1	ccnb3	Chr08	18281290	18281290	2.99403985985015	3.34919937586388	1.92990392226956e-05	0.00559564920573601	0.475571934514466	5.1025901113134	0.154792621278646	0.484110447405483	0.959016924748166	1.19639808912356	5.02111152072268	0.931868140316757	1.09055211822537	0.507497152256499	3	1
TRINITY_DN132104_c0_g2_i3	Xetrov90001997m	Chr01	101423083	101423083	3.50844255974898	2.33448777963117	9.75415384071025e-05	0.0179412373827817	1.63430222849042	2.28018290253778	2.7211752037677	1.94271855026076	4.90722879919601	1.68319284158638	2.17201519555173	1.4189144317541	2.19856489703588	5.61536513335202	1	1
TRINITY_DN132317_c2_g4_i4	zc3h13	Chr02	131018375	131018375	7.93941733106414	-0.603346172844348	1.29913262172115e-05	0.00442235483461722	8.139037004311	7.48778127046466	8.22933450800501	8.03932907324674	7.57614335120814	8.13738649552716	7.43823702767226	8.46523534858596	7.86775607980829	7.62521240877287	2	2
TRINITY_DN132560_c1_g5_i1	LOC100127632	Chr06	134197299	134197299	1.09802598071471	4.13537269035931	1.60754131499931e-09	5.14480047638019e-06	-2.01236509818939	1.4595271568312	-1.35071024160247	-0.900824321302584	2.69881094329726	-1.14481840933888	-0.0624405079436986	-0.990703463190976	2.00404970066342	2.01072193361338	1	1
TRINITY_DN132667_c0_g6_i1	sumo2	Chr10	35830902	35830902	4.32151132563433	-1.18411724284655	1.81945007056645e-05	0.00558571171663901	4.91844312008266	3.96872327282304	5.08738971503255	4.13016626318868	3.29393046394151	4.15579458328116	4.01318138130662	5.28774863359437	3.15907752877157	3.48575441024888	2	2
TRINITY_DN132689_c2_g3_i2	Xetrov90007040m	Chr03	311168	311168	4.3926964510601	0.82713294546439	0.000156900095426186	0.0240841646479196	4.22283068402417	5.0746713741194	3.75673067672041	4.09416392122301	4.96534906417445	3.62132468796767	4.4572673897468	3.86278425408958	4.36855549139475	4.70429681702963	3	1
TRINITY_DN132937_c1_g1_i3	Xetrov90007138m	Chr03	5467468	5467468	5.22072483926783	0.817979959348544	0.000255369193789496	0.0355405819303301	4.81975182711345	5.327443648883	4.34313681569054	5.23460514961477	5.85780651974767	4.5761456972589	5.42547276722866	4.65956632860402	5.04265753289725	5.97972461800894	1	1
TRINITY_DN133320_c2_g1_i1	elovl5	Chr05	114321936	114321936	7.62151446245891	0.598432672820136	1.92357035829026e-05	0.00559564920573601	7.02953484249827	7.80655520734675	7.21730211688404	7.31087065786468	8.15619860230915	7.38389500829818	7.67610864490994	7.47766025960269	7.68500225284527	8.05473336102504	1	1
TRINITY_DN133563_c2_g1_i1	c2orf69	Chr09	46182130	46182130	4.59520288502497	-1.24737811918576	0.000179349928436777	0.0266962979296854	4.50280464647339	4.10745963345264	5.27642035694072	5.22353821582577	2.82973512776592	5.34386785704941	4.40021617777779	4.91902340075294	4.43763850136084	2.41520875332378	2	2
TRINITY_DN133826_c11_g1_i2	ppp2r3b	Chr02	111562201	111562201	5.60059564315161	0.806586995453687	0.000322276652969737	0.0402226726652944	4.79769582554091	5.89832780706083	5.19355343372197	5.00181499042422	5.90125792916528	4.97342029684211	6.13987305438082	5.6116170549868	6.38329659790152	5.13208693447507	3	1
TRINITY_DN133976_c2_g2_i1	lmx1b.1	Chr08	9183575	9183575	3.70889786814174	1.51514413054607	0.00012848613532784	0.0207608478468978	2.99284744624572	3.48272373815976	1.3536545961703	2.2783694032709	4.81540751424238	3.31555523164582	3.34833653143975	3.13793360263864	3.77707018628268	5.01477573676859	1	1
TRINITY_DN134021_c2_g1_i2	folr1	scaffold_1043	10484	10484	1.38976241452286	2.69592850314286	0.00032203853499568	0.0402226726652944	-0.287768921723517	0.380145432514774	-0.898803125877148	0.753978713651414	3.07383273489823	-0.850905364591286	0.136976233001474	-0.664481798766581	-0.0415761675972197	3.14651065583211	1	1
TRINITY_DN134429_c5_g1_i1	cnp-like	Chr10	2240187	2240187	7.86241086415721	1.2278559488728	6.6797946585458e-06	0.00268168064022696	6.54267867443399	8.41845649495872	6.98079182523251	7.15504616275242	8.43697961956533	7.54413429356654	8.22088093013097	7.20798409543034	9.0376252375946	6.87958101988843	3	1
TRINITY_DN134490_c0_g1_i3	gpc4	Chr08	46770059	46770059	7.08725879930224	0.637311579938143	0.000430620682015212	0.0488567247703781	6.83750595819799	7.12910206502368	6.82617214892751	7.11966698396388	7.45205379004719	5.98644134116702	7.31632423792398	6.67799050026634	7.20977311315503	7.6766958752662	1	1
TRINITY_DN134524_c3_g3_i1	f5	Chr02	68653653	68653653	5.00246728275436	3.93313575569362	2.83554903626714e-05	0.0073993652101391	1.69919581961423	1.97654310484945	0.628502197576613	2.09621628364306	7.12554732300036	1.97332081449338	0.468331573454573	2.91184385618153	2.0551919106487	7.20823611079896	1	1
TRINITY_DN134934_c4_g1_i2	cd151	Chr04	35118694	35118694	6.92059624681765	0.673086793726815	0.000219747521436279	0.0309962787669173	6.30537716664362	7.19022647480211	6.82249985208463	6.26265560692991	7.06287228085998	6.68291759891295	7.20552379956318	6.57355596214538	7.74658407141114	6.67752381861586	3	1
TRINITY_DN134983_c5_g1_i2	set	Chr08	4283142	4283142	4.7468207002898	-0.905140901353324	0.000169461829750057	0.0256353996946536	4.78280223900783	4.29336221956413	5.61466447217847	4.85894003076033	4.40722062847531	4.58231303246574	4.56501736604706	5.5061331216043	3.85128976832431	3.89278952200905	2	2
TRINITY_DN135594_c6_g2_i2	ednra	Chr01	48225092	48225092	4.53584989716923	0.98277172143876	0.000410844746108893	0.0476488606653848	3.64741209232308	4.35036235032451	3.81702851882196	4.57533829403861	4.80748527836833	3.23954677876239	5.08284154377312	4.20996231608781	4.55776895878271	5.57646569967191	1	1
TRINITY_DN135618_c2_g1_i1	kcnj13	Chr05	123073357	123073357	6.82050057758029	1.09992293394678	2.64677011328442e-06	0.00162511684955664	6.46550297501063	6.82333123923188	6.0447852692518	6.26805165950274	7.64832967095534	5.76847016745136	6.73760990320029	6.21040071936368	6.64352966618408	7.96043947502932	1	1
TRINITY_DN135640_c2_g9_i1	sftpc	Chr03	119317068	119317068	6.13517152442906	-5.28477970869554	1.45534418548413e-05	0.00474715081502603	2.18034753800672	1.82390709636824	2.4436695697922	1.35025953441718	0.959016924748166	9.37764158336625	1.75312623897458	1.55051078205792	0.632802413803997	3.03616016158471	2	2
TRINITY_DN135666_c0_g3_i1	Xetrov90030825m	scaffold_90	128744	128744	5.61320499699325	0.743939541582106	0.000184367537724024	0.0266962979296854	4.91844312008266	5.48846507191523	5.26564260610356	5.42053511207305	6.45028366445274	4.93538055613236	5.77875114747198	5.36576572288282	5.95208561695223	5.81904970043112	1	1
TRINITY_DN135896_c2_g3_i1	cndp2	scaffold_21	1670075	1670075	12.1133470731034	4.67230188407554	3.91515403837959e-05	0.00946709947301763	7.83954455008814	9.21708646727908	7.59633473707535	8.88426422109984	13.8010483996384	8.71158850202892	7.60214738386271	8.48696199362652	7.75143767231856	14.7394682139976	1	1
TRINITY_DN135947_c1_g1_i1	LOC100486817-like	scaffold_147	323376	323376	1.78773826951612	-4.03360118548588	7.36325062338179e-08	8.53973444520657e-05	3.84675176934136	-1.39757249036965	2.78294580086178	-1.352092278774	-0.846190515425132	2.62641369807296	-0.911106777663351	2.02798728515021	-0.551939944195782	-0.152114422302057	2	2
TRINITY_DN135966_c1_g1_i10	vwa5a-like	scaffold_138	345924	345924	6.26849033717062	0.639037359241247	1.31340294954142e-05	0.00442235483461722	6.08330406578369	6.54677179181169	5.97702831547033	5.94324121416066	6.42332177733456	5.73564451539108	6.77362010978469	5.81180485187122	6.46593768926147	6.5244789098904	3	1
