gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain
TRINITY_DN125191_c6_g2_i1	hnrpk	Chr01	122027702	122027702	4.84986470064219	-1.6795313715727	4.6246919209353e-06	0.00209880583785751
TRINITY_DN125397_c2_g1_i1	LOC100490379	Chr10	1710810	1710810	3.81909607482537	0.966310699758321	0.000287905832222511	0.038504901994315
TRINITY_DN125860_c0_g1_i1	ace2	Chr02	32764999	32764999	0.643382213136589	2.26678189901437	0.000321621085141839	0.0402226726652944
TRINITY_DN125863_c4_g1_i1	u2surp	Chr05	116552973	116552973	3.46360800526557	-1.29091869163906	0.000366593578844493	0.0439828020227451
TRINITY_DN125892_c0_g1_i1	cpa6	Chr06	104525054	104525054	2.66614455531171	2.37147164556059	4.72453852088539e-05	0.0104924964002131
TRINITY_DN126145_c3_g1_i2	nampt	Chr03	67255881	67255881	4.86452970459899	0.786928203678424	0.000277482609781138	0.0381100458012568
TRINITY_DN126288_c0_g1_i3	LOC101732168	Chr09	22556050	22556050	1.51874950000371	-1.75406061932793	0.000149027528112378	0.0232171543050299
TRINITY_DN126308_c0_g2_i9	acsl1	Chr01	35491194	35491194	6.67949272302412	0.794654106409216	0.000113350990560867	0.0190831877334569
TRINITY_DN126485_c2_g1_i2	LOC100487777	Chr01	65368064	65368064	2.52812501300837	2.07798622242874	4.11666340609324e-06	0.00209880583785751
TRINITY_DN126719_c0_g1_i3	col21a1	Chr05	88497470	88497470	5.03038222292407	5.54000429016211	8.18418695368456e-10	5.14480047638019e-06
TRINITY_DN127055_c1_g7_i1	adamts3	scaffold_51	687719	687719	4.7188170151829	1.80943898313663	9.69738045552881e-05	0.0179412373827817
TRINITY_DN127522_c0_g1_i1	sirt6	Chr06	34956913	34956913	5.01506849283437	-1.11289698424311	1.9715656165473e-09	5.14480047638019e-06
TRINITY_DN127562_c0_g1_i2	LOC100493255	Chr05	112375079	112375079	6.10460218177232	0.632964146816115	0.000186705283470687	0.0266962979296854
TRINITY_DN127888_c0_g2_i1	Xetrov90004892m	Chr02	55329164	55329164	1.74332046856983	3.57478061662893	1.00702469835342e-06	0.000719196592272761
TRINITY_DN127993_c2_g2_i2	mfge8	Chr03	99765346	99765346	7.31679010805059	0.569584622289951	3.99584812428858e-05	0.00946709947301763
TRINITY_DN128464_c2_g2_i4	Xetrov90005170m	Chr02	68602051	68602051	5.56833190113778	-0.697603847409044	0.000107788201660504	0.0187515541488723
TRINITY_DN128556_c1_g1_i2	me2	Chr01	191673355	191673355	6.19002134404455	-0.721574630711085	0.000442191230927602	0.0491020432810884
TRINITY_DN129262_c0_g1_i1	ccdc28b	Chr02	82466852	82466852	6.74187080487569	-0.965657229391406	5.588607108685e-09	9.72231350007567e-06
TRINITY_DN129474_c1_g1_i2	uggt2	Chr02	118770833	118770833	4.78393257832303	-0.872805696041912	4.53671625329023e-06	0.00209880583785751
TRINITY_DN129581_c0_g1_i5	eif2b1	Chr01	152378996	152378996	5.00177883426472	-1.01302589309645	1.17243307814312e-08	1.52973205870723e-05
TRINITY_DN129658_c2_g4_i1	LOC101734415	scaffold_961	6668	6668	5.51256721385341	0.968903729027245	1.20148143192473e-05	0.00432450454704495
TRINITY_DN129784_c1_g7_i1	LOC100487939	Chr01	65386604	65386604	2.59631211021699	2.99993483062138	5.64752380301281e-05	0.0120303782562955
TRINITY_DN130262_c0_g1_i1	LOC100124862	Chr01	30840173	30840173	5.98569414548022	0.719453103784242	9.84210236949012e-05	0.0179412373827817
TRINITY_DN130300_c0_g1_i3	LOC100495139	Chr03	528609	528609	3.97544806927216	3.0714963988749	0.000111611578742591	0.0190831877334569
TRINITY_DN130680_c2_g1_i1	musk	Chr01	103510401	103510401	2.52024918663103	-3.03039383779192	9.96926392222013e-05	0.0179412373827817
TRINITY_DN131068_c1_g7_i3	ltb4dh	Chr01	103075036	103075036	6.0725499906211	-0.763547466069469	5.35386935724968e-05	0.0116424350731192
TRINITY_DN131218_c0_g1_i10	elmo3	Chr04	28457416	28457416	3.29558178396396	1.86160406262311	0.000291324367575108	0.038504901994315
TRINITY_DN131753_c0_g4_i1	ccnb3	Chr08	18281290	18281290	2.99403985985015	3.34919937586388	1.92990392226956e-05	0.00559564920573601
TRINITY_DN132104_c0_g2_i3	Xetrov90001997m	Chr01	101423083	101423083	3.50844255974898	2.33448777963117	9.75415384071025e-05	0.0179412373827817
TRINITY_DN132317_c2_g4_i4	zc3h13	Chr02	131018375	131018375	7.93941733106414	-0.603346172844348	1.29913262172115e-05	0.00442235483461722
TRINITY_DN132560_c1_g5_i1	LOC100127632	Chr06	134197299	134197299	1.09802598071471	4.13537269035931	1.60754131499931e-09	5.14480047638019e-06
TRINITY_DN132667_c0_g6_i1	sumo2	Chr10	35830902	35830902	4.32151132563433	-1.18411724284655	1.81945007056645e-05	0.00558571171663901
TRINITY_DN132689_c2_g3_i2	Xetrov90007040m	Chr03	311168	311168	4.3926964510601	0.82713294546439	0.000156900095426186	0.0240841646479196
TRINITY_DN132937_c1_g1_i3	Xetrov90007138m	Chr03	5467468	5467468	5.22072483926783	0.817979959348544	0.000255369193789496	0.0355405819303301
TRINITY_DN133320_c2_g1_i1	elovl5	Chr05	114321936	114321936	7.62151446245891	0.598432672820136	1.92357035829026e-05	0.00559564920573601
TRINITY_DN133563_c2_g1_i1	c2orf69	Chr09	46182130	46182130	4.59520288502497	-1.24737811918576	0.000179349928436777	0.0266962979296854
TRINITY_DN133826_c11_g1_i2	ppp2r3b	Chr02	111562201	111562201	5.60059564315161	0.806586995453687	0.000322276652969737	0.0402226726652944
TRINITY_DN133976_c2_g2_i1	lmx1b.1	Chr08	9183575	9183575	3.70889786814174	1.51514413054607	0.00012848613532784	0.0207608478468978
TRINITY_DN134021_c2_g1_i2	folr1	scaffold_1043	10484	10484	1.38976241452286	2.69592850314286	0.00032203853499568	0.0402226726652944
TRINITY_DN134429_c5_g1_i1	cnp-like	Chr10	2240187	2240187	7.86241086415721	1.2278559488728	6.6797946585458e-06	0.00268168064022696
TRINITY_DN134490_c0_g1_i3	gpc4	Chr08	46770059	46770059	7.08725879930224	0.637311579938143	0.000430620682015212	0.0488567247703781
TRINITY_DN134524_c3_g3_i1	f5	Chr02	68653653	68653653	5.00246728275436	3.93313575569362	2.83554903626714e-05	0.0073993652101391
TRINITY_DN134934_c4_g1_i2	cd151	Chr04	35118694	35118694	6.92059624681765	0.673086793726815	0.000219747521436279	0.0309962787669173
TRINITY_DN134983_c5_g1_i2	set	Chr08	4283142	4283142	4.7468207002898	-0.905140901353324	0.000169461829750057	0.0256353996946536
TRINITY_DN135594_c6_g2_i2	ednra	Chr01	48225092	48225092	4.53584989716923	0.98277172143876	0.000410844746108893	0.0476488606653848
TRINITY_DN135618_c2_g1_i1	kcnj13	Chr05	123073357	123073357	6.82050057758029	1.09992293394678	2.64677011328442e-06	0.00162511684955664
TRINITY_DN135640_c2_g9_i1	sftpc	Chr03	119317068	119317068	6.13517152442906	-5.28477970869554	1.45534418548413e-05	0.00474715081502603
TRINITY_DN135666_c0_g3_i1	Xetrov90030825m	scaffold_90	128744	128744	5.61320499699325	0.743939541582106	0.000184367537724024	0.0266962979296854
TRINITY_DN135896_c2_g3_i1	cndp2	scaffold_21	1670075	1670075	12.1133470731034	4.67230188407554	3.91515403837959e-05	0.00946709947301763
TRINITY_DN135947_c1_g1_i1	LOC100486817-like	scaffold_147	323376	323376	1.78773826951612	-4.03360118548588	7.36325062338179e-08	8.53973444520657e-05
TRINITY_DN135966_c1_g1_i10	vwa5a-like	scaffold_138	345924	345924	6.26849033717062	0.639037359241247	1.31340294954142e-05	0.00442235483461722
TRINITY_DN136565_c2_g1_i2	olfml3	Chr02	67671613	67671613	6.20562993518867	0.874280352992059	0.000405212141930923	0.0475236442412918
TRINITY_DN27351_c0_g1_i1	rpl7a	scaffold_124	334120	334120	4.24551116380242	-4.75687839407543	2.27846034245828e-05	0.00625857080383671
TRINITY_DN61282_c0_g1_i1	LOC100494322	Chr06	18209355	18209355	0.247796063632623	3.06606885312844	0.000185796826782548	0.0266962979296854
TRINITY_DN69144_c0_g1_i1	hdac1	Chr02	82271699	82271699	3.91249258973295	-1.85573413071308	6.47584145219149e-06	0.00268168064022696
TRINITY_DN87264_c0_g2_i1	smarcb1	Chr01	144686502	144686502	1.80560899578062	-5.06410896791169	8.65009938320505e-06	0.00322463347721051
TRINITY_DN90720_c0_g1_i1	rpl14	Chr06	72948445	72948445	3.3233540439801	-4.79947876221914	7.28128703513336e-07	0.000584631339020939
TRINITY_DN91309_c0_g1_i2	LOC100490994	Chr02	145155702	145155702	1.24567657444021	2.18317618901441	0.000145758599213801	0.0230519433120251
TRINITY_DN93345_c0_g1_i1	srsf1	Chr02	50295128	50295128	3.69177748095442	-1.83262201578372	1.03352643074262e-06	0.000719196592272761
