gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.Xxliver	bias	tau	tissue	tau	tissue
TRINITY_DN101901_c0_g1_i2	NA	NA	NA	NA	-0.823053416	0.823053416	unbias	0.436273168	G31_mmean	0.436273168	G31_mmean
TRINITY_DN101903_c0_g1_i1	NA	NA	NA	NA	-0.65435346	0.65435346	unbias	0.455250056	Ovary_mean	0.455250056	Ovary_mean
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	0.025378664	0.025378664	unbias	0.469207272	Ovary_mean	0.469207272	Ovary_mean
TRINITY_DN101924_c0_g1_i2	NA	NA	NA	NA	0.370376721	0.370376721	unbias	0.257230037	G23_mmean	0.257230037	G23_mmean
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	0.542588607	0.542588607	unbias	0.428111172	Ovary_mean	0.428111172	Ovary_mean
TRINITY_DN101964_c0_g1_i1	NA	NA	NA	NA	0.972403133	0.972403133	unbias	0.98442169	Liver_mmean	0.98442169	Liver_mmean
TRINITY_DN102000_c0_g1_i1	NA	NA	NA	NA	-0.356249282	0.356249282	unbias	0.411657529	Testis_mean	0.411657529	Testis_mean
TRINITY_DN102016_c0_g1_i1	NA	NA	NA	NA	0.312700198	0.312700198	unbias	0.331308297	Ovary_mean	0.331308297	Ovary_mean
TRINITY_DN102016_c0_g3_i1	NA	NA	NA	NA	-3.739188666	3.739188666	female	0.687074316	Liver_fmean	0.687074316	Liver_fmean
TRINITY_DN102039_c0_g1_i2	NA	NA	NA	NA	0.451585558	0.451585558	unbias	0.594417345	Liver_fmean	0.594417345	Liver_fmean
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	-1.031514447	1.031514447	unbias	0.434214696	Ovary_mean	0.434214696	Ovary_mean
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	-0.383206998	0.383206998	unbias	0.462382496	Testis_mean	0.462382496	Testis_mean
TRINITY_DN102078_c0_g1_i1	rundc3a	Chr10	14285958	14285958	0.440272676	0.440272676	unbias	0.261237667	Ovary_mean	0.261237667	Ovary_mean
TRINITY_DN102078_c0_g2_i1	NA	NA	NA	NA	0.581942073	0.581942073	unbias	0.245801134	Ovary_mean	0.245801134	Ovary_mean
TRINITY_DN102083_c0_g1_i1	NA	NA	NA	NA	0.020297215	0.020297215	unbias	0.920626764	Liver_fmean	0.920626764	Liver_fmean
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	-0.532319272	0.532319272	unbias	0.22164913	Ovary_mean	0.22164913	Ovary_mean
TRINITY_DN102104_c0_g1_i1	NA	NA	NA	NA	-0.550147553	0.550147553	unbias	0.322697995	G43_F_mean	0.322697995	G43_F_mean
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	0.453617828	0.453617828	unbias	0.486775433	Ovary_mean	0.486775433	Ovary_mean
TRINITY_DN102150_c0_g1_i3	NA	NA	NA	NA	0.524286381	0.524286381	unbias	0.582724802	Liver_fmean	0.582724802	Liver_fmean
TRINITY_DN102158_c0_g1_i1	NA	NA	NA	NA	-0.539333478	0.539333478	unbias	0.208238663	Ovary_mean	0.208238663	Ovary_mean
TRINITY_DN102159_c0_g1_i2	NA	NA	NA	NA	0.431148496	0.431148496	unbias	0.46068713	Liver_fmean	0.46068713	Liver_fmean
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.267394783	0.267394783	unbias	0.497457845	Ovary_mean	0.497457845	Ovary_mean
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	-0.094507622	0.094507622	unbias	0.29869715	Ovary_mean	0.29869715	Ovary_mean
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	-0.578956071	0.578956071	unbias	0.435739261	Brain_fmean	0.435739261	Brain_fmean
TRINITY_DN102193_c0_g2_i1	NA	NA	NA	NA	0.056374458	0.056374458	unbias	0.445715317	Brain_fmean	0.445715317	Brain_fmean
TRINITY_DN102201_c0_g1_i1	NA	NA	NA	NA	-0.164061989	0.164061989	unbias	0.385276075	Brain_mmean	0.385276075	Brain_mmean
TRINITY_DN102218_c0_g1_i1	slc39a10	Chr09	46395065	46395065	-0.905767949	0.905767949	unbias	0.418069932	Liver_fmean	0.418069932	Liver_fmean
TRINITY_DN102272_c0_g1_i1	NA	NA	NA	NA	-0.204731376	0.204731376	unbias	0.448244822	Ovary_mean	0.448244822	Ovary_mean
TRINITY_DN102276_c0_g1_i1	NA	NA	NA	NA	-0.829714062	0.829714062	unbias	0.683653075	G43_F_mean	0.683653075	G43_F_mean
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	-0.163186115	0.163186115	unbias	0.148778968	G23_mmean	0.148778968	G23_mmean
TRINITY_DN102279_c0_g2_i1	NA	NA	NA	NA	0.306910829	0.306910829	unbias	0.17047988	G23_fmean	0.17047988	G23_fmean
TRINITY_DN102288_c0_g1_i1	rbm34	Chr10	3802487	3802487	-0.998353776	0.998353776	unbias	0.636104975	Ovary_mean	0.636104975	Ovary_mean
TRINITY_DN102362_c0_g1_i1	NA	NA	NA	NA	0.107361501	0.107361501	unbias	0.225177242	Ovary_mean	0.225177242	Ovary_mean
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	-0.510786801	0.510786801	unbias	0.507290717	Ovary_mean	0.507290717	Ovary_mean
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	0.015436169	0.015436169	unbias	0.174012021	Testis_mean	0.174012021	Testis_mean
TRINITY_DN102407_c0_g1_i1	armc4	Chr06	16300432	16300432	-1.309112359	1.309112359	unbias	0.346573817	Brain_fmean	0.346573817	Brain_fmean
TRINITY_DN102425_c0_g1_i1	dtx3	Chr02	137571807	137571807	0.076928443	0.076928443	unbias	0.662027149	Brain_mmean	0.662027149	Brain_mmean
TRINITY_DN102429_c0_g1_i2	NA	NA	NA	NA	-0.931786431	0.931786431	unbias	0.314321121	G43_F_mean	0.314321121	G43_F_mean
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	-0.234155829	0.234155829	unbias	0.360773137	Ovary_mean	0.360773137	Ovary_mean
TRINITY_DN102449_c0_g1_i1	LOC101732515	scaffold_1485	10246	10246	-0.192926267	0.192926267	unbias	0.431321007	G43_F_mean	0.431321007	G43_F_mean
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	0.560999272	0.560999272	unbias	0.185950609	Ovary_mean	0.185950609	Ovary_mean
TRINITY_DN102456_c0_g1_i1	NA	NA	NA	NA	1.747198864	1.747198864	unbias	0.48595209	Liver_mmean	0.48595209	Liver_mmean
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	0.222243801	0.222243801	unbias	0.524397524	Liver_fmean	0.524397524	Liver_fmean
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	0.082675691	0.082675691	unbias	0.203652497	Ovary_mean	0.203652497	Ovary_mean
TRINITY_DN102496_c0_g1_i1	NA	NA	NA	NA	0.048295981	0.048295981	unbias	0.146281621	G23_mmean	0.146281621	G23_mmean
TRINITY_DN102531_c0_g1_i1	NA	NA	NA	NA	-0.455670179	0.455670179	unbias	0.607882066	Brain_mmean	0.607882066	Brain_mmean
TRINITY_DN102539_c0_g1_i1	NA	NA	NA	NA	-0.627105318	0.627105318	unbias	0.350280171	Brain_mmean	0.350280171	Brain_mmean
TRINITY_DN102559_c0_g2_i1	lipg	Chr01	191735667	191735667	-0.724721807	0.724721807	unbias	0.490634631	Ovary_mean	0.490634631	Ovary_mean
TRINITY_DN102578_c0_g1_i1	NA	NA	NA	NA	0.072597597	0.072597597	unbias	0.450145714	G23_mmean	0.450145714	G23_mmean
TRINITY_DN102616_c0_g1_i1	NA	NA	NA	NA	-0.84412818	0.84412818	unbias	0.238162136	Brain_fmean	0.238162136	Brain_fmean
TRINITY_DN102661_c0_g1_i1	sec24d-like.1	Chr01	61127823	61127823	0.023709189	0.023709189	unbias	0.259109979	G23_fmean	0.259109979	G23_fmean
TRINITY_DN102667_c0_g1_i1	NA	NA	NA	NA	0.071036957	0.071036957	unbias	0.17431997	Brain_fmean	0.17431997	Brain_fmean
TRINITY_DN102702_c0_g1_i1	NA	NA	NA	NA	-0.566517869	0.566517869	unbias	0.39105166	Ovary_mean	0.39105166	Ovary_mean
TRINITY_DN102743_c0_g2_i1	nxph3	Chr10	9925552	9925552	-0.958443242	0.958443242	unbias	0.703539031	Liver_fmean	0.703539031	Liver_fmean
TRINITY_DN102752_c0_g1_i1	NA	NA	NA	NA	0.119965824	0.119965824	unbias	0.716524137	Brain_mmean	0.716524137	Brain_mmean
TRINITY_DN102805_c0_g1_i1	NA	NA	NA	NA	-0.665155525	0.665155525	unbias	0.804689333	Liver_fmean	0.804689333	Liver_fmean
TRINITY_DN102805_c0_g2_i1	NA	NA	NA	NA	-1.111172918	1.111172918	unbias	0.749385388	Liver_fmean	0.749385388	Liver_fmean
TRINITY_DN102865_c0_g1_i2	NA	NA	NA	NA	0.146175538	0.146175538	unbias	0.194483358	Brain_mmean	0.194483358	Brain_mmean
TRINITY_DN102871_c0_g1_i1	NA	NA	NA	NA	-0.075808397	0.075808397	unbias	0.846374375	Liver_fmean	0.846374375	Liver_fmean
TRINITY_DN102923_c0_g1_i1	itm2b	Chr02	131610096	131610096	0.007846476	0.007846476	unbias	0.200318895	Brain_fmean	0.200318895	Brain_fmean
TRINITY_DN102938_c0_g1_i1	NA	NA	NA	NA	-0.508712621	0.508712621	unbias	0.237453564	Ovary_mean	0.237453564	Ovary_mean
TRINITY_DN103024_c0_g1_i2	NA	NA	NA	NA	-0.323148087	0.323148087	unbias	0.292296804	Brain_mmean	0.292296804	Brain_mmean
TRINITY_DN103049_c0_g4_i1	NA	NA	NA	NA	-0.020863186	0.020863186	unbias	0.443236246	G46_M_mean	0.443236246	G46_M_mean
TRINITY_DN103059_c0_g1_i1	NA	NA	NA	NA	0.358981191	0.358981191	unbias	0.083164472	G27_fmean	0.083164472	G27_fmean
TRINITY_DN103065_c0_g1_i1	atad2b-like	Chr05	141303813	141303813	-0.362614975	0.362614975	unbias	0.23086557	G46_M_mean	0.23086557	G46_M_mean
TRINITY_DN103086_c1_g1_i1	NA	NA	NA	NA	-1.096115654	1.096115654	unbias	0.624245117	G43_F_mean	0.624245117	G43_F_mean
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	0.114032887	0.114032887	unbias	0.139536702	Ovary_mean	0.139536702	Ovary_mean
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	-0.005618447	0.005618447	unbias	0.375544167	Testis_mean	0.375544167	Testis_mean
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	0.145868135	0.145868135	unbias	0.568647296	Brain_mmean	0.568647296	Brain_mmean
TRINITY_DN103159_c1_g1_i1	NA	NA	NA	NA	-0.141791383	0.141791383	unbias	0.374048539	Brain_mmean	0.374048539	Brain_mmean
TRINITY_DN103192_c0_g1_i1	NA	NA	NA	NA	0.478439299	0.478439299	unbias	0.218716679	Testis_mean	0.218716679	Testis_mean
TRINITY_DN103194_c0_g1_i1	NA	NA	NA	NA	-1.579027057	1.579027057	unbias	0.932648834	Liver_fmean	0.932648834	Liver_fmean
TRINITY_DN103194_c0_g2_i1	NA	NA	NA	NA	0.822863711	0.822863711	unbias	0.838518441	Liver_mmean	0.838518441	Liver_mmean
TRINITY_DN103196_c0_g1_i2	NA	NA	NA	NA	-0.097535748	0.097535748	unbias	0.272730276	Ovary_mean	0.272730276	Ovary_mean
TRINITY_DN103200_c0_g1_i1	NA	NA	NA	NA	0.547263649	0.547263649	unbias	0.545221353	Liver_fmean	0.545221353	Liver_fmean
TRINITY_DN103202_c0_g1_i1	NA	NA	NA	NA	-0.828325205	0.828325205	unbias	0.710935626	Liver_fmean	0.710935626	Liver_fmean
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	0.57948384	0.57948384	unbias	0.139736082	Ovary_mean	0.139736082	Ovary_mean
TRINITY_DN103214_c0_g1_i1	NA	NA	NA	NA	-1.362930452	1.362930452	unbias	0.508233663	Brain_mmean	0.508233663	Brain_mmean
TRINITY_DN103227_c0_g1_i1	NA	NA	NA	NA	-3.407255497	3.407255497	unbias	0.621469287	Brain_fmean	0.621469287	Brain_fmean
TRINITY_DN103236_c0_g2_i1	NA	NA	NA	NA	-0.31473287	0.31473287	unbias	0.219464026	Brain_mmean	0.219464026	Brain_mmean
TRINITY_DN103244_c0_g2_i1	NA	NA	NA	NA	-0.087986002	0.087986002	unbias	0.81688469	Liver_fmean	0.81688469	Liver_fmean
TRINITY_DN103284_c0_g1_i2	NA	NA	NA	NA	0.179716373	0.179716373	unbias	0.434721816	Liver_fmean	0.434721816	Liver_fmean
TRINITY_DN103303_c0_g1_i2	NA	NA	NA	NA	-0.296276278	0.296276278	unbias	0.385986825	Brain_fmean	0.385986825	Brain_fmean
TRINITY_DN103324_c0_g1_i1	NA	NA	NA	NA	0.962479122	0.962479122	unbias	0.35568815	Brain_mmean	0.35568815	Brain_mmean
TRINITY_DN103334_c0_g1_i1	arhgap17-like	Chr09	14157183	14157183	-0.333062286	0.333062286	unbias	0.37834483	Brain_mmean	0.37834483	Brain_mmean
TRINITY_DN103397_c0_g1_i1	NA	NA	NA	NA	0.057673321	0.057673321	unbias	0.976265401	Liver_fmean	0.976265401	Liver_fmean
TRINITY_DN103424_c0_g1_i1	NA	NA	NA	NA	-0.253934264	0.253934264	unbias	0.563570492	Brain_mmean	0.563570492	Brain_mmean
TRINITY_DN103500_c0_g1_i1	NA	NA	NA	NA	0.044586639	0.044586639	unbias	0.300281271	Ovary_mean	0.300281271	Ovary_mean
TRINITY_DN103537_c0_g1_i1	NA	NA	NA	NA	-0.514400536	0.514400536	unbias	0.498017879	Ovary_mean	0.498017879	Ovary_mean
TRINITY_DN103537_c0_g2_i1	NA	NA	NA	NA	-0.437493765	0.437493765	unbias	0.360648716	Testis_mean	0.360648716	Testis_mean
TRINITY_DN103544_c0_g1_i2	ssfa2	Chr09	57325703	57325703	0.12887718	0.12887718	unbias	0.471080709	Brain_mmean	0.471080709	Brain_mmean
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	-0.151183759	0.151183759	unbias	0.312515837	Ovary_mean	0.312515837	Ovary_mean
TRINITY_DN103557_c0_g2_i2	NA	NA	NA	NA	-0.172335761	0.172335761	unbias	0.328864962	Ovary_mean	0.328864962	Ovary_mean
TRINITY_DN103557_c0_g3_i1	NA	NA	NA	NA	-0.711745898	0.711745898	unbias	0.291222265	Ovary_mean	0.291222265	Ovary_mean
TRINITY_DN103558_c0_g1_i1	NA	NA	NA	NA	-0.072887724	0.072887724	unbias	0.252684802	G27_mmean	0.252684802	G27_mmean
TRINITY_DN103565_c0_g1_i1	NA	NA	NA	NA	-0.300867115	0.300867115	unbias	0.54370292	Ovary_mean	0.54370292	Ovary_mean
TRINITY_DN103567_c0_g1_i1	NA	NA	NA	NA	0.298986917	0.298986917	unbias	0.209787303	Ovary_mean	0.209787303	Ovary_mean
TRINITY_DN103615_c0_g1_i1	NA	NA	NA	NA	0.415295913	0.415295913	unbias	0.181753769	G27_fmean	0.181753769	G27_fmean
TRINITY_DN103621_c0_g1_i2	NA	NA	NA	NA	-0.402703043	0.402703043	unbias	0.700727109	Ovary_mean	0.700727109	Ovary_mean
TRINITY_DN103630_c0_g1_i1	NA	NA	NA	NA	0.084715034	0.084715034	unbias	0.316435943	Brain_mmean	0.316435943	Brain_mmean
TRINITY_DN103631_c0_g1_i1	wdr44	Chr08	45918035	45918035	0.242834355	0.242834355	unbias	0.473171897	G43_M_mean	0.473171897	G43_M_mean
TRINITY_DN103658_c0_g1_i1	NA	NA	NA	NA	-0.00208438	0.00208438	unbias	0.141191484	G23_mmean	0.141191484	G23_mmean
TRINITY_DN103662_c0_g1_i1	NA	NA	NA	NA	-0.308373426	0.308373426	unbias	0.513439842	Liver_fmean	0.513439842	Liver_fmean
TRINITY_DN103664_c1_g1_i1	NA	NA	NA	NA	-0.11883501	0.11883501	unbias	0.49181939	Brain_mmean	0.49181939	Brain_mmean
TRINITY_DN103666_c0_g1_i1	NA	NA	NA	NA	-0.240564046	0.240564046	unbias	0.750684052	Brain_mmean	0.750684052	Brain_mmean
TRINITY_DN103690_c0_g1_i1	NA	NA	NA	NA	0.691553477	0.691553477	unbias	0.750443052	Liver_mmean	0.750443052	Liver_mmean
TRINITY_DN103690_c0_g2_i1	NA	NA	NA	NA	-0.204329312	0.204329312	unbias	0.620728425	Liver_fmean	0.620728425	Liver_fmean
TRINITY_DN103706_c0_g3_i1	NA	NA	NA	NA	0.796283368	0.796283368	unbias	0.520641716	G27_mmean	0.520641716	G27_mmean
TRINITY_DN103714_c0_g1_i2	NA	NA	NA	NA	0.917449957	0.917449957	unbias	0.199844038	Liver_mmean	0.199844038	Liver_mmean
TRINITY_DN103714_c0_g2_i1	NA	NA	NA	NA	-0.341945786	0.341945786	unbias	0.466496704	Liver_fmean	0.466496704	Liver_fmean
TRINITY_DN103727_c0_g1_i1	NA	NA	NA	NA	-0.352710047	0.352710047	unbias	0.47096099	G23_fmean	0.47096099	G23_fmean
TRINITY_DN103733_c0_g2_i1	ubn2	Chr04	104819166	104819166	0.444751692	0.444751692	unbias	0.102185588	G27_fmean	0.102185588	G27_fmean
TRINITY_DN103744_c0_g1_i2	LOC100493204	Chr09	26892655	26892655	-0.171607826	0.171607826	unbias	0.161647171	G23_fmean	0.161647171	G23_fmean
