gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.Xxliver	bias	tau	tissue	tau	tissue	dNdS	dN	dS
TRINITY_DN108927_c0_g4_i1	gorab-like	Chr04	108029113	108029113	-0.011718531	0.011718531	unbias	0.322498714	Ovary_mean	0.322498714	Ovary_mean	0.1596	0.2324	1.456
TRINITY_DN108932_c0_g1_i1	gata4	scaffold_13	775423	775423	-0.062056346	0.062056346	unbias	0.386398318	Ovary_mean	0.386398318	Ovary_mean	0.1002	0.0906	0.9041
TRINITY_DN108997_c0_g1_i1	NA	NA	NA	NA	0.986406542	0.986406542	unbias	0.165058426	G27_mmean	0.165058426	G27_mmean	0.0581	0.0995	1.711
TRINITY_DN109101_c0_g2_i1	NA	NA	NA	NA	0.149937613	0.149937613	unbias	0.455714557	Ovary_mean	0.455714557	Ovary_mean	0.1856	0.1667	0.8984
TRINITY_DN109124_c0_g2_i2	NA	NA	NA	NA	-0.038156398	0.038156398	unbias	0.234747656	Brain_mmean	0.234747656	Brain_mmean	0.1062	0.2105	1.9825
TRINITY_DN109157_c0_g1_i1	NA	NA	NA	NA	-0.16698363	0.16698363	unbias	0.258600445	Ovary_mean	0.258600445	Ovary_mean	0.0156	0.0301	1.9237
TRINITY_DN109160_c0_g1_i1	rnmt	Chr06	87920054	87920054	0.586305287	0.586305287	unbias	0.173562251	Liver_mmean	0.173562251	Liver_mmean	0.1321	0.117	0.8858
TRINITY_DN109252_c0_g1_i2	NA	NA	NA	NA	0.634934364	0.634934364	unbias	0.597359884	Ovary_mean	0.597359884	Ovary_mean	0.1287	0.1821	1.4156
TRINITY_DN109275_c0_g1_i1	NA	NA	NA	NA	-0.126774878	0.126774878	unbias	0.514076437	Ovary_mean	0.514076437	Ovary_mean	0.0644	0.1112	1.7268
TRINITY_DN109277_c0_g2_i3	bckdhb	Chr05	79769178	79769178	0.258626917	0.258626917	unbias	0.306248417	G23_mmean	0.306248417	G23_mmean	0.1038	0.1589	1.5305
TRINITY_DN109298_c0_g1_i1	NA	NA	NA	NA	0.912603154	0.912603154	unbias	0.758613475	Liver_mmean	0.758613475	Liver_mmean	0.2703	0.5156	1.9072
TRINITY_DN109310_c0_g2_i2	NA	NA	NA	NA	-0.184243737	0.184243737	unbias	0.629992808	G43_M_mean	0.629992808	G43_M_mean	0.0443	0.0719	1.6242
TRINITY_DN109331_c0_g1_i1	NA	NA	NA	NA	-0.243269276	0.243269276	unbias	0.250276095	Ovary_mean	0.250276095	Ovary_mean	0.022	0.0175	0.7944
TRINITY_DN109423_c0_g1_i2	NA	NA	NA	NA	-0.435276391	0.435276391	unbias	0.302691416	G43_F_mean	0.302691416	G43_F_mean	0.1955	0.2882	1.4741
TRINITY_DN109424_c0_g2_i2	NA	NA	NA	NA	-0.311778703	0.311778703	unbias	0.517822092	Testis_mean	0.517822092	Testis_mean	0.0755	0.1195	1.5831
TRINITY_DN109430_c0_g5_i1	NA	NA	NA	NA	0.898258126	0.898258126	unbias	0.590125319	Ovary_mean	0.590125319	Ovary_mean	0.165	0.2426	1.4703
TRINITY_DN109454_c0_g1_i2	zc3h12a	Chr02	81310231	81310231	-0.344837477	0.344837477	unbias	0.268798673	Ovary_mean	0.268798673	Ovary_mean	0.2116	0.3049	1.4406
TRINITY_DN109459_c0_g1_i1	NA	NA	NA	NA	0.300447071	0.300447071	unbias	0.428867672	Brain_mmean	0.428867672	Brain_mmean	0.0437	0.0557	1.2764
TRINITY_DN109491_c0_g2_i1	NA	NA	NA	NA	-0.04241897	0.04241897	unbias	0.322026292	Testis_mean	0.322026292	Testis_mean	0.1369	0.1757	1.2834
TRINITY_DN109500_c0_g1_i1	NA	NA	NA	NA	-0.102675981	0.102675981	unbias	0.168483933	G23_mmean	0.168483933	G23_mmean	0.0275	0.0505	1.8368
TRINITY_DN109511_c0_g1_i1	eif3j-like	Chr03	115982238	115982238	-0.525331981	0.525331981	unbias	0.599485441	Brain_fmean	0.599485441	Brain_fmean	0.0263	0.0492	1.8727
TRINITY_DN109559_c0_g1_i1	NA	NA	NA	NA	-0.214773776	0.214773776	unbias	0.487463506	Liver_fmean	0.487463506	Liver_fmean	0.1326	0.2053	1.5487
TRINITY_DN109560_c0_g1_i1	NA	NA	NA	NA	0.314738714	0.314738714	unbias	0.567490799	Ovary_mean	0.567490799	Ovary_mean	0.1453	0.2157	1.4848
TRINITY_DN109625_c0_g1_i3	NA	NA	NA	NA	-0.221835715	0.221835715	unbias	0.347937566	Ovary_mean	0.347937566	Ovary_mean	0.0295	0.0547	1.8545
TRINITY_DN109635_c0_g2_i1	NA	NA	NA	NA	0.117986658	0.117986658	unbias	0.223051012	Brain_mmean	0.223051012	Brain_mmean	0.001	0.0007	0.6815
TRINITY_DN109640_c0_g2_i2	NA	NA	NA	NA	-0.583164464	0.583164464	unbias	0.319815009	Brain_fmean	0.319815009	Brain_fmean	0.0819	0.1633	1.9941
