gid	gname	chr	start	end	logCPM	logFC.MT.FO	PV.MT.FO	FDR.MT.FO
TRINITY_DN129285_c0_g1_i3	hand2	Chr01	39412802	39412802	5.64107747895129	3.006655899275	5.27655347506491e-16	9.04744578571987e-15
TRINITY_DN121407_c0_g1_i1	LOC100488610	Chr01	41360546	41360546	5.78162357313652	-2.04966923252068	1.31789215499944e-08	8.34080276245071e-08
TRINITY_DN125304_c0_g1_i1	glrb	Chr01	44226997	44226997	6.32551330644727	-4.08989116112733	1.78132173537112e-27	7.92462468706427e-26
TRINITY_DN128905_c8_g2_i1	LOC101730283	Chr01	45285232	45285232	4.12795515483895	-2.47915441319841	5.80523594378402e-11	5.35085196724713e-10
TRINITY_DN105698_c0_g1_i1	pet112	Chr01	46772336	46772336	1.51733116244086	2.24917295358238	0.00389993128388853	0.0089030941043217
TRINITY_DN131635_c0_g1_i2	usp38	Chr01	49976472	49976472	3.20183858743925	2.34722988740146	7.13060923397667e-05	0.000236121247733337
TRINITY_DN122980_c0_g2_i2	naa15	Chr01	51694092	51694092	2.23600033551916	2.3045504616325	5.92087631082793e-05	0.000199066351157506
TRINITY_DN125389_c0_g4_i1	LOC101733401-like	Chr01	58228452	58228452	3.88426017586642	-2.8538441925546	2.0415414795788e-05	7.46787299999155e-05
TRINITY_DN127850_c0_g1_i1	enpep	Chr01	58901065	58901065	2.27797726252396	-7.77460411132234	8.83866083701272e-21	2.35100137088933e-19
TRINITY_DN130872_c8_g5_i1	fabp2	Chr01	61428301	61428301	10.6886931457945	2.32325099203393	4.1752052801959e-08	2.41843997219875e-07
TRINITY_DN96535_c0_g2_i1	ndnf	Chr01	62015214	62015214	2.84684993531424	10.8567001286807	5.10087515587637e-30	2.58120117089602e-28
TRINITY_DN121138_c0_g1_i1	dapp1	Chr01	65208909	65208909	0.579357946370438	-3.3276367470875	7.66816284245673e-06	3.01728986880254e-05
TRINITY_DN128027_c3_g2_i2	LOC100487777	Chr01	65368064	65368064	2.60113081398943	4.07512920614839	5.25889324445415e-10	4.1935171776706e-09
TRINITY_DN115971_c0_g1_i1	LOC100487939	Chr01	65386604	65386604	1.84652719049442	2.32992682585064	1.05886866735863e-05	4.07306602502251e-05
TRINITY_DN136208_c0_g1_i3	mmrn1	Chr01	68973451	68973451	3.82253063357293	2.65881027358321	6.60325751732741e-12	6.88125767399297e-11
TRINITY_DN135835_c0_g1_i3	g3bp2	Chr01	70058310	70058310	7.1611154440985	-6.60529195979973	7.07890117706417e-92	3.10682082044151e-89
TRINITY_DN128559_c0_g1_i1	uso1-like	Chr01	70085904	70085904	1.57580820954468	-2.6056696253007	0.00020250862147037	0.000614990254051467
TRINITY_DN112264_c1_g2_i1	sppl2b	Chr01	73880850	73880850	1.59473297045287	9.57139359924115	4.71038028023978e-20	1.18392399510608e-18
TRINITY_DN127647_c0_g1_i3	gamt	Chr01	80577632	80577632	9.85556469167397	3.45374561416933	2.66353191356623e-17	5.16897324246671e-16
TRINITY_DN126871_c1_g2_i4	med16	Chr01	81842115	81842115	2.64273887154833	2.52596662415995	9.73058632238992e-07	4.52066058926704e-06
TRINITY_DN47986_c0_g1_i1	palm	Chr01	81998606	81998606	1.00396143903913	-2.96673336243469	3.5592781415868e-09	2.49861106574267e-08
TRINITY_DN123309_c0_g1_i3	pde4c-like	Chr01	84792338	84792338	4.08852173924664	-2.51930526065442	2.96224749917729e-09	2.10147380871073e-08
TRINITY_DN126761_c1_g1_i3	mpv17l2	Chr01	84893054	84893054	5.61852244325168	2.12116226460166	5.88313808319367e-06	2.36132566540003e-05
TRINITY_DN134579_c9_g3_i1	tpgs1	Chr01	86538887	86538887	0.628024340229861	-3.40570491392636	2.78322490132483e-08	1.65672297073645e-07
TRINITY_DN125509_c2_g4_i13	cdc34	Chr01	86547485	86547485	2.62036037957136	3.05125998968665	1.16870586422869e-06	5.34620269260918e-06
TRINITY_DN119417_c0_g1_i1	kxd1	Chr01	87476847	87476847	4.40235118602121	-2.30717806162773	3.66199469208315e-11	3.48370332900049e-10
TRINITY_DN115530_c0_g1_i1	c19orf60-like	Chr01	87500770	87500770	1.92222485252578	2.44628344351975	2.71372894887371e-06	1.15524570175706e-05
TRINITY_DN116220_c0_g1_i1	comp	Chr01	87999172	87999172	0.746603601575609	-4.93502549475219	1.25438071203781e-10	1.10105679269719e-09
TRINITY_DN135859_c1_g2_i3	rasgef1b	Chr01	88441809	88441809	5.91419153268929	2.11297877744633	1.90717914921287e-10	1.62046323690753e-09
TRINITY_DN116269_c0_g2_i1	slc26a1	Chr01	90427648	90427648	5.51657619704023	5.47671019959215	1.06712667694898e-34	6.80278352551107e-33
TRINITY_DN128634_c0_g1_i1	cds1	Chr01	92574911	92574911	6.98324607872591	-2.33133945655929	1.44545327698757e-13	1.88288439996635e-12
TRINITY_DN116454_c0_g1_i2	wdfy3-like	Chr01	92632164	92632164	0.625164109217318	3.99432365440256	1.93211100717304e-10	1.63981544833407e-09
TRINITY_DN117343_c0_g1_i1	foxe1	Chr01	95325677	95325677	5.54304976310235	-2.46016964507117	5.40612005342372e-16	9.24183309807011e-15
TRINITY_DN125165_c0_g1_i3	ugcg	Chr01	95778004	95778004	6.0156826503127	5.96344168521324	1.52547501917544e-52	2.06002312944508e-50
TRINITY_DN127572_c4_g1_i1	hsdl2	Chr01	96084504	96084504	5.17472583911714	-2.29967808476686	2.26085793013361e-13	2.86616202796053e-12
TRINITY_DN16115_c0_g1_i1	kiaa1958	Chr01	96148157	96148157	0.573032964572837	-8.46797422931231	1.53884750740972e-08	9.60338469075874e-08
TRINITY_DN122933_c2_g3_i2	dgkq	Chr01	98668745	98668745	6.21781090620901	3.12617796243706	4.38122985939711e-15	6.76054278912514e-14
TRINITY_DN122009_c0_g1_i1	LOC100492550	Chr01	98813361	98813361	6.85064673763357	-7.71743168599199	1.05017473883533e-44	1.05581884976652e-42
TRINITY_DN125571_c2_g3_i1	gdf1	Chr01	100408473	100408473	0.480081608380801	3.08946913241311	8.78828309303833e-07	4.120940964646e-06
TRINITY_DN126623_c3_g1_i2	gtpbp3-like	Chr01	101308420	101308420	5.06026316620946	3.0426140112957	2.54979302239263e-16	4.51796400287613e-15
TRINITY_DN123764_c1_g1_i1	yjefn3	Chr01	101461977	101461977	1.98052230440698	2.09703164971969	1.83823844691803e-05	6.77961826689775e-05
TRINITY_DN135160_c6_g1_i3	igfbpl1	Chr01	102887053	102887053	1.30738364938706	-9.2607287642045	2.86345361116878e-19	6.76498326232855e-18
TRINITY_DN107915_c0_g1_i1	LOC100485344	Chr01	103155831	103155831	8.06498437047656	4.49479137220364	1.23215245807754e-34	7.81116205506826e-33
TRINITY_DN127282_c0_g1_i2	aco1	Chr01	105077262	105077262	0.724844156449445	-2.2686268223307	4.63294490258944e-05	0.000158949291291185
TRINITY_DN132580_c2_g1_i1	adamtsl1	Chr01	106519021	106519021	2.35334808595866	-5.40571276992714	1.84800129043216e-14	2.65586180417146e-13
TRINITY_DN131158_c5_g2_i2	LOC100488523	Chr01	111913053	111913053	7.63076358241073	8.39432451627725	2.2808971724405e-83	7.33163877034326e-81
TRINITY_DN123736_c0_g2_i1	cdc37l1	Chr01	115087659	115087659	3.37446511656989	-2.04582943147429	0.00263545018611323	0.00626197232144468
TRINITY_DN87262_c0_g1_i1	LOC100486127-like	Chr01	116814354	116814354	1.64504209286132	-8.32317353899161	6.97916987998781e-10	5.47373720826193e-09
TRINITY_DN118778_c1_g1_i12	mamdc2	Chr01	117467899	117467899	3.99127842253798	-8.18841154514033	1.49813498657802e-05	5.61142896170748e-05
TRINITY_DN134558_c0_g3_i3	c9orf41	Chr01	119233708	119233708	4.64234629018504	2.82648285472428	8.76572809482651e-12	9.00321541764765e-11
TRINITY_DN134415_c0_g1_i7	ubqln1	Chr01	121852146	121852146	2.75638519212276	5.69905446317213	3.16582465694423e-21	8.73645106659992e-20
TRINITY_DN134985_c2_g2_i1	ctsv	Chr01	123183730	123183730	4.56886432589758	-2.1626758405252	7.91012311498993e-08	4.38273439500607e-07
TRINITY_DN128830_c0_g4_i4	aaed1	Chr01	124125662	124125662	3.54997597411767	3.34946817086066	1.7680688420686e-10	1.5118346614346e-09
TRINITY_DN124935_c0_g1_i2	diras2	Chr01	126193162	126193162	0.333592579723124	3.99413013491601	1.41036645566711e-08	8.87927813827166e-08
TRINITY_DN136095_c5_g1_i1	auh	Chr01	126397660	126397660	2.09449905663325	-2.41981336126773	5.39468330277289e-07	2.61784950746083e-06
TRINITY_DN180006_c0_g1_i1	rec8	Chr01	127110813	127110813	1.69185867822629	-7.80268679005782	1.94393595098898e-06	8.5022051118188e-06
TRINITY_DN135660_c1_g1_i2	ngdn	Chr01	127651085	127651085	2.8972645886727	2.00037633702367	0.00036962614034359	0.00105974972046751
TRINITY_DN128831_c1_g1_i1	ap1g2	Chr01	127741260	127741260	1.12759729716302	2.85053997332502	6.96642803708753e-08	3.89955343545108e-07
TRINITY_DN135842_c7_g1_i1	abhd4	Chr01	128927750	128927750	0.468216838156858	-5.19368956325805	4.94264880979042e-10	3.95793442586095e-09
TRINITY_DN126956_c1_g3_i1	rab2b	Chr01	129570029	129570029	1.18119919097643	2.4704355372808	7.25050317573705e-07	3.44157619543825e-06
TRINITY_DN215212_c0_g1_i1	LOC100498627	Chr01	131257426	131257426	1.91761181211976	-3.19378825349604	1.64954163418037e-08	1.0224290922125e-07
TRINITY_DN131607_c2_g2_i8	dtx1	Chr01	132610525	132610525	6.35552690741275	2.96735200480785	5.34959881359504e-17	1.01402445285603e-15
TRINITY_DN116994_c0_g2_i1	tbx5	Chr01	133487176	133487176	0.578412740687645	4.06976743645341	4.66022266315655e-09	3.20348197646262e-08
TRINITY_DN128829_c4_g3_i3	pam-like	Chr01	137311916	137311916	9.88499196921638	2.45879792604198	6.00278242526956e-10	4.73868905255973e-09
TRINITY_DN133418_c0_g1_i1	mmab	Chr01	138372445	138372445	5.74690789496865	-2.30980246014355	1.17680687928456e-17	2.36834978827444e-16
TRINITY_DN124680_c0_g1_i1	fam222a	Chr01	138619037	138619037	1.19510280210834	-3.94303113275649	3.98346241453694e-05	0.000138646605497273
TRINITY_DN132581_c0_g1_i5	crybb3	Chr01	139272933	139272933	3.31608624947929	-8.19504505828376	3.06951749281675e-37	2.23809994316498e-35
TRINITY_DN120776_c1_g5_i4	ccdc64	Chr01	142899975	142899975	3.2299970983396	4.13612393891173	2.28994955692285e-15	3.6393613362182e-14
TRINITY_DN126164_c0_g1_i1	bcr	Chr01	143946646	143946646	7.38617360629541	-2.15639496888198	2.63262049954073e-18	5.59419600004828e-17
TRINITY_DN94735_c0_g3_i1	fam211b	Chr01	144116504	144116504	1.15980652877802	3.46935199240328	9.67734538855075e-07	4.50084321291023e-06
TRINITY_DN129263_c4_g1_i3	ggt1	Chr01	144154082	144154082	0.144851670146858	3.06206001271025	0.00022741076867878	0.000682890600366727
TRINITY_DN134898_c1_g7_i3	vegt	Chr01	144396774	144396774	0.308953875151985	3.68534735376443	3.97905341910448e-06	1.64510791903627e-05
TRINITY_DN110753_c0_g1_i1	mmp11	Chr01	144714748	144714748	0.575352596216305	-3.97725684643239	5.7603522461709e-05	0.000194040972637804
TRINITY_DN123134_c0_g1_i8	slc25a1	Chr01	145064098	145064098	5.20512468617309	-2.02690377311585	6.90990615507309e-11	6.27528365583279e-10
TRINITY_DN133020_c2_g2_i3	mrpl40	Chr01	145751669	145751669	3.67735442934967	2.2456335367143	2.7521334033199e-10	2.28065317830671e-09
TRINITY_DN130905_c3_g2_i3	dgcr8	Chr01	146858325	146858325	5.21733127049176	-2.59232506976644	8.30459205456823e-14	1.10769959011897e-12
TRINITY_DN130950_c1_g2_i1	golga3-like	Chr01	147018401	147018401	1.63292248884518	2.47049455567634	2.41640031493146e-06	1.03698924383915e-05
TRINITY_DN129506_c3_g8_i2	piwil1	Chr01	149523693	149523693	4.07983961157485	2.79702000758783	4.14228400072322e-10	3.34993640908948e-09
TRINITY_DN126891_c4_g1_i3	dnah10	Chr01	152202210	152202210	2.16313287695107	-3.25159828513889	1.89703915961172e-07	9.91849431859306e-07
TRINITY_DN123981_c0_g1_i1	setd1b	Chr01	153526852	153526852	2.29677812944148	3.8908733995149	1.03555819061929e-11	1.05476759612874e-10
TRINITY_DN86592_c0_g2_i1	ift81	Chr01	153958425	153958425	1.69852389018953	-9.67350537247887	2.02574852026555e-26	8.52982153680817e-25
TRINITY_DN115925_c0_g1_i3	gpn3	Chr01	154172513	154172513	0.0676877370661698	2.50629410517825	2.34394682346319e-05	8.48430680492892e-05
TRINITY_DN121348_c0_g1_i1	myl2	Chr01	154883763	154883763	1.0734878344693	2.8834849059928	1.23080281369345e-06	5.60554416565794e-06
TRINITY_DN131538_c1_g3_i1	tmem116	Chr01	154948960	154948960	1.63892347673485	2.08876362235828	4.62445714891213e-05	0.000158705806093944
TRINITY_DN133153_c0_g1_i1	tesc	Chr01	156220320	156220320	6.19997554263436	3.66611858058198	1.24678457530725e-27	5.59019991702593e-26
TRINITY_DN129121_c4_g14_i1	taok3	Chr01	156808132	156808132	1.13999774467189	-4.93568527103362	7.56983135885226e-12	7.83486128216446e-11
TRINITY_DN134935_c0_g2_i1	slc12a2	Chr01	159210667	159210667	4.15522368847019	-3.07493631825327	1.16890576509805e-10	1.03198326387109e-09
TRINITY_DN133816_c2_g3_i2	arl14epl-like	Chr01	163243296	163243296	3.12770146486674	3.66846821018302	2.44594211191295e-08	1.47052926443828e-07
TRINITY_DN127623_c0_g1_i8	tmed7	Chr01	163396750	163396750	2.71589688371546	2.29382709247553	9.64574877317401e-07	4.48706234205824e-06
TRINITY_DN117287_c0_g1_i2	scamp1	Chr01	164207730	164207730	3.18247133225625	2.60517131024267	3.84530993446727e-10	3.1241603177078e-09
TRINITY_DN189998_c0_g1_i1	sv2c	Chr01	165245806	165245806	0.151748737342759	3.9767909615894	3.59697772341737e-08	2.10379870845287e-07
TRINITY_DN124648_c2_g2_i2	fam169a	Chr01	165740329	165740329	0.963271011308013	-3.6034182214762	4.67620764790905e-06	1.91118214435137e-05
TRINITY_DN124497_c3_g1_i2	ankra2	Chr01	166503856	166503856	6.26107815945071	-3.99001167753884	3.45563459928873e-35	2.26622105818872e-33
TRINITY_DN132872_c5_g3_i5	marveld2	Chr01	167456191	167456191	6.35643927677862	-2.65474421869351	2.81212168059945e-22	8.45563122459034e-21
TRINITY_DN38244_c0_g2_i1	rad17-like	Chr01	167485640	167485640	-0.0889425066189975	2.91052648743632	0.00445978835076814	0.0100524730608623
TRINITY_DN131310_c0_g1_i1	atg10-like	Chr01	168180809	168180809	1.62530791745058	2.18462220713145	3.27471895875342e-06	1.37710772206874e-05
TRINITY_DN84441_c0_g1_i1	xrcc4	Chr01	168535733	168535733	0.88622532624054	2.90331286943583	0.00151126027768066	0.00379260853939168
TRINITY_DN109468_c0_g1_i1	pik3r1-like	Chr01	173932735	173932735	1.05969314223989	6.09422460572869	4.00376580869135e-14	5.53111036839915e-13
TRINITY_DN130370_c3_g2_i1	cwc27-like	Chr01	175369840	175369840	0.53865508572947	-3.6778274038156	2.01454257982378e-09	1.46606794504905e-08
TRINITY_DN116928_c0_g1_i2	lrrc70	Chr01	175999858	175999858	4.55591471927424	3.01240177879224	5.11393839958327e-13	6.19152796579785e-12
TRINITY_DN132623_c1_g1_i1	elovl7	Chr01	176647919	176647919	0.311716486720441	2.07663707464478	0.000194896815626755	0.000593691287537881
TRINITY_DN115385_c0_g1_i1	hcn1	Chr01	181104515	181104515	1.9932995777772	-2.02200600058619	1.31777874013751e-05	4.97919642506926e-05
TRINITY_DN125609_c0_g1_i2	znf131	Chr01	182108399	182108399	2.10363227231233	2.68516835252657	5.81078169317174e-07	2.80426432229997e-06
TRINITY_DN129711_c1_g1_i1	capsl	Chr01	185311838	185311838	1.43226685852284	2.10796141483713	2.33001995839443e-05	8.43657234499092e-05
TRINITY_DN136267_c1_g13_i1	LOC101732467	Chr01	185384431	185384431	9.20502890373832	2.24729835909624	1.66441168726369e-06	7.37863316370085e-06
TRINITY_DN130670_c0_g1_i1	prlr	Chr01	185915221	185915221	1.93243199586618	2.88893210171606	1.84090150195393e-06	8.08565320969833e-06
TRINITY_DN128845_c0_g1_i1	rai14	Chr01	186022637	186022637	5.5587299591505	-2.47298943849276	1.695578427323e-15	2.74397368682987e-14
TRINITY_DN95815_c0_g1_i1	npr3-like	Chr01	187408914	187408914	0.993052467346562	2.62481849590119	2.61836848348742e-07	1.33500456885663e-06
TRINITY_DN109883_c0_g1_i1	mtmr12	Chr01	187505024	187505024	3.01188822486762	-6.00675644116305	7.07568039952807e-25	2.67352943837797e-23
TRINITY_DN124312_c1_g1_i1	ccdc68	Chr01	189998238	189998238	2.10814824577629	2.97883824179406	3.12546184135935e-08	1.84695210107465e-07
TRINITY_DN88001_c0_g3_i1	gpa33	Chr02	1711393	1711393	3.02175019751722	2.98192569785595	0.00182156123176584	0.0045025095235958
TRINITY_DN114086_c0_g1_i1	gja5	Chr02	4397539	4397539	0.976327353157413	4.41543776882659	6.42005585539376e-12	6.70258530337586e-11
TRINITY_DN107229_c0_g1_i1	cbr3	Chr02	9369579	9369579	3.66472543385502	-3.93927345698181	2.95467191489297e-06	1.25058461501646e-05
TRINITY_DN115683_c0_g1_i2	donson	Chr02	10021947	10021947	6.56489195082381	-3.2405033264013	3.10619557165014e-13	3.8631932063324e-12
TRINITY_DN121679_c0_g1_i1	app	Chr02	14238747	14238747	2.4213853247457	3.87969572610238	8.12297879775275e-07	3.83180285494653e-06
TRINITY_DN129944_c2_g1_i1	gabpa	Chr02	14396518	14396518	3.7651336509316	2.74774616776802	1.84853270388649e-11	1.82866117763752e-10
TRINITY_DN136816_c0_g1_i1	gabrr3	Chr02	16485667	16485667	2.03407206188054	4.60227749908293	1.41020500896225e-16	2.56443814458457e-15
TRINITY_DN129870_c1_g2_i3	Xetrov90004173m	Chr02	19168214	19168214	0.116524979663159	2.47125393092591	2.26048001424962e-05	8.20039340092273e-05
TRINITY_DN183163_c0_g1_i1	gbe1-like	Chr02	20392922	20392922	2.08949487754411	-8.68486387116334	2.64611659729809e-16	4.67774384070774e-15
TRINITY_DN116710_c0_g1_i1	rbm11	Chr02	22361782	22361782	1.2706124087705	-3.38164129319276	7.80230170638522e-09	5.13893591755046e-08
TRINITY_DN129042_c7_g5_i3	nufip2	Chr02	25447958	25447958	4.91865587323896	-6.4811800371346	3.45141025520004e-53	4.74506535205876e-51
TRINITY_DN125828_c2_g2_i3	sez6	Chr02	26232354	26232354	5.62915280883438	-6.76898676031364	9.90802131548773e-64	1.93265694412018e-61
TRINITY_DN124306_c2_g2_i1	flot2	Chr02	26464471	26464471	2.27429233780755	-2.82166782396461	7.66869656227628e-05	0.000252037720253844
TRINITY_DN114443_c0_g1_i1	vtn	Chr02	27347835	27347835	4.6823778664252	-4.95290382035412	3.28172771359739e-39	2.63716865773661e-37
TRINITY_DN127177_c1_g1_i1	smg6	Chr02	27419260	27419260	1.63079390083656	8.20355474071721	1.99616344576696e-06	8.71393308326194e-06
TRINITY_DN136054_c1_g1_i2	ovca2	Chr02	27758714	27758714	4.18379359368741	-3.16456362052922	2.49965127726532e-15	3.95885089866407e-14
TRINITY_DN107077_c0_g2_i1	Xetrov90004309m	Chr02	27773007	27773007	3.03197851377785	4.53189496388522	2.63775638056662e-12	2.91378877624837e-11
TRINITY_DN118765_c0_g2_i2	rtn4rl1	Chr02	28055999	28055999	1.01469385764481	3.28917670153972	5.74693244970408e-09	3.87234993702824e-08
TRINITY_DN122709_c0_g1_i1	kal1	Chr02	28711469	28711469	1.67302558498969	4.69496851163488	1.09809915228914e-15	1.80944540458793e-14
TRINITY_DN118260_c1_g2_i1	LOC100493838-like	Chr02	30395779	30395779	0.795350185519868	2.87847042484497	9.80166731436423e-06	3.79077531686868e-05
TRINITY_DN132858_c0_g7_i1	arx	Chr02	36360919	36360919	3.38681782164836	2.93295169464246	4.01893396433993e-09	2.79208861291221e-08
TRINITY_DN134499_c1_g3_i1	prdx4	Chr02	37014930	37014930	2.64050727723746	2.00511766825519	8.46396349480627e-05	0.000275516438280514
TRINITY_DN131202_c3_g1_i1	limk1	Chr02	37624113	37624113	2.91137302762912	2.52589289609776	1.5188435374459e-05	5.6806042627975e-05
TRINITY_DN121709_c1_g3_i3	supt4h1	Chr02	38432655	38432655	5.44229435840477	-6.46515747511248	7.29709780724934e-50	9.00185763011052e-48
TRINITY_DN129802_c0_g12_i1	arsd	Chr02	38727829	38727829	1.47848745748452	5.25122759747667	5.05396865276627e-08	2.89584917382455e-07
TRINITY_DN136458_c4_g3_i1	map3k15	Chr02	38942920	38942920	1.54402808984192	3.49990227334058	1.18710261974486e-08	7.56972785353931e-08
TRINITY_DN110881_c0_g1_i1	pitpna	Chr02	39723239	39723239	0.752074661417109	-4.22554611971678	1.67747963959057e-11	1.67103624333199e-10
TRINITY_DN135585_c3_g1_i1	scarf1	Chr02	39858649	39858649	5.00943389462273	-7.66230600638759	1.1057874743762e-34	7.0296049415637e-33
TRINITY_DN125575_c4_g3_i1	rilp	Chr02	39906683	39906683	2.07097293975153	2.8973836061157	2.56734734622506e-08	1.53663784777205e-07
TRINITY_DN117397_c0_g1_i1	hip1	Chr02	44481656	44481656	1.38710364701084	2.94753759978864	1.45031991450074e-08	9.10319061846419e-08
TRINITY_DN111971_c0_g1_i1	LOC100496213	Chr02	44575106	44575106	1.19456112025261	-4.30161732218236	1.75439633460571e-11	1.74006228371888e-10
TRINITY_DN110037_c0_g1_i1	c1orf74	Chr02	46363290	46363290	2.78927856662814	-2.77721184431556	4.47116629276707e-11	4.19059372211622e-10
TRINITY_DN125527_c1_g1_i1	pvrl3	Chr02	50722106	50722106	1.27138383191399	2.03203329638725	1.51257562819694e-05	5.65808899962475e-05
TRINITY_DN126180_c0_g1_i1	znf593	Chr02	51154177	51154177	2.89405291982861	-2.71903918478724	5.30041560422312e-07	2.57484216516773e-06
TRINITY_DN121465_c4_g2_i1	dhdds	Chr02	51700887	51700887	5.07402207823141	2.73044778194587	2.73004015941128e-12	3.00990224725045e-11
TRINITY_DN124267_c8_g1_i2	nudc	Chr02	51999373	51999373	1.87079833195036	-2.00822835254208	0.00896063853390281	0.0187511179736595
TRINITY_DN70925_c0_g2_i1	kdf1	Chr02	52020407	52020407	1.48443721679935	-6.22584771862339	1.35062421492372e-17	2.69204767100342e-16
TRINITY_DN115713_c0_g1_i1	phactr4	Chr02	52520516	52520516	5.36120636209284	-3.27300420931866	1.66350730266599e-28	7.89008109552157e-27
TRINITY_DN123285_c0_g2_i2	oprd1	Chr02	52800257	52800257	0.656398946081381	4.20171043146989	2.57069145353975e-07	1.31337184581787e-06
TRINITY_DN134451_c0_g1_i4	serinc2	Chr02	53268687	53268687	1.54077551550846	2.07002191368548	6.70170425001954e-06	2.66225055516007e-05
TRINITY_DN124062_c1_g1_i1	Xetrov90004847m	Chr02	53354833	53354833	1.35986548389248	2.50648259583991	1.622624995872e-06	7.21159642761262e-06
TRINITY_DN108541_c0_g1_i1	matn1	Chr02	57375054	57375054	6.19375967364087	-2.4140694882829	1.15016816138108e-22	3.58594778402173e-21
TRINITY_DN131082_c0_g1_i5	Xetrov90004957m	Chr02	58657498	58657498	6.91631961998364	4.06502209903902	6.79170875403226e-17	1.27195764359554e-15
