RBH	gid	dnds	dn	ds	gname	chr	start	end
RBH_pair_37.fa.best.phy	TRINITY_DN101809_c0_g1_i2	0.0979	0.1516	1.5493	LOC101732244	Chr05	59159234	59159234
RBH_pair_38.fa.best.phy	TRINITY_DN101821_c0_g1_i1	0.1315	0.1055	0.8024	cbln2	scaffold_21	2082425	2082425
RBH_pair_41.fa.best.phy	TRINITY_DN101903_c0_g2_i2	0.1532	0.1723	1.1247	rnft1	Chr02	87452051	87452051
RBH_pair_43.fa.best.phy	TRINITY_DN101930_c0_g2_i1	0.0239	0.0328	1.3695	Xetrov90023650m	Chr09	29269688	29269688
RBH_pair_44.fa.best.phy	TRINITY_DN101930_c0_g4_i3	0.061	0.0665	1.0894	shisa9	Chr09	29082713	29082713
RBH_pair_45.fa.best.phy	TRINITY_DN101953_c0_g1_i3	0.1123	0.1753	1.5602	NA	NA	NA	NA
RBH_pair_47.fa.best.phy	TRINITY_DN102026_c0_g1_i2	0.0728	0.1038	1.4255	gjb7	Chr05	87154347	87154347
RBH_pair_48.fa.best.phy	TRINITY_DN102065_c0_g1_i1	0.0308	0.0476	1.5475	uck2	Chr04	108945411	108945411
RBH_pair_49.fa.best.phy	TRINITY_DN102078_c0_g1_i1	0.0307	0.0444	1.4466	adsl	Chr04	111381918	111381918
RBH_pair_51.fa.best.phy	TRINITY_DN102162_c0_g1_i1	0.1384	0.2751	1.9882	LOC100486925-like	Chr09	18751230	18751230
RBH_pair_52.fa.best.phy	TRINITY_DN102167_c0_g1_i2	0.0123	0.0161	1.3059	ccdc6	Chr07	8097857	8097857
RBH_pair_53.fa.best.phy	TRINITY_DN102186_c0_g1_i2	0.0695	0.1113	1.6012	LOC100488185	scaffold_5850	707	707
RBH_pair_55.fa.best.phy	TRINITY_DN102198_c0_g1_i3	0.118	0.1657	1.4038	LOC100485437	Chr01	67211793	67211793
RBH_pair_59.fa.best.phy	TRINITY_DN102279_c0_g1_i1	0.0769	0.1219	1.5862	cars	scaffold_1089	131	131
RBH_pair_60.fa.best.phy	TRINITY_DN102288_c0_g1_i1	0.1168	0.1976	1.6917	mboat1	Chr06	47429669	47429669
RBH_pair_61.fa.best.phy	TRINITY_DN102312_c0_g1_i1	0.2088	0.248	1.1875	ag1	Chr09	55633147	55633147
RBH_pair_62.fa.best.phy	TRINITY_DN102393_c0_g1_i1	0.168	0.2435	1.4497	Xetrov90003677m	Chr01	185960157	185960157
RBH_pair_63.fa.best.phy	TRINITY_DN102400_c0_g1_i1	0.0704	0.1202	1.7079	mrpl22	Chr03	10915763	10915763
RBH_pair_64.fa.best.phy	TRINITY_DN102455_c0_g1_i1	0.128	0.2116	1.6526	tprg1-like	Chr05	100117567	100117567
RBH_pair_65.fa.best.phy	TRINITY_DN102459_c0_g1_i1	0.0406	0.072	1.7709	stk32a	Chr03	34227746	34227746
RBH_pair_66.fa.best.phy	TRINITY_DN102469_c0_g1_i1	0.1875	0.3205	1.7093	themis2	Chr02	53702359	53702359
RBH_pair_67.fa.best.phy	TRINITY_DN10248_c0_g1_i1	0.1519	0.2049	1.349	Xetrov90019262m	Chr07	104625954	104625954
RBH_pair_68.fa.best.phy	TRINITY_DN102493_c0_g1_i1	0.038	0.0702	1.8454	gclc	Chr05	114371420	114371420
RBH_pair_70.fa.best.phy	TRINITY_DN102500_c0_g1_i1	0.0467	0.0534	1.1438	ror2	Chr01	126678883	126678883
RBH_pair_71.fa.best.phy	TRINITY_DN102539_c0_g1_i1	0.1183	0.1998	1.6879	plxnb3	Chr08	3112250	3112250
RBH_pair_73.fa.best.phy	TRINITY_DN102581_c0_g1_i2	0.1789	0.2786	1.5577	xkr5	scaffold_13	875624	875624
RBH_pair_74.fa.best.phy	TRINITY_DN102595_c0_g1_i2	0.0532	0.0718	1.3508	LOC100494840-like	Chr02	109773283	109773283
RBH_pair_76.fa.best.phy	TRINITY_DN102921_c0_g1_i1	0.0435	0.0728	1.6749	chrna10	scaffold_405	57410	57410
RBH_pair_77.fa.best.phy	TRINITY_DN103107_c0_g1_i1	0.1794	0.2865	1.5972	glrx	Chr01	172667785	172667785
RBH_pair_78.fa.best.phy	TRINITY_DN103150_c0_g1_i1	0.0816	0.1245	1.5262	mmp23b	Chr07	70923653	70923653
RBH_pair_79.fa.best.phy	TRINITY_DN103157_c0_g1_i2	0.0471	0.0801	1.6985	ttc8	Chr08	65044076	65044076
RBH_pair_83.fa.best.phy	TRINITY_DN103209_c0_g3_i2	0.1141	0.2017	1.7681	ndufs5	Chr02	86345570	86345570
RBH_pair_84.fa.best.phy	TRINITY_DN103509_c0_g1_i1	0.1007	0.1285	1.2759	comt.2	Chr01	146432864	146432864
RBH_pair_85.fa.best.phy	TRINITY_DN103526_c0_g1_i1	0.0511	0.0908	1.7749	rgs9bp	Chr10	16566157	16566157
RBH_pair_88.fa.best.phy	TRINITY_DN103549_c0_g1_i1	0.0579	0.1024	1.7679	txnrd3	Chr04	122921580	122921580
RBH_pair_91.fa.best.phy	TRINITY_DN103584_c0_g2_i1	0.0662	0.0951	1.4364	gabra6	Chr03	15262639	15262639
RBH_pair_92.fa.best.phy	TRINITY_DN103614_c0_g2_i2	0.1832	0.178	0.972	gal.2	Chr07	104595194	104595194
RBH_pair_94.fa.best.phy	TRINITY_DN103621_c0_g1_i2	0.1704	0.2308	1.3544	parpbp	Chr03	39656922	39656922
RBH_pair_95.fa.best.phy	TRINITY_DN103622_c0_g3_i3	0.1036	0.1679	1.6208	rcor2	Chr04	40885768	40885768
RBH_pair_97.fa.best.phy	TRINITY_DN103653_c0_g1_i1	0.0311	0.0462	1.4862	gpr22	Chr03	66920676	66920676
RBH_pair_98.fa.best.phy	TRINITY_DN103657_c0_g2_i2	0.0024	0.0042	1.7295	LOC100485411	scaffold_4959	981	981
RBH_pair_102.fa.best.phy	TRINITY_DN103698_c0_g1_i1	0.009	0.0124	1.3701	kctd15	Chr04	19757914	19757914
RBH_pair_103.fa.best.phy	TRINITY_DN103704_c0_g1_i1	0.1949	0.2886	1.4806	LOC594890	Chr08	106161888	106161888
RBH_pair_106.fa.best.phy	TRINITY_DN103720_c0_g1_i2	0.1192	0.1809	1.5179	enpp6	Chr01	35674507	35674507
RBH_pair_109.fa.best.phy	TRINITY_DN103776_c0_g1_i1	0.2604	0.4291	1.6479	LOC101732853	Chr02	50935698	50935698
RBH_pair_110.fa.best.phy	TRINITY_DN103783_c0_g1_i1	0.1565	0.2719	1.738	fam175a	Chr01	123992821	123992821
RBH_pair_113.fa.best.phy	TRINITY_DN103838_c0_g1_i1	0.0743	0.1212	1.6324	kpna7	Chr09	38771710	38771710
RBH_pair_114.fa.best.phy	TRINITY_DN103847_c0_g1_i1	0.1055	0.1629	1.544	baiap2l2	Chr04	111859570	111859570
RBH_pair_115.fa.best.phy	TRINITY_DN103855_c0_g1_i1	0.0197	0.0249	1.2626	osr2	Chr06	113922956	113922956
RBH_pair_116.fa.best.phy	TRINITY_DN103859_c0_g1_i1	0.1828	0.3626	1.9837	amh	Chr01	83615433	83615433
RBH_pair_118.fa.best.phy	TRINITY_DN103862_c0_g1_i1	0.1276	0.1747	1.3689	LOC100487773	Chr02	37561839	37561839
RBH_pair_119.fa.best.phy	TRINITY_DN103877_c0_g1_i1	0.0853	0.1265	1.4828	gcm2	Chr06	84667355	84667355
RBH_pair_122.fa.best.phy	TRINITY_DN103891_c0_g1_i1	0.077	0.1254	1.6285	pyy	Chr10	13786682	13786682
RBH_pair_123.fa.best.phy	TRINITY_DN103896_c0_g1_i2	0.136	0.2344	1.7238	anxa9	Chr08	106137096	106137096
RBH_pair_126.fa.best.phy	TRINITY_DN103989_c0_g1_i1	0.0885	0.1434	1.6201	mrpl3	Chr06	72005147	72005147
RBH_pair_131.fa.best.phy	TRINITY_DN104173_c0_g1_i1	0.1217	0.2082	1.7112	efs	Chr01	127517336	127517336
RBH_pair_132.fa.best.phy	TRINITY_DN104207_c0_g1_i1	0.1071	0.1454	1.358	LOC100487349	Chr06	61545114	61545114
RBH_pair_133.fa.best.phy	TRINITY_DN104287_c1_g1_i1	0.0892	0.173	1.9391	cln3-like	scaffold_318	151386	151386
RBH_pair_136.fa.best.phy	TRINITY_DN104339_c0_g1_i2	0.0099	0.0157	1.5775	tnpo2-like	scaffold_185	20529	20529
RBH_pair_137.fa.best.phy	TRINITY_DN104365_c0_g3_i1	0.0999	0.1188	1.1895	pwwp2b-like	Chr07	12596159	12596159
RBH_pair_138.fa.best.phy	TRINITY_DN104396_c0_g1_i1	0.1073	0.1829	1.705	LOC100498586	Chr09	36550300	36550300
RBH_pair_139.fa.best.phy	TRINITY_DN104428_c0_g1_i2	0.0885	0.1168	1.3195	abhd6	scaffold_87	401904	401904
RBH_pair_140.fa.best.phy	TRINITY_DN104434_c0_g2_i1	0.174	0.3138	1.8029	NA	NA	NA	NA
RBH_pair_143.fa.best.phy	TRINITY_DN104464_c0_g1_i1	0.0939	0.1014	1.0793	fam57a	Chr02	92704574	92704574
RBH_pair_145.fa.best.phy	TRINITY_DN104508_c0_g2_i3	0.1025	0.1619	1.579	yipf1	Chr04	87243607	87243607
RBH_pair_148.fa.best.phy	TRINITY_DN104654_c0_g1_i1	0.0931	0.1819	1.954	mex3d	Chr01	79764930	79764930
RBH_pair_149.fa.best.phy	TRINITY_DN104658_c0_g2_i1	0.1356	0.241	1.7772	fam174b-like	Chr03	102411396	102411396
RBH_pair_150.fa.best.phy	TRINITY_DN104667_c0_g1_i3	0.0959	0.1441	1.5034	palm	Chr01	81998606	81998606
RBH_pair_151.fa.best.phy	TRINITY_DN104694_c0_g1_i1	0.0241	0.0443	1.8389	rptor	Chr10	18906946	18906946
RBH_pair_152.fa.best.phy	TRINITY_DN104721_c0_g1_i1	0.0491	0.078	1.5902	LOC100036725	Chr07	964038	964038
RBH_pair_153.fa.best.phy	TRINITY_DN104732_c0_g1_i1	0.2624	0.4046	1.5421	tspan32	Chr04	13040934	13040934
RBH_pair_154.fa.best.phy	TRINITY_DN104740_c0_g1_i2	0.0484	0.0932	1.925	pdcd6	Chr06	38397611	38397611
RBH_pair_156.fa.best.phy	TRINITY_DN104751_c0_g1_i2	0.0416	0.06	1.4428	use1	Chr01	99717791	99717791
RBH_pair_159.fa.best.phy	TRINITY_DN104786_c0_g1_i1	0.1946	0.2884	1.4816	LOC100486516-like	Chr06	6656602	6656602
RBH_pair_160.fa.best.phy	TRINITY_DN104789_c0_g1_i1	0.0323	0.0551	1.704	ptf1a	Chr06	18183506	18183506
RBH_pair_161.fa.best.phy	TRINITY_DN104801_c0_g1_i1	0.0525	0.0603	1.1476	desi1	Chr04	103997688	103997688
RBH_pair_162.fa.best.phy	TRINITY_DN104812_c0_g1_i2	0.0791	0.1036	1.3096	med20	Chr02	62402684	62402684
RBH_pair_167.fa.best.phy	TRINITY_DN104972_c0_g1_i2	0.0377	0.0743	1.9699	atp5l	Chr07	84964187	84964187
RBH_pair_168.fa.best.phy	TRINITY_DN105030_c0_g1_i1	0.0674	0.0767	1.1379	tacr3	Chr01	63787145	63787145
RBH_pair_170.fa.best.phy	TRINITY_DN105056_c0_g1_i3	0.0876	0.1117	1.2757	hand1	Chr03	9256025	9256025
RBH_pair_171.fa.best.phy	TRINITY_DN105060_c0_g2_i3	0.0429	0.0716	1.6683	rprd1b	Chr06	35971551	35971551
RBH_pair_172.fa.best.phy	TRINITY_DN105062_c0_g1_i1	0.1007	0.1697	1.6853	Xetrov90030432m	scaffold_78	248594	248594
RBH_pair_173.fa.best.phy	TRINITY_DN105074_c0_g4_i1	0.0429	0.0726	1.6918	LOC100498264	Chr05	108023296	108023296
RBH_pair_175.fa.best.phy	TRINITY_DN105151_c0_g1_i1	0.204	0.4034	1.978	LOC100485425-like	Chr04	127401326	127401326
RBH_pair_177.fa.best.phy	TRINITY_DN105232_c0_g1_i1	0.0514	0.0662	1.2874	nkx2-5	Chr03	33912953	33912953
RBH_pair_180.fa.best.phy	TRINITY_DN105273_c0_g1_i2	0.1152	0.2008	1.743	tmem150b	Chr07	106307382	106307382
RBH_pair_182.fa.best.phy	TRINITY_DN105372_c0_g2_i1	0.0978	0.1708	1.7466	fam129b	Chr08	12056448	12056448
RBH_pair_183.fa.best.phy	TRINITY_DN105387_c0_g2_i3	0.0502	0.0665	1.3255	pax8	Chr03	108467162	108467162
RBH_pair_184.fa.best.phy	TRINITY_DN105400_c0_g1_i3	0.1525	0.2011	1.3186	zdhhc1	Chr04	51809224	51809224
RBH_pair_188.fa.best.phy	TRINITY_DN105438_c0_g1_i1	0.0759	0.0932	1.2285	LOC100492550	Chr01	98813361	98813361
RBH_pair_189.fa.best.phy	TRINITY_DN105440_c0_g1_i1	0.05	0.0838	1.6769	kcnq1-like	Chr04	15895945	15895945
RBH_pair_190.fa.best.phy	TRINITY_DN105441_c0_g2_i3	0.0128	0.0124	0.9683	ccnc	Chr05	36244783	36244783
RBH_pair_193.fa.best.phy	TRINITY_DN105496_c0_g1_i1	0.0578	0.102	1.7627	slc2a9	Chr01	18216490	18216490
RBH_pair_194.fa.best.phy	TRINITY_DN105503_c0_g2_i1	0.1659	0.2879	1.736	Xetrov90002548m	Chr01	129276645	129276645
RBH_pair_197.fa.best.phy	TRINITY_DN105560_c0_g1_i2	0.1374	0.1843	1.3417	galm	Chr05	51861623	51861623
RBH_pair_198.fa.best.phy	TRINITY_DN105578_c0_g1_i1	0.1479	0.2113	1.4289	ipmk	Chr07	7302223	7302223
RBH_pair_199.fa.best.phy	TRINITY_DN105592_c1_g1_i2	0.1597	0.2378	1.4894	rfesd-like	Chr01	172602337	172602337
RBH_pair_200.fa.best.phy	TRINITY_DN105601_c0_g1_i1	0.0889	0.1503	1.6911	exd2	Chr08	89479970	89479970
RBH_pair_201.fa.best.phy	TRINITY_DN105618_c0_g1_i1	0.0855	0.0799	0.9341	Xetrov90015954m	Chr06	35027336	35027336
RBH_pair_204.fa.best.phy	TRINITY_DN105647_c0_g2_i1	0.5406	0.7804	1.4436	ccnb1	Chr01	173679416	173679416
RBH_pair_206.fa.best.phy	TRINITY_DN105705_c0_g1_i1	0.1537	0.2185	1.4217	fam105a	Chr06	59770991	59770991
RBH_pair_208.fa.best.phy	TRINITY_DN105721_c0_g1_i1	0.1036	0.1411	1.363	ca3	Chr06	110349520	110349520
RBH_pair_209.fa.best.phy	TRINITY_DN105726_c0_g1_i1	0.0788	0.1018	1.2921	LOC100486587-like	Chr08	56863883	56863883
RBH_pair_211.fa.best.phy	TRINITY_DN105744_c0_g1_i1	0.0641	0.1136	1.7726	nppc	Chr05	108341333	108341333
RBH_pair_215.fa.best.phy	TRINITY_DN105885_c0_g1_i1	0.0701	0.1062	1.5145	mettl11b	Chr04	108180151	108180151
RBH_pair_217.fa.best.phy	TRINITY_DN105902_c0_g1_i1	0.0651	0.0739	1.1351	aff4	Chr03	28326706	28326706
RBH_pair_218.fa.best.phy	TRINITY_DN105940_c0_g1_i2	0.0124	0.0153	1.2403	LOC100486956-like.1	Chr04	14163381	14163381
RBH_pair_220.fa.best.phy	TRINITY_DN106065_c0_g1_i2	0.0442	0.0531	1.2023	slc30a5	Chr01	173689269	173689269
RBH_pair_221.fa.best.phy	TRINITY_DN106090_c0_g2_i1	0.1269	0.1557	1.227	mrps36	Chr05	63122423	63122423
RBH_pair_222.fa.best.phy	TRINITY_DN106100_c0_g2_i1	0.0313	0.0286	0.9137	otud7a-like	Chr03	86979374	86979374
RBH_pair_223.fa.best.phy	TRINITY_DN106101_c0_g1_i1	0.031	0.0387	1.2467	tram1	Chr06	105490637	105490637
RBH_pair_224.fa.best.phy	TRINITY_DN106130_c0_g1_i1	0.0757	0.144	1.9021	rln3	Chr03	129925810	129925810
RBH_pair_226.fa.best.phy	TRINITY_DN106189_c0_g2_i1	0.1266	0.2486	1.964	LOC100497740	Chr07	108043418	108043418
RBH_pair_232.fa.best.phy	TRINITY_DN106296_c0_g1_i1	0.0329	0.0368	1.1181	dyrk2	Chr03	49072263	49072263
RBH_pair_234.fa.best.phy	TRINITY_DN106339_c0_g2_i1	0.0741	0.1206	1.6271	LOC100486355-like	scaffold_896	43288	43288
RBH_pair_236.fa.best.phy	TRINITY_DN106354_c0_g2_i1	0.044	0.0704	1.599	grip2	Chr04	122293021	122293021
RBH_pair_237.fa.best.phy	TRINITY_DN106366_c0_g5_i1	0.0889	0.1226	1.3783	klf2	Chr01	100271353	100271353
RBH_pair_238.fa.best.phy	TRINITY_DN106368_c0_g2_i1	0.0957	0.1369	1.43	aplnr	Chr01	131383517	131383517
RBH_pair_239.fa.best.phy	TRINITY_DN106392_c0_g2_i2	0.0667	0.1122	1.683	glb1l	Chr06	67264339	67264339
RBH_pair_243.fa.best.phy	TRINITY_DN106464_c0_g2_i1	0.0366	0.0529	1.4454	Xetrov90018212m	Chr07	50883831	50883831
RBH_pair_244.fa.best.phy	TRINITY_DN106465_c0_g1_i1	0.0281	0.0393	1.3971	cope	Chr01	100431498	100431498
RBH_pair_245.fa.best.phy	TRINITY_DN106476_c0_g1_i1	0.0371	0.0623	1.678	isyna1	Chr01	87331353	87331353
RBH_pair_246.fa.best.phy	TRINITY_DN106492_c0_g1_i4	0.0316	0.0313	0.9892	chst11	Chr03	40488991	40488991
RBH_pair_248.fa.best.phy	TRINITY_DN106515_c0_g1_i1	0.1088	0.1004	0.9227	hoxb5	Chr10	5080375	5080375
RBH_pair_249.fa.best.phy	TRINITY_DN106620_c0_g1_i1	0.0532	0.0741	1.3921	prickle1	Chr03	55250903	55250903
RBH_pair_252.fa.best.phy	TRINITY_DN106706_c0_g1_i4	0.1394	0.1304	0.9357	cuta	Chr08	50865378	50865378
RBH_pair_253.fa.best.phy	TRINITY_DN106733_c0_g1_i1	0.1025	0.1451	1.4155	faim2	Chr02	145414357	145414357
RBH_pair_254.fa.best.phy	TRINITY_DN106770_c0_g1_i1	0.1547	0.2466	1.5939	clmp	Chr07	54568743	54568743
RBH_pair_255.fa.best.phy	TRINITY_DN106792_c0_g3_i1	0.066	0.094	1.4245	LOC100498620	Chr04	127594386	127594386
RBH_pair_256.fa.best.phy	TRINITY_DN106830_c0_g1_i1	0.1006	0.1262	1.2535	adtrp	Chr06	85070376	85070376
RBH_pair_258.fa.best.phy	TRINITY_DN106866_c0_g3_i1	0.1521	0.2141	1.4072	gimd1-like	Chr01	62758737	62758737
RBH_pair_259.fa.best.phy	TRINITY_DN106899_c0_g2_i1	0.2917	0.4423	1.5162	LOC101734474	Chr03	83113671	83113671
RBH_pair_261.fa.best.phy	TRINITY_DN106942_c0_g1_i1	0.0487	0.0873	1.7914	pcgf2	Chr10	4436049	4436049
RBH_pair_263.fa.best.phy	TRINITY_DN106959_c0_g2_i1	0.0436	0.0812	1.8649	Xetrov90016523m	Chr06	82038096	82038096
RBH_pair_264.fa.best.phy	TRINITY_DN107055_c0_g1_i1	0.0649	0.0856	1.3191	chst3	Chr07	51063949	51063949
RBH_pair_266.fa.best.phy	TRINITY_DN107124_c0_g2_i1	0.0575	0.1027	1.7878	LOC101734133-like	Chr03	108075044	108075044
RBH_pair_267.fa.best.phy	TRINITY_DN107137_c0_g1_i1	0.0668	0.0888	1.3286	lzts1	Chr03	119041962	119041962
RBH_pair_268.fa.best.phy	TRINITY_DN107170_c0_g1_i1	0.2255	0.4167	1.8477	LOC100488112	Chr04	38298189	38298189
RBH_pair_269.fa.best.phy	TRINITY_DN107178_c0_g3_i1	0.0406	0.0775	1.906	pmm1	Chr09	34969314	34969314
RBH_pair_272.fa.best.phy	TRINITY_DN107234_c0_g1_i1	0.0603	0.1094	1.8135	pak4	Chr08	59732921	59732921
RBH_pair_273.fa.best.phy	TRINITY_DN107308_c0_g1_i1	0.0086	0.0117	1.3675	LOC549067	Chr09	36972293	36972293
RBH_pair_274.fa.best.phy	TRINITY_DN107374_c0_g2_i1	0.0882	0.1595	1.8091	b3gnt5	Chr05	98244680	98244680
RBH_pair_275.fa.best.phy	TRINITY_DN107396_c0_g1_i2	0.0701	0.0936	1.3351	p2rx5	Chr02	31826532	31826532
RBH_pair_276.fa.best.phy	TRINITY_DN107447_c0_g1_i1	0.0482	0.0455	0.9438	qrfpr	Chr01	62153419	62153419
RBH_pair_279.fa.best.phy	TRINITY_DN107472_c0_g1_i1	0.0772	0.0918	1.1896	spred1	Chr08	90520636	90520636
RBH_pair_280.fa.best.phy	TRINITY_DN107473_c0_g2_i2	0.0783	0.1248	1.595	avpr2	Chr08	12415792	12415792
RBH_pair_283.fa.best.phy	TRINITY_DN107530_c1_g1_i1	0.0974	0.1502	1.5415	lmnb1	Chr01	159727673	159727673
RBH_pair_284.fa.best.phy	TRINITY_DN107548_c0_g1_i1	0.3691	0.5935	1.6081	NA	NA	NA	NA
RBH_pair_286.fa.best.phy	TRINITY_DN107586_c0_g1_i2	0.0352	0.0451	1.2822	pitpna	Chr02	39723239	39723239
RBH_pair_290.fa.best.phy	TRINITY_DN107651_c0_g1_i1	0.0183	0.0161	0.8777	pou4f2	Chr01	48700122	48700122
RBH_pair_291.fa.best.phy	TRINITY_DN107672_c0_g2_i1	0.2023	0.2949	1.4581	lgals4	Chr08	59403212	59403212
RBH_pair_292.fa.best.phy	TRINITY_DN107696_c0_g1_i4	0.0631	0.067	1.0609	ctnnal1	Chr06	61288653	61288653
RBH_pair_294.fa.best.phy	TRINITY_DN107740_c0_g1_i1	0.0127	0.0151	1.1955	appbp2	Chr02	88860435	88860435
RBH_pair_298.fa.best.phy	TRINITY_DN107757_c0_g1_i1	0.1188	0.1271	1.0699	LOC100487630	Chr03	12456429	12456429
RBH_pair_299.fa.best.phy	TRINITY_DN107761_c0_g1_i1	0.0647	0.1191	1.8409	rasl11a	Chr02	152572792	152572792
RBH_pair_300.fa.best.phy	TRINITY_DN107774_c0_g1_i2	0.0257	0.0288	1.1202	prdx4	Chr02	37014930	37014930
RBH_pair_301.fa.best.phy	TRINITY_DN107777_c0_g6_i1	0.039	0.0505	1.293	rhot2	Chr09	9022242	9022242
RBH_pair_303.fa.best.phy	TRINITY_DN107787_c0_g1_i1	0.0922	0.1632	1.7702	Xetrov90004750m	Chr02	50835888	50835888
RBH_pair_304.fa.best.phy	TRINITY_DN107852_c0_g1_i2	0.0163	0.0093	0.571	kcmf1	Chr01	75613371	75613371
RBH_pair_306.fa.best.phy	TRINITY_DN107915_c0_g1_i1	0.0683	0.135	1.9753	scd	Chr07	33089443	33089443
RBH_pair_308.fa.best.phy	TRINITY_DN107928_c0_g1_i1	0.0955	0.1501	1.5707	ptger3	Chr04	72159134	72159134
RBH_pair_310.fa.best.phy	TRINITY_DN107990_c0_g1_i1	0.0848	0.1245	1.4687	tmem161a	Chr01	102084590	102084590
RBH_pair_311.fa.best.phy	TRINITY_DN108052_c0_g1_i1	0.0734	0.0962	1.3092	dhdh-like.2	Chr07	105215165	105215165
RBH_pair_312.fa.best.phy	TRINITY_DN108061_c0_g1_i1	0.0392	0.065	1.6562	clpp	Chr03	129787873	129787873
RBH_pair_314.fa.best.phy	TRINITY_DN108116_c0_g2_i2	0.0638	0.1029	1.614	smyd1	Chr01	15203364	15203364
RBH_pair_315.fa.best.phy	TRINITY_DN108119_c0_g1_i1	0.1589	0.208	1.309	acer1	Chr01	82999836	82999836
RBH_pair_316.fa.best.phy	TRINITY_DN108126_c0_g2_i2	0.1477	0.2825	1.912	tprg1l-like.1	Chr07	1363010	1363010
RBH_pair_317.fa.best.phy	TRINITY_DN10812_c0_g1_i1	0.0493	0.0692	1.4016	me1-like	Chr05	80777582	80777582
RBH_pair_319.fa.best.phy	TRINITY_DN108146_c0_g1_i2	0.0442	0.0663	1.4996	reep5	Chr01	134723110	134723110
RBH_pair_321.fa.best.phy	TRINITY_DN108196_c0_g1_i1	0.0643	0.0824	1.2798	babam1	Chr01	99579064	99579064
RBH_pair_323.fa.best.phy	TRINITY_DN108207_c0_g2_i1	0.0476	0.0762	1.6008	pgam2	Chr03	108057511	108057511
RBH_pair_326.fa.best.phy	TRINITY_DN108276_c0_g2_i1	0.0657	0.0724	1.1032	grem1	Chr08	90348949	90348949
RBH_pair_329.fa.best.phy	TRINITY_DN108305_c0_g1_i1	0.0487	0.0591	1.2138	cdh23-like.1	Chr07	41437428	41437428
RBH_pair_331.fa.best.phy	TRINITY_DN108314_c0_g1_i2	0.071	0.0918	1.2929	LOC100490541	Chr04	42686557	42686557
RBH_pair_332.fa.best.phy	TRINITY_DN108316_c0_g1_i1	0.0167	0.0211	1.2626	sgsm3	Chr04	111398444	111398444
RBH_pair_334.fa.best.phy	TRINITY_DN108376_c0_g1_i4	0.0733	0.059	0.8048	fgf7	Chr03	94387861	94387861
RBH_pair_337.fa.best.phy	TRINITY_DN108423_c0_g1_i1	0.3319	0.1119	0.3371	fam155a	Chr02	114417449	114417449
RBH_pair_338.fa.best.phy	TRINITY_DN108427_c0_g3_i5	0.0748	0.1472	1.9671	dtymk	Chr05	122284078	122284078
RBH_pair_339.fa.best.phy	TRINITY_DN108429_c0_g2_i1	0.0429	0.0528	1.2308	slc30a6	Chr05	53115481	53115481
RBH_pair_341.fa.best.phy	TRINITY_DN108436_c0_g1_i2	0.1115	0.0839	0.7527	tmem243	Chr03	71642246	71642246
