rbh	gid	dNdS	dN	dS	chrid	chrtype	twosexchr
RBH_pair_11359.fa.best.phy	TRINITY_DN98785_c0_g1_i1	0.1539	0.0894	0.5807	Chr01	Sexchr	Chr01
RBH_pair_6542.fa.best.phy	TRINITY_DN128762_c3_g1_i1	0.0208	0.0122	0.5848	Chr01	Sexchr	Chr01
RBH_pair_4143.fa.best.phy	TRINITY_DN124131_c7_g1_i2	0.042	0.0249	0.5925	Chr01	Sexchr	Chr01
RBH_pair_3713.fa.best.phy	TRINITY_DN123234_c0_g3_i1	0.001	0.0006	0.6025	Chr01	Sexchr	Chr01
RBH_pair_4445.fa.best.phy	TRINITY_DN124739_c1_g3_i5	0.0382	0.0233	0.61	Chr01	Sexchr	Chr01
RBH_pair_4855.fa.best.phy	TRINITY_DN125527_c2_g7_i1	0.064	0.0393	0.6143	Chr01	Sexchr	Chr01
RBH_pair_9156.fa.best.phy	TRINITY_DN133450_c2_g1_i8	0.0554	0.0358	0.6458	Chr01	Sexchr	Chr01
RBH_pair_11213.fa.best.phy	TRINITY_DN93844_c0_g1_i1	0.0341	0.0228	0.6675	Chr01	Sexchr	Chr01
RBH_pair_2754.fa.best.phy	TRINITY_DN120932_c1_g1_i3	0.2357	0.1578	0.6695	Chr01	Sexchr	Chr01
RBH_pair_11315.fa.best.phy	TRINITY_DN97412_c0_g1_i1	0.0257	0.0173	0.6742	Chr01	Sexchr	Chr01
RBH_pair_5673.fa.best.phy	TRINITY_DN127120_c0_g1_i1	0.0553	0.0374	0.676	Chr01	Sexchr	Chr01
RBH_pair_6511.fa.best.phy	TRINITY_DN128701_c3_g1_i1	0.0932	0.063	0.676	Chr01	Sexchr	Chr01
RBH_pair_2912.fa.best.phy	TRINITY_DN121308_c0_g2_i1	0.2484	0.169	0.6803	Chr01	Sexchr	Chr01
RBH_pair_9353.fa.best.phy	TRINITY_DN133786_c3_g8_i1	0.1834	0.1263	0.6883	Chr01	Sexchr	Chr01
RBH_pair_5.fa.best.phy	TRINITY_DN100194_c0_g1_i1	0.0782	0.0539	0.6898	Chr01	Sexchr	Chr01
RBH_pair_7281.fa.best.phy	TRINITY_DN130100_c3_g1_i2	0.0809	0.0563	0.6964	Chr01	Sexchr	Chr01
RBH_pair_9910.fa.best.phy	TRINITY_DN134849_c5_g1_i2	0.016	0.0113	0.708	Chr01	Sexchr	Chr01
RBH_pair_6399.fa.best.phy	TRINITY_DN128478_c1_g4_i3	0.0371	0.0263	0.7087	Chr01	Sexchr	Chr01
RBH_pair_4770.fa.best.phy	TRINITY_DN125354_c3_g2_i4	0.0128	0.0091	0.71	Chr01	Sexchr	Chr01
RBH_pair_8451.fa.best.phy	TRINITY_DN132176_c6_g2_i1	0.0148	0.0107	0.7209	Chr01	Sexchr	Chr01
RBH_pair_6213.fa.best.phy	TRINITY_DN128139_c0_g1_i1	0.0725	0.0527	0.7268	Chr01	Sexchr	Chr01
RBH_pair_9019.fa.best.phy	TRINITY_DN133194_c0_g3_i3	0.0184	0.0135	0.7324	Chr01	Sexchr	Chr01
RBH_pair_1929.fa.best.phy	TRINITY_DN118421_c0_g1_i2	0.0367	0.0269	0.7331	Chr01	Sexchr	Chr01
RBH_pair_3639.fa.best.phy	TRINITY_DN123048_c0_g1_i8	0.0115	0.0085	0.7391	Chr01	Sexchr	Chr01
RBH_pair_1247.fa.best.phy	TRINITY_DN115590_c0_g1_i2	0.0676	0.0501	0.7414	Chr01	Sexchr	Chr01
RBH_pair_4296.fa.best.phy	TRINITY_DN124429_c0_g1_i3	0.0349	0.026	0.7442	Chr01	Sexchr	Chr01
RBH_pair_677.fa.best.phy	TRINITY_DN112070_c0_g1_i2	0.0169	0.0126	0.7471	Chr01	Sexchr	Chr01
RBH_pair_4238.fa.best.phy	TRINITY_DN124331_c1_g1_i2	0.0137	0.0104	0.756	Chr01	Sexchr	Chr01
RBH_pair_4854.fa.best.phy	TRINITY_DN125527_c2_g1_i1	0.0225	0.0171	0.7601	Chr01	Sexchr	Chr01
RBH_pair_1721.fa.best.phy	TRINITY_DN117701_c0_g2_i2	0.1659	0.1286	0.7753	Chr01	Sexchr	Chr01
RBH_pair_3245.fa.best.phy	TRINITY_DN122130_c0_g1_i3	0.0131	0.0102	0.7783	Chr01	Sexchr	Chr01
RBH_pair_7247.fa.best.phy	TRINITY_DN130051_c1_g2_i3	0.0141	0.011	0.7807	Chr01	Sexchr	Chr01
RBH_pair_4012.fa.best.phy	TRINITY_DN123854_c0_g4_i5	0.0396	0.031	0.782	Chr01	Sexchr	Chr01
RBH_pair_5709.fa.best.phy	TRINITY_DN127187_c0_g3_i1	0.0409	0.0323	0.7897	Chr01	Sexchr	Chr01
RBH_pair_395.fa.best.phy	TRINITY_DN109331_c0_g1_i1	0.022	0.0175	0.7944	Chr01	Sexchr	Chr01
RBH_pair_7816.fa.best.phy	TRINITY_DN131034_c5_g2_i1	0.001	0.0008	0.7954	Chr01	Sexchr	Chr01
RBH_pair_9218.fa.best.phy	TRINITY_DN133552_c1_g1_i3	0.0766	0.0611	0.7975	Chr01	Sexchr	Chr01
RBH_pair_5994.fa.best.phy	TRINITY_DN127743_c1_g1_i6	0.0046	0.0037	0.7991	Chr01	Sexchr	Chr01
RBH_pair_5379.fa.best.phy	TRINITY_DN126563_c2_g1_i1	0.1132	0.0906	0.8011	Chr01	Sexchr	Chr01
RBH_pair_9464.fa.best.phy	TRINITY_DN134012_c7_g2_i6	0.0432	0.0347	0.8027	Chr01	Sexchr	Chr01
RBH_pair_5884.fa.best.phy	TRINITY_DN127529_c6_g3_i1	0.0134	0.0109	0.8071	Chr01	Sexchr	Chr01
RBH_pair_2029.fa.best.phy	TRINITY_DN118790_c0_g2_i1	0.0865	0.0699	0.8073	Chr01	Sexchr	Chr01
RBH_pair_7632.fa.best.phy	TRINITY_DN130709_c2_g1_i1	0.0296	0.0239	0.8089	Chr01	Sexchr	Chr01
RBH_pair_3870.fa.best.phy	TRINITY_DN123581_c0_g1_i2	0.1957	0.1589	0.8124	Chr01	Sexchr	Chr01
RBH_pair_7411.fa.best.phy	TRINITY_DN130330_c1_g1_i1	0.1487	0.1209	0.8133	Chr01	Sexchr	Chr01
RBH_pair_786.fa.best.phy	TRINITY_DN112986_c0_g1_i1	0.1108	0.0903	0.8153	Chr01	Sexchr	Chr01
RBH_pair_2521.fa.best.phy	TRINITY_DN120297_c0_g1_i2	0.0411	0.0336	0.8169	Chr01	Sexchr	Chr01
RBH_pair_9690.fa.best.phy	TRINITY_DN134453_c2_g1_i11	0.0142	0.0117	0.8275	Chr01	Sexchr	Chr01
RBH_pair_8851.fa.best.phy	TRINITY_DN132874_c0_g1_i1	0.0083	0.0069	0.8297	Chr01	Sexchr	Chr01
RBH_pair_7595.fa.best.phy	TRINITY_DN130642_c0_g1_i1	0.0971	0.081	0.8346	Chr01	Sexchr	Chr01
RBH_pair_1182.fa.best.phy	TRINITY_DN115291_c0_g1_i1	0.0908	0.076	0.837	Chr01	Sexchr	Chr01
RBH_pair_2063.fa.best.phy	TRINITY_DN118896_c0_g1_i4	0.0204	0.0171	0.8387	Chr01	Sexchr	Chr01
RBH_pair_5936.fa.best.phy	TRINITY_DN127637_c0_g3_i1	0.0044	0.0037	0.8396	Chr01	Sexchr	Chr01
RBH_pair_9716.fa.best.phy	TRINITY_DN134489_c4_g2_i3	0.0777	0.0655	0.8427	Chr01	Sexchr	Chr01
RBH_pair_1547.fa.best.phy	TRINITY_DN117052_c0_g2_i1	0.0362	0.0305	0.8439	Chr01	Sexchr	Chr01
RBH_pair_5699.fa.best.phy	TRINITY_DN127164_c5_g2_i1	0.005	0.0042	0.8471	Chr01	Sexchr	Chr01
RBH_pair_9995.fa.best.phy	TRINITY_DN135038_c3_g2_i1	0.008	0.0067	0.8483	Chr01	Sexchr	Chr01
RBH_pair_9175.fa.best.phy	TRINITY_DN133481_c0_g2_i6	0.1569	0.1334	0.8506	Chr01	Sexchr	Chr01
RBH_pair_5454.fa.best.phy	TRINITY_DN126701_c6_g2_i1	0.009	0.0078	0.8568	Chr01	Sexchr	Chr01
RBH_pair_5155.fa.best.phy	TRINITY_DN126147_c0_g3_i3	0.1386	0.119	0.8582	Chr01	Sexchr	Chr01
RBH_pair_1410.fa.best.phy	TRINITY_DN116442_c0_g3_i1	0.061	0.0527	0.8639	Chr01	Sexchr	Chr01
RBH_pair_3060.fa.best.phy	TRINITY_DN121685_c0_g1_i1	0.0089	0.0077	0.8688	Chr01	Sexchr	Chr01
RBH_pair_290.fa.best.phy	TRINITY_DN107651_c0_g1_i1	0.0183	0.0161	0.8777	Chr01	Sexchr	Chr01
RBH_pair_6441.fa.best.phy	TRINITY_DN128579_c1_g1_i1	0.014	0.0123	0.8787	Chr01	Sexchr	Chr01
RBH_pair_5384.fa.best.phy	TRINITY_DN126571_c0_g1_i2	0.0989	0.088	0.8896	Chr01	Sexchr	Chr01
RBH_pair_8520.fa.best.phy	TRINITY_DN132295_c1_g2_i5	0.0104	0.0093	0.8914	Chr01	Sexchr	Chr01
RBH_pair_4446.fa.best.phy	TRINITY_DN124739_c2_g4_i1	0.1138	0.1015	0.8919	Chr01	Sexchr	Chr01
RBH_pair_6559.fa.best.phy	TRINITY_DN128794_c0_g4_i3	0.0449	0.0405	0.9012	Chr01	Sexchr	Chr01
RBH_pair_10104.fa.best.phy	TRINITY_DN135280_c3_g3_i1	0.0524	0.0473	0.9028	Chr01	Sexchr	Chr01
RBH_pair_373.fa.best.phy	TRINITY_DN108932_c0_g1_i1	0.1002	0.0906	0.9041	Chr01	Sexchr	Chr01
RBH_pair_2342.fa.best.phy	TRINITY_DN119755_c1_g2_i1	0.1276	0.1155	0.9048	Chr01	Sexchr	Chr01
RBH_pair_836.fa.best.phy	TRINITY_DN113403_c0_g2_i2	0.3247	0.2943	0.9061	Chr01	Sexchr	Chr01
RBH_pair_10170.fa.best.phy	TRINITY_DN135443_c0_g3_i1	0.0429	0.0391	0.9126	Chr01	Sexchr	Chr01
RBH_pair_2043.fa.best.phy	TRINITY_DN118842_c0_g1_i2	0.0116	0.0107	0.9185	Chr01	Sexchr	Chr01
RBH_pair_6834.fa.best.phy	TRINITY_DN129309_c0_g2_i1	0.3383	0.3107	0.9185	Chr01	Sexchr	Chr01
RBH_pair_5640.fa.best.phy	TRINITY_DN127053_c0_g1_i2	0.1115	0.1027	0.9213	Chr01	Sexchr	Chr01
RBH_pair_3379.fa.best.phy	TRINITY_DN122458_c2_g6_i2	0.0428	0.0395	0.9227	Chr01	Sexchr	Chr01
RBH_pair_3206.fa.best.phy	TRINITY_DN122039_c0_g3_i1	0.0954	0.0883	0.926	Chr01	Sexchr	Chr01
RBH_pair_3373.fa.best.phy	TRINITY_DN122446_c0_g2_i3	0.1027	0.0961	0.9362	Chr01	Sexchr	Chr01
RBH_pair_11370.fa.best.phy	TRINITY_DN99232_c0_g1_i1	0.1796	0.1685	0.938	Chr01	Sexchr	Chr01
RBH_pair_2363.fa.best.phy	TRINITY_DN119798_c0_g1_i2	0.1588	0.1493	0.9404	Chr01	Sexchr	Chr01
RBH_pair_4103.fa.best.phy	TRINITY_DN124045_c0_g2_i1	0.1111	0.1049	0.9436	Chr01	Sexchr	Chr01
RBH_pair_276.fa.best.phy	TRINITY_DN107447_c0_g1_i1	0.0482	0.0455	0.9438	Chr01	Sexchr	Chr01
RBH_pair_7162.fa.best.phy	TRINITY_DN129884_c3_g1_i1	0.0436	0.0412	0.9444	Chr01	Sexchr	Chr01
RBH_pair_7154.fa.best.phy	TRINITY_DN129864_c0_g1_i2	0.0091	0.0086	0.9476	Chr01	Sexchr	Chr01
RBH_pair_5829.fa.best.phy	TRINITY_DN127429_c4_g2_i7	0.0331	0.0314	0.9499	Chr01	Sexchr	Chr01
RBH_pair_828.fa.best.phy	TRINITY_DN113317_c0_g1_i1	0.0635	0.0605	0.9528	Chr01	Sexchr	Chr01
RBH_pair_5087.fa.best.phy	TRINITY_DN126027_c5_g1_i5	0.0194	0.0186	0.9577	Chr01	Sexchr	Chr01
RBH_pair_4568.fa.best.phy	TRINITY_DN124985_c4_g2_i1	0.06	0.0576	0.9602	Chr01	Sexchr	Chr01
RBH_pair_3301.fa.best.phy	TRINITY_DN122256_c0_g1_i1	0.0177	0.017	0.9609	Chr01	Sexchr	Chr01
RBH_pair_3854.fa.best.phy	TRINITY_DN123546_c0_g1_i3	0.0507	0.0488	0.9617	Chr01	Sexchr	Chr01
RBH_pair_8542.fa.best.phy	TRINITY_DN132334_c4_g6_i1	0.0657	0.0633	0.9634	Chr01	Sexchr	Chr01
RBH_pair_7268.fa.best.phy	TRINITY_DN130081_c0_g2_i16	0.0675	0.0653	0.9669	Chr01	Sexchr	Chr01
RBH_pair_1897.fa.best.phy	TRINITY_DN118329_c0_g1_i1	0.0846	0.0819	0.9674	Chr01	Sexchr	Chr01
RBH_pair_4186.fa.best.phy	TRINITY_DN124220_c0_g1_i2	0.1517	0.1471	0.9697	Chr01	Sexchr	Chr01
RBH_pair_8253.fa.best.phy	TRINITY_DN131843_c0_g3_i1	0.0111	0.0108	0.9701	Chr01	Sexchr	Chr01
RBH_pair_9475.fa.best.phy	TRINITY_DN134026_c0_g3_i4	0.07	0.0682	0.9743	Chr01	Sexchr	Chr01
RBH_pair_9322.fa.best.phy	TRINITY_DN133722_c0_g8_i2	0.1674	0.1632	0.9749	Chr01	Sexchr	Chr01
RBH_pair_8479.fa.best.phy	TRINITY_DN132218_c3_g1_i4	0.0648	0.0633	0.9766	Chr01	Sexchr	Chr01
RBH_pair_2984.fa.best.phy	TRINITY_DN121494_c0_g1_i3	0.0728	0.0712	0.9774	Chr01	Sexchr	Chr01
RBH_pair_11182.fa.best.phy	TRINITY_DN92463_c0_g1_i2	0.0705	0.0691	0.981	Chr01	Sexchr	Chr01
RBH_pair_9304.fa.best.phy	TRINITY_DN133691_c3_g1_i1	0.0364	0.0357	0.9817	Chr01	Sexchr	Chr01
RBH_pair_8284.fa.best.phy	TRINITY_DN131880_c0_g1_i1	0.0605	0.0597	0.9861	Chr01	Sexchr	Chr01
RBH_pair_5658.fa.best.phy	TRINITY_DN127084_c1_g6_i1	0.0092	0.0091	0.9892	Chr01	Sexchr	Chr01
RBH_pair_7678.fa.best.phy	TRINITY_DN130789_c5_g2_i2	0.0074	0.0074	0.9906	Chr01	Sexchr	Chr01
RBH_pair_666.fa.best.phy	TRINITY_DN111980_c0_g1_i1	0.0932	0.0924	0.9916	Chr01	Sexchr	Chr01
RBH_pair_10620.fa.best.phy	TRINITY_DN152513_c0_g1_i1	0.0348	0.0345	0.9929	Chr01	Sexchr	Chr01
RBH_pair_8022.fa.best.phy	TRINITY_DN131403_c3_g1_i1	0.0678	0.0675	0.995	Chr01	Sexchr	Chr01
RBH_pair_8231.fa.best.phy	TRINITY_DN131801_c4_g3_i2	0.0044	0.0044	0.997	Chr01	Sexchr	Chr01
RBH_pair_3543.fa.best.phy	TRINITY_DN122851_c0_g2_i1	0.003	0.003	1.0022	Chr01	Sexchr	Chr01
RBH_pair_3109.fa.best.phy	TRINITY_DN121796_c1_g2_i1	0.0031	0.0031	1.0064	Chr01	Sexchr	Chr01
RBH_pair_4833.fa.best.phy	TRINITY_DN125476_c1_g2_i1	0.0284	0.0286	1.0071	Chr01	Sexchr	Chr01
RBH_pair_6700.fa.best.phy	TRINITY_DN129065_c3_g2_i2	0.0579	0.0584	1.0083	Chr01	Sexchr	Chr01
RBH_pair_2596.fa.best.phy	TRINITY_DN120518_c0_g1_i4	0.1087	0.11	1.0114	Chr01	Sexchr	Chr01
RBH_pair_8862.fa.best.phy	TRINITY_DN132891_c7_g2_i3	0.0279	0.0283	1.015	Chr01	Sexchr	Chr01
RBH_pair_8386.fa.best.phy	TRINITY_DN132075_c0_g1_i5	0.0831	0.0845	1.0168	Chr01	Sexchr	Chr01
RBH_pair_8091.fa.best.phy	TRINITY_DN131520_c3_g3_i24	0.0253	0.0258	1.0172	Chr01	Sexchr	Chr01
RBH_pair_9090.fa.best.phy	TRINITY_DN133312_c3_g1_i2	0.024	0.0244	1.0179	Chr01	Sexchr	Chr01
RBH_pair_3363.fa.best.phy	TRINITY_DN122427_c0_g2_i8	0.0061	0.0063	1.0257	Chr01	Sexchr	Chr01
RBH_pair_10459.fa.best.phy	TRINITY_DN136201_c8_g1_i1	0.0879	0.0902	1.0268	Chr01	Sexchr	Chr01
RBH_pair_8915.fa.best.phy	TRINITY_DN133002_c6_g5_i3	0.059	0.0607	1.028	Chr01	Sexchr	Chr01
RBH_pair_5591.fa.best.phy	TRINITY_DN126957_c0_g1_i3	0.1069	0.1105	1.0338	Chr01	Sexchr	Chr01
RBH_pair_3409.fa.best.phy	TRINITY_DN122538_c1_g1_i1	0.0408	0.0422	1.0351	Chr01	Sexchr	Chr01
RBH_pair_9714.fa.best.phy	TRINITY_DN134485_c8_g1_i1	0.0157	0.0163	1.0356	Chr01	Sexchr	Chr01
RBH_pair_5849.fa.best.phy	TRINITY_DN127470_c0_g2_i2	0.0975	0.1011	1.0366	Chr01	Sexchr	Chr01
RBH_pair_1552.fa.best.phy	TRINITY_DN117066_c0_g1_i2	0.1458	0.1515	1.0391	Chr01	Sexchr	Chr01
RBH_pair_7721.fa.best.phy	TRINITY_DN130867_c0_g1_i2	0.1363	0.1418	1.0404	Chr01	Sexchr	Chr01
RBH_pair_3680.fa.best.phy	TRINITY_DN123158_c0_g1_i7	0.0468	0.0488	1.0418	Chr01	Sexchr	Chr01
RBH_pair_437.fa.best.phy	TRINITY_DN109817_c0_g1_i1	0.0695	0.0727	1.0463	Chr01	Sexchr	Chr01
RBH_pair_3948.fa.best.phy	TRINITY_DN123721_c0_g1_i1	0.0596	0.0625	1.048	Chr01	Sexchr	Chr01
RBH_pair_8831.fa.best.phy	TRINITY_DN132835_c1_g1_i1	0.0202	0.0212	1.0495	Chr01	Sexchr	Chr01
RBH_pair_2005.fa.best.phy	TRINITY_DN118679_c0_g3_i1	0.0716	0.0753	1.0513	Chr01	Sexchr	Chr01
RBH_pair_6941.fa.best.phy	TRINITY_DN129529_c0_g1_i1	0.0169	0.0178	1.0518	Chr01	Sexchr	Chr01
RBH_pair_10129.fa.best.phy	TRINITY_DN135346_c0_g1_i2	0.0634	0.0667	1.0519	Chr01	Sexchr	Chr01
RBH_pair_1085.fa.best.phy	TRINITY_DN114862_c0_g1_i1	0.0953	0.1003	1.0523	Chr01	Sexchr	Chr01
RBH_pair_3958.fa.best.phy	TRINITY_DN123745_c1_g1_i5	0.0698	0.0735	1.0541	Chr01	Sexchr	Chr01
RBH_pair_8533.fa.best.phy	TRINITY_DN132314_c2_g7_i2	0.0397	0.042	1.0587	Chr01	Sexchr	Chr01
RBH_pair_7163.fa.best.phy	TRINITY_DN129884_c4_g1_i1	0.0383	0.0405	1.059	Chr01	Sexchr	Chr01
RBH_pair_5721.fa.best.phy	TRINITY_DN127208_c2_g8_i1	0.0685	0.0727	1.0613	Chr01	Sexchr	Chr01
RBH_pair_9902.fa.best.phy	TRINITY_DN134834_c0_g3_i2	0.0158	0.0169	1.0653	Chr01	Sexchr	Chr01
RBH_pair_4885.fa.best.phy	TRINITY_DN125585_c0_g1_i3	0.0046	0.0049	1.0682	Chr01	Sexchr	Chr01
RBH_pair_5808.fa.best.phy	TRINITY_DN127394_c1_g1_i1	0.0499	0.0533	1.0684	Chr01	Sexchr	Chr01
RBH_pair_9921.fa.best.phy	TRINITY_DN134871_c2_g2_i4	0.0634	0.0678	1.0691	Chr01	Sexchr	Chr01
RBH_pair_5749.fa.best.phy	TRINITY_DN127261_c1_g2_i6	0.0183	0.0196	1.0704	Chr01	Sexchr	Chr01
RBH_pair_7990.fa.best.phy	TRINITY_DN131356_c6_g1_i1	0.0229	0.0246	1.0714	Chr01	Sexchr	Chr01
RBH_pair_6382.fa.best.phy	TRINITY_DN128439_c3_g4_i2	0.0683	0.0732	1.0715	Chr01	Sexchr	Chr01
RBH_pair_4571.fa.best.phy	TRINITY_DN124988_c3_g1_i2	0.0462	0.0495	1.0716	Chr01	Sexchr	Chr01
RBH_pair_9283.fa.best.phy	TRINITY_DN133657_c2_g1_i6	0.0097	0.0104	1.0735	Chr01	Sexchr	Chr01
RBH_pair_3907.fa.best.phy	TRINITY_DN123632_c2_g2_i5	0.1411	0.1518	1.0762	Chr01	Sexchr	Chr01
RBH_pair_2162.fa.best.phy	TRINITY_DN119194_c0_g3_i2	0.0143	0.0154	1.0763	Chr01	Sexchr	Chr01
RBH_pair_2585.fa.best.phy	TRINITY_DN120475_c3_g4_i2	0.0916	0.0988	1.0782	Chr01	Sexchr	Chr01
RBH_pair_9830.fa.best.phy	TRINITY_DN134717_c3_g1_i3	0.1522	0.1645	1.0807	Chr01	Sexchr	Chr01
RBH_pair_4393.fa.best.phy	TRINITY_DN124616_c2_g1_i2	0.0626	0.0677	1.0808	Chr01	Sexchr	Chr01
RBH_pair_1338.fa.best.phy	TRINITY_DN116139_c0_g2_i1	0.0895	0.0969	1.0818	Chr01	Sexchr	Chr01
RBH_pair_441.fa.best.phy	TRINITY_DN109879_c0_g1_i1	0.1064	0.1152	1.0825	Chr01	Sexchr	Chr01
RBH_pair_4347.fa.best.phy	TRINITY_DN124518_c0_g1_i1	0.108	0.1172	1.085	Chr01	Sexchr	Chr01
RBH_pair_8622.fa.best.phy	TRINITY_DN132455_c0_g1_i2	0.0945	0.1028	1.0882	Chr01	Sexchr	Chr01
RBH_pair_10385.fa.best.phy	TRINITY_DN135999_c2_g9_i12	0.0136	0.0148	1.0888	Chr01	Sexchr	Chr01
RBH_pair_10510.fa.best.phy	TRINITY_DN136457_c2_g1_i1	0.0763	0.0831	1.0891	Chr01	Sexchr	Chr01
RBH_pair_356.fa.best.phy	TRINITY_DN108586_c0_g1_i1	0.0968	0.1057	1.0918	Chr01	Sexchr	Chr01
RBH_pair_10252.fa.best.phy	TRINITY_DN135660_c1_g1_i2	0.0638	0.0697	1.0935	Chr01	Sexchr	Chr01
RBH_pair_9363.fa.best.phy	TRINITY_DN133809_c0_g1_i2	0.0658	0.072	1.0944	Chr01	Sexchr	Chr01
RBH_pair_5430.fa.best.phy	TRINITY_DN126653_c0_g2_i1	0.2927	0.3213	1.0977	Chr01	Sexchr	Chr01
RBH_pair_8774.fa.best.phy	TRINITY_DN132727_c1_g2_i3	0.1359	0.1492	1.0979	Chr01	Sexchr	Chr01
RBH_pair_10018.fa.best.phy	TRINITY_DN135090_c2_g7_i2	0.1128	0.1245	1.1035	Chr01	Sexchr	Chr01
RBH_pair_7832.fa.best.phy	TRINITY_DN131068_c1_g7_i3	0.1024	0.1132	1.1051	Chr01	Sexchr	Chr01
RBH_pair_2841.fa.best.phy	TRINITY_DN121132_c3_g5_i3	0.1207	0.1338	1.108	Chr01	Sexchr	Chr01
RBH_pair_402.fa.best.phy	TRINITY_DN109439_c0_g1_i1	0.2616	0.2902	1.1096	Chr01	Sexchr	Chr01
RBH_pair_2860.fa.best.phy	TRINITY_DN121176_c0_g1_i3	0.0817	0.0907	1.111	Chr01	Sexchr	Chr01
RBH_pair_5309.fa.best.phy	TRINITY_DN126450_c1_g3_i1	0.061	0.0679	1.112	Chr01	Sexchr	Chr01
RBH_pair_11376.fa.best.phy	TRINITY_DN99652_c0_g1_i3	0.0076	0.0085	1.1143	Chr01	Sexchr	Chr01
RBH_pair_1620.fa.best.phy	TRINITY_DN117330_c0_g1_i2	0.0077	0.0085	1.1143	Chr01	Sexchr	Chr01
RBH_pair_3768.fa.best.phy	TRINITY_DN123377_c2_g3_i1	0.0192	0.0214	1.1146	Chr01	Sexchr	Chr01
RBH_pair_2015.fa.best.phy	TRINITY_DN118709_c0_g1_i3	0.011	0.0123	1.1163	Chr01	Sexchr	Chr01
RBH_pair_4174.fa.best.phy	TRINITY_DN124186_c1_g1_i1	0.0674	0.0753	1.118	Chr01	Sexchr	Chr01
RBH_pair_2154.fa.best.phy	TRINITY_DN119167_c0_g2_i2	0.11	0.1233	1.1202	Chr01	Sexchr	Chr01
RBH_pair_5040.fa.best.phy	TRINITY_DN125918_c1_g1_i4	0.0517	0.058	1.1211	Chr01	Sexchr	Chr01
RBH_pair_1972.fa.best.phy	TRINITY_DN118562_c0_g3_i1	0.0551	0.0619	1.122	Chr01	Sexchr	Chr01
RBH_pair_9344.fa.best.phy	TRINITY_DN133769_c10_g3_i1	0.0207	0.0233	1.1244	Chr01	Sexchr	Chr01
RBH_pair_5034.fa.best.phy	TRINITY_DN125908_c0_g1_i1	0.0664	0.0747	1.1246	Chr01	Sexchr	Chr01
RBH_pair_2891.fa.best.phy	TRINITY_DN121256_c0_g1_i1	0.0818	0.0921	1.1253	Chr01	Sexchr	Chr01
RBH_pair_3432.fa.best.phy	TRINITY_DN122590_c2_g1_i1	0.0554	0.0624	1.126	Chr01	Sexchr	Chr01
RBH_pair_1811.fa.best.phy	TRINITY_DN118005_c0_g2_i1	0.1022	0.1151	1.1264	Chr01	Sexchr	Chr01
RBH_pair_2617.fa.best.phy	TRINITY_DN120562_c0_g1_i1	0.0202	0.0228	1.1276	Chr01	Sexchr	Chr01
RBH_pair_6089.fa.best.phy	TRINITY_DN127922_c6_g2_i8	0.0648	0.0733	1.1309	Chr01	Sexchr	Chr01
RBH_pair_2623.fa.best.phy	TRINITY_DN120579_c0_g2_i2	0.0178	0.0201	1.1318	Chr01	Sexchr	Chr01
RBH_pair_5868.fa.best.phy	TRINITY_DN127502_c1_g1_i1	0.0212	0.024	1.1319	Chr01	Sexchr	Chr01
RBH_pair_4687.fa.best.phy	TRINITY_DN125190_c0_g1_i1	0.1091	0.1236	1.1331	Chr01	Sexchr	Chr01
RBH_pair_5080.fa.best.phy	TRINITY_DN126015_c0_g1_i5	0.1905	0.2159	1.1332	Chr01	Sexchr	Chr01
