gid	gname	chr	start	end	logFC.XY43.XX43	bias	tau	tissue
TRINITY_DN102201_c0_g1_i1	NA	NA	NA	NA	0.38874222	unbias	0.385276075	Brain_mmean
TRINITY_DN102218_c0_g1_i1	NA	NA	NA	NA	-0.150136778	unbias	0.418069932	Liver_fmean
TRINITY_DN102252_c0_g2_i1	NA	NA	NA	NA	0.018376391	unbias	0.443087166	G23_mmean
TRINITY_DN102255_c0_g2_i1	NA	NA	NA	NA	1.490401046	unbias	0.715921113	G43_M_mean
TRINITY_DN102262_c0_g1_i1	NA	NA	NA	NA	0.028364023	unbias	0.491701089	G46_M_mean
TRINITY_DN102272_c0_g1_i1	NA	NA	NA	NA	-0.277966441	unbias	0.448244822	Ovary_mean
TRINITY_DN102276_c0_g1_i1	NA	NA	NA	NA	-0.505996737	unbias	0.683653075	G43_F_mean
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	-0.232947809	unbias	0.148778968	G23_mmean
TRINITY_DN102279_c0_g2_i1	NA	NA	NA	NA	0.603732742	unbias	0.17047988	G23_fmean
TRINITY_DN102288_c0_g1_i1	Xetrov90026621m	scaffold_1597	1024	1024	-0.133923015	unbias	0.636104975	Ovary_mean
TRINITY_DN102300_c0_g1_i1	eif4a1	scaffold_931	33821	33821	-0.627322449	unbias	0.403244184	G23_fmean
TRINITY_DN102312_c0_g1_i1	NA	NA	NA	NA	-0.584092981	unbias	0.552689326	G27_mmean
TRINITY_DN102326_c0_g3_i1	NA	NA	NA	NA	-0.161221373	unbias	0.56589888	G46_M_mean
TRINITY_DN102362_c0_g1_i1	NA	NA	NA	NA	-0.294434286	unbias	0.225177242	Ovary_mean
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	-0.873100581	unbias	0.507290717	Ovary_mean
TRINITY_DN102367_c0_g1_i2	kif1b-like	Chr07	38595796	38595796	0.109798276	unbias	0.489053518	G43_M_mean
TRINITY_DN102383_c0_g1_i1	NA	NA	NA	NA	-0.646756925	unbias	0.847484328	G43_F_mean
TRINITY_DN102386_c0_g1_i3	LOC100497746	Chr10	36585170	36585170	-0.277755431	unbias	0.420420617	G46_M_mean
TRINITY_DN102393_c0_g1_i1	Xetrov90018014m	Chr07	38203133	38203133	-0.716522432	unbias	0.632102805	G27_mmean
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	-0.389068718	unbias	0.174012021	Testis_mean
TRINITY_DN102407_c0_g1_i1	NA	NA	NA	NA	-0.792228471	unbias	0.346573817	Brain_fmean
TRINITY_DN102425_c0_g1_i1	NA	NA	NA	NA	0.719122482	unbias	0.662027149	Brain_mmean
TRINITY_DN102429_c0_g1_i2	NA	NA	NA	NA	-0.494308614	unbias	0.314321121	G43_F_mean
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	-0.31045429	unbias	0.360773137	Ovary_mean
TRINITY_DN102449_c0_g1_i1	NA	NA	NA	NA	-0.396078494	unbias	0.431321007	G43_F_mean
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	0.05290901	unbias	0.185950609	Ovary_mean
TRINITY_DN102456_c0_g1_i1	NA	NA	NA	NA	-0.381687101	unbias	0.48595209	Liver_mmean
TRINITY_DN102459_c0_g1_i1	NA	NA	NA	NA	-0.180057111	unbias	0.616896586	Brain_mmean
TRINITY_DN102469_c0_g1_i1	zcchc4	scaffold_69	788197	788197	0.368988893	unbias	0.524397524	Liver_fmean
TRINITY_DN102489_c0_g2_i1	NA	NA	NA	NA	-1.714699915	unbias	0.684117608	G46_M_mean
TRINITY_DN102489_c0_g3_i1	NA	NA	NA	NA	1.301153487	unbias	0.515521103	G43_M_mean
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	-0.005942911	unbias	0.203652497	Ovary_mean
TRINITY_DN102496_c0_g1_i1	gfm2-like	Chr01	165785366	165785366	-0.12133846	unbias	0.146281621	G23_mmean
TRINITY_DN102496_c0_g2_i1	NA	NA	NA	NA	-0.073706347	unbias	0.578183823	G43_M_mean
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	0.166208341	unbias	0.54774587	G23_fmean
TRINITY_DN102529_c0_g1_i1	NA	NA	NA	NA	-0.614364759	unbias	0.417875652	G43_F_mean
TRINITY_DN102531_c0_g1_i1	NA	NA	NA	NA	0.228948596	unbias	0.607882066	Brain_mmean
TRINITY_DN102539_c0_g1_i1	psen1	Chr08	85906217	85906217	0.082609992	unbias	0.350280171	Brain_mmean
TRINITY_DN102559_c0_g2_i1	NA	NA	NA	NA	0.132248696	unbias	0.490634631	Ovary_mean
TRINITY_DN102578_c0_g1_i1	thap11	Chr04	43957999	43957999	-0.351697198	unbias	0.450145714	G23_mmean
TRINITY_DN102579_c0_g1_i1	NA	NA	NA	NA	0.081042982	unbias	0.869911305	G46_M_mean
TRINITY_DN102584_c0_g1_i1	NA	NA	NA	NA	0.001940853	unbias	0.375609887	Brain_fmean
TRINITY_DN102595_c0_g1_i2	cpt1b	Chr03	80241473	80241473	0.523980889	unbias	0.592060982	G43_M_mean
TRINITY_DN102616_c0_g1_i1	NA	NA	NA	NA	0.173121953	unbias	0.238162136	Brain_fmean
TRINITY_DN102643_c0_g1_i1	NA	NA	NA	NA	0.057142362	unbias	0.26672218	G43_M_mean
TRINITY_DN102646_c0_g1_i1	NA	NA	NA	NA	0.227268079	unbias	0.597730243	Brain_fmean
TRINITY_DN102661_c0_g1_i1	med21	scaffold_3413	781	781	-0.71628214	unbias	0.259109979	G23_fmean
TRINITY_DN102667_c0_g1_i1	NA	NA	NA	NA	-0.42604114	unbias	0.17431997	Brain_fmean
TRINITY_DN102702_c0_g1_i1	ppp1r27	Chr10	19845234	19845234	-0.478484539	unbias	0.39105166	Ovary_mean
TRINITY_DN102760_c0_g1_i1	rbbp5	Chr02	64308174	64308174	0.369815133	unbias	0.543421012	Brain_mmean
TRINITY_DN102865_c0_g1_i2	NA	NA	NA	NA	-0.314070591	unbias	0.194483358	Brain_mmean
TRINITY_DN102894_c0_g1_i2	morc2	Chr01	131453682	131453682	-5.962388638	female	0.933461949	Ovary_mean
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	-5.985659622	female	0.920555942	Ovary_mean
TRINITY_DN102903_c0_g1_i1	NA	NA	NA	NA	-0.210645409	unbias	0.262633434	Brain_fmean
TRINITY_DN102914_c0_g1_i1	sytl4	Chr08	43451652	43451652	-0.630092324	unbias	0.853989817	Brain_mmean
TRINITY_DN102923_c0_g1_i1	NA	NA	NA	NA	-0.43079359	unbias	0.200318895	Brain_fmean
TRINITY_DN102938_c0_g1_i1	NA	NA	NA	NA	-0.147300628	unbias	0.237453564	Ovary_mean
TRINITY_DN102989_c0_g1_i1	NA	NA	NA	NA	-0.039240419	unbias	0.423435521	Brain_fmean
TRINITY_DN103024_c0_g1_i2	NA	NA	NA	NA	-0.310310271	unbias	0.292296804	Brain_mmean
TRINITY_DN103049_c0_g4_i1	NA	NA	NA	NA	0.339381046	unbias	0.443236246	G46_M_mean
TRINITY_DN103059_c0_g1_i1	NA	NA	NA	NA	-0.347215162	unbias	0.083164472	G27_fmean
TRINITY_DN103065_c0_g1_i1	NA	NA	NA	NA	-0.635439134	unbias	0.23086557	G46_M_mean
TRINITY_DN103086_c1_g1_i1	NA	NA	NA	NA	-0.313479542	unbias	0.624245117	G43_F_mean
TRINITY_DN103096_c0_g1_i1	NA	NA	NA	NA	-0.464493832	unbias	0.692600553	G43_F_mean
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.441284981	unbias	0.139536702	Ovary_mean
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	-0.320871688	unbias	0.375544167	Testis_mean
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	0.524666224	unbias	0.568647296	Brain_mmean
TRINITY_DN103187_c0_g1_i2	NA	NA	NA	NA	-0.740702588	unbias	0.457716697	G46_M_mean
TRINITY_DN103192_c0_g1_i1	thbs2	Chr05	40438631	40438631	-0.778192526	unbias	0.218716679	Testis_mean
TRINITY_DN103196_c0_g1_i2	slc39a1-like.1	Chr03	97498254	97498254	-0.467560757	unbias	0.272730276	Ovary_mean
TRINITY_DN103199_c0_g1_i1	slc30a8	Chr06	121704700	121704700	-0.381939929	unbias	0.570891556	Brain_mmean
TRINITY_DN103200_c0_g1_i1	arv1	Chr05	55465944	55465944	-0.804773873	unbias	0.545221353	Liver_fmean
TRINITY_DN103204_c0_g1_i1	pfn2	Chr05	115233446	115233446	-0.178735867	unbias	0.589156865	Brain_fmean
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	-0.346733132	unbias	0.139736082	Ovary_mean
TRINITY_DN103214_c0_g1_i1	NA	NA	NA	NA	-0.186485805	unbias	0.508233663	Brain_mmean
TRINITY_DN103227_c0_g1_i1	cdca8	Chr02	58943714	58943714	-0.020444724	unbias	0.621469287	Brain_fmean
TRINITY_DN103236_c0_g2_i1	NA	NA	NA	NA	-0.001975336	unbias	0.219464026	Brain_mmean
TRINITY_DN103267_c0_g1_i1	NA	NA	NA	NA	0.178952541	unbias	0.459804173	Brain_mmean
TRINITY_DN103287_c0_g1_i1	NA	NA	NA	NA	-1.379241478	unbias	0.71250102	G46_M_mean
TRINITY_DN103303_c0_g1_i2	NA	NA	NA	NA	0.145352568	unbias	0.385986825	Brain_fmean
TRINITY_DN103324_c0_g1_i1	NA	NA	NA	NA	-0.130885148	unbias	0.35568815	Brain_mmean
TRINITY_DN103334_c0_g1_i1	NA	NA	NA	NA	0.186854919	unbias	0.37834483	Brain_mmean
TRINITY_DN103350_c0_g1_i2	NA	NA	NA	NA	-0.567463605	unbias	0.294572849	G46_F_mean
TRINITY_DN103458_c0_g1_i1	NA	NA	NA	NA	0.433376423	unbias	0.425302267	G43_M_mean
TRINITY_DN103468_c0_g1_i2	LOC100488825	Chr08	80817118	80817118	1.25644782	unbias	0.787278492	G46_F_mean
TRINITY_DN103496_c0_g1_i1	NA	NA	NA	NA	-0.786679207	unbias	0.369574973	G43_F_mean
TRINITY_DN103500_c0_g1_i1	NA	NA	NA	NA	-0.347656386	unbias	0.300281271	Ovary_mean
TRINITY_DN103501_c0_g1_i1	NA	NA	NA	NA	0.10007211	unbias	0.634452896	Brain_fmean
TRINITY_DN103502_c0_g1_i1	NA	NA	NA	NA	-0.488094843	unbias	0.47997309	G43_F_mean
TRINITY_DN103509_c0_g1_i1	NA	NA	NA	NA	-0.214652056	unbias	0.600261969	G23_mmean
TRINITY_DN103511_c0_g1_i2	NA	NA	NA	NA	-1.001197322	unbias	0.497948042	Brain_mmean
TRINITY_DN103523_c0_g1_i1	LOC101735153	Chr08	29517071	29517071	-0.086562467	unbias	0.857705173	G46_M_mean
TRINITY_DN103526_c0_g1_i1	atp5c1	Chr03	74165467	74165467	0.208140174	unbias	0.619290643	Ovary_mean
TRINITY_DN103527_c0_g1_i1	NA	NA	NA	NA	1.227578642	unbias	0.820868409	G43_M_mean
TRINITY_DN103537_c0_g1_i1	NA	NA	NA	NA	-0.377927752	unbias	0.498017879	Ovary_mean
TRINITY_DN103537_c0_g2_i1	NA	NA	NA	NA	-0.152164508	unbias	0.360648716	Testis_mean
TRINITY_DN103544_c0_g1_i2	NA	NA	NA	NA	0.435487595	unbias	0.471080709	Brain_mmean
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	-0.12935831	unbias	0.312515837	Ovary_mean
TRINITY_DN103557_c0_g2_i2	dmrt3	Chr01	116424526	116424526	0.137647978	unbias	0.328864962	Ovary_mean
TRINITY_DN103557_c0_g3_i1	NA	NA	NA	NA	-0.781855163	unbias	0.291222265	Ovary_mean
TRINITY_DN103558_c0_g1_i1	NA	NA	NA	NA	-0.250784174	unbias	0.252684802	G27_mmean
TRINITY_DN103565_c0_g1_i1	agr2	Chr06	44561203	44561203	-0.132988938	unbias	0.54370292	Ovary_mean
TRINITY_DN103567_c0_g1_i1	NA	NA	NA	NA	0.02604309	unbias	0.209787303	Ovary_mean
TRINITY_DN103584_c0_g2_i1	NA	NA	NA	NA	-0.184710857	unbias	0.719761967	Brain_mmean
TRINITY_DN103598_c0_g1_i1	dusp1	Chr03	32247850	32247850	0.221420572	unbias	0.567706103	Brain_fmean
