gid	gname	chr	start	end	logFC.XY43.XX43	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	-0.232947809	unbias	0.148778968	G23_mmean	0.0769	0.1219	1.5862
TRINITY_DN102288_c0_g1_i1	Xetrov90026621m	scaffold_1597	1024	1024	-0.133923015	unbias	0.636104975	Ovary_mean	0.1168	0.1976	1.6917
TRINITY_DN102312_c0_g1_i1	NA	NA	NA	NA	-0.584092981	unbias	0.552689326	G27_mmean	0.2088	0.248	1.1875
TRINITY_DN102393_c0_g1_i1	Xetrov90018014m	Chr07	38203133	38203133	-0.716522432	unbias	0.632102805	G27_mmean	0.168	0.2435	1.4497
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	-0.389068718	unbias	0.174012021	Testis_mean	0.0704	0.1202	1.7079
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	0.05290901	unbias	0.185950609	Ovary_mean	0.128	0.2116	1.6526
TRINITY_DN102459_c0_g1_i1	NA	NA	NA	NA	-0.180057111	unbias	0.616896586	Brain_mmean	0.0406	0.072	1.7709
TRINITY_DN102469_c0_g1_i1	zcchc4	scaffold_69	788197	788197	0.368988893	unbias	0.524397524	Liver_fmean	0.1875	0.3205	1.7093
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	-0.005942911	unbias	0.203652497	Ovary_mean	0.038	0.0702	1.8454
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	0.166208341	unbias	0.54774587	G23_fmean	0.0467	0.0534	1.1438
TRINITY_DN102539_c0_g1_i1	psen1	Chr08	85906217	85906217	0.082609992	unbias	0.350280171	Brain_mmean	0.1183	0.1998	1.6879
TRINITY_DN102595_c0_g1_i2	cpt1b	Chr03	80241473	80241473	0.523980889	unbias	0.592060982	G43_M_mean	0.0532	0.0718	1.3508
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.441284981	unbias	0.139536702	Ovary_mean	0.1794	0.2865	1.5972
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	-0.320871688	unbias	0.375544167	Testis_mean	0.0816	0.1245	1.5262
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	0.524666224	unbias	0.568647296	Brain_mmean	0.0471	0.0801	1.6985
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	-0.346733132	unbias	0.139736082	Ovary_mean	0.1141	0.2017	1.7681
TRINITY_DN103509_c0_g1_i1	NA	NA	NA	NA	-0.214652056	unbias	0.600261969	G23_mmean	0.1007	0.1285	1.2759
TRINITY_DN103526_c0_g1_i1	atp5c1	Chr03	74165467	74165467	0.208140174	unbias	0.619290643	Ovary_mean	0.0511	0.0908	1.7749
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	-0.12935831	unbias	0.312515837	Ovary_mean	0.0579	0.1024	1.7679
TRINITY_DN103584_c0_g2_i1	NA	NA	NA	NA	-0.184710857	unbias	0.719761967	Brain_mmean	0.0662	0.0951	1.4364
TRINITY_DN103621_c0_g1_i2	NA	NA	NA	NA	-0.154833732	unbias	0.700727109	Ovary_mean	0.1704	0.2308	1.3544
TRINITY_DN103622_c0_g3_i3	iqcg	Chr05	110532259	110532259	-0.022043875	unbias	0.5106073	Ovary_mean	0.1036	0.1679	1.6208
TRINITY_DN103653_c0_g1_i1	NA	NA	NA	NA	0.108650111	unbias	0.767498165	Brain_fmean	0.0311	0.0462	1.4862
TRINITY_DN103698_c0_g1_i1	NA	NA	NA	NA	0.475245246	unbias	0.673602195	Brain_fmean	0.009	0.0124	1.3701
TRINITY_DN103704_c0_g1_i1	NA	NA	NA	NA	2.941640836	unbias	0.779787765	G31_mmean	0.1949	0.2886	1.4806
TRINITY_DN103720_c0_g1_i2	oprd1	Chr02	52800257	52800257	-1.55021912	unbias	0.498870473	Brain_mmean	0.1192	0.1809	1.5179
TRINITY_DN103776_c0_g1_i1	NA	NA	NA	NA	0.291356817	unbias	0.647431101	G31_mmean	0.2604	0.4291	1.6479
TRINITY_DN103783_c0_g1_i1	tmem55a	Chr06	111742449	111742449	-0.204800439	unbias	0.490403251	Ovary_mean	0.1565	0.2719	1.738
TRINITY_DN103838_c0_g1_i1	cpox-like	Chr02	16477067	16477067	-4.180733467	female	0.793468978	Ovary_mean	0.0743	0.1212	1.6324
TRINITY_DN103855_c0_g1_i1	NA	NA	NA	NA	-0.158068378	unbias	0.557022048	Testis_mean	0.0197	0.0249	1.2626
TRINITY_DN103859_c0_g1_i1	NA	NA	NA	NA	-0.070872068	unbias	0.962343999	Testis_mean	0.1828	0.3626	1.9837
TRINITY_DN103877_c0_g1_i1	NA	NA	NA	NA	1.110551479	unbias	0.765756223	G23_mmean	0.0853	0.1265	1.4828
TRINITY_DN103891_c0_g1_i1	NA	NA	NA	NA	-1.232071012	unbias	0.524909783	Brain_mmean	0.077	0.1254	1.6285
TRINITY_DN103896_c0_g1_i2	kiaa1715	Chr09	59802739	59802739	0.269897546	unbias	0.542271212	G23_mmean	0.136	0.2344	1.7238
TRINITY_DN103989_c0_g1_i1	NA	NA	NA	NA	-0.302546465	unbias	0.258720657	Ovary_mean	0.0885	0.1434	1.6201
TRINITY_DN104173_c0_g1_i1	ift22	Chr02	42701284	42701284	-0.094281256	unbias	0.265391286	Testis_mean	0.1217	0.2082	1.7112
TRINITY_DN104287_c1_g1_i1	ankle2-like	Chr01	146995879	146995879	0.539349605	unbias	0.518937609	Brain_fmean	0.0892	0.173	1.9391
TRINITY_DN104339_c0_g1_i2	slc37a3-like	Chr03	219441	219441	0.838319124	unbias	0.443111179	Ovary_mean	0.0099	0.0157	1.5775
TRINITY_DN104365_c0_g3_i1	rnmt	Chr06	87920054	87920054	-0.170705822	unbias	0.471346293	Ovary_mean	0.0999	0.1188	1.1895
TRINITY_DN104428_c0_g1_i2	NA	NA	NA	NA	-0.304642622	unbias	0.288033524	G23_mmean	0.0885	0.1168	1.3195
TRINITY_DN104464_c0_g1_i1	NA	NA	NA	NA	-0.18024071	unbias	0.297143318	Brain_mmean	0.0939	0.1014	1.0793
TRINITY_DN104508_c0_g2_i3	NA	NA	NA	NA	0.445433071	unbias	0.302173955	Ovary_mean	0.1025	0.1619	1.579
TRINITY_DN104654_c0_g1_i1	NA	NA	NA	NA	-0.272639576	unbias	0.667587307	Ovary_mean	0.0931	0.1819	1.954
TRINITY_DN104667_c0_g1_i3	alg5	Chr02	148805808	148805808	0.408130615	unbias	0.464926481	Brain_mmean	0.0959	0.1441	1.5034
TRINITY_DN104694_c0_g1_i1	NA	NA	NA	NA	0.365453087	unbias	0.402121776	Brain_mmean	0.0241	0.0443	1.8389
TRINITY_DN104721_c0_g1_i1	NA	NA	NA	NA	0.197466316	unbias	0.705658308	Brain_mmean	0.0491	0.078	1.5902
TRINITY_DN104732_c0_g1_i1	NA	NA	NA	NA	0.346622667	unbias	0.613586486	G43_M_mean	0.2624	0.4046	1.5421
TRINITY_DN104740_c0_g1_i2	NA	NA	NA	NA	0.037704406	unbias	0.452856277	Ovary_mean	0.0484	0.0932	1.925
TRINITY_DN104751_c0_g1_i2	axin1	Chr09	9321325	9321325	-0.354465875	unbias	0.401085647	Ovary_mean	0.0416	0.06	1.4428
TRINITY_DN104801_c0_g1_i1	NA	NA	NA	NA	0.111891143	unbias	0.52790364	Brain_fmean	0.0525	0.0603	1.1476
TRINITY_DN104812_c0_g1_i2	NA	NA	NA	NA	-0.400350973	unbias	0.410673238	Ovary_mean	0.0791	0.1036	1.3096
TRINITY_DN104972_c0_g1_i2	NA	NA	NA	NA	-0.629945386	unbias	0.088868842	G27_fmean	0.0377	0.0743	1.9699
TRINITY_DN105056_c0_g1_i3	NA	NA	NA	NA	0.309604224	unbias	0.729625244	G23_fmean	0.0876	0.1117	1.2757
TRINITY_DN105060_c0_g2_i3	NA	NA	NA	NA	0.033482638	unbias	0.576363007	Brain_fmean	0.0429	0.0716	1.6683
TRINITY_DN105151_c0_g1_i1	NA	NA	NA	NA	0.363236933	unbias	0.494258594	G23_mmean	0.204	0.4034	1.978
TRINITY_DN105232_c0_g1_i1	NA	NA	NA	NA	0.440688229	unbias	0.705667614	G43_M_mean	0.0514	0.0662	1.2874
TRINITY_DN105273_c0_g1_i2	ppp1r26-like	scaffold_606	46255	46255	-0.341890507	unbias	0.59619219	G27_mmean	0.1152	0.2008	1.743
TRINITY_DN105372_c0_g2_i1	mfap3l-like	Chr01	40665017	40665017	0.281123284	unbias	0.266458137	G46_M_mean	0.0978	0.1708	1.7466
TRINITY_DN105387_c0_g2_i3	NA	NA	NA	NA	0.043888714	unbias	0.527206497	Brain_mmean	0.0502	0.0665	1.3255
TRINITY_DN105400_c0_g1_i3	NA	NA	NA	NA	-0.125661257	unbias	0.24982071	Ovary_mean	0.1525	0.2011	1.3186
TRINITY_DN105438_c0_g1_i1	NA	NA	NA	NA	1.014273373	unbias	0.804005912	Brain_mmean	0.0759	0.0932	1.2285
TRINITY_DN105440_c0_g1_i1	NA	NA	NA	NA	-1.337457154	unbias	0.721561751	Ovary_mean	0.05	0.0838	1.6769
TRINITY_DN105441_c0_g2_i3	NA	NA	NA	NA	0.180562572	unbias	0.287618799	Ovary_mean	0.0128	0.0124	0.9683
TRINITY_DN105560_c0_g1_i2	NA	NA	NA	NA	-0.343392225	unbias	0.410375768	Ovary_mean	0.1374	0.1843	1.3417
TRINITY_DN105592_c1_g1_i2	NA	NA	NA	NA	-0.651305059	unbias	0.224430782	G27_fmean	0.1597	0.2378	1.4894
TRINITY_DN105601_c0_g1_i1	Xetrov90019068m	Chr07	98211599	98211599	-1.308970538	unbias	0.701864526	Ovary_mean	0.0889	0.1503	1.6911
TRINITY_DN105618_c0_g1_i1	NA	NA	NA	NA	-0.136990445	unbias	0.614486214	G27_mmean	0.0855	0.0799	0.9341
TRINITY_DN105647_c0_g2_i1	NA	NA	NA	NA	-6.765767424	female	0.921850243	Ovary_mean	0.5406	0.7804	1.4436
TRINITY_DN105705_c0_g1_i1	NA	NA	NA	NA	-0.023592474	unbias	0.511401922	G46_F_mean	0.1537	0.2185	1.4217
TRINITY_DN105721_c0_g1_i1	NA	NA	NA	NA	0.019503551	unbias	0.644234799	G46_M_mean	0.1036	0.1411	1.363
TRINITY_DN105726_c0_g1_i1	NA	NA	NA	NA	0.91190619	unbias	0.538085116	Ovary_mean	0.0788	0.1018	1.2921
TRINITY_DN105744_c0_g1_i1	rybp	Chr04	129685828	129685828	0.099367094	unbias	0.604993603	Brain_mmean	0.0641	0.1136	1.7726
TRINITY_DN105885_c0_g1_i1	NA	NA	NA	NA	-0.448504322	unbias	0.524479132	G46_F_mean	0.0701	0.1062	1.5145
TRINITY_DN105940_c0_g1_i2	NA	NA	NA	NA	-0.435591009	unbias	0.562203372	Ovary_mean	0.0124	0.0153	1.2403
TRINITY_DN106065_c0_g1_i2	suz12	scaffold_463	53201	53201	-0.004559564	unbias	0.439832165	Ovary_mean	0.0442	0.0531	1.2023
TRINITY_DN106090_c0_g2_i1	NA	NA	NA	NA	-0.422220862	unbias	0.213337935	Ovary_mean	0.1269	0.1557	1.227
TRINITY_DN106100_c0_g2_i1	NA	NA	NA	NA	0.31414844	unbias	0.805194125	Brain_fmean	0.0313	0.0286	0.9137
TRINITY_DN106101_c0_g1_i1	NA	NA	NA	NA	-0.166516957	unbias	0.114320571	Ovary_mean	0.031	0.0387	1.2467
TRINITY_DN106130_c0_g1_i1	LOC101734521	Chr02	68306981	68306981	0.562458817	unbias	0.704481421	Brain_fmean	0.0757	0.144	1.9021
TRINITY_DN106189_c0_g2_i1	pptc7	Chr01	154213561	154213561	0.252022173	unbias	0.583518706	Liver_fmean	0.1266	0.2486	1.964
TRINITY_DN106366_c0_g5_i1	NA	NA	NA	NA	0.638492792	unbias	0.527915597	Ovary_mean	0.0889	0.1226	1.3783
TRINITY_DN106368_c0_g2_i1	NA	NA	NA	NA	-0.027619629	unbias	0.256137111	G23_mmean	0.0957	0.1369	1.43
TRINITY_DN106392_c0_g2_i2	NA	NA	NA	NA	0.348538422	unbias	0.310371448	Ovary_mean	0.0667	0.1122	1.683
TRINITY_DN106464_c0_g2_i1	NA	NA	NA	NA	0.37130154	unbias	0.775014805	Brain_fmean	0.0366	0.0529	1.4454
TRINITY_DN106465_c0_g1_i1	NA	NA	NA	NA	0.003901993	unbias	0.165596721	Ovary_mean	0.0281	0.0393	1.3971
TRINITY_DN106476_c0_g1_i1	NA	NA	NA	NA	-0.093326917	unbias	0.369336964	Brain_mmean	0.0371	0.0623	1.678
TRINITY_DN106492_c0_g1_i4	NA	NA	NA	NA	0.924996849	unbias	0.718766725	Brain_mmean	0.0316	0.0313	0.9892
TRINITY_DN106515_c0_g1_i1	dppa2/4	scaffold_211	207400	207400	0.459037896	unbias	0.636689621	G23_mmean	0.1088	0.1004	0.9227
TRINITY_DN106620_c0_g1_i1	NA	NA	NA	NA	-0.002824318	unbias	0.536980079	Ovary_mean	0.0532	0.0741	1.3921
TRINITY_DN106706_c0_g1_i4	p2rx5	Chr02	31826532	31826532	-0.159263246	unbias	0.25862767	Testis_mean	0.1394	0.1304	0.9357
TRINITY_DN106733_c0_g1_i1	NA	NA	NA	NA	-0.063056359	unbias	0.754311614	Brain_mmean	0.1025	0.1451	1.4155
TRINITY_DN106899_c0_g2_i1	NA	NA	NA	NA	0.567144559	unbias	0.672974341	Ovary_mean	0.2917	0.4423	1.5162
TRINITY_DN106942_c0_g1_i1	NA	NA	NA	NA	-0.182858881	unbias	0.609934744	Ovary_mean	0.0487	0.0873	1.7914
TRINITY_DN106959_c0_g2_i1	NA	NA	NA	NA	-0.081170764	unbias	0.195071609	Ovary_mean	0.0436	0.0812	1.8649
TRINITY_DN107055_c0_g1_i1	sp8	Chr06	42814484	42814484	0.902623624	unbias	0.739769821	Brain_mmean	0.0649	0.0856	1.3191
TRINITY_DN107178_c0_g3_i1	lrrc20	Chr07	32617150	32617150	0.03920165	unbias	0.132910206	G23_fmean	0.0406	0.0775	1.906
TRINITY_DN107234_c0_g1_i1	NA	NA	NA	NA	0.077898899	unbias	0.462035998	Ovary_mean	0.0603	0.1094	1.8135
TRINITY_DN107308_c0_g1_i1	atp5f1	Chr02	40277075	40277075	-0.222361151	unbias	0.509824948	Ovary_mean	0.0086	0.0117	1.3675
TRINITY_DN107374_c0_g2_i1	NA	NA	NA	NA	0.619814306	unbias	0.771299558	Ovary_mean	0.0882	0.1595	1.8091
TRINITY_DN107396_c0_g1_i2	gjd4	Chr06	13273382	13273382	0.213949173	unbias	0.420752774	Brain_mmean	0.0701	0.0936	1.3351
TRINITY_DN107472_c0_g1_i1	accs	Chr04	3277600	3277600	0.49251454	unbias	0.478024315	Brain_fmean	0.0772	0.0918	1.1896
TRINITY_DN107473_c0_g2_i2	NA	NA	NA	NA	0.21400701	unbias	0.319180507	Ovary_mean	0.0783	0.1248	1.595
TRINITY_DN107530_c1_g1_i1	NA	NA	NA	NA	-0.181101989	unbias	0.326146599	Ovary_mean	0.0974	0.1502	1.5415
TRINITY_DN107586_c0_g1_i2	Xetrov90027159m	scaffold_210	275632	275632	0.10924832	unbias	0.276423953	Brain_fmean	0.0352	0.0451	1.2822
TRINITY_DN107672_c0_g2_i1	NA	NA	NA	NA	-0.080676801	unbias	0.60079732	G27_fmean	0.2023	0.2949	1.4581
TRINITY_DN107696_c0_g1_i4	anxa13	scaffold_81	468501	468501	-0.149507503	unbias	0.543133436	Ovary_mean	0.0631	0.067	1.0609
TRINITY_DN107740_c0_g1_i1	NA	NA	NA	NA	-0.26159104	unbias	0.651408248	Ovary_mean	0.0127	0.0151	1.1955
TRINITY_DN107761_c0_g1_i1	NA	NA	NA	NA	0.125286946	unbias	0.540941576	Brain_mmean	0.0647	0.1191	1.8409
TRINITY_DN107774_c0_g1_i2	NA	NA	NA	NA	-0.490870805	unbias	0.233174819	Ovary_mean	0.0257	0.0288	1.1202
TRINITY_DN107777_c0_g6_i1	NA	NA	NA	NA	0.527096618	unbias	0.393336697	Ovary_mean	0.039	0.0505	1.293
TRINITY_DN107787_c0_g1_i1	NA	NA	NA	NA	-0.311331732	unbias	0.358659886	Ovary_mean	0.0922	0.1632	1.7702
TRINITY_DN107852_c0_g1_i2	ryk	Chr05	126597146	126597146	0.178321486	unbias	0.375037377	Ovary_mean	0.0163	0.0093	0.571
TRINITY_DN107915_c0_g1_i1	NA	NA	NA	NA	0.605234817	unbias	0.447814593	Brain_mmean	0.0683	0.135	1.9753
TRINITY_DN107990_c0_g1_i1	NA	NA	NA	NA	-0.239520233	unbias	0.245202771	Ovary_mean	0.0848	0.1245	1.4687
TRINITY_DN108052_c0_g1_i1	NA	NA	NA	NA	-0.945561086	unbias	0.655005871	Liver_mmean	0.0734	0.0962	1.3092
TRINITY_DN108061_c0_g1_i1	NA	NA	NA	NA	-0.44054649	unbias	0.159037928	Ovary_mean	0.0392	0.065	1.6562
TRINITY_DN108116_c0_g2_i2	NA	NA	NA	NA	-0.474327812	unbias	0.496052093	G23_mmean	0.0638	0.1029	1.614
TRINITY_DN108119_c0_g1_i1	NA	NA	NA	NA	-0.190519057	unbias	0.683682963	G23_fmean	0.1589	0.208	1.309
TRINITY_DN108126_c0_g2_i2	NA	NA	NA	NA	-0.210495723	unbias	0.281067127	Brain_fmean	0.1477	0.2825	1.912
TRINITY_DN10812_c0_g1_i1	NA	NA	NA	NA	-0.028538972	unbias	0.340619516	G27_mmean	0.0493	0.0692	1.4016
TRINITY_DN108146_c0_g1_i2	NA	NA	NA	NA	-0.267041089	unbias	0.212059109	Brain_fmean	0.0442	0.0663	1.4996
TRINITY_DN108196_c0_g1_i1	lgi1	Chr07	27854961	27854961	-0.433165683	unbias	0.325066504	Ovary_mean	0.0643	0.0824	1.2798
TRINITY_DN108207_c0_g2_i1	NA	NA	NA	NA	-0.373646612	unbias	0.432472048	G46_M_mean	0.0476	0.0762	1.6008
TRINITY_DN108276_c0_g2_i1	NA	NA	NA	NA	-0.212762223	unbias	0.700956465	Testis_mean	0.0657	0.0724	1.1032
TRINITY_DN108314_c0_g1_i2	NA	NA	NA	NA	0.633419221	unbias	0.419949503	Brain_mmean	0.071	0.0918	1.2929
TRINITY_DN108316_c0_g1_i1	fam118b	Chr07	88741571	88741571	-0.109771275	unbias	0.445466245	Ovary_mean	0.0167	0.0211	1.2626
TRINITY_DN108376_c0_g1_i4	NA	NA	NA	NA	-0.23291855	unbias	0.541437415	G46_M_mean	0.0733	0.059	0.8048
TRINITY_DN108427_c0_g3_i5	NA	NA	NA	NA	-0.281682756	unbias	0.43547334	Ovary_mean	0.0748	0.1472	1.9671
TRINITY_DN108429_c0_g2_i1	NA	NA	NA	NA	0.172107188	unbias	0.453608037	Ovary_mean	0.0429	0.0528	1.2308
TRINITY_DN108436_c0_g1_i2	NA	NA	NA	NA	0.240385845	unbias	0.520227666	Ovary_mean	0.1115	0.0839	0.7527
TRINITY_DN108443_c0_g4_i4	NA	NA	NA	NA	-0.087598812	unbias	0.467501213	G46_M_mean	0.075	0.1463	1.9521
TRINITY_DN108476_c0_g1_i1	tulp1	Chr02	61266725	61266725	0.335618846	unbias	0.525235145	G46_M_mean	0.1888	0.331	1.7534
TRINITY_DN108509_c0_g1_i2	NA	NA	NA	NA	-0.18182811	unbias	0.501275028	G43_M_mean	0.158	0.1608	1.0172
TRINITY_DN108517_c0_g1_i1	NA	NA	NA	NA	0.12990103	unbias	0.730703553	G43_M_mean	0.1535	0.2728	1.7779
TRINITY_DN108539_c0_g1_i2	NA	NA	NA	NA	-0.329298346	unbias	0.178723397	Ovary_mean	0.0422	0.0714	1.6932
TRINITY_DN108541_c0_g1_i1	mtfr2	Chr05	34093859	34093859	0.250979707	unbias	0.446596101	Ovary_mean	0.0477	0.064	1.3418
TRINITY_DN108551_c0_g1_i2	NA	NA	NA	NA	-0.177609829	unbias	0.682001497	Brain_mmean	0.0144	0.021	1.4572
TRINITY_DN108558_c2_g1_i2	NA	NA	NA	NA	0.338778735	unbias	0.594215724	Ovary_mean	0.0506	0.0876	1.7305
TRINITY_DN108566_c0_g3_i1	NA	NA	NA	NA	0.391150869	unbias	0.807771452	G46_F_mean	0.1183	0.2185	1.8478
TRINITY_DN108580_c0_g1_i1	NA	NA	NA	NA	-0.283716321	unbias	0.384390432	Brain_fmean	0.0568	0.1092	1.9239
TRINITY_DN108588_c0_g1_i1	NA	NA	NA	NA	0.218048091	unbias	0.398238291	Brain_mmean	0.1556	0.2039	1.3108
TRINITY_DN108683_c0_g3_i1	NA	NA	NA	NA	-0.175932593	unbias	0.126396601	G23_mmean	0.053	0.0368	0.6955
TRINITY_DN108688_c0_g1_i1	NA	NA	NA	NA	0.140371533	unbias	0.587323385	Brain_fmean	0.0716	0.0933	1.3032
TRINITY_DN108726_c0_g1_i1	NA	NA	NA	NA	-0.411992001	unbias	0.135177663	G23_mmean	0.0854	0.1011	1.1838
TRINITY_DN108746_c0_g1_i1	NA	NA	NA	NA	-0.449081045	unbias	0.11727182	Brain_mmean	0.0337	0.0452	1.3443
TRINITY_DN108769_c0_g1_i3	NA	NA	NA	NA	0.357192131	unbias	0.394881415	Brain_fmean	0.0057	0.0063	1.0963
TRINITY_DN108791_c0_g2_i1	NA	NA	NA	NA	0.073429052	unbias	0.574594446	Brain_fmean	0.0333	0.0324	0.9722
TRINITY_DN108927_c0_g4_i1	NA	NA	NA	NA	-0.397747175	unbias	0.322498714	Ovary_mean	0.1596	0.2324	1.456
TRINITY_DN108930_c0_g1_i3	NA	NA	NA	NA	0.260379382	unbias	0.452281839	G27_fmean	0.2597	0.433	1.6673
TRINITY_DN108932_c0_g1_i1	NA	NA	NA	NA	-0.004408321	unbias	0.386398318	Ovary_mean	0.1002	0.0906	0.9041
TRINITY_DN108997_c0_g1_i1	NA	NA	NA	NA	0.034812217	unbias	0.165058426	G27_mmean	0.0581	0.0995	1.711
TRINITY_DN109101_c0_g2_i1	ncbp2	Chr05	97976339	97976339	-0.183800868	unbias	0.455714557	Ovary_mean	0.1856	0.1667	0.8984
TRINITY_DN109124_c0_g2_i2	NA	NA	NA	NA	-0.123779135	unbias	0.234747656	Brain_mmean	0.1062	0.2105	1.9825
TRINITY_DN109137_c0_g1_i1	NA	NA	NA	NA	-0.326042382	unbias	0.506166038	G43_M_mean	0.0366	0.0512	1.3995
TRINITY_DN109157_c0_g1_i1	NA	NA	NA	NA	0.166391285	unbias	0.258600445	Ovary_mean	0.0156	0.0301	1.9237
TRINITY_DN109160_c0_g1_i1	NA	NA	NA	NA	-0.541391856	unbias	0.173562251	Liver_mmean	0.1321	0.117	0.8858
TRINITY_DN109210_c0_g1_i1	card9	Chr02	81807178	81807178	0.683202398	unbias	0.776121111	Brain_mmean	0.0457	0.0624	1.3637
TRINITY_DN109252_c0_g1_i2	NA	NA	NA	NA	-0.378196835	unbias	0.597359884	Ovary_mean	0.1287	0.1821	1.4156
TRINITY_DN109275_c0_g1_i1	NA	NA	NA	NA	-0.157475079	unbias	0.514076437	Ovary_mean	0.0644	0.1112	1.7268
TRINITY_DN109277_c0_g2_i3	NA	NA	NA	NA	-0.438315564	unbias	0.306248417	G23_mmean	0.1038	0.1589	1.5305
TRINITY_DN109295_c0_g1_i1	pdlim4	Chr03	27258120	27258120	0.643306301	unbias	0.363830036	G23_fmean	0.1667	0.2407	1.4435
TRINITY_DN109298_c0_g1_i1	NA	NA	NA	NA	0.064648428	unbias	0.758613475	Liver_mmean	0.2703	0.5156	1.9072
TRINITY_DN109308_c0_g1_i1	NA	NA	NA	NA	-0.618538015	unbias	0.544668429	Ovary_mean	0.1947	0.307	1.5763
TRINITY_DN109310_c0_g2_i2	fbxw8	Chr01	156166963	156166963	0.281100734	unbias	0.629992808	G43_M_mean	0.0443	0.0719	1.6242
TRINITY_DN109331_c0_g1_i1	tfdp2	Chr05	126015088	126015088	-0.309255248	unbias	0.250276095	Ovary_mean	0.022	0.0175	0.7944
TRINITY_DN109423_c0_g1_i2	NA	NA	NA	NA	-0.191459149	unbias	0.302691416	G43_F_mean	0.1955	0.2882	1.4741
TRINITY_DN109424_c0_g2_i2	NA	NA	NA	NA	0.363650811	unbias	0.517822092	Testis_mean	0.0755	0.1195	1.5831
TRINITY_DN109430_c0_g5_i1	spint2	Chr08	56055869	56055869	-0.351013788	unbias	0.590125319	Ovary_mean	0.165	0.2426	1.4703
TRINITY_DN109439_c0_g1_i1	NA	NA	NA	NA	1.06369396	unbias	0.70627884	G31_mmean	0.2616	0.2902	1.1096
TRINITY_DN109454_c0_g1_i2	NA	NA	NA	NA	-0.289811116	unbias	0.268798673	Ovary_mean	0.2116	0.3049	1.4406
