gid	A10FO1	A15MT1	A17FO1	A17MT1	A2FO2	A6FO1	A6MT1	A8FO2	A8MT1	A12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary
TRINITY_DN100549_c0_g1_i1	4.88907519	3.957440066	1.569758464	3.750610419	2.772715402	1.759794685	5.773503902	3.759273708	4.422276159	5.849469632	NA	NA	NA	NA	1.140650757	0.680270322
TRINITY_DN100550_c0_g1_i1	0.974915661	2.306720212	6.088999382	1.476369786	1.637154805	4.167119456	1.129479928	2.929964313	0.797848616	2.332850009	NA	NA	NA	NA	0.372455008	-0.97108437
TRINITY_DN100550_c0_g2_i1	2.972595603	1.20572124	7.858101728	0.825287691	2.38497855	5.082351828	0.918366501	5.856533302	0.973081625	1.727453964	NA	NA	NA	NA	1.344732952	-2.097017066
TRINITY_DN100586_c0_g1_i1	0.586601796	2.081912734	0	3.800053494	0.766163783	0	6.765818745	0	10.08129057	0.935775992	mogat1-like.1	Chr02	169580384	169580384	0.039484078	3.930112321
TRINITY_DN100595_c0_g1_i1	178.6326617	256.4975237	115.6201859	182.791895	88.9124963	105.040073	163.5542712	156.0205997	340.3031198	277.9161862	NA	NA	NA	NA	7.142242977	0.913138142
TRINITY_DN100637_c0_g1_i1	2.330606461	1.240735872	0.236961295	0.926459323	2.587415066	3.984720288	0.88203382	2.179113002	1.335120412	0.557684682	NA	NA	NA	NA	0.134232394	-1.195935612
TRINITY_DN100638_c0_g2_i1	143.5967992	62.88423959	118.1810924	47.07112575	94.9916602	119.9650792	35.92296702	110.2447445	45.2643606	54.65086286	LOC100495096	scaffold_261	12460	12460	7.462843195	-1.260719512
TRINITY_DN100681_c0_g1_i1	140.1314553	60.60254845	114.9284018	100.9755666	127.731452	89.93586805	97.27804187	111.3296838	88.76468439	85.60204054	NA	NA	NA	NA	5.064885431	-0.434233164
TRINITY_DN100684_c0_g1_i1	2.423422736	3.225370275	5.543960966	1.070395016	0	4.531856389	0	2.301300684	3.123655895	3.261906249	tet2	Chr01	63209689	63209689	0.327562074	-0.466351282
TRINITY_DN100684_c0_g3_i1	2.423422736	3.225370275	5.543960966	1.070395016	5.34135189	4.531856389	2.292901921	2.301300684	3.123655895	3.261906249	LOC100488348	Chr01	40704275	40704275	0.710326749	-0.645692792
TRINITY_DN100706_c0_g3_i1	22.80155686	6.165727437	4.139853205	8.632420985	11.27432541	9.60692622	8.365238397	8.946540704	7.464108466	5.845847669	NA	NA	NA	NA	2.036710971	-0.637134734
TRINITY_DN100751_c0_g1_i1	4.498510207	2.575112186	1.622961319	1.538272083	1.705798612	1.984841804	3.922791922	2.544011641	3.657726109	2.083425794	neurod4	Chr02	141301618	141301618	0.462197796	0.175607841
TRINITY_DN100779_c0_g1_i1	7.673948104	1.997282135	4.837478135	4.474120632	5.612871708	1.836858865	2.572342534	6.816371768	3.516902548	2.203534598	NA	NA	NA	NA	1.007231892	-0.8640126
TRINITY_DN100806_c0_g1_i1	20.42175817	1.017249286	5.026964606	1.898953892	8.423042835	5.145486633	2.4406588	20.8529948	1.231461995	0.771579273	NA	NA	NA	NA	1.211897233	-2.974916478
TRINITY_DN100830_c0_g1_i2	0.503045145	7.617541165	0.92063596	5.865780248	0	0.516044444	6.309765192	0.235173169	3.688658253	4.333404522	NA	NA	NA	NA	1.126675407	3.699629332
TRINITY_DN100835_c0_g1_i1	0.065548307	15.25071176	0.64423852	11.5614403	0.156957164	0.112070258	17.36504083	0.102145922	32.56859354	24.54683984	NA	NA	NA	NA	5.026191981	6.562094953
TRINITY_DN100856_c0_g1_i1	7.544156428	7.296356057	9.350074184	10.55588737	12.33481025	13.60463391	9.378187752	7.658750082	10.22084065	8.630802678	NA	NA	NA	NA	3.61515505	-0.128161474
TRINITY_DN100856_c0_g2_i1	9.749156606	4.448674695	4.956162288	8.48912627	8.913398381	6.905512242	10.54181266	8.627117143	7.180637546	6.332021452	NA	NA	NA	NA	1.977251884	-0.079277999
TRINITY_DN100882_c0_g1_i1	168.0748996	224.7229368	235.4006185	183.4389459	202.8319543	289.3190325	104.5275252	245.3721159	94.57486571	142.7865092	NA	NA	NA	NA	7.038110982	-0.613091924
TRINITY_DN100904_c0_g1_i1	4.030474111	0.414625658	10.86842474	0.928804789	9.155172297	11.83461926	0.947428732	4.096180769	0.200775069	0.62898361	NA	NA	NA	NA	0.870066314	-3.557492084
TRINITY_DN100915_c0_g2_i1	0.975897449	0.412329142	0.779609818	0.985237709	1.775370459	1.251394785	0.716057667	1.222047888	0.239595627	0.416999876	ppp2r5c	Chr08	76432024	76432024	0.015985883	-1.084116636
TRINITY_DN100985_c0_g1_i1	0.800219791	1.104470082	1.627225537	3.181022184	1.132269021	1.938232441	4.11008823	1.247006862	1.833668265	2.393531078	NA	NA	NA	NA	0.193571828	0.931137133
TRINITY_DN100998_c0_g1_i1	4.058972551	3.1372477	1.595737006	7.553649585	3.604983306	0.370121009	7.402759217	2.846349225	5.270541797	5.698063665	NA	NA	NA	NA	2.452869802	1.200132494
TRINITY_DN101035_c0_g3_i1	30.97810169	3.682355285	15.07012944	0.916540058	26.32847194	20.02001973	4.647878428	42.78842364	3.905870463	2.128038766	ptbp3	Chr01	95962064	95962064	2.857158672	-3.143141818
TRINITY_DN101042_c0_g2_i1	10.4834361	3.720683993	20.0790506	2.703152703	13.1188691	14.36334265	5.49939138	14.53741765	5.518643437	5.423900143	ca14	Chr08	111966709	111966709	4.55084606	-1.660433523
TRINITY_DN101047_c0_g1_i2	45.09307323	8.340502248	41.51900397	6.67271298	49.59846381	49.35004921	6.336242952	54.41459186	3.881385768	7.558619175	NA	NA	NA	NA	5.375597585	-2.882178859
TRINITY_DN101055_c0_g2_i1	1.957085158	1.827869811	3.246581308	1.728839272	4.439645495	3.78637372	2.171895777	2.166952773	2.478317264	2.957720547	NA	NA	NA	NA	0.9464393	-0.491429371
TRINITY_DN101072_c0_g1_i1	5.362036133	0.576680053	5.616983926	0.287071903	4.244475419	0.694519909	0.527090633	3.988006981	0.372329354	0.388808335	NA	NA	NA	NA	0.096244385	-3.147953191
TRINITY_DN101072_c0_g2_i2	1751.295433	32.46565095	1213.804417	16.62891275	1194.223907	717.4059333	24.96530587	1636.440323	15.17522707	21.59950051	NA	NA	NA	NA	9.994668229	-5.891858286
TRINITY_DN101074_c0_g1_i1	7.032947733	4.379067782	5.080728934	9.155598014	9.427501954	2.84790303	4.10256907	4.109871213	19.50846531	12.62171656	NA	NA	NA	NA	1.607722041	0.781254603
TRINITY_DN101087_c0_g1_i1	66.04282306	78.64930457	72.6046407	51.66476642	54.07273638	68.53592797	56.54965247	67.58698269	56.59347271	67.35366157	NA	NA	NA	NA	5.340161622	-0.084594557
TRINITY_DN101111_c0_g1_i2	6.852217621	15.38845564	16.64971163	12.72171661	14.10718349	20.94886462	6.027935828	8.551464635	7.451584794	11.39417177	cpt1b	Chr03	80241473	80241473	2.853205502	-0.340924402
TRINITY_DN101116_c0_g3_i1	3.207058466	0.210781384	1.449215022	0	5.119591201	3.579325	0	2.602946274	0	0	grhl3	Chr02	55205102	55205102	0.487845663	-6.201670564
TRINITY_DN101150_c0_g1_i1	13.83322248	5.006561255	19.14741429	2.873900185	9.482923617	14.9458986	4.304338523	14.83828571	1.878861846	2.816446161	NA	NA	NA	NA	4.54879022	-2.091770351
TRINITY_DN101150_c0_g2_i1	0	0	5.958031978	1.531088181	1.545117264	4.327444243	1.100689263	7.363275665	2.269492439	0.855811033	NA	NA	NA	NA	2.685194067	-1.736696763
TRINITY_DN101180_c0_g1_i1	0.642403823	0.189996676	6.204977194	2.837416024	4.090354676	4.25606957	1.1287811	1.313914133	1.472039953	0.768595595	LOC100216027	Chr04	40038217	40038217	0.158971044	-1.327115895
TRINITY_DN101193_c0_g1_i1	0.854555702	0.161755195	1.320664282	0.090587134	0.803620679	1.022744874	0.443537007	1.398264176	0.430798853	0.081793753	stc2	Chr03	33855176	33855176	0.555171378	-2.089269272
TRINITY_DN101217_c0_g1_i1	2.568423447	1.519268414	2.089128148	2.268879974	1.677315889	2.1956622	1.874643308	1.350827703	0.441407156	1.536478206	NA	NA	NA	NA	0.100873504	-0.343803769
TRINITY_DN101232_c0_g1_i1	0.371781802	1.639370737	0.343640159	1.552543162	0.110360506	0.173358681	1.589765058	0	2.710659508	1.698378595	rybp	Chr04	129685828	129685828	1.138246668	3.198190205
TRINITY_DN101244_c0_g1_i1	10.7778152	5.702105282	4.219927735	5.381348833	6.120418617	7.439557559	4.777459779	6.259154367	3.221333078	6.727813081	NA	NA	NA	NA	2.675340108	-0.438866135
TRINITY_DN101247_c0_g2_i1	0	2.207654172	0.750105063	0.843397453	0	1.150072718	0	0	0.894991062	1.142292073	NA	NA	NA	NA	0.25979809	1.444710524
TRINITY_DN101247_c0_g3_i1	1.239871121	3.237102114	2.955942128	2.492684874	2.568707237	0.986827424	4.045152016	1.848847497	4.702526643	4.910656473	NA	NA	NA	NA	2.270066181	1.005937148
TRINITY_DN101269_c0_g2_i1	9.555112397	4.994808292	4.744550864	9.324076973	6.385108127	4.654063752	6.787878246	4.674774522	6.492156942	7.178288069	NA	NA	NA	NA	2.058456634	0.208930532
TRINITY_DN101294_c0_g1_i1	14.56192469	2.949876352	3.752114793	7.224780771	7.88133033	5.883204097	10.13776047	14.92095819	3.656767836	2.26730163	NA	NA	NA	NA	2.399906031	-0.840462179
TRINITY_DN101332_c0_g1_i1	5.680186091	6.563587474	3.089088937	14.9365045	6.211190366	3.952401469	3.785194755	5.866762724	5.59986191	7.112076124	cdk9	Chr08	2359461	2359461	1.770924181	0.590148206
TRINITY_DN101356_c0_g1_i1	16.04217443	23.0452805	31.41313505	9.072598593	19.89958933	22.13095569	10.18761809	11.70588508	5.737661551	12.03398746	NA	NA	NA	NA	4.713420362	-0.747939331
TRINITY_DN101361_c0_g1_i2	2.076178625	10.42723695	1.51349472	2.94139038	1.151196856	1.841833783	2.266161595	2.060260701	6.103925712	3.046435425	NA	NA	NA	NA	2.584065067	1.508402493
TRINITY_DN101369_c0_g1_i1	0.476961322	0.423196731	6.789216626	0.158000815	2.608652399	3.669649382	0.128935176	2.020747231	0.273233945	0.499322332	sec31a	Chr01	91624136	91624136	1.059897754	-3.404158964
TRINITY_DN101369_c0_g2_i1	1.691707012	0.66711664	6.163406707	0	2.485741154	6.507835436	0.45731285	2.306708722	0.323039318	0.674673526	NA	NA	NA	NA	0.215214226	-3.13825836
TRINITY_DN101425_c0_g1_i1	7.298603296	0	3.351309737	0	5.586393754	4.629187804	0	9.447455476	0	0.09389589	NA	NA	NA	NA	1.504843006	-8.031032948
TRINITY_DN101437_c0_g1_i1	176.8502432	186.3278115	102.580841	172.2131968	91.79047051	101.9686597	135.1199403	153.8104485	80.51945937	145.5906058	uox	Chr04	29744316	29744316	6.600391697	0.184893391
TRINITY_DN101457_c0_g1_i1	116.0706731	36.01778845	119.7692018	36.58936453	105.1417197	119.4653618	21.53541729	109.2876689	20.2972688	31.19353726	NA	NA	NA	NA	7.473385529	-1.975176504
TRINITY_DN101472_c0_g1_i1	10.86640689	14.52654338	28.94647751	13.34275954	12.70244225	21.73705578	10.69240998	11.17607877	8.590462353	15.34114394	NA	NA	NA	NA	3.24340191	-0.441101505
TRINITY_DN101477_c0_g1_i2	0.404474164	2.073532096	0.493492435	0.976625994	0.457847777	0.78374962	0.816405281	0.094545661	4.44880637	2.709995608	NA	NA	NA	NA	1.804458464	2.299558851
TRINITY_DN101481_c0_g1_i2	1.276580138	1.174631092	1.153729582	2.004797223	0.555782744	2.303870552	3.374244133	6.299556695	6.337991692	2.715284436	spryd7	Chr02	146554790	146554790	0.54182024	0.422793192
TRINITY_DN101488_c0_g2_i2	72.80907894	65.0488803	62.6929726	49.0172009	42.94142347	48.24303391	60.13629308	89.36494833	49.93617606	55.46197	NA	NA	NA	NA	6.040973742	-0.188324358
TRINITY_DN101489_c0_g1_i1	7.759978913	0	3.155941905	0	9.020461942	1.857451453	0	5.623064296	0	0	s1pr2	Chr03	126673962	126673962	0.457453392	-8.314355298
TRINITY_DN101504_c0_g2_i1	0.959598132	0.302730379	0.845570756	0.226049225	1.295114196	1.640658862	0.760920119	0.598148393	0.513071227	0.612319226	pfn2	Chr05	115233446	115233446	-0.039268694	-1.106721089
TRINITY_DN101542_c0_g1_i1	53.12156727	18.79545483	50.41704947	26.63172429	43.66107107	44.73880965	18.71171747	49.8771617	16.75933859	19.23864133	NA	NA	NA	NA	7.082221794	-1.277621101
TRINITY_DN101558_c0_g1_i1	27.63868673	7.041066466	10.9420855	13.54005569	12.13949966	5.506094942	11.01985717	24.29845748	17.84154902	14.24165088	NA	NA	NA	NA	3.639763217	-0.358131481
TRINITY_DN101592_c0_g2_i1	0.976111143	0.050207583	1.941745985	0.037490077	1.413480579	0.616764339	0.068835257	1.884845903	0	0	NA	NA	NA	NA	0.347866031	-5.063148526
TRINITY_DN101610_c0_g2_i1	279.1480064	149.9797178	173.1717807	93.05746673	102.3264543	174.6059526	56.01231837	247.6553582	175.5321077	112.082723	stag1	Chr05	128440591	128440591	7.162973086	-0.745688609
TRINITY_DN101728_c0_g2_i1	0.89027668	3.883782544	0.33944134	6.193276309	0.327036149	0.047566798	7.219955292	0.650318088	3.3787991	4.79321915	epor	Chr03	129216492	129216492	1.844865724	3.495145334
TRINITY_DN101751_c0_g1_i1	154.454125	76.55274331	142.0652285	44.23350469	121.4848449	113.6249349	33.39245324	181.3785576	34.38006077	49.66767961	NA	NA	NA	NA	6.168322421	-1.599087539
TRINITY_DN101758_c0_g1_i1	118.5936654	166.9911915	65.93387366	95.26721139	55.30891899	47.56062858	99.68938896	119.4166011	83.50152911	117.58201	NA	NA	NA	NA	5.835769248	0.448291001
TRINITY_DN101809_c0_g1_i2	2.812964199	14.38101113	2.315273491	10.0283507	1.662060186	1.975299295	9.885435643	2.113486594	11.47195916	9.736008999	sumo2	Chr10	35830902	35830902	3.789000596	2.349384489
TRINITY_DN101813_c0_g1_i1	0.735883183	0.054411008	2.197835688	0.162515124	1.651961114	1.61202455	0.074598209	1.720123752	0.105390236	0	NA	NA	NA	NA	0.466254551	-4.182615205
TRINITY_DN101833_c0_g1_i1	125.264266	20.22022873	93.70196044	9.229632499	106.6865784	106.6960341	15.96405756	135.1865664	31.22801737	12.09292798	NA	NA	NA	NA	6.332043442	-2.681386346
TRINITY_DN101867_c0_g1_i1	4.594182206	2.717540958	1.868429323	4.734781053	3.600291761	2.356450737	4.056965291	3.04268295	2.631841342	3.297989282	NA	NA	NA	NA	0.69757686	0.173268903
TRINITY_DN101876_c0_g1_i1	2.480968168	0.097835803	3.53148768	0.365270701	2.052257111	1.626022956	0.223556959	0.289962617	0.094750481	0.197888113	NA	NA	NA	NA	0.06004881	-3.227235344
TRINITY_DN101895_c0_g1_i1	2.72680956	5.211090661	0.284353553	4.138184975	0.456602659	0.478166435	4.687379729	2.124635177	3.92525401	4.433593224	NA	NA	NA	NA	1.557904846	1.869543753
TRINITY_DN101897_c0_g1_i1	0.942671368	1.433846513	1.36921215	2.141310653	0.659586526	1.381473065	6.734762123	1.180441199	2.545820069	2.6584959	NA	NA	NA	NA	1.215306731	1.518446502
TRINITY_DN101903_c0_g1_i1	70.03153244	9.749728834	54.75991406	15.31221311	51.21734228	57.65159688	14.72671783	83.25103898	10.68350069	11.38780275	NA	NA	NA	NA	6.093366936	-2.363597079
TRINITY_DN101903_c0_g2_i2	26.57515635	14.25738453	68.58215998	16.06650632	44.54059928	55.62572954	11.02654779	40.70775567	10.87424922	11.14426849	phka2-like	Chr02	40416520	40416520	5.550552853	-1.893340213
TRINITY_DN101907_c0_g2_i1	0.242024517	6.44228241	0.615187976	2.779377969	0.553191683	0.620696814	1.504788468	0.707164075	1.386471197	4.633072745	NA	NA	NA	NA	0.278201454	2.557964688
TRINITY_DN101935_c0_g2_i1	1.832267962	4.576125832	0.413985321	3.416999973	0.664759753	0.348077037	3.962481346	0.713819737	10.02989575	5.845847669	NA	NA	NA	NA	0.255733925	2.778220908
TRINITY_DN101953_c0_g1_i3	9.852031142	17.18152767	6.994574066	11.92915845	10.03909576	7.986552872	10.83672472	16.47770387	9.925432576	11.78733293	NA	NA	NA	NA	3.228484683	0.241087454
TRINITY_DN101966_c0_g1_i1	0.295051202	1.745280638	0.71997447	0.208512584	0.231220784	3.480770369	1.659009903	0.206904272	2.569167769	0.917826325	NA	NA	NA	NA	0.60860007	0.569706292
TRINITY_DN102000_c0_g1_i1	19.90363529	90.88731121	10.05392921	31.69305354	18.37951142	11.27106596	32.28285321	16.59478363	38.34583195	51.5705121	polr1a	Chr01	15112002	15112002	4.137722113	1.662161837
TRINITY_DN10201_c0_g1_i1	6.178544995	0.399734988	5.423092222	0.277162517	7.061102204	8.129079475	0.534993317	4.513225673	0.414781132	0.375387127	NA	NA	NA	NA	3.27241006	-3.938074498
TRINITY_DN102016_c0_g1_i1	41.60610392	46.33479019	46.90989777	35.63202547	43.74023527	46.95534187	35.39072318	42.86513198	27.32924246	43.40401706	st3gal6	Chr02	23604370	23604370	6.833062262	-0.244462534
TRINITY_DN102020_c0_g1_i1	2.000549477	3.313410247	2.305236178	5.183888003	2.177440425	2.394287133	4.686942718	1.714634436	2.139279642	3.031806033	NA	NA	NA	NA	0.709115665	0.801223221
TRINITY_DN102020_c0_g2_i1	5.822159879	2.104612717	2.959801591	3.857361012	6.231346098	4.838921425	3.75983108	6.237583683	0.741178995	2.128453104	NA	NA	NA	NA	0.847336642	-1.03116049
TRINITY_DN102033_c1_g2_i1	7.302225431	0.359949747	3.712220017	0.134387506	6.060271332	1.040406088	0.65799446	3.733826317	0	0.364027144	NA	NA	NA	NA	0.267685155	-3.684249954
TRINITY_DN102065_c0_g1_i1	207.8135513	64.85352352	230.4674299	54.92453082	184.1876792	193.3411512	40.91403231	201.5400824	35.73035811	47.47066239	slc5a7-like.1	Chr02	105961371	105961371	7.802192174	-2.066848894
TRINITY_DN102065_c0_g2_i1	4.39969805	2.885940706	0.930099178	6.580251679	0.768092452	0.819262504	5.95854565	3.10564744	1.397465241	3.179223848	ncf2	Chr04	89742909	89742909	2.300637322	0.985085699
TRINITY_DN102067_c0_g1_i1	2.635438303	0	0	1.985714607	1.467980104	1.126475517	5.406072907	3.080162807	1.420938902	0.741914225	NA	NA	NA	NA	0.825250069	0.207883986
TRINITY_DN102067_c0_g2_i1	5.777084454	25.51963781	4.418801966	69.24609521	4.568823541	3.534074663	76.5948251	2.973337955	63.76068918	44.13480706	NA	NA	NA	NA	5.304397413	3.718726949
TRINITY_DN102078_c0_g1_i1	56.3276894	59.35221205	67.91470925	31.26223238	65.23162076	41.06318069	25.28190533	65.59294926	23.98940555	55.35814328	NA	NA	NA	NA	6.375620406	-0.619114318
TRINITY_DN102078_c0_g2_i1	49.61022666	13.57076827	14.85304273	19.01078783	22.88995694	11.06352508	14.60362086	37.92883532	13.42363345	12.43415663	NA	NA	NA	NA	4.904585362	-0.921161181
TRINITY_DN102085_c0_g1_i1	36.88487139	23.16398061	16.7420534	30.04421029	24.59611087	26.10577777	38.84785633	39.33006786	21.67884444	19.84436035	NA	NA	NA	NA	5.016924019	-0.112781882
TRINITY_DN102104_c0_g1_i1	0.633979293	0.818203839	0.175797263	3.665724148	0.338745186	0.394158843	4.61171388	0.336800875	3.962005951	2.275548531	NA	NA	NA	NA	1.148611104	3.020525917
TRINITY_DN102108_c0_g1_i1	2.097545815	1.116662284	17.27447837	1.389688984	9.725636631	18.91745957	3.345428274	5.025579361	2.162895067	1.882185803	NA	NA	NA	NA	2.084602737	-2.369680404
TRINITY_DN102142_c0_g1_i1	0.09991918	0.118207965	0.177785107	0.066199547	0.342575578	0.192189775	1.134452737	0.058390163	0.658261099	0.567848189	arhgap4	Chr08	14121901	14121901	0.137773982	1.536435552
TRINITY_DN102158_c0_g1_i1	344.6301069	162.7661651	193.2588615	97.16548517	150.2005317	150.2808794	93.85559872	308.9022389	89.51664474	142.4087671	NA	NA	NA	NA	6.626621008	-0.988389356
TRINITY_DN102159_c0_g1_i2	8.082672686	2.358929929	2.09974036	5.315703337	3.650707369	2.709056363	2.88761072	3.41243043	3.753171824	4.260091323	pdilt	Chr09	18435564	18435564	2.930099422	-0.113260358
TRINITY_DN102162_c0_g1_i1	190.8690763	45.13134627	118.2087315	41.28067984	153.1606471	112.4556581	27.83897151	111.4290913	27.27270401	32.22710894	NA	NA	NA	NA	6.573296284	-1.989864092
TRINITY_DN102167_c0_g1_i2	55.83685279	32.80093872	55.23474647	33.37680967	48.631174	60.04225252	28.79182886	49.907873	26.44587855	30.3451091	NA	NA	NA	NA	6.729758129	-0.830377779
TRINITY_DN102192_c0_g1_i1	1.515744786	2.689770466	2.568522062	4.016911225	2.309676223	2.483542362	4.780365776	1.328642576	6.65708579	4.684856633	NA	NA	NA	NA	0.953147981	1.157650512
TRINITY_DN102193_c0_g2_i1	4.67643799	4.755115032	4.715410686	4.540736983	4.694517788	4.724596744	4.952179832	8.311290293	5.977850687	6.011224339	vps35	Chr04	25038462	25038462	3.28152983	-0.061856812
TRINITY_DN102201_c0_g1_i1	6.28501924	2.081912734	6.390209245	3.553296773	4.323352777	6.089241143	4.349454907	4.113537467	3.45644248	4.210991965	NA	NA	NA	NA	1.935352259	-0.608036793
TRINITY_DN102252_c0_g2_i1	0.089488057	2.090884562	0.227464462	1.027669165	0.116880836	0.229501343	2.298142417	0.496797619	2.845178708	1.579235405	gucy1a2	Chr02	157285509	157285509	1.82302778	3.089467448
TRINITY_DN102272_c0_g1_i1	43.0087148	32.27621681	38.23723279	19.04902422	36.51563844	44.47318194	23.05953478	40.89071792	20.56590987	24.7070632	NA	NA	NA	NA	5.816984082	-0.767402258
TRINITY_DN102276_c0_g1_i1	0.493637961	0.12977586	0.2974221	0.403765949	0.262673162	0.484512938	0.27677131	1.260717021	0.544627566	0.17499456	LOC100490446-like	Chr03	134527436	134527436	0.826555787	-0.876762508
TRINITY_DN102279_c0_g1_i1	18.43031888	9.21986154	14.9107151	15.02492191	11.9671927	20.86476236	12.44126365	16.30915641	13.42382573	13.60843961	gak	Chr01	80173675	80173675	5.267276657	-0.370066064
TRINITY_DN102279_c0_g2_i1	3.876264666	5.554181102	7.759884843	4.445071269	7.059632968	7.882885522	3.592649754	3.714345484	3.503263082	3.341452639	NA	NA	NA	NA	3.871742272	-0.562270635
TRINITY_DN102288_c0_g1_i1	2.713933536	5.902463085	9.030618397	3.58402165	4.851561478	11.20187724	6.002570752	4.133086952	2.355628291	3.181453071	NA	NA	NA	NA	3.744196512	-0.579886088
TRINITY_DN102300_c0_g1_i1	0.385084906	5.466830656	0.195764964	3.997047037	0	0.164598321	7.130751858	0.45006715	4.412025171	2.64919615	NA	NA	NA	NA	0.946757055	4.353418217
