gid	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	A10FO1	base	logA10FO1	A15MT1	logA15MT1	A17FO1	logA17FO1	A17MT1	logA17MT1	A2FO2	logA2FO2	A6FO1	logA6FO1	A6MT1	logA6MT1	A8FO2	logA8FO2	A8MT1	logA8MT1	A12MT1	logA12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	cutoff	co_sb
TRINITY_DN100465_c0_g1_i1	0.000687703	0.001862271	8.001122343	2	3.000202386	0.880522231	-0.183568666	2.27024208	1.182846143	1.150602707	0.20238977	5.954245961	2.573918818	1.590674631	0.669638766	0.301801895	-1.72832623	3.262079443	1.705791917	1.918697237	0.940127078	0.445248254	-1.167318141	NA	NA	NA	NA	0.128507463	-2.193780539	1	female
TRINITY_DN100538_c0_g1_i1	0.053818543	0.090271103	3.194723626	2	1.67569113	1.259824116	0.333222333	3.093516681	1.629247813	1.075100049	0.104470924	3.576553573	1.838570052	0.780304566	-0.357890753	1.727235458	0.788464766	2.489217544	1.315692319	1.045795417	0.064600653	1.274095005	0.349472859	NA	NA	NA	NA	0.032049629	-1.02241733	1	female
TRINITY_DN100550_c0_g2_i1	2.41E-05	8.78E-05	2.972595603	2	1.57172321	1.20572124	0.269896398	7.858101728	2.974180844	0.825287691	-0.277030972	2.38497855	1.253976291	5.082351828	2.34549625	0.918366501	-0.122858077	5.856533302	2.550046933	0.973081625	-0.039367267	1.727453964	0.788647264	NA	NA	NA	NA	1.344732952	-2.097017066	1	female
TRINITY_DN100586_c0_g1_i1	4.54E-06	1.87E-05	0.586601796	2	-0.769546607	2.081912734	1.057909598	0	NA	3.800053494	1.926019728	0.766163783	-0.384275265	0	NA	6.765818745	2.758264528	0	NA	10.08129057	3.333608434	0.935775992	-0.095764879	mogat1-like.1	Chr02	169580384	169580384	0.039484078	3.930112321	3	male
TRINITY_DN100637_c0_g1_i1	0.044386467	0.076406756	2.330606461	2	1.220705416	1.240735872	0.311196027	0.236961295	-2.077276665	0.926459323	-0.11020046	2.587415066	1.371511506	3.984720288	1.994478456	0.88203382	-0.18109412	2.179113002	1.123741012	1.335120412	0.416969862	0.557684682	-0.84247845	NA	NA	NA	NA	0.134232394	-1.195935612	1	female
TRINITY_DN100638_c0_g2_i1	7.74E-08	4.30E-07	143.5967992	2	7.165879781	62.88423959	5.974626581	118.1810924	6.884855429	47.07112575	5.556770452	94.9916602	6.569728952	119.9650792	6.906470701	35.92296702	5.166834608	110.2447445	6.784566072	45.2643606	5.50030367	54.65086286	5.772172369	LOC100495096	scaffold_261	12460	12460	7.462843195	-1.260719512	1	female
TRINITY_DN100806_c0_g1_i1	1.03E-06	4.78E-06	20.42175817	2	4.352035172	1.017249286	0.024673268	5.026964606	2.329687531	1.898953892	0.925204876	8.423042835	3.074341503	5.145486633	2.363307526	2.4406588	1.287270623	20.8529948	4.382182686	1.231461995	0.300372105	0.771579273	-0.374113706	NA	NA	NA	NA	1.211897233	-2.974916478	1	female
TRINITY_DN100830_c0_g1_i2	9.23E-10	6.94E-09	0.503045145	2	-0.991240217	7.617541165	2.929325391	0.92063596	-0.1192973	5.865780248	2.552323024	0	NA	0.516044444	-0.954432773	6.309765192	2.657586319	0.235173169	-2.088204623	3.688658253	1.883096132	4.333404522	2.115500918	NA	NA	NA	NA	1.126675407	3.699629332	3	male
TRINITY_DN100835_c0_g1_i1	6.52E-31	3.34E-29	0.065548307	2	-3.931297671	15.25071176	3.930804671	0.64423852	-0.634333171	11.5614403	3.531249232	0.156957164	-2.671557215	0.112070258	-3.157524639	17.36504083	4.118113898	0.102145922	-3.291296487	32.56859354	5.025409514	24.54683984	4.617465399	NA	NA	NA	NA	5.026191981	6.562094953	5	male
TRINITY_DN100904_c0_g1_i1	1.10E-09	8.22E-09	4.030474111	2	2.010949555	0.414625658	-1.270118698	10.86842474	3.442070947	0.928804789	-0.106552684	9.155172297	3.194587037	11.83461926	3.564941388	0.947428732	-0.077910671	4.096180769	2.034279384	0.200775069	-2.316347959	0.62898361	-0.668905671	NA	NA	NA	NA	0.870066314	-3.557492084	3	female
TRINITY_DN100915_c0_g2_i1	0.03874885	0.067860119	0.975897449	2	-0.035198543	0.412329142	-1.278131665	0.779609818	-0.359175836	0.985237709	-0.021456248	1.775370459	0.828120097	1.251394785	0.323536997	0.716057667	-0.481852317	1.222047888	0.289300821	0.239595627	-2.061326518	0.416999876	-1.26188114	ppp2r5c	Chr08	76432024	76432024	0.015985883	-1.084116636	1	female
TRINITY_DN100998_c0_g1_i1	0.025576604	0.047073578	4.058972551	2	2.021114584	3.1372477	1.649499441	1.595737006	0.6742229	7.553649585	2.917173858	3.604983306	1.849992579	0.370121009	-1.433931066	7.402759217	2.888063104	2.846349225	1.50911268	5.270541797	2.397951275	5.698063665	2.510471741	NA	NA	NA	NA	2.452869802	1.200132494	1	male
TRINITY_DN101035_c0_g3_i1	1.27E-09	9.34E-09	30.97810169	2	4.953176835	3.682355285	1.880628829	15.07012944	3.913619903	0.916540058	-0.125730159	26.32847194	4.718551887	20.02001973	4.323371491	4.647878428	2.216572333	42.78842364	5.419148625	3.905870463	1.965644103	2.128038766	1.089524432	ptbp3	Chr01	95962064	95962064	2.857158672	-3.143141818	3	female
TRINITY_DN101042_c0_g2_i1	8.00E-07	3.78E-06	10.4834361	2	3.390039754	3.720683993	1.895567864	20.0790506	4.327619151	2.703152703	1.434643013	13.1188691	3.713571454	14.36334265	3.844319628	5.49939138	2.459271964	14.53741765	3.861699114	5.518643437	2.464313675	5.423900143	2.439330618	ca14	Chr08	111966709	111966709	4.55084606	-1.660433523	1	female
TRINITY_DN101047_c0_g1_i2	8.59E-22	2.38E-20	45.09307323	2	5.494833932	8.340502248	3.060134262	41.51900397	5.375699929	6.67271298	2.738273449	49.59846381	5.632223532	49.35004921	5.624979618	6.336242952	2.663627654	54.41459186	5.765921672	3.881385768	1.956571829	7.558619175	2.918122704	NA	NA	NA	NA	5.375597585	-2.882178859	1	female
TRINITY_DN101072_c0_g1_i1	1.66E-06	7.40E-06	5.362036133	2	2.422780941	0.576680053	-0.794156974	5.616983926	2.489795674	0.287071903	-1.80051596	4.244475419	2.08558626	0.694519909	-0.525912044	0.527090633	-0.923877041	3.988006981	1.995667935	0.372329354	-1.425348734	0.388808335	-1.362868948	NA	NA	NA	NA	0.096244385	-3.147953191	3	female
TRINITY_DN101072_c0_g2_i2	8.47E-49	9.60E-47	1751.295433	2	10.77420676	32.46565095	5.020842231	1213.804417	10.24532026	16.62891275	4.055621939	1194.223907	10.22185764	717.4059333	9.486645867	24.96530587	4.641852677	1636.440323	10.67634528	15.17522707	3.923646199	21.59950051	4.432926045	NA	NA	NA	NA	9.994668229	-5.891858286	5	female
TRINITY_DN101116_c0_g3_i1	2.16E-14	2.96E-13	3.207058466	2	1.681250655	0.210781384	-2.24618064	1.449215022	0.535271665	0	NA	5.119591201	2.356028616	3.579325	1.839687545	0	NA	2.602946274	1.380145534	0	NA	0	NA	grhl3	Chr02	55205102	55205102	0.487845663	-6.201670564	5	female
TRINITY_DN101150_c0_g1_i1	3.34E-09	2.30E-08	13.83322248	2	3.79006537	5.006561255	2.323820032	19.14741429	4.259077675	2.873900185	1.523009956	9.482923617	3.245331915	14.9458986	3.901677734	4.304338523	2.105791546	14.83828571	3.89125252	1.878861846	0.909858988	2.816446161	1.493875893	NA	NA	NA	NA	4.54879022	-2.091770351	1	female
TRINITY_DN101150_c0_g2_i1	0.066376881	0.108284217	0	2	NA	0	NA	5.958031978	2.574835867	1.531088181	0.614557375	1.545117264	0.627716333	4.327444243	2.113515231	1.100689263	0.138407237	7.363275665	2.880347714	2.269492439	1.182369682	0.855811033	-0.224635817	NA	NA	NA	NA	2.685194067	-1.736696763	1	female
TRINITY_DN101180_c0_g1_i1	0.046487931	0.079536456	0.642403823	2	-0.638447616	0.189996676	-2.395953916	6.204977194	2.633425908	2.837416024	1.504577695	4.090354676	2.032225945	4.25606957	2.089521733	1.1287811	0.174765737	1.313914133	0.393870996	1.472039953	0.557816828	0.768595595	-0.379703387	LOC100216027	Chr04	40038217	40038217	0.158971044	-1.327115895	1	female
TRINITY_DN101193_c0_g1_i1	0.000182183	0.000559418	0.854555702	2	-0.226753562	0.161755195	-2.628116048	1.320664282	0.401263774	0.090587134	-3.464550029	0.803620679	-0.315413406	1.022744874	0.032446306	0.443537007	-1.172873612	1.398264176	0.483636957	0.430798853	-1.214913686	0.081793753	-3.611865528	stc2	Chr03	33855176	33855176	0.555171378	-2.089269272	1	female
TRINITY_DN101232_c0_g1_i1	1.51E-08	9.37E-08	0.371781802	2	-1.42747194	1.639370737	0.713142151	0.343640159	-1.54102945	1.552543162	0.634633377	0.110360506	-3.179704118	0.173358681	-2.528168013	1.589765058	0.668813574	0	NA	2.710659508	1.438643904	1.698378595	0.764158094	rybp	Chr04	129685828	129685828	1.138246668	3.198190205	3	male
TRINITY_DN101247_c0_g2_i1	0.211468029	0.291199336	0	2	NA	2.207654172	1.142514192	0.750105063	-0.414835415	0.843397453	-0.24571543	0	NA	1.150072718	0.201725084	0	NA	0	NA	0.894991062	-0.16005482	1.142292073	0.191931581	NA	NA	NA	NA	0.25979809	1.444710524	1	male
TRINITY_DN101247_c0_g3_i1	0.024329451	0.045137534	1.239871121	2	0.310190167	3.237102114	1.694702876	2.955942128	1.563618024	2.492684874	1.317700508	2.568707237	1.361042471	0.986827424	-0.019130286	4.045152016	2.01619392	1.848847497	0.886626228	4.702526643	2.233436118	4.910656473	2.295915902	NA	NA	NA	NA	2.270066181	1.005937148	1	male
TRINITY_DN101361_c0_g1_i2	0.002027093	0.004948195	2.076178625	2	1.053930572	10.42723695	3.382285012	1.51349472	0.597883642	2.94139038	1.556498271	1.151196856	0.203134557	1.841833783	0.881142871	2.266161595	1.18025074	2.060260701	1.042826905	6.103925712	2.609737404	3.046435425	1.60712216	NA	NA	NA	NA	2.584065067	1.508402493	1	male
TRINITY_DN101369_c0_g1_i1	4.66E-07	2.29E-06	0.476961322	2	-1.068055816	0.423196731	-1.240599612	6.789216626	2.763245119	0.158000815	-2.661996095	2.608652399	1.383304719	3.669649382	1.875642227	0.128935176	-2.955282182	2.020747231	1.014888871	0.273233945	-1.871791368	0.499322332	-1.001956663	sec31a	Chr01	91624136	91624136	1.059897754	-3.404158964	3	female
TRINITY_DN101369_c0_g2_i1	1.71E-06	7.63E-06	1.691707012	2	0.758479729	0.66711664	-0.583989068	6.163406707	2.623727994	0	NA	2.485741154	1.313676073	6.507835436	2.70217777	0.45731285	-1.128746637	2.306708722	1.20583584	0.323039318	-1.630218325	0.674673526	-0.567738543	NA	NA	NA	NA	0.215214226	-3.13825836	3	female
TRINITY_DN101425_c0_g1_i1	3.88E-22	1.10E-20	7.298603296	2	2.867620408	0	NA	3.351309737	1.74472503	0	NA	5.586393754	2.481917265	4.629187804	2.210759093	0	NA	9.447455476	3.239925814	0	NA	0.09389589	-3.41279418	NA	NA	NA	NA	1.504843006	-8.031032948	7	female
TRINITY_DN101457_c0_g1_i1	6.55E-16	1.06E-14	116.0706731	2	6.858859691	36.01778845	5.170637695	119.7692018	6.904113162	36.58936453	5.193352455	105.1417197	6.716191427	119.4653618	6.900448569	21.53541729	4.428639374	109.2876689	6.771986818	20.2972688	4.343213706	31.19353726	4.963175254	NA	NA	NA	NA	7.473385529	-1.975176504	1	female
TRINITY_DN101477_c0_g1_i2	7.09E-05	0.000235892	0.404474164	2	-1.305880542	2.073532096	1.052090379	0.493492435	-1.018900126	0.976625994	-0.034121917	0.457847777	-1.127060077	0.78374962	-0.351535256	0.816405281	-0.29264258	0.094545661	-3.40284494	4.44880637	2.153418308	2.709995608	1.438290513	NA	NA	NA	NA	1.804458464	2.299558851	1	male
TRINITY_DN101489_c0_g1_i1	1.15E-15	1.80E-14	7.759978913	2	2.956052732	0	NA	3.155941905	1.658070648	0	NA	9.020461942	3.173201316	1.857451453	0.893324504	0	NA	5.623064296	2.491356543	0	NA	0	NA	s1pr2	Chr03	126673962	126673962	0.457453392	-8.314355298	7	female
TRINITY_DN101504_c0_g2_i1	0.036512045	0.06439776	0.959598132	2	-0.059497746	0.302730379	-1.723894638	0.845570756	-0.242002613	0.226049225	-2.145291123	1.295114196	0.373079312	1.640658862	0.714275294	0.760920119	-0.394183087	0.598148393	-0.741424652	0.513071227	-0.962768973	0.612319226	-0.707644112	pfn2	Chr05	115233446	115233446	-0.039268694	-1.106721089	1	female
TRINITY_DN101542_c0_g1_i1	2.43E-08	1.46E-07	53.12156727	2	5.731225807	18.79545483	4.232311922	50.41704947	5.655839785	26.63172429	4.735073935	43.66107107	5.448275617	44.73880965	5.483454967	18.71171747	4.225870078	49.8771617	5.640307465	16.75933859	4.066893309	19.23864133	4.265935012	NA	NA	NA	NA	7.082221794	-1.277621101	1	female
TRINITY_DN101592_c0_g2_i1	1.90E-12	2.05E-11	0.976111143	2	-0.034882668	0.050207583	-4.315950915	1.941745985	0.957354483	0.037490077	-4.737347401	1.413480579	0.499252061	0.616764339	-0.697208743	0.068835257	-3.860708496	1.884845903	0.91444658	0	NA	0	NA	NA	NA	NA	NA	0.347866031	-5.063148526	5	female
TRINITY_DN101728_c0_g2_i1	1.28E-09	9.44E-09	0.89027668	2	-0.167674329	3.883782544	1.957462425	0.33944134	-1.558765816	6.193276309	2.630702812	0.327036149	-1.612477982	0.047566798	-4.393901277	7.219955292	2.851989904	0.650318088	-0.620782543	3.3787991	1.756510572	4.79321915	2.260994903	epor	Chr03	129216492	129216492	1.844865724	3.495145334	3	male
TRINITY_DN101751_c0_g1_i1	2.49E-08	1.50E-07	154.454125	2	7.271034591	76.55274331	6.258382173	142.0652285	7.150409677	44.23350469	5.467067649	121.4848449	6.92463254	113.6249349	6.828135658	33.39245324	5.061450183	181.3785576	7.502860102	34.38006077	5.10350019	49.66767961	5.634235443	NA	NA	NA	NA	6.168322421	-1.599087539	1	female
TRINITY_DN101809_c0_g1_i2	3.81E-11	3.47E-10	2.812964199	2	1.492091191	14.38101113	3.84609321	2.315273491	1.211182621	10.0283507	3.326012449	1.662060186	0.732972625	1.975299295	0.982071265	9.885435643	3.305304546	2.113486594	1.079624961	11.47195916	3.520039888	9.736008999	3.283330502	sumo2	Chr10	35830902	35830902	3.789000596	2.349384489	1	male
TRINITY_DN101813_c0_g1_i1	2.35E-11	2.21E-10	0.735883183	2	-0.44245133	0.054411008	-4.199957634	2.197835688	1.136083533	0.162515124	-2.62135411	1.651961114	0.724179727	1.61202455	0.688873715	0.074598209	-3.744715196	1.720123752	0.782512361	0.105390236	-3.246186882	0	NA	NA	NA	NA	NA	0.466254551	-4.182615205	3	female
TRINITY_DN101833_c0_g1_i1	6.56E-16	1.06E-14	125.264266	2	6.968831107	20.22022873	4.337727412	93.70196044	6.550007327	9.229632499	3.206273204	106.6865784	6.737234881	106.6960341	6.737362742	15.96405756	3.996755481	135.1865664	7.078807987	31.22801737	4.964769072	12.09292798	3.596091692	NA	NA	NA	NA	6.332043442	-2.681386346	1	female
TRINITY_DN101876_c0_g1_i1	2.25E-06	9.77E-06	2.480968168	2	1.310903225	0.097835803	-3.353493674	3.53148768	1.820276064	0.365270701	-1.452962058	2.052257111	1.037211486	1.626022956	0.701347625	0.223556959	-2.161285639	0.289962617	-1.78606118	0.094750481	-3.399722923	0.197888113	-2.337243142	NA	NA	NA	NA	0.06004881	-3.227235344	3	female
TRINITY_DN101895_c0_g1_i1	0.001478171	0.00372723	2.72680956	2	1.447213946	5.211090661	2.381585355	0.284353553	-1.814242264	4.138184975	2.048998134	0.456602659	-1.130988834	0.478166435	-1.064415232	4.687379729	2.228781674	2.124635177	1.087215136	3.92525401	1.972786016	4.433593224	2.148476411	NA	NA	NA	NA	1.557904846	1.869543753	1	male
TRINITY_DN101897_c0_g1_i1	0.003362756	0.007812953	0.942671368	2	-0.085173185	1.433846513	0.519890598	1.36921215	0.453346	2.141310653	1.098494111	0.659586526	-0.600366167	1.381473065	0.466207434	6.734762123	2.751626989	1.180441199	0.239326179	2.545820069	1.348130457	2.6584959	1.410610241	NA	NA	NA	NA	1.215306731	1.518446502	1	male
TRINITY_DN101903_c0_g1_i1	7.38E-18	1.45E-16	70.03153244	2	6.129932752	9.749728834	3.285362094	54.75991406	5.775048277	15.31221311	3.936610909	51.21734228	5.678560487	57.65159688	5.849288664	14.72671783	3.880364025	83.25103898	6.379396372	10.68350069	3.417312551	11.38780275	3.509417504	NA	NA	NA	NA	6.093366936	-2.363597079	1	female
TRINITY_DN101903_c0_g2_i2	2.12E-10	1.73E-09	26.57515635	2	4.732006274	14.25738453	3.833637443	68.58215998	6.099761437	16.06650632	4.005984342	44.54059928	5.477049064	55.62572954	5.797680447	11.02654779	3.462909275	40.70775567	5.347231779	10.87424922	3.442843893	11.14426849	3.478230016	phka2-like	Chr02	40416520	40416520	5.550552853	-1.893340213	1	female
TRINITY_DN101907_c0_g2_i1	2.09E-05	7.68E-05	0.242024517	2	-2.046774895	6.44228241	2.687571905	0.615187976	-0.700900789	2.779377969	1.474762041	0.553191683	-0.854148629	0.620696814	-0.688039354	1.504788468	0.589560698	0.707164075	-0.499883109	1.386471197	0.471417646	4.633072745	2.211969335	NA	NA	NA	NA	0.278201454	2.557964688	1	male
TRINITY_DN101935_c0_g2_i1	3.53E-06	1.48E-05	1.832267962	2	0.873630507	4.576125832	2.194126723	0.413985321	-1.272348481	3.416999973	1.772730236	0.664759753	-0.589095056	0.348077037	-1.522521454	3.962481346	1.986404144	0.713819737	-0.486368303	10.02989575	3.326234706	5.845847669	2.547412236	NA	NA	NA	NA	0.255733925	2.778220908	1	male
TRINITY_DN102000_c0_g1_i1	2.55E-05	9.24E-05	19.90363529	2	4.31496005	90.88731121	6.506006989	10.05392921	3.329687531	31.69305354	4.986094761	18.37951142	4.200026511	11.27106596	3.49455206	32.28285321	5.012696187	16.59478363	4.052657914	38.34583195	5.260997866	51.5705121	5.688474467	polr1a	Chr01	15112002	15112002	4.137722113	1.662161837	1	male
TRINITY_DN10201_c0_g1_i1	2.64E-20	6.47E-19	6.178544995	2	2.627267133	0.399734988	-1.32288424	5.423092222	2.439115704	0.277162517	-1.851195932	7.061102204	2.819893399	8.129079475	3.023091993	0.534993317	-0.902407225	4.513225673	2.174158919	0.414781132	-1.269577826	0.375387127	-1.413548918	NA	NA	NA	NA	3.27241006	-3.938074498	3	female
TRINITY_DN102020_c0_g2_i1	0.039384296	0.068823371	5.822159879	2	2.541554457	2.104612717	1.073554778	2.959801591	1.565500469	3.857361012	1.947614175	6.231346098	2.639543849	4.838921425	2.274685513	3.75983108	1.910667847	6.237583683	2.640987266	0.741178995	-0.432106099	2.128453104	1.089805304	NA	NA	NA	NA	0.847336642	-1.03116049	1	female
TRINITY_DN102033_c1_g2_i1	2.14E-07	1.11E-06	7.302225431	2	2.868336208	0.359949747	-1.474132591	3.712220017	1.892282219	0.134387506	-2.895529078	6.060271332	2.599382388	1.040406088	0.057146746	0.65799446	-0.603852658	3.733826317	1.900654821	0	NA	0.364027144	-1.457882065	NA	NA	NA	NA	0.267685155	-3.684249954	3	female
TRINITY_DN102065_c0_g1_i1	1.16E-17	2.24E-16	207.8135513	2	7.699145924	64.85352352	6.019113054	230.4674299	7.84841907	54.92453082	5.779378736	184.1876792	7.525032749	193.3411512	7.595004927	40.91403231	5.354523825	201.5400824	7.654922981	35.73035811	5.159078468	47.47066239	5.568964276	slc5a7-like.1	Chr02	105961371	105961371	7.802192174	-2.066848894	1	female
TRINITY_DN102067_c0_g2_i1	4.00E-24	1.38E-22	5.777084454	2	2.530341585	25.51963781	4.673535949	4.418801966	2.143655276	69.24609521	6.113660815	4.568823541	2.191822723	3.534074663	1.821332519	76.5948251	6.259175019	2.973337955	1.572083452	63.76068918	5.994595318	44.13480706	5.463844986	NA	NA	NA	NA	5.304397413	3.718726949	3	male
TRINITY_DN102104_c0_g1_i1	1.63E-07	8.61E-07	0.633979293	2	-0.657492375	0.818203839	-0.289467789	0.175797263	-2.508015486	3.665724148	1.874098225	0.338745186	-1.561727651	0.394158843	-1.343150953	4.61171388	2.205303008	0.336800875	-1.570032208	3.962005951	1.986231047	2.275548531	1.186214355	NA	NA	NA	NA	1.148611104	3.020525917	3	male
TRINITY_DN102108_c0_g1_i1	4.65E-05	0.00016004	2.097545815	2	1.068702323	1.116662284	0.159192933	17.27447837	4.110570242	1.389688984	0.47476204	9.725636631	3.281792691	18.91745957	4.241646457	3.345428274	1.742190913	5.025579361	2.329289923	2.162895067	1.112963675	1.882185803	0.912409053	NA	NA	NA	NA	2.084602737	-2.369680404	1	female
TRINITY_DN102142_c0_g1_i1	0.030515493	0.055012748	0.09991918	2	-3.323094552	0.118207965	-3.080600846	0.177785107	-2.49179362	0.066199547	-3.917034845	0.342575578	-1.545505789	0.192189775	-2.379396512	1.134452737	0.181996505	0.058390163	-4.098130851	0.658261099	-0.603268153	0.567848189	-0.81642281	arhgap4	Chr08	14121901	14121901	0.137773982	1.536435552	1	male
TRINITY_DN102162_c0_g1_i1	7.06E-14	9.11E-13	190.8690763	2	7.576439573	45.13134627	5.49605791	118.2087315	6.885192794	41.28067984	5.367394825	153.1606471	7.25890185	112.4556581	6.813212441	27.83897151	4.799034008	111.4290913	6.799982123	27.27270401	4.769385841	32.22710894	5.010202866	NA	NA	NA	NA	6.573296284	-1.989864092	1	female
TRINITY_DN102192_c0_g1_i1	0.009752191	0.020176946	1.515744786	2	0.60002686	2.689770466	1.427483064	2.568522062	1.360938466	4.016911225	2.006086578	2.309676223	1.207690625	2.483542362	1.312399355	4.780365776	2.257121012	1.328642576	0.409953051	6.65708579	2.73489076	4.684856633	2.228004899	NA	NA	NA	NA	0.953147981	1.157650512	1	male
TRINITY_DN102252_c0_g2_i1	1.60E-08	9.90E-08	0.089488057	2	-3.482161035	2.090884562	1.064113413	0.227464462	-2.136286932	1.027669165	0.039375896	0.116880836	-3.096889693	0.229501343	-2.123425499	2.298142417	1.200468205	0.496797619	-1.009269836	2.845178708	1.508519272	1.579235405	0.659226239	gucy1a2	Chr02	157285509	157285509	1.82302778	3.089467448	3	male
TRINITY_DN102300_c0_g1_i1	5.56E-12	5.65E-11	0.385084906	2	-1.376751519	5.466830656	2.450704686	0.195764964	-2.352805506	3.997047037	1.99893455	0	NA	0.164598321	-2.602978475	7.130751858	2.834054201	0.45006715	-1.151787827	4.412025171	2.141441022	2.64919615	1.405554667	NA	NA	NA	NA	0.946757055	4.353418217	3	male
TRINITY_DN102303_c0_g1_i1	1.64E-28	7.45E-27	16.88009646	2	4.077251243	0	NA	22.66760114	4.502559817	0	NA	13.38083896	3.742096669	11.43529161	3.515421251	0.114795813	-3.122858072	35.36254219	5.144150088	0	NA	0	NA	cul3	Chr05	120359914	120359914	2.746385791	-8.711553043	7	female
TRINITY_DN102365_c0_g1_i1	2.63E-06	1.13E-05	169.6822879	2	7.406692168	110.3778997	6.786307529	172.0199485	7.426432068	52.03709617	5.701468552	166.3381898	7.377975627	136.4517876	7.092247485	61.86050395	5.950946681	225.2342182	7.815282212	65.15697271	6.025847671	82.2251589	6.361507986	NA	NA	NA	NA	7.128428978	-1.242321324	1	female
TRINITY_DN102370_c0_g1_i1	0.02381621	0.04432385	4.606519181	2	2.20367702	0.143412553	-2.801756785	1.479036872	0.564658019	0.535431833	-0.901225181	2.137476194	1.095908352	2.383504754	1.253084503	0.720941829	-0.472045238	7.084025411	2.824569387	1.388899342	0.473942046	3.480890031	1.799456237	NA	NA	NA	NA	0.577788756	-1.53598382	1	female
