gid	gname	chr	start	end	logCPM	logFC.FL.ML	PV.FL.ML	FDR.FL.ML	A2FL1	A17ML1	A17FL1	A15ML1	A12ML1	A12FL1	A7FL1	A8FL1	A8ML1	average	ward.D
TRINITY_DN109500_c0_g4_i1	NA	NA	NA	NA	1.38596337383296	-9.17194296030046	7.59066039363937e-07	0.000247913585925363	2.83426954093447	-3.03012314092908	-3.03012314092908	-3.03012314092908	-3.03012314092908	-3.03012314092908	1.61813685831232	3.60771531247201	-3.03012314092908	1	1
TRINITY_DN110205_c0_g1_i1	osbpl6-like	Chr09	59061971	59061971	4.32499574957568	-3.0610636832524	1.07702575528842e-08	5.51408077903472e-06	6.28044623168303	2.54331749354271	4.34960759244035	2.33020642267644	1.88211515831097	4.28301565746549	4.96567447587585	3.92807366837696	0.737774699140116	1	1
TRINITY_DN110867_c0_g1_i1	NA	NA	NA	NA	1.56099131751331	-2.70933373141041	0.000437088146858422	0.0403890769070199	1.58194760337012	-0.991729525760769	0.974302018206489	-2.34552183260596	0.679606521296761	1.19776107921906	0.926758683281637	3.7943853609567	-0.220581821384314	1	1
TRINITY_DN111143_c0_g1_i2	NA	NA	NA	NA	4.74363305551599	1.34496858376069	6.63261084505167e-05	0.0100513237790251	3.41666968689119	5.4343256649456	4.22486401540537	5.13182067177789	4.72686389231665	4.15564854646569	3.83283419436623	4.1989066410686	5.82729021374316	2	2
TRINITY_DN111338_c0_g1_i1	NA	NA	NA	NA	3.73320628260273	-1.57372384252596	0.00022138848832344	0.0246691890253584	3.08457894559104	2.26745366990918	4.02168482913615	1.85452920029139	2.94870674355129	4.20795228099755	4.3065877745022	4.94609958556794	3.22032131802937	1	1
TRINITY_DN111810_c0_g4_i1	pde7a-like	Chr06	103679339	103679339	1.30942670132251	-1.71587753651442	0.000499342308854953	0.0437918581325897	1.49816714166004	0.924392796258652	2.33203362056613	-0.479699676219413	-0.214139862016591	1.62454093382851	1.37129405918824	1.99837998098654	0.294100584389392	1	1
TRINITY_DN112260_c0_g1_i2	NA	NA	NA	NA	1.50086755621869	8.34100130825004	8.10988589793021e-15	9.03679815085247e-12	-3.03012314092908	-0.402563461216408	-2.32786633059037	3.15289512913382	0.738934778799643	-3.03012314092908	-3.03012314092908	-3.03012314092908	3.76421840679741	2	2
TRINITY_DN112525_c0_g1_i1	NA	NA	NA	NA	2.69163604727267	2.16114262255568	8.84268385289876e-05	0.0123166882518722	0.383746186683121	4.04282714613825	0.856920104756585	3.68193710679005	3.40761080075137	2.59561431638428	-0.500608334445424	1.73202138915474	2.47699159728575	2	2
TRINITY_DN112720_c0_g1_i1	NA	NA	NA	NA	1.12978922008387	2.04468660643903	9.29883730826776e-05	0.0128575091336143	-0.0485270644746848	2.0192788141909	0.513349969656812	2.04848321700504	2.07863478887312	0.2329374284184	-1.61845644889097	0.249653066975719	1.35081644158972	2	2
TRINITY_DN112749_c0_g3_i7	NA	NA	NA	NA	3.81204971352285	-1.29738577345181	0.000424429974112379	0.0396297487660572	4.95565381540753	3.16988622333239	3.98018442642414	2.67058431380102	3.33256127201027	4.02762686847647	3.87841132764201	4.11259555896554	2.53308829992204	1	1
TRINITY_DN112847_c0_g1_i1	NA	NA	NA	NA	0.483109948595366	-2.38133945958982	2.47559542323739e-05	0.00468952041023858	1.40921976986132	-2.00441420791874	1.4090068631056	-0.637584725639502	-1.1246338656865	0.874388212442064	0.219287648734627	1.17339947912953	-0.826492872310954	1	1
TRINITY_DN113022_c0_g1_i1	NA	NA	NA	NA	0.782457927551018	-8.54976725159723	6.83428458150028e-11	4.79488343805036e-08	2.65244298116716	-3.03012314092908	0.163904632280235	-3.03012314092908	-3.03012314092908	2.26130627855579	-0.851108313196784	1.17339947912953	-3.03012314092908	1	1
TRINITY_DN113202_c0_g1_i1	NA	NA	NA	NA	5.65478735421171	1.86917872945093	0.000214361588482034	0.0243152788659591	4.38524208827795	7.13974063745088	5.57867429903099	5.43920939443887	6.945319011204	4.52487840566892	3.92500787761256	3.20410435422092	4.92078424907211	2	2
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	1.24123335569683	5.37222515120994	1.52336748413895e-17	2.62337729564037e-14	-1.77933189482547	1.87709773448753	-1.85757418480317	1.82456358492939	2.83094573839883	-1.37475137816782	-2.52920808161061	-3.03012314092908	2.58708517285928	2	2
TRINITY_DN113738_c0_g2_i6	NA	NA	NA	NA	2.84583310534602	-2.51934738873607	2.11280363453684e-06	0.000625356863266114	4.59638872477597	1.47799815004012	2.61112645111899	0.218048625425793	1.00370615060577	2.07109302923146	3.58047101238024	3.28940449235196	1.22022072447276	1	1
TRINITY_DN114003_c0_g1_i1	NA	NA	NA	NA	3.16072252393701	1.75587009181218	0.00012552842933602	0.0163992071511189	2.39887110490516	3.42964626299691	2.97733807939846	4.03585243294474	3.05757660649023	2.07109302923146	0.719767759510201	1.70743536062927	4.52392976850368	2	2
TRINITY_DN114230_c0_g1_i1	NA	NA	NA	NA	0.305236362419454	-2.19954310453614	0.000536434759107395	0.0461247710078143	1.15942375057906	-2.00441420791874	0.0615049313690842	-1.88313204429709	-0.00499966769999979	1.49581705783015	0.478022907287406	0.661607085229831	-1.54305620508365	1	1
TRINITY_DN114670_c0_g1_i1	NA	NA	NA	NA	0.556461745912951	-2.95605218041029	1.80799429722722e-05	0.00364349318855055	1.84192941204698	-2.00441420791874	-0.778468275942756	-1.53352107754198	-1.1246338656865	1.39112800089885	0.368712791461031	1.77997109282263	-1.02820986199079	1	1
TRINITY_DN115366_c0_g1_i1	NA	NA	NA	NA	1.96799889349642	-1.70740896699098	9.6504556514018e-05	0.0132469986525003	2.37558238220113	0.824618083356176	1.89925391525275	0.391588136846623	0.903550372105343	3.0726687364872	2.19183893021997	2.57534226503458	1.12608950464718	1	1
TRINITY_DN115604_c0_g3_i1	NA	NA	NA	NA	4.90301272041677	-1.27075209093794	0.000478535464428839	0.042558203298946	6.01817950355065	3.93929391009091	4.87996389794863	4.08091079896872	4.29934235561641	5.16663102606744	4.54664997954813	5.60015149249718	3.92660309427553	1	1
TRINITY_DN115622_c0_g2_i1	NA	NA	NA	NA	4.16484361454492	1.83966401130968	7.52365426463141e-06	0.00175951336709769	2.55214522736143	5.19559699154374	4.00798357857682	5.02058054672483	4.66320314943366	3.50770654828093	2.21570961098297	2.11513369475872	4.65189500331322	2	2
TRINITY_DN115794_c1_g1_i1	NA	NA	NA	NA	3.01413335433396	-1.7752083849283	4.98909801717514e-05	0.00800919353723294	4.27628465637977	2.26745366990918	2.94893619266477	1.59532576258061	1.45669435645504	2.80026229896506	2.97205836424993	4.05529671281246	1.81028147467978	1	1
TRINITY_DN116092_c0_g3_i1	glp2r	scaffold_210	94957	94957	1.63398496661218	-2.24250926650385	0.000231220435786811	0.0256140860532723	3.01091816112533	0.0145712359246261	1.23173799059144	-0.207887057998669	0.0892008412977255	0.710021922026159	1.19037791124034	3.19529025529548	0.457626623616041	1	1
TRINITY_DN116300_c0_g1_i1	NA	NA	NA	NA	3.67949316055683	2.3852089742985	0.000381240949046836	0.0382108322634615	-0.876545550551878	4.04282714613825	1.80732121896871	5.39401530874502	3.56342939207436	2.28097243142444	3.66091993233903	-0.0523054226737227	4.49597544117046	2	2
TRINITY_DN116909_c0_g1_i3	NA	NA	NA	NA	1.48773476086875	1.93386347000363	0.000391180079136425	0.0385170639449269	-0.668591389638937	1.71935695578754	-0.168072532268742	2.87445733892813	2.29174371943312	1.68483730454884	0.0167938760650831	-0.230853857586268	1.71649334373795	2	2
TRINITY_DN117521_c0_g1_i1	gem	Chr06	112874071	112874071	0.423041223758685	3.19618558432363	0.000400568452555811	0.038647734525914	-3.03012314092908	1.82640991383517	0.349181740251493	-0.337401416548998	2.07863478887312	-1.64467407714898	-2.52920808161061	-3.03012314092908	0.972268061544047	2	2
TRINITY_DN117740_c0_g1_i2	NA	NA	NA	NA	0.342839179549631	-2.81937030978374	1.23593715757362e-05	0.0026013730639908	0.715917752028392	-0.991729525760769	0.794441879388674	-1.25232219196737	-1.96073461724589	0.766916941545498	1.79755950814698	-0.138819249145759	-1.54305620508365	1	1
TRINITY_DN117920_c0_g1_i5	fam3c	Chr03	60043221	60043221	2.61735904429687	2.4410719517769	1.32247320713916e-06	0.000410682130538312	0.383746186683121	4.21032611799061	1.86925591563474	2.67058431380102	2.59444348066668	1.39112800089885	-0.262139636864084	1.3103124509887	3.81789522653445	2	2
TRINITY_DN118022_c0_g1_i1	NA	NA	NA	NA	1.96585339588438	-5.97684745669555	1.36947669353912e-20	3.24274962571395e-17	2.88463075376663	-3.03012314092908	2.90525663675663	-2.34552183260596	-1.62532049432322	3.18130730810555	2.39366325004878	2.27425801823553	-2.35109427917736	1	1
TRINITY_DN118037_c0_g1_i1	tapbpl-like	Chr07	1801832	1801832	3.29540302884044	1.62379416769508	0.000401921749543634	0.038647734525914	1.49816714166004	4.13942535425835	3.3902831224847	3.46600184729675	4.46223182380583	2.84057852051544	1.55716093255496	1.34260266209274	3.59005250409878	2	2
TRINITY_DN118885_c0_g1_i1	NA	NA	NA	NA	4.72054531739322	1.22736155374798	0.000450249722970619	0.0412032874503982	3.24738570091971	4.63529892129459	3.84800047129726	5.75536813517409	5.23686466637534	4.37738611489501	4.04977073581309	4.43060391541718	5.24574848473913	2	2
TRINITY_DN118888_c0_g1_i2	NA	NA	NA	NA	0.668012013410853	-3.45721651229998	3.05865161760399e-06	0.000827714822746748	0.183739557412906	-2.00441420791874	1.36668957228783	-1.88313204429709	-0.753655347590238	1.31686151904346	0.0874971993072504	2.44756267189611	-2.35109427917736	1	1
TRINITY_DN119358_c1_g2_i4	NA	NA	NA	NA	1.91729209100023	1.33583243858578	0.000512732404410449	0.044758939800678	0.857128215058642	2.44594428042497	1.0295955272979	2.56580130173894	2.67259765014339	1.19776107921906	1.34267332687135	1.4940280406174	2.29429172214263	2	2
TRINITY_DN119520_c3_g2_i4	NA	NA	NA	NA	4.03933354702138	-6.1651565848631	9.99226539018469e-07	0.000315472472143781	6.80215701459318	-2.00441420791874	0.163904632280235	-3.03012314092908	0.485408343726932	4.43557433015256	1.65352251246301	3.12276904510233	-1.89122788999925	1	1
TRINITY_DN119631_c0_g1_i1	NA	NA	NA	NA	6.74296199468382	1.51085022382153	3.17937254433966e-05	0.00590459353994374	5.36039780089236	7.37174543606976	5.91416616436068	7.51331961186563	7.23528058468175	6.36294783009507	4.98084468976052	6.3045789305528	7.41764732387843	2	2
TRINITY_DN119647_c0_g2_i1	NA	NA	NA	NA	5.97907086882475	1.90842679486679	0.000478521196116603	0.042558203298946	2.88463075376663	6.43862389920801	6.05073534484336	7.11262139210535	6.49005930003797	5.40035853183488	4.28041802380032	2.78959658887812	6.79068711993796	2	2
TRINITY_DN119671_c0_g2_i1	erap1	Chr01	173056497	173056497	7.51364630621148	1.66422021165107	0.000187722309626745	0.0223214155360896	6.21142376222507	8.19574862188381	7.1471762353479	8.2804582065299	7.94144871086932	7.19698042037699	4.53720840964905	6.31986530495919	8.3636699749347	2	2
TRINITY_DN119785_c0_g3_i1	NA	NA	NA	NA	1.26369853954454	-1.61817387868104	0.000247113502631673	0.0270582143372935	1.54066545144751	-0.178972267826187	1.67485502368039	0.391588136846623	0.177625737098134	1.82539649910032	1.75475213847876	1.8933046977067	0.378179275552184	1	1
TRINITY_DN119834_c0_g1_i2	NA	NA	NA	NA	3.46794232780397	-2.1412685173304	0.000445939777381448	0.0410069767132853	2.57277036633502	1.77387616951981	4.28290584804816	1.82456358492939	2.85795808049172	3.06134102283539	2.85026760453205	5.41895159964505	0.378179275552184	1	1
TRINITY_DN119925_c1_g1_i1	Xetrov90023207m	Chr09	12703424	12703424	1.39371710436463	-3.1198189472866	7.7347806272324e-06	0.00176530059544173	1.15942375057906	0.0145712359246261	2.1191215827171	-0.637584725639502	-3.03012314092908	0.456939540129424	2.70604783238682	2.64172696379467	-0.649551168478271	1	1
TRINITY_DN120145_c0_g1_i1	NA	NA	NA	NA	2.09600691680081	-1.91769915051479	0.000538118270217334	0.0461247710078143	3.56815976281395	-0.178972267826187	3.08566404937621	0.930961717971611	0.177625737098134	2.26130627855579	2.01267590918572	1.24347950046494	1.58113213777877	1	1
TRINITY_DN120232_c0_g1_i1	NA	NA	NA	NA	5.39795084053431	1.70973523698292	0.00025207043086403	0.0274423573095248	3.45049772869231	6.55215838558093	5.03662505304164	6.06827545012674	5.85503793318852	5.39810910191777	2.90022429844207	3.58764791118476	5.80087560271649	2	2
TRINITY_DN120237_c0_g2_i1	NA	NA	NA	NA	6.36716250916639	1.7690585624073	4.89489402593493e-05	0.00799344633907633	5.79059233567369	6.99807484169637	5.1532451354729	6.13083118230131	7.85819290852223	5.69237202015223	3.79372151151567	5.43775701428631	6.82573413477913	2	2
TRINITY_DN120299_c0_g3_i2	NA	NA	NA	NA	0.539763898383945	-6.42168501689476	3.52748944694234e-09	2.02488583616451e-06	0.715917752028392	-3.03012314092908	2.53673924318431	-3.03012314092908	-2.39853281370844	-1.37475137816782	0.926758683281637	1.3741859512978	-3.03012314092908	1	1
TRINITY_DN120303_c0_g4_i1	lepr	Chr04	79325592	79325592	1.16495422229285	-3.09662804533441	3.54459837339084e-05	0.00621715990621691	2.99572369137699	-3.03012314092908	1.27813869415337	-1.88313204429709	-1.62532049432322	0.524492430927592	1.59405485633378	1.65696947147466	0.378179275552184	1	1
TRINITY_DN120303_c3_g1_i1	NA	NA	NA	NA	8.3943860425075	-6.95038530964179	3.34673194498122e-11	2.53588572935117e-08	10.5290259359139	-0.991729525760769	7.41130468920954	-0.637584725639502	1.77281043193887	8.02693317359866	8.96066032755787	9.23219591758365	3.93356714098421	1	1
TRINITY_DN120435_c1_g1_i1	NA	NA	NA	NA	0.0639353694721118	-3.07758033680034	8.50062634633223e-05	0.0119279529539683	2.0326633315979	-0.991729525760769	0.259515405076559	-1.88313204429709	-2.39853281370844	-0.778380974963506	0.424402877919109	-0.0523054226737227	-1.89122788999925	1	1
TRINITY_DN120478_c0_g1_i1	NA	NA	NA	NA	1.70315750936639	-3.62146114462363	3.75225062466057e-05	0.00652099849384819	-0.668591389638937	-0.991729525760769	0.729134971444224	-1.01709375243476	-0.927253012309978	3.759765441792	-0.176793598175075	3.33826415069289	-0.649551168478271	1	1
TRINITY_DN120485_c1_g5_i1	NA	NA	NA	NA	3.54615843657037	-1.31013789738515	0.000542082619012816	0.0462552750088278	4.67480216212786	2.30496219661662	4.09480055506414	2.51041042579639	2.88447393792769	3.14956598996447	3.70374843892195	3.88487288829803	2.94507941086235	1	1
TRINITY_DN120502_c0_g1_i1	NA	NA	NA	NA	0.236151745214349	-2.81785132240368	2.82174390092466e-06	0.00077467093790168	0.715917752028392	-3.03012314092908	1.13420425241244	-1.88313204429709	-0.927253012309978	0.524492430927592	0.478022907287406	1.24347950046494	-1.26278759123677	1	1
TRINITY_DN120956_c1_g1_i8	NA	NA	NA	NA	0.38244729612314	-2.0039999221091	0.000175545615300598	0.0214539392944466	1.26458632767698	-0.667277823120409	0.513349969656812	-1.01709375243476	-1.62532049432322	0.766916941545498	0.826972299087114	1.02211784319929	-0.349898975320438	1	1
TRINITY_DN121035_c0_g2_i1	NA	NA	NA	NA	0.33968971167425	-2.62635538127649	5.06262402703298e-05	0.00801974823183284	0.559370981805798	-1.41098287253754	1.49009038232451	-1.53352107754198	-1.62532049432322	-0.357673174460982	1.60614610495595	0.379825832439678	-0.826492872310954	1	1
TRINITY_DN121044_c0_g1_i1	NA	NA	NA	NA	2.8292747805069	3.4224999771041	7.09664657916692e-10	4.48105920497197e-07	-0.876545550551878	4.18036569836259	1.27813869415337	3.57800572304062	3.79770517813931	1.62454093382851	-0.500608334445424	-0.956404509217663	3.73262477290436	2	2
TRINITY_DN121200_c0_g1_i1	NA	NA	NA	NA	-0.0729038211137614	-4.37247354972616	5.56391666941501e-07	0.00020268706436294	1.36260133383831	-3.03012314092908	-0.60001561168335	-3.03012314092908	-3.03012314092908	-0.2408905848568	1.15788998842619	0.249653066975719	-1.54305620508365	1	1
TRINITY_DN121385_c0_g3_i3	NA	NA	NA	NA	0.960461247119465	-4.7071985610821	1.71824554222724e-05	0.00349986293617319	2.46656318004393	-3.03012314092908	2.41743171726444	-2.34552183260596	-1.35336493377129	-2.40952652026907	2.29254122859688	-1.52722418035343	-2.35109427917736	1	1
TRINITY_DN121545_c0_g4_i1	NA	NA	NA	NA	1.97206276799379	-3.83614268879838	0.00040146431303572	0.038647734525914	-2.27321982702591	-2.00441420791874	4.00108384712299	-0.814896056712228	-0.105783329228196	3.93135552487433	-0.306783816545306	-0.434662489799186	-1.02820986199079	1	1
TRINITY_DN121659_c3_g1_i2	NA	NA	NA	NA	2.73595422982501	1.54798331513992	3.89099308168154e-05	0.00658098945949049	1.49816714166004	3.77526834245547	1.83862089776808	3.15289512913382	3.03408336488886	2.54771190082035	1.4934936732715	1.70743536062927	3.48967520813623	2	2
TRINITY_DN121738_c0_g2_i3	sla2	Chr10	34939460	34939460	6.19491242392192	-1.83859416806967	4.73145999591193e-07	0.000175741268044235	7.28946991343674	4.77550024072379	7.05357687770387	5.02058054672483	5.08509610384377	6.43603348066824	6.61949537293146	6.00632176128713	4.74983543517845	1	1
TRINITY_DN121821_c2_g2_i4	smpdl3b	Chr02	53646354	53646354	3.02698463182256	1.84485959850882	0.000351570303395073	0.035613883728411	1.77230383918841	4.72796410431684	1.80732121896871	1.14005968181827	3.71147151845087	1.52909069177839	1.77631458899338	2.61553848958289	3.68389792556215	2	2
TRINITY_DN121831_c0_g1_i1	NA	NA	NA	NA	8.63639973840789	2.77162279877347	1.2292238490148e-07	5.2920880390653e-05	6.46553843334845	10.2773430496779	6.02715572376946	9.73729971802867	9.11491651063556	8.10658482380367	6.04119406836461	5.8977757388719	8.56404235142539	2	2
TRINITY_DN122018_c0_g2_i1	NA	NA	NA	NA	1.31294600308076	2.03396325700746	4.14603865441085e-05	0.00688933423074602	-0.0485270644746848	1.26613402082084	0.588921688494403	1.82456358492939	2.81724750663752	-0.357673174460982	0.697336646570257	-0.548490757960183	1.95419934531086	2	2
TRINITY_DN122195_c3_g2_i1	neto1-like	scaffold_21	1970199	1970199	3.01310403435877	1.31439424564204	0.000323868212673616	0.0333425845254147	2.11933848881367	3.6927788976635	2.45830702463829	3.00041867957086	3.83216819083521	2.24136833659871	2.76655443942516	1.65696947147466	3.71656465885936	2	2
TRINITY_DN122337_c2_g1_i4	NA	NA	NA	NA	3.76903735253481	-1.3154524071531	7.91089710785953e-05	0.0114884875915004	4.10985258227226	2.82730499521852	4.41854902823618	2.88900857043226	2.657301853931	4.24346838778592	3.80425567779916	4.39255403690237	3.19735963167126	1	1
TRINITY_DN122349_c0_g1_i2	NA	NA	NA	NA	3.77542181452468	1.44260109039602	0.000546706396836848	0.0464406245528269	1.90834893411082	3.32399131031182	3.48233940608353	4.49650786833149	5.16026498290559	3.10612780277413	3.2085184485448	2.65464506215147	3.98139633297175	2	2
TRINITY_DN122533_c0_g1_i1	NA	NA	NA	NA	4.48879326422784	-3.73242756466986	5.86802759357042e-07	0.000209609557905694	3.9456053048766	2.74781987756467	4.8761979999071	0.391588136846623	1.05129182543839	3.06134102283539	4.02971187025976	6.90915294402958	0.917120301567039	1	1
TRINITY_DN122662_c0_g12_i1	NA	NA	NA	NA	0.554834616440195	-1.81842906999306	0.000195125211418928	0.0228330040280905	0.922867299081276	-0.402563461216408	1.13420425241244	-0.814896056712228	-0.598720840335565	1.27824362086907	1.09063339985821	0.760525270945106	-0.491959181085525	1	1
TRINITY_DN122892_c0_g1_i1	NA	NA	NA	NA	2.41151944814759	3.15252831677453	2.31551250680547e-06	0.000674811591021785	-1.77933189482547	3.24899542947312	1.63974675836742	3.15289512913382	0.954497222391933	0.2329374284184	-0.352853747041119	0.106559496398342	4.42856185727272	2	2
TRINITY_DN123466_c0_g1_i2	NA	NA	NA	NA	1.3117459107062	2.83963056407817	4.9384409215442e-05	0.00799563131425741	-1.11960610968956	1.26613402082084	-0.778468275942756	3.33396840614545	2.54543450974663	-0.778380974963506	-0.0575538323987555	0.17987964523616	-1.26278759123677	2	2
TRINITY_DN123704_c2_g4_i2	NA	NA	NA	NA	2.02410320140012	4.38830425606191	1.06464847216798e-08	5.51408077903472e-06	0.287206065685358	4.48816719561636	-0.982152083552943	2.04848321700504	2.71753544547965	-1.37475137816782	-2.52920808161061	-1.12278078425526	0.972268061544047	2	2
TRINITY_DN123723_c1_g1_i1	NA	NA	NA	NA	7.68859602565203	1.31706988157528	0.000499009417432698	0.0437918581325897	7.62866939436367	8.58211597350013	6.96238883517911	8.23632972688348	7.93115168158913	6.94141366555523	5.87563329102182	6.86467840804669	8.26428768743589	2	2
TRINITY_DN124234_c1_g3_i1	NA	NA	NA	NA	5.946127497191	1.46352587413719	0.000418544458740599	0.039495453968433	5.435517588022	6.99664283686637	5.32883152993938	6.64648442743017	6.13726764753877	5.69420666897858	4.80318209554856	3.36994152426948	6.38478173173086	2	2
TRINITY_DN124267_c8_g1_i2	nudc	Chr02	51999373	51999373	3.47924827033119	-4.04007390568093	1.952250203351e-05	0.00385223704188312	5.29051991308439	-1.41098287253754	5.26402406212917	1.14005968181827	0.954497222391933	1.46175786313166	3.84818711336836	-0.672075308568349	-1.02820986199079	1	1
TRINITY_DN124366_c0_g1_i1	NA	NA	NA	NA	0.805791745369369	-2.56096124208472	3.30610455420731e-05	0.00607087626950649	0.922867299081276	-0.178972267826187	1.4090068631056	-1.25232219196737	-1.35336493377129	0.589023199431274	0.806159230840824	2.44756267189611	-0.826492872310954	1	1
TRINITY_DN124380_c13_g1_i1	NA	NA	NA	NA	1.5072823632639	4.19996231001694	0.000460649630250435	0.041842796886292	-1.77933189482547	-0.667277823120409	0.513349969656812	0.751489706651752	-1.96073461724589	-3.03012314092908	-2.52920808161061	-2.48560899549787	4.38857657953594	2	2
TRINITY_DN124548_c3_g1_i1	sema3c	Chr03	69578158	69578158	3.77481916060056	1.26874253500492	0.000550958497990162	0.0465127644654549	3.47261697823995	4.18036569836259	2.78186732394515	3.94128060846421	5.02379751725125	2.7160839016776	2.6947687007845	3.51158286377181	3.89840579684343	2	2
TRINITY_DN124874_c1_g1_i1	NA	NA	NA	NA	0.670509159261015	2.82390374253466	1.8359704550379e-05	0.00366092508734557	0.383746186683121	2.51158442309594	-1.85757418480317	1.32265289788072	0.679606521296761	-0.778380974963506	-2.00312688618717	-1.52722418035343	1.30858456695586	2	2
TRINITY_DN124875_c1_g1_i1	NA	NA	NA	NA	0.0826568550721433	-4.17209424435271	5.05529102352665e-09	2.81654052525486e-06	0.287206065685358	-3.03012314092908	0.588921688494403	-1.88313204429709	-3.03012314092908	1.11252206673946	1.05579157005921	0.499219165474712	-1.89122788999925	1	1
TRINITY_DN124922_c6_g7_i1	NA	NA	NA	NA	3.37304074187227	1.52181615925286	0.000199005917369515	0.0231274177468143	2.78208654640434	3.85329526655619	2.04054507437028	4.61065165982042	3.57161164061975	3.0950607777288	1.25323806624758	2.76598033769053	3.81034830126365	2	2
TRINITY_DN124971_c4_g3_i1	NA	NA	NA	NA	9.3926882582814	1.64983272961269	0.000329480524846906	0.0337370247685132	7.30110492937951	9.95379108790976	7.94470008843951	9.38943284555906	9.97504570460508	9.24758575832905	7.82246368910406	8.92297613315318	10.6946156363957	2	2
TRINITY_DN124990_c0_g3_i2	NA	NA	NA	NA	8.27212110736985	1.27799018191066	0.000554655878696953	0.0465127644654549	8.18849149600542	8.71082741413421	7.84803814756932	8.76710192969777	8.78204788252095	7.24470639912255	7.25910483459455	6.90442872425818	9.07912054764063	2	2
TRINITY_DN125119_c3_g6_i1	NA	NA	NA	NA	0.673559392057036	-2.51267975049909	0.000392429569834286	0.0385170639449269	2.0326633315979	-3.03012314092908	0.916804549567983	-0.207887057998669	-1.35336493377129	2.09350935123085	0.310786373835983	-0.329162172574511	-0.649551168478271	1	1
TRINITY_DN125191_c7_g1_i1	NA	NA	NA	NA	1.77826388805029	1.75142343051559	0.000283631255397418	0.0303549540734084	0.639766686335897	2.90263862030242	1.60376277141734	1.91265547346416	2.91051123249653	0.524492430927592	0.983477191642981	-0.434662489799186	1.89834292724046	2	2
