"gid"	"A10FB"	"A10MB"	"A12FB"	"A15FB"	"A15MB"	"A16FB"	"A16MB"	"A17FB"	"A17MB"	"A8MB"	"gname"	"chr"	"start"	"end"	"logCPM"	"logFC.XYbrain.XXbrain"	"PV.XYbrain.XXbrain"	"FDR.XYbrain.XXbrain"	"meanXY"	"group1"	"meanXX"	"group2"
"3952"	"TRINITY_DN118022_c0_g1_i1"	1.098696348	4.335318556	1.188158039	3.008957061	61.00694364	2.01363827	2.263982193	1.22883304	3.049969668	102.447072	NA	NA	NA	NA	4.8059733	4.328585413	1.63796e-07	0.000135925	5.11356537398779	"meanmale"	0.772102326930108	"meanfemale"
"5682"	"TRINITY_DN120963_c0_g1_i2"	0.284497114	0.792416526	0.391570302	0.461713309	7.934436286	0.583982273	0.84177614	0.293718268	0.535431213	14.90349372	NA	NA	NA	NA	2.070038271	3.602486911	2.69739e-06	0.001326465	2.32239279203701	"meanmale"	-1.31044586258449	"meanfemale"
"5685"	"TRINITY_DN120967_c0_g2_i1"	3.857058647	4.506157295	2.290956526	2.77120381	11.26829474	2.46237988	3.498427962	2.806809162	4.355452804	13.39239009	NA	NA	NA	NA	4.754518311	1.377597036	2.74538e-05	0.007922827	2.88835255133064	"meanmale"	1.5047635642021	"meanfemale"
"5696"	"TRINITY_DN120979_c0_g1_i3"	21.54286908	57.0586171	43.96407627	45.57565334	160.7904338	47.3098715	92.03492275	47.08925575	75.07370927	201.7995788	NA	NA	NA	NA	8.138474646	1.507545183	4.18874e-06	0.001794066	6.87469311594921	"meanmale"	5.3609417021412	"meanfemale"
"6063"	"TRINITY_DN121505_c1_g3_i1"	3.081012593	6.953310249	0.931995805	1.298130716	3.849080444	2.119696677	3.706572942	0.897169797	6.824445521	2.508588949	NA	NA	NA	NA	2.553597986	1.511752127	0.000114937	0.022948548	2.25353540253175	"meanmale"	0.736129556262002	"meanfemale"
"6470"	"TRINITY_DN122025_c0_g1_i3"	3.987881377	6.455664333	2.513167749	4.528998851	10.61304559	1.899038323	7.995949794	2.756487771	7.986408867	4.12750411	"mturn"	"Chr06"	72716999	72716999	3.724843572	1.244302844	1.91749e-05	0.005920805	2.8944907875664	"meanmale"	1.64948431807872	"meanfemale"
"6541"	"TRINITY_DN122118_c0_g1_i1"	38.70758083	194.8358642	38.93454902	34.52445505	111.0916095	66.53248764	134.4395235	34.29261062	182.0615622	22.66914428	NA	NA	NA	NA	7.822575941	1.597235125	3.8999e-05	0.010153111	7.01144689445849	"meanmale"	5.41272857921998	"meanfemale"
"6669"	"TRINITY_DN122261_c0_g1_i1"	0.245917016	0.251151438	0.290117329	0.249438293	4.324412326	0.072112797	0.38979885	0.275045016	0.254552337	4.367683362	NA	NA	NA	NA	1.958731064	3.065248281	3.88076e-05	0.010153111	0.939316607064889	"meanmale"	-2.14161413472002	"meanfemale"
"7253"	"TRINITY_DN122960_c4_g4_i2"	8.244058837	20.66613445	9.146901004	9.078857094	17.21442095	5.093998602	16.42773499	8.409941637	13.40985977	25.45994502	NA	NA	NA	NA	3.274622575	1.219688964	4.1679e-06	0.001794066	4.21999857961867	"meanmale"	2.99907122491652	"meanfemale"
"7345"	"TRINITY_DN123054_c2_g2_i2"	1.760564	3.607349298	1.671151009	1.539459873	4.725823397	2.447824492	3.143479364	1.828073741	6.855369829	4.465448118	NA	NA	NA	NA	2.204781093	1.290972973	4.03018e-05	0.010290525	2.18890536857155	"meanmale"	0.887146707029188	"meanfemale"
"7836"	"TRINITY_DN123558_c0_g1_i1"	8.566343586	9.643432401	5.684641839	9.069148709	23.14737118	3.689496711	6.845758772	8.291247108	14.91293213	32.7054399	NA	NA	NA	NA	4.281487083	1.301498143	0.000295913	0.049237448	4.12524498706156	"meanmale"	2.81972449871345	"meanfemale"
"8043"	"TRINITY_DN123754_c0_g1_i2"	7.882225869	14.08405076	4.532507639	10.55955439	23.07074632	7.3048546	13.20118771	7.932983344	20.85235443	20.5442884	NA	NA	NA	NA	2.911998961	1.261902852	1.10556e-05	0.003763864	4.19775733642951	"meanmale"	2.93404939821019	"meanfemale"
"8183"	"TRINITY_DN123918_c0_g2_i1"	0.588968639	0.368510983	0.503498493	0.649350065	6.259756661	0.553796386	0.730615384	0.385544249	0.915680054	7.752387768	NA	NA	NA	NA	3.642534758	2.568553796	2.77488e-05	0.007922827	1.68054498453732	"meanmale"	-0.898802927581158	"meanfemale"
"9470"	"TRINITY_DN125115_c2_g1_i1"	1.546931313	0.957489842	0.980077366	1.708555701	23.17895607	1.310465607	1.01713187	0.916836844	1.164546518	32.16178922	NA	NA	NA	NA	4.007385627	3.164948314	4.2591e-05	0.010669839	3.5479535127463	"meanmale"	0.37035777979302	"meanfemale"
"10299"	"TRINITY_DN125892_c0_g1_i1"	0.705492712	2.792404655	0.328537755	0.414291632	4.179687928	0.5988601	0.431610827	0.44723812	0.419291444	5.195901451	NA	NA	NA	NA	1.89164089	2.368689197	5.65832e-05	0.012953168	1.38066255388183	"meanmale"	-1.00293435436259	"meanfemale"
"10972"	"TRINITY_DN126485_c2_g1_i2"	0.675014951	5.785030991	1.123043467	1.000686835	3.053291072	0.609051181	4.773643772	0.268036006	1.31925767	1.397296821	NA	NA	NA	NA	1.760284713	2.145843131	8.57666e-06	0.00320934	1.7074382377325	"meanmale"	-0.443660863664687	"meanfemale"
"11273"	"TRINITY_DN126719_c0_g1_i3"	0.153373854	7.31928827	0.105548779	0.248912013	0.25768044	0.112438514	0.145866161	0.10556335	7.606025344	16.83953611	NA	NA	NA	NA	4.189985908	5.459715424	8.33041e-10	2.21214e-06	2.68566643975928	"meanmale"	-2.78321808944673	"meanfemale"
"11559"	"TRINITY_DN126942_c1_g2_i1"	0.756956415	6.606221506	1.488348776	1.074913346	9.580500148	0.443940358	9.11877374	0.911739471	7.407984021	6.110978557	NA	NA	NA	NA	1.36819439	3.054070707	3.55108e-14	1.88598e-10	2.95698436289667	"meanmale"	-0.0965302616446659	"meanfemale"
"11704"	"TRINITY_DN127055_c1_g7_i1"	0.76122129	1.169791792	0.658047061	1.411118038	6.879670691	0.750483767	0.998564549	0.94849286	1.309135566	6.145409284	NA	NA	NA	NA	3.773242217	1.856764222	0.000106203	0.021694021	1.7227345927399	"meanmale"	-0.14246067135439	"meanfemale"
"12303"	"TRINITY_DN127570_c1_g1_i1"	8.694163465	12.06884477	3.900248509	4.965844495	12.29059175	5.074207189	5.797818929	3.776293728	10.96138638	18.0961361	NA	NA	NA	NA	3.122302032	1.162886296	0.000292811	0.049212577	3.56596944863712	"meanmale"	2.40115298690315	"meanfemale"
"12687"	"TRINITY_DN127888_c0_g2_i1"	0.348450185	1.020318138	0.026351248	0	0.735533225	0	0.566484533	0.069181576	0.731460988	2.236030234	NA	NA	NA	NA	0.966774004	3.564128898	7.66041e-07	0.000452049	0.0814288367006269	"meanmale"	-3.49172791875107	"meanfemale"
"12918"	"TRINITY_DN128095_c4_g3_i3"	1.001549986	1.394820405	0.957286684	1.410959923	8.756192744	1.346101571	1.822730801	0.981354305	1.361348433	11.50451806	NA	NA	NA	NA	3.237076419	2.114446864	4.73938e-05	0.011163077	2.31267158801951	"meanmale"	0.188464852238921	"meanfemale"
"13276"	"TRINITY_DN128367_c1_g4_i3"	11.13866734	111.4671533	15.94815853	112.9057886	5878.956768	115.0879958	23.85693365	60.84290597	33.83668943	8205.903389	"aqp9"	"Chr03"	89621392	89621392	10.67334859	5.486434354	1.63882e-05	0.005119866	11.4771532834841	"meanmale"	5.98150570843102	"meanfemale"
"13404"	"TRINITY_DN128465_c0_g5_i9"	23.40997737	10.92429108	8.675688854	10.25642764	109.3433238	9.209907306	11.4622958	8.119517062	10.72621255	201.1944946	"sec24d-like.2"	"Chr07"	52754568	52754568	5.794264874	2.516499218	0.000140939	0.026733133	6.10287274706407	"meanmale"	3.57705457267055	"meanfemale"
"13932"	"TRINITY_DN128884_c3_g1_i1"	3.26236119	3.621523466	3.137549375	2.122124071	8.837167655	4.133377834	3.447408566	2.867767345	10.11073358	15.04536512	"pcsk4"	"Chr01"	80419484	80419484	3.767374949	1.39771339	8.29288e-05	0.01775946	3.03782843557195	"meanmale"	1.63447058211158	"meanfemale"
"14982"	"TRINITY_DN129733_c3_g5_i1"	1.631286132	3.844635179	1.233646233	1.145523087	5.411110288	1.01191316	3.845435261	0.539794734	6.376412071	4.389840846	NA	NA	NA	NA	1.094174837	2.101103067	6.56976e-08	8.723e-05	2.25507367118919	"meanmale"	0.153847701023592	"meanfemale"
"15040"	"TRINITY_DN129784_c1_g7_i1"	0.233156529	0.86588851	0.611251811	0.512406026	6.136974349	0.028487878	6.077413146	0.300892032	0.658210278	0.313715673	NA	NA	NA	NA	1.843211736	3.046084984	5.84042e-05	0.013255758	1.49084754850657	"meanmale"	-1.56772959516189	"meanfemale"
"15704"	"TRINITY_DN130300_c0_g1_i3"	0.648870434	0.471473252	0.388295208	0.686777308	11.78630963	0.641144042	0.268307847	0.776697621	0.477857579	13.79189774	NA	NA	NA	NA	3.192427691	3.075426879	0.000150509	0.027949349	2.42203628807755	"meanmale"	-0.67011423597149	"meanfemale"
"16034"	"TRINITY_DN130569_c1_g1_i1"	0.726939178	9.223910524	0.714664024	1.474696388	11.12754968	0.177639928	15.1073937	2.918614284	10.26089299	5.868646648	NA	NA	NA	NA	1.107358277	3.075211761	1.60406e-09	3.87234e-06	3.36706050447493	"meanmale"	0.266169772266498	"meanfemale"
"16779"	"TRINITY_DN131144_c0_g4_i3"	0.202704194	3.199381722	0.597843943	0.102803354	2.327155823	0.037150658	1.231661294	0.653982081	0.572242109	1.272794091	NA	NA	NA	NA	0.898108994	2.414303656	6.8091e-05	0.015067982	0.783035001258237	"meanmale"	-1.64838593510616	"meanfemale"
"16780"	"TRINITY_DN131144_c0_g8_i1"	0.985104494	4.664519147	1.355857915	0.499605085	4.192805933	0.433308609	2.706551921	1.017033816	2.132092094	1.502202906	NA	NA	NA	NA	0.871739449	1.822369046	6.47962e-05	0.014459344	1.60394527226946	"meanmale"	-0.220476379803714	"meanfemale"
"16789"	"TRINITY_DN131154_c3_g9_i2"	6.710207799	19.41693735	12.64405582	11.79757111	22.73527506	6.559012721	21.27247092	7.505008158	11.15543238	17.45546183	NA	NA	NA	NA	3.391024061	1.02352674	0.00025342	0.04427351	4.20219949905335	"meanmale"	3.17684471703097	"meanfemale"
"16892"	"TRINITY_DN131220_c7_g1_i1"	9.287964921	27.43580292	11.29376307	11.7514067	27.03416365	16.68208839	38.56181724	12.17551613	35.44340458	7.169388234	NA	NA	NA	NA	6.088344239	1.145257374	0.00024686	0.043413068	4.76176477937377	"meanmale"	3.61332511612742	"meanfemale"
"17591"	"TRINITY_DN131753_c0_g4_i1"	0.322158337	9.533974187	0.237538759	0.32677131	0.496147648	0.590436436	9.61719764	0.415750213	0.454732984	0.325101725	NA	NA	NA	NA	2.254097338	3.408313813	2.20616e-05	0.006657339	2.03052354125073	"meanmale"	-1.40113551801448	"meanfemale"
"17839"	"TRINITY_DN131925_c1_g2_i3"	0.381560836	2.243626398	1.187872933	1.677105696	9.633601533	1.118890405	3.460831734	2.325269622	1.017319305	9.326692838	NA	NA	NA	NA	3.130557009	1.929257842	0.000229624	0.040924001	2.36078967866225	"meanmale"	0.420336762622473	"meanfemale"
"18071"	"TRINITY_DN132104_c0_g2_i3"	0.426421971	0.69283852	0.922287024	0.51903347	4.537347507	0.453284994	0.65338369	0.348525874	0.581839764	7.152840742	NA	NA	NA	NA	2.727593296	2.34071268	0.00012509	0.024605641	1.44559431496457	"meanmale"	-0.905059535563987	"meanfemale"
"18093"	"TRINITY_DN132123_c0_g1_i2"	4.975901535	6.406167022	4.794040497	5.181741991	12.24263219	3.404648814	6.414935926	4.05266504	7.835199586	13.00347215	NA	NA	NA	NA	4.129971237	1.032699705	3.43621e-05	0.009217037	3.19858551747163	"meanmale"	2.1641103231688	"meanfemale"
"18695"	"TRINITY_DN132560_c1_g7_i1"	0.299024627	0.138813391	0.440962909	0.151653175	7.368320392	0	0	0	2.251089525	4.693992394	NA	NA	NA	NA	0.103337903	3.952960642	0.000137157	0.026517646	1.53134060426162	"meanmale"	-2.48658491566957	"meanfemale"
"18809"	"TRINITY_DN132642_c5_g2_i1"	0	10.56121591	0	0	5.539499735	0	10.45255332	0	0	5.989117401	"znf703"	"Chr03"	114950704	114950704	0.326519367	7.924176354	1.83538e-11	5.41538e-08	2.70234221540015	"meanmale"	-13.2877123795494	"meanfemale"
"18969"	"TRINITY_DN132765_c1_g1_i7"	0.325788582	5.847860475	0.42704972	0.275377948	0.060816787	0.15922394	0.229511956	0.4204351	3.474476234	6.916244372	"lrrc8c"	"Chr04"	95532979	95532979	1.560985402	3.342023766	4.75025e-05	0.011163077	1.72503521469747	"meanmale"	-1.63632401806589	"meanfemale"
"19362"	"TRINITY_DN133064_c1_g2_i1"	0	0	0	0	4.729378493	0	3.412089019	0	0	7.686573028	NA	NA	NA	NA	0.323286601	7.879065655	8.31611e-08	0.000100379	1.66252823887547	"meanmale"	-13.2877123795494	"meanfemale"
"19704"	"TRINITY_DN133322_c1_g4_i1"	0.448971148	1.288424779	0.561768817	0.248399972	2.651505948	0.14960962	0.690091129	0.035115398	0.921791742	1.757374666	NA	NA	NA	NA	0.993334742	2.34844725	1.24927e-05	0.004146783	0.547881786041219	"meanmale"	-1.79149277354596	"meanfemale"
"19992"	"TRINITY_DN133534_c1_g5_i1"	0	1.530112431	0.540071836	0.278607135	2.153548187	0.201363827	1.741524764	1.063413208	4.652496104	1.724698183	NA	NA	NA	NA	0.00715336	2.445123925	5.28431e-05	0.012309206	1.23913889156496	"meanmale"	-1.26260327341085	"meanfemale"
"20562"	"TRINITY_DN133976_c2_g2_i1"	2.127825707	3.036510503	0.619820761	1.278989017	7.944263873	2.715400617	2.873108962	2.271375522	3.448427213	8.62441198	NA	NA	NA	NA	2.935551109	1.513688472	0.000187224	0.034287738	2.37446766491187	"meanmale"	0.85022521047521	"meanfemale"
"20684"	"TRINITY_DN134062_c1_g1_i3"	0.437672723	0.903007529	0.621518656	0.295959829	0.054468553	0.106952759	2.20971438	0.083677523	0.411855912	21.28747594	NA	NA	NA	NA	2.236695663	3.992205667	9.51322e-05	0.019891629	2.31423376328382	"meanmale"	-1.69312511892307	"meanfemale"
"20921"	"TRINITY_DN134235_c0_g1_i1"	7.893430894	17.51710906	2.271261009	2.343353165	19.40721996	0.423415718	10.57903399	0	17.5731458	11.05246898	"hlcs-like"	"Chr02"	8640763	8640763	2.021718819	2.55968872	6.19009e-05	0.013930325	3.92845518207235	"meanmale"	1.37094103785276	"meanfemale"
"21187"	"TRINITY_DN134429_c5_g1_i1"	17.48095742	66.8529424	23.07323134	26.14855632	68.65640423	36.35532987	60.69108772	23.08693131	95.12984814	17.77816454	"ap1m1"	"Chr01"	79874854	79874854	7.009180326	1.290366018	4.49363e-05	0.010848037	5.95004350789619	"meanmale"	4.65701690832098	"meanfemale"
"21356"	"TRINITY_DN134524_c3_g3_i1"	0.285524643	0.353457123	0.120301393	0.386150747	13.67538318	0.358831509	0.114941009	0.666762253	0.345448961	13.67185022	NA	NA	NA	NA	4.227323219	3.934725232	2.77452e-05	0.007922827	2.49372830362819	"meanmale"	-1.45951991463637	"meanfemale"
"22723"	"TRINITY_DN135618_c2_g1_i1"	16.45757026	21.30225186	11.98981793	14.43664951	38.90820653	10.37516558	20.95992773	13.21368092	17.27761298	45.46594809	NA	NA	NA	NA	6.04979123	1.108788782	1.0552e-05	0.003651442	4.84713952256774	"meanmale"	3.73277680423821	"meanfemale"
"23030"	"TRINITY_DN135864_c0_g11_i1"	0	19.76711886	0	0	20.64105646	0.255872082	28.62078694	0	11.8894983	11.27091078	"LOC100489188"	"Chr09"	55654910	55654910	3.4986151	8.054293913	1.4483e-55	3.84597e-51	4.20460825423112	"meanmale"	-4.28561702357896	"meanfemale"
"23072"	"TRINITY_DN135896_c2_g3_i1"	42.0785168	107.7238354	35.82143134	87.06522906	2588.945042	77.25490425	36.97752043	61.68493032	36.75233111	4557.217195	NA	NA	NA	NA	10.89644893	4.582599865	1.13049e-05	0.003800008	10.5172001749559	"meanmale"	5.925550935365	"meanfemale"
"23442"	"TRINITY_DN136241_c3_g1_i3"	2.187890456	6.898050106	1.837266	2.034283883	5.386115479	2.20542371	5.39464752	1.411752886	3.645852427	4.701966744	NA	NA	NA	NA	2.755568288	1.421304814	2.66262e-07	0.000202016	2.3800163613344	"meanmale"	0.952649200225023	"meanfemale"
"23658"	"TRINITY_DN136506_c0_g1_i1"	0.345594036	0.320863741	0.50963746	0.701085168	4.064380902	0.126677653	4.382361495	0.594659116	0.487812945	6.510028796	NA	NA	NA	NA	0.055919858	2.75855692	0.00020714	0.037419119	1.65681191021937	"meanmale"	-1.13406317945948	"meanfemale"
"24261"	"TRINITY_DN173093_c0_g1_i1"	0.471089076	2.041099699	0.617512304	0.955669168	28.66871637	0.46047445	0.663746868	1.891392497	1.329903449	30.00259081	NA	NA	NA	NA	1.935092641	3.797952201	1.05879e-05	0.003651442	3.64861631287609	"meanmale"	-0.185527508373955	"meanfemale"
"24534"	"TRINITY_DN20122_c0_g1_i1"	0	0.82027564	0	0	0.618478052	0.071965885	3.630710824	0	0	2.597659919	NA	NA	NA	NA	1.471199419	6.341092896	1.35095e-08	2.24215e-05	0.616851579751422	"meanmale"	-6.10848231194353	"meanfemale"
"24612"	"TRINITY_DN209985_c0_g1_i1"	0.974229143	4.723575582	0.95777823	0.76858374	7.759566253	0.317425904	5.376221826	0.931301825	6.111751407	4.466566612	NA	NA	NA	NA	1.426889859	2.851946856	6.39532e-13	2.42611e-09	2.50782922286484	"meanmale"	-0.340141609127154	"meanfemale"
"24853"	"TRINITY_DN36259_c0_g1_i1"	4.679904432	14.00060738	8.264542243	6.065503542	15.96790688	6.353411603	18.95720404	6.785103299	12.06981917	13.91533391	NA	NA	NA	NA	3.400665564	1.213882559	5.76613e-07	0.000382799	3.90518473321429	"meanmale"	2.68477229768645	"meanfemale"
"24883"	"TRINITY_DN38445_c0_g1_i1"	0.264341519	0.122712779	0.519755654	0.134063308	7.40191775	0.678261543	0.977674169	0.22742449	9.079335613	24.77873029	NA	NA	NA	NA	1.580381833	4.462716292	5.98596e-07	0.000384648	3.08273223991661	"meanmale"	-1.45454831574113	"meanfemale"
"25808"	"TRINITY_DN86341_c0_g2_i1"	0	2.949730087	0	0	7.413537715	0	2.168248453	0	4.422224733	3.681083786	"mreg"	"Chr09"	53806422	53806422	1.498273173	9.17268586	1.18662e-28	1.57553e-24	2.04511614472498	"meanmale"	-13.2877123795494	"meanfemale"
"25967"	"TRINITY_DN91309_c0_g1_i2"	0.137785857	0.639630333	0.045153065	0.326103885	1.131735485	0.202021879	2.08695247	0.474172629	0.345755581	1.441945376	NA	NA	NA	NA	0.486422699	2.211375776	0.000112429	0.022617885	0.175433707960085	"meanmale"	-2.07614366031726	"meanfemale"
"26103"	"TRINITY_DN93756_c0_g1_i1"	0	5.071465764	0	0	4.015015952	0	1.803806014	0	3.319673521	7.043431965	NA	NA	NA	NA	0.798178625	8.432817931	4.9908e-22	4.41769e-18	2.08772713343663	"meanmale"	-13.2877123795494	"meanfemale"
