gid	A12FL1	base	logA12FL1	A12ML1	logA12ML1	A15ML1	logA15ML1	A17FL1	logA17FL1	A17ML1	logA17ML1	A2FL1	logA2FL1	A7FL1	logA7FL1	A8FL1	logA8FL1	A8ML1	logA8ML1	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	PV.XYliver.XXliver	FDR.XYliver.XXliver	meanXY	log2meanXY	group1	meanXX	log2meanXX	group2	cutoff
TRINITY_DN131896_c3_g1_i2	37.54342071	2	5.2304882	79.07066373	6.30507063	90.13679571	6.494044259	53.11493712	5.731045731	99.66071713	6.63895305	49.6923498	5.634951859	33.47441493	5.064986935	13.65364529	3.771214272	105.0607732	6.715080297	NA	NA	NA	NA	6.465415754	1.31822668	0.000576744	0.046644801	93.48223744	6.546621903	meanmale	37.49575357	5.228659161	meanfemale	FC1
TRINITY_DN129860_c0_g3_i1	90.32409165	2	6.497038936	129.0629978	7.011931631	154.9446462	7.275609096	52.9235933	5.725839113	126.7107596	6.985395225	38.48277619	5.266140975	41.90418541	5.389022443	55.53901187	5.795429604	147.9261919	7.208733709	NA	NA	NA	NA	7.407967592	1.322715689	0.000173621	0.020665215	139.6611489	7.125787968	meanmale	55.83473168	5.8030935	meanfemale	FC1
TRINITY_DN131771_c1_g1_i2	13.53278138	2	3.75838648	26.88328875	4.748637735	28.77543895	4.846766031	12.41677367	3.634218452	29.21735697	4.868753771	10.73730776	3.424560397	8.369867008	3.065204699	6.910058283	2.788697879	19.22664766	4.265035333	NA	NA	NA	NA	6.071140628	1.326175544	7.57E-05	0.0108469	26.02568308	4.701869668	meanmale	10.39335762	3.377603774	meanfemale	FC1
TRINITY_DN96922_c0_g1_i1	16.14802518	2	4.013285836	30.28167159	4.920372941	22.84338136	4.513704314	10.69786757	3.419251345	20.04499985	4.325170502	8.268429398	3.047613313	11.72568256	3.5516	9.525167971	3.251744534	40.61045011	5.343779112	NA	NA	NA	NA	5.022541661	1.334247603	7.97E-05	0.011092097	28.44512573	4.830114624	meanmale	11.27303454	3.494816813	meanfemale	FC1
TRINITY_DN119358_c1_g2_i4	3.246372841	2	1.698828701	9.374865637	3.228798014	8.607481618	3.105591195	2.876076688	1.524102144	7.712277638	2.947156989	2.405997484	1.266635134	3.70820723	1.89072187	3.912975328	1.968266014	7.166776399	2.841324344	NA	NA	NA	NA	1.959536919	1.335364672	0.000498626	0.042699091	8.215350323	3.038339657	meanmale	3.229925914	1.69154574	meanfemale	FC1
TRINITY_DN100376_c0_g3_i1	11.10387813	2	3.472991734	22.58306396	4.497169332	31.04466638	4.956273523	17.26973798	4.110174289	41.66319341	5.380701519	8.133382261	3.023855421	17.19850649	4.104211382	7.473255986	2.901736941	27.60679173	4.786951333	bcar1	Chr04	51234279	51234279	4.637169455	1.338158491	0.000161905	0.019641367	30.72442887	4.941318983	meanmale	12.23575217	3.613042677	meanfemale	FC1
TRINITY_DN111143_c0_g1_i2	16.0066892	2	4.000603029	23.90192869	4.579055131	31.50563779	4.97753811	16.83994215	4.073815277	37.76391906	5.238936587	9.095780305	3.185197409	13.12743748	3.71451342	16.02558932	4.002305506	51.35302122	5.682377251	NA	NA	NA	NA	4.786775491	1.346202506	6.31E-05	0.009472374	36.13112669	5.175174331	meanmale	14.21908769	3.829767144	meanfemale	FC1
TRINITY_DN130699_c6_g2_i2	39.88948631	2	5.31793664	68.46536091	6.097302356	51.18957369	5.677778086	23.83720549	4.575143209	61.12945295	5.933795751	16.48753993	4.043304248	14.7671274	3.884317306	21.089221	4.3984339	56.55552142	5.821595974	NA	NA	NA	NA	6.073703553	1.354434054	0.000136459	0.017079503	59.33497724	5.890813333	meanmale	23.21411603	4.536936655	meanfemale	FC1
TRINITY_DN136241_c3_g1_i3	4.065277702	2	2.023353907	8.823707451	3.141384959	11.56641527	3.5318699	7.606523254	2.927237186	12.21011369	3.610004728	3.208755293	1.682013771	3.020791062	1.594926401	2.235639677	1.160687685	9.029840268	3.174700468	NA	NA	NA	NA	3.67574132	1.379398737	0.000271494	0.02854459	10.40751917	3.379568173	meanmale	4.027397398	2.009883657	meanfemale	FC1
TRINITY_DN44500_c0_g1_i1	8.002823595	2	3.000509108	10.58963565	3.404581047	10.88572324	3.444365357	4.053014983	2.018995509	20.81908786	4.379834957	6.241734025	2.641946882	4.050517119	2.018106105	3.864138271	1.950146719	13.13646487	3.715505182	NA	NA	NA	NA	3.313840678	1.402911466	0.000186216	0.021488683	13.85772791	3.79262924	meanmale	5.242445599	2.390267505	meanfemale	FC1
TRINITY_DN159788_c0_g1_i1	15.34453347	2	3.939652878	52.74364243	5.720925301	31.15729023	4.961497862	5.905762018	2.562123222	42.419092	5.406641835	23.03981823	4.52605743	12.33111974	3.624231906	22.2119711	4.473265519	42.66863117	5.415103924	NA	NA	NA	NA	3.294147072	1.408752976	0.000454866	0.039844733	42.24716396	5.400786007	meanmale	15.76664091	3.978812571	meanfemale	FC1
TRINITY_DN130675_c0_g1_i3	19.65816536	2	4.29705678	45.52313251	5.50852793	60.81189048	5.926281535	25.9764915	4.699134682	42.27053345	5.401580414	6.724679161	2.749465437	28.88090374	4.852043983	19.66296949	4.297409308	68.08804175	6.089329536	coq4	Chr08	375122	375122	5.797539891	1.431664197	0.00021538	0.023674523	54.17339955	5.759515385	meanmale	20.18064185	4.334907304	meanfemale	FC1
TRINITY_DN122349_c0_g1_i2	1.569639573	2	0.65043332	6.608208627	2.724259235	4.122059124	2.043365198	2.049031892	1.034942439	1.77155133	0.825013268	0.639822342	-0.644256724	1.733247618	0.793477778	1.109134795	0.149434709	2.90479758	1.538437633	NA	NA	NA	NA	3.817544965	1.441922821	0.000522383	0.043563891	3.851654165	1.945515627	meanmale	1.420175244	0.506170546	meanfemale	FC1
TRINITY_DN132293_c0_g2_i1	0.885670241	2	-0.175158451	2.900912995	1.536507026	3.406295329	1.768203523	1.091219288	0.12594105	1.476056354	0.561747803	0.773614736	-0.370312819	0.953857608	-0.068154178	0.445599155	-1.166181598	1.276270008	0.351933578	NA	NA	NA	NA	2.687432873	1.453021733	0.000413688	0.037955063	2.264883672	1.17950065	meanmale	0.829992206	-0.268656497	meanfemale	FC1
TRINITY_DN124234_c1_g3_i1	45.10160078	2	5.495106734	61.52282046	5.943049739	86.74898545	6.43877498	35.13985664	5.1350364	107.8870179	6.753377465	35.90243598	5.166009829	24.93994872	4.640386594	8.665130415	3.115221463	73.02329003	6.190284765	NA	NA	NA	NA	5.988443842	1.463432856	0.000401761	0.037271231	82.29552846	6.362743892	meanmale	29.94979451	4.904479016	meanfemale	FC1
TRINITY_DN131738_c0_g7_i11	9.724643737	2	3.281645398	18.40254455	4.201833359	43.13302673	5.430721051	13.72523355	3.778758793	38.25117591	5.257432194	19.59216207	4.292204708	12.38891136	3.630977515	4.816584754	2.268010552	34.82773929	5.122164924	NA	NA	NA	NA	5.317996682	1.480892357	0.000226089	0.02431098	33.65362162	5.07269415	meanmale	12.04950709	3.5909142	meanfemale	FC1
TRINITY_DN126104_c3_g4_i3	6.320342253	2	2.660002684	7.930833097	2.987472422	6.741585891	2.753088011	2.463742632	1.300851557	10.76261966	3.427957373	0.894932733	-0.160148848	2.51662035	1.331487592	1.911219164	0.934493225	6.412708282	2.68093378	NA	NA	NA	NA	3.983200756	1.506596664	0.000621979	0.049666486	7.961936733	2.993137527	meanmale	2.821371426	1.496447739	meanfemale	FC1
TRINITY_DN119631_c0_g1_i1	43.90480917	2	5.456307071	80.6494474	6.333592743	96.8445226	6.597598549	32.22862038	5.010270527	85.62667415	6.419988385	20.84837023	4.381862704	17.28131937	4.111141461	41.014151	5.35804986	91.48247645	6.515423515	NA	NA	NA	NA	6.785354903	1.510334489	3.02E-05	0.00560189	88.65078015	6.47006305	meanmale	31.05545403	4.956779401	meanfemale	FC1
TRINITY_DN132129_c0_g1_i2	9.84684977	2	3.299662248	13.17422826	3.719646547	17.73568829	4.148583415	7.104690963	2.828771897	16.29927207	4.02673563	2.658202247	1.410450875	3.391057927	1.761735429	5.326954128	2.413310857	17.17914054	4.102585956	NA	NA	NA	NA	5.246759203	1.510939542	7.86E-05	0.011018899	16.09708229	4.008736271	meanmale	5.665551007	2.502241737	meanfemale	FC1
TRINITY_DN124922_c6_g7_i1	7.57699929	2	2.921626613	10.61507269	3.408042345	21.71361205	4.440527833	3.599702563	1.847877704	12.48574983	3.64221056	5.791058879	2.533827165	2.090418393	1.063791724	5.88640228	2.55738614	12.53935283	3.648390986	NA	NA	NA	NA	3.416153624	1.519684303	0.000202172	0.022774437	14.33844685	3.841826915	meanmale	4.988916281	2.318755377	meanfemale	FC1
TRINITY_DN130050_c8_g5_i3	3.630296258	2	1.860087287	8.292438423	3.051796394	10.09589527	3.335696945	3.537828847	1.822864255	8.470342855	3.082420367	3.237051371	1.694680261	3.42106729	1.774446481	2.130890648	1.09145656	9.917740349	3.310011455	NA	NA	NA	NA	2.430489722	1.52786153	2.52E-05	0.004769179	9.194104224	3.200724712	meanmale	3.191426883	1.6742468	meanfemale	FC1
TRINITY_DN121659_c3_g1_i2	16.56891482	2	4.050407211	23.4182105	4.549558932	25.2088982	4.655861159	10.02220595	3.325128185	38.03710881	5.249335686	7.452560451	2.897736173	8.01007555	3.00181585	8.837801752	3.143687569	32.23129845	5.010390404	ruvbl2	Chr07	105538234	105538234	2.778109991	1.547937774	3.65E-05	0.006336985	29.72387899	4.89355535	meanmale	10.1783117	3.347440548	meanfemale	FC1
TRINITY_DN59305_c0_g1_i1	4.422894633	2	2.144990873	8.497780564	3.08708609	9.716061479	3.280371619	3.232679189	1.692730342	8.255730394	3.045395858	1.126798013	0.172228925	2.632411545	1.396385054	3.665118401	1.873859805	9.088120352	3.18398194	NA	NA	NA	NA	1.129908585	1.551975796	0.000589888	0.047504844	8.889423197	3.15210604	meanmale	3.015980356	1.592674866	meanfemale	FC1
TRINITY_DN132176_c6_g1_i1	7.944142541	2	2.989891509	14.09733434	3.817350485	34.29445329	5.099903352	5.985785893	2.581540676	28.14380449	4.814745461	8.100273033	3.017970537	12.80147342	3.678237966	6.237602348	2.640991583	19.83226461	4.309777521	NA	NA	NA	NA	5.498176125	1.557779667	1.71E-05	0.003480762	24.09196418	4.590486102	meanmale	8.213855447	3.038077122	meanfemale	FC1
TRINITY_DN135638_c10_g1_i1	0.448732921	2	-1.156071065	1.233147168	0.302344986	1.212657523	0.278172164	0.21467613	-2.219766309	1.066036786	0.092257222	0.698399628	-0.517875304	0.315635463	-1.663668787	0.388753671	-1.363071796	1.417369171	0.503215575	NA	NA	NA	NA	1.437274163	1.578087103	0.000389358	0.037028123	1.232302662	0.301473704	meanmale	0.413239563	-1.274600638	meanfemale	FC1
TRINITY_DN93628_c0_g1_i1	4.658516441	2	2.219870585	9.968382892	3.317359484	9.759767806	3.286846825	5.367715871	2.424308307	15.34507002	3.939703324	2.597054899	1.376876511	1.359141454	0.442695614	3.519750061	1.815472986	7.371162654	2.881892194	NA	NA	NA	NA	2.751377513	1.608024492	0.000179691	0.020966083	10.61109584	3.407515347	meanmale	3.500435745	1.807575739	meanfemale	FC1
TRINITY_DN118037_c0_g1_i1	3.498637977	2	1.806793389	10.92271181	3.449259177	5.391748271	2.430753142	5.162083123	2.367953373	8.422542737	3.074255844	1.279516596	0.35559886	1.440104945	0.526173949	1.16510509	0.220460089	6.010147327	2.587400356	NA	NA	NA	NA	3.339674138	1.627189376	0.0003802	0.036762682	7.686787536	2.942399561	meanmale	2.509089546	1.327221457	meanfemale	FC1
TRINITY_DN131144_c0_g5_i1	25.06267299	2	4.647468384	54.8313432	5.776928911	48.1956274	5.590830357	30.97249874	4.952915874	82.4859892	6.366077184	5.098073937	2.349952297	27.73175063	4.793466788	13.16839707	3.719007838	64.75567273	6.016934676	NA	NA	NA	NA	5.769606283	1.632222754	0.000169434	0.020294541	62.56715813	5.967335977	meanmale	20.40667867	4.350976558	meanfemale	FC1
TRINITY_DN124971_c4_g3_i1	620.9151156	2	9.278252243	1031.19012	10.01009463	680.3747311	9.410185751	252.2078876	7.978469585	981.3049056	9.938557662	153.4054059	7.261205513	237.5140986	7.891869343	481.77627	8.912219525	1697.525336	10.72921739	NA	NA	NA	NA	9.435080438	1.649596787	0.000323411	0.032383927	1097.598773	10.10013519	meanmale	349.1637555	8.447760413	meanfemale	FC1
TRINITY_DN119671_c0_g2_i1	107.8821892	2	6.753312893	181.3012316	7.502244915	227.3687809	7.828890367	104.5303147	6.707777587	208.8735358	7.706485905	51.87037493	5.696838893	17.46442865	4.126347541	57.01774772	5.833339147	242.8586887	7.923973292	NA	NA	NA	NA	7.556107367	1.665063863	0.000179965	0.020966083	215.1005593	7.748868136	meanmale	67.75301104	6.082215288	meanfemale	FC1
TRINITY_DN125819_c0_g7_i4	16.02501524	2	4.002253824	46.09974426	5.526686842	29.69139613	4.891973027	14.24058157	3.831936161	43.32918241	5.437267109	7.393941247	2.88634358	6.576597192	2.71734131	18.88554065	4.23921018	42.17696153	5.398383261	NA	NA	NA	NA	5.336824903	1.671965586	7.80E-06	0.001779301	40.32432108	5.333581916	meanmale	12.62433518	3.658146938	meanfemale	FC1
TRINITY_DN133317_c0_g2_i7	130.3589997	2	7.026346377	243.5732261	7.928211749	229.6276344	7.843152463	114.7317544	6.842120932	291.865416	8.189159462	50.81265987	5.667116081	101.0784456	6.659331573	29.25664688	4.870692526	320.5954035	8.324609931	klhl35	Chr02	169691636	169691636	7.399603455	1.681849423	5.25E-05	0.008126081	271.41542	8.084359409	meanmale	85.24770129	6.41359072	meanfemale	FC1
TRINITY_DN129251_c2_g1_i5	2169.253152	2	11.08298271	4339.45752	12.08329899	6017.216737	12.55488061	2189.535059	11.09640884	6404.108857	12.64478212	1474.66153	10.52616814	1217.078458	10.24920646	992.217251	9.95451223	4018.003463	11.97226309	NA	NA	NA	NA	11.92035232	1.696122213	0.00011952	0.015293749	5194.696644	12.34282381	meanmale	1608.54909	10.65154434	meanfemale	FC1
TRINITY_DN132137_c3_g3_i1	31.16596068	2	4.961899279	69.31195716	6.115032351	52.2816233	5.708232031	16.6355549	4.056198085	60.29223852	5.913900389	6.888897063	2.784273021	22.07906359	4.464607081	15.04574193	3.911283345	57.00644334	5.833053089	NA	NA	NA	NA	5.952593569	1.709151225	9.03E-06	0.002035032	59.72306558	5.900218731	meanmale	18.36304363	4.198741153	meanfemale	FC1
TRINITY_DN120232_c0_g1_i1	88.57726903	2	6.468864612	121.9658959	6.930333988	140.0379983	7.129674535	69.27269406	6.114214877	191.4297485	7.580671234	21.83296603	4.44843623	15.92561618	3.993277288	24.19948832	4.596904638	117.8913514	6.881314075	NA	NA	NA	NA	5.443716836	1.709966268	0.000248697	0.026441501	142.8312485	7.158168846	meanmale	43.96160672	5.458175492	meanfemale	FC1
TRINITY_DN134398_c2_g2_i2	59.08902891	2	5.884818384	110.2916563	6.785179843	170.7367826	7.415630088	67.09529382	6.068139672	143.2880098	7.162774081	44.11286542	5.463127571	26.77630075	4.742884755	24.89400969	4.63772672	168.7363739	7.398627194	NA	NA	NA	NA	8.684953149	1.739991936	1.38E-05	0.002865572	148.2632057	7.212017773	meanmale	44.39349972	5.472279791	meanfemale	FC1
TRINITY_DN131144_c0_g3_i1	14.91008334	2	3.898216416	33.57226146	5.069197817	29.70963333	4.892858895	21.22189729	4.407481737	37.9929917	5.247661414	1.919274894	0.940561361	10.76186533	3.427856254	5.811977717	2.539029172	43.42697916	5.440519695	NA	NA	NA	NA	4.947922772	1.740875895	0.000273743	0.028622073	36.17546641	5.176943701	meanmale	10.92501971	3.449577183	meanfemale	FC1
TRINITY_DN125191_c7_g1_i1	2.260184447	2	1.176440512	12.73808723	3.671076752	6.211650488	2.634976656	5.021962667	2.328251304	12.23462856	3.612898397	2.349327295	1.232247715	3.273351784	1.710768656	1.030120399	0.042812967	6.206346352	2.63374421	NA	NA	NA	NA	1.820205699	1.751034708	0.000275887	0.028687698	9.347678158	3.224623496	meanmale	2.786989318	1.478759238	meanfemale	FC1
TRINITY_DN114003_c0_g1_i1	10.95342618	2	3.453310304	22.08593419	4.465055952	43.40097197	5.439655447	20.86679102	4.383136849	27.70042873	4.7918364	13.17858699	3.720123788	4.346162098	2.119741983	8.198374235	3.035337847	61.58071496	5.944406712	NA	NA	NA	NA	3.203743078	1.753450252	0.000114807	0.01498427	38.69201246	5.273967592	meanmale	11.5086681	3.524661511	meanfemale	FC1
TRINITY_DN120237_c0_g2_i1	31.34651132	2	4.970232983	141.3071027	7.142690173	42.20460295	5.399328447	21.6018588	4.433083554	75.15390127	6.231776092	31.97655077	4.998942422	8.61447698	3.106763207	25.54517867	4.674979121	69.05606558	6.109696235	brsk1-like	Chr07	105976371	105976371	6.409103295	1.768689816	4.58E-05	0.007529301	81.93041813	6.356329033	meanmale	23.81691531	4.573920724	meanfemale	FC1
TRINITY_DN129698_c3_g1_i2	2.892409637	2	1.532271888	5.058999633	2.338852134	10.12528895	3.339891174	1.924516961	0.944496386	7.1675617	2.841482419	5.061632562	2.339602782	1.286178061	0.363090386	1.859626541	0.895012922	13.63790542	3.76955018	NA	NA	NA	NA	2.919821818	1.784458929	7.84E-05	0.011018899	8.997438926	3.169530439	meanmale	2.604872752	1.381268282	meanfemale	FC1
TRINITY_DN128547_c9_g1_i2	0.125773693	2	-2.991097897	1.082596817	0.114496051	1.072260851	0.100655916	0.441252384	-1.180324022	0.892118033	-0.164693494	0.369132064	-1.437791035	0.359317396	-1.476669311	0.145914773	-2.77680214	1.014958655	0.021420959	LOC100489101	Chr02	62314647	62314647	0.816603162	1.815930308	0.000200464	0.022717219	1.015483589	0.022308988	meanmale	0.288278062	-1.793966677	meanfemale	FC1
TRINITY_DN133763_c2_g2_i1	30.30626883	2	4.92154434	115.6655512	6.853815439	168.4029987	7.395774018	32.36397378	5.016316853	133.6324455	7.062126522	44.99430829	5.491670609	61.097548	5.933042577	7.857487715	2.974068111	81.10408665	6.341702705	NA	NA	NA	NA	6.821951533	1.827620866	6.88E-05	0.010009609	124.7012705	6.962333511	meanmale	35.32391732	5.142577522	meanfemale	FC1
TRINITY_DN130095_c2_g1_i1	5.635618422	2	2.494573933	20.05325689	4.325764662	10.76784835	3.428658092	4.779914409	2.256984785	13.29373254	3.732674328	1.741841928	0.800613705	4.816285172	2.267920817	3.233122448	1.692928148	13.67390177	3.773353061	NA	NA	NA	NA	3.268656155	1.838377177	1.48E-06	0.000457743	14.44718489	3.852726484	meanmale	4.041356476	2.014875311	meanfemale	FC1
TRINITY_DN115622_c0_g2_i1	10.81532757	2	3.435005457	24.30370482	4.603104348	30.8624123	4.947778927	15.38448274	3.943404033	34.00047337	5.087482927	5.259363602	2.39488824	4.46703653	2.159318053	3.930847961	1.974840564	24.10174715	4.591065827	NA	NA	NA	NA	4.206974484	1.84013331	7.06E-06	0.001668586	28.31708441	4.82360592	meanmale	7.971411681	2.994853336	meanfemale	FC1
TRINITY_DN121821_c2_g2_i4	1.794727713	2	0.843764982	8.450924746	3.079109218	1.342160195	0.424556876	2.198760628	1.136690551	16.59057821	4.052292262	2.037955056	1.027122235	2.204187653	1.140247053	3.788911592	1.921783477	8.285551542	3.050597736	NA	NA	NA	NA	3.068879987	1.844359514	0.000350404	0.034719331	8.667303673	3.115599898	meanmale	2.404908528	1.26604201	meanfemale	FC1
TRINITY_DN113202_c0_g1_i1	10.19407098	2	3.349658399	54.96097148	5.7803356	19.12442731	4.257344641	21.27335593	4.410975735	60.74791505	5.924762989	8.812197725	3.139501866	6.892535907	2.785034878	3.932464762	1.975433838	13.46103049	3.750716953	NA	NA	NA	NA	5.696526511	1.869263293	0.000209066	0.023137827	37.07358608	5.212323658	meanmale	10.22092506	3.353467985	meanfemale	FC1
TRINITY_DN119647_c0_g2_i1	26.2175979	2	4.712463604	56.08116534	5.809444423	85.60967021	6.419701863	41.29487797	5.367890942	52.22549161	5.706682263	4.30816266	2.107072722	12.36953904	3.628719833	4.141466673	2.050141779	69.05367594	6.109646311	NA	NA	NA	NA	6.022488025	1.909097791	0.000461966	0.040104126	65.74250078	6.038756625	meanmale	17.66632885	4.142938533	meanfemale	FC1
TRINITY_DN116909_c0_g1_i3	7.507984201	2	2.908425614	11.6220165	3.538788503	17.38178089	4.119503999	1.868105886	0.901576231	7.454429459	2.898097937	1.17208055	0.229071721	2.218449111	1.14955146	1.720878704	0.783145413	7.698745963	2.944623467	NA	NA	NA	NA	1.530104947	1.933832672	0.000378302	0.036762682	11.0392432	3.464582435	meanmale	2.89749969	1.534858297	meanfemale	FC1
TRINITY_DN130008_c0_g2_i4	1.825243503	2	0.868088945	9.000967644	3.170080106	13.05263053	3.706268681	4.535819275	2.181363159	11.78247618	3.55857086	2.278538496	1.188108745	3.590975692	1.844375887	2.268785751	1.181920377	11.80552715	3.561390558	atp1b4-like	Chr08	24828563	24828563	3.596085397	1.978563379	2.71E-08	1.35E-05	11.41040038	3.512290153	meanmale	2.899872543	1.536039241	meanfemale	FC1
TRINITY_DN130045_c0_g3_i2	17.2603463	2	4.109389505	53.24520462	5.734579694	50.90802765	5.669821267	4.887810933	2.289188481	7.84982365	2.972660244	6.310068872	2.657655752	6.930554617	2.792970809	11.11752582	3.47476385	36.89776863	5.205461668	NA	NA	NA	NA	5.842711758	1.990976882	4.96E-05	0.007947379	37.22520614	5.218211808	meanmale	9.301261308	3.217441878	meanfemale	FC1
TRINITY_DN122018_c0_g2_i1	1.713548359	2	0.776986908	18.08552986	4.176763961	8.842014888	3.144375163	3.606989411	1.850795188	5.75728567	2.525388799	2.095448936	1.067259365	4.011477047	2.004133542	1.419965462	0.505855839	9.79473258	3.292006104	NA	NA	NA	NA	1.354969545	2.03302998	3.98E-05	0.006672707	10.61989075	3.408710604	meanmale	2.569485843	1.36153585	meanfemale	FC1
TRINITY_DN112720_c0_g1_i1	2.298170741	2	1.200485986	8.978210642	3.166427944	8.700678333	3.121127883	2.855533283	1.5137602	8.311375636	3.055087281	1.756479255	0.812686538	0.455940562	-1.133082333	2.261503817	1.177282431	5.312540941	2.409402054	NA	NA	NA	NA	1.171770536	2.045442672	8.66E-05	0.011790136	7.825701388	2.968238496	meanmale	1.925525532	0.945327176	meanfemale	FC1
