"gid"	"Am2_463"	"base"	"logAm2_463"	"Am2_464"	"logAm2_464"	"Am4_461"	"logAm4_461"	"Am6_462"	"logAm6_462"	"Am6_464"	"logAm6_464"	"gname"	"chr"	"start"	"end"	"logCPM"	"logFC.XY46.XX46"	"PV.XY46.XX46"	"FDR.XY46.XX46"	"meanXY"	"group1"	"meanXX"	"group2"
"487"	"TRINITY_DN105870_c0_g1_i1"	5.185322603	2	2.374433749	3.007205889	1.588423646	12.51177754	3.645214862	3.923455865	1.972124971	2.195922226	1.134826959	NA	NA	NA	NA	2.026544621	1.508291642	0.00739164640447021	0.0376149241032296	2.84938923722254	"meanmale"	1.37943468462731	"meanfemale"
"503"	"TRINITY_DN105987_c0_g2_i2"	0.826999824	2	-0.274041073	0.695757353	-0.523343844	5.042696952	2.334195527	1.042409382	0.059921974	0.419698446	-1.252574973	NA	NA	NA	NA	1.013478283	2.092673474	0.0094317269986388	0.0459536438900274	1.20422548890366	"meanmale"	-0.842108003002811	"meanfemale"
"525"	"TRINITY_DN106183_c0_g1_i1"	19.87435787	2	4.312836343	8.427976812	3.075186345	14.17748183	3.825529402	15.48743198	3.953026041	7.651121568	2.935671246	NA	NA	NA	NA	3.212140663	1.066216331	0.00651373541511106	0.0337822988122863	4.04554698923794	"meanmale"	3.00713255079609	"meanfemale"
"526"	"TRINITY_DN106189_c0_g2_i1"	9.47584714	2	3.244254926	3.619964983	1.855975742	9.310022742	3.218784692	9.59141925	3.261744308	4.833482442	2.273063001	NA	NA	NA	NA	3.415614422	1.189074694	0.00165716328935337	0.0106113760204781	3.24171762207596	"meanmale"	2.07957394335863	"meanfemale"
"535"	"TRINITY_DN106256_c0_g3_i3"	7.621925343	2	2.930155477	2.708320863	1.43739867	9.717988615	3.280657742	7.027571398	2.813026206	3.959387121	1.985277131	NA	NA	NA	NA	3.521382242	1.312675387	0.00084832496347681	0.00588214426301783	3.02194073315928	"meanmale"	1.73723419551466	"meanfemale"
"537"	"TRINITY_DN106277_c0_g1_i2"	67.2795092	2	6.072095276	16.2098835	4.018801817	127.6721348	6.996299872	40.60506839	5.343587913	38.56623996	5.269266591	"LOC100486434-like"	"Chr09"	4553521	4553521	6.078287988	1.557631038	0.00191301150259463	0.0120212698126008	6.29496996985877	"meanmale"	4.77548053172244	"meanfemale"
"594"	"TRINITY_DN107052_c0_g1_i1"	0.081861807	2	-3.610665677	0.157418459	-2.667323373	20.29138782	4.342795636	20.11158582	4.329954939	1.186984987	0.247301688	NA	NA	NA	NA	2.675289067	4.321922754	0.000950649324561536	0.00649949144843456	3.75435789837827	"meanmale"	-0.572819247920354	"meanfemale"
"613"	"TRINITY_DN107294_c0_g1_i2"	0.467781753	2	-1.096092508	0.112441756	-3.152750205	9.154009544	3.194403796	3.859366149	1.948363923	0.406966281	-1.297018829	NA	NA	NA	NA	0.682473252	4.023757759	0.000151889394339	0.00126825356016371	2.16794206520055	"meanmale"	-1.94450434914704	"meanfemale"
"653"	"TRINITY_DN107711_c0_g1_i1"	4.543330281	2	2.183750187	2.366196213	1.242569712	6.550008912	2.71149687	7.172882132	2.842552924	1.976330004	0.982823866	NA	NA	NA	NA	0.632380626	1.52931413	0.00766892487039272	0.038718756111835	2.60616750755042	"meanmale"	1.11860100233662	"meanfemale"
"712"	"TRINITY_DN108081_c0_g2_i1"	0.945706216	2	-0.080536015	0.20206359	-2.30711871	3.45693104	1.789491825	1.220130469	0.287035424	0.7618117	-0.39249365	NA	NA	NA	NA	0.721554365	1.950841377	0.00935229881009277	0.0456022843836801	0.906394922279426	"meanmale"	-1.05278227595481	"meanfemale"
"726"	"TRINITY_DN108162_c0_g1_i1"	6.992183713	2	2.805743091	2.628045838	1.393990439	3.136811245	1.649298719	21.09399857	4.398760693	1.806508946	0.853204399	NA	NA	NA	NA	3.78055893	2.254950409	0.000580571068159295	0.00421912092393968	3.37958831937119	"meanmale"	1.14885433413452	"meanfemale"
"737"	"TRINITY_DN108203_c0_g2_i1"	2.291760804	2	1.196456475	0.427545335	-1.22585069	2.40583123	1.26653544	1.755952275	0.812253634	0.773718503	-0.370119319	NA	NA	NA	NA	1.49252302	1.842109289	0.000337479326602237	0.00261480953239714	1.1051962742926	"meanmale"	-0.735206773524052	"meanfemale"
"766"	"TRINITY_DN108376_c0_g1_i4"	3.297758124	2	1.721485587	1.342573322	0.42500088	2.696278763	1.430969662	4.139707006	2.049528662	1.826524814	0.869101353	"cpne3"	"Chr06"	110644971	110644971	2.466900695	1.115140645	0.00822098196744207	0.0410161054710887	1.75617557681468	"meanmale"	0.664163380482976	"meanfemale"
"791"	"TRINITY_DN108517_c0_g1_i1"	8.550253169	2	3.095967138	1.783796387	0.834950947	7.000249642	2.807406372	4.683123938	2.227471219	3.134525468	1.648247052	NA	NA	NA	NA	1.953191222	1.466702663	0.00265189844830428	0.0159568152470825	2.75374192155461	"meanmale"	1.29822481294925	"meanfemale"
"817"	"TRINITY_DN108683_c0_g1_i2"	2.183710148	2	1.126781375	1.088688408	0.122591101	5.413301594	2.436508768	3.608220134	1.851287359	0.750542176	-0.41399495	NA	NA	NA	NA	1.052819537	2.072307737	0.00071575068386148	0.00506386189328725	1.9011767228589	"meanmale"	-0.120740766748955	"meanfemale"
"844"	"TRINITY_DN108890_c1_g2_i1"	54.46796531	2	5.76733607	28.12250368	4.813653135	63.11751359	5.979968469	108.6011892	6.762896091	48.02755221	5.585790376	NA	NA	NA	NA	4.823563916	1.016381701	0.00827612133638252	0.04122523312377	6.23640949902184	"meanmale"	5.2507769795397	"meanfemale"
"857"	"TRINITY_DN108998_c0_g2_i1"	6.740461472	2	2.752847366	1.163234833	0.218142376	5.195769563	2.377337447	6.126211052	2.61499507	1.603869016	0.681556325	NA	NA	NA	NA	1.593756405	2.12771204	1.8936946191297e-05	0.000193014456459803	2.58998251771718	"meanmale"	0.468481060058685	"meanfemale"
"860"	"TRINITY_DN109035_c0_g1_i1"	3.987069744	2	1.995328842	0.247324118	-2.015525163	5.471449441	2.451923068	6.681131223	2.740092395	0.745960841	-0.422828196	"LOC100145251"	"scaffold_51"	15926	15926	0.789949809	3.356025597	6.62592810105372e-07	8.86573351761699e-06	2.42760173992921	"meanmale"	-1.00942996912391	"meanfemale"
"936"	"TRINITY_DN109528_c0_g2_i1"	0.861054791	2	-0.215823052	0.779195048	-0.359943586	7.757014776	2.95550155	4.983640191	2.317199912	1.233829211	0.303142708	"nkx3-1"	"Chr03"	106998375	106998375	1.961638969	2.1953091	0.00246565618222768	0.015017321328679	2.18078542605982	"meanmale"	0.00950788727495791	"meanfemale"
"1018"	"TRINITY_DN109892_c0_g1_i1"	21.50378545	2	4.426518744	9.530972157	3.252623376	24.54335892	4.6172608	31.25176966	4.965865981	16.33537989	4.029928101	"uqcc2"	"Chr05"	49176538	49176538	4.583324077	1.024716537	0.00338931615347747	0.0196542511471475	4.68741933922466	"meanmale"	3.69301585373359	"meanfemale"
"1031"	"TRINITY_DN109948_c0_g1_i1"	0.392215844	2	-1.350280279	0.11313337	-3.143903563	0.467189869	-1.097919105	0.503365406	-0.990322025	0.181986432	-2.458097201	"cabp7"	"Chr01"	132254155	132254155	0.168324674	1.616180004	0.0063921941318037	0.0332443449036361	-1.13810166319147	"meanmale"	-2.75964999852593	"meanfemale"
"1078"	"TRINITY_DN110181_c0_g1_i1"	4.182664116	2	2.064422149	1.840386666	0.880008909	3.759772595	1.910645405	6.36879472	2.671020372	2.446480936	1.290708041	NA	NA	NA	NA	2.693206438	1.179517213	0.00584969222290468	0.030956327971879	2.25414365265253	"meanmale"	1.09999116693356	"meanfemale"
"1095"	"TRINITY_DN110260_c0_g2_i1"	0.428953292	2	-1.221107531	0.183303949	-2.447690228	1.351719217	0.434795502	1.48551352	0.570961736	0.331720745	-1.591958857	NA	NA	NA	NA	0.112817165	2.075602386	0.003692965081265	0.0210865938854923	0.122776968518737	"meanmale"	-1.95672635341935	"meanfemale"
"1118"	"TRINITY_DN110378_c0_g4_i1"	2.368265441	2	1.243830791	0.778994638	-0.360314697	1.732175331	0.792584967	1.904389256	0.929328395	0.433762415	-1.205023044	NA	NA	NA	NA	0.570392003	1.772165299	0.00282126708786811	0.0168217122731338	1.0012329839641	"meanmale"	-0.721471529937951	"meanfemale"
"1242"	"TRINITY_DN111011_c1_g2_i1"	27.86962984	2	4.800621936	4.466057241	2.159001742	22.06549904	4.463720471	33.70951512	5.075083971	9.204632463	3.202360117	NA	NA	NA	NA	2.634570451	2.03821411	9.34047719086365e-06	0.000100587582736326	4.8012439319603	"meanmale"	2.77303523174357	"meanfemale"
"1264"	"TRINITY_DN111082_c0_g1_i1"	2.104664581	2	1.07359033	0.52789876	-0.921666818	1.920462224	0.941453586	2.236938195	1.161525396	0.636883788	-0.650897947	NA	NA	NA	NA	0.104734985	1.843118421	0.00217639568801468	0.0134626698548547	1.06174509723862	"meanmale"	-0.779691657225544	"meanfemale"
"1284"	"TRINITY_DN111167_c0_g1_i1"	0.857766515	2	-0.221343097	0.389025046	-1.362065054	0.853739068	-0.228132895	0.761592891	-0.392908083	0.309764076	-1.690758253	NA	NA	NA	NA	1.302842248	1.27313864	0.0100147127983681	0.048359526022091	-0.278467818553422	"meanmale"	-1.51665809101594	"meanfemale"
"1425"	"TRINITY_DN111757_c0_g1_i1"	4.969513218	2	2.313104541	2.419307574	1.274594195	4.388750162	2.133810144	4.190368284	2.067077045	1.678295699	0.746996927	"hspb2"	"Chr07"	74665677	74665677	1.803366106	1.176219653	0.00968392851815478	0.0469439963403884	2.17514469343444	"meanmale"	1.03485072522765	"meanfemale"
"1524"	"TRINITY_DN112201_c0_g1_i1"	7.303034763	2	2.868496098	2.970756391	1.570830306	7.594405651	2.924937062	13.67557525	3.773529615	2.28077239	1.18952248	NA	NA	NA	NA	2.167965327	1.894997713	0.000100387190902817	0.000872085311148433	3.25163405131763	"meanmale"	1.39279241196388	"meanfemale"
"1603"	"TRINITY_DN112522_c0_g1_i1"	3.092759052	2	1.628894442	0.840380453	-0.250885489	0.610178957	-0.712695668	11.38169547	3.508643579	1.091868099	0.126798585	"dnttip1"	"Chr10"	16892880	16892880	1.669603792	2.395841313	0.00701545870606986	0.0359434173352687	2.33007392871987	"meanmale"	-0.0495699945238711	"meanfemale"
"1620"	"TRINITY_DN112592_c0_g1_i1"	2.439371963	2	1.286509762	0.614279126	-0.703033735	1.680149403	0.748589527	3.159058595	1.659494697	0.909528669	-0.136808982	NA	NA	NA	NA	0.949425923	1.676128592	0.0036419287541783	0.020857254892758	1.27875397181462	"meanmale"	-0.392129718048631	"meanfemale"
"1621"	"TRINITY_DN112596_c0_g1_i1"	0.966666017	2	-0.04891057	0.20654195	-2.275493263	0.710771033	-0.492543208	0.743927377	-0.426766304	0.228417442	-2.130255276	"thbs2"	"Chr05"	40438631	40438631	0.071037512	1.89050594	0.00206041293034413	0.0128375615527636	-0.308963537854322	"meanmale"	-2.20038416075692	"meanfemale"
"1631"	"TRINITY_DN112641_c0_g1_i2"	65.41407156	2	6.03152911	20.2634985	4.340811372	76.33041835	6.254186193	38.35892753	5.26149048	34.43861244	5.105955111	NA	NA	NA	NA	6.338940462	1.169454395	0.00343722720965993	0.0198674122447574	5.90772164862593	"meanmale"	4.77352987692263	"meanfemale"
"1646"	"TRINITY_DN112708_c0_g1_i1"	2.453485976	2	1.294833025	1.516499909	0.600745411	7.620985123	2.929977499	3.998446132	1.999439452	2.134512637	1.093906704	NA	NA	NA	NA	1.929382826	1.391522959	0.0103342177446056	0.0495283867732915	2.2299177701203	"meanmale"	0.868375654019273	"meanfemale"
"1649"	"TRINITY_DN112721_c0_g1_i1"	9.131675865	2	3.190879651	2.84422736	1.508036795	7.660029218	2.937349895	10.68980996	3.4181643	4.102784627	2.036603423	NA	NA	NA	NA	1.74146478	1.414501229	0.00259807821790509	0.0156935502137978	3.1954428846054	"meanmale"	1.7964341203521	"meanfemale"
"1660"	"TRINITY_DN112760_c0_g1_i2"	8.055550143	2	3.009983119	0.619625849	-0.690530764	5.665860517	2.502295086	5.973299236	2.578527996	2.118052644	1.082738448	"amotl2-like"	"Chr05"	126721734	126721734	1.392048882	2.233807449	0.000135668802571715	0.00114546501503546	2.71479573601821	"meanmale"	0.453058421235649	"meanfemale"
"1716"	"TRINITY_DN113011_c0_g3_i1"	5.417521202	2	2.437632894	1.420605606	0.506506084	4.562803312	2.189920465	3.411179194	1.770270544	1.713890518	0.777274954	"cactin"	"Chr01"	74559688	74559688	0.383420748	1.513971513	0.00955670118780431	0.0464536512034744	2.15831588084315	"meanmale"	0.648325595612091	"meanfemale"
"1738"	"TRINITY_DN113131_c0_g1_i5"	19.17078587	2	4.260837574	3.789422665	1.921978064	13.90987474	3.798037523	16.50348318	4.044698643	9.651475038	3.270749447	NA	NA	NA	NA	3.983890304	1.326849138	0.00191948460138965	0.0120558714286727	4.04685316664987	"meanmale"	2.74857905934378	"meanfemale"
"1788"	"TRINITY_DN113348_c0_g3_i1"	3.778728239	2	1.917900766	0.22707536	-2.138756928	3.348996344	1.743728801	3.391817496	1.762058545	0.068488802	-3.867988065	NA	NA	NA	NA	0.265526767	4.658107381	8.59373308634992e-09	1.53206788353576e-07	1.81007864161452	"meanmale"	-2.75748084446937	"meanfemale"
"1801"	"TRINITY_DN113380_c0_g1_i1"	36.18124228	2	5.177170039	10.07191597	3.332266247	34.00888642	5.087839862	28.38722922	4.827170134	22.86357249	4.514978941	NA	NA	NA	NA	4.539745353	1.028423069	0.00601827792887324	0.0316804284136824	5.03822629897997	"meanmale"	4.04157980221339	"meanfemale"
"1808"	"TRINITY_DN113404_c0_g2_i1"	1.389397639	2	0.474459551	0.712474983	-0.489088737	3.047279426	1.607521797	4.302172572	2.105065396	1.128180226	0.173997556	NA	NA	NA	NA	0.586899757	1.676706876	0.00963146988746242	0.0467533068242897	1.54253040438587	"meanmale"	-0.11962384287897	"meanfemale"
"1846"	"TRINITY_DN113584_c0_g1_i1"	2.052170064	2	1.037150293	0.819038835	-0.287996236	1.932720882	0.950633303	1.419801616	0.505689361	0.617581195	-0.695299271	"surf1"	"scaffold_124"	372121	372121	2.13064317	1.359994434	0.00220431222135313	0.0135982565205957	0.849330131896845	"meanmale"	-0.477120632767485	"meanfemale"
"1907"	"TRINITY_DN113797_c0_g1_i1"	3.786108567	2	1.920715781	1.516792444	0.601023682	17.76197772	4.150720323	10.82198951	3.435893843	3.614121998	1.853645207	NA	NA	NA	NA	3.549404184	2.101232826	0.000478486936855103	0.00354965576802591	3.43163970847206	"meanmale"	1.35927220309016	"meanfemale"
"1948"	"TRINITY_DN113982_c0_g1_i1"	1.661733436	2	0.732688973	1.549322157	0.631637161	9.682691724	3.275408163	3.262062075	1.705784236	1.080620081	0.111859397	NA	NA	NA	NA	2.104630543	1.926500597	0.00375786344432923	0.0214032592292796	2.28360448621353	"meanmale"	0.395140822524558	"meanfemale"
"2012"	"TRINITY_DN114195_c0_g1_i1"	1.925053173	2	0.944898296	0.393812237	-1.344420154	1.359094723	0.442646009	1.576973367	0.657158295	0.593893773	-0.751723189	NA	NA	NA	NA	1.829977775	1.722785311	0.000263344080869265	0.00208377687847726	0.696415654534325	"meanmale"	-1.01755430546321	"meanfemale"
"2015"	"TRINITY_DN114220_c0_g1_i1"	12.18051014	2	3.606502652	4.294189868	2.102385982	3.684793833	1.881583902	24.61471616	4.621449198	2.637461548	1.399150061	NA	NA	NA	NA	2.845410425	1.987741858	0.00225475198640565	0.0138648346382997	3.75418629359727	"meanmale"	1.79324073071024	"meanfemale"
"2073"	"TRINITY_DN114406_c0_g1_i1"	15.57944474	2	3.961571911	5.680524487	2.506024141	12.53236043	3.647586262	22.90029988	4.517294585	8.214538722	3.038179565	NA	NA	NA	NA	4.291119304	1.319349342	0.000423250631113071	0.00318467439274335	4.08781371434654	"meanmale"	2.79652125772541	"meanfemale"
"2082"	"TRINITY_DN114439_c1_g1_i1"	11.87675551	2	3.57006887	4.591916046	2.199096265	7.841654095	2.971158004	9.024908585	3.173912319	4.883876819	2.288026813	NA	NA	NA	NA	2.900435356	1.041153135	0.0088117475378259	0.0433821151482266	3.26020727100036	"meanmale"	2.24427711229353	"meanfemale"
"2121"	"TRINITY_DN114543_c0_g2_i1"	10.74766303	2	3.425951089	3.757730958	1.909861778	15.62857758	3.966114574	20.18259447	4.33503974	4.19350309	2.068155919	NA	NA	NA	NA	1.807638895	1.991383468	6.02416458147945e-05	0.000553198412469363	3.95602985199606	"meanmale"	1.99121507515968	"meanfemale"
"2129"	"TRINITY_DN114581_c0_g1_i2"	2.863443454	2	1.517751114	0.428270808	-1.223404752	0.469211273	-1.09169042	32.66587688	5.029712463	0.221437535	-2.175028307	NA	NA	NA	NA	2.834918222	5.224771771	6.81699214628555e-05	0.00061602391710329	3.58491567677278	"meanmale"	-1.6216918266284	"meanfemale"
"2138"	"TRINITY_DN114610_c0_g2_i1"	2.25726929	2	1.174578541	0.310048524	-1.689434073	2.247163813	1.168105297	1.463961225	0.549877342	0.40077668	-1.31912953	"gid8"	"scaffold_1656"	751	751	0.888567141	2.483384069	3.74679501754312e-05	0.000357493552152039	0.992452870880182	"meanmale"	-1.49202739433755	"meanfemale"
"2153"	"TRINITY_DN114644_c0_g2_i1"	0.91553255	2	-0.127316916	0.489041392	-1.031971516	1.456939946	0.542941412	0.854816537	-0.226313277	0.280252039	-1.835203225	NA	NA	NA	NA	1.004154576	1.536158136	0.00751937021964422	0.0381412675713131	0.105494392083486	"meanmale"	-1.37801908425873	"meanfemale"
"2209"	"TRINITY_DN114792_c0_g1_i1"	6.604841377	2	2.723523914	2.37341267	1.246962967	5.562800954	2.475811485	10.03000713	3.326250726	3.985550472	1.994778999	NA	NA	NA	NA	2.404389643	1.239120826	0.00617112762120837	0.0322997916409772	2.88739200772001	"meanmale"	1.66883692111896	"meanfemale"
"2216"	"TRINITY_DN114818_c0_g1_i1"	0.736724146	2	-0.440803567	0.205650635	-2.281732568	0.903164797	-0.14693884	1.786435166	0.837083556	0.206756114	-2.273998103	"zfp36l2"	"Chr05"	14124235	14124235	1.051100486	2.493433015	8.1705036111294e-05	0.000725197617669674	0.191825440238732	"meanmale"	-2.27716067533723	"meanfemale"
"2235"	"TRINITY_DN114875_c0_g1_i1"	1.630706781	2	0.705497393	0.929129888	-0.106047802	1.986959865	0.990562732	2.362278102	1.240178818	0.490415333	-1.027924009	"mcoln2-like"	"Chr04"	25221375	25221375	0.661201715	1.549762578	0.0083707392010479	0.0415802840894912	0.99524202876917	"meanmale"	-0.49436794448037	"meanfemale"
"2238"	"TRINITY_DN114884_c0_g2_i1"	4.211948999	2	2.074487967	7.265714971	2.861104771	19.67483987	4.298279989	32.32741653	5.014686313	4.239162744	2.083779353	"mgam"	"Chr05"	102436237	102436237	2.760113195	1.733437217	0.00873375137433614	0.0430916900152953	4.2279080407516	"meanmale"	2.52419882366157	"meanfemale"
"2318"	"TRINITY_DN115056_c0_g1_i4"	3.644718621	2	1.86580744	2.295958023	1.199096265	7.770366331	2.957982616	6.98950367	2.805190012	2.186810516	1.128828218	NA	NA	NA	NA	1.21605008	1.490276043	0.00671234268387164	0.0346036665726421	2.61705461338155	"meanmale"	1.16445437474262	"meanfemale"
"2340"	"TRINITY_DN115114_c1_g1_i1"	8.135439896	2	3.024220357	4.139715179	2.049531511	6.148009991	2.62011951	10.34149469	3.370372813	3.368290622	1.752016622	NA	NA	NA	NA	3.971503728	1.157123098	0.00218419812393386	0.0135075837860239	3.03710364759909	"meanmale"	1.90846819518916	"meanfemale"
"2479"	"TRINITY_DN115474_c0_g1_i1"	19.47407008	2	4.283482534	8.075663525	3.013580802	26.39239234	4.722050225	18.66965086	4.222623043	2.672828035	1.41836702	NA	NA	NA	NA	3.636967538	2.035807973	3.6515715732182e-05	0.000349343485261355	4.42707899400925	"meanmale"	2.42608914588457	"meanfemale"
"2522"	"TRINITY_DN115612_c0_g2_i2"	1.330445627	2	0.411909551	0.843733516	-0.245140683	2.127473402	1.089141095	2.006763527	1.004870622	0.837323615	-0.256142781	NA	NA	NA	NA	3.629233841	1.146866467	0.00290144360965236	0.0172215385693336	0.86525439016002	"meanmale"	-0.250459613171471	"meanfemale"
"2539"	"TRINITY_DN115650_c0_g1_i2"	48.16487561	2	5.589909535	24.29845662	4.602792775	49.11683239	5.618145617	70.81748343	6.146033672	30.82374266	4.945970141	NA	NA	NA	NA	5.192211188	1.053354993	0.00139774688190419	0.00909501825764998	5.80820904888924	"meanmale"	4.78456677962813	"meanfemale"
"2574"	"TRINITY_DN115715_c2_g3_i1"	161.0147838	2	7.331049347	62.39072919	5.963259766	264.9532294	8.049593902	90.30375802	6.496714122	81.82860185	6.354533297	"apoe"	"Chr07"	101407105	101407105	7.256638391	1.288608854	0.00463774435418003	0.0254835827137264	7.42702524376287	"meanmale"	6.17212274566065	"meanfemale"
"2634"	"TRINITY_DN115900_c0_g1_i2"	2.555124235	2	1.353393439	1.586634205	0.665969556	6.582278684	2.718587109	17.76242936	4.150757007	1.358461553	0.441973735	NA	NA	NA	NA	2.796872194	2.633055804	0.000110177812248456	0.000947894037698771	3.16457886128967	"meanmale"	0.558412512553452	"meanfemale"
"2735"	"TRINITY_DN116209_c0_g1_i1"	1.770128681	2	0.823854242	0.850979657	-0.232803451	2.454335892	1.295332705	1.923185825	0.943498168	0.399258587	-1.324604658	NA	NA	NA	NA	0.007671127	1.793826934	0.00514593827825808	0.0278103676268764	1.035143024612	"meanmale"	-0.677566191801389	"meanfemale"
"2745"	"TRINITY_DN116233_c0_g1_i1"	7.981810017	2	2.99671594	2.746635527	1.45766548	7.863406256	2.975154392	8.318245486	3.056279262	3.606063684	1.850424875	"prkcb"	"Chr09"	13861588	13861588	2.171956214	1.36360183	0.00124559842593515	0.00823607379142329	3.00981066176775	"meanmale"	1.66741513090575	"meanfemale"
"2766"	"TRINITY_DN116288_c1_g1_i1"	2.212579218	2	1.14572911	0.838055106	-0.254882984	3.023437574	1.596189791	4.15900908	2.056239835	1.730488794	0.791179599	NA	NA	NA	NA	2.151380811	1.305171907	0.0071133831495124	0.0364002644915857	1.64698070092046	"meanmale"	0.361063062828306	"meanfemale"
"2772"	"TRINITY_DN116299_c0_g1_i2"	4.882384779	2	2.287585998	0.869325819	-0.202031102	10.71848779	3.422029473	8.840913942	3.144195518	4.195194701	2.068737768	NA	NA	NA	NA	2.031500668	1.697401916	0.00467308342907831	0.0256438666236837	3.02633304096709	"meanmale"	1.3404826608261	"meanfemale"
