gid	A10FB	A10MB	A12FB	A15FB	A15MB	A16FB	A16MB	A17FB	A17MB	A8MB	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain	meanXY	group1	meanXX	group2	cutoff
TRINITY_DN120797_c1_g2_i1	1.356797179	0.18895596	3.801575647	0.550490044	0	0	0	2.801547695	0	0	NA	NA	NA	NA	0.267364056	-5.310166032	1.20E-06	0.000644537	-4.721993664	meanmale	0.767385396	meanfemale	FC5
TRINITY_DN134983_c5_g1_i2	6.802012145	1.114459114	19.17639411	4.971633613	0.112038518	0	0	18.84709641	0	0	NA	NA	NA	NA	2.146254202	-5.296039	5.67E-06	0.002354537	-2.02679563	meanmale	3.316077264	meanfemale	FC5
TRINITY_DN22653_c0_g1_i1	2.296509132	0.199891284	4.303797988	0.94631581	0	0	0	3.766343101	0	0.064374753	NA	NA	NA	NA	0.56631907	-5.285938365	2.46E-07	0.000191758	-4.239138118	meanmale	1.178040986	meanfemale	FC5
TRINITY_DN123398_c4_g3_i2	3.375247952	0.574515197	9.014587974	1.711789003	0	0	0	8.324434221	0	0	NA	NA	NA	NA	1.836437914	-5.240041962	2.90E-05	0.008112652	-3.120256104	meanmale	2.165208288	meanfemale	FC5
TRINITY_DN27358_c0_g2_i1	2.725043095	0.421673713	5.953395104	1.689149543	0	0.11098509	0	6.90317028	0	0	NA	NA	NA	NA	0.161365081	-5.191418474	1.45E-07	0.000124774	-3.566019439	meanmale	1.797614268	meanfemale	FC5
TRINITY_DN100108_c0_g1_i1	23.6419058	3.648384963	55.54178803	14.50587524	0.144306296	0.094451787	0	50.60099338	0.060619485	0.173354472	LOC100485641	Chr02	135882898	135882898	4.292170004	-5.15880273	1.51E-05	0.00482023	-0.312163434	meanmale	4.851854103	meanfemale	FC5
TRINITY_DN122048_c0_g1_i1	7.832264827	1.019410843	17.70282344	3.675219905	0.06148989	0	0.038675355	15.01978846	0.068880995	0.065660013	NA	NA	NA	NA	3.408439998	-5.128877245	3.13E-06	0.001459161	-1.994680968	meanmale	3.145044703	meanfemale	FC5
TRINITY_DN106674_c0_g1_i1	15.93088864	2.435448302	38.49425525	11.48651982	0.107490672	0.375227283	0.067608511	35.50358563	0.301027715	0.286951193	NA	NA	NA	NA	3.805812456	-4.98707724	9.11E-08	0.00010085	-0.6442952	meanmale	4.347537773	meanfemale	FC3
TRINITY_DN98620_c0_g2_i1	53.92453544	7.98028059	127.1089778	30.19330095	0.506697803	0.265316287	0.382437842	111.5470758	0.510842741	0.811591573	NA	NA	NA	NA	4.966115066	-4.985512349	9.31E-07	0.000537313	1.027486803	meanmale	6.013639599	meanfemale	FC3
TRINITY_DN90220_c0_g1_i1	5.222669824	0.786314892	11.85093353	2.920757895	0.015809921	0.041391828	0.029831944	10.20098196	0.026565419	0.101292715	nrm	Chr08	52369033	52369033	3.240706755	-4.968204915	1.73E-06	0.000883549	-2.380348641	meanmale	2.596326222	meanfemale	FC3
TRINITY_DN126027_c5_g2_i1	1.889310603	0.286385927	4.093877868	1.13417436	0.043186315	0	0	3.118221649	0	0	ccdc92	Chr01	152187591	152187591	1.279575863	-4.880949631	3.53E-06	0.001588118	-3.921074372	meanmale	1.033663959	meanfemale	FC3
TRINITY_DN131251_c3_g6_i1	5.871942494	1.340595081	15.80419119	4.100868039	0.053908944	0	0	15.98383967	0	0	eif5b-like	Chr02	109082024	109082024	1.965337134	-4.869718482	5.53E-05	0.012779287	-1.84165881	meanmale	3.062168053	meanfemale	FC3
TRINITY_DN27351_c0_g1_i1	19.31251567	3.905661134	44.92822089	10.76428044	0.107084434	0.070089223	0.101029498	43.01906981	0	0	NA	NA	NA	NA	3.448861711	-4.834273427	0.000116426	0.023072338	-0.281289844	meanmale	4.561872021	meanfemale	FC3
TRINITY_DN100360_c0_g1_i1	4.092104731	0.768393429	8.904854026	2.098668252	0	0	0	8.900432248	0	0.082486733	mphosph6	Chr04	66339509	66339509	2.227097527	-4.793510475	8.53E-05	0.017983989	-2.554052715	meanmale	2.26282756	meanfemale	FC3
TRINITY_DN133888_c1_g5_i1	3.327052772	0.698696243	9.423226159	1.687346361	0.044362833	0	0	8.314613704	0.074542889	0	NA	NA	NA	NA	2.363164687	-4.774988055	3.20E-05	0.008760871	-2.611575524	meanmale	2.186040229	meanfemale	FC3
TRINITY_DN87264_c0_g1_i1	2.069323796	0.373575507	3.390635044	1.340998624	0	0	0	3.659565441	0	0	NA	NA	NA	NA	0.773322148	-4.738294752	1.51E-05	0.00482023	-3.740526683	meanmale	1.065023929	meanfemale	FC3
TRINITY_DN93345_c0_g1_i1	4.406385799	0.952714958	9.376064594	2.142901695	0	0	0	10.64597316	0.056800935	0	NA	NA	NA	NA	1.992481233	-4.691235267	0.000138804	0.026517646	-2.3075501	meanmale	2.409897332	meanfemale	FC3
TRINITY_DN69144_c0_g1_i1	2.933400819	0.843898364	9.220251391	2.137262086	0.023137793	0.030288435	0	9.170744902	0	0.037060429	NA	NA	NA	NA	2.352680651	-4.679702687	4.16E-05	0.01050935	-2.466581639	meanmale	2.232197033	meanfemale	FC3
TRINITY_DN90720_c0_g1_i1	15.26311723	1.964284119	37.58774155	7.664192699	0.42315623	0	0.798458934	31.20361815	0.426617773	0	NA	NA	NA	NA	2.444693364	-4.651680996	1.54E-06	0.000800342	-0.46872403	meanmale	4.197223294	meanfemale	FC3
TRINITY_DN154814_c0_g1_i1	3.063085597	0.418219833	4.251334709	1.370711387	0	0	0.095200873	6.588263928	0	0.080812323	NA	NA	NA	NA	0.687788583	-4.634540437	2.85E-06	0.001374892	-3.071613991	meanmale	1.61106807	meanfemale	FC3
TRINITY_DN127631_c8_g3_i1	6.669358581	1.486105747	14.40098366	3.714521418	0.095073237	0.01777932	0.025627845	15.71151981	0	0.043508964	ctu2	Chr04	60737862	60737862	3.888944748	-4.613070094	0.000104222	0.021454458	-1.598748949	meanmale	3.018444133	meanfemale	FC3
TRINITY_DN91825_c0_g1_i1	11.769093	2.140322737	27.79271835	5.907273014	0.13589708	0.177895525	0.128212974	24.42637187	0.22834793	0.217670028	NA	NA	NA	NA	2.376671079	-4.605474092	6.15E-07	0.000384648	-0.810484978	meanmale	3.808876199	meanfemale	FC3
TRINITY_DN127989_c2_g1_i1	4.776217569	0.764558132	10.03879622	2.672887204	0.092234834	0.241479277	0	11.76077776	0	0.295470057	samsn1	Chr02	22431665	22431665	0.761116908	-4.598748136	1.46E-07	0.000124774	-2.116832131	meanmale	2.560258014	meanfemale	FC3
TRINITY_DN49280_c0_g1_i1	1.195533242	0.295995284	4.387956051	0.727591224	0.044635383	0	0	2.811422401	0	0	NA	NA	NA	NA	0.168461804	-4.591138356	8.31E-06	0.00319706	-3.873531733	meanmale	0.867580684	meanfemale	FC3
TRINITY_DN123024_c0_g1_i1	9.667828052	3.116670093	33.26601713	9.125270963	0	0	0	27.60998489	0.126354945	0.120446393	LOC100496861	Chr08	57578898	57578898	2.416490224	-4.5488483	0.000196738	0.035783424	-0.571762642	meanmale	3.99402935	meanfemale	FC3
TRINITY_DN95196_c0_g3_i1	3.715466911	0.749911425	6.749604674	1.966261851	0.045233942	0.118426619	0	6.393155097	0	0	NA	NA	NA	NA	1.124852031	-4.525589238	3.78E-06	0.001675115	-2.65173065	meanmale	1.921696446	meanfemale	FC3
TRINITY_DN133748_c2_g1_i1	3.381819926	0	4.300445594	0.223711571	0.082343915	0.889283754	0	0	0	0.329731188	NA	NA	NA	NA	1.153164846	-4.340770639	0.000148894	0.027844301	-3.599199426	meanmale	0.814880283	meanfemale	FC3
TRINITY_DN108200_c0_g1_i1	1.515954062	0.703737103	6.054569375	1.345453334	0	0	0	3.994238424	0	0	NA	NA	NA	NA	0.413545292	-4.136104052	0.000280641	0.048003153	-2.827794952	meanmale	1.368568922	meanfemale	FC3
TRINITY_DN120835_c1_g3_i1	2.721785423	0.42116962	5.153440998	1.278128968	0.084681832	0.110852412	0.159787239	4.986890258	0.142290925	0.045212394	NA	NA	NA	NA	1.405212159	-4.047080879	1.15E-07	0.000113656	-2.550225013	meanmale	1.511123701	meanfemale	FC3
TRINITY_DN127864_c2_g3_i1	0.154190269	0.079531443	6.299265346	0.121642977	0.412564428	6.970616755	0.090520131	6.161161377	0.25794687	0.414930726	NA	NA	NA	NA	3.393401773	-3.961046221	2.55E-06	0.00127776	-1.993098984	meanmale	1.97873575	meanfemale	FC3
TRINITY_DN135947_c1_g1_i1	6.264540965	0.065351213	3.044778948	0.071395985	0.157676912	2.992891739	0.148761297	1.756180262	0.198708445	0.315694218	NA	NA	NA	NA	0.951128191	-3.943671062	7.98E-08	0.000100379	-2.495422992	meanmale	1.49879086	meanfemale	FC3
TRINITY_DN122021_c2_g12_i1	0.840622501	0.048779285	2.221024395	0.479620881	0.117692798	0.038516321	0.055519014	1.627254105	0.049439817	0.094255869	hoga1	Chr07	24794514	24794514	0.030382285	-3.686787126	3.43E-06	0.001569111	-3.77127647	meanmale	0.058673423	meanfemale	FC3
TRINITY_DN123680_c0_g1_i1	1.876578094	0.562029811	5.118082058	1.964850321	0.101703306	0.355024809	0.44777898	7.291297708	0.284820193	0.162900936	NA	NA	NA	NA	1.411038327	-3.421407861	3.35E-07	0.000240662	-1.680628801	meanmale	1.731733533	meanfemale	FC3
TRINITY_DN139125_c0_g1_i1	1.351106559	0.368947939	3.437931367	0.483689296	0.044509176	0.233058228	0.167969872	2.940227827	0.224366369	0	NA	NA	NA	NA	0.14888304	-3.374631625	1.59E-05	0.00503275	-2.632551356	meanmale	0.756427824	meanfemale	FC3
TRINITY_DN125191_c6_g2_i1	5.971081842	1.817133915	15.5235597	4.40784546	1.003189891	0.875481124	0.841303072	14.84074522	0.249727477	0.981955563	NA	NA	NA	NA	3.581167556	-3.0897685	1.00E-07	0.000106716	-0.030970029	meanmale	3.057249697	meanfemale	FC3
TRINITY_DN130680_c2_g1_i1	0.247622381	0.194533156	0.056178694	4.926758433	0.14934251	0.921624997	0.181154767	0.376917434	0.143394454	0.119602969	NA	NA	NA	NA	1.741394236	-3.035454858	0.000112101	0.022617885	-2.664694468	meanmale	0.385066949	meanfemale	FC3
TRINITY_DN132431_c2_g3_i1	5.249143142	0	3.662294358	6.526567951	0	0.806870516	0.626261164	0.801237484	0.478017505	1.139161665	NA	NA	NA	NA	1.014543294	-2.924226589	0.000255513	0.044347449	-1.155893779	meanmale	1.769485156	meanfemale	FC1
TRINITY_DN125863_c4_g1_i1	1.959500487	0.70921123	4.244637057	1.414872155	0.223194495	0.2678242	0.386052851	4.228895236	0.218769728	0.476662211	NA	NA	NA	NA	1.892697749	-2.590887365	6.87E-06	0.002764152	-1.3115847	meanmale	1.276940767	meanfemale	FC1
TRINITY_DN130067_c1_g1_i1	3.259919335	1.182282584	6.559972524	2.066623752	0.399359283	0.802840193	0.80738161	6.902068813	0.886736186	0.731045215	shf	Chr03	86229697	86229697	2.990931711	-2.295335284	1.15E-06	0.000635208	-0.31929582	meanmale	1.970259128	meanfemale	FC1
TRINITY_DN110034_c0_g2_i1	0.689573146	0	1.549551903	0.849328644	0.413763743	0.649962914	0.416392603	1.398421497	0	0.220912192	NA	NA	NA	NA	0.26297404	-2.233238278	0.00023994	0.042477316	-2.249385211	meanmale	0.03909293	meanfemale	FC1
TRINITY_DN121659_c3_g3_i2	9.678616318	6.290218297	28.54554726	9.326343873	1.761592706	18.18196909	5.241648063	19.6723815	5.464624787	2.278977082	NA	NA	NA	NA	2.919449746	-2.031693201	4.12E-07	0.00028816	2.07296745	meanmale	4.094326582	meanfemale	FC1
TRINITY_DN126288_c0_g1_i3	1.004266908	0.186480554	1.44805287	0.509323485	0.262461014	0.368114499	0.247620532	1.094418286	0.25200764	0.210195451	rdh10	Chr06	106259393	106259393	0.62145349	-1.911488103	4.00E-05	0.010290525	-2.108717463	meanmale	-0.176356263	meanfemale	FC1
TRINITY_DN81880_c0_g2_i1	1.011899336	0.187897807	1.724341358	1.436944161	0.453352658	1.483648677	0.356432068	1.799200622	0.444365072	0.726147212	NA	NA	NA	NA	0.429439319	-1.762682869	3.69E-05	0.009787745	-1.205101046	meanmale	0.576577117	meanfemale	FC1
TRINITY_DN122389_c1_g3_i1	19.56711423	9.299730298	44.42762211	19.13846307	5.348601229	12.29543103	8.861570759	47.09634493	13.15208383	5.850633614	NA	NA	NA	NA	2.773335072	-1.751219217	9.58E-06	0.003439291	3.087908132	meanmale	4.833147908	meanfemale	FC1
TRINITY_DN115861_c0_g1_i2	16.8066998	8.298098217	22.53991052	33.01077284	8.650522354	37.46155935	18.27330304	21.56392897	5.210831369	10.89290533	LOC101731073	Chr07	95710986	95710986	4.000112149	-1.362468719	9.79E-06	0.003464848	3.359694337	meanmale	4.715710788	meanfemale	FC1
TRINITY_DN25753_c0_g2_i1	18.21979414	9.325491323	11.25249395	21.67926242	8.175941005	40.2420867	12.83550384	20.69940846	8.572535526	5.971605362	NA	NA	NA	NA	3.522197278	-1.326958093	2.54E-05	0.007578305	3.16612337	meanmale	4.486631305	meanfemale	FC1
TRINITY_DN114180_c0_g1_i1	3.478499531	1.45508652	1.878989729	2.675310492	1.584131191	4.119378128	1.131017442	2.203419591	0.899262305	1.097230601	NA	NA	NA	NA	2.226188868	-1.21562827	0.000144285	0.0271737	0.302694102	meanmale	1.521663624	meanfemale	FC1
TRINITY_DN126888_c6_g3_i1	4.748893383	2.283976805	4.921065519	4.730101759	4.684088275	8.091944842	3.006434873	9.349211921	1.771405304	2.129902876	NA	NA	NA	NA	4.184307573	-1.201013211	2.80E-05	0.007922827	1.472623782	meanmale	2.670918152	meanfemale	FC1
TRINITY_DN130164_c2_g10_i1	3.511639124	0.804502056	2.600464876	2.266677737	1.123778448	2.540952305	1.879509284	3.492054454	1.158720636	1.390898527	NA	NA	NA	NA	1.992234669	-1.189590688	0.000212335	0.038098331	0.346624261	meanmale	1.527299436	meanfemale	FC1
TRINITY_DN132667_c0_g6_i1	18.07589865	9.450288572	20.1860981	10.68042337	6.093449709	11.06432416	10.38511749	22.87426524	4.87169973	6.611642148	NA	NA	NA	NA	3.548800033	-1.154490611	7.11E-05	0.0156107	2.903527995	meanmale	4.051050279	meanfemale	FC1
TRINITY_DN114651_c0_g1_i3	17.16634164	8.743383363	15.97709643	15.33797175	6.750624566	18.06825926	10.23576457	19.6764998	5.570261413	7.771597873	NA	NA	NA	NA	4.306225181	-1.148994159	3.75E-08	5.25E-05	2.966139971	meanmale	4.108134147	meanfemale	FC1
TRINITY_DN116526_c0_g1_i1	11.02614433	5.118563329	10.10086805	11.69239217	5.403070005	14.97243279	7.547038593	15.84638424	6.013218713	5.394852986	NA	NA	NA	NA	2.681244532	-1.11942321	3.23E-05	0.008760871	2.559601626	meanmale	3.669904854	meanfemale	FC1
TRINITY_DN127522_c0_g1_i1	14.96699983	8.307378908	15.24739143	15.67635453	7.561951495	18.60524065	10.2574502	17.21566823	5.86839496	6.177699352	NA	NA	NA	NA	4.231884439	-1.104148157	1.17E-07	0.000113656	2.932566741	meanmale	4.030550695	meanfemale	FC1
TRINITY_DN135864_c0_g1_i1	41.60402899	25.01674715	48.17592784	40.50043657	27.13047952	65.34972962	31.49761862	40.65834028	14.84545091	14.58956785	NA	NA	NA	NA	5.404315498	-1.068047997	6.62E-06	0.00270615	4.499276528	meanmale	5.56248034	meanfemale	FC1
TRINITY_DN129581_c0_g1_i5	14.48774315	6.496466717	11.86190224	13.51229786	6.254699242	15.25738002	8.389425012	10.99803057	5.571446575	6.236304181	NA	NA	NA	NA	4.230260828	-1.010344263	5.03E-07	0.000342182	2.72022775	meanmale	3.725039896	meanfemale	FC1
