gid	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	A10FO1	base	logA10FO1	A15MT1	logA15MT1	A17FO1	logA17FO1	A17MT1	logA17MT1	A2FO2	logA2FO2	A6FO1	logA6FO1	A6MT1	logA6MT1	A8FO2	logA8FO2	A8MT1	logA8MT1	A12MT1	logA12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	meanXX	log2meanXY	group1	log2meanXX	group2
TRINITY_DN101542_c0_g1_i1	2.43E-08	1.46E-07	53.12156727	2	5.731225807	18.79545483	4.232311922	50.41704947	5.655839785	26.63172429	4.735073935	43.66107107	5.448275617	44.73880965	5.483454967	18.71171747	4.225870078	49.8771617	5.640307465	16.75933859	4.066893309	19.23864133	4.265935012	NA	NA	NA	NA	7.082221794	-1.277621101	1	female	20.0273753	48.36313183	4.323901455	meanmale	5.595835767	meanfemale
TRINITY_DN101751_c0_g1_i1	2.49E-08	1.50E-07	154.454125	2	7.271034591	76.55274331	6.258382173	142.0652285	7.150409677	44.23350469	5.467067649	121.4848449	6.92463254	113.6249349	6.828135658	33.39245324	5.061450183	181.3785576	7.502860102	34.38006077	5.10350019	49.66767961	5.634235443	NA	NA	NA	NA	6.168322421	-1.599087539	1	female	47.64528832	142.6015382	5.574261647	meanmale	7.155845733	meanfemale
TRINITY_DN101833_c0_g1_i1	6.56E-16	1.06E-14	125.264266	2	6.968831107	20.22022873	4.337727412	93.70196044	6.550007327	9.229632499	3.206273204	106.6865784	6.737234881	106.6960341	6.737362742	15.96405756	3.996755481	135.1865664	7.078807987	31.22801737	4.964769072	12.09292798	3.596091692	NA	NA	NA	NA	6.332043442	-2.681386346	1	female	17.74697283	113.5070811	4.149501054	meanmale	6.826638492	meanfemale
TRINITY_DN101903_c0_g1_i1	7.38E-18	1.45E-16	70.03153244	2	6.129932752	9.749728834	3.285362094	54.75991406	5.775048277	15.31221311	3.936610909	51.21734228	5.678560487	57.65159688	5.849288664	14.72671783	3.880364025	83.25103898	6.379396372	10.68350069	3.417312551	11.38780275	3.509417504	NA	NA	NA	NA	6.093366936	-2.363597079	1	female	12.37199264	63.38228493	3.629005976	meanmale	5.986007765	meanfemale
TRINITY_DN101903_c0_g2_i2	2.12E-10	1.73E-09	26.57515635	2	4.732006274	14.25738453	3.833637443	68.58215998	6.099761437	16.06650632	4.005984342	44.54059928	5.477049064	55.62572954	5.797680447	11.02654779	3.462909275	40.70775567	5.347231779	10.87424922	3.442843893	11.14426849	3.478230016	phka2-like	Chr02	40416520	40416520	5.550552853	-1.893340213	1	female	12.67379127	47.20628016	3.663776255	meanmale	5.560906899	meanfemale
TRINITY_DN102065_c0_g1_i1	1.16E-17	2.24E-16	207.8135513	2	7.699145924	64.85352352	6.019113054	230.4674299	7.84841907	54.92453082	5.779378736	184.1876792	7.525032749	193.3411512	7.595004927	40.91403231	5.354523825	201.5400824	7.654922981	35.73035811	5.159078468	47.47066239	5.568964276	slc5a7-like.1	Chr02	105961371	105961371	7.802192174	-2.066848894	1	female	48.77862143	203.4699788	5.60817708	meanmale	7.668672136	meanfemale
TRINITY_DN102108_c0_g1_i1	4.65E-05	0.00016004	2.097545815	2	1.068702323	1.116662284	0.159192933	17.27447837	4.110570242	1.389688984	0.47476204	9.725636631	3.281792691	18.91745957	4.241646457	3.345428274	1.742190913	5.025579361	2.329289923	2.162895067	1.112963675	1.882185803	0.912409053	NA	NA	NA	NA	2.084602737	-2.369680404	1	female	1.979372082	10.60813995	0.985042836	meanmale	3.407099809	meanfemale
TRINITY_DN102162_c0_g1_i1	7.06E-14	9.11E-13	190.8690763	2	7.576439573	45.13134627	5.49605791	118.2087315	6.885192794	41.28067984	5.367394825	153.1606471	7.25890185	112.4556581	6.813212441	27.83897151	4.799034008	111.4290913	6.799982123	27.27270401	4.769385841	32.22710894	5.010202866	NA	NA	NA	NA	6.573296284	-1.989864092	1	female	34.75016211	137.2246409	5.118947803	meanmale	7.100395753	meanfemale
TRINITY_DN102365_c0_g1_i1	2.63E-06	1.13E-05	169.6822879	2	7.406692168	110.3778997	6.786307529	172.0199485	7.426432068	52.03709617	5.701468552	166.3381898	7.377975627	136.4517876	7.092247485	61.86050395	5.950946681	225.2342182	7.815282212	65.15697271	6.025847671	82.2251589	6.361507986	NA	NA	NA	NA	7.128428978	-1.242321324	1	female	74.33152629	173.9452864	6.215902327	meanmale	7.442489775	meanfemale
TRINITY_DN102370_c0_g1_i1	0.02381621	0.04432385	4.606519181	2	2.20367702	0.143412553	-2.801756785	1.479036872	0.564658019	0.535431833	-0.901225181	2.137476194	1.095908352	2.383504754	1.253084503	0.720941829	-0.472045238	7.084025411	2.824569387	1.388899342	0.473942046	3.480890031	1.799456237	NA	NA	NA	NA	0.577788756	-1.53598382	1	female	1.253915118	3.538112482	0.32643969	meanmale	1.822979914	meanfemale
TRINITY_DN102559_c0_g2_i1	0.000673786	0.001828536	14.1871206	2	3.826509906	10.0344853	3.326894713	18.94186663	4.243506603	7.98336283	2.996996581	18.26610461	4.191097096	20.93286046	4.387697563	7.834081565	2.969764149	16.52215876	4.046330294	4.743329322	2.245900036	10.14815277	3.343145238	gpatch1	Chr04	20982131	20982131	4.158830565	-1.128646076	1	female	8.148682357	17.77002221	3.026566794	meanmale	4.15137358	meanfemale
TRINITY_DN102903_c0_g1_i1	0.01981686	0.037746401	5.248835026	2	2.391997253	1.552389906	0.634490958	6.003768155	2.585868266	2.897929635	1.535022565	3.21353056	1.684159192	2.523970931	1.335695295	2.394390387	1.259658392	6.134564564	2.616960944	1.50343417	0.588261699	2.15871547	1.110173101	NA	NA	NA	NA	0.628812707	-1.115637596	1	female	2.101371914	4.624933847	1.071331522	meanmale	2.20943273	meanfemale
TRINITY_DN102931_c0_g2_i1	0.014532845	0.028734529	5.501392405	2	2.459796812	2.914183898	1.543091921	2.504537526	1.324544228	3.336572366	1.738366794	6.22019565	2.63695996	5.755864644	2.525032666	2.574803352	1.364462252	6.045875353	2.595951235	0.658532701	-0.602673012	2.063036396	1.044769273	NA	NA	NA	NA	1.727600972	-1.17821788	1	female	2.309425743	5.205573116	1.207534158	meanmale	2.380057008	meanfemale
TRINITY_DN103196_c0_g1_i2	7.11E-05	0.000236446	125.9426437	2	6.976623047	64.34101734	6.007666843	109.7706271	6.778348253	38.11718357	5.252369619	57.47322895	5.8448182	91.14193791	6.510043141	37.22902748	5.218356025	188.170299	7.555895119	39.03510621	5.28670029	58.18642967	5.86261082	NA	NA	NA	NA	5.973236167	-1.293342179	1	female	47.38175285	114.4997473	5.566259666	meanmale	6.839200604	meanfemale
TRINITY_DN103526_c0_g1_i1	5.09E-10	3.95E-09	11.49467275	2	3.522893488	5.106901238	2.352448159	14.18777828	3.826576785	1.862324324	0.89710434	14.52155388	3.860123932	26.00355065	4.700636724	2.740947736	1.454674819	17.2476241	4.108325736	2.127866309	1.089407511	1.621491467	0.697321432	capn2.2	Chr05	5263143	5263143	3.751142807	-2.629955349	1	female	2.691906215	16.69103593	1.428628148	meanmale	4.061001593	meanfemale
TRINITY_DN103537_c0_g1_i1	7.25E-07	3.46E-06	55.33135376	2	5.790025317	15.39193772	3.944102962	24.82163305	4.63352613	8.393897561	3.069340857	27.63772017	4.788566708	26.11864229	4.707007999	10.86741775	3.441937272	46.47240357	5.538302358	9.379397122	3.229495194	8.657657187	3.113976676	NA	NA	NA	NA	4.481458516	-1.788085911	1	female	10.53806147	36.07635057	3.397537595	meanmale	5.1729815	meanfemale
TRINITY_DN103565_c0_g1_i1	2.27E-06	9.87E-06	86.17234528	2	6.429153044	46.00877671	5.523837193	99.35138172	6.634468127	25.24872466	4.658138613	90.37950879	6.497923811	44.24326891	5.467386078	31.89628147	4.995316337	82.19396332	6.360960535	25.47557636	4.671042881	33.33032533	5.058763494	NA	NA	NA	NA	6.525290965	-1.323307785	1	female	32.39193691	80.4680936	5.017562833	meanmale	6.330344949	meanfemale
TRINITY_DN103565_c0_g4_i1	4.28E-24	1.47E-22	21.52493194	2	4.427936771	1.242183638	0.31287847	28.16742595	4.815955825	0.963215002	-0.054070233	19.09419613	4.255062278	12.35937484	3.627533866	1.746718083	0.804646779	26.05400394	4.703433196	0.971662311	-0.041473084	1.546159632	0.628689277	NA	NA	NA	NA	4.301313851	-4.043861175	3	female	1.293987733	21.43998656	0.371823941	meanmale	4.422232096	meanfemale
TRINITY_DN103567_c0_g1_i1	1.55E-12	1.70E-11	52.95935745	2	5.726813713	19.78222319	4.306132665	66.22107529	6.049218532	22.19792828	4.472353132	59.3213238	5.890478888	72.12523214	6.172432152	15.90839376	3.991716272	50.63983773	5.662200877	20.85193464	4.382109338	19.97867693	4.32038914	NA	NA	NA	NA	6.902929338	-1.60864216	1	female	19.74383136	60.25336528	4.303330072	meanmale	5.912969916	meanfemale
TRINITY_DN103621_c0_g1_i2	5.15E-05	0.000175742	24.35218087	2	4.605979074	30.0399512	4.908810564	121.428544	6.923963783	20.5616366	4.361883195	57.85132028	5.85427798	57.57879524	5.847465698	11.07190743	3.468831881	30.30590117	4.921526838	6.574603312	2.71690385	20.03893983	4.324734279	smc3	scaffold_401	72807	72807	6.182421956	-1.717840771	1	female	17.65740767	58.30334831	4.142201648	meanmale	5.865506833	meanfemale
TRINITY_DN103622_c0_g3_i3	1.37E-24	4.85E-23	40.94836747	2	5.355734031	5.253380189	2.393245997	52.9726858	5.727176752	5.569644783	2.477585319	37.5442766	5.230521089	52.36326395	5.710483122	8.063815558	3.011462641	35.65602996	5.156074173	4.738173653	2.244331074	5.312888818	2.409496522	NA	NA	NA	NA	5.662647671	-2.907884227	1	female	5.7875806	43.89692476	2.53296038	meanmale	5.456047969	meanfemale
TRINITY_DN103637_c0_g1_i1	0.000918453	0.002421162	9.717806377	2	3.280630688	3.275542701	1.711733956	5.878591551	2.555470542	4.268252598	2.093645558	6.842593726	2.774543291	7.193592097	2.846712356	3.727667636	1.898273233	12.72185398	3.669237028	2.705739319	1.436022851	4.806585861	2.265012505	NA	NA	NA	NA	3.983425967	-1.190286368	1	female	3.756757623	8.470887546	1.90948804	meanmale	3.082513137	meanfemale
TRINITY_DN103637_c0_g2_i1	1.71E-22	5.04E-21	55.04657326	2	5.782580851	5.449980967	2.446251192	61.33791828	5.938707299	5.935780503	2.569437744	60.57175898	5.920573402	72.21676312	6.174261853	4.965466356	2.311929222	43.41621698	5.440162119	2.992050686	1.581134615	0.982981309	-0.02476411	Xetrov90015728m	Chr06	20798284	20798284	6.202917956	-3.835895939	3	female	4.065251964	58.51784612	2.023344773	meanmale	5.870804764	meanfemale
TRINITY_DN103679_c0_g1_i1	1.07E-08	6.77E-08	8.298737122	2	3.052891808	2.342860924	1.228271316	14.09467733	3.817078545	2.665779414	1.414557406	14.10305024	3.817935321	19.83185516	4.309747735	0.866755305	-0.206303333	37.25348055	5.219303316	0.216093058	-2.210275369	0.112828577	-3.147795578	NA	NA	NA	NA	2.915159034	-3.929324479	3	female	1.240863456	18.71636008	0.31134437	meanmale	4.226227985	meanfemale
TRINITY_DN103783_c0_g1_i1	5.53E-05	0.000187747	29.87075101	2	4.900661605	23.77691492	4.571489631	33.82019662	5.079813142	14.1708296	3.824852315	30.94656752	4.951707495	30.51654619	4.931519785	11.30478828	3.498862068	42.15225341	5.397537853	9.126334006	3.190035455	15.0013317	3.907018672	NA	NA	NA	NA	5.505011957	-1.205059818	1	female	14.6760397	33.46126295	3.875390807	meanmale	5.064419994	meanfemale
TRINITY_DN103798_c0_g1_i1	4.76E-43	4.37E-41	444.0390514	2	8.794542751	3.014303099	1.591824492	422.2033464	8.721794203	0.669876373	-0.578033227	372.8014644	8.542263717	362.5065232	8.501863146	5.575796616	2.479177938	405.3132279	8.66289345	3.405785688	1.767987655	1.342768837	0.42521096	NA	NA	NA	NA	8.852480322	-7.142695044	7	female	2.801706123	401.3727227	1.486305636	meanmale	8.648798764	meanfemale
TRINITY_DN103834_c0_g11_i1	0.010539734	0.0216298	27.37677673	2	4.774880692	7.637275728	2.93305811	15.43686195	3.948307602	7.286866591	2.865298578	33.41479768	5.062415234	15.12542012	3.91890331	11.89276689	3.572012497	30.31987346	4.922191827	21.36746076	4.417343568	8.295920843	3.052402128	NA	NA	NA	NA	3.399249688	-1.117548203	1	female	11.29605816	24.33474599	3.497747517	meanmale	4.60494581	meanfemale
TRINITY_DN103834_c0_g3_i1	0.004322428	0.009773879	35.04602224	2	5.131178801	4.573956024	2.193442495	9.764086208	3.287485033	6.390065384	2.675830693	8.226252225	3.040235307	12.15447383	3.603415535	4.248065587	2.08680604	15.1595591	3.92215589	3.143667304	1.652448544	11.34059338	3.503424224	NA	NA	NA	NA	2.637843479	-1.448810802	1	female	5.939269536	16.07007872	2.570285506	meanmale	4.006305091	meanfemale
TRINITY_DN103838_c0_g1_i1	7.75E-101	4.37E-98	379.4227319	2	8.567662306	3.851314169	1.945350815	267.2772951	8.062193477	4.277725762	2.096843997	284.0044379	8.149769663	284.8031389	8.153821237	2.618100386	1.388520416	323.5507208	8.337848081	3.450120683	1.786646827	3.164639268	1.662041059	NA	NA	NA	NA	8.054092956	-6.480451356	5	female	3.472380054	307.8116649	1.79592486	meanmale	8.265904095	meanfemale
TRINITY_DN103882_c0_g1_i1	4.48E-05	0.000154646	76.14820698	2	6.250738162	16.39497137	4.035181477	44.94074575	5.48995216	18.04106247	4.173212399	34.00992154	5.087883773	51.00483958	5.672562238	21.29468373	4.412421398	67.68625789	6.080791053	35.18218143	5.136773033	17.19155589	4.103628214	NA	NA	NA	NA	5.190446581	-1.342072496	1	female	21.62089098	54.75799435	4.434354071	meanmale	5.7749977	meanfemale
TRINITY_DN103912_c0_g1_i1	6.98E-06	2.78E-05	37.10245121	2	5.213442598	9.035979865	3.175681056	15.50462264	3.954626508	11.80756434	3.561639492	8.780941475	3.134375631	65.79322812	6.039867195	8.760811779	3.131064557	30.28309582	4.920440793	4.314740861	2.109273915	6.155685062	2.621919422	NA	NA	NA	NA	5.680232677	-1.962928756	1	female	8.014956381	31.49286785	3.002694669	meanmale	4.976953235	meanfemale
TRINITY_DN104337_c0_g1_i1	1.09E-07	5.90E-07	64.05180728	2	6.001167373	22.54164301	4.494520769	35.84546302	5.163718623	11.50653834	3.524381969	38.10324333	5.251841899	43.48256297	5.442365074	12.16407139	3.604554283	67.24855407	6.071431343	18.19231335	4.185257104	13.65243326	3.771086199	tmem101	Chr10	13722937	13722937	5.405837517	-1.686876782	1	female	15.61139987	49.74632613	3.964528004	meanmale	5.636518079	meanfemale
TRINITY_DN104354_c0_g1_i5	0.008742724	0.018330469	15.62713416	2	3.965981323	19.24870711	4.266689642	44.48830297	5.475354162	10.96248681	3.454503202	32.11681251	5.005256812	8.879893598	3.15054239	11.57989421	3.533550168	31.26397733	4.966429421	8.846901468	3.145172255	9.678384366	3.274766235	pdpk1	Chr09	22998583	22998583	3.877159383	-1.147166126	1	female	12.06327479	26.47522411	3.592549701	meanmale	4.726570992	meanfemale
TRINITY_DN104356_c0_g1_i3	0.001951105	0.00478185	24.10433367	2	4.591220644	11.32139239	3.500979497	17.77726984	4.151961873	6.101919199	2.609263076	11.88828149	3.571468276	11.37944159	3.508357859	8.208258597	3.037076183	49.27977976	5.622923903	8.408760447	3.071893145	11.27746254	3.495370589	anapc1	Chr05	23768507	23768507	3.972702227	-1.368874674	1	female	9.063558635	22.88582127	3.180077608	meanmale	4.51638216	meanfemale
TRINITY_DN104428_c0_g1_i2	2.18E-05	8.00E-05	16.93727753	2	4.082130092	9.287554715	3.215298805	16.30366899	4.027124761	4.161018561	2.056936724	17.84584774	4.157516531	19.41974202	4.27945213	6.267341661	2.647853643	16.35951733	4.032058279	7.846409871	2.972032699	7.514208957	2.909621235	slc41a2	Chr03	40671470	40671470	4.666377687	-1.311862547	1	female	7.015306753	17.37321072	2.810506189	meanmale	4.118792496	meanfemale
TRINITY_DN104441_c0_g2_i1	7.07E-08	3.95E-07	34.01020715	2	5.087895888	0.531743945	-0.911196395	14.62389704	3.870255913	2.9117293	1.541876236	17.41612998	4.122352175	10.50258419	3.392672446	2.430093177	1.281011632	27.49184528	4.78093184	5.149750159	2.364502441	1.434046326	0.52009163	NA	NA	NA	NA	2.474915654	-3.057921627	3	female	2.491472581	20.80893273	1.316998697	meanmale	4.379131067	meanfemale
TRINITY_DN104550_c0_g2_i1	5.19E-15	7.58E-14	80.94843198	2	6.33893123	9.768201478	3.288092958	51.07665041	5.674592012	15.40587208	3.945408446	47.11864561	5.558226165	47.03502525	5.555663574	7.509719384	2.908759	82.61316198	6.368299746	9.018090914	3.172822054	9.971178298	3.317763999	NA	NA	NA	NA	5.02983798	-2.595546092	1	female	10.33461243	61.75838305	3.369412381	meanmale	5.948563075	meanfemale
TRINITY_DN104740_c0_g1_i2	9.16E-14	1.17E-12	43.16318613	2	5.431729457	15.00771466	3.907632398	76.53219119	6.257994801	12.18276396	3.606769576	86.52290518	6.435010202	43.78359139	5.452318393	9.8752334	3.303814847	49.70863324	5.635424531	13.38856718	3.742929669	13.2883749	3.732092776	NA	NA	NA	NA	5.585085148	-2.24163101	1	female	12.74853082	59.94210143	3.672259091	meanmale	5.905497757	meanfemale
TRINITY_DN104751_c0_g1_i2	1.90E-15	2.93E-14	69.54590216	2	6.119893605	8.362882044	3.064000214	37.14137486	5.214955315	9.384912621	3.230343313	37.51850678	5.229530505	46.10890619	5.526973537	9.168078806	3.196619445	52.24564923	5.707238996	11.51671399	3.525657233	11.58644247	3.534365761	NA	NA	NA	NA	5.638665358	-2.283459332	1	female	10.00380599	48.51206784	3.322477078	meanmale	5.600271771	meanfemale
TRINITY_DN105215_c0_g1_i1	2.91E-07	1.48E-06	63.9832677	2	5.999622769	31.4580858	4.975358981	43.8025564	5.452943166	17.91780055	4.163321649	47.62673033	5.573699603	61.18195065	5.9350342	18.0764775	4.176041667	50.88144498	5.669067737	16.20131643	4.018039138	19.72988096	4.302310346	NA	NA	NA	NA	5.962341102	-1.376540282	1	female	20.67671225	53.49519001	4.369934899	meanmale	5.741337273	meanfemale
TRINITY_DN105413_c0_g1_i1	1.11E-06	5.12E-06	195.6742474	2	7.612310086	95.11428395	6.571590111	142.5246561	7.15506771	51.38892457	5.683385556	177.4484226	7.47125594	105.6989447	6.723817163	41.94754457	5.390514459	191.3736448	7.580248351	63.42958228	5.987083936	66.87766575	6.063452588	NA	NA	NA	NA	6.879226698	-1.368777417	1	female	63.75160022	162.5439831	5.99438965	meanmale	7.344686343	meanfemale
TRINITY_DN105440_c0_g1_i1	2.52E-12	2.67E-11	17.5903811	2	4.136714834	2.422738684	1.276638804	12.40537762	3.632893746	3.599082402	1.847629134	14.96465089	3.903486718	19.81036391	4.308183477	4.405499347	2.139305553	10.83363911	3.437446033	2.618016867	1.388474392	3.017593432	1.593398441	NA	NA	NA	NA	4.881650087	-2.221296958	1	female	3.212586146	15.12088253	1.683735141	meanmale	3.918470439	meanfemale
TRINITY_DN105453_c0_g1_i1	7.88E-09	5.09E-08	649.8754217	2	9.344019376	203.0594737	7.665758527	416.4651588	8.702051996	157.1151939	7.295678894	481.2827907	8.910741027	269.5178051	8.074236774	130.1764748	7.024324941	702.124683	9.455583436	144.3703636	7.173630805	164.5118366	7.362047579	NA	NA	NA	NA	8.08886123	-1.678326984	1	female	159.8466685	503.8531719	7.320544866	meanmale	8.976859568	meanfemale
TRINITY_DN105455_c0_g3_i1	6.92E-06	2.76E-05	22.43345375	2	4.487579843	5.674580906	2.504513847	13.80539534	3.787160297	3.520150348	1.815637049	9.590116184	3.261548294	8.200962171	3.035793183	2.7528966	1.460950423	17.76685657	4.151116548	3.297377341	1.721318994	3.884767285	1.957828177	incenp	Chr04	13644807	13644807	3.118498746	-1.924845592	1	female	3.825954496	14.3593568	1.935819715	meanmale	3.843919223	meanfemale
TRINITY_DN105578_c0_g1_i1	1.64E-06	7.33E-06	3.335125409	2	1.737741011	0.824983379	-0.277563041	5.980392409	2.580240151	2.169448769	1.117328518	5.286630784	2.402348573	5.805857892	2.53750926	0.852395364	-0.230405348	4.004227522	2.001523951	1.007393088	0.010626737	0.616677609	-0.697411631	NA	NA	NA	NA	2.793838966	-2.148793105	1	female	1.094179642	4.882446803	0.129849618	meanmale	2.287604325	meanfemale
TRINITY_DN105601_c0_g1_i1	1.15E-58	1.84E-56	121.1500012	2	6.920650609	8.022598946	3.004069678	209.0685905	7.707832524	7.192525004	2.846498331	144.249653	7.172424038	178.9304423	7.483255051	6.271410301	2.64878991	119.30275	6.898483488	4.779326622	2.256807366	6.645577716	2.732394622	NA	NA	NA	NA	7.958586831	-4.548541026	3	female	6.582287718	154.5402874	2.718589089	meanmale	7.271839176	meanfemale
TRINITY_DN105777_c1_g1_i1	0.005554959	0.012231102	9.517614136	2	3.250599966	1.535410641	0.618624552	8.65056826	3.112794907	3.69425655	1.885284059	10.54752142	3.398832112	5.794032344	2.534567738	5.847411708	2.547798173	7.584334706	2.923022634	2.478317264	1.309360887	3.450673971	1.78687817	NA	NA	NA	NA	1.577825084	-1.28234214	1	female	3.401214027	8.418814173	1.766049793	meanmale	3.073617038	meanfemale
TRINITY_DN105826_c0_g1_i2	3.45E-08	2.02E-07	27.46012444	2	4.779266258	3.460080318	1.790805527	16.52054096	4.046189023	3.875470689	1.954371541	21.54071275	4.428994082	25.14162072	4.652005749	1.756968776	0.813088553	30.76462528	4.943200515	2.792470157	1.481541863	7.970570863	2.994683056	NA	NA	NA	NA	2.624521195	-2.643650481	1	female	3.971112161	24.28552483	1.989543109	meanmale	4.602024759	meanfemale
TRINITY_DN105850_c0_g2_i1	1.10E-16	1.95E-15	33.80712173	2	5.079255288	10.22025012	3.353358599	34.75365175	5.119092672	6.568267255	2.71551283	31.9988837	4.999949672	40.21849936	5.329787347	7.866440728	2.975711017	29.1651078	4.866171502	6.527129239	2.706448605	6.560013887	2.713698869	NA	NA	NA	NA	5.748560391	-2.168245909	1	female	7.548420246	33.98865287	2.916174745	meanmale	5.086981277	meanfemale
TRINITY_DN105886_c0_g1_i2	5.26E-10	4.08E-09	133.72524	2	7.063127983	35.19466094	5.137284682	75.46864311	6.23780543	21.01091473	4.393067067	60.83258933	5.926772509	80.95383172	6.339027463	24.92241518	4.639371979	123.7591297	6.951391146	25.05736944	4.647163061	26.43069425	4.724142415	NA	NA	NA	NA	5.845173834	-1.851407342	1	female	26.52321091	94.94788677	4.729183534	meanmale	6.569063986	meanfemale
TRINITY_DN105940_c0_g1_i2	0.002197924	0.005323723	4.455097309	2	2.155456944	3.351022032	1.744601172	5.368486635	2.424515453	1.166079911	0.221666659	4.579632149	2.195231721	5.195571823	2.37728254	1.427353895	0.513343078	5.174744061	2.37148751	2.111049747	1.077960576	2.730926719	1.449390602	pofut2	Chr09	50738397	50738397	3.180477478	-1.211834269	1	female	2.157286461	4.954706395	1.109217761	meanmale	2.308799569	meanfemale
