gid	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	A10FO1	base	logA10FO1	A15MT1	logA15MT1	A17FO1	logA17FO1	A17MT1	logA17MT1	A2FO2	logA2FO2	A6FO1	logA6FO1	A6MT1	logA6MT1	A8FO2	logA8FO2	A8MT1	logA8MT1	A12MT1	logA12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	meanXX	log2meanXY	group1	log2meanXX	group2
TRINITY_DN102429_c0_g1_i2	0.016394324	0.031997228	2.514007696	2	1.329989066	7.336263919	2.87504554	4.600950656	2.201931984	3.405242741	1.767757644	1.20397166	0.267801433	2.865525244	1.518799606	7.4303188	2.893424111	4.309420204	2.10749378	9.025155363	3.173951767	7.419366796	2.891296066	gdpd5	Chr02	169719095	169719095	1.129728564	1.170749141	1	male	6.923269524	3.098775092	2.791453514	meanmale	1.631698048	meanfemale
TRINITY_DN102865_c0_g1_i2	0.000438076	0.001237432	6.800014144	2	2.765537747	19.04914778	4.251654551	6.261575932	2.646525805	23.97116902	4.583228363	1.424397173	0.510351478	9.926163509	3.31123622	26.11663253	4.706896983	13.27082847	3.730186533	28.88537341	4.85226724	18.11363983	4.179004571	os9-like	Chr02	138049041	138049041	4.067901952	1.621113902	1	male	23.22719251	7.536595846	4.53774288	meanmale	2.913913029	meanfemale
TRINITY_DN103267_c0_g1_i1	0.004322137	0.009773879	1.376870038	2	0.461392391	3.25777303	1.703886094	1.654444048	0.726346502	7.850611911	2.972805108	4.1688731	2.059657457	2.354083396	1.23516543	8.526858592	3.092014331	0.14629217	-2.773075541	6.883716668	2.783187718	4.342982069	2.118685996	NA	NA	NA	NA	1.25669214	1.653471792	1	male	6.172388454	1.94011255	2.62582886	meanmale	0.956140349	meanfemale
TRINITY_DN103284_c0_g1_i2	0.012198604	0.02462424	2.049765728	2	1.035459031	3.171083481	1.664975858	1.603132221	0.680893419	1.392854563	0.478044625	0.823756961	-0.279709343	0.134790652	-2.891207649	4.773832247	2.255147871	1.474251849	0.559983004	3.613036558	1.853211853	3.961593808	1.986080965	Xetrov90021170m	Chr08	62609795	62609795	0.18570937	1.484571873	1	male	3.382480131	1.217139482	1.75808146	meanmale	0.283494508	meanfemale
TRINITY_DN103537_c0_g2_i1	1.49E-09	1.09E-08	1.951330423	2	0.964458093	12.08811248	3.595517085	0.90181323	-0.14909942	8.806824501	3.138621917	1.737711297	0.797188413	1.819777436	0.863762015	7.384942311	2.884586651	1.61716209	0.693464289	5.203068946	2.379362825	11.03649697	3.464210422	gnb3	Chr07	1299936	1299936	3.368972899	2.454311237	1	male	8.903889042	1.605558895	3.154435614	meanmale	0.683075587	meanfemale
TRINITY_DN103615_c0_g1_i1	1.20E-06	5.51E-06	63.51090381	2	5.988932396	133.1174344	7.056555723	21.61356536	4.433865173	163.3852728	7.352134138	35.22029494	5.138335085	19.63088502	4.29505331	82.2960844	6.362751885	50.91688588	5.67007228	109.600351	6.776108608	124.1850136	6.956347272	cdc37l1	Chr01	115087659	115087659	6.407129192	1.657714848	1	male	122.5168312	38.178507	6.936836149	meanmale	5.254688781	meanfemale
TRINITY_DN103744_c0_g1_i2	0.000144059	0.000450695	371.667267	2	8.537867824	698.0327217	9.447150857	246.4347046	7.94506163	536.9127454	9.068543842	245.0790483	7.937103344	293.5000836	8.197217104	564.5123686	9.140861381	247.2365975	7.949748506	411.001195	8.682998778	610.0417814	9.252764245	NA	NA	NA	NA	9.35358449	1.003705207	1	male	564.1001624	280.7835402	9.139807542	meanmale	8.133314556	meanfemale
TRINITY_DN103769_c0_g1_i1	5.19E-16	8.55E-15	18.35808576	2	4.198343728	59.81425802	5.902417518	13.24495892	3.727371464	58.07001	5.859721377	10.94995569	3.452853127	13.92956739	3.800078548	72.3829667	6.177578334	16.33065858	4.029511068	88.86229753	6.473499538	55.91377799	5.805131923	NA	NA	NA	NA	6.043112637	2.202095089	1	male	67.00866205	14.56264527	6.066275696	meanmale	3.864200536	meanfemale
TRINITY_DN103795_c0_g1_i3	0.000230578	0.000693433	7.809873058	2	2.965299099	5.948628553	2.572557096	2.28427758	1.191737974	15.49922057	3.954123761	4.401593173	2.138025807	3.018102283	1.593641699	44.36441205	5.471330944	6.627012705	2.728358685	19.61203152	4.29366708	12.28802601	3.61918127	NA	NA	NA	NA	3.022838098	2.018818691	1	male	19.54246374	4.82817176	4.288540456	meanmale	2.271477	meanfemale
TRINITY_DN103833_c0_g1_i1	0.00034911	0.001007667	25.69884957	2	4.683631872	76.54136629	6.258167749	35.84525881	5.163710404	71.52749944	6.160426102	35.75812165	5.16019905	34.44404112	5.106182511	46.56983414	5.541323839	24.30005746	4.60288782	64.21431001	6.004822929	66.74736518	6.060638983	NA	NA	NA	NA	4.692484839	1.057573221	1	male	65.12007501	31.20926572	6.025030456	meanmale	4.963902509	meanfemale
TRINITY_DN103859_c0_g1_i1	8.77E-12	8.72E-11	7.781605511	2	2.960067845	49.4749171	5.628625385	1.350224758	0.433199578	32.27109472	5.012170614	2.67783397	1.421066514	1.493767156	0.578955283	15.69491751	3.972225541	6.099462714	2.608682165	54.77489897	5.775443013	59.26192821	5.889033663	dlgap1	Chr06	91641944	91641944	6.097782482	3.415362294	3	male	42.2955513	3.880578822	5.402434022	meanmale	1.956271859	meanfemale
TRINITY_DN103974_c0_g2_i1	0.013186105	0.026369873	1.228423822	2	0.296808395	4.043879878	2.015740143	3.36682506	1.751388761	5.378611069	2.42723367	2.267159035	1.180885596	3.104761225	1.634482321	5.226575403	2.385865962	2.05994276	1.04260425	4.528283396	2.17896425	5.176010957	2.371840671	pam-like	Chr01	137311916	137311916	2.272645666	1.023095632	1	male	4.870672141	2.40542238	2.284120874	meanmale	1.266290246	meanfemale
TRINITY_DN103997_c0_g1_i1	0.006271754	0.013635037	0.534097314	2	-0.904825466	6.95041854	2.797099857	1.30328712	0.382154951	8.964351781	3.164199265	0.906863614	-0.141042499	2.648178692	1.405000475	5.544212583	2.470982576	4.619265582	2.207663495	1.958176604	0.969510885	7.668164381	2.938881264	NA	NA	NA	NA	1.475624453	1.613869631	1	male	6.217064778	2.002338464	2.636233611	meanmale	1.00168586	meanfemale
TRINITY_DN104012_c0_g1_i1	2.03E-08	1.24E-07	1.268411213	2	0.343022536	12.00460676	3.58551624	3.684686099	1.88154172	17.76764659	4.151180697	1.065007772	0.090863959	2.788261081	1.479365655	8.327204108	3.057832186	1.270673877	0.345593805	24.08249656	4.589913055	13.44136877	3.748608154	NA	NA	NA	NA	1.755114601	2.91297825	1	male	15.12466456	2.015408008	3.918831241	meanmale	1.011071934	meanfemale
TRINITY_DN104090_c1_g2_i1	0.002798728	0.006621846	25.72989533	2	4.685373683	52.11090661	5.703513449	21.75304684	4.443145581	39.28187529	5.295791899	11.506387	3.524362994	18.52894934	4.211709172	48.76386976	5.607740714	24.51502127	4.615594108	27.5568853	4.784340927	45.50707007	5.508018798	NA	NA	NA	NA	3.974818638	1.060346152	1	male	42.64412141	20.40665996	5.414274971	meanmale	4.350968165	meanfemale
TRINITY_DN104155_c0_g1_i1	1.71E-05	6.37E-05	10.47330304	2	3.388644602	33.00323286	5.044535447	3.969020198	1.988782904	16.65332934	4.057738725	4.352484766	2.121839248	6.185908277	2.628985442	32.79054753	5.035208087	10.6827493	3.41721108	23.01732898	4.524648522	20.73252257	4.373823758	NA	NA	NA	NA	3.576899445	1.815013905	1	male	25.23939226	7.132693116	4.657605267	meanmale	2.834446903	meanfemale
TRINITY_DN104173_c0_g1_i1	5.93E-09	3.90E-08	4.273521604	2	2.095425416	20.43653816	4.353078927	5.569002529	2.477418948	24.35218471	4.605979302	5.10997932	2.353317453	8.61869011	3.107468622	16.49885349	4.04429387	6.014707175	2.588494502	16.30948266	4.027639115	22.93647986	4.519572088	pfkp	Chr06	12075746	12075746	4.904419402	1.762070191	1	male	20.10670778	5.917180148	4.329604972	meanmale	2.564909818	meanfemale
TRINITY_DN104464_c0_g1_i1	0.017221437	0.033383367	1.335892295	2	0.417803697	4.741225139	2.245259902	1.710389673	0.774325047	4.021058619	2.007575368	1.260145007	0.333589757	1.691868371	0.75861733	4.815023794	2.267542927	4.683963678	2.227729888	4.251580725	2.087999331	5.564489263	2.476249276	NA	NA	NA	NA	2.294920789	1.111192907	1	male	4.678675508	2.136451805	2.226100173	meanmale	1.095216772	meanfemale
TRINITY_DN104532_c0_g1_i1	0.00304191	0.007133627	2.552544907	2	1.351936343	6.039503896	2.594430047	1.984615094	0.988859231	5.040260264	2.333498232	1.078612354	0.109176463	2.182088149	1.125709383	4.1401197	2.04967248	1.579384234	0.659362194	3.612644689	1.85305537	4.67076043	2.223657449	NA	NA	NA	NA	0.705555136	1.327324269	1	male	4.700657796	1.875448948	2.232862657	meanmale	0.907235991	meanfemale
TRINITY_DN104667_c0_g1_i3	8.45E-13	9.60E-12	2.690374263	2	1.427806883	23.89071452	4.578378097	3.647202728	1.866790393	15.60932809	3.964336532	1.7569562	0.813078226	3.889978018	1.959762003	9.822753795	3.296127539	2.212704175	1.145810585	16.02106055	4.001897748	20.86300002	4.382874722	prpf4b	Chr06	51006452	51006452	4.386314132	2.605115496	1	male	17.2413714	2.839443077	4.107802627	meanmale	1.50560799	meanfemale
TRINITY_DN104783_c1_g1_i1	1.29E-06	5.88E-06	4.724146213	2	2.240053617	12.66262386	3.662504476	2.598839599	1.377867593	9.838246578	3.298401214	1.132699771	0.179765517	1.248624518	0.3203397	7.316879959	2.87122859	0.400096786	-1.321579055	13.83216441	3.789955017	9.911728203	3.309136627	NA	NA	NA	NA	4.27496209	2.418416624	1	male	10.7123286	2.020881377	3.421200216	meanmale	1.01498464	meanfemale
TRINITY_DN105198_c0_g4_i1	0.008387804	0.017675029	0.27017569	2	-1.888030226	2.237392555	1.161818402	2.362398667	1.240252448	3.961861179	1.98617833	1.340936145	0.423240538	1.616751264	0.693097738	3.943921714	1.979630915	0.063153451	-3.984994618	2.47638259	1.308234222	4.59012369	2.19853303	NA	NA	NA	NA	1.605741221	1.619618364	1	male	3.441936346	1.130683043	1.783220417	meanmale	0.177194565	meanfemale
TRINITY_DN105250_c0_g1_i2	4.00E-20	9.66E-19	43.38490201	2	5.439121166	214.6179045	7.745626628	30.43576912	4.927695918	128.2333864	7.002628116	18.10288882	4.178148033	23.41684142	4.549474586	158.4288306	7.307691088	25.30507883	4.661355064	182.1034638	7.508614554	200.9567856	7.650741483	NA	NA	NA	NA	6.43462876	2.652420324	1	male	176.8680742	28.12909604	7.466529846	meanmale	4.813991286	meanfemale
TRINITY_DN105320_c0_g2_i2	4.39E-10	3.44E-09	2.465963141	2	1.302151236	10.24455153	3.356784925	1.865849332	0.899832493	9.321393552	3.220545654	1.235891372	0.305551944	3.3827205	1.758183978	11.56498859	3.531691938	1.742658513	0.80128989	27.79329121	4.79666478	16.3985633	4.035497519	krt8.2	scaffold_305	197019	197019	3.392572717	2.826429212	1	male	15.06455764	2.138616572	3.913086404	meanmale	1.096677848	meanfemale
TRINITY_DN105324_c0_g1_i5	3.00E-05	0.000107029	501.4479545	2	8.96995616	1190.293615	10.21710178	240.8935379	7.912251883	643.5729166	9.329959804	203.220628	7.666903041	191.3639474	7.580175244	540.9210526	9.079274238	420.3412677	8.715417292	844.4662056	9.721895879	857.011062	9.743170016	NA	NA	NA	NA	8.345262009	1.369592213	1	male	815.2529704	311.4534671	9.671103982	meanmale	8.282872822	meanfemale
TRINITY_DN105451_c0_g1_i1	0.015008875	0.029559165	3.638652215	2	1.863404164	3.804114384	1.927560627	2.236937795	1.161525138	8.895368608	3.153054389	2.652537695	1.407373253	2.459517449	1.29837529	10.56823163	3.401662087	4.944961503	2.30595929	3.393295031	1.762686871	9.11180413	3.187736735	LOC100497120-like	Chr02	57968526	57968526	2.130741418	1.158611468	1	male	7.154562757	3.186521331	2.838863601	meanmale	1.671982319	meanfemale
TRINITY_DN105493_c0_g2_i1	2.00E-06	8.78E-06	61.71518096	2	5.947553508	155.6245122	7.281925505	30.67338138	4.93891531	77.58276953	6.277664373	27.65224088	4.789324493	22.1899111	4.471831983	74.51568903	6.219472307	45.01380952	5.49229576	164.4900839	7.361856805	107.00143	6.741486267	NA	NA	NA	NA	6.118229852	1.616667721	1	male	115.8428969	37.44890477	6.856025776	meanmale	5.226851621	meanfemale
TRINITY_DN105675_c0_g2_i1	0.007716938	0.016423974	0.914478816	2	-0.128978345	1.997282135	0.998038142	1.144349666	0.194527948	2.050638623	1.036073273	0.780957596	-0.356683879	2.044598855	1.031817818	4.221546014	2.077771439	1.068795135	0.095985346	3.304423019	1.724398387	2.356557834	1.236681088	LOC100494784	Chr01	133867919	133867919	1.064846226	1.246423807	1	male	2.786089525	1.190636014	1.478241617	meanmale	0.251732438	meanfemale
TRINITY_DN105687_c0_g2_i1	7.96E-57	1.22E-54	1.82884499	2	0.8709328	214.4575696	7.744548429	0.563470813	-0.827587212	236.3116605	7.884547009	0.361918841	-1.46626188	2.037184259	1.026576475	226.30841	7.822146388	0.38862884	-1.363535128	427.8976472	8.741121936	341.077987	8.413957837	NA	NA	NA	NA	7.502950817	8.135303953	7	male	289.2106549	1.036009549	8.175976894	meanmale	0.0510373	meanfemale
TRINITY_DN105698_c0_g1_i1	0.00316681	0.007395014	1.758236933	2	0.814129495	5.03592795	2.332257642	0.282262719	-1.824889503	8.992105192	3.168658913	0.12086541	-3.04852667	0.158216835	-2.660024978	4.702945032	2.23356447	4.001716707	2.000619038	8.481941438	3.084394522	3.542937981	1.824946211	zbtb5	Chr01	96937185	96937185	1.538261864	2.247025366	1	male	6.151171519	1.264259721	2.620861204	meanmale	0.338292871	meanfemale
TRINITY_DN105849_c0_g1_i1	0.000394972	0.001125497	0.432618824	2	-1.208831654	10.06546976	3.3313426	5.864792041	2.552079953	13.8853091	3.795487388	0.470871492	-1.086594715	0.986218271	-0.020021114	8.34230737	3.060446469	1.853948484	0.890601156	3.965307622	1.987432792	10.35202191	3.371840671	NA	NA	NA	NA	1.487504205	2.292784817	1	male	9.322083152	1.921689822	3.220652382	meanmale	0.942375491	meanfemale
TRINITY_DN105870_c0_g1_i1	0.014916317	0.029384619	3.197617398	2	1.676997327	5.118035471	2.355590146	0.764972875	-0.386519502	1.246188491	0.317522298	1.7811226	0.832786825	1.20597343	0.270198122	5.847411708	2.547798173	1.428932626	0.514937895	7.219445943	2.851888122	2.250439547	1.17020681	NA	NA	NA	NA	1.233271247	1.369376875	1	male	4.336304232	1.675723786	2.116465979	meanmale	0.744784365	meanfemale
TRINITY_DN105981_c0_g1_i1	0.001367966	0.003475765	6.062979145	2	2.60002686	9.364386068	3.227184414	2.397287257	1.261402792	11.30686122	3.499126588	2.529645387	1.338935158	1.583708173	0.663306517	13.38502417	3.742547839	3.739882807	1.902993063	4.631016201	2.211328804	10.27645971	3.36127143	NA	NA	NA	NA	1.494831575	1.583183799	1	male	9.792749474	3.262700554	3.291713977	meanmale	1.706066585	meanfemale
TRINITY_DN106031_c0_g1_i1	2.40E-10	1.95E-09	2.42401209	2	1.277396894	5.735386053	2.519890598	0.54768486	-0.868582095	10.15139865	3.343606609	0.644929047	-0.632787646	0.537239525	-0.896362646	17.18274444	4.102888578	1.259137279	0.332435583	46.8019447	5.548496572	14.82312866	3.889778079	LOC101734295	Chr09	54163500	54163500	2.979606209	4.128979489	3	male	18.9389205	1.08260056	4.243282196	meanmale	0.11450104	meanfemale
TRINITY_DN106179_c0_g1_i1	0.000463058	0.001301371	0.610083102	2	-0.712922323	4.721448807	2.239229628	1.318124395	0.398486528	4.872842608	2.284763624	1.543863635	0.626545329	1.673275216	0.742674756	2.075262091	1.05329355	0.267387489	-1.902996131	2.27171498	1.183781839	4.349141781	2.120730741	LOC100491202-like	Chr08	24763817	24763817	2.704964486	1.75155568	1	male	3.658082053	1.082546767	1.871087436	meanmale	0.114429353	meanfemale
TRINITY_DN106281_c0_g2_i1	0.012383513	0.024950617	1.212901115	2	0.278461936	5.343785676	2.417862147	2.679022829	1.421706875	3.731587822	1.89978964	2.785965951	1.478177626	3.217872305	1.686107077	4.68075591	2.226741534	0.97763831	-0.032627275	4.216883031	2.076177004	4.953958523	2.30858179	NA	NA	NA	NA	2.510766779	1.080083346	1	male	4.585394192	2.174680102	2.197045763	meanmale	1.120803194	meanfemale
TRINITY_DN106338_c0_g1_i1	0.020256558	0.038460525	7.146260532	2	2.837188511	6.389864213	2.675785274	4.393313605	2.135309486	15.78206217	3.980213823	4.7211509	2.239138596	2.20212003	1.138893107	8.715661917	3.123610235	3.884733263	1.957815542	8.092464536	3.016579138	7.158180819	2.839592987	cdpf1-like	scaffold_214	74870	74870	2.544892041	1.038381652	1	male	9.227646731	4.469515666	3.205962773	meanmale	2.160118504	meanfemale
TRINITY_DN106476_c0_g1_i1	1.82E-05	6.75E-05	9.307361089	2	3.218372179	40.76029632	5.349092635	11.31197359	3.499778752	38.55198034	5.268733065	12.45327327	3.638453091	24.17649492	4.595533194	24.44877014	4.611689989	6.851156135	2.776347464	27.63242367	4.788290203	30.28673124	4.920613975	MGC147576	Chr07	27800564	27800564	6.023286428	1.345697135	1	male	32.33604034	12.8200518	5.015071122	meanmale	3.680330186	meanfemale
TRINITY_DN106671_c0_g2_i1	0.007075348	0.015190317	2.121836196	2	1.085313286	3.793203401	1.923416735	4.122932824	2.043670955	8.455519079	3.079893323	4.63429926	2.212351209	3.829321626	1.937088838	9.598040362	3.26273988	2.204347962	1.140351975	6.482791753	2.69661523	5.867085989	2.552644137	NA	NA	NA	NA	3.921710074	1.02379986	1	male	6.839328117	3.382547574	2.773854604	meanmale	1.758110225	meanfemale
TRINITY_DN106937_c0_g1_i1	8.00E-05	0.000263169	7.929624275	2	2.987252509	24.62520169	4.622063636	4.535065922	2.181123522	26.55997467	4.731181866	10.03327131	3.326720163	9.462046422	3.242152239	31.88583836	4.994843909	6.371565194	2.671647818	13.05996305	3.70707891	26.09006	4.705428357	NA	NA	NA	NA	2.778094833	1.664536195	1	male	24.44420755	7.666314625	4.611420731	meanmale	2.938533207	meanfemale
TRINITY_DN106961_c0_g1_i1	0.002091346	0.005088521	16.30447824	2	4.027196369	12.18861627	3.607462446	5.085079804	2.346270416	31.54513665	4.979345695	8.426694444	3.074966813	8.807556238	3.138741782	39.69479948	5.310878103	14.49645477	3.857628215	32.08919463	5.004015676	19.86630795	4.312251875	NA	NA	NA	NA	3.729271167	1.344902502	1	male	27.076811	10.6240527	4.758985929	meanmale	3.409262303	meanfemale
TRINITY_DN107048_c0_g1_i1	0.000215051	0.000650691	2.984408024	2	1.577444792	4.327907602	2.113669699	3.328004385	1.734657334	8.759486059	3.130846226	3.33211982	1.73644028	3.209667253	1.682423741	9.16067392	3.195453736	2.812919687	1.492068362	19.41291075	4.278944545	9.214595306	3.203920806	NA	NA	NA	NA	2.29807886	1.699387113	1	male	10.17511473	3.133423834	3.346973156	meanmale	1.647739925	meanfemale
TRINITY_DN107048_c1_g1_i1	0.000649949	0.001770662	0.627836843	2	-0.671538403	6.79619404	2.764727044	5.042923224	2.334260261	8.430149594	3.075558232	3.936101287	1.976767346	4.64260574	2.214934769	8.146598081	3.026197733	1.614322489	0.690928811	16.00509653	4.000459473	9.690055887	3.276504986	LOC100496659	scaffold_393	70652	70652	3.8494906	1.643902518	1	male	9.813618826	3.172757917	3.294785236	meanmale	1.665737447	meanfemale
TRINITY_DN107077_c0_g1_i2	2.04E-06	8.96E-06	1.100007841	2	0.137513808	7.229714614	2.853938699	1.864030431	0.898425413	2.519271378	1.333006539	1.170665793	0.227329267	1.567268589	0.648252441	4.163054269	2.057642365	1.761791699	0.817043361	12.60309662	3.655706347	10.86992766	3.442270434	NA	NA	NA	NA	2.947535987	2.318882627	1	male	7.477012908	1.492752871	2.902462024	meanmale	0.577975343	meanfemale
TRINITY_DN107214_c0_g1_i1	3.76E-09	2.56E-08	3.790745449	2	1.922481582	22.78170444	4.509803783	4.393776293	2.135461418	16.07351114	4.006613204	3.614312612	1.853721294	4.796066949	2.261851798	18.8551808	4.236889079	6.025378722	2.591051924	18.32814695	4.195989026	27.21232486	4.766188312	vsig2	Chr07	64320564	64320564	3.535381133	2.181667614	1	male	20.65017364	4.524056005	4.368082008	meanmale	2.177616789	meanfemale
TRINITY_DN107257_c0_g1_i1	0.003694183	0.008504159	1.442062748	2	0.528133941	2.615884796	1.387299006	0.684225738	-0.547455721	5.095526276	2.349231158	0.878960118	-0.186130389	0.328739424	-1.604983613	2.702803634	1.4344567	2.247210283	1.168135131	1.872506377	0.904970632	5.176010957	2.371840671	NA	NA	NA	NA	0.830375412	1.623084806	1	male	3.492546408	1.116239662	1.804279286	meanmale	0.158646814	meanfemale
TRINITY_DN107303_c0_g1_i1	0.000713073	0.001924503	5.502766636	2	2.460157147	15.07571955	3.914154957	2.797432187	1.484103159	14.58301244	3.866216866	8.322013312	3.056932596	4.704137361	2.233930188	16.0497995	4.00448337	3.892657143	1.960755281	10.28657207	3.362690389	14.72672574	3.8803648	lman1	Chr01	188111030	188111030	2.238485521	1.46804462	1	male	14.14436586	5.043801328	3.822155592	meanmale	2.33451145	meanfemale
TRINITY_DN107343_c0_g1_i1	0.001926766	0.004728136	13.92757728	2	3.799872416	71.23438174	6.15450183	14.90597674	3.897819008	25.53159308	4.674211654	3.350952341	1.744571168	7.340686679	2.875915025	32.04487772	5.00202186	31.45414454	4.975178221	60.10950435	5.909521219	27.5636287	4.784693924	NA	NA	NA	NA	4.262248037	1.584285855	1	male	43.29679712	14.19586752	5.4361884	meanmale	3.82739911	meanfemale
TRINITY_DN107445_c0_g1_i2	0.020563876	0.038991516	1.585168211	2	0.664635941	3.125517845	1.64409524	1.432620956	0.518656951	2.800594594	1.485733158	2.760529051	1.464944784	3.6136242	1.85344648	16.1882543	4.016875512	0.617553971	-0.695362869	2.825155558	1.498330307	2.739466359	1.453894887	NA	NA	NA	NA	0.729351902	1.494474997	1	male	5.535797731	2.001899278	2.46879123	meanmale	1.001369389	meanfemale
TRINITY_DN107472_c0_g1_i1	2.61E-07	1.34E-06	0.553752095	2	-0.852687843	11.48959594	3.522256158	2.122152443	1.085528295	8.91795491	3.156712905	1.001435	0.002068783	2.330509638	1.220645479	4.513841998	2.174355919	1.642883579	0.716230249	7.027745202	2.813061886	8.409027032	3.071938883	syt16-like	Chr08	81613253	81613253	2.975922116	2.396687766	1	male	8.071633016	1.530146551	3.012860583	meanmale	0.613669835	meanfemale
TRINITY_DN107632_c0_g1_i1	8.19E-15	1.17E-13	2.112091903	2	1.078672612	68.37297871	6.095354373	7.027989352	2.813112006	63.0120836	5.97755661	3.009397829	1.589474837	6.483598621	2.696794781	60.6768314	5.923073844	9.31298797	3.219244115	32.55842042	5.024958803	61.79625842	5.949447585	NA	NA	NA	NA	4.507255817	3.350296983	3	male	57.28331451	5.589213135	5.840043067	meanmale	2.482645191	meanfemale
