gid	Am2_463	base	logAm2_463	Am2_464	logAm2_464	Am4_461	logAm4_461	Am6_462	logAm6_462	Am6_464	logAm6_464	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46	meanXY	meanXX	log2meanXY	male	female	log2meanXX	cutoff
TRINITY_DN131690_c0_g1_i2	0	2	NA	22.62568326	4.499889455	0.029595782	-5.078464613	0	NA	24.07381404	4.589392823	NA	NA	NA	NA	4.426536203	-10.67126374	4.91E-81	2.78E-78	0.009865261	23.34974865	-6.648876742	meanmale	meanfemale	4.545341294	FC7
TRINITY_DN109913_c0_g2_i1	0	2	NA	9.569725591	3.258477556	0	NA	0	NA	3.332422677	1.736571401	NA	NA	NA	NA	1.790811423	-10.66485568	1.13E-25	8.46E-24	0	6.451074134	-13.28771238	meanmale	meanfemale	2.689561759	FC7
TRINITY_DN131553_c0_g2_i1	0.134617193	2	-2.893065415	136.5517678	7.093304181	0.076357117	-3.711093558	0	NA	101.6565596	6.667559501	NA	NA	NA	NA	4.412758906	-10.64254839	5.83E-76	2.60E-73	0.07032477	119.1041637	-3.827773243	meanmale	meanfemale	6.89608125	FC7
TRINITY_DN79738_c0_g1_i1	0	2	NA	10.12055554	3.33921658	0	NA	0	NA	19.93461312	4.317203701	NA	NA	NA	NA	1.782299783	-10.63061029	1.07E-29	1.00E-27	0	15.02758433	-13.28771238	meanmale	meanfemale	3.909550811	FC7
TRINITY_DN133291_c0_g2_i1	0.258879218	2	-1.94964894	476.1639295	8.895314527	0.293681218	-1.767677092	0.369158533	-1.437687588	558.0019807	9.124126433	NA	NA	NA	NA	7.164717499	-10.62875118	1.90E-95	3.65E-92	0.307239656	517.0829551	-1.702094164	meanmale	meanfemale	9.014252218	FC7
TRINITY_DN120463_c0_g1_i1	0.083555499	2	-3.581121411	118.8194529	6.892627241	0.071091109	-3.814187049	0.02553195	-5.291552462	76.98146111	6.266439149	NA	NA	NA	NA	5.816989515	-10.62654279	8.12E-85	5.63E-82	0.060059519	97.90045701	-4.05506315	meanmale	meanfemale	6.613245163	FC7
TRINITY_DN97717_c0_g2_i1	0	2	NA	3.984090303	1.994250348	0	NA	0	NA	3.457656886	1.789794713	thoc5	Chr01	132400381	132400381	1.765922729	-10.62541274	1.20E-32	1.30E-30	0	3.720873595	-13.28771238	meanmale	meanfemale	1.895680153	FC7
TRINITY_DN45542_c0_g1_i1	0.056090497	2	-4.156099823	243.9811206	7.930625705	0.127261861	-2.974127971	0.171395033	-2.544602794	167.7684581	7.390327692	NA	NA	NA	NA	6.463270241	-10.59525847	1.39E-87	1.05E-84	0.11824913	205.8747894	-3.07887899	meanmale	meanfemale	7.685624064	FC7
TRINITY_DN126729_c2_g1_i2	0	2	NA	57.47748893	5.84492513	0.064668825	-3.950785792	0	NA	33.239154	5.054811758	NA	NA	NA	NA	4.845318945	-10.59242179	5.68E-73	2.32E-70	0.021556275	45.35832147	-5.529071077	meanmale	meanfemale	5.503298528	FC7
TRINITY_DN125519_c4_g4_i2	0	2	NA	21.63815794	4.435505782	0.030035579	-5.057183715	0	NA	30.22080379	4.917470128	NA	NA	NA	NA	3.559552611	-10.58305352	4.32E-55	9.36E-53	0.01001186	25.92948087	-6.627807843	meanmale	meanfemale	4.696526981	FC7
TRINITY_DN98982_c0_g2_i1	0	2	NA	6.117802272	2.61301348	0	NA	0	NA	5.383958955	2.428667412	NA	NA	NA	NA	1.690762648	-10.54847502	1.35E-31	1.40E-29	0	5.750880614	-13.28771238	meanmale	meanfemale	2.523807974	FC7
TRINITY_DN128648_c7_g8_i1	0.091094341	2	-3.456494757	105.5413834	6.721664989	0.051670229	-4.274522912	0.055671169	-4.166925812	97.1621287	6.602322193	pip5k1c	Chr01	74476378	74476378	4.741105921	-10.46819291	3.39E-89	3.02E-86	0.066145246	101.3517561	-3.916039257	meanmale	meanfemale	6.663228699	FC7
TRINITY_DN136699_c6_g5_i2	0	2	NA	9.056360738	3.178931426	0	NA	0	NA	2.276260844	1.18666589	NA	NA	NA	NA	1.573020613	-10.45009409	2.38E-21	1.39E-19	0	5.666310791	-13.28771238	meanmale	meanfemale	2.502435195	FC7
TRINITY_DN135526_c5_g1_i1	0	2	NA	47.16297697	5.55958288	0	NA	0.073564485	-3.764846751	35.51874202	5.150508581	NA	NA	NA	NA	5.046116754	-10.41246524	1.15E-84	7.75E-82	0.024521495	41.3408595	-5.343937826	meanmale	meanfemale	5.369499968	FC7
TRINITY_DN151548_c0_g1_i1	0.044706817	2	-4.483361356	176.024043	7.459628689	0.177509164	-2.494034588	0.081966038	-3.608829926	136.3643393	7.091322604	c12orf45	Chr03	40721242	40721242	6.391170494	-10.39733586	7.02E-89	5.84E-86	0.101394006	156.1941912	-3.300533562	meanmale	meanfemale	7.287197914	FC7
TRINITY_DN113238_c0_g2_i1	0	2	NA	17.5600124	4.134221959	0	NA	0	NA	12.75593038	3.673096224	NA	NA	NA	NA	1.528564661	-10.38574435	6.12E-29	5.61E-27	0	15.15797139	-13.28771238	meanmale	meanfemale	3.922014301	FC7
TRINITY_DN125309_c0_g1_i1	0.055601411	2	-4.168734695	168.9340636	7.40031645	0.141921213	-2.816837849	0.118930376	-3.071810854	139.0878394	7.119852479	Xetrov90028299m	scaffold_36	229153	229153	7.055343966	-10.374038	3.77E-89	3.24E-86	0.105484333	154.0109515	-3.243532312	meanmale	meanfemale	7.266890069	FC7
TRINITY_DN123462_c3_g1_i1	0.029826557	2	-5.067258739	41.64032149	5.379909302	0.033836241	-4.885286887	0.018228128	-5.777689783	38.43891038	5.264495536	NA	NA	NA	NA	5.011426054	-10.3689533	1.90E-92	2.16E-89	0.027296975	40.03961594	-5.189839563	meanmale	meanfemale	5.323359834	FC7
TRINITY_DN135535_c0_g1_i2	0.385845459	2	-1.373904968	551.2390863	9.106534378	0.259893848	-1.944005611	0.309493579	-1.692018616	276.2945711	8.110063405	NA	NA	NA	NA	8.691058617	-10.33209255	2.42E-70	9.16E-68	0.318410962	413.7668287	-1.650585069	meanmale	meanfemale	8.692674529	FC7
TRINITY_DN125119_c3_g1_i1	0	2	NA	7.734408299	2.951290926	0	NA	0	NA	4.348203722	2.120419535	NA	NA	NA	NA	1.432323802	-10.2922775	6.22E-26	4.86E-24	0	6.041306011	-13.28771238	meanmale	meanfemale	2.594884346	FC7
TRINITY_DN131394_c0_g1_i2	0	2	NA	51.20854168	5.678312569	0.076869581	-3.701443385	0	NA	55.96408502	5.806429369	NA	NA	NA	NA	3.254438255	-10.27664841	7.58E-51	1.45E-48	0.025623194	53.58631335	-5.280786418	meanmale	meanfemale	5.743795352	FC7
TRINITY_DN114286_c0_g3_i1	0	2	NA	17.58334486	4.136137634	0	NA	0	NA	9.501852149	3.248208758	NA	NA	NA	NA	1.382643364	-10.24243603	6.41E-25	4.56E-23	0	13.5425985	-13.28771238	meanmale	meanfemale	3.759443332	FC7
TRINITY_DN103897_c0_g2_i1	0	2	NA	106.3285679	6.732385456	0.149859762	-2.73831503	0	NA	44.48213297	5.475154064	NA	NA	NA	NA	5.590727297	-10.24131002	1.48E-56	3.42E-54	0.049953254	75.40535044	-4.320392327	meanmale	meanfemale	6.236596903	FC7
TRINITY_DN91852_c0_g1_i1	0	2	NA	15.57040006	3.960734108	0	NA	0	NA	9.740328291	3.283970398	NA	NA	NA	NA	1.369886333	-10.22641091	1.11E-25	8.39E-24	0	12.65536418	-13.28771238	meanmale	meanfemale	3.661688518	FC7
TRINITY_DN125119_c3_g3_i1	0	2	NA	7.751622456	2.954498306	0	NA	0	NA	3.83170163	1.937985225	lamc1	Chr04	89864311	89864311	1.338229708	-10.19890084	4.74E-24	3.25E-22	0	5.791662043	-13.28771238	meanmale	meanfemale	2.53400233	FC7
TRINITY_DN124325_c0_g1_i1	0.380072675	2	-1.395652787	306.8254429	8.26127431	0.049750052	-4.329158156	0.30374641	-1.719060737	251.6069034	7.975027696	NA	NA	NA	NA	7.841243008	-10.18508682	8.05E-60	2.11E-57	0.244523046	279.2161732	-2.03136777	meanmale	meanfemale	8.125239216	FC7
TRINITY_DN132305_c3_g4_i3	0.18232577	2	-2.455409608	77.22151256	6.270930908	0.025854554	-5.273437772	0	NA	57.68550547	5.850136956	NA	NA	NA	NA	5.154296628	-10.17604295	1.91E-82	1.16E-79	0.069393441	67.45350902	-3.846979364	meanmale	meanfemale	6.07582373	FC7
