gid	meanXY	male	meanXX	female	bias	cutoff
TRINITY_DN133534_c1_g5_i1	1.239138892	meanmale	-1.262603273	meanfemale	male	FC1
TRINITY_DN128465_c0_g5_i9	6.102872747	meanmale	3.577054573	meanfemale	male	FC1
TRINITY_DN134235_c0_g1_i1	3.928455182	meanmale	1.370941038	meanfemale	male	FC1
TRINITY_DN123918_c0_g2_i1	1.680544985	meanmale	-0.898802928	meanfemale	male	FC1
TRINITY_DN117036_c0_g1_i1	2.516370473	meanmale	-0.091172643	meanfemale	male	FC1
TRINITY_DN105687_c0_g1_i1	1.495642664	meanmale	-1.129724625	meanfemale	male	FC1
TRINITY_DN136506_c0_g1_i1	1.65681191	meanmale	-1.134063179	meanfemale	male	FC1
TRINITY_DN209985_c0_g1_i1	2.507829223	meanmale	-0.340141609	meanfemale	male	FC1
TRINITY_DN129784_c1_g7_i1	1.490847549	meanmale	-1.567729595	meanfemale	male	FC3
TRINITY_DN126942_c1_g2_i1	2.956984363	meanmale	-0.096530262	meanfemale	male	FC3
TRINITY_DN122261_c0_g1_i1	0.939316607	meanmale	-2.141614135	meanfemale	male	FC3
TRINITY_DN130569_c1_g1_i1	3.367060504	meanmale	0.266169772	meanfemale	male	FC3
TRINITY_DN130300_c0_g1_i3	2.422036288	meanmale	-0.670114236	meanfemale	male	FC3
TRINITY_DN125115_c2_g1_i1	3.547953513	meanmale	0.37035778	meanfemale	male	FC3
TRINITY_DN109305_c0_g2_i2	2.347064402	meanmale	-0.957543541	meanfemale	male	FC3
TRINITY_DN132765_c1_g1_i7	1.725035215	meanmale	-1.636324018	meanfemale	male	FC3
TRINITY_DN131753_c0_g4_i1	2.030523541	meanmale	-1.401135518	meanfemale	male	FC3
TRINITY_DN127888_c0_g2_i1	0.081428837	meanmale	-3.491727919	meanfemale	male	FC3
TRINITY_DN120963_c0_g1_i2	2.322392792	meanmale	-1.310445863	meanfemale	male	FC3
TRINITY_DN110989_c1_g2_i1	1.716128439	meanmale	-2.106324966	meanfemale	male	FC3
TRINITY_DN173093_c0_g1_i1	3.648616313	meanmale	-0.185527508	meanfemale	male	FC3
TRINITY_DN134524_c3_g3_i1	2.493728304	meanmale	-1.459519915	meanfemale	male	FC3
TRINITY_DN132560_c1_g7_i1	1.531340604	meanmale	-2.486584916	meanfemale	male	FC3
TRINITY_DN134062_c1_g1_i3	2.314233763	meanmale	-1.693125119	meanfemale	male	FC3
TRINITY_DN118022_c0_g1_i1	5.113565374	meanmale	0.772102327	meanfemale	male	FC3
TRINITY_DN38445_c0_g1_i1	3.08273224	meanmale	-1.454548316	meanfemale	male	FC3
TRINITY_DN135896_c2_g3_i1	10.51720017	meanmale	5.925550935	meanfemale	male	FC3
TRINITY_DN126719_c0_g1_i3	2.68566644	meanmale	-2.783218089	meanfemale	male	FC5
TRINITY_DN128367_c1_g4_i3	11.47715328	meanmale	5.981505708	meanfemale	male	FC5
TRINITY_DN20122_c0_g1_i1	0.61685158	meanmale	-6.108482312	meanfemale	male	FC5
TRINITY_DN113348_c0_g3_i1	2.371215225	meanmale	-4.922473818	meanfemale	male	FC5
TRINITY_DN133064_c1_g2_i1	1.662528239	meanmale	-13.28771238	meanfemale	male	FC7
TRINITY_DN132642_c5_g2_i1	2.702342215	meanmale	-13.28771238	meanfemale	male	FC7
TRINITY_DN135864_c0_g11_i1	4.204608254	meanmale	-4.285617024	meanfemale	male	FC7
TRINITY_DN93756_c0_g1_i1	2.087727133	meanmale	-13.28771238	meanfemale	male	FC7
TRINITY_DN86341_c0_g2_i1	2.045116145	meanmale	-13.28771238	meanfemale	male	FC7
