gid	Am2_463	base	logAm2_463	Am2_464	logAm2_464	Am4_461	logAm4_461	Am6_462	logAm6_462	Am6_464	logAm6_464	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46	meanXY	meanXX	log2meanXY	group1	log2meanXX	group2	cutoff
TRINITY_DN108890_c1_g2_i1	54.46796531	2	5.76733607	28.12250368	4.813653135	63.11751359	5.979968469	108.6011892	6.762896091	48.02755221	5.585790376	NA	NA	NA	NA	4.823563916	1.016381701	0.008276121	0.041225233	75.39555603	38.07502795	6.236409499	meanmale	5.25077698	meanfemale	FC1
TRINITY_DN95938_c0_g1_i1	147.4569473	2	7.204149985	63.03712597	5.978129855	93.73077705	6.550450938	189.1836679	7.563643737	81.78837416	6.35382388	lyz	Chr03	49462801	49462801	6.510225617	1.01677766	0.007623021	0.038547147	143.4571308	72.41275007	7.164476877	meanmale	6.178173829	meanfemale	FC1
TRINITY_DN116432_c0_g1_i1	21.47059036	2	4.424289955	10.0761098	3.332866843	18.89597001	4.240006675	16.50599255	4.044917989	9.043122755	3.176821048	NA	NA	NA	NA	3.449323954	1.016801515	0.007029231	0.036006585	18.95751764	9.559616278	4.24470577	meanmale	3.256967801	meanfemale	FC1
TRINITY_DN136469_c4_g1_i3	21.33216795	2	4.414958687	11.6399602	3.54101422	18.46207053	4.206492456	34.03042749	5.088753369	13.14667315	3.716625857	NA	NA	NA	NA	5.678635861	1.018411341	0.004163141	0.023317515	24.60822199	12.39331668	4.621074381	meanmale	3.631502066	meanfemale	FC1
TRINITY_DN121583_c1_g3_i5	4.495902408	2	2.168610719	2.298809243	1.200886755	5.218227663	2.383559888	3.652898001	1.86904147	2.185559659	1.12800276	NA	NA	NA	NA	3.076954532	1.02109732	0.009914358	0.047930608	4.455676024	2.242184451	2.155676715	meanmale	1.164969307	meanfemale	FC1
TRINITY_DN130339_c2_g2_i1	104.3015276	2	6.704616477	45.01356873	5.492288043	95.93636887	6.58400593	135.7390861	7.084692395	67.63646164	6.079729283	sh3pxd2b	Chr03	30631744	30631744	7.585142239	1.024048617	0.006894209	0.035420974	111.9923275	56.32501519	6.807257376	meanmale	5.815706454	meanfemale	FC1
TRINITY_DN109892_c0_g1_i1	21.50378545	2	4.426518744	9.530972157	3.252623376	24.54335892	4.6172608	31.25176966	4.965865981	16.33537989	4.029928101	uqcc2	Chr05	49176538	49176538	4.583324077	1.024716537	0.003389316	0.019654251	25.76630468	12.93317602	4.687419339	meanmale	3.693015854	meanfemale	FC1
TRINITY_DN130513_c3_g3_i2	12.64231035	2	3.660188231	4.677462039	2.225725945	8.50669054	3.088597972	16.03941897	4.003549976	7.745820805	2.953418126	NA	NA	NA	NA	4.286978436	1.025665582	0.007174307	0.03665937	12.39613995	6.211641422	3.631830681	meanmale	2.634997775	meanfemale	FC1
TRINITY_DN113380_c0_g1_i1	36.18124228	2	5.177170039	10.07191597	3.332266247	34.00888642	5.087839862	28.38722922	4.827170134	22.86357249	4.514978941	NA	NA	NA	NA	4.539745353	1.028423069	0.006018278	0.031680428	32.85911931	16.46774423	5.038226299	meanmale	4.041579802	meanfemale	FC1
TRINITY_DN128490_c0_g1_i4	8.634227063	2	3.110067033	4.05123674	2.018362394	7.914323721	2.984466077	9.624700782	3.26674169	4.647242477	2.216374922	NA	NA	NA	NA	2.637229586	1.030842341	0.008832177	0.043448387	8.724417189	4.349239609	3.125075295	meanmale	2.120796363	meanfemale	FC1
TRINITY_DN121941_c0_g10_i1	20.28037285	2	4.342012271	14.09693708	3.817309829	26.84118644	4.746376538	19.852016	4.311213617	8.198109645	3.035291285	NA	NA	NA	NA	3.638899273	1.03335564	0.010313179	0.049475091	22.3245251	11.14752336	4.480564043	meanmale	3.47866426	meanfemale	FC1
TRINITY_DN131755_c8_g12_i2	28.29379336	2	4.822413707	10.98630024	3.457633719	20.26664189	4.341035154	22.72267084	4.506060515	12.62326549	3.658013262	NA	NA	NA	NA	2.686125836	1.033412854	0.010388093	0.049729258	23.76103536	11.80478287	4.570531868	meanmale	3.561311821	meanfemale	FC1
TRINITY_DN134776_c2_g1_i1	2.467723697	2	1.30318087	1.058996906	0.082698374	3.123700226	1.643256008	2.130110882	1.090928531	1.504042473	0.588845308	NA	NA	NA	NA	3.179105327	1.034231709	0.010303383	0.049447117	2.573844935	1.28151969	1.36398119	meanmale	0.357968217	meanfemale	FC1
TRINITY_DN132349_c0_g3_i1	3.34918599	2	1.743810495	1.712331549	0.77596207	4.070816004	2.025318015	3.265154346	1.707151191	1.83459233	0.875459513	NA	NA	NA	NA	2.722234744	1.035583149	0.008658786	0.042772584	3.56171878	1.77346194	1.832614116	meanmale	0.826649716	meanfemale	FC1
TRINITY_DN128448_c2_g1_i2	21.95323987	2	4.456361964	11.2151716	3.48737979	17.91375407	4.1629958	37.18945305	5.216821625	14.29643099	3.837583128	NA	NA	NA	NA	4.505979059	1.038478089	0.005617405	0.029943085	25.68548233	12.7558013	4.682886877	meanmale	3.673092934	meanfemale	FC1
TRINITY_DN134301_c2_g2_i2	16.85123097	2	4.074782078	8.491866963	3.08608177	11.80188708	3.560945655	20.49749686	4.357375834	7.76232973	2.956489718	NA	NA	NA	NA	3.882514741	1.039485896	0.006108467	0.032053708	16.3835383	8.127098347	4.034183866	meanmale	3.022758104	meanfemale	FC1
TRINITY_DN105039_c0_g1_i1	12.82102036	2	3.680439178	7.575077243	2.9212606	15.95831789	3.996236685	20.78254417	4.377300373	8.820440742	3.140850747	nphp1	Chr05	50712580	50712580	5.248607505	1.040594215	0.00169779	0.010832589	16.52062747	8.197758993	4.046205311	meanmale	3.035247175	meanfemale	FC1
TRINITY_DN114439_c1_g1_i1	11.87675551	2	3.57006887	4.591916046	2.199096265	7.841654095	2.971158004	9.024908585	3.173912319	4.883876819	2.288026813	NA	NA	NA	NA	2.900435356	1.041153135	0.008811748	0.043382115	9.581106063	4.737896433	3.260207271	meanmale	2.244277112	meanfemale	FC1
TRINITY_DN133061_c1_g1_i3	3.057786667	2	1.612487758	1.828554215	0.870703402	4.764387957	2.252290894	5.537816247	2.469317184	2.589958132	1.372928776	zbtb48	Chr07	91410418	91410418	4.539566541	1.041763967	0.003285565	0.019141621	4.45333029	2.209256174	2.154917012	meanmale	1.143626016	meanfemale	FC1
TRINITY_DN79738_c0_g2_i1	154.6758856	2	7.273104484	63.61641452	5.991327157	95.50162699	6.577453406	162.9473965	7.348262491	72.81090405	6.186082617	NA	NA	NA	NA	5.931305031	1.043045572	0.00299344	0.017645799	137.708303	68.21365929	7.105472786	meanmale	6.091990867	meanfemale	FC1
TRINITY_DN132022_c5_g3_i1	89.27793753	2	6.480231794	52.83602364	5.72344999	82.37114234	6.364067091	141.9734471	7.149477321	50.48166521	5.657687595	acvrl1	Chr02	131803931	131803931	6.604533469	1.044516417	0.004332599	0.024050604	104.5408423	51.65884443	6.707924259	meanmale	5.690946259	meanfemale	FC1
TRINITY_DN135092_c0_g1_i1	29.2920197	2	4.872435766	10.52461957	3.39569618	20.36632777	4.348113968	24.35675288	4.606249908	13.88712335	3.795675878	NA	NA	NA	NA	5.964944007	1.046533979	0.001962101	0.01229567	24.67170012	12.20587146	4.624791077	meanmale	3.609515217	meanfemale	FC1
TRINITY_DN123733_c4_g1_i2	8.573791917	2	3.099933404	4.94616414	2.306310117	15.24391433	3.9301615	8.193088351	3.034407372	5.587565356	2.482219801	NA	NA	NA	NA	4.060807556	1.050066675	0.006038292	0.031765669	10.67026487	5.266864748	3.415537604	meanmale	2.396971804	meanfemale	FC1
TRINITY_DN132533_c4_g2_i1	33.87142288	2	5.081996688	15.65721232	3.968755467	37.8090884	5.24066116	24.08376658	4.589989135	15.80434348	3.982249201	Xetrov90024992m	Chr10	14200518	14200518	3.841516583	1.050829645	0.004875818	0.026586744	31.92142595	15.7307779	4.996457714	meanmale	3.975527281	meanfemale	FC1
TRINITY_DN135017_c0_g2_i3	50.13329965	2	5.647697287	19.53666706	4.288112461	53.10290385	5.73071885	43.40431457	5.439766555	28.52633764	4.834222633	tmem184a	Chr09	23940801	23940801	3.649310214	1.052437083	0.00509658	0.027585463	48.88017269	24.03150235	5.611180428	meanmale	4.586860941	meanfemale	FC1
TRINITY_DN126900_c0_g7_i1	27.75909848	2	4.79488881	11.04416638	3.465212622	36.02832123	5.171059525	37.68988383	5.236105443	22.28637998	4.478090391	NA	NA	NA	NA	4.586941055	1.052652346	0.00385937	0.021886437	33.82576785	16.66527318	5.080055044	meanmale	4.058781718	meanfemale	FC1
TRINITY_DN130413_c0_g1_i1	3.357611049	2	1.747435116	1.082545792	0.114428053	2.873845678	1.522982593	2.408290779	1.268009595	1.737497042	0.797010522	NA	NA	NA	NA	2.809176846	1.052689918	0.010345342	0.049562653	2.879915835	1.410021417	1.526076744	meanmale	0.49581939	meanfemale	FC1
TRINITY_DN115650_c0_g1_i2	48.16487561	2	5.589909535	24.29845662	4.602792775	49.11683239	5.618145617	70.81748343	6.146033672	30.82374266	4.945970141	NA	NA	NA	NA	5.192211188	1.053354993	0.001397747	0.009095018	56.03306381	27.56109964	5.808209049	meanmale	4.78456678	meanfemale	FC1
TRINITY_DN125335_c7_g1_i2	27.3133011	2	4.771531784	15.13174881	3.919506828	24.2241977	4.59837698	44.21115898	5.466338649	16.22064527	4.019759307	NA	NA	NA	NA	6.489004566	1.054167192	0.004293955	0.023878605	31.91621926	15.67619704	4.996222378	meanmale	3.97051291	meanfemale	FC1
TRINITY_DN126981_c2_g1_i2	5.142570485	2	2.362489663	2.318619126	1.213265851	4.927506017	2.300857633	7.173437008	2.842664523	3.319686742	1.73104711	NA	NA	NA	NA	3.27164363	1.054809745	0.009144919	0.044757346	5.747837837	2.819152934	2.523044459	meanmale	1.495312918	meanfemale	FC1
TRINITY_DN131584_c0_g2_i3	4.484238285	2	2.164862943	2.753155837	1.461086273	7.439072936	2.895122843	7.569354957	2.920170362	3.634900024	1.861915684	NA	NA	NA	NA	4.546803274	1.055117481	0.002600478	0.015704245	6.497555393	3.194027931	2.699919231	meanmale	1.675422096	meanfemale	FC1
TRINITY_DN122991_c3_g1_i1	18.65009035	2	4.221110714	9.168167661	3.196633427	18.37343119	4.199549166	18.1678735	4.183317661	8.865019358	3.148123781	NA	NA	NA	NA	2.685472059	1.058205544	0.006923078	0.035521189	18.39713168	9.01659351	4.201416788	meanmale	3.172598483	meanfemale	FC1
TRINITY_DN136357_c0_g1_i1	9.162312684	2	3.195711799	3.690814842	1.883939363	6.961141393	2.799323879	9.212522663	3.203596263	4.566543168	2.191102471	plk1	Chr09	15428870	15428870	3.872758609	1.06006979	0.003427111	0.019836521	8.44532558	4.128679005	3.078170125	meanmale	2.0457152	meanfemale	FC1
TRINITY_DN136247_c3_g2_i9	14.71765541	2	3.879475957	5.657158576	2.500077612	15.5586765	3.959647437	9.60224846	3.263372266	7.373011645	2.882254036	NA	NA	NA	NA	5.281406788	1.060361909	0.001912772	0.01202127	13.29286012	6.515085111	3.7325905	meanmale	2.703806169	meanfemale	FC1
TRINITY_DN134777_c1_g3_i3	7.043300111	2	2.816251556	2.935415828	1.553564889	5.969830273	2.577689915	7.577751752	2.921769878	3.774423349	1.916256248	NA	NA	NA	NA	4.635396902	1.061604972	0.000893144	0.006151863	6.863627379	3.354919589	2.778992251	meanmale	1.74632119	meanfemale	FC1
TRINITY_DN130380_c0_g1_i1	3.788840904	2	1.921756561	2.367903835	1.243610492	5.711629882	2.513902495	4.052129864	2.018680411	2.053823819	1.03831243	NA	NA	NA	NA	3.915751231	1.062090466	0.004315353	0.023967066	4.51753355	2.210863827	2.175567251	meanmale	1.144675422	meanfemale	FC1
TRINITY_DN131091_c8_g1_i2	7.844972811	2	2.971768447	2.997161056	1.583596611	7.661906216	2.937703367	6.254889747	2.644984455	4.067917675	2.024290483	cthrc1	Chr06	118388864	118388864	2.771726176	1.062616638	0.007750884	0.039069282	7.253922925	3.532539366	2.858781305	meanmale	1.820746477	meanfemale	FC1
TRINITY_DN135728_c6_g1_i1	12.32776242	2	3.623839059	10.09082402	3.334972085	31.50460588	4.977490857	25.78523645	4.68847337	12.5880892	3.653987402	NA	NA	NA	NA	5.863147928	1.063890096	0.008556567	0.042343121	23.20586825	11.33945661	4.536423989	meanmale	3.503292325	meanfemale	FC1
TRINITY_DN128071_c0_g1_i3	5.305086256	2	2.407376208	3.095346496	1.630100915	8.127232026	3.022764083	5.265009098	2.396436024	2.998025555	1.584012681	NA	NA	NA	NA	2.753432386	1.065011235	0.009625963	0.046735672	6.23244246	3.046686026	2.639820806	meanmale	1.607288184	meanfemale	FC1
TRINITY_DN106183_c0_g1_i1	19.87435787	2	4.312836343	8.427976812	3.075186345	14.17748183	3.825529402	15.48743198	3.953026041	7.651121568	2.935671246	NA	NA	NA	NA	3.212140663	1.066216331	0.006513735	0.033782299	16.51309056	8.03954919	4.045546989	meanmale	3.007132551	meanfemale	FC1
TRINITY_DN134995_c0_g1_i1	5.493249993	2	2.457659949	2.275514858	1.186193006	4.039537784	2.014190225	7.059263812	2.819517737	3.097903184	1.631292058	LOC100492311-like	Chr01	145104510	145104510	3.629109431	1.068791094	0.007053434	0.036115726	5.530683863	2.686709021	2.467483964	meanmale	1.425893778	meanfemale	FC1
TRINITY_DN125283_c5_g3_i3	51.71135919	2	5.69240932	25.57477529	4.676649659	75.68725648	6.241978508	28.43911039	4.829804431	25.00955787	4.644407648	LOC100492997-like	Chr02	146585783	146585783	5.513847391	1.069246312	0.008047609	0.040280038	51.94590869	25.29216658	5.698940998	meanmale	4.660624426	meanfemale	FC1
TRINITY_DN130408_c2_g6_i1	55.19304933	2	5.786414689	16.00261992	4.000236215	59.07264206	5.884418234	51.30632407	5.68106476	37.76098988	5.238824679	LOC100492505	Chr01	82525693	82525693	4.449843994	1.069337341	0.004681196	0.025677087	55.19067182	26.8818049	5.786355156	meanmale	4.748563469	meanfemale	FC1
TRINITY_DN129128_c4_g1_i5	10.91356598	2	3.448050671	4.643222608	2.215126449	10.51033253	3.393736409	11.52569148	3.526781402	6.039846489	2.594511882	NA	NA	NA	NA	5.641579667	1.07061262	0.000682973	0.004861868	10.98319666	5.341534549	3.457239243	meanmale	2.417281276	meanfemale	FC1
TRINITY_DN128540_c3_g8_i1	15.96256097	2	3.996620225	7.236902628	2.85537236	8.682986644	3.118191365	21.7105862	4.440326775	7.760858385	2.95621623	NA	NA	NA	NA	4.362809668	1.07067616	0.007258566	0.037021654	15.4520446	7.498880507	3.949735179	meanmale	2.906694473	meanfemale	FC1
TRINITY_DN128313_c5_g2_i1	351.2397232	2	8.456312204	156.3288858	7.288440568	387.3197229	8.597381157	280.1318158	8.129962036	173.9188311	7.442270339	kdm6a	Chr02	69021431	69021431	8.053422607	1.071280101	0.004199304	0.023441103	339.563754	165.1238585	8.407539084	meanmale	7.367405651	meanfemale	FC1
TRINITY_DN129004_c0_g3_i2	13.00290803	2	3.700762405	8.320689978	3.056703166	17.51673231	4.130661765	11.43661012	3.515587587	5.274035108	2.398907175	NA	NA	NA	NA	3.951751555	1.071614413	0.005745327	0.030481643	13.98541682	6.797362543	3.805861663	meanmale	2.764996296	meanfemale	FC1
TRINITY_DN129671_c1_g5_i2	22.74566373	2	4.507519629	10.63730609	3.411060928	13.29667031	3.732993113	14.94091874	3.901196959	5.833356617	2.544326275	NA	NA	NA	NA	4.411880492	1.072057129	0.005848537	0.030956328	16.99441759	8.235331354	4.086997505	meanmale	3.041844217	meanfemale	FC1
TRINITY_DN136373_c4_g8_i1	89.75970344	2	6.487996004	28.34839725	4.825195266	63.35611256	5.985411911	36.03737159	5.171421886	32.85858375	5.038198394	NA	NA	NA	NA	4.922876837	1.073677231	0.006136085	0.032158036	63.05106253	30.6034905	5.978451066	meanmale	4.935629019	meanfemale	FC1
TRINITY_DN127528_c0_g1_i2	71.70426021	2	6.163986932	30.80425651	4.94505781	85.55113681	6.41871512	63.62588484	5.99154191	40.71848144	5.347611853	cnih4	Chr05	5090669	5090669	7.078710341	1.074281562	0.002629491	0.015844921	73.62709395	35.76136898	6.202166814	meanmale	5.160334094	meanfemale	FC1
TRINITY_DN131972_c3_g4_i3	19.67099949	2	4.297998358	7.844783356	2.971733606	22.28373971	4.477919464	18.74973118	4.228798006	11.7331933	3.552523805	NA	NA	NA	NA	4.133089196	1.076697567	0.001656511	0.010609924	20.23482346	9.788988328	4.338775487	meanmale	3.291174506	meanfemale	FC1
TRINITY_DN130034_c2_g2_i1	41.1370094	2	5.362365011	24.2686791	4.601023682	47.82473662	5.579685118	63.14630621	5.98062644	24.79367507	4.631900227	NA	NA	NA	NA	4.514025021	1.076841787	0.001100357	0.007391328	50.70268408	24.53117709	5.663993062	meanmale	4.616550437	meanfemale	FC1
TRINITY_DN134026_c0_g2_i6	104.7904437	2	6.711363347	61.11360505	5.933421682	184.4708162	7.527248786	83.27035819	6.379731125	59.02114545	5.883160015	NA	NA	NA	NA	7.051351491	1.077837616	0.008472356	0.042016934	124.177206	60.06737525	6.956257728	meanmale	5.908512121	meanfemale	FC1
TRINITY_DN134836_c4_g1_i1	1.964312109	2	0.974024177	0.990558331	-0.013686161	1.916719459	0.938639192	1.914027797	0.936611782	0.876377124	-0.190376269	NA	NA	NA	NA	2.77940375	1.079774896	0.005447386	0.029173985	1.931686455	0.933467728	0.949935624	meanmale	-0.099173406	meanfemale	FC1
TRINITY_DN132814_c0_g1_i5	6.603842516	2	2.723305716	2.225512057	1.154137317	7.850659568	2.972813866	8.672182369	3.116395096	5.232952529	2.387625172	fancl	Chr05	26554559	26554559	5.299591598	1.081688162	0.004513592	0.024910123	7.708894818	3.729232293	2.946542758	meanmale	1.898917351	meanfemale	FC1
TRINITY_DN136339_c3_g3_i1	76.24680532	2	6.252604986	23.27102901	4.540463101	64.11881666	6.002675895	64.12470058	6.002808279	42.43759166	5.40727088	NA	NA	NA	NA	4.557306059	1.082827235	0.001862042	0.011739431	68.16344085	32.85431034	6.090928375	meanmale	5.038015144	meanfemale	FC1
TRINITY_DN133949_c2_g3_i2	19.13502988	2	4.258144249	9.532705376	3.252885708	26.03765181	4.702527441	15.26902527	3.932536063	9.89063497	3.306063144	NA	NA	NA	NA	3.305513847	1.083374713	0.007498812	0.038060208	20.14723565	9.711670173	4.33251716	meanmale	3.279734281	meanfemale	FC1
TRINITY_DN126419_c5_g1_i1	54.28112641	2	5.762378754	34.70102168	5.116906235	47.40162223	5.566864528	58.31117037	5.865700374	16.35704075	4.03183986	NA	NA	NA	NA	6.735201868	1.085183844	0.006690549	0.034521614	53.33130634	25.52903122	5.736913467	meanmale	4.674072537	meanfemale	FC1
TRINITY_DN125398_c5_g2_i1	10.9444243	2	3.452124163	4.021507239	2.007736317	10.35961341	3.372898262	13.97352739	3.804624347	7.237193621	2.855430369	NA	NA	NA	NA	3.03573295	1.087250539	0.008916447	0.043819723	11.75918837	5.62935043	3.555728851	meanmale	2.492994087	meanfemale	FC1
TRINITY_DN129034_c7_g7_i3	5.432572613	2	2.441635553	1.9842928	0.988624924	4.286480421	2.099793554	4.748226326	2.247388703	2.622784864	1.391099474	mrps35	Chr03	1899229	1899229	2.948523266	1.090029311	0.005206676	0.028096001	4.822426453	2.303538832	2.269789152	meanmale	1.203914547	meanfemale	FC1
TRINITY_DN124099_c3_g1_i1	4.436546385	2	2.149437052	1.860567218	0.895742513	3.694411331	1.885344503	5.610166052	2.488043473	2.518424244	1.332521334	NA	NA	NA	NA	3.235080503	1.091243469	0.006552835	0.033942731	4.580374589	2.189495731	2.195497086	meanmale	1.130664527	meanfemale	FC1
TRINITY_DN122177_c1_g1_i1	1.298957461	2	0.377354185	0.600262542	-0.736334452	1.296522517	0.374647262	1.095378363	0.131429288	0.57818165	-0.790405273	NA	NA	NA	NA	2.576130227	1.0912689	0.006326014	0.03295938	1.230286114	0.589222096	0.299111126	meanmale	-0.762871735	meanfemale	FC1
TRINITY_DN131510_c9_g1_i1	175.4459008	2	7.45488243	76.47632519	6.256941296	209.9003045	7.713560449	237.3146357	7.890657267	122.5954076	6.937761127	ythdf1	scaffold_1290	1913	1913	6.644790755	1.093037426	0.002473286	0.015056439	207.5536137	99.5358664	7.697340935	meanmale	6.637146019	meanfemale	FC1
TRINITY_DN135719_c0_g2_i1	3.985777778	2	1.994861277	1.813751607	0.858976893	4.228213014	2.08004806	3.198226151	1.677271957	1.817619201	0.86204998	NA	NA	NA	NA	2.608094329	1.095979369	0.005996841	0.031600933	3.804072314	1.815685404	1.927582596	meanmale	0.86059371	meanfemale	FC1
TRINITY_DN125867_c6_g4_i1	9.841010384	2	3.298806446	6.737549849	2.752224042	14.89977365	3.897218509	9.594654946	3.262230923	4.197515052	2.069535499	LOC100498468-like	Chr01	131443944	131443944	3.855599615	1.096952287	0.006110409	0.032057157	11.44514633	5.467532451	3.516676608	meanmale	2.450916264	meanfemale	FC1
TRINITY_DN134409_c0_g6_i1	77.52093557	2	6.276514077	33.36246001	5.060153766	101.6339553	6.667238668	61.34760147	5.938935034	43.14440298	5.431101509	NA	NA	NA	NA	5.057393151	1.098810021	0.001083462	0.007287653	80.16749745	38.2534315	6.324947333	meanmale	5.257521036	meanfemale	FC1
TRINITY_DN76422_c0_g1_i1	28.94750436	2	4.85536707	9.485586575	3.245736991	16.95946101	4.084018415	13.59211582	3.764698146	9.385999002	3.230510307	arrdc3	Chr01	171087831	171087831	4.465890073	1.100374797	0.003674068	0.021007548	19.83302706	9.435792789	4.309840258	meanmale	3.238159027	meanfemale	FC1
TRINITY_DN119634_c0_g1_i1	1.764067548	2	0.818905804	0.872766746	-0.196331961	1.379479715	0.464124242	1.664232687	0.73485716	0.655610368	-0.609089425	NA	NA	NA	NA	2.194111187	1.100691265	0.009345755	0.045596011	1.602593317	0.764188557	0.680498385	meanmale	-0.387810665	meanfemale	FC1
TRINITY_DN119592_c2_g1_i2	4.171410292	2	2.06053522	2.23609036	1.160978488	3.915570607	1.969222563	5.707736602	2.51291876	2.141057625	1.098323625	NA	NA	NA	NA	2.602027595	1.100983937	0.006899381	0.035428754	4.598239167	2.188573993	2.201112881	meanmale	1.130057078	meanfemale	FC1
TRINITY_DN121093_c3_g5_i3	7.778108235	2	2.95941931	4.707097276	2.234837668	10.58849442	3.404425562	7.829283684	2.968880319	3.60900813	1.851602393	rfc3	Chr02	149888952	149888952	3.211812443	1.103171993	0.005696784	0.030261808	8.731962113	4.158052703	3.126322393	meanmale	2.05594274	meanfemale	FC1
TRINITY_DN129329_c6_g2_i1	47.4702735	2	5.568952457	16.00881288	4.000794425	37.87714865	5.243255825	27.60362111	4.786785631	19.62204188	4.294403272	ninj1	scaffold_192	75309	75309	3.361139198	1.106349869	0.006035201	0.031756108	37.65034775	17.81542738	5.234595117	meanmale	4.155063286	meanfemale	FC1
TRINITY_DN135396_c1_g2_i2	13.22471725	2	3.725164972	4.648648391	2.216811309	19.23715386	4.265823463	14.94757809	3.901839843	10.30949402	3.365901623	NA	NA	NA	NA	3.42707961	1.107956008	0.010376481	0.049683204	15.80314973	7.479071206	3.982149355	meanmale	2.902878409	meanfemale	FC1
TRINITY_DN61744_c0_g2_i1	4.362390231	2	2.12511883	2.716821032	1.441919533	7.760682395	2.956183514	6.392389546	2.676355327	3.133951197	1.647982714	NA	NA	NA	NA	2.603571079	1.108517056	0.008574647	0.042415763	6.171820724	2.925386115	2.625719531	meanmale	1.548676371	meanfemale	FC1
TRINITY_DN101728_c0_g2_i1	55.65944813	2	5.798554699	33.99175761	5.087113056	69.24620671	6.113663138	96.09474703	6.586385664	35.6713797	5.156695112	NA	NA	NA	NA	6.181812278	1.109236347	0.001741089	0.011065918	73.66680062	34.83156866	6.20294464	meanmale	5.122327684	meanfemale	FC1
TRINITY_DN118227_c0_g1_i2	2.839065607	2	1.505416188	1.079195757	0.109956581	2.584074629	1.369647736	2.56223899	1.357405048	1.416878428	0.502715976	NA	NA	NA	NA	1.979879587	1.113197189	0.010119071	0.048750195	2.661793075	1.248037093	1.412452621	meanmale	0.319776405	meanfemale	FC1
