gid	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	A10FO1	base	logA10FO1	A15MT1	logA15MT1	A17FO1	logA17FO1	A17MT1	logA17MT1	A2FO2	logA2FO2	A6FO1	logA6FO1	A6MT1	logA6MT1	A8FO2	logA8FO2	A8MT1	logA8MT1	A12MT1	logA12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	group1	meanXX	group2
TRINITY_DN105624_c0_g1_i1	1.62E-102	1.01E-99	229.47207	2	7.842174758	0.108894372	-3.198998702	244.7770784	7.935324656	0	NA	196.7441353	7.620176821	134.0443744	7.066566863	0	NA	364.6935412	8.510540839	0.158190464	-2.660265461	0.165191839	-2.59778568	myo5a-like	Chr03	91966608	91966608	7.478292133	-11.60949289	7	female	-3.530233444	meanmale	7.870033847	meanfemale
TRINITY_DN124431_c0_g1_i2	2.57E-70	5.56E-68	227.8052927	2	7.831657456	0	NA	124.234468	6.956921685	0	NA	131.0481786	7.033953492	94.45470768	6.561550798	0	NA	141.0994851	7.140568913	0.186164677	-2.425348734	0	NA	NA	NA	NA	NA	4.949157466	-11.54728324	7	female	-4.743407241	meanmale	7.167202618	meanfemale
TRINITY_DN128424_c0_g1_i2	2.40E-38	1.76E-36	13.58169941	2	3.763592103	0	NA	57.65867837	5.849465863	0	NA	36.64531046	5.195556682	56.93246269	5.831179602	0	NA	31.74716352	4.988555794	0	NA	0	NA	NA	NA	NA	NA	3.519024098	-11.50046092	7	female	-13.28771238	meanmale	5.296940533	meanfemale
TRINITY_DN105647_c0_g2_i1	5.46E-130	1.37E-126	741.0942354	2	9.533513193	0.405054745	-1.303811187	855.5537355	9.74071466	0.100818327	-3.310170176	780.238332	9.607771067	612.9025405	9.259513875	0.370223594	-1.433531255	1101.381288	10.10509829	0.457661226	-1.127648026	0.204821538	-2.287560665	vwa5a-like	scaffold_138	345924	345924	8.968091357	-11.35528165	7	female	-1.699860406	meanmale	9.676369899	meanfemale
TRINITY_DN133241_c4_g7_i1	3.93E-41	3.31E-39	28.26442986	2	4.820915691	0	NA	29.47058	4.881203549	0	NA	32.58430724	5.026105418	61.39208739	5.939980819	0	NA	49.04536443	5.61604488	0	NA	0	NA	tmbim1	Chr09	76918149	76918149	3.289025294	-11.26824509	7	female	-13.28771238	meanmale	5.32738032	meanfemale
TRINITY_DN74428_c0_g1_i1	1.27E-128	2.87E-125	306.6096287	2	8.260259194	0.282764391	-1.822327644	272.3726071	8.089437807	0.063342177	-3.980689738	363.3775137	8.505325336	362.9664649	8.503692451	0.180914395	-2.46662089	242.6707756	7.922856568	0.027384721	-5.190485008	0.057193491	-4.128005222	NA	NA	NA	NA	8.807571131	-11.22724964	7	female	-3.030090766	meanmale	8.274259322	meanfemale
TRINITY_DN83270_c0_g1_i1	4.16E-117	5.53E-114	564.8003534	2	9.141597181	0.346565884	-1.528798453	295.2961796	8.206018881	0.036968752	-4.757549848	337.4696695	8.398614034	291.1430819	8.185584528	0.248886206	-2.006441821	360.0373254	8.49200267	0.143844291	-2.797420131	0.050070239	-4.319902848	NA	NA	NA	NA	8.263193867	-11.04923024	7	female	-2.596256081	meanmale	8.530404082	meanfemale
TRINITY_DN135315_c3_g6_i1	2.40E-110	2.01E-107	58.7340337	2	5.876124817	0	NA	88.14494005	6.461805849	0.040095944	-4.640399885	86.9985256	6.442919046	87.30456828	6.447985241	0	NA	76.01907153	6.2482895	0.156012103	-2.680270141	0	NA	NA	NA	NA	NA	5.924725228	-11.00323418	7	female	-4.668533819	meanmale	6.311799671	meanfemale
TRINITY_DN135514_c0_g1_i1	2.74E-25	1.03E-23	51.58238695	2	5.68880663	0	NA	17.35335727	4.117142896	0	NA	23.65451966	4.56404396	5.26883734	2.397484641	0	NA	10.52802626	3.396163088	0	NA	0	NA	NA	NA	NA	NA	3.011247541	-10.98610213	7	female	-13.28771238	meanmale	4.438128176	meanfemale
TRINITY_DN109913_c0_g2_i1	1.24E-38	9.22E-37	17.11089839	2	4.096843604	0	NA	7.883962414	2.978920898	0	NA	12.18709666	3.607282568	10.82704151	3.436567175	0	NA	10.69396858	3.418725438	0	NA	0	NA	NA	NA	NA	NA	3.003155987	-10.97800037	7	female	-13.28771238	meanmale	3.553445724	meanfemale
TRINITY_DN131553_c0_g1_i1	8.36E-113	7.86E-110	115.437281	2	6.850965414	0.17952395	-2.47775177	202.2939982	7.660309707	0.057450343	-4.121540683	250.5242795	7.968806618	300.0537431	8.229077117	0.105484157	-3.244901763	137.7547645	7.105958408	0.049675009	-4.331335961	0.103747166	-3.268856167	NA	NA	NA	NA	8.320487181	-10.95610269	7	female	-3.332409385	meanmale	7.652579086	meanfemale
TRINITY_DN111028_c0_g1_i1	2.78E-135	1.05E-131	514.6744036	2	9.007516224	0.627155331	-0.673105287	410.5611093	8.681453163	0.133799377	-2.901856696	397.7823449	8.635835435	422.3690155	8.722360194	0.28661274	-1.802825356	606.3927302	9.244108647	0	NA	0.181217014	-2.464209682	NA	NA	NA	NA	7.759228293	-10.86220658	7	female	-2.024109294	meanmale	8.877609361	meanfemale
TRINITY_DN122870_c0_g1_i3	7.27E-28	3.15E-26	28.50194608	2	4.832988523	0	NA	30.69201514	4.939791467	0	NA	48.50453923	5.600047861	6.601461045	2.722785359	0	NA	28.55278948	4.835559792	0	NA	0	NA	NA	NA	NA	NA	2.860545065	-10.83237248	7	female	-13.28771238	meanmale	4.836461964	meanfemale
TRINITY_DN97753_c0_g2_i1	8.03E-41	6.66E-39	161.7611416	2	7.337721274	0.147946825	-2.756849359	22.18766853	4.471686173	0.055236057	-4.178245853	43.97863169	5.458730813	40.78506997	5.349969222	0	NA	110.935454	6.793576702	0	NA	0	NA	NA	NA	NA	NA	5.418369546	-10.82588293	7	female	-4.617531452	meanmale	6.246592273	meanfemale
TRINITY_DN94167_c0_g1_i1	1.74E-33	1.01E-31	27.53028882	2	4.78294784	0	NA	23.03263783	4.525607741	0	NA	24.96475037	4.641820576	24.74511299	4.629071725	0	NA	55.34266052	5.790320096	0	NA	0	NA	rps6kb1	Chr02	87418446	87418446	2.820855825	-10.7946443	7	female	-13.28771238	meanmale	4.959918038	meanfemale
TRINITY_DN131553_c0_g2_i1	1.13E-107	8.53E-105	316.4077944	2	8.305641329	0.545923784	-0.873228543	220.6725752	7.785763535	0	NA	298.1432721	8.219861971	250.1049536	7.966389822	0	NA	301.8452852	8.237665456	0.176235894	-2.504420307	0.184035945	-2.441940521	NA	NA	NA	NA	5.975931215	-10.7570334	7	female	-2.463237869	meanmale	8.116005349	meanfemale
TRINITY_DN117125_c0_g1_i1	5.89E-79	1.58E-76	597.0540721	2	9.221717785	0.683037171	-0.549964003	888.2958606	9.794896458	0	NA	820.2014073	9.679834409	565.8461607	9.144266064	0.624301973	-0.67968407	1401.159562	10.45240554	0.808496457	-0.306686643	0.383763556	-1.381710382	NA	NA	NA	NA	8.869540079	-10.74143501	7	female	-0.99994278	meanmale	9.738956119	meanfemale
TRINITY_DN125119_c3_g1_i1	1.39E-31	7.41E-30	5.002277283	2	2.32258503	0	NA	10.99847179	3.459231174	0	NA	13.8836906	3.795319215	9.942363061	3.313588787	0	NA	16.07760203	4.00698034	0	NA	0	NA	NA	NA	NA	NA	2.674043154	-10.64346073	7	female	-13.28771238	meanmale	3.482974862	meanfemale
TRINITY_DN135315_c2_g1_i1	3.26E-49	3.75E-47	35.96800992	2	5.168642433	0	NA	85.50537928	6.41794328	0	NA	67.4252771	6.07521764	84.16958181	6.395227044	0	NA	37.34989502	5.223032283	0	NA	0.154796589	-2.691554413	NA	NA	NA	NA	4.05379263	-10.64190654	7	female	-5.008830048	meanmale	5.9561433	meanfemale
TRINITY_DN123396_c0_g1_i4	9.89E-97	4.75E-94	316.0740224	2	8.304118657	0.218224031	-2.196118114	604.6088743	9.239858344	0	NA	614.5409404	9.263365315	398.3244269	8.637800144	0.423849696	-1.238375343	520.0532664	9.022515588	0.264177723	-1.92041928	0.60691401	-0.720435971	NA	NA	NA	NA	8.532312804	-10.63911193	7	female	-1.723881709	meanmale	8.938757455	meanfemale
TRINITY_DN128424_c0_g2_i1	1.28E-32	7.11E-31	10.70978197	2	3.420857205	0	NA	92.15555962	6.525999299	0	NA	40.27101593	5.331669963	81.04979474	6.340736627	0.06095022	-4.036224762	28.32802539	4.824158137	0	NA	0	NA	gpr84	Chr02	142236454	142236454	3.944641825	-10.58915469	7	female	-6.346366109	meanmale	5.658295343	meanfemale
TRINITY_DN92285_c0_g1_i1	3.66E-111	3.18E-108	239.3181565	2	7.902786045	0.107324466	-3.2199491	401.2347897	8.648302892	0	NA	351.4984716	8.457374606	189.1522698	7.563404278	0.294286513	-1.764706669	256.4823857	8.00271594	0.207879823	-2.266178359	0.217080407	-2.203698576	NA	NA	NA	NA	6.782781559	-10.58707433	7	female	-2.595844642	meanmale	8.167605381	meanfemale
TRINITY_DN128648_c7_g8_i1	5.42E-71	1.21E-68	90.55720354	2	6.500757502	0	NA	351.9933533	8.459404376	0	NA	152.6728234	7.254299467	219.2518936	7.776445493	0.337655052	-1.566377952	196.2270778	7.616380326	0	NA	0.124535602	-3.005369859	NA	NA	NA	NA	6.066326334	-10.539753	7	female	-3.433808232	meanmale	7.659215095	meanfemale
TRINITY_DN119058_c0_g2_i1	2.63E-44	2.55E-42	20.78973795	2	4.377799668	0	NA	62.0690491	5.955802139	0	NA	59.72220088	5.900195427	58.762172	5.876815817	0.064971241	-3.944054928	40.02843317	5.32295324	0	NA	0	NA	dedd	scaffold_1726	5987	5987	3.807900773	-10.43836852	7	female	-6.254922959	meanmale	5.593186979	meanfemale
TRINITY_DN136699_c6_g5_i2	6.87E-37	4.65E-35	8.230309342	2	3.040946656	0	NA	39.10457376	5.289265453	0.046605423	-4.423358353	17.29591382	4.112359335	30.26306982	4.919486434	0	NA	11.90062275	3.572965165	0	NA	0	NA	NA	NA	NA	NA	3.802367028	-10.40126224	7	female	-6.729891125	meanmale	4.416772056	meanfemale
TRINITY_DN135315_c3_g4_i2	2.80E-132	7.90E-129	125.8527489	2	6.975592918	0.215780152	-2.212365927	123.6474338	6.950088488	0	NA	100.9191137	6.657055631	143.800759	7.16792748	0.073959358	-3.757123488	102.323567	6.676994652	0.052243842	-4.258595194	0.10911222	-3.19611541	NA	NA	NA	NA	6.499192753	-10.38808666	7	female	-3.46882485	meanmale	6.898556943	meanfemale
TRINITY_DN119116_c0_g1_i1	2.20E-102	1.34E-99	411.6239779	2	8.685183214	0.844937928	-0.243082735	713.1546779	9.47807121	0.105152735	-3.24944172	487.4843887	8.929212208	348.0171785	8.443014711	0.321783619	-1.63583721	707.4364823	9.46645681	0.4091461	-1.289311995	0.427254559	-1.226832209	NA	NA	NA	NA	8.289143323	-10.35562891	7	female	-1.245522963	meanmale	9.05946193	meanfemale
TRINITY_DN126545_c0_g3_i5	1.71E-71	3.86E-69	737.5670268	2	9.526630351	0.363949189	-1.458191045	366.2758122	8.516786623	0.06794035	-3.879587539	543.5991633	9.086399425	464.1800664	8.858540759	0.207907972	-2.265983017	599.9152572	9.228614913	1.498005102	0.583042537	0.092017973	-3.441940513	LOC100488387-like	scaffold_995	7989	7989	7.942320714	-10.30690607	7	female	-1.164676997	meanmale	9.082967486	meanfemale
TRINITY_DN119288_c0_g1_i2	1.91E-155	1.44E-151	235.9618801	2	7.882409999	0.15647497	-2.675996195	187.9124196	7.553916611	0.097366744	-3.360427092	198.9537024	7.636288937	214.2480674	7.743138381	0.154937788	-2.690239047	170.6104948	7.414562584	0.126283682	-2.985259864	0.263745781	-1.922780079	NA	NA	NA	NA	8.306318689	-10.30285706	7	female	-2.645102919	meanmale	7.654903871	meanfemale
TRINITY_DN91852_c0_g1_i1	3.09E-38	2.24E-36	34.81510698	2	5.121641551	0	NA	74.41898494	6.217598807	0.121081812	-3.045945924	59.34659151	5.891093268	64.44594644	6.010017713	0	NA	17.46149139	4.12610488	0	NA	0	NA	NA	NA	NA	NA	3.660821898	-10.25795449	7	female	-5.361928764	meanmale	5.646673164	meanfemale
TRINITY_DN15800_c0_g2_i1	1.73E-28	7.80E-27	22.17522171	2	4.470876624	0	NA	8.671676947	3.116311012	0	NA	12.60543138	3.655973585	12.35650908	3.62719931	0	NA	6.19075829	2.630116132	0	NA	0	NA	NA	NA	NA	NA	2.292685348	-10.25160301	7	female	-13.28771238	meanmale	3.632270482	meanfemale
TRINITY_DN119011_c0_g1_i1	4.76E-118	6.71E-115	297.0257105	2	8.214444006	0.455498831	-1.134480743	195.386743	7.610188773	0	NA	206.7969809	7.692071313	221.1859619	7.789116014	0.277553288	-1.849163311	197.448951	7.625335893	0.098029855	-3.350635001	0.051184286	-4.288155231	NA	NA	NA	NA	7.501560294	-10.22738256	7	female	-2.5018247	meanmale	7.804576151	meanfemale
TRINITY_DN124411_c0_g2_i4	2.00E-90	7.91E-88	2118.964372	2	11.04914362	2.115662079	1.081109214	1166.683615	10.18819766	0.557565185	-0.842787614	1828.618704	10.83653857	945.0608948	9.884263482	0.96686686	-0.048610854	1793.560684	10.80861084	1.084734608	0.117342115	2.391348527	1.257824411	NA	NA	NA	NA	9.028958445	-10.15803741	7	female	0.509275716	meanmale	10.61707965	meanfemale
TRINITY_DN110679_c0_g1_i1	2.91E-84	9.13E-82	27.7686812	2	4.795386757	0.08992156	-3.475189125	65.45726168	6.032481345	0	NA	49.47253039	5.628555786	59.97448887	5.906277052	0.082189096	-3.604909185	33.28371775	5.056744685	0	NA	0	NA	NA	NA	NA	NA	6.004401158	-10.10451349	7	female	-4.856334659	meanmale	5.560453166	meanfemale
TRINITY_DN111329_c0_g1_i2	8.08E-56	1.18E-53	19.88293429	2	4.313458778	0	NA	31.07850466	4.957845185	0	NA	30.84516948	4.946972668	45.7374886	5.515305246	0.066907214	-3.901694418	15.33138458	3.938416088	0	NA	0	NA	slc8a3-like	Chr08	87098729	87098729	4.577893285	-10.09109124	7	female	-6.212881286	meanmale	4.836691505	meanfemale
TRINITY_DN135526_c5_g1_i1	6.30E-112	5.68E-109	64.88637628	2	6.019843693	0.244079188	-2.034578809	109.0798877	6.76924131	0.030375716	-5.040937774	111.650578	6.80284691	122.4615594	6.936185149	0.05577263	-4.164298886	93.43840075	6.545943677	0.157587983	-2.66577057	0	NA	NA	NA	NA	NA	6.659418931	-10.06488415	7	female	-3.356042567	meanmale	6.648227569	meanfemale
TRINITY_DN128868_c0_g3_i1	1.62E-48	1.80E-46	62.6020117	2	5.968137113	0.076746549	-3.70375431	20.90878062	4.386037023	0	NA	26.1393254	4.708150004	43.53409614	5.444073865	0.07014702	-3.833474373	64.59834471	6.013425292	0	NA	0	NA	dcp2	Chr01	134706641	134706641	4.560403949	-10.04374105	7	female	-5.084182611	meanmale	5.444819825	meanfemale
TRINITY_DN120396_c0_g1_i4	3.66E-100	1.97E-97	109.7988908	2	6.77871967	0.220723902	-2.179685229	151.9471189	7.24742551	0	NA	78.43627546	6.293449126	85.17097955	6.412290037	0.176525636	-2.50205038	111.8093116	6.804896532	0.053440804	-4.225914477	0	NA	trappc3	Chr02	55692549	55692549	6.320263494	-10.01588888	7	female	-3.470120003	meanmale	6.747288235	meanfemale
TRINITY_DN123821_c0_g1_i1	1.24E-124	2.34E-121	115.00476	2	6.845549765	0.116236434	-3.104865746	123.5727084	6.949216342	0.086793918	-3.526262239	95.15547559	6.572214772	93.65223897	6.549241581	0.079680841	-3.649623315	110.8708801	6.792736686	0.168856251	-2.566132506	0.058776562	-4.088615215	NA	NA	NA	NA	6.251149904	-10.01397036	7	female	-3.29097338	meanmale	6.7502221	meanfemale
TRINITY_DN83270_c0_g2_i1	3.27E-98	1.68E-95	69.34448443	2	6.115709232	0.197917988	-2.337025356	59.23617145	5.888406494	0	NA	66.39885515	6.053086462	55.38315779	5.791375409	0	NA	54.99215497	5.781153917	0.095838251	-3.38325461	0.050039985	-4.320774833	NA	NA	NA	NA	5.667149421	-9.99279598	7	female	-3.860205831	meanmale	5.932417093	meanfemale
TRINITY_DN120456_c0_g1_i1	9.39E-72	2.14E-69	468.321053	2	8.871354084	0.7521338	-0.410938764	685.0292572	9.420021796	0.351012143	-1.510407155	1041.448806	10.02437621	354.0195232	8.467685113	0.687456899	-0.54065883	1258.076554	10.297004	0.546311039	-0.87220552	1.521307468	0.605311762	NA	NA	NA	NA	8.402127134	-9.987126866	7	female	-0.373805229	meanmale	9.572471231	meanfemale
TRINITY_DN135315_c3_g5_i3	2.16E-49	2.55E-47	34.66488116	2	5.115402909	0	NA	58.89189575	5.87999721	0	NA	44.04644944	5.460953824	61.44534318	5.941231771	0.119754992	-3.061842299	31.19487427	4.96323709	0	NA	0	NA	NA	NA	NA	NA	3.850285402	-9.80594639	7	female	-5.377759406	meanmale	5.525091304	meanfemale
TRINITY_DN98734_c0_g1_i1	5.84E-08	3.30E-07	0	2	NA	0	NA	3.14165534	1.651524916	0	NA	0.355262993	-1.493040681	7.701245476	2.945091783	0	NA	0	NA	0	NA	0	NA	exosc1	Chr07	24625625	24625625	1.834977593	-9.771932965	7	female	-13.28771238	meanmale	1.163326605	meanfemale
TRINITY_DN133291_c0_g1_i1	8.66E-101	4.77E-98	839.4067605	2	9.713226272	2.389565382	1.256748242	1314.345314	10.36012865	1.098025864	0.134912037	1340.128803	10.38815595	786.4509609	9.619212999	1.554059588	0.636041823	1394.178339	10.4451994	0.623056192	-0.682565812	1.208316812	0.272998769	NA	NA	NA	NA	8.995289142	-9.690493183	7	female	0.459121818	meanmale	10.14835218	meanfemale
TRINITY_DN86592_c0_g2_i1	2.52E-28	1.13E-26	3.177426394	2	1.667858705	0	NA	4.224638334	2.078827839	0	NA	4.181977317	2.064185237	5.348980455	2.419263932	0	NA	5.656114018	2.499811203	0	NA	0	NA	NA	NA	NA	NA	1.738789235	-9.681719563	7	female	-13.28771238	meanmale	2.175661057	meanfemale
TRINITY_DN17174_c0_g1_i1	1.59E-64	3.06E-62	52.01801827	2	5.700939533	0.109112015	-3.19611812	94.24302733	6.558313978	0.040737052	-4.617514609	46.25771266	5.531622025	29.05434508	4.86068203	0.074797005	-3.740875686	35.35650769	5.143903876	0.052835545	-4.242347364	0	NA	NA	NA	NA	NA	5.26866203	-9.663756301	7	female	-4.168866709	meanmale	5.683304072	meanfemale
TRINITY_DN79738_c0_g1_i1	2.22E-24	7.80E-23	21.35480154	2	4.416488585	0	NA	9.233927894	3.206944467	0	NA	11.46121248	3.51868777	7.449095454	2.897065249	0	NA	6.311313987	2.657940399	0	NA	0	NA	Xetrov90028445m	scaffold_384	7659	7659	1.713141024	-9.653542743	7	female	-13.28771238	meanmale	3.480545654	meanfemale
TRINITY_DN135727_c2_g6_i1	2.13E-93	9.42E-91	35.45284911	2	5.147829667	0	NA	57.15286564	5.836753932	0	NA	54.58755394	5.770500146	46.33469723	5.534021039	0.087683774	-3.511546295	53.68031462	5.746321222	0.148652582	-2.749983573	0.038807955	-4.687503778	NA	NA	NA	NA	5.731047366	-9.652545545	7	female	-4.181048364	meanmale	5.627658082	meanfemale
TRINITY_DN136525_c2_g5_i1	1.58E-89	6.03E-87	277.7989678	2	8.117897429	0	NA	228.7268896	7.837482172	0.203821051	-2.294625032	206.7314198	7.691613861	284.6225931	8.152906376	0.249489566	-2.002948614	241.3503844	7.914985314	0.793061524	-0.334495303	0.276053918	-1.856978018	slco4c1	Chr01	137467781	137467781	5.222501874	-9.592660567	7	female	-1.715082197	meanmale	7.953301044	meanfemale
TRINITY_DN123349_c1_g3_i1	3.28E-141	1.48E-137	241.7093224	2	7.917129307	0.402850735	-1.311682707	188.0930084	7.555302413	0.164077769	-2.607548314	209.4207278	7.710260432	261.4625184	8.030460336	0.384945887	-1.377272439	221.4245839	7.790671598	0.31921081	-1.647418586	0.148150582	-2.754863801	socs1	Chr09	31468729	31468729	7.974605681	-9.577606797	7	female	-1.81630563	meanmale	7.810071149	meanfemale
TRINITY_DN119908_c2_g1_i5	4.11E-88	1.47E-85	1339.339134	2	10.3873056	2.537392233	1.34334655	646.8783018	9.337350511	0	NA	697.2824219	9.445599302	875.9285097	9.774669317	1.265017519	0.339157365	976.4919952	9.931464407	0.446795225	-1.162314327	1.866280007	0.900165457	Xetrov90029208m	scaffold_50	792029	792029	7.339311118	-9.559403443	7	female	0.29065677	meanmale	9.82525166	meanfemale
TRINITY_DN121733_c0_g1_i3	1.19E-107	8.69E-105	123.1161071	2	6.94387571	0.159938608	-2.644409858	81.74053906	6.352979853	0.079617598	-3.650768843	87.05236705	6.443811622	91.99567312	6.523494103	0.146185293	-2.774129919	118.3472228	6.886882041	0.258158048	-1.953673521	0	NA	ephb1	Chr05	126944240	126944240	6.28155421	-9.543456858	7	female	-2.95590071	meanmale	6.650340674	meanfemale
TRINITY_DN27351_c0_g1_i1	1.92E-09	1.37E-08	0.549357237	2	-0.864183482	0	NA	27.36902952	4.774472374	0	NA	2.716319899	1.441653395	49.17673421	5.619904025	0.042430198	-4.558764779	0	NA	0	NA	0	NA	NA	NA	NA	NA	2.789096279	-9.496295229	7	female	-6.863791458	meanmale	3.996604608	meanfemale
TRINITY_DN129237_c5_g4_i2	5.74E-84	1.75E-81	185.0238397	2	7.531567359	0.36021364	-1.473075283	179.7618956	7.489943433	0.179314708	-2.479434267	101.0122914	6.658387044	146.1106952	7.190917976	0	NA	192.4033766	7.587990308	0.116284681	-3.104267042	0.60715671	-0.719859164	bves	Chr05	77742775	77742775	5.786569875	-9.48102897	7	female	-1.984536984	meanmale	7.329684413	meanfemale
TRINITY_DN120463_c0_g1_i1	3.30E-110	2.66E-107	242.4097534	2	7.921303937	0.169424622	-2.561284542	152.0639459	7.248534323	0.042169873	-4.567643513	138.1361598	7.109947212	194.4958461	7.603595533	0.438757513	-1.188504265	183.6141279	7.520533259	0.328163389	-1.607513799	0.228458415	-2.129996511	NA	NA	NA	NA	7.049539406	-9.441672907	7	female	-2.049936195	meanmale	7.50893619	meanfemale
TRINITY_DN136353_c2_g4_i1	3.95E-64	7.48E-62	40.01803476	2	5.322578415	0	NA	87.05537239	6.443861428	0	NA	72.46515343	6.179215503	51.87956717	5.697094538	0.054913331	-4.186699763	29.55831692	4.885492218	0.174554994	-2.518246462	0.18228065	-2.455766675	NA	NA	NA	NA	5.257573198	-9.425928688	7	female	-3.600340283	meanmale	5.812379851	meanfemale
TRINITY_DN123147_c0_g1_i1	6.55E-31	3.35E-29	126.4548652	2	6.982478734	0.679385239	-0.557698222	77.69551933	6.279759496	0.033819865	-4.885985289	55.25447772	5.788019477	79.59566933	6.314618033	0	NA	111.4158904	6.799811198	0	NA	0	NA	cgref1	scaffold_864	84831	84831	6.358873907	-9.404056896	7	female	-2.8085281	meanmale	6.493189125	meanfemale
TRINITY_DN151548_c0_g1_i1	6.23E-123	1.00E-119	340.7312246	2	8.412490352	0.785646773	-0.348047273	272.6284288	8.090792199	0.135379296	-2.884920975	277.0267301	8.113881377	259.6629007	8.020496094	0.303806483	-1.718775439	260.6100545	8.025748935	0.234114103	-2.09471625	0.733427383	-0.447273964	NA	NA	NA	NA	7.583715899	-9.392709597	7	female	-1.189105151	meanmale	8.140226333	meanfemale
TRINITY_DN127129_c2_g3_i1	7.01E-147	3.95E-143	257.2689455	2	8.007133512	0.507654448	-0.978081283	257.6481173	8.00925824	0.204112641	-2.292562561	274.0674173	8.098387012	230.0893787	7.846050578	0.392615913	-1.348809447	211.9128942	7.727327563	0.26473203	-1.917395337	0.473912305	-1.077307974	mmrn1	Chr01	68973451	68973451	8.015767678	-9.38226151	7	female	-1.439459285	meanmale	7.943672012	meanfemale
