gid	A12FL1	base	logA12FL1	A12ML1	logA12ML1	A15ML1	logA15ML1	A17FL1	logA17FL1	A17ML1	logA17ML1	A2FL1	logA2FL1	A7FL1	logA7FL1	A8FL1	logA8FL1	A8ML1	logA8ML1	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	gid.1	PV.XYliver.XXliver	FDR.XYliver.XXliver	meanXY	log2meanXY	group1	meanXX	log2meanXX	group2	cutoff
TRINITY_DN123727_c4_g1_i1	0	2	NA	0	NA	0	NA	2.753110999	1.461062777	0	NA	6.597507447	2.721921074	1.323339679	0.404183425	0.48771841	-1.035879664	0	NA	LOC100486088	Chr10	14761731	14761731	-0.008051544	-7.641376285	TRINITY_DN123727_c4_g1_i1	9.37E-07	0.000305665	0	-13.28771238	meanmale	2.232335307	1.158618369	meanfemale	FC7
TRINITY_DN120303_c3_g1_i1	218.8079452	2	7.773521315	2.772951945	1.471422615	0.433654344	-1.205382534	143.1180365	7.161061689	0.30925646	-1.693124363	1181.796132	10.20676547	429.8261793	8.747609545	490.5053909	8.938125182	12.7509305	3.672530627	NA	NA	NA	NA	8.436001194	-6.950167507	TRINITY_DN120303_c3_g1_i1	3.27E-11	2.57E-08	4.066698312	2.023893444	meanmale	492.8107368	8.944890171	meanfemale	FC5
TRINITY_DN134368_c1_g3_i1	12.15270817	2	3.603205942	0.285181057	-1.81004994	0	NA	6.834682106	2.772874237	0	NA	30.17617061	4.915337833	8.613379159	3.10657934	9.455582767	3.241166377	0.103974733	-3.265695115	NA	NA	NA	NA	2.522651658	-6.82527896	TRINITY_DN134368_c1_g3_i1	9.45E-19	1.99E-15	0.097288948	-3.360098137	meanmale	13.44650456	3.749170015	meanfemale	FC5
TRINITY_DN107602_c0_g3_i1	1207.265565	2	10.23752735	36.77395929	5.200612608	2.068533791	1.048608525	1211.599218	10.24269684	31.77257237	4.989709993	7522.155209	12.87693036	900.8676047	9.815171287	2141.314693	11.06428112	24.00629905	4.585341101	NA	NA	NA	NA	9.481809449	-6.808322231	TRINITY_DN107602_c0_g3_i1	9.14E-14	9.61E-11	23.65534113	4.564100159	meanmale	2596.640458	11.34243061	meanfemale	FC5
TRINITY_DN37225_c0_g2_i1	408.2828276	2	8.673425079	12.19922164	3.608717196	7.284337925	2.864797851	927.7739864	9.857629585	14.48958795	3.856944663	2356.415483	11.20237822	1139.306615	10.15394035	1466.577689	10.51823778	14.01246822	3.808639196	NA	NA	NA	NA	10.35028565	-6.729212648	TRINITY_DN37225_c0_g2_i1	2.77E-25	8.80E-22	11.99640393	3.584542126	meanmale	1259.67132	10.29883175	meanfemale	FC5
TRINITY_DN127561_c4_g3_i1	47.63187674	2	5.573855488	0.611539376	-0.7094827	0.502094064	-0.993970426	74.93866506	6.227638373	2.297574723	1.200111782	161.3327634	7.33389564	61.02054265	5.931223105	93.09860627	6.540687665	0.209027219	-2.258237276	NA	NA	NA	NA	6.50849703	-6.644871705	TRINITY_DN127561_c4_g3_i1	7.53E-22	2.04E-18	0.905058846	-0.143757103	meanmale	87.60449082	6.45293457	meanfemale	FC5
TRINITY_DN120299_c0_g3_i2	0.200206675	2	-2.32043802	0.051288053	-4.285233385	0	NA	4.448444236	2.153300867	0	NA	1.101721395	0.139759439	1.390184802	0.475276678	1.824957076	0.867862531	0	NA	NA	NA	NA	NA	0.598334029	-6.440301863	TRINITY_DN120299_c0_g3_i2	3.57E-09	2.11E-06	0.012822013	-6.27402533	meanmale	1.793102837	0.842538687	meanfemale	FC5
TRINITY_DN119520_c3_g2_i4	26.42692613	2	4.723936721	1.573439853	0.653922031	0	NA	1.228621886	0.297040988	0.150850866	-2.728805116	130.4528423	7.027384568	3.815942254	1.932039339	10.24641035	3.35704667	0.181156923	-2.464688155	NA	NA	NA	NA	4.079010642	-6.163660503	TRINITY_DN119520_c3_g2_i4	9.73E-07	0.000311995	0.476361911	-1.069567209	meanmale	34.43414858	5.10577229	meanfemale	FC5
TRINITY_DN133632_c2_g4_i3	5.036704135	2	2.332479987	1.207922065	0.272527375	0.721268354	-0.471391969	85.8450288	6.423662687	0	NA	54.51583013	5.768603311	40.3100052	5.333066064	31.43643286	4.974365617	0.480434974	-1.057586917	NA	NA	NA	NA	3.976000322	-6.072439773	TRINITY_DN133632_c2_g4_i3	1.11E-15	1.40E-12	0.602406348	-0.730951653	meanmale	43.42880023	5.440583514	meanfemale	FC5
TRINITY_DN118022_c0_g1_i1	6.057588806	2	2.59874365	0.136924065	-2.868552066	0.049964084	-4.322964784	5.00043874	2.322054683	0	NA	4.684249824	2.227818021	3.569999746	1.835923972	3.10042752	1.632467163	0.049921419	-4.324197247	ptpn13	Chr01	88284804	88284804	2.007877815	-5.976611763	TRINITY_DN118022_c0_g1_i1	1.20E-20	2.84E-17	0.059202392	-4.075765892	meanmale	4.482540927	2.16434894	meanfemale	FC5
TRINITY_DN6127_c0_g1_i1	96.94633326	2	6.599114428	3.736777848	1.901794798	2.056522262	1.040206689	280.0869504	8.129730958	5.542219475	2.470463843	171.2620004	7.420061272	400.7358738	8.646507855	247.069769	7.948774686	4.891236921	2.290199347	serpine1	scaffold_48	919493	919493	8.845756423	-5.874486058	TRINITY_DN6127_c0_g1_i1	2.79E-25	8.80E-22	4.056689127	2.020338313	meanmale	239.2201854	7.902195922	meanfemale	FC5
TRINITY_DN126472_c1_g2_i1	1.211630523	2	0.276949828	0	NA	0	NA	1.281977812	0.358371293	0	NA	3.527781121	1.818761053	0.434971143	-1.201008403	0.478114953	-1.064570568	0.064666142	-3.950845648	NA	NA	NA	NA	0.07052478	-5.857903654	TRINITY_DN126472_c1_g2_i1	5.55E-08	2.63E-05	0.016166536	-5.941949176	meanmale	1.38689511	0.471962702	meanfemale	FC5
TRINITY_DN128394_c4_g1_i3	31.19042464	2	4.963031289	0.224549615	-2.154893846	0	NA	4.69820647	2.232110116	0.136345975	-2.874655983	1.786504542	0.837139582	18.86819411	4.237884443	0.60530579	-0.724263944	0.491213964	-1.025576521	NA	NA	NA	NA	2.619822108	-5.651746529	TRINITY_DN128394_c4_g1_i3	6.47E-08	2.99E-05	0.213027389	-2.230212093	meanmale	11.42972711	3.514731676	meanfemale	FC5
TRINITY_DN96380_c0_g1_i1	29.76105719	2	4.895353871	0.199032613	-2.328923248	0.290510865	-1.783335974	37.45363604	5.227033879	2.014201899	1.010208303	63.20774876	5.982029527	25.31304857	4.661809363	16.38177579	4.034019849	0.532148461	-0.910099304	slc15a1	Chr02	117931085	117931085	5.95912202	-5.531752963	TRINITY_DN96380_c0_g1_i1	8.52E-16	1.15E-12	0.75897346	-0.397688585	meanmale	34.42345327	5.105324118	meanfemale	FC5
TRINITY_DN128592_c11_g1_i1	19.85084613	2	4.311128598	1.428927602	0.514932823	0.897150529	-0.156578026	48.82670708	5.609598579	1.186627115	0.246866655	35.40944167	5.146062191	74.50156301	6.219198788	65.96910809	6.043718695	1.241147701	0.311674812	NA	NA	NA	NA	6.529083962	-5.358864259	TRINITY_DN128592_c11_g1_i1	2.68E-27	1.27E-23	1.188463237	0.249218663	meanmale	48.9115332	5.612105733	meanfemale	FC5
TRINITY_DN122454_c0_g2_i2	14.25462083	2	3.833357759	0.066093849	-3.919340176	0.036176825	-4.788790392	0.452575086	-1.143770928	0.060198034	-4.054139819	0.985948261	-0.020416154	0.30711468	-1.70315062	0.293973038	-1.766244252	0.144583733	-2.79002285	LOC100497319-like	Chr04	5017215	5017215	2.012446227	-5.323386596	TRINITY_DN122454_c0_g2_i2	5.75E-06	0.001413785	0.07676311	-3.701564834	meanmale	3.258846379	1.704405615	meanfemale	FC5
TRINITY_DN128124_c11_g2_i3	7.703727271	2	2.945556629	0.95020682	-0.073686533	0.480093072	-1.058613978	14.01400998	3.808797924	0.998590237	-0.002035293	36.54869574	5.191748019	56.7334428	5.82612751	20.92482438	4.387143609	0.439709527	-1.185377304	NA	NA	NA	NA	4.892766592	-5.247376085	TRINITY_DN128124_c11_g2_i3	1.09E-17	1.90E-14	0.717149914	-0.479452205	meanmale	27.18494003	4.764741048	meanfemale	FC5
TRINITY_DN130085_c0_g1_i1	34.3899921	2	5.103916879	0.209758921	-2.253195925	0.688876062	-0.537683649	54.34062739	5.763959317	4.585143677	2.196966942	25.28278344	4.660083397	144.576841	7.175692663	13.40081776	3.744249136	1.37657566	0.461083906	olig2	Chr02	10825409	10825409	3.380807216	-5.037035886	TRINITY_DN130085_c0_g1_i1	1.99E-10	1.35E-07	1.71508858	0.778367205	meanmale	54.39821234	5.765489989	meanfemale	FC5
TRINITY_DN128148_c0_g18_i1	1.709264488	2	0.773375654	0	NA	0.71901439	-0.475907451	6.49633822	2.699626746	0	NA	13.32509075	3.736073453	6.019127821	2.589554454	5.134506364	2.360225581	0	NA	NA	NA	NA	NA	0.424131618	-4.925423007	TRINITY_DN128148_c0_g18_i1	2.83E-08	1.37E-05	0.179753598	-2.475105078	meanmale	6.536865529	2.708621089	meanfemale	FC3
TRINITY_DN134935_c0_g2_i1	0.204720361	2	-2.288273498	0.01850977	-5.755569221	0	NA	0.352069273	-1.506068774	0	NA	0.25770977	-1.956180863	0.133790749	-2.901949731	0.139708095	-2.839512479	0.006748514	-7.211214424	ppard	Chr02	77328531	77328531	0.629215375	-4.798901095	TRINITY_DN134935_c0_g2_i1	1.33E-10	9.35E-08	0.006314571	-7.284431502	meanmale	0.21759965	-2.199589009	meanfemale	FC3
TRINITY_DN121385_c0_g3_i3	0.086874942	2	-3.52491608	0.35608376	-1.489711455	0.097452183	-3.359161687	6.908431222	2.788358138	0	NA	6.799159344	2.765356381	6.480496979	2.696104455	0.2879625	-1.796047146	0.097368969	-3.360394124	NA	NA	NA	NA	1.00265286	-4.707147127	TRINITY_DN121385_c0_g3_i3	1.68E-05	0.003458866	0.137726228	-2.859077639	meanmale	4.112584997	2.040080576	meanfemale	FC3
TRINITY_DN19764_c0_g1_i1	99.0930791	2	6.630712395	29.50715332	4.882992839	1.577122196	0.657294445	90.18526595	6.494819847	0.194394261	-2.362942467	319.0873993	8.317807828	295.3965282	8.20650906	113.3563944	6.824721965	1.750861655	0.808065093	phpt1	scaffold_389	14246	14246	7.120145974	-4.49055851	TRINITY_DN19764_c0_g1_i1	4.84E-06	0.001238999	8.257382858	3.04570207	meanmale	183.4237334	7.519037299	meanfemale	FC3
TRINITY_DN105647_c0_g2_i1	1.352756726	2	0.435902415	0.057757197	-4.113855461	0	NA	1.054640487	0.076751287	0	NA	1.792101176	0.841652089	0.380201054	-1.395165563	1.634774747	0.709091863	0.126346873	-2.984538136	cpeb3	Chr07	17464515	17464515	0.007652218	-4.456667859	TRINITY_DN105647_c0_g2_i1	1.10E-07	4.96E-05	0.046026018	-4.438275454	meanmale	1.242894838	0.313820305	meanfemale	FC3
TRINITY_DN121200_c0_g1_i1	0.217677677	2	-2.199734629	0	NA	0	NA	0.161992626	-2.625999953	0	NA	0.701778282	-0.510912794	0.651711277	-0.617695136	0.311570425	-1.682369799	0.06653781	-3.909681807	NA	NA	NA	NA	-0.030210246	-4.37269188	TRINITY_DN121200_c0_g1_i1	6.30E-07	0.000216872	0.016634453	-5.901034839	meanmale	0.408946057	-1.289664799	meanfemale	FC3
TRINITY_DN132254_c0_g1_i1	0.123205033	2	-3.020866903	0.008416564	-6.892552901	0.027641111	-5.177040586	0.701190537	-0.512121569	0.030663102	-5.027352537	0.130575368	-2.937045325	0.052145052	-4.261325827	1.3748964	0.459322914	0.027617508	-5.178273042	NA	NA	NA	NA	1.301841563	-4.325688162	TRINITY_DN132254_c0_g1_i1	4.99E-06	0.001259701	0.023584571	-5.399908634	meanmale	0.476402478	-1.069444378	meanfemale	FC3
TRINITY_DN107602_c0_g2_i1	739.9664567	2	9.531316063	229.5675942	7.842775195	34.80984796	5.121423608	918.8916439	9.843750938	174.0056386	7.442990247	6683.736715	12.70643919	1414.033616	10.4656007	2746.591774	11.42342678	73.51896085	6.20004447	NA	NA	NA	NA	9.641235587	-4.315514111	TRINITY_DN107602_c0_g2_i1	9.51E-09	5.29E-06	127.9755104	6.999725077	meanmale	2500.644041	11.28808405	meanfemale	FC3
TRINITY_DN96380_c0_g3_i1	20.58434851	2	4.363475883	0.749822259	-0.415379441	0.428263573	-1.223429124	6.399371006	2.67793011	0.534471145	-0.903816033	24.08264652	4.589922038	12.16930607	3.605174999	12.25934351	3.615809819	1.390668105	0.475778149	LOC100493856	scaffold_590	7981	7981	4.250919537	-4.277478803	TRINITY_DN96380_c0_g3_i1	3.66E-17	5.78E-14	0.775806271	-0.36604571	meanmale	15.09900312	3.916390952	meanfemale	FC3
TRINITY_DN124875_c1_g1_i1	1.333011299	2	0.414689009	0	NA	0.096471532	-3.373752913	0.905150173	-0.143770926	0	NA	0.683590795	-0.548795125	1.313768354	0.393710919	0.819561198	-0.287076413	0.096389155	-3.374985356	NA	NA	NA	NA	0.125521406	-4.172411036	TRINITY_DN124875_c1_g1_i1	5.89E-09	3.38E-06	0.048215172	-4.3713799	meanmale	1.011016364	0.015949039	meanfemale	FC3
TRINITY_DN136095_c7_g1_i1	23.82142364	2	4.57418773	1.109539272	0.149960732	0.173517802	-2.526844412	4.160550757	2.056774519	0.866197957	-0.207231325	2.269911653	1.182636148	20.86804878	4.383223806	0	NA	0.173369634	-2.528076865	c16orf52	Chr09	18941179	18941179	1.479374036	-4.095957823	TRINITY_DN136095_c7_g1_i1	0.000165663	0.019969228	0.580656166	-0.783995528	meanmale	10.22398697	3.353900108	meanfemale	FC3
TRINITY_DN9176_c0_g1_i1	3.188265367	2	1.672771713	0.272251864	-1.876986168	0.099345684	-3.331398898	0	NA	0	NA	7.581073678	2.922402186	4.497983572	2.169278392	0.146778813	-2.76828436	0.297782559	-1.747668837	NA	NA	NA	NA	0.627865543	-4.063791282	TRINITY_DN9176_c0_g1_i1	0.000314356	0.031978801	0.167345027	-2.578240567	meanmale	3.082820286	1.624297587	meanfemale	FC3
TRINITY_DN127692_c0_g3_i1	1.716990948	2	0.779882433	0.140752345	-2.828769136	0	NA	0.160632711	-2.638162384	0.128196718	-2.963568767	0.75587716	-0.403776298	0.872034987	-0.197542076	2.020401887	1.014642294	0	NA	NA	NA	NA	NA	0.539328119	-4.044261481	TRINITY_DN127692_c0_g3_i1	2.74E-06	0.000775042	0.067237266	-3.892451048	meanmale	1.105187539	0.144421733	meanfemale	FC3
TRINITY_DN124267_c8_g1_i2	1.940967481	2	0.956775947	1.342516646	0.424939976	1.524099582	0.607957169	28.31618952	4.823555231	0.181149514	-2.46474716	27.41453982	4.776869352	10.82057945	3.435705854	0.361894675	-1.466358215	0.271928241	-1.878702105	NA	NA	NA	NA	3.520275718	-4.038651836	TRINITY_DN124267_c8_g1_i2	1.94E-05	0.003814615	0.829923496	-0.268775919	meanmale	13.77083419	3.783554527	meanfemale	FC3
TRINITY_DN136702_c5_g1_i1	16.13994009	2	4.012563318	4.364361034	2.125770451	2.011668676	1.008392711	24.90399519	4.638305298	3.347405439	1.743043301	99.2335913	6.632756661	3.824668613	1.935334751	49.41200471	5.626789684	0.753731591	-0.407877234	NA	NA	NA	NA	2.841948452	-3.906641123	TRINITY_DN136702_c5_g1_i1	5.77E-07	0.000202276	2.619291685	1.389231806	meanmale	38.70283998	5.274371256	meanfemale	FC3
TRINITY_DN131692_c0_g2_i1	4.85363975	2	2.279067032	2.020946532	1.015031153	0.031380879	-4.993970426	22.18062351	4.471228016	2.402009938	1.26424212	27.70982577	4.792325735	19.49164557	4.284783989	12.58778466	3.653952499	0.188124497	-2.41024037	sox6	scaffold_66	137652	137652	5.644760251	-3.904450861	TRINITY_DN131692_c0_g2_i1	3.57E-06	0.000965622	1.160615462	0.215014352	meanmale	17.36470385	4.118094209	meanfemale	FC3
TRINITY_DN130203_c1_g4_i1	1.016440623	2	0.02352594	0.643309609	-0.636414857	0.100605424	-3.313220007	0.244724322	-2.030770604	0.948638894	-0.076069075	31.07439907	4.957654587	0.889652277	-0.16868653	1.238666855	0.30878822	0.268052045	-1.899414953	NA	NA	NA	NA	3.26739364	-3.857197532	TRINITY_DN130203_c1_g4_i1	0.000562331	0.045674318	0.490151493	-1.028406071	meanmale	6.892776629	2.785106194	meanfemale	FC3
TRINITY_DN121545_c0_g4_i1	7.358555589	2	2.879422607	0.393408403	-1.345900322	0.215334211	-2.21535055	7.744815587	2.953230887	0.059719154	-4.065662462	0.039124199	-4.675794974	0.342755504	-1.544748262	0.29163446	-1.777766894	0.179291948	-2.479617397	NA	NA	NA	NA	2.013905818	-3.836021641	TRINITY_DN121545_c0_g4_i1	0.000398218	0.037238155	0.211938429	-2.237602338	meanmale	3.155377068	1.657858139	meanfemale	FC3
TRINITY_DN126527_c2_g2_i1	6.36005391	2	2.669038994	0.877310122	-0.188841181	0.411600366	-1.28068383	2.431545336	1.281873491	0.228300237	-2.130995738	6.880119817	2.78243369	2.377986954	1.2497408	15.30438267	3.935872947	0.274165934	-1.866878772	NA	NA	NA	NA	1.241700566	-3.822266183	TRINITY_DN126527_c2_g2_i1	1.85E-07	7.97E-05	0.447844165	-1.15860918	meanmale	6.670817737	2.737885251	meanfemale	FC3
TRINITY_DN102016_c0_g3_i1	1.347552916	2	0.430341926	0	NA	0.318235968	-1.651831192	1.161171211	0.215580709	0	NA	0.607115029	-0.719958208	0.506548072	-0.981228906	2.203966103	1.140102035	0	NA	NA	NA	NA	NA	0.561934565	-3.739188666	TRINITY_DN102016_c0_g3_i1	9.57E-06	0.00210659	0.079558992	-3.650018966	meanmale	1.165270666	0.220788902	meanfemale	FC3
TRINITY_DN122533_c0_g1_i1	5.148387013	2	2.364120507	1.223930671	0.29152184	0.739227646	-0.435909383	18.35110185	4.197794784	3.997729688	1.999180926	9.11633896	3.188454567	10.42648172	3.382180516	73.07339011	6.191274235	1.107894628	0.147820673	NA	NA	NA	NA	4.532036572	-3.733733711	TRINITY_DN122533_c0_g1_i1	5.66E-07	0.000202276	1.767195658	0.821543415	meanmale	23.22313993	4.537497355	meanfemale	FC3
TRINITY_DN136702_c5_g3_i1	1.979148355	2	0.984879759	0.368734104	-1.439347238	0.605485802	-0.723834964	0.420815431	-1.248740487	1.007524992	0.010815626	8.140819118	3.025173964	49.54514109	5.630671674	2.981927471	1.576245168	1.814906331	0.859895091	NA	NA	NA	NA	1.600949278	-3.692267988	TRINITY_DN136702_c5_g3_i1	0.000311143	0.031829127	0.949162807	-0.075120536	meanmale	12.61357029	3.656916223	meanfemale	FC3
TRINITY_DN120478_c0_g1_i1	18.97632412	2	4.246128652	0.57191412	-0.80612957	0.521733798	-0.9386142	2.175644406	1.121442777	0.520897275	-0.940929205	0.682517654	-0.551061732	1.107284221	0.147025585	13.72092341	3.778305672	0.729803604	-0.454419819	NA	NA	NA	NA	1.745604841	-3.621765462	TRINITY_DN120478_c0_g1_i1	3.72E-05	0.006395995	0.586087199	-0.770566631	meanmale	7.332538762	2.874332468	meanfemale	FC3
TRINITY_DN129651_c0_g4_i5	1.126987575	2	0.17247161	0.042771355	-4.547211277	0.093644528	-3.416661495	0.439312813	-1.186679517	0.155823971	-2.682010909	1.225031686	0.292819066	0.43061053	-1.215544496	4.84244632	2.275736056	0.233911412	-2.095965846	NA	NA	NA	NA	0.801230015	-3.615302271	TRINITY_DN129651_c0_g4_i5	2.09E-05	0.004087036	0.131537817	-2.925354093	meanmale	1.612877785	0.689726569	meanfemale	FC3
TRINITY_DN153705_c0_g1_i1	1.171458528	2	0.228305881	0.654761493	-0.610958617	0.119462412	-3.065371339	3.860752165	1.948881946	0	NA	2.213929928	1.146609561	2.155064851	1.107731284	3.088756648	1.627026211	0	NA	ccdc174	Chr04	122095444	122095444	0.136475773	-3.464816925	TRINITY_DN153705_c0_g1_i1	2.58E-06	0.000738699	0.193555976	-2.368432071	meanmale	2.497992424	1.320826855	meanfemale	FC3
TRINITY_DN118888_c0_g1_i2	1.863240623	2	0.897813999	0.371246297	-1.429551459	0.116116379	-3.106356606	1.936834082	0.953700371	0.096608503	-3.371706016	0.759501098	-0.396876044	0.759843411	-0.396225957	4.07447319	2.026613538	0.058008613	-4.107589065	NA	NA	NA	NA	0.710364781	-3.457718499	TRINITY_DN118888_c0_g1_i2	3.12E-06	0.000854424	0.160494948	-2.638501586	meanmale	1.878778481	0.909871761	meanfemale	FC3
TRINITY_DN133894_c0_g1_i1	0.081084653	2	-3.62442731	0.016617524	-5.911150752	0	NA	0.139074044	-2.846074906	0	NA	0.039662435	-4.656082938	0.113678729	-3.136965765	0.188138688	-2.410131546	0.024234465	-5.366795956	NA	NA	NA	NA	0.013614788	-3.281658857	TRINITY_DN133894_c0_g1_i1	9.77E-06	0.002125525	0.010212997	-6.599392508	meanmale	0.11232771	-3.152930438	meanfemale	FC3
TRINITY_DN129827_c5_g2_i1	4.062300295	2	2.022296891	1.305237035	0.384311828	1.428857062	0.514861601	11.3933765	3.510123457	0.578337609	-0.790016172	13.72424093	3.778654453	8.960862036	3.163637526	15.11984372	3.918371323	1.157543481	0.211066387	NA	NA	NA	NA	3.697603014	-3.243653146	TRINITY_DN129827_c5_g2_i1	2.46E-12	2.22E-09	1.117493797	0.160395918	meanmale	10.6521247	3.413082861	meanfemale	FC3
TRINITY_DN182627_c0_g1_i1	4.742467945	2	2.245638022	0.269978727	-1.88908236	0	NA	2.927059165	1.549451907	0.983582523	-0.023881995	1.127666451	0.1733404	1.986284412	0.990072214	1.855804572	0.892044794	0	NA	pdf	Chr04	62250610	62250610	-0.089336504	-3.186921597	TRINITY_DN182627_c0_g1_i1	5.02E-05	0.007987784	0.313390313	-1.673507233	meanmale	2.527856509	1.337971644	meanfemale	FC3
TRINITY_DN134475_c3_g2_i1	1.884903195	2	0.914490431	0	NA	0	NA	2.304465457	1.204432142	1.119472214	0.16281872	2.724083617	1.445770988	1.597791705	0.676079345	1.703958555	0.768890246	0	NA	NA	NA	NA	NA	0.188235023	-3.134720782	TRINITY_DN134475_c3_g2_i1	0.000137998	0.017079503	0.279868054	-1.836665881	meanmale	2.043040506	1.030788421	meanfemale	FC3
