gid	A10FB	A10MB	A12FB	A15FB	A15MB	A16FB	A16MB	A17FB	A17MB	A8MB	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain	meanXY	male	meanXX	female	bias	cutoff
TRINITY_DN130569_c1_g1_i1	0.726939178	9.223910524	0.714664024	1.474696388	11.12754968	0.177639928	15.1073937	2.918614284	10.26089299	5.868646648	NA	NA	NA	NA	1.107358277	3.075211761	1.60E-09	3.87E-06	3.367060504	meanmale	0.266169772	meanfemale	male	FC3
TRINITY_DN130300_c0_g1_i3	0.648870434	0.471473252	0.388295208	0.686777308	11.78630963	0.641144042	0.268307847	0.776697621	0.477857579	13.79189774	NA	NA	NA	NA	3.192427691	3.075426879	0.000150509	0.027949349	2.422036288	meanmale	-0.670114236	meanfemale	male	FC3
TRINITY_DN125115_c2_g1_i1	1.546931313	0.957489842	0.980077366	1.708555701	23.17895607	1.310465607	1.01713187	0.916836844	1.164546518	32.16178922	NA	NA	NA	NA	4.007385627	3.164948314	4.26E-05	0.010669839	3.547953513	meanmale	0.37035778	meanfemale	male	FC3
TRINITY_DN109305_c0_g2_i2	0.274227462	0.572859166	0.505494066	0.695385289	10.36629554	0.804145625	0.362227712	0.294912245	0.516103452	13.62140985	NA	NA	NA	NA	2.825962253	3.28503586	4.75E-05	0.011163077	2.347064402	meanmale	-0.957543541	meanfemale	male	FC3
TRINITY_DN132765_c1_g1_i7	0.325788582	5.847860475	0.42704972	0.275377948	0.060816787	0.15922394	0.229511956	0.4204351	3.474476234	6.916244372	lrrc8c	Chr04	95532979	95532979	1.560985402	3.342023766	4.75E-05	0.011163077	1.725035215	meanmale	-1.636324018	meanfemale	male	FC3
TRINITY_DN131753_c0_g4_i1	0.322158337	9.533974187	0.237538759	0.32677131	0.496147648	0.590436436	9.61719764	0.415750213	0.454732984	0.325101725	NA	NA	NA	NA	2.254097338	3.408313813	2.21E-05	0.006657339	2.030523541	meanmale	-1.401135518	meanfemale	male	FC3
TRINITY_DN127888_c0_g2_i1	0.348450185	1.020318138	0.026351248	0	0.735533225	0	0.566484533	0.069181576	0.731460988	2.236030234	NA	NA	NA	NA	0.966774004	3.564128898	7.66E-07	0.000452049	0.081428837	meanmale	-3.491727919	meanfemale	male	FC3
TRINITY_DN120963_c0_g1_i2	0.284497114	0.792416526	0.391570302	0.461713309	7.934436286	0.583982273	0.84177614	0.293718268	0.535431213	14.90349372	NA	NA	NA	NA	2.070038271	3.602486911	2.70E-06	0.001326465	2.322392792	meanmale	-1.310445863	meanfemale	male	FC3
TRINITY_DN110989_c1_g2_i1	0.216588043	0.33514877	0.141953813	0.146459573	3.800580576	0.158780894	8.163148825	0.496906933	3.804495482	0.323802802	NA	NA	NA	NA	1.133451884	3.764965364	1.21E-06	0.000644537	1.716128439	meanmale	-2.106324966	meanfemale	male	FC3
TRINITY_DN173093_c0_g1_i1	0.471089076	2.041099699	0.617512304	0.955669168	28.66871637	0.46047445	0.663746868	1.891392497	1.329903449	30.00259081	NA	NA	NA	NA	1.935092641	3.797952201	1.06E-05	0.003651442	3.648616313	meanmale	-0.185527508	meanfemale	male	FC3
TRINITY_DN134524_c3_g3_i1	0.285524643	0.353457123	0.120301393	0.386150747	13.67538318	0.358831509	0.114941009	0.666762253	0.345448961	13.67185022	NA	NA	NA	NA	4.227323219	3.934725232	2.77E-05	0.007922827	2.493728304	meanmale	-1.459519915	meanfemale	male	FC3
TRINITY_DN132560_c1_g7_i1	0.299024627	0.138813391	0.440962909	0.151653175	7.368320392	0	0	0	2.251089525	4.693992394	NA	NA	NA	NA	0.103337903	3.952960642	0.000137157	0.026517646	1.531340604	meanmale	-2.486584916	meanfemale	male	FC3
TRINITY_DN134062_c1_g1_i3	0.437672723	0.903007529	0.621518656	0.295959829	0.054468553	0.106952759	2.20971438	0.083677523	0.411855912	21.28747594	NA	NA	NA	NA	2.236695663	3.992205667	9.51E-05	0.019891629	2.314233763	meanmale	-1.693125119	meanfemale	male	FC3
TRINITY_DN118022_c0_g1_i1	1.098696348	4.335318556	1.188158039	3.008957061	61.00694364	2.01363827	2.263982193	1.22883304	3.049969668	102.447072	NA	NA	NA	NA	4.8059733	4.328585413	1.64E-07	0.000135925	5.113565374	meanmale	0.772102327	meanfemale	male	FC3
TRINITY_DN38445_c0_g1_i1	0.264341519	0.122712779	0.519755654	0.134063308	7.40191775	0.678261543	0.977674169	0.22742449	9.079335613	24.77873029	NA	NA	NA	NA	1.580381833	4.462716292	5.99E-07	0.000384648	3.08273224	meanmale	-1.454548316	meanfemale	male	FC3
TRINITY_DN135896_c2_g3_i1	42.0785168	107.7238354	35.82143134	87.06522906	2588.945042	77.25490425	36.97752043	61.68493032	36.75233111	4557.217195	NA	NA	NA	NA	10.89644893	4.582599865	1.13E-05	0.003800008	10.51720017	meanmale	5.925550935	meanfemale	male	FC3
TRINITY_DN126719_c0_g1_i3	0.153373854	7.31928827	0.105548779	0.248912013	0.25768044	0.112438514	0.145866161	0.10556335	7.606025344	16.83953611	NA	NA	NA	NA	4.189985908	5.459715424	8.33E-10	2.21E-06	2.68566644	meanmale	-2.783218089	meanfemale	male	FC5
TRINITY_DN128367_c1_g4_i3	11.13866734	111.4671533	15.94815853	112.9057886	5878.956768	115.0879958	23.85693365	60.84290597	33.83668943	8205.903389	aqp9	Chr03	89621392	89621392	10.67334859	5.486434354	1.64E-05	0.005119866	11.47715328	meanmale	5.981505708	meanfemale	male	FC5
TRINITY_DN20122_c0_g1_i1	0	0.82027564	0	0	0.618478052	0.071965885	3.630710824	0	0	2.597659919	NA	NA	NA	NA	1.471199419	6.341092896	1.35E-08	2.24E-05	0.61685158	meanmale	-6.108482312	meanfemale	male	FC5
TRINITY_DN113348_c0_g3_i1	0.16437611	7.172836996	0	0	3.958366697	0	6.079494342	0	5.413804487	3.243835011	wdfy2	Chr02	147090182	147090182	0.565283231	6.757725497	1.37E-20	9.11E-17	2.371215225	meanmale	-4.922473818	meanfemale	male	FC5
TRINITY_DN133064_c1_g2_i1	0	0	0	0	4.729378493	0	3.412089019	0	0	7.686573028	NA	NA	NA	NA	0.323286601	7.879065655	8.32E-08	0.000100379	1.662528239	meanmale	-13.28771238	meanfemale	male	FC7
TRINITY_DN132642_c5_g2_i1	0	10.56121591	0	0	5.539499735	0	10.45255332	0	0	5.989117401	znf703	Chr03	114950704	114950704	0.326519367	7.924176354	1.84E-11	5.42E-08	2.702342215	meanmale	-13.28771238	meanfemale	male	FC7
TRINITY_DN135864_c0_g11_i1	0	19.76711886	0	0	20.64105646	0.255872082	28.62078694	0	11.8894983	11.27091078	LOC100489188	Chr09	55654910	55654910	3.4986151	8.054293913	1.45E-55	3.85E-51	4.204608254	meanmale	-4.285617024	meanfemale	male	FC7
TRINITY_DN93756_c0_g1_i1	0	5.071465764	0	0	4.015015952	0	1.803806014	0	3.319673521	7.043431965	NA	NA	NA	NA	0.798178625	8.432817931	4.99E-22	4.42E-18	2.087727133	meanmale	-13.28771238	meanfemale	male	FC7
TRINITY_DN86341_c0_g2_i1	0	2.949730087	0	0	7.413537715	0	2.168248453	0	4.422224733	3.681083786	mreg	Chr09	53806422	53806422	1.498273173	9.17268586	1.19E-28	1.58E-24	2.045116145	meanmale	-13.28771238	meanfemale	male	FC7
