gid	Am1_434	base	logAm1_434	Am2_433	logAm2_433	Am2_434	logAm2_434	Am4_434	logAm4_434	Am4_435	logAm4_435	Am5_433	logAm5_433	gname	chr	start	end	logCPM	logFC.XY43.XX43	PV.XY43.XX43	FDR.XY43.XX43	meanXY	log2meanXY	group1	meanXX	log2meanXX	group2	cutoff
TRINITY_DN120463_c0_g1_i1	0.077831847	2	-3.683495596	11.42250587	3.513807279	0.087413019	-3.516008024	0	NA	3.911037101	1.967551222	0.696595114	-0.521607741	NA	NA	NA	NA	1.97944824	-6.478661768	1.77E-09	1.56E-06	0.055081622	-4.179668326	meanfemale	5.343379362	2.417779447	meanfemale	FC5
TRINITY_DN111028_c0_g1_i1	0.041158344	2	-4.602671253	26.34493516	4.719453724	0.3466873	-1.528293107	0	NA	9.342557627	3.223817558	1.519514779	0.603610707	fam172a	Chr01	171646628	171646628	2.51979108	-6.455165359	1.77E-08	9.31E-06	0.129281881	-2.950292499	meanfemale	12.40233586	3.632551591	meanfemale	FC5
TRINITY_DN127129_c2_g3_i1	0	2	NA	10.27238218	3.360698878	0.166218127	-2.58885037	0	NA	4.631573105	2.211502285	0.903132077	-0.146991107	NA	NA	NA	NA	2.486113374	-6.43400854	2.77E-08	1.29E-05	0.055406042	-4.171211359	meanfemale	5.269029121	2.397564534	meanfemale	FC5
TRINITY_DN126783_c1_g5_i3	0.031089856	2	-5.007412255	6.373450038	2.672074535	0.078563353	-3.669999686	0	NA	2.289518964	1.195044515	0.730417397	-0.453206967	LOC101734633	Chr10	16918626	16918626	0.979087459	-6.206898715	4.91E-09	3.59E-06	0.03655107	-4.770000886	meanfemale	3.1311288	1.64672893	meanfemale	FC5
TRINITY_DN97753_c0_g1_i1	0.056484574	2	-4.14599927	24.02194379	4.58628099	0.412346196	-1.278071996	0	NA	6.997976795	2.806937881	2.63300518	1.39671036	NA	NA	NA	NA	3.495005051	-6.085931795	2.51E-08	1.21E-05	0.156276923	-2.676900466	meanfemale	11.21764192	3.487710392	meanfemale	FC5
TRINITY_DN127464_c0_g12_i1	0	2	NA	3.879411672	1.955837879	0.231293571	-2.112202929	0	NA	4.837251889	2.274187665	10.64948734	3.412712077	xkrx	Chr08	17474508	17474508	0.474683989	-6.067623886	1.27E-09	1.30E-06	0.077097857	-3.695295391	meanfemale	6.455383634	2.690525184	meanfemale	FC5
TRINITY_DN208554_c0_g1_i1	0.144243582	2	-2.793420966	23.5562423	4.558037513	0.218700133	-2.192973997	0.085163759	-3.55361656	5.898547775	2.560359806	2.097842838	1.068906601	il17c	Chr04	69300183	69300183	2.792027373	-6.059424038	8.51E-11	1.45E-07	0.149369158	-2.742080271	meanfemale	10.5175443	3.394739707	meanfemale	FC5
TRINITY_DN136663_c13_g1_i1	0.187937017	2	-2.41167884	37.1996745	5.217218093	0.738752822	-0.436836359	0	NA	17.96493589	4.167111882	7.779418787	2.959662373	sbds	Chr02	94363061	94363061	3.668830995	-6.019328872	3.40E-10	4.57E-07	0.308896613	-1.69433707	meanfemale	20.98134306	4.391042002	meanfemale	FC5
TRINITY_DN110679_c0_g1_i1	0.013769666	2	-6.182362624	3.203931298	1.679843212	0.057992715	-4.107984508	0	NA	1.694019242	0.760450262	0.308096302	-1.698546729	NA	NA	NA	NA	1.299259659	-6.009040831	1.03E-08	6.30E-06	0.023920794	-5.37957237	meanfemale	1.735348947	0.795308925	meanfemale	FC5
TRINITY_DN119116_c0_g1_i1	0.064692564	2	-3.950256297	8.001988601	3.000358574	0.081738313	-3.612843722	0	NA	2.045756007	1.032634088	0.361874074	-1.466440343	NA	NA	NA	NA	1.067951159	-5.992639733	1.78E-07	6.32E-05	0.048810292	-4.353718102	meanfemale	3.469872894	1.794924393	meanfemale	FC5
TRINITY_DN102894_c0_g2_i1	0	2	NA	24.33212587	4.604790467	0.524756497	-0.930279971	0	NA	10.08898106	3.334708571	1.769218482	0.823112218	NA	NA	NA	NA	2.271986773	-5.985659622	6.14E-07	0.000181055	0.174918832	-2.514417928	meanfemale	12.0634418	3.592581633	meanfemale	FC5
TRINITY_DN101072_c0_g2_i2	0.147911112	2	-2.757197654	29.85280279	4.899794483	0.498357314	-1.004747593	0.024258091	-5.365390168	11.66134915	3.543662804	2.371816587	1.24599245	NA	NA	NA	NA	3.495097931	-5.96559315	2.47E-09	2.04E-06	0.223508839	-2.160950878	meanfemale	14.62865618	3.870735203	meanfemale	FC5
TRINITY_DN102894_c0_g1_i2	0.211936486	2	-2.238296118	25.54278687	4.674844035	0.386792348	-1.370368841	0	NA	8.966618706	3.16456405	4.939666055	2.304413512	morc2	Chr01	131453682	131453682	2.825293294	-5.962388638	7.48E-11	1.45E-07	0.199576278	-2.324265147	meanfemale	13.14969054	3.716967915	meanfemale	FC5
TRINITY_DN109666_c0_g1_i1	0.159401382	2	-2.649263957	131.3301957	7.037054851	3.289563015	1.717895949	0	NA	50.47613208	5.657529458	36.11188917	5.174401991	NA	NA	NA	NA	4.108694011	-5.915561205	1.54E-07	5.69E-05	1.149654799	0.201326219	meanfemale	72.63940565	6.182682479	meanfemale	FC5
TRINITY_DN127464_c0_g11_i1	0	2	NA	6.333733342	2.663056129	0	NA	0.270203265	-1.887882987	2.061779494	1.043890046	8.499110092	3.08731179	NA	NA	NA	NA	0.287693187	-5.798395392	2.59E-08	1.23E-05	0.090067755	-3.471244588	meanfemale	5.631540976	2.493555363	meanfemale	FC5
TRINITY_DN69456_c0_g1_i2	0.080381894	2	-3.636985618	32.88719986	5.039454272	0.694004268	-0.52698356	0.039548982	-4.66021563	10.75953049	3.42754322	2.877672122	1.524902223	NA	NA	NA	NA	3.872721444	-5.771727582	3.53E-08	1.61E-05	0.271311715	-1.881445103	meanfemale	15.50813416	3.954962518	meanfemale	FC5
TRINITY_DN103798_c0_g1_i1	0.082424904	2	-3.600775888	17.9238478	4.163808476	0.347143068	-1.526397732	0.032443337	-4.945933972	6.912583833	2.789225072	1.346307932	0.429008426	kctd9	Chr03	106568067	106568067	3.335117009	-5.756070448	4.78E-09	3.59E-06	0.15400377	-2.698025942	meanfemale	8.727579855	3.125598182	meanfemale	FC5
TRINITY_DN119774_c0_g1_i2	0.029644386	2	-5.076097274	11.43628176	3.515546165	0.224732051	-2.1537222	0.02917088	-5.099327281	3.775429826	1.916640902	1.160763134	0.215073605	NA	NA	NA	NA	1.83006603	-5.724247635	1.26E-08	7.21E-06	0.094515772	-3.401775491	meanfemale	5.457491573	2.448264433	meanfemale	FC5
TRINITY_DN45542_c0_g1_i1	0.139328616	2	-2.843436499	28.89391971	4.852694026	0.616140374	-0.69866902	0.034275785	-4.866666482	9.324926422	3.221092342	5.182807395	2.373733781	NA	NA	NA	NA	2.985273429	-5.698186325	7.62E-10	8.86E-07	0.263248258	-1.924956177	meanfemale	14.46721784	3.854725574	meanfemale	FC5
TRINITY_DN75302_c0_g2_i1	0.216199576	2	-2.209564401	19.05791076	4.252318066	0.248332439	-2.009655366	0.038681136	-4.692226025	5.568221578	2.477216622	0.72561991	-0.462714053	NA	NA	NA	NA	3.037799024	-5.601548147	4.39E-08	1.93E-05	0.167737717	-2.574861136	meanfemale	8.450584083	3.079068132	meanfemale	FC5
TRINITY_DN74428_c0_g1_i1	0.324747291	2	-1.622610604	59.61839747	5.897685691	1.455248674	0.541265703	0.012782406	-6.289696773	21.95681798	4.456597087	7.251689033	2.858317061	NA	NA	NA	NA	5.434680731	-5.589055751	4.73E-07	0.000151311	0.59759279	-0.742523955	meanfemale	29.60896816	4.887967182	meanfemale	FC5
TRINITY_DN131394_c0_g1_i2	0.084158224	2	-3.57075193	7.643519641	2.934237115	0.141777267	-2.81830187	0	NA	4.228936463	2.080294885	0.659064169	-0.601509157	NA	NA	NA	NA	0.030788712	-5.562057728	7.74E-07	0.000210488	0.07531183	-3.729065324	meanfemale	4.177173424	2.062561579	meanfemale	FC5
TRINITY_DN98815_c0_g2_i1	0.44101672	2	-1.181094742	61.18809647	5.935179113	1.300178984	0.37871024	0.086794484	-3.526252831	19.9449137	4.317948976	7.104780176	2.828790013	NA	NA	NA	NA	3.667516981	-5.535404677	3.12E-09	2.49E-06	0.609330063	-0.714467426	meanfemale	29.41259678	4.878367163	meanfemale	FC5
TRINITY_DN131553_c0_g2_i1	0	2	NA	11.06344871	3.467729269	0.352080214	-1.506023941	0	NA	5.5768492	2.479450261	1.87048688	0.903413847	NA	NA	NA	NA	0.564638089	-5.493481233	1.78E-07	6.32E-05	0.117360071	-3.089757676	meanfemale	6.170261597	2.625355037	meanfemale	FC5
TRINITY_DN151548_c0_g1_i1	0.083288693	2	-3.585735536	26.68003369	4.737688583	0.584635041	-0.774391793	0.136597223	-2.871999941	8.418591546	3.073578887	2.73325758	1.450621425	map2k6	Chr10	21091508	21091508	3.118497524	-5.480688799	4.15E-09	3.22E-06	0.268173652	-1.898222723	meanfemale	12.61062761	3.656579613	meanfemale	FC5
TRINITY_DN124389_c0_g1_i1	0.077724641	2	-3.685484142	5.109516908	2.353186894	0.065469461	-3.933034088	0	NA	1.346775861	0.429509768	0.463757078	-1.108558794	NA	NA	NA	NA	0.818403022	-5.469445363	2.83E-07	9.52E-05	0.047731367	-4.385899156	meanfemale	2.306683282	1.205882472	meanfemale	FC5
TRINITY_DN118245_c0_g1_i2	1.757137954	2	0.813227463	140.7974802	7.137477705	3.498376647	1.806685623	0.078594156	-3.669434147	51.2752741	5.680191394	49.32366676	5.62420815	NA	NA	NA	NA	4.260034929	-5.454161172	4.50E-10	5.75E-07	1.778036252	0.830365877	meanfemale	80.46547369	6.330299769	meanfemale	FC5
TRINITY_DN120456_c0_g1_i1	0.259141627	2	-1.948187315	18.49262887	4.208878424	0.472943571	-1.080260035	0	NA	10.70184281	3.419787339	4.058806203	2.021055457	NA	NA	NA	NA	2.311701259	-5.432757596	1.58E-09	1.45E-06	0.244028399	-2.034287962	meanfemale	11.08442596	3.470475168	meanfemale	FC5
TRINITY_DN151741_c0_g1_i1	0.041798585	2	-4.580402086	12.83504671	3.682016641	0.24645615	-2.020597113	0.041130941	-4.603632111	1.484745566	0.570215724	1.215816472	0.28192547	NA	NA	NA	NA	1.271459779	-5.417222294	5.76E-07	0.000176894	0.109795225	-3.185799389	meanfemale	5.178536249	2.372572226	meanfemale	FC5
TRINITY_DN128402_c0_g1_i2	0.637136011	2	-0.650326714	85.42232234	6.416541215	2.403375244	1.265061917	0.136295462	-2.875190567	37.53597218	5.230201944	15.99142318	3.999226434	NA	NA	NA	NA	4.993866978	-5.408248523	2.12E-09	1.80E-06	1.058935572	0.082751049	meanfemale	46.31657257	5.533459707	meanfemale	FC5
TRINITY_DN105624_c0_g1_i1	0.025012451	2	-5.321209754	5.257388215	2.39434627	0.084274519	-3.568759702	0.073838791	-3.759477259	2.253700457	1.172295777	0.643601702	-0.635759954	usp13	Chr05	95267617	95267617	1.101761252	-5.361443016	1.54E-08	8.58E-06	0.06104192	-4.031694325	meanfemale	2.718230125	1.442720673	meanfemale	FC5
TRINITY_DN124325_c0_g1_i1	0.344959362	2	-1.53550168	42.5432696	5.410859009	1.101100283	0.138945869	0.053597269	-4.221696698	15.94993412	3.99547856	4.996691544	2.32097316	NA	NA	NA	NA	4.474947184	-5.358873034	1.94E-08	9.73E-06	0.499885638	-1.000041441	meanfemale	21.16329842	4.403499409	meanfemale	FC5
TRINITY_DN69434_c0_g2_i1	0.040668893	2	-4.619930468	5.804353062	2.537135277	0.171282266	-2.545552308	0	NA	2.32548152	1.217529475	1.728936521	0.7898849	NA	NA	NA	NA	0.685866594	-5.358249149	1.89E-08	9.69E-06	0.070650386	-3.821118164	meanfemale	3.286257034	1.716489225	meanfemale	FC5
TRINITY_DN133291_c0_g1_i1	0.16888317	2	-2.565902531	55.5838415	5.79659364	0.995782423	-0.006097545	0.706288894	-0.501669684	16.97270122	4.085144284	7.32135016	2.872109726	NA	NA	NA	NA	3.590552419	-5.351762909	2.44E-10	3.46E-07	0.623651496	-0.680956725	meanfemale	26.62596429	4.734767289	meanfemale	FC5
TRINITY_DN116966_c0_g1_i1	0.215491885	2	-2.214294554	35.7349287	5.159263005	0.648265533	-0.625343225	0.393806887	-1.344439753	12.40202027	3.632503247	4.408348783	2.140238373	NA	NA	NA	NA	3.445313359	-5.325369569	4.80E-11	1.12E-07	0.419188102	-1.253986204	meanfemale	17.51509925	4.130535495	meanfemale	FC5
TRINITY_DN135315_c3_g4_i2	0.02478177	2	-5.334576956	5.058850455	2.338809592	0.083497284	-3.582126919	0.024385934	-5.35780696	0.665580534	-0.587314855	0.166347647	-2.587726636	NA	NA	NA	NA	0.657562987	-5.313107317	8.05E-06	0.001634352	0.044221663	-4.495844187	meanfemale	1.963592879	0.97356931	meanfemale	FC5
TRINITY_DN83270_c0_g1_i1	0.363905453	2	-1.458364425	63.62328961	5.991483063	2.298951819	1.200976231	0.134284815	-2.896631922	25.93170508	4.696645165	17.9641379	4.167047797	dnm2	Chr03	127992323	127992323	4.911158444	-5.216743009	6.79E-09	4.69E-06	0.932380696	-0.100854236	meanfemale	35.83971086	5.163491119	meanfemale	FC5
TRINITY_DN118281_c0_g1_i1	0.064804007	2	-3.947773168	7.427202486	2.892818911	0.136465199	-2.873395009	0.063768902	-3.971003149	2.330003441	1.220332085	0.652495423	-0.615960313	NA	NA	NA	NA	1.082581103	-5.184766098	1.13E-07	4.40E-05	0.088346036	-3.499058705	meanfemale	3.46990045	1.79493585	meanfemale	FC5
TRINITY_DN133291_c0_g2_i1	0.375115503	2	-1.414593206	83.99098823	6.392162638	2.16664747	1.115464435	0.632783715	-0.660215623	24.37434091	4.607291303	11.690543	3.547270036	ect2	Chr05	93110394	93110394	3.836537191	-5.18053194	1.15E-09	1.23E-06	1.058182229	0.081724426	meanfemale	40.01862405	5.322603264	meanfemale	FC5
TRINITY_DN126078_c0_g1_i1	0.052515672	2	-4.251108166	4.421382072	2.14449741	0.147450997	-2.761692518	0	NA	2.320415218	1.214382986	1.03795049	0.053737629	NA	NA	NA	NA	1.539121213	-5.177776576	8.21E-09	5.38E-06	0.066655556	-3.904968267	meanfemale	2.59324926	1.374816515	meanfemale	FC5
TRINITY_DN112272_c0_g1_i1	0.095237282	2	-3.392329742	3.597199756	1.846874276	0.026740269	-5.224842211	0	NA	0.825113312	-0.277335838	0.355155737	-1.493476305	NA	NA	NA	NA	0.044341721	-5.163111735	4.30E-06	0.000957231	0.040659184	-4.616731033	meanfemale	1.592489602	0.671374543	meanfemale	FC5
TRINITY_DN135535_c0_g1_i2	0.314487759	2	-1.668924232	65.61020951	6.035848423	2.068751575	1.04876041	0.265255276	-1.914546648	23.39304635	4.548007843	8.041902189	3.007536789	ctdspl2	Chr03	115925040	115925040	5.367215135	-5.149671868	1.78E-08	9.31E-06	0.882831537	-0.179626521	meanfemale	32.34838602	5.015626287	meanfemale	FC5
TRINITY_DN119011_c0_g1_i1	0.348752097	2	-1.519726203	32.74066478	5.03301171	1.018377874	0.02627298	0.091515074	-3.449846792	13.31476887	3.73495548	6.55479642	2.712550974	NA	NA	NA	NA	3.855603595	-5.122920108	8.70E-10	9.68E-07	0.486215015	-1.040036959	meanfemale	17.53674336	4.13231718	meanfemale	FC5
TRINITY_DN131690_c0_g1_i2	0.032402004	2	-4.947773146	2.116052029	1.081375101	0.0682326	-3.873394999	0.015942225	-5.971003195	1.768556829	0.822572578	0.489371567	-1.030997813	NA	NA	NA	NA	0.852826756	-5.114549179	1.27E-08	7.21E-06	0.038858943	-4.681901654	meanfemale	1.457993475	0.54408321	meanfemale	FC5
TRINITY_DN121548_c0_g1_i1	0.050002738	2	-4.321849095	5.795702759	2.534983606	0.19655342	-2.347006628	0	NA	2.700354224	1.433148668	0.484818265	-1.044484043	NA	NA	NA	NA	1.81405537	-5.098498227	9.56E-07	0.000251995	0.082185386	-3.603219961	meanfemale	2.993625083	1.581941743	meanfemale	FC5
TRINITY_DN121355_c0_g1_i4	0	2	NA	8.603678961	3.104953693	0.358047675	-1.481776396	0	NA	3.609054952	1.85162111	1.331533033	0.41308822	NA	NA	NA	NA	1.074561523	-5.094790784	2.25E-06	0.000522909	0.119349225	-3.065530601	meanfemale	4.514755649	2.174679862	meanfemale	FC5
TRINITY_DN135526_c5_g1_i1	0.018687892	2	-5.741752348	3.459247282	1.790458147	0.078706456	-3.66737421	0.036778785	-4.764982369	1.424785829	0.510745072	0.083628325	-3.579864522	postn	Chr02	148527377	148527377	0.827765279	-5.088309739	6.07E-06	0.001283217	0.044724378	-4.479572637	meanfemale	1.655887145	0.727691474	meanfemale	FC5
TRINITY_DN127464_c0_g3_i1	0	2	NA	3.958583339	1.984984224	0.231293571	-2.112202929	0.270203265	-1.887882987	5.947440847	2.572269018	8.908705759	3.155215855	NA	NA	NA	NA	0.462045151	-5.084168105	8.17E-09	5.38E-06	0.167165612	-2.579787222	meanfemale	6.271576648	2.64885118	meanfemale	FC5
TRINITY_DN109929_c0_g1_i1	0.210160482	2	-2.25043668	12.82884293	3.68131915	0.48049255	-1.057414033	0.059086748	-4.081021591	8.921825789	3.157338978	4.030578272	2.010986839	steap1	Chr06	20814169	20814169	2.478064095	-5.041153273	2.35E-10	3.46E-07	0.24991326	-1.999923481	meanfemale	8.593748997	3.103304428	meanfemale	FC5
TRINITY_DN124448_c4_g1_i1	0.26554395	2	-1.912977435	14.92991349	3.900133901	0.372790815	-1.42356178	0	NA	4.447846115	2.153106875	3.366876383	1.751410753	lhx6	Chr08	16228747	16228747	0.773135863	-5.033444181	1.20E-07	4.59E-05	0.212778255	-2.231899505	meanfemale	7.581545329	2.922510969	meanfemale	FC5
TRINITY_DN135947_c1_g1_i1	0.062802548	2	-3.993033097	8.420085195	3.073834831	0.449651692	-1.153120197	0	NA	6.638098586	2.730770056	2.669893626	1.416782263	rhof	Chr01	153580211	153580211	1.885221194	-5.021640784	7.56E-08	3.12E-05	0.17081808	-2.548623079	meanfemale	5.909359136	2.563026094	meanfemale	FC5
TRINITY_DN128638_c0_g1_i2	0.388355742	2	-1.364549298	41.31829254	5.368708732	1.057694517	0.080923009	0.33119891	-1.59423017	14.1762758	3.825406672	3.997151935	1.998972412	NA	NA	NA	NA	4.876096136	-5.021281005	5.28E-10	6.43E-07	0.59241639	-0.755073034	meanfemale	19.83057343	4.309661765	meanfemale	FC5
TRINITY_DN133823_c0_g1_i1	0.200099607	2	-2.321209761	11.53884931	3.528427456	0.224732051	-2.1537222	0.065634481	-3.929402258	3.293869899	1.719783573	1.790891693	0.840678091	NA	NA	NA	NA	0.734365058	-4.974799251	1.74E-07	6.32E-05	0.163488713	-2.611854884	meanfemale	5.541203634	2.470225421	meanfemale	FC3
TRINITY_DN120071_c0_g1_i2	0.071005523	2	-3.815924944	9.495309947	3.247215094	0.394744521	-1.341008853	0.013974272	-6.161083063	4.404653587	2.13902856	1.270999012	0.345962909	NA	NA	NA	NA	2.789976948	-4.919958981	5.17E-07	0.000163275	0.159908105	-2.643783107	meanfemale	5.056987515	2.338306745	meanfemale	FC3
TRINITY_DN133823_c0_g2_i1	0.092866635	2	-3.42869583	8.896331753	3.153210589	0.338970459	-1.560768546	0.015230548	-6.036888338	4.37152196	2.128135646	0.675314642	-0.566368257	NA	NA	NA	NA	3.539398312	-4.91699593	7.17E-07	0.000201945	0.149022547	-2.745429685	meanfemale	4.647722785	2.216555062	meanfemale	FC3
TRINITY_DN130577_c0_g2_i5	0.037543639	2	-4.735287696	2.256985105	1.174396897	0.079059928	-3.660909548	0.036943959	-4.758517713	2.081723008	1.057778118	0.630029263	-0.666509256	NA	NA	NA	NA	0.831797899	-4.916211612	1.13E-08	6.70E-06	0.051182509	-4.285389352	meanfemale	1.656245792	0.728003893	meanfemale	FC3
TRINITY_DN135585_c3_g1_i1	0.049078573	2	-4.348762888	7.620156726	2.92982067	0.186030641	-2.426387829	0.169031266	-2.564637966	4.315832417	2.109638846	0.631426589	-0.663313082	tmco1	Chr04	108906135	108906135	1.751987037	-4.886519956	8.73E-08	3.54E-05	0.134713493	-2.890963193	meanfemale	4.189138577	2.066688048	meanfemale	FC3
TRINITY_DN119288_c0_g1_i2	0.143765833	2	-2.798207245	12.17642585	3.606018816	0.423841786	-1.238402267	0.023578247	-5.406399729	4.41133431	2.141215098	1.018640944	0.026645612	Xetrov90006124m	Chr02	129202544	129202544	3.245728322	-4.845393213	5.25E-07	0.0001636	0.197061955	-2.342546901	meanfemale	5.868800368	2.553090217	meanfemale	FC3
TRINITY_DN129651_c0_g4_i5	0.091865021	2	-3.444340552	30.8509945	4.947245091	1.934506669	0.951965702	0.067798255	-3.882608048	20.37495926	4.34872527	8.967031881	3.164630527	NA	NA	NA	NA	4.082265061	-4.798089305	2.28E-06	0.00052515	0.698056648	-0.518377319	meanfemale	20.06432855	4.326568162	meanfemale	FC3
TRINITY_DN98655_c0_g1_i1	0.03886232	2	-4.68548416	4.958248315	2.309830525	0.261877845	-1.933034083	0	NA	2.491535343	1.317035039	1.173885103	0.231291208	NA	NA	NA	NA	1.549517755	-4.745057841	6.68E-07	0.000194095	0.100246722	-3.31693461	meanfemale	2.874556254	1.523389451	meanfemale	FC3
TRINITY_DN131553_c0_g1_i1	0.047126497	2	-4.407317743	8.20367736	3.036270754	0.545818058	-0.873507969	0.011593438	-6.430547733	7.155331997	2.839018707	1.133539653	0.18083486	NA	NA	NA	NA	3.192425478	-4.723511883	8.22E-06	0.001654338	0.201512664	-2.31034183	meanfemale	5.497516337	2.458806229	meanfemale	FC3
TRINITY_DN119751_c0_g1_i3	0.063118668	2	-3.985789429	8.571661312	3.099574847	0.531664752	-0.911411272	0	NA	5.605163631	2.48675649	2.294955588	1.198466235	NA	NA	NA	NA	1.782543413	-4.706583052	1.07E-06	0.000268074	0.19826114	-2.333798673	meanfemale	5.49059351	2.456988383	meanfemale	FC3
TRINITY_DN129116_c0_g1_i3	0.103490306	2	-3.272432459	4.40872926	2.140362884	0.130758814	-2.935019898	0.025459317	-5.295662473	2.219123527	1.149989977	0.463119172	-1.110544613	pigb	Chr03	90802306	90802306	0.882771449	-4.686855018	6.98E-07	0.000200438	0.086569479	-3.528332158	meanfemale	2.36365732	1.241081926	meanfemale	FC3
TRINITY_DN119494_c0_g1_i1	0.181382479	2	-2.462892992	13.39864031	3.744014699	0.427792738	-1.225016103	0.071394113	-3.808051072	3.928637397	1.974029017	1.01460836	0.020922953	NA	NA	NA	NA	1.732459651	-4.676646489	8.22E-07	0.000221357	0.226856443	-2.139512648	meanfemale	6.113962022	2.612131187	meanfemale	FC3
TRINITY_DN132305_c3_g4_i3	0.254754354	2	-1.972821291	7.83495682	2.969925324	0.023842904	-5.390296227	0.139269554	-2.844048193	2.452368385	1.294175711	0.633347702	-0.658930352	NA	NA	NA	NA	1.354687295	-4.669217864	1.90E-06	0.000452935	0.139288937	-2.842812029	meanfemale	3.640224302	1.86406698	meanfemale	FC3
TRINITY_DN129649_c3_g2_i1	0	2	NA	11.22342439	3.48844102	0.611722379	-0.709051039	0.023821009	-5.391621666	4.509185847	2.172866972	1.002046543	0.00294952	NA	NA	NA	NA	2.179306327	-4.642688302	8.40E-05	0.013773024	0.211847796	-2.238219131	meanfemale	5.578218927	2.479830419	meanfemale	FC3
TRINITY_DN126729_c2_g1_i2	0.023600205	2	-5.405056798	4.266478673	2.093045836	0.079516234	-3.652606759	0.139339451	-2.843324311	1.71751943	0.78032642	0.422443712	-1.243168971	NA	NA	NA	NA	0.869195174	-4.636947592	1.44E-06	0.000355691	0.08081863	-3.627384295	meanfemale	2.135480605	1.094628352	meanfemale	FC3
TRINITY_DN131147_c0_g2_i1	0.079030937	2	-3.661438677	3.429413889	1.777962031	0.033284894	-4.908988616	0.064807156	-3.947703066	1.027058062	0.038517743	0.117887829	-3.084513316	ptrh2	Chr02	87231843	87231843	1.209557637	-4.634383143	5.78E-06	0.001232249	0.059040996	-4.079697658	meanfemale	1.524786593	0.608701953	meanfemale	FC3
