gid	gname	chr	start	end	logCPM	logFC.FB.MB	logFC.FL.ML	logFC.FO.MT	PV.FB.MB	PV.FL.ML	PV.FO.MT	FDR.FB.MB	FDR.FL.ML	FDR.FO.MT
TRINITY_DN133534_c2_g9_i5	LOC101731678-like	Chr01	15912763	15912763	9.84750676729563	0.702638312109507	-0.194853489117524	2.08758243027033	0.107496921299782	0.663433673345506	3.15893722008827e-06	1	0.896559172861033	1.28657592955608e-05
TRINITY_DN133488_c1_g1_i1	LOC100495174	Chr01	18430207	18430207	1.359575186863	-0.600771253653692	-0.429436511953874	2.57592289496147	0.113497817493038	0.369342493901422	4.66732745175901e-10	1	0.713295403631189	3.39948544082346e-09
TRINITY_DN133473_c0_g8_i4	sorcs2	Chr01	19859326	19859326	4.46847595984158	-0.400247235737467	0.641147770312758	-2.06672413605127	0.253441943753886	0.091175680014218	5.33000415705361e-09	1	0.389316246751712	3.32723345349252e-08
TRINITY_DN119152_c0_g1_i4	gba3	Chr01	22342374	22342374	2.94006604545578	-0.31989688833348	0.156337577277574	2.77264920087807	0.422152884782098	0.734131712901079	8.66670447698614e-10	1	0.932305000264492	6.09614860008659e-09
TRINITY_DN119009_c0_g2_i2	kcnip4-like	Chr01	22625130	22625130	1.31796315348915	-0.0117288393607151	-0.690793580723517	3.05027949325816	0.979453232950178	0.222949259013227	9.31416044943747e-08	1	0.581526884512931	4.8839892202712e-07
TRINITY_DN126289_c6_g2_i1	pacrgl	Chr01	22668808	22668808	3.48182361567625	-0.0120045976956475	0.107080533218459	3.0675341474508	0.976506959251039	0.798529905914508	6.94285997780109e-13	1	0.957915994607185	7.05162882985045e-12
TRINITY_DN127999_c10_g6_i2	klf3	Chr01	26186197	26186197	2.16581171683788	0.546229280356327	-0.844095913152943	3.09739821848901	0.261627489805753	0.0959643836867395	4.59980140618059e-08	1	0.398474038271697	2.52412108572892e-07
TRINITY_DN126256_c6_g2_i1	klhl5-like	Chr01	26330435	26330435	4.25421662408879	-0.0302520611006204	0.0322189689136776	-4.47625165925216	0.923628805591338	0.94306397583326	6.27482675464726e-34	1	1	4.37368429621204e-32
TRINITY_DN133214_c1_g4_i1	Xetrov90000594m	Chr01	27050817	27050817	5.18992135172615	0.0889270674150625	-1.54010922890051	-2.81583198297746	0.751520669165532	1.64491890195898e-06	2.19448411124772e-21	1	0.000307337104563933	5.44171382609401e-20
TRINITY_DN117152_c0_g1_i1	apbb2	Chr01	27469299	27469299	1.64547130565215	0.0472483470896566	0	2.26644635288891	0.959760257298061	1	0.0279166882965412	1	1	0.0489586044464695
TRINITY_DN128540_c2_g1_i1	bend4-like	Chr01	28031281	28031281	1.69545254962023	-0.0254960127369199	-1.11603743356026	2.32585920732459	0.954972916493027	0.146718834783544	3.75634474117521e-06	1	0.483758609050399	1.50774959363448e-05
TRINITY_DN135526_c5_g2_i2	atp8a1	Chr01	28181203	28181203	4.07705666951775	-0.7129521844046	-2.29799003052824	-11.7247779806767	0.525440670759828	0.0594809795078862	1.17642919904278e-52	1	0.313146215212116	2.4536300465307e-50
TRINITY_DN118819_c0_g1_i1	corin-like	Chr01	29391953	29391953	8.72541039049793	-0.0686009009756902	0.0142240091300884	3.39035172761125	0.856913128214538	0.971843201767868	4.47874612938467e-16	1	1	6.48201530990287e-15
TRINITY_DN118236_c0_g2_i2	nipal1	Chr01	29602560	29602560	4.33567865432144	0.190058630172572	0.741964920867408	3.15985796679064	0.421451236632868	0.0254814814735989	4.64445938219423e-33	1	0.207940327281522	2.91280139109407e-31
TRINITY_DN124009_c0_g1_i3	ppat	Chr01	31660752	31660752	5.06496534368171	0.0361535492397557	0.185689452258006	2.96978989741127	0.867012308488034	0.425423752594352	7.5028487996921e-36	1	0.753970493613796	6.06198639506655e-34
TRINITY_DN114622_c0_g1_i3	ankrd37	Chr01	35248675	35248675	0.547945161720753	-0.153136757704212	-1.86499700766979	-2.23249862274876	0.743891021021045	0.364314333708546	3.20124820918887e-05	1	0.712070865671537	0.000105615675129646
TRINITY_DN131967_c0_g3_i2	snx25-like	Chr01	35262666	35262666	0.409857565030264	-1.1595747919886	0	-8.6137160643487	0.242319615047998	1	3.16397669654786e-12	1	1	2.97438130749896e-11
TRINITY_DN130634_c6_g2_i1	LOC100486222	Chr01	35569041	35569041	4.15566156896062	0.75659356394495	-1.11180057053341	3.86466243830248	0.147151571040706	0.036408183648626	2.30706371032723e-12	1	0.245135680947518	2.19955879257101e-11
TRINITY_DN129285_c0_g1_i3	hand2	Chr01	39412802	39412802	3.92293122856565	0.526450171146065	1.15122689173966	2.94577181559406	0.41385037538203	0.242884416472202	8.69110377269349e-08	1	0.604962527789723	4.57690638098098e-07
TRINITY_DN121407_c0_g1_i1	LOC100488610	Chr01	41360546	41360546	4.77553488515157	-0.121403025183954	0.00705170051207162	-2.11192648654024	0.725967745416399	0.984509190552167	1.91345984283361e-09	1	1	1.27587700300962e-08
TRINITY_DN108182_c0_g2_i1	LOC100493543	Chr01	43628302	43628302	5.42916743095193	-0.341345456353995	0	5.17443792385408	0.79223243376637	1	0.00152655337950377	1	1	0.00357582436666801
TRINITY_DN125304_c0_g1_i1	glrb	Chr01	44226997	44226997	4.65971146348774	0.914924717745215	-1.88529601154575	-4.16503269528944	0.0560080236325151	0.0161147766465464	1.29085282945156e-21	1	0.164541960408095	3.29823317914475e-20
TRINITY_DN128905_c8_g2_i1	LOC101730283	Chr01	45285232	45285232	2.96381955217464	-0.0833011092528791	-0.756908986387524	-2.54842209348583	0.812053758562863	0.100543532206658	3.3035220630322e-12	1	0.407643214095095	3.09367424663701e-11
TRINITY_DN99547_c0_g1_i3	ercc8	Chr01	46198772	46198772	-0.00262322669427681	0.242338092561608	-5.79692007634355	0.947872179297144	0.614000324320715	0.000248330187788366	0.105560561985741	1	0.0131243518741084	0.157215993369851
TRINITY_DN105698_c0_g1_i1	pet112	Chr01	46772336	46772336	1.17064701322927	0.293890134901225	-0.794103089246535	2.18301973567074	0.697996216308766	0.35952175219046	0.00629362689449365	1	0.712070865671537	0.0129348431438661
TRINITY_DN135460_c2_g3_i2	ednra	Chr01	48225092	48225092	3.94694433752623	0	-1.53348063014656	4.07536219828509	1	0.00723448515464601	0.000519829724463609	1	0.106130765041304	0.00133901567608362
TRINITY_DN131635_c0_g1_i2	usp38	Chr01	49976472	49976472	3.53074421311924	-0.19890841712271	1.26482718979418	2.27461468399896	0.708369027132128	0.0324372745412855	5.15828587821778e-05	1	0.232293018773832	0.000163621411876267
TRINITY_DN122980_c0_g2_i2	naa15	Chr01	51694092	51694092	5.43014363492727	-0.0895086246886418	0.705353345441869	2.22738800469909	0.836467007653069	0.272732063612945	2.23630365093857e-06	1	0.635367232791262	9.35007765788691e-06
TRINITY_DN125389_c0_g4_i1	LOC101733401-like	Chr01	58228452	58228452	2.92218351994599	-0.778454769522053	-0.629801620179332	-2.93310741257591	0.34723253883881	0.474775423862765	0.000807933053431578	1	0.790331170254331	0.00199829369393056
TRINITY_DN127850_c0_g1_i1	enpep	Chr01	58901065	58901065	1.68182901198708	1.22416547054389	1.36897140334216	-7.79612637568339	0.148546311288539	0.013434389464442	1.71728075532681e-23	1	0.150203418814154	5.2030899461788e-22
TRINITY_DN130872_c8_g5_i1	fabp2	Chr01	61428301	61428301	10.9907745176908	-0.0469946553376194	0.19961282517468	2.25639020582353	0.918683616372435	0.681987693725777	2.84643774318061e-06	1	0.906400263737602	1.16849874092576e-05
TRINITY_DN128935_c0_g2_i1	mad2l1	Chr01	61633139	61633139	2.8256603388618	-0.101142308232347	-2.49747433111706	1.92311134836129	0.826565437765761	0.00196068596954752	0.000605874677597004	1	0.0489807390999778	0.0015392878376532
TRINITY_DN96535_c0_g2_i1	ndnf	Chr01	62015214	62015214	2.88995318050175	-0.243272917124729	1.2331098877483	10.6583361333668	0.79797715956532	0.226629326837922	6.93122508859608e-12	1	0.585787495299671	6.26839028600597e-11
TRINITY_DN121138_c0_g1_i1	dapp1	Chr01	65208909	65208909	1.09179197474667	0.317708516550741	-1.42803182468939	-3.39608969900855	0.665178935169011	0.0824890173428824	4.62230326774726e-05	1	0.369648069888449	0.00014798080606704
TRINITY_DN128027_c3_g2_i2	LOC100487777	Chr01	65368064	65368064	0.96087033314256	0	0	3.99856088342152	1	1	6.97580400204224e-09	1	1	4.28600152260668e-08
TRINITY_DN115971_c0_g1_i1	LOC100487939	Chr01	65386604	65386604	2.04756943578831	-0.332665046442621	-0.498329222737217	2.25712784843618	0.393622059821678	0.324290064330514	1.14220636685224e-07	1	0.683725740993064	5.90414261290288e-07
TRINITY_DN131201_c5_g3_i7	pdlim5	Chr01	67033425	67033425	3.8343578871098	0.276654967860703	-0.438077598314085	-2.01945397676808	0.40755024563301	0.384180614867032	5.33146381205851e-09	1	0.723278947799139	3.32737262499268e-08
TRINITY_DN200018_c0_g1_i1	LOC100485437	Chr01	67211793	67211793	0.353882671159888	-4.50525745043272	-5.03820828940386	-6.872759179095	0.0028079306424136	0.0274806694770942	5.87767789002783e-05	0.152165481722873	0.214433704257895	0.000183796982370059
TRINITY_DN136208_c0_g1_i3	mmrn1	Chr01	68973451	68973451	3.65846885381163	-0.157054147658085	0.884137603108568	2.59089170866311	0.579047717136674	0.00269044330049965	2.23808586787839e-18	1	0.0588985980471465	4.11309428109755e-17
TRINITY_DN135835_c0_g1_i3	g3bp2	Chr01	70058310	70058310	5.5438016376167	0.236094701010888	0.403145799909497	-6.67453251850701	0.394714511602666	0.254127153034507	7.38382462748283e-87	1	0.61760747288914	7.64083852317022e-84
TRINITY_DN128559_c0_g1_i1	uso1-like	Chr01	70085904	70085904	3.72713775071431	0.0140146662034918	2.21287422299379	-2.69542352831144	0.975727929851842	0.00283150586441539	2.15008880339929e-07	1	0.0606059389674592	1.06593217717815e-06
TRINITY_DN112264_c1_g2_i1	sppl2b	Chr01	73880850	73880850	0.0640193318316867	0.861373110216479	0	9.36647542501273	0.415834654935721	1	4.25355232973648e-14	1	1	4.98006202922367e-13
TRINITY_DN118840_c0_g1_i1	dapk3	Chr01	74262644	74262644	-0.221569079139709	-0.584493174967886	0.0214805469430312	3.23470576012437	0.178320088267383	0.976530278082311	5.25633286194769e-09	1	1	3.28658228330705e-08
TRINITY_DN127647_c0_g1_i3	gamt	Chr01	80577632	80577632	9.82285096155588	-0.140673500613135	-0.120992545678616	3.37587835220919	0.686183595754151	0.743272893057151	8.81902223013459e-19	1	0.936874635747015	1.6972517389254e-17
TRINITY_DN126871_c1_g2_i4	med16	Chr01	81842115	81842115	2.88591505676129	-0.111647912138812	-0.359673994129021	2.44322685376587	0.739209218053342	0.339977739076166	2.1952158314034e-11	1	0.697907428663374	1.87916900871487e-10
TRINITY_DN123309_c0_g1_i3	pde4c-like	Chr01	84792338	84792338	4.51454421166026	-0.291081191550194	0.0378085514537741	-2.60212021213219	0.346796885922698	0.905416195702773	7.04438276987468e-16	1	0.997435350756229	9.92658165983022e-15
TRINITY_DN126761_c1_g1_i3	mpv17l2	Chr01	84893054	84893054	5.23702862767969	0.44509900670164	-0.349015392080629	2.04794561904151	0.37105413673451	0.509323154526465	6.94996186504003e-05	1	0.812386736574255	0.000214756774984383
TRINITY_DN128678_c1_g2_i1	c2cd4c	Chr01	86414425	86414425	3.8945843737056	0.0148398124200926	-2.46570537251173	4.85226904496062	0.969742306148557	0.000132900689419122	3.63689159232649e-06	1	0.00861612782848549	1.46392518985151e-05
TRINITY_DN125509_c2_g4_i13	cdc34	Chr01	86547485	86547485	4.23574735991261	-0.263679976725873	1.13828312812832	2.98146832217596	0.545946765595181	0.0143050702946348	8.65219034378413e-10	1	0.154880449206097	6.08912323305028e-09
TRINITY_DN119417_c0_g1_i1	kxd1	Chr01	87476847	87476847	3.48156748874979	-0.130957186026384	-0.32472441540547	-2.37583556843033	0.661413424126182	0.325605536831311	1.22619982392887e-14	1	0.684211679789097	1.52464052696317e-13
TRINITY_DN115530_c0_g1_i1	c19orf60-like	Chr01	87500770	87500770	3.0255061274794	0.0126306395490261	0.271462613308483	2.37100249512204	0.974666063024807	0.521883083538307	5.90490028563563e-08	1	0.819516200679618	3.18954712276705e-07
TRINITY_DN135859_c1_g2_i3	rasgef1b	Chr01	88441809	88441809	6.06846499893799	-0.152550502167207	-0.579413122782053	2.03752490758741	0.546624118938696	0.0348270908033662	1.21973856532156e-14	1	0.239831809077187	1.51860555761113e-13
TRINITY_DN116269_c0_g2_i1	slc26a1	Chr01	90427648	90427648	4.29969256755511	0.778940754840129	-7.12341849829151	5.3939162019724	0.219161984453959	5.17167350298091e-06	1.53735457578299e-12	1	0.000732336187356323	1.49593218305394e-11
TRINITY_DN115023_c0_g1_i1	mrpl1	Chr01	91224097	91224097	1.90114414825418	-1.26156935673927	-1.88421090409532	2.89196978173271	0.127043318517438	0.369490166681773	0.0278654558577536	1	0.713370849406646	0.0488799119737164
TRINITY_DN128634_c0_g1_i1	cds1	Chr01	92574911	92574911	6.97140139546121	0.0781755084368402	0.657096176025906	-2.38981871441	0.809684755176028	0.0539078392244312	2.02572260288802e-12	1	0.297454157133527	1.94580744843635e-11
TRINITY_DN117343_c0_g1_i1	foxe1	Chr01	95325677	95325677	4.43411131886059	0.0992201425943663	-0.665533084702504	-2.5341735539846	0.73401763218815	0.0399639591044102	8.61674825676828e-17	1	0.258904483434663	1.34865393745405e-15
TRINITY_DN125165_c0_g1_i3	ugcg	Chr01	95778004	95778004	6.10520837769088	0.231513374746528	-1.89558146209953	5.88988543981405	0.642634890670004	0.000679792944099211	1.74770828311538e-21	1	0.025473299667116	4.37414803322969e-20
TRINITY_DN127572_c4_g1_i1	hsdl2	Chr01	96084504	96084504	4.52974773814199	0.0134325833332084	-0.3346850693771	-2.36294794372484	0.957684973863587	0.226174010553197	4.51409830383228e-19	1	0.585320580850642	8.95002320299244e-18
TRINITY_DN16115_c0_g1_i1	kiaa1958	Chr01	96148157	96148157	0.173686308058214	-5.00289765333262	-2.5732097852326	-8.34170788243996	0.0015495232127976	0.155337577425741	8.48986744643439e-06	0.117285143604283	0.496241264895803	3.16414854753175e-05
TRINITY_DN126995_c0_g1_i1	LOC100493491-like	Chr01	96989398	96989398	2.87833579979022	0.272564151050468	-0.140807866379314	-2.05322818249131	0.525694532164468	0.719735434472703	3.3100121805277e-07	1	0.925633781138627	1.59712836651897e-06
TRINITY_DN122933_c2_g3_i2	dgkq	Chr01	98668745	98668745	4.8537951744387	-0.0698097516004544	0.117729898959767	3.0598054586368	0.840002839156453	0.757702605478111	1.5343046688044e-16	1	0.942356057892506	2.3454810860331e-15
TRINITY_DN122009_c0_g1_i1	LOC100492550	Chr01	98813361	98813361	5.17922265840739	-0.304556201511356	-2.10194377464827	-7.76998183354134	0.554288519160612	0.0175210461010619	7.4234368839968e-38	1	0.17191967372322	7.15869424243491e-36
TRINITY_DN131178_c0_g1_i2	nr2f6	Chr01	99514503	99514503	0.315456414364668	-0.194758244390705	-3.88154844088478	-7.45034036806691	0.724149084094731	0.0482503386887692	1.49098770623993e-13	1	0.280502014653625	1.63734792801573e-12
TRINITY_DN125571_c2_g3_i1	gdf1	Chr01	100408473	100408473	0.726215493452399	0.639099326992682	-0.92735203090713	2.99698414426966	0.310487373529706	0.264258747517495	2.95877692465664e-05	1	0.626223302131983	9.83882006647966e-05
TRINITY_DN126623_c3_g1_i2	gtpbp3-like	Chr01	101308420	101308420	4.81868833968728	0.205370235215885	0.252016709928596	2.97168709067921	0.526522701012527	0.465441833680342	2.36160634419752e-17	1	0.783259270641856	3.90152598824175e-16
TRINITY_DN76458_c0_g3_i1	Xetrov90001997m	Chr01	101423083	101423083	4.07106534243358	0.25883183709474	0.557173367441607	3.54447115956516	0.78282488826033	0.0942458644074728	1.47462075817153e-06	1	0.395459292246266	6.36117869145503e-06
TRINITY_DN123764_c1_g1_i1	yjefn3	Chr01	101461977	101461977	2.565377751864	-0.139130012719274	-0.715478725628615	2.02075912750974	0.643193407875807	0.0413591472342907	1.12900009494476e-09	1	0.263359125222654	7.78665664047394e-09
TRINITY_DN135160_c6_g1_i3	igfbpl1	Chr01	102887053	102887053	-0.152380659019385	-0.0578504065738692	0	-9.1187884066508	0.958285732676428	1	6.15645154723547e-17	1	1	9.80694664762405e-16
TRINITY_DN127583_c4_g8_i1	topors	Chr01	102938411	102938411	2.35984265140331	0.30209445479281	0.278076645748732	4.31387113514884	0.685333192358272	0.747580447245396	1.42040490759177e-05	1	0.938179327719019	5.05368871181654e-05
TRINITY_DN107915_c0_g1_i1	LOC100485344	Chr01	103155831	103155831	8.4729385168322	0.0392287388589486	-1.49334688918845	4.42989573052439	0.929649991376796	0.00235062636495921	5.59175146883786e-18	1	0.053870189394572	9.89776797822911e-17
TRINITY_DN132580_c2_g1_i1	adamtsl1	Chr01	106519021	106519021	1.1370280721989	-0.464424065789401	-0.864991805022691	-5.46039932477398	0.517740546759849	0.143813944955162	5.95573689665652e-19	1	0.479671346784357	1.16537528148759e-17
TRINITY_DN119857_c0_g1_i1	znf462-like	Chr01	108361163	108361163	3.45694573042536	-0.0675775761190622	1.07786495084171	-2.03384487743679	0.84040319740899	0.00199466317476079	1.7629358768078e-09	1	0.0494831988981842	1.18176153102668e-08
TRINITY_DN131158_c5_g2_i2	LOC100488523	Chr01	111913053	111913053	6.76697399531437	-0.0343873789687731	0.903691382475084	8.33186791059126	0.90135329380831	0.123279681709879	3.55233053540827e-100	1	0.448633031752873	1.19469316318949e-96
TRINITY_DN87262_c0_g1_i1	LOC100486127-like	Chr01	116814354	116814354	1.07953267070189	-5.6136471577183	-2.56846336189	-8.35393627780409	5.61875511007831e-05	0.0895822013706702	2.72446016520435e-07	0.0253398824112591	0.3851991922633	1.33348373194148e-06
TRINITY_DN118778_c1_g1_i12	mamdc2	Chr01	117467899	117467899	3.45764430822971	-4.97440827431843	-8.20475731217148	-8.28163483030361	0.00701852585826153	0.00212957787670599	0.000110206362912843	0.251777917622035	0.0503925178300568	0.000326337463589043
TRINITY_DN60755_c0_g1_i1	zfand5	Chr01	118277788	118277788	-0.254457703056138	-7.10092965979459	0	-7.87549688171227	0.000153131851525487	1	5.38742841096144e-05	0.0473057344589971	1	0.000169908289059802
TRINITY_DN14458_c0_g1_i1	rorb	Chr01	119060204	119060204	-0.189702368978029	-4.54713752294725	-4.00850484342417	-7.92627299034076	0.00403027926337518	0.0830064848001733	2.36226093280162e-05	0.181084811786832	0.37060894018398	8.01945695296574e-05
TRINITY_DN134558_c0_g3_i3	c9orf41	Chr01	119233708	119233708	4.19007088241528	0.184750914900882	-0.389641029593485	2.74740329473621	0.536568886841917	0.241474389893175	1.24300442017713e-17	1	0.603499189539206	2.1301295493545e-16
TRINITY_DN134415_c0_g1_i7	ubqln1	Chr01	121852146	121852146	6.66749597154349	-0.143715681783806	-0.637879329064198	5.6010307633175	0.627357207609775	0.314172124214835	1.76394331424604e-41	1	0.673852120695165	2.15722249408135e-39
TRINITY_DN63549_c0_g1_i1	isca1	Chr01	122707595	122707595	-0.0479513656732841	-5.17006275084719	-4.84217190143869	-8.22305307977531	0.00428488262593742	0.0476936795944646	6.80631367810399e-05	0.18679604647009	0.279116357872651	0.000210511403045623
TRINITY_DN134985_c2_g2_i1	ctsv	Chr01	123183730	123183730	5.12609270817345	0.254029711738666	0.734464346699348	-2.22900242255415	0.428706571536527	0.022173898637339	3.76816860673019e-12	1	0.193760553048914	3.50198882086617e-11
TRINITY_DN128830_c0_g4_i4	aaed1	Chr01	124125662	124125662	4.25046645588907	-0.0633973718301324	0.426363912293974	3.27219264214373	0.854686007315191	0.26442361293956	3.83483540582449e-17	1	0.626443517672029	6.22293405269649e-16
TRINITY_DN124935_c0_g1_i2	diras2	Chr01	126193162	126193162	1.45094047201655	-0.464478401244986	0.966134258191038	3.93729058269271	0.304699154795461	0.0396391379291187	1.38117495281399e-11	1	0.257670034658417	1.21201045180598e-10
TRINITY_DN136095_c5_g1_i1	auh	Chr01	126397660	126397660	1.60382648351634	-0.351374715362848	-1.12394957404359	-2.49752639518102	0.311889893493659	0.00510521646513246	3.86517493049134e-12	1	0.0872100628535802	3.58471325421818e-11
TRINITY_DN180006_c0_g1_i1	rec8	Chr01	127110813	127110813	1.21377146092528	-4.56882877369055	-6.15978170691031	-7.89784264844559	0.0135021056706439	0.0170670787674907	0.000251126983828004	0.392139775894035	0.169452388252214	0.00068965719096585
TRINITY_DN129581_c0_g1_i5	dcaf11	Chr01	127254242	127254242	5.29654009179511	-1.01245084434429	-0.481160703072386	-2.01097057903665	8.06420454866463e-05	0.078222964690288	7.1366180184297e-15	0.0314242279081619	0.360498263958924	9.10003354435313e-14
TRINITY_DN130669_c1_g2_i1	slc7a8	Chr01	127346709	127346709	3.08388335650558	0.59503743362941	-2.1613452653077	-2.60616431497708	0.185321251330015	0.076656625441173	5.96736238676604e-05	1	0.357629011183416	0.000186406461181865
TRINITY_DN78131_c0_g1_i1	twsg2	Chr01	127451015	127451015	0.868230248965228	-5.47090232349654	-5.97424087424483	-9.0356300180743	0.00284641208111776	0.0166121496019073	2.3533377977339e-05	0.152859714655635	0.167209085312127	7.99451432424628e-05
TRINITY_DN128831_c1_g1_i1	ap1g2	Chr01	127741260	127741260	1.46357880714174	0.0714495009488321	-2.41591423909321	2.7952794068411	0.840650188660877	0.00239256917232372	4.30703773802455e-11	1	0.0545526047299742	3.56556462589386e-10
TRINITY_DN126956_c1_g3_i1	rab2b	Chr01	129570029	129570029	3.47945251129009	-0.274614977566135	-0.256346655777091	2.39716015731245	0.31601417472619	0.530261006703284	3.12441804856755e-12	1	0.824308791592967	2.94233348255898e-11
TRINITY_DN132929_c7_g1_i4	LOC100497056-like	Chr01	130275419	130275419	2.16309828312338	0.00976568784201225	0	2.90685729580511	0.981899425764897	1	1.9637230926779e-05	1	1	6.77793070025644e-05
TRINITY_DN215212_c0_g1_i1	LOC100498627	Chr01	131257426	131257426	1.15025113580934	0.219135241510571	-0.799503475645265	-3.25422775589696	0.660131786367989	0.138781783534754	1.88291641843839e-10	1	0.473247640811476	1.44412389504233e-09
TRINITY_DN131607_c2_g2_i8	dtx1	Chr01	132610525	132610525	6.24321655971896	0.187475253722497	0.351849302708612	2.88386611865104	0.705652357014066	0.50191808917444	6.0517269243856e-08	1	0.808483876503521	3.26296017836863e-07
TRINITY_DN127583_c4_g3_i1	ddx54	Chr01	132712923	132712923	3.22219886185255	-0.0988320971175678	0.405115545155745	4.03431272593231	0.765891368046692	0.326894352800719	3.04854539581285e-13	1	0.685905878925453	3.23554689839624e-12
TRINITY_DN111958_c0_g1_i1	iscu	Chr01	132867555	132867555	1.32747704132502	0.750278592574832	1.24023671761137	-5.53210582670246	0.471111736947016	0.0221537887841351	2.18606022437154e-10	1	0.193699143110482	1.66193699736412e-09
TRINITY_DN116994_c0_g2_i1	tbx5	Chr01	133487176	133487176	2.9705049229609	-0.0826138730905703	2.20069622983596	4.00301123860791	0.808104966722967	0.0987902324903348	3.04513585313769e-16	1	0.403580705706098	4.46968795028202e-15
TRINITY_DN121907_c0_g1_i2	reep5	Chr01	134723110	134723110	0.311934181223809	-0.0108631229412631	-0.503855950084676	2.23151800376198	0.983140357825095	0.668327878480514	0.00470497767263455	1	0.899196684775269	0.00996986881013094
TRINITY_DN123649_c3_g2_i1	LOC100490743	Chr01	135139370	135139370	1.13607826544633	0.106618426425408	-1.84433815099284	2.60137386892829	0.79213167419612	0.366196523459039	0.00857689642511764	1	0.712070865671537	0.0170888371919663
TRINITY_DN134848_c3_g3_i1	c5orf30	Chr01	137228297	137228297	3.69988624926038	-0.0789854004855997	-0.76112833800969	-2.00380241357402	0.806637488383007	0.0248765240046499	1.42323772797731e-09	1	0.20528141110239	9.67708139277977e-09
TRINITY_DN128829_c4_g3_i3	pam-like	Chr01	137311916	137311916	10.1534652323651	-0.0381203481231418	0.123571992924817	2.38880918546392	0.921440476176392	0.762746588361385	4.27843007879874e-09	1	0.943717985440712	2.71168813357079e-08
TRINITY_DN133418_c0_g1_i1	mmab	Chr01	138372445	138372445	4.58735481627487	0.221164127955885	-0.0421283721225125	-2.38229314352105	0.444491912750807	0.875794017418629	4.52256524112809e-20	1	0.986735261249925	9.86058491187612e-19
TRINITY_DN124680_c0_g1_i1	fam222a	Chr01	138619037	138619037	-0.13338943359795	1.84940475350846	-0.768304899522971	-4.02655615021783	0.123843920653808	0.664907554079158	0.00138177203799292	1	0.897158362211622	0.00326310687985601
TRINITY_DN114728_c0_g1_i2	gltp	Chr01	138816845	138816845	0.911480634797392	0.329178190107092	-1.21711232244128	2.73482309245414	0.559682164335187	0.146537436971544	0.000226695286247056	1	0.483338205433296	0.000628787286234747
TRINITY_DN132581_c0_g1_i5	crybb3	Chr01	139272933	139272933	1.72790791260765	0.1131027612105	-2.12095166702922	-8.25509782352289	0.8864562095618	0.0952808793930978	9.00725312507137e-28	1	0.397385220907037	3.88365617516098e-26
TRINITY_DN120776_c1_g5_i4	ccdc64	Chr01	142899975	142899975	3.79995281032425	-0.140853091433287	-0.111729279496454	4.05322947076119	0.722571358595081	0.795286189705851	2.31830276422464e-18	1	0.956579064152537	4.24312488921524e-17
