Group	ID	BLAST	PERC	LENG	GAP1	GAP2	QS	QE	DBS	DBE	Evalue	score
Anno	TRINITY_DN150954_c0_g1_i1	AK122953.1	100	1660	0	0	1	1660	3319	1660	0	3066
Anno	TRINITY_DN208396_c0_g1_i1	BC104651.1	99.643	560	0	1	1	558	571	12	0	1022
Anno	TRINITY_DN211518_c0_g1_i1	BC007507.2	100	513	0	0	1	513	513	1	0	948
Anno	TRINITY_DN210238_c0_g1_i1	BC013401.2	100	1043	0	0	1	1043	1043	1	0	1927
Anno	TRINITY_DN208601_c0_g1_i1	NM_001568.2	100	1465	0	0	1	1465	1487	23	0	2706
Not_anno	TRINITY_DN98734_c0_g1_i1	XM_005245453.1	99.968	3106	1	0	1	3106	4942	1837	0	5731
Not_anno	TRINITY_DN94446_c0_g1_i1	NM_001330262.1	99.842	1269	2	0	1	1269	1483	215	0	2333
Not_anno	TRINITY_DN94495_c0_g2_i1	BC017899.1	99.875	801	0	1	1	800	803	3	0	1472
Not_anno	TRINITY_DN69444_c0_g3_i1	NM_020151.3	100	1578	0	0	5	1582	2081	504	0	2915
Not_anno	TRINITY_DN75393_c0_g2_i1	NM_004902.3	100	1885	0	0	1	1885	2224	340	0	3482
Not_anno	TRINITY_DN84079_c0_g1_i1	NM_016292.2	100	916	0	0	1	916	971	56	0	1692
Not_anno	TRINITY_DN84079_c0_g2_i1	XM_011522345.1	100	1107	0	0	1	1107	1958	852	0	2045
Not_anno	TRINITY_DN53926_c0_g1_i1	NM_006886.3	100	390	0	0	1	390	421	32	0	721
Not_anno	TRINITY_DN43967_c0_g1_i1	NM_006807.4	99.869	761	1	0	1	761	2269	1509	0	1400
Not_anno	TRINITY_DN86144_c0_g3_i1	KJ892589.1	100	1284	0	0	1	1284	1452	169	0	2372
Not_anno	TRINITY_DN86179_c0_g2_i1	NM_001270643.1	100	1295	0	0	1	1295	2323	1029	0	2392
Not_anno	TRINITY_DN87466_c0_g3_i1	NR_048541.1	100	1175	0	0	1	1175	2088	914	0	2170
Not_anno	TRINITY_DN89640_c0_g4_i1	KJ905745.1	99.865	743	1	0	1	743	961	219	0	1367
Not_anno	TRINITY_DN81157_c0_g1_i1	NM_005826.4	99.869	1526	0	1	1	1524	1616	91	0	2806
Not_anno	TRINITY_DN81157_c0_g2_i1	NM_001102397.2	100	1360	0	0	1	1360	1450	91	0	2512
Not_anno	TRINITY_DN97107_c0_g1_i1	NM_001305105.1	100	1329	0	0	1	1329	1633	305	0	2455
Not_anno	TRINITY_DN62649_c0_g1_i1	NM_004583.3	100	1001	0	0	1	1001	1076	76	0	1849
Not_anno	TRINITY_DN90765_c0_g4_i1	XM_011531131.1	100	1144	0	0	1	1144	6763	5620	0	2113
Not_anno	TRINITY_DN3685_c0_g2_i1	NM_006265.2	100	1477	0	0	1	1477	3407	1931	0	2728
Not_anno	TRINITY_DN3654_c0_g1_i1	NM_002902.2	99.911	1129	1	0	1	1129	1281	153	0	2080
Not_anno	TRINITY_DN82005_c0_g1_i1	AK000775.1	100	776	0	0	1	776	1038	263	0	1434
Not_anno	TRINITY_DN51110_c0_g1_i1	NM_001242824.1	100	1202	0	0	1	1202	1352	151	0	2220
Not_anno	TRINITY_DN96371_c0_g1_i1	XM_006717500.1	100	1740	0	0	1	1740	3091	1352	0	3214
Not_anno	TRINITY_DN47219_c0_g1_i1	XM_019025244.1	99.275	1930	10	3	1	1929	1927	1	0	3483
Not_anno	TRINITY_DN6817_c0_g1_i1	NM_177983.2	100	1303	0	0	1	1303	1530	228	0	2407
Not_anno	TRINITY_DN25808_c0_g1_i1	NM_001278709.1	100	2273	0	0	3	2275	2617	345	0	4198
Not_anno	TRINITY_DN92844_c0_g1_i1	NM_004396.4	100	2295	0	0	2	2296	2512	218	0	4239
Not_anno	TRINITY_DN27175_c0_g1_i1	NM_001313950.1	100	784	0	0	1	784	888	105	0	1448
Not_anno	TRINITY_DN95569_c0_g3_i1	AK312318.1	100	1534	0	0	1	1534	1989	456	0	2833
Not_anno	TRINITY_DN67985_c0_g1_i1	AK123588.1	99.674	919	3	0	1	919	3251	2333	0	1681
Not_anno	TRINITY_DN70062_c0_g1_i1	XM_011536381.2	100	937	0	0	4	940	4390	3454	0	1731
Not_anno	TRINITY_DN70062_c0_g2_i1	NM_007192.3	100	926	0	0	1	926	1407	482	0	1711
Not_anno	TRINITY_DN40286_c0_g1_i1	NM_005998.4	99.95	1988	1	0	4	1991	2104	117	0	3666
Not_anno	TRINITY_DN70632_c0_g1_i1	NR_033465.1	99.861	1443	2	0	1	1443	1493	51	0	2654
Not_anno	TRINITY_DN92311_c0_g1_i1	XM_017002990.1	100	2349	0	0	1	2349	2628	280	0	4338
Not_anno	TRINITY_DN49604_c0_g1_i1	LK938580.1	98.566	279	4	0	41	319	355	77	6.74E-136	494
Not_anno	TRINITY_DN86407_c0_g2_i1	BC106044.1	100	973	0	0	1	973	1857	885	0	1797
Not_anno	TRINITY_DN80960_c0_g1_i1	NM_030752.2	100	1936	0	0	1	1936	1986	51	0	3576
Not_anno	TRINITY_DN71911_c0_g2_i1	NM_001198557.1	100	1131	0	0	1	1131	1269	139	0	2089
Not_anno	TRINITY_DN37939_c0_g1_i1	NM_016404.2	99.813	534	1	0	2	535	1066	533	0	981
Not_anno	TRINITY_DN48431_c0_g2_i1	NM_005022.3	100	768	0	0	1	768	1325	558	0	1419
Not_anno	TRINITY_DN23543_c0_g1_i1	S62138.1	99.871	776	1	0	1	776	788	13	0	1428
Not_anno	TRINITY_DN74815_c0_g1_i1	NM_014740.3	99.925	1342	1	0	1	1342	1652	311	0	2473
Not_anno	TRINITY_DN87588_c0_g1_i1	NM_184041.2	100	1476	0	0	1	1476	1571	96	0	2726
Not_anno	TRINITY_DN51776_c0_g2_i1	XM_017001059.1	100	1057	0	0	1	1057	1604	548	0	1953
Not_anno	TRINITY_DN18653_c0_g1_i1	AK311744.1	100	581	0	0	1	581	604	24	0	1074
Not_anno	TRINITY_DN83668_c0_g2_i1	NM_006445.3	100	3719	0	0	1	3719	7261	3543	0	6868
Not_anno	TRINITY_DN22226_c0_g1_i1	NM_006793.4	99.929	1402	1	0	2	1403	1454	53	0	2584
Not_anno	TRINITY_DN22248_c0_g1_i1	BC082228.1	100	979	0	0	1	979	979	1	0	1808
Not_anno	TRINITY_DN60538_c0_g1_i1	NM_000998.4	100	385	0	0	1	385	428	44	0	712
Not_anno	TRINITY_DN60554_c0_g1_i1	NM_014502.4	100	1443	0	0	1	1443	1467	25	0	2665
Not_anno	TRINITY_DN71471_c0_g1_i1	XM_017023217.1	100	1340	0	0	1	1340	2062	723	0	2475
Not_anno	TRINITY_DN67443_c0_g2_i1	AK026568.1	99.881	840	1	0	1	840	862	23	0	1546
Not_anno	TRINITY_DN43474_c0_g1_i1	NM_003129.3	100	2205	0	0	1	2205	2778	574	0	4072
Not_anno	TRINITY_DN57438_c0_g2_i1	KJ892151.1	99.904	1043	1	0	1	1043	1531	489	0	1921
Not_anno	TRINITY_DN70190_c0_g1_i1	XM_011526888.2	100	764	0	0	5	768	1792	1029	0	1411
Not_anno	TRINITY_DN21835_c0_g1_i1	BC106030.1	99.867	751	1	0	1	751	754	4	0	1382
Not_anno	TRINITY_DN69098_c0_g1_i2	XM_016933994.1	98.78	492	4	1	11	500	749	258	0	874
Not_anno	TRINITY_DN69080_c0_g3_i1	NM_004089.3	100	1623	0	0	1	1623	1934	312	0	2998
Not_anno	TRINITY_DN93523_c0_g1_i1	AB384460.1	99.971	3482	1	0	1	3482	7805	4324	0	6425
Not_anno	TRINITY_DN93523_c0_g4_i1	XR_001751885.1	99.725	1819	2	1	1548	3366	2521	706	0	3328
Not_anno	TRINITY_DN49030_c0_g2_i1	KJ892854.1	100	1096	0	0	1	1096	2997	1902	0	2025
Not_anno	TRINITY_DN92445_c0_g1_i1	BC001618.1	99.889	898	1	0	1	898	1770	873	0	1653
Not_anno	TRINITY_DN27477_c0_g1_i1	NM_000884.2	100	1601	0	0	1	1601	1652	52	0	2957
Not_anno	TRINITY_DN82615_c0_g2_i1	NM_003315.3	99.939	1649	1	0	1	1649	1900	252	0	3040
Not_anno	TRINITY_DN72348_c0_g1_i1	NG_029923.1	99.894	944	1	0	5	948	7939	6996	0	1738
Not_anno	TRINITY_DN82951_c0_g1_i1	NM_002882.3	100	864	0	0	14	877	963	100	0	1596
Not_anno	TRINITY_DN79620_c0_g1_i1	NM_006461.3	100	1576	0	0	1	1576	2801	1226	0	2911
Not_anno	TRINITY_DN80694_c0_g2_i1	XM_017005293.1	100	909	0	0	1	909	6104	5196	0	1679
Not_anno	TRINITY_DN48230_c0_g1_i1	BC007840.2	100	883	0	0	1	883	1021	139	0	1631
Not_anno	TRINITY_DN87262_c0_g1_i1	NM_005313.4	100	1842	0	0	1	1842	1898	57	0	3402
Not_anno	TRINITY_DN95786_c0_g1_i1	BC037553.1	99.963	2729	1	0	1	2729	2977	249	0	5035
Not_anno	TRINITY_DN95736_c0_g1_i1	BC016753.2	100	2560	0	0	1	2560	2568	9	0	4728
Not_anno	TRINITY_DN68913_c0_g2_i1	AK291085.1	100	1745	0	0	1	1745	1753	9	0	3223
Not_anno	TRINITY_DN78958_c0_g2_i1	BC000409.2	100	1082	0	0	1	1082	1361	280	0	1999
Not_anno	TRINITY_DN63549_c0_g1_i1	XM_017002651.1	99.929	1406	1	0	1	1406	2482	1077	0	2591
Not_anno	TRINITY_DN17648_c0_g1_i1	NM_006010.5	100	782	0	0	2	783	892	111	0	1445
Not_anno	TRINITY_DN92118_c0_g1_i1	NM_001895.3	100	1301	0	0	10	1310	1645	345	0	2403
Not_anno	TRINITY_DN92176_c0_g1_i1	NM_016016.3	99.936	1559	1	0	1	1559	1582	24	0	2874
Not_anno	TRINITY_DN4371_c0_g1_i1	NM_005381.2	100	2566	0	0	1	2566	2577	12	0	4739
Not_anno	TRINITY_DN24171_c0_g2_i1	NM_004800.2	99.818	1096	2	0	1	1096	1573	478	0	2013
Not_anno	TRINITY_DN62559_c0_g1_i1	NM_004597.6	100	497	0	0	8	504	705	209	0	918
Not_anno	TRINITY_DN14346_c0_g1_i1	XM_011518944.2	100	1134	0	0	2	1135	2208	1075	0	2095
Not_anno	TRINITY_DN27202_c0_g1_i1	NM_032353.3	100	816	0	0	1	816	1032	217	0	1507
Not_anno	TRINITY_DN76558_c0_g2_i1	AB384219.1	99.917	1212	1	0	1	1212	1493	282	0	2233
Not_anno	TRINITY_DN24786_c0_g1_i1	NM_004046.5	100	1841	0	0	1	1841	1916	76	0	3400
Not_anno	TRINITY_DN95804_c0_g3_i1	KJ534859.1	100	1140	0	0	1	1140	1848	709	0	2106
Not_anno	TRINITY_DN95869_c0_g4_i1	XM_005257163.1	99.78	1363	3	0	1	1363	2112	750	0	2501
Not_anno	TRINITY_DN52355_c0_g2_i1	BC002559.2	99.911	1126	1	0	1	1126	2288	1163	0	2074
Not_anno	TRINITY_DN52365_c0_g2_i1	NM_002797.4	100	766	0	0	1	766	1032	267	0	1415
Not_anno	TRINITY_DN22653_c0_g1_i1	XM_011544282.2	100	1175	0	0	1	1175	1529	355	0	2170
Not_anno	TRINITY_DN67046_c0_g1_i1	XM_004028691.2	100	679	0	0	1	679	3591	2913	0	1254
Not_anno	TRINITY_DN93406_c0_g1_i1	BC000931.3	100	1092	0	0	1	1092	1117	26	0	2017
Not_anno	TRINITY_DN85591_c0_g2_i1	AK304578.1	100	1764	0	0	1	1764	2086	323	0	3258
Not_anno	TRINITY_DN99435_c0_g2_i1	XM_017027167.1	100	1798	0	0	1	1798	5486	3689	0	3321
Not_anno	TRINITY_DN36345_c0_g2_i1	NM_001277224.1	100	1098	0	0	1	1098	1509	412	0	2028
Not_anno	TRINITY_DN36309_c0_g1_i1	NM_001011.3	100	715	0	0	1	715	738	24	0	1321
Not_anno	TRINITY_DN89521_c0_g3_i1	AC270843.1	100	1014	0	0	1	1014	142271	143284	0	1873
Not_anno	TRINITY_DN48876_c0_g1_i1	BC008090.1	99.928	1397	0	1	1	1397	1396	1	0	2573
Not_anno	TRINITY_DN48830_c0_g1_i1	KJ898069.1	100	1097	0	0	1	1097	1312	216	0	2026
Not_anno	TRINITY_DN48825_c0_g1_i1	NM_001265612.1	100	707	0	0	2	708	7431	6725	0	1306
Not_anno	TRINITY_DN48812_c0_g1_i1	AK025459.1	100	2732	0	0	1	2732	2779	48	0	5046
Not_anno	TRINITY_DN89858_c0_g1_i1	NM_006791.3	100	1615	0	0	3	1617	1801	187	0	2983
Not_anno	TRINITY_DN89839_c0_g2_i1	NM_007126.3	100	1379	0	0	1	1379	1671	293	0	2547
Not_anno	TRINITY_DN70382_c0_g1_i1	NM_018206.5	100	1385	0	0	1	1385	2738	1354	0	2558
Not_anno	TRINITY_DN95496_c0_g1_i1	BC001950.1	100	2081	0	0	1	2081	2457	377	0	3843
Not_anno	TRINITY_DN72056_c0_g2_i1	NM_001329225.1	100	794	0	0	1	794	3837	3044	0	1467
Not_anno	TRINITY_DN72009_c0_g1_i1	XM_011524985.2	100	829	0	0	1	829	1385	557	0	1531
Not_anno	TRINITY_DN22109_c0_g1_i1	NM_021939.3	100	1683	0	0	1	1683	2782	1100	0	3109
Not_anno	TRINITY_DN4928_c0_g1_i1	NM_004699.3	100	1180	0	0	1	1180	1289	110	0	2180
Not_anno	TRINITY_DN4981_c0_g1_i1	XM_011544185.2	100	1524	0	0	1	1524	2640	1117	0	2815
Not_anno	TRINITY_DN14043_c0_g1_i1	NM_002819.4	99.875	3194	4	0	1	3194	3227	34	0	5877
Not_anno	TRINITY_DN44553_c0_g1_i1	NM_005891.2	99.928	1397	1	0	1	1397	1500	104	0	2575
Not_anno	TRINITY_DN4068_c0_g1_i1	XM_011509923.2	100	1045	0	0	1	1045	1120	76	0	1930
Not_anno	TRINITY_DN1111_c0_g2_i1	BC107889.1	100	445	0	0	1	445	462	18	0	822
Not_anno	TRINITY_DN1138_c0_g1_i1	X74870.1	98.87	531	6	0	1	531	3891	3361	0	948
Not_anno	TRINITY_DN85368_c0_g3_i1	AH001410.2	100	974	0	0	1	974	3526	2553	0	1799
Not_anno	TRINITY_DN85353_c0_g1_i1	NG_029665.1	100	1435	0	0	1	1435	13067	14501	0	2651
Not_anno	TRINITY_DN5080_c0_g2_i1	NM_001641.3	100	1360	0	0	1	1360	1478	119	0	2512
Not_anno	TRINITY_DN72121_c0_g2_i1	BC011852.2	100	832	0	0	1	832	840	9	0	1537
Not_anno	TRINITY_DN8371_c0_g1_i1	NM_004255.3	100	722	0	0	1	722	774	53	0	1334
Not_anno	TRINITY_DN63671_c0_g2_i1	XM_019030353.1	99.713	1045	3	0	8	1052	1063	19	0	1914
Not_anno	TRINITY_DN36107_c0_g1_i1	NM_001242893.1	100	600	0	0	1	600	3677	3078	0	1109
Not_anno	TRINITY_DN89760_c0_g2_i1	XM_017003603.1	100	1153	0	0	1	1153	4713	3561	0	2130
Not_anno	TRINITY_DN89760_c0_g3_i1	BC065924.1	99.83	1179	2	0	1	1179	5136	3958	0	2167
Not_anno	TRINITY_DN60732_c0_g1_i1	AK307612.1	100	1674	0	0	1	1674	4909	3236	0	3092
Not_anno	TRINITY_DN60755_c0_g1_i1	NM_001032283.2	100	1710	0	0	1	1710	1743	34	0	3158
Not_anno	TRINITY_DN23199_c0_g2_i1	NM_032860.4	99.923	1306	1	0	1	1306	1793	488	0	2407
Not_anno	TRINITY_DN93014_c0_g1_i1	NM_017758.3	99.928	1394	1	0	1	1394	2438	1045	0	2569
Not_anno	TRINITY_DN66342_c0_g1_i1	NM_013336.3	100	2494	0	0	1	2494	3644	1151	0	4606
Not_anno	TRINITY_DN73931_c0_g1_i1	X03473.1	99.916	1192	0	1	1	1192	1265	75	0	2194
Not_anno	TRINITY_DN73931_c0_g2_i1	BC029046.1	100	855	0	0	1	855	2021	1167	0	1580
Not_anno	TRINITY_DN3461_c0_g2_i1	D13641.1	99.848	1318	1	1	1	1318	2187	871	0	2422
Not_anno	TRINITY_DN1399_c0_g1_i1	NM_004939.2	100	1745	0	0	1	1745	2521	777	0	3223
Not_anno	TRINITY_DN53044_c0_g2_i1	NM_003286.3	100	1404	0	0	1	1404	2923	1520	0	2593
Not_anno	TRINITY_DN2064_c0_g1_i1	NM_000269.2	100	735	0	0	1	735	755	21	0	1358
Not_anno	TRINITY_DN85867_c0_g2_i1	XR_001742079.1	100	1217	0	0	1	1217	1428	212	0	2248
Not_anno	TRINITY_DN45308_c0_g2_i1	BC003153.1	100	1928	0	0	1	1928	2282	355	0	3561
Not_anno	TRINITY_DN45316_c0_g1_i1	NM_001212.3	100	1097	0	0	1	1097	1097	1	0	2026
Not_anno	TRINITY_DN63161_c0_g2_i1	NM_080594.3	99.887	1770	2	0	2	1771	2072	303	0	3258
Not_anno	TRINITY_DN86748_c0_g1_i1	L76191.1	99.878	819	1	0	1	819	2343	1525	0	1507
Not_anno	TRINITY_DN86748_c0_g2_i1	AF346607.1	99.908	1086	1	0	1	1086	1376	291	0	2001
Not_anno	TRINITY_DN66610_c0_g1_i1	NM_002635.3	100	1323	0	0	1	1323	1392	70	0	2444
Not_anno	TRINITY_DN89432_c0_g2_i1	AB527671.1	100	1223	0	0	1	1223	1759	537	0	2259
Not_anno	TRINITY_DN60342_c0_g1_i1	BC028040.1	99.922	1286	0	1	5	1289	1471	186	0	2368
Not_anno	TRINITY_DN96100_c0_g1_i2	NM_024017.4	99.901	2017	2	0	1	2017	2593	577	0	3714
Not_anno	TRINITY_DN96187_c0_g1_i1	XM_005262220.2	100	988	0	0	1	988	6476	5489	0	1825
Not_anno	TRINITY_DN96187_c0_g2_i1	XM_005262220.2	100	4122	0	0	1	4122	4382	261	0	7613
Not_anno	TRINITY_DN79429_c0_g1_i1	AK225621.1	100	1309	0	0	1	1309	1320	12	0	2418
Not_anno	TRINITY_DN98656_c0_g5_i1	XM_006711112.2	100	1806	0	0	1	1806	3304	1499	0	3336
Not_anno	TRINITY_DN67759_c0_g1_i1	NM_003091.3	100	1079	0	0	1	1079	1142	64	0	1993
Not_anno	TRINITY_DN72783_c1_g1_i1	NM_002107.4	98.387	310	4	1	1	309	863	554	6.37E-151	544
Not_anno	TRINITY_DN8819_c0_g1_i1	NM_001007793.2	99.907	1075	1	0	1	1075	1239	165	0	1980
Not_anno	TRINITY_DN72425_c0_g3_i1	NM_001183.5	99.926	1344	1	0	1	1344	1488	145	0	2477
Not_anno	TRINITY_DN10390_c0_g1_i1	NM_006431.2	100	1896	0	0	1	1896	1921	26	0	3502
Not_anno	TRINITY_DN63440_c0_g2_i1	XM_004043658.2	100	800	0	0	1	800	5716	4917	0	1478
Not_anno	TRINITY_DN71792_c0_g2_i1	XM_005254052.3	100	1325	0	0	1	1325	3744	2420	0	2447
Not_anno	TRINITY_DN79280_c0_g2_i1	NM_001128619.2	100	911	0	0	1	911	1063	153	0	1683
Not_anno	TRINITY_DN63971_c0_g2_i1	HM005443.1	100	881	0	0	1	881	917	37	0	1628
Not_anno	TRINITY_DN3597_c0_g2_i1	NM_006191.2	100	1602	0	0	1	1602	2075	474	0	2959
Not_anno	TRINITY_DN3527_c0_g1_i1	KF429754.1	100	628	0	0	412	1039	1108	481	0	1160
Not_anno	TRINITY_DN44752_c0_g1_i1	XM_005272676.4	100	862	0	0	3	864	7236	6375	0	1592
Not_anno	TRINITY_DN6180_c0_g1_i1	BC017369.2	100	1062	0	0	1	1062	1062	1	0	1962
Not_anno	TRINITY_DN94777_c0_g1_i1	NM_001009.3	100	738	0	0	1	738	750	13	0	1363
Not_anno	TRINITY_DN49929_c0_g3_i1	NM_206917.2	100	750	0	0	1	750	921	172	0	1386
Not_anno	TRINITY_DN64754_c0_g2_i1	BC011262.1	100	1848	0	0	1	1848	1904	57	0	3413
Not_anno	TRINITY_DN83532_c0_g1_i1	XM_017024286.1	100	1218	0	0	1	1218	3355	2138	0	2250
Not_anno	TRINITY_DN83284_c0_g2_i1	XM_011527910.2	100	739	0	0	1	739	1358	620	0	1365
Not_anno	TRINITY_DN10241_c0_g1_i1	NM_020357.2	100	765	0	0	1	765	861	97	0	1413
Not_anno	TRINITY_DN97305_c0_g4_i1	NM_001330474.1	99.913	1151	1	0	2	1152	1689	539	0	2121
Not_anno	TRINITY_DN68303_c0_g2_i1	NM_001330990.1	100	908	0	0	45	952	3134	2227	0	1677
Not_anno	TRINITY_DN68340_c0_g1_i1	NM_004261.4	100	1144	0	0	1	1144	1296	153	0	2113
Not_anno	TRINITY_DN85972_c0_g1_i1	BC007585.1	100	2619	0	0	1	2619	2697	79	0	4837
Not_anno	TRINITY_DN78131_c0_g1_i1	NM_005916.4	100	2391	0	0	1	2391	2943	553	0	4416
Not_anno	TRINITY_DN52713_c0_g1_i1	NM_002798.2	100	800	0	0	1	800	840	41	0	1478
Not_anno	TRINITY_DN80769_c0_g1_i1	XM_005257012.3	100	1218	0	0	1	1218	2808	1591	0	2250
Not_anno	TRINITY_DN80733_c0_g1_i1	XM_017009284.1	100	1101	0	0	1	1101	2788	1688	0	2034
Not_anno	TRINITY_DN88902_c0_g3_i1	NM_199250.2	100	1024	0	0	1	1024	1301	278	0	1892
Not_anno	TRINITY_DN79105_c0_g1_i1	XM_005258072.2	98.575	421	5	1	1	420	2687	2267	0	743
Not_anno	TRINITY_DN89387_c0_g2_i1	NM_004494.2	99.914	1157	1	0	1	1157	1521	365	0	2132
Not_anno	TRINITY_DN92753_c0_g1_i1	NM_001142423.1	99.875	1598	1	1	1	1597	1726	129	0	2939
Not_anno	TRINITY_DN76273_c0_g2_i1	KJ893981.1	100	1170	0	0	1	1170	1542	373	0	2161
Not_anno	TRINITY_DN72837_c0_g1_i1	BC002781.2	100	753	0	0	1	753	2149	1397	0	1391
Not_anno	TRINITY_DN21681_c0_g1_i1	NM_001128916.1	99.776	1337	2	1	1	1337	1363	28	0	2451
Not_anno	TRINITY_DN61935_c0_g1_i1	NM_005722.3	99.76	834	2	0	1	834	3435	2602	0	1530
