G23,G27,G31,G43,G46
,,,TRINITY_DN108164_c1_g2_i1,TRINITY_DN110948_c0_g1_i2
,,,TRINITY_DN108177_c0_g1_i1,TRINITY_DN110974_c0_g1_i2
,,,TRINITY_DN108205_c0_g1_i1,TRINITY_DN110995_c0_g1_i1
,,,TRINITY_DN108234_c0_g1_i1,TRINITY_DN111018_c0_g1_i2
,,,TRINITY_DN108234_c0_g2_i2,TRINITY_DN111024_c0_g1_i1
,,,TRINITY_DN108340_c1_g1_i1,TRINITY_DN111029_c0_g1_i1
,,,TRINITY_DN108378_c0_g3_i1,TRINITY_DN111074_c0_g1_i3
,,,TRINITY_DN108428_c0_g2_i3,TRINITY_DN111106_c0_g1_i1
,,,TRINITY_DN108504_c0_g2_i1,TRINITY_DN111121_c0_g2_i1
,,,TRINITY_DN108504_c0_g3_i1,TRINITY_DN111144_c0_g1_i1
,,,TRINITY_DN108621_c0_g1_i1,TRINITY_DN111149_c0_g1_i1
,,,TRINITY_DN108733_c0_g2_i1,TRINITY_DN111150_c0_g1_i4
,,,TRINITY_DN108793_c0_g1_i1,TRINITY_DN111169_c0_g1_i1
,,,TRINITY_DN108851_c1_g2_i1,TRINITY_DN111200_c0_g1_i2
,,,TRINITY_DN108944_c0_g1_i1,TRINITY_DN111202_c0_g1_i2
,,,TRINITY_DN108946_c0_g3_i2,TRINITY_DN111206_c0_g1_i3
,,,TRINITY_DN109029_c0_g1_i1,TRINITY_DN111223_c1_g1_i2
,,,TRINITY_DN109307_c0_g1_i1,TRINITY_DN111237_c0_g1_i1
,,,TRINITY_DN109327_c1_g2_i1,TRINITY_DN111244_c0_g1_i1
,,,TRINITY_DN109342_c0_g1_i1,TRINITY_DN111260_c0_g1_i3
,,,TRINITY_DN109355_c0_g1_i1,TRINITY_DN111274_c0_g1_i1
,,,TRINITY_DN109393_c0_g1_i1,TRINITY_DN111286_c0_g1_i4
,,,TRINITY_DN109487_c0_g1_i1,TRINITY_DN111299_c0_g1_i2
,,,TRINITY_DN109646_c0_g4_i1,TRINITY_DN111327_c0_g1_i2
,,,TRINITY_DN109738_c0_g1_i1,TRINITY_DN111340_c0_g1_i2
,,,TRINITY_DN109840_c0_g1_i2,TRINITY_DN111363_c0_g1_i1
,,,TRINITY_DN109844_c0_g1_i2,TRINITY_DN111392_c0_g1_i2
,,,TRINITY_DN109847_c0_g3_i2,TRINITY_DN111408_c0_g1_i2
,,,TRINITY_DN109908_c0_g1_i1,TRINITY_DN111435_c0_g1_i1
,,,TRINITY_DN109911_c0_g1_i1,TRINITY_DN111461_c0_g1_i2
,,,TRINITY_DN109912_c0_g2_i1,TRINITY_DN111467_c0_g1_i1
,,,TRINITY_DN109926_c0_g2_i1,TRINITY_DN111475_c0_g1_i1
,,,TRINITY_DN109926_c0_g3_i1,TRINITY_DN111544_c0_g1_i3
,,,TRINITY_DN109927_c1_g1_i1,TRINITY_DN111554_c0_g1_i3
,,,TRINITY_DN109967_c1_g5_i1,TRINITY_DN111557_c0_g1_i1
,,,TRINITY_DN109993_c0_g2_i1,TRINITY_DN111560_c1_g3_i1
,,,TRINITY_DN109999_c0_g1_i1,TRINITY_DN111603_c0_g1_i3
,,,TRINITY_DN110005_c1_g1_i3,TRINITY_DN111613_c0_g1_i1
,,,TRINITY_DN110066_c2_g3_i1,TRINITY_DN111616_c0_g1_i1
,,,TRINITY_DN110070_c0_g3_i1,TRINITY_DN111619_c0_g1_i3
,,,TRINITY_DN110128_c0_g1_i1,TRINITY_DN111621_c0_g1_i2
,,,TRINITY_DN110133_c0_g1_i3,TRINITY_DN111627_c0_g1_i4
,,,TRINITY_DN110133_c0_g3_i1,TRINITY_DN111664_c0_g1_i1
,,,TRINITY_DN110157_c0_g1_i1,TRINITY_DN111680_c0_g1_i1
,,,TRINITY_DN110160_c0_g1_i1,TRINITY_DN111682_c0_g2_i1
,,,TRINITY_DN110169_c0_g1_i1,TRINITY_DN111694_c0_g1_i1
,,,TRINITY_DN110292_c0_g1_i2,TRINITY_DN111714_c0_g1_i1
,,,TRINITY_DN110293_c0_g1_i1,TRINITY_DN111719_c0_g1_i1
,,,TRINITY_DN110394_c0_g1_i2,TRINITY_DN111731_c0_g1_i3
,,,TRINITY_DN110459_c0_g1_i2,TRINITY_DN111734_c0_g1_i1
,,,TRINITY_DN110468_c0_g1_i1,TRINITY_DN111758_c0_g1_i1
,,,TRINITY_DN110499_c0_g1_i1,TRINITY_DN111760_c0_g1_i1
,,,TRINITY_DN110529_c0_g1_i3,TRINITY_DN111799_c0_g1_i2
,,,TRINITY_DN110564_c1_g1_i1,TRINITY_DN111848_c0_g1_i1
,,,TRINITY_DN110656_c0_g1_i1,TRINITY_DN111863_c0_g1_i2
,,,TRINITY_DN110685_c0_g1_i2,TRINITY_DN111876_c0_g1_i1
,,,TRINITY_DN110725_c0_g1_i1,TRINITY_DN111890_c0_g1_i1
,,,TRINITY_DN110802_c0_g1_i1,TRINITY_DN111902_c0_g1_i1
,,,TRINITY_DN110818_c0_g2_i1,TRINITY_DN111902_c0_g2_i2
,,,TRINITY_DN110921_c0_g1_i2,TRINITY_DN111945_c0_g1_i1
,,,TRINITY_DN110933_c0_g1_i1,TRINITY_DN111961_c0_g1_i1
,,,TRINITY_DN110991_c0_g1_i1,TRINITY_DN111974_c0_g1_i2
,,,TRINITY_DN111029_c0_g1_i1,TRINITY_DN111977_c0_g1_i1
,,,TRINITY_DN111099_c0_g2_i1,TRINITY_DN111985_c0_g1_i1
,,,TRINITY_DN111129_c0_g3_i3,TRINITY_DN111999_c0_g1_i1
,,,TRINITY_DN111144_c0_g1_i1,TRINITY_DN112019_c0_g1_i2
,,,TRINITY_DN111180_c0_g1_i1,TRINITY_DN112031_c0_g1_i1
,,,TRINITY_DN111180_c0_g2_i1,TRINITY_DN112045_c0_g1_i2
,,,TRINITY_DN111199_c0_g2_i3,TRINITY_DN112050_c0_g1_i4
,,,TRINITY_DN111202_c0_g1_i2,TRINITY_DN112073_c0_g1_i1
,,,TRINITY_DN111216_c0_g2_i1,TRINITY_DN112074_c0_g1_i1
,,,TRINITY_DN111216_c0_g3_i1,TRINITY_DN112078_c0_g1_i1
,,,TRINITY_DN111233_c0_g6_i1,TRINITY_DN112094_c0_g1_i1
,,,TRINITY_DN111244_c0_g1_i1,TRINITY_DN112095_c0_g1_i2
,,,TRINITY_DN111285_c0_g1_i2,TRINITY_DN112098_c0_g1_i1
,,,TRINITY_DN111288_c0_g2_i3,TRINITY_DN112100_c0_g1_i3
,,,TRINITY_DN111288_c0_g4_i1,TRINITY_DN112132_c0_g1_i1
,,,TRINITY_DN111319_c1_g2_i1,TRINITY_DN112164_c0_g1_i1
,,,TRINITY_DN111358_c1_g1_i2,TRINITY_DN112171_c0_g1_i12
,,,TRINITY_DN111371_c1_g2_i2,TRINITY_DN112177_c0_g1_i1
,,,TRINITY_DN111375_c0_g1_i3,TRINITY_DN112183_c0_g1_i1
,,,TRINITY_DN111388_c0_g1_i3,TRINITY_DN112185_c0_g1_i1
,,,TRINITY_DN111435_c0_g1_i1,TRINITY_DN112202_c1_g1_i3
,,,TRINITY_DN111452_c0_g2_i1,TRINITY_DN112206_c0_g1_i1
,,,TRINITY_DN111453_c1_g1_i1,TRINITY_DN112223_c0_g1_i1
,,,TRINITY_DN111546_c0_g1_i3,TRINITY_DN112232_c0_g1_i7
,,,TRINITY_DN111554_c0_g1_i3,TRINITY_DN112235_c0_g1_i1
,,,TRINITY_DN111571_c0_g3_i1,TRINITY_DN112239_c0_g1_i3
,,,TRINITY_DN111577_c1_g1_i2,TRINITY_DN112248_c0_g1_i2
,,,TRINITY_DN111613_c0_g1_i1,TRINITY_DN112255_c0_g1_i1
,,,TRINITY_DN111628_c1_g2_i4,TRINITY_DN112257_c0_g1_i2
,,,TRINITY_DN111628_c1_g6_i2,TRINITY_DN112269_c0_g1_i1
,,,TRINITY_DN111716_c0_g1_i4,TRINITY_DN112284_c0_g1_i1
,,,TRINITY_DN111805_c0_g1_i1,TRINITY_DN112289_c0_g1_i1
,,,TRINITY_DN111805_c0_g4_i1,TRINITY_DN112307_c0_g1_i1
,,,TRINITY_DN111872_c0_g1_i2,TRINITY_DN112320_c0_g1_i3
,,,TRINITY_DN111918_c1_g1_i2,TRINITY_DN112334_c0_g1_i2
,,,TRINITY_DN111964_c0_g3_i1,TRINITY_DN112341_c0_g2_i2
,,,TRINITY_DN111999_c0_g1_i1,TRINITY_DN112349_c1_g1_i2
,,,TRINITY_DN112027_c1_g2_i1,TRINITY_DN112365_c0_g1_i1
,,,TRINITY_DN112031_c0_g1_i1,TRINITY_DN112382_c0_g1_i1
,,,TRINITY_DN112050_c0_g1_i4,TRINITY_DN112385_c0_g1_i4
,,,TRINITY_DN112066_c0_g2_i2,TRINITY_DN112387_c0_g1_i1
,,,TRINITY_DN112102_c0_g1_i2,TRINITY_DN112401_c0_g1_i4
,,,TRINITY_DN112129_c1_g1_i1,TRINITY_DN112404_c0_g1_i3
,,,TRINITY_DN112137_c0_g1_i3,TRINITY_DN112411_c0_g1_i3
,,,TRINITY_DN112142_c2_g1_i2,TRINITY_DN112414_c0_g1_i1
,,,TRINITY_DN112185_c0_g1_i1,TRINITY_DN112415_c1_g1_i1
,,,TRINITY_DN112195_c1_g1_i3,TRINITY_DN112419_c0_g1_i2
,,,TRINITY_DN112264_c0_g2_i12,TRINITY_DN112439_c0_g1_i2
,,,TRINITY_DN112312_c0_g1_i1,TRINITY_DN112441_c0_g1_i1
,,,TRINITY_DN112313_c0_g4_i1,TRINITY_DN112452_c0_g1_i10
,,,TRINITY_DN112320_c0_g1_i3,TRINITY_DN112460_c0_g1_i1
,,,TRINITY_DN112348_c0_g1_i1,TRINITY_DN112467_c0_g1_i3
,,,TRINITY_DN112350_c0_g1_i5,TRINITY_DN112469_c0_g1_i5
,,,TRINITY_DN112376_c0_g1_i2,TRINITY_DN112483_c0_g1_i2
,,,TRINITY_DN112398_c0_g2_i1,TRINITY_DN112488_c0_g1_i3
,,,TRINITY_DN112398_c0_g3_i1,TRINITY_DN112499_c0_g1_i3
,,,TRINITY_DN112404_c0_g1_i3,TRINITY_DN112500_c0_g1_i4
,,,TRINITY_DN112411_c0_g1_i3,TRINITY_DN112501_c0_g1_i1
,,,TRINITY_DN112414_c0_g1_i1,TRINITY_DN112508_c0_g1_i2
,,,TRINITY_DN112424_c0_g1_i1,TRINITY_DN112509_c0_g1_i1
,,,TRINITY_DN112439_c0_g1_i2,TRINITY_DN112514_c0_g2_i2
,,,TRINITY_DN112445_c0_g1_i2,TRINITY_DN112520_c0_g1_i1
,,,TRINITY_DN112455_c0_g1_i1,TRINITY_DN112527_c0_g1_i1
,,,TRINITY_DN112471_c1_g2_i2,TRINITY_DN112543_c0_g1_i1
,,,TRINITY_DN112471_c1_g3_i2,TRINITY_DN112549_c0_g1_i18
,,,TRINITY_DN112471_c1_g5_i1,TRINITY_DN112560_c0_g1_i1
,,,TRINITY_DN112499_c0_g1_i3,TRINITY_DN112573_c0_g1_i4
,,,TRINITY_DN112509_c0_g1_i1,TRINITY_DN112574_c0_g1_i2
,,,TRINITY_DN112534_c1_g3_i1,TRINITY_DN112576_c0_g1_i3
,,,TRINITY_DN112576_c0_g1_i3,TRINITY_DN112578_c0_g2_i1
,,,TRINITY_DN112579_c0_g2_i1,TRINITY_DN112591_c0_g1_i4
,,,TRINITY_DN11258_c0_g1_i1,TRINITY_DN112596_c0_g1_i1
,,,TRINITY_DN112594_c1_g1_i3,TRINITY_DN112597_c0_g1_i1
,,,TRINITY_DN112594_c1_g3_i1,TRINITY_DN112605_c0_g1_i1
,,,TRINITY_DN112605_c0_g1_i1,TRINITY_DN112606_c0_g1_i4
,,,TRINITY_DN112631_c0_g1_i1,TRINITY_DN112607_c0_g1_i2
,,,TRINITY_DN112651_c0_g4_i1,TRINITY_DN112608_c0_g1_i1
,,,TRINITY_DN112651_c0_g6_i1,TRINITY_DN112627_c0_g1_i1
,,,TRINITY_DN112658_c0_g1_i3,TRINITY_DN112631_c0_g1_i1
,,,TRINITY_DN112658_c0_g4_i1,TRINITY_DN112636_c0_g1_i1
,,,TRINITY_DN112662_c0_g1_i1,TRINITY_DN112638_c0_g1_i1
,,,TRINITY_DN112677_c0_g3_i1,TRINITY_DN112639_c0_g1_i1
,,,TRINITY_DN112677_c0_g5_i1,TRINITY_DN112641_c0_g1_i2
,,,TRINITY_DN112755_c1_g1_i2,TRINITY_DN112644_c1_g1_i1
,,,TRINITY_DN112755_c1_g4_i1,TRINITY_DN112662_c0_g1_i1
,,,TRINITY_DN112759_c2_g2_i1,TRINITY_DN112673_c0_g1_i2
,,,TRINITY_DN112759_c3_g5_i1,TRINITY_DN112695_c0_g1_i1
,,,TRINITY_DN112759_c3_g6_i1,TRINITY_DN112698_c0_g1_i2
,,,TRINITY_DN112759_c3_g7_i1,TRINITY_DN112701_c0_g1_i1
,,,TRINITY_DN112759_c4_g1_i1,TRINITY_DN112702_c0_g1_i1
,,,TRINITY_DN112775_c0_g1_i1,TRINITY_DN112706_c0_g2_i2
,,,TRINITY_DN112791_c0_g1_i4,TRINITY_DN112714_c0_g1_i1
,,,TRINITY_DN112808_c0_g1_i1,TRINITY_DN112729_c2_g1_i1
,,,TRINITY_DN112833_c0_g1_i1,TRINITY_DN112730_c0_g1_i1
,,,TRINITY_DN112890_c0_g4_i1,TRINITY_DN112760_c0_g1_i1
,,,TRINITY_DN112913_c2_g2_i1,TRINITY_DN112781_c0_g1_i2
,,,TRINITY_DN112913_c4_g5_i1,TRINITY_DN112785_c0_g1_i1
,,,TRINITY_DN112920_c0_g1_i1,TRINITY_DN112790_c0_g1_i3
,,,TRINITY_DN112937_c1_g1_i2,TRINITY_DN112797_c0_g1_i3
,,,TRINITY_DN112937_c1_g4_i1,TRINITY_DN112801_c0_g1_i8
,,,TRINITY_DN112995_c0_g1_i2,TRINITY_DN112810_c0_g2_i1
,,,TRINITY_DN113014_c4_g2_i1,TRINITY_DN112812_c1_g1_i4
,,,TRINITY_DN113043_c1_g2_i4,TRINITY_DN112815_c0_g1_i1
,,,TRINITY_DN113061_c1_g3_i3,TRINITY_DN112817_c0_g1_i3
,,,TRINITY_DN113087_c1_g6_i1,TRINITY_DN112830_c0_g1_i1
,,,TRINITY_DN113099_c0_g1_i1,TRINITY_DN112833_c0_g1_i1
,,,TRINITY_DN113101_c0_g1_i3,TRINITY_DN112836_c0_g1_i1
,,,TRINITY_DN113105_c0_g1_i1,TRINITY_DN112842_c0_g1_i2
,,,TRINITY_DN113107_c0_g1_i1,TRINITY_DN112876_c0_g1_i2
,,,TRINITY_DN113126_c0_g1_i5,TRINITY_DN112880_c0_g1_i1
,,,TRINITY_DN113134_c0_g1_i3,TRINITY_DN112886_c0_g1_i1
,,,TRINITY_DN113165_c0_g1_i1,TRINITY_DN112888_c0_g1_i6
,,,TRINITY_DN113213_c0_g1_i1,TRINITY_DN112891_c0_g1_i1
,,,TRINITY_DN113236_c0_g1_i2,TRINITY_DN112892_c0_g1_i1
,,,TRINITY_DN113304_c0_g1_i3,TRINITY_DN112893_c1_g1_i6
,,,TRINITY_DN113310_c0_g1_i1,TRINITY_DN112895_c0_g3_i2
,,,TRINITY_DN113328_c0_g4_i2,TRINITY_DN112908_c0_g1_i2
,,,TRINITY_DN113355_c0_g1_i6,TRINITY_DN112909_c0_g1_i1
,,,TRINITY_DN113361_c2_g3_i1,TRINITY_DN112912_c0_g1_i5
,,,TRINITY_DN113372_c1_g1_i6,TRINITY_DN112915_c0_g1_i2
,,,TRINITY_DN113372_c1_g2_i1,TRINITY_DN112920_c0_g1_i1
,,,TRINITY_DN113388_c1_g1_i11,TRINITY_DN112921_c0_g1_i1
,,,TRINITY_DN113401_c3_g4_i2,TRINITY_DN112924_c0_g1_i4
,,,TRINITY_DN113402_c0_g1_i1,TRINITY_DN112926_c0_g1_i1
,,,TRINITY_DN113407_c0_g1_i1,TRINITY_DN112932_c0_g1_i2
,,,TRINITY_DN113411_c1_g3_i4,TRINITY_DN112933_c0_g3_i1
,,,TRINITY_DN113443_c2_g1_i2,TRINITY_DN112934_c0_g1_i1
,,,TRINITY_DN113443_c2_g2_i1,TRINITY_DN112955_c0_g2_i5
,,,TRINITY_DN113458_c7_g1_i1,TRINITY_DN112964_c0_g1_i1
,,,TRINITY_DN113458_c7_g4_i1,TRINITY_DN112966_c0_g1_i1
,,,TRINITY_DN113459_c0_g1_i1,TRINITY_DN112967_c0_g1_i1
,,,TRINITY_DN113486_c0_g1_i1,TRINITY_DN112975_c0_g1_i4
,,,TRINITY_DN113486_c0_g3_i1,TRINITY_DN112975_c0_g2_i4
,,,TRINITY_DN113516_c0_g1_i1,TRINITY_DN112982_c0_g1_i1
,,,TRINITY_DN113523_c2_g1_i1,TRINITY_DN112989_c0_g1_i2
,,,TRINITY_DN113523_c4_g5_i1,TRINITY_DN112995_c0_g1_i2
,,,TRINITY_DN113540_c0_g1_i4,TRINITY_DN113000_c0_g1_i3
,,,TRINITY_DN113551_c0_g1_i7,TRINITY_DN113010_c0_g1_i2
,,,TRINITY_DN113563_c0_g1_i2,TRINITY_DN113018_c0_g1_i2
,,,TRINITY_DN113602_c0_g1_i3,TRINITY_DN113027_c0_g1_i1
