gid	gname	chr	start	end	logFC.XY46.XX46	abslogFC.XY46.XX46	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN104801_c0_g1_i1	NA	NA	NA	NA	-0.353473892	0.353473892	unbias	0.52790364	Brain_fmean	0.0525	0.0603	1.1476
TRINITY_DN104812_c0_g1_i2	NA	NA	NA	NA	-1.68479093	1.68479093	female	0.410673238	Ovary_mean	0.0791	0.1036	1.3096
TRINITY_DN104972_c0_g1_i2	NA	NA	NA	NA	0.238929924	0.238929924	unbias	0.088868842	G27_fmean	0.0377	0.0743	1.9699
TRINITY_DN105060_c0_g2_i3	NA	NA	NA	NA	-0.011267612	0.011267612	unbias	0.576363007	Brain_fmean	0.0429	0.0716	1.6683
TRINITY_DN105151_c0_g1_i1	NA	NA	NA	NA	0.199509321	0.199509321	unbias	0.494258594	G23_mmean	0.204	0.4034	1.978
TRINITY_DN105232_c0_g1_i1	NA	NA	NA	NA	0.367417184	0.367417184	unbias	0.705667614	G43_M_mean	0.0514	0.0662	1.2874
TRINITY_DN105273_c0_g1_i2	fabp1	Chr01	15230089	15230089	0.221162007	0.221162007	unbias	0.59619219	G27_mmean	0.1152	0.2008	1.743
TRINITY_DN105387_c0_g2_i3	ephx4	Chr04	94494173	94494173	-0.174575269	0.174575269	unbias	0.527206497	Brain_mmean	0.0502	0.0665	1.3255
TRINITY_DN105400_c0_g1_i3	NA	NA	NA	NA	-0.164315432	0.164315432	unbias	0.24982071	Ovary_mean	0.1525	0.2011	1.3186
TRINITY_DN105438_c0_g1_i1	sars	Chr02	48662793	48662793	0.283283028	0.283283028	unbias	0.804005912	Brain_mmean	0.0759	0.0932	1.2285
TRINITY_DN105440_c0_g1_i1	NA	NA	NA	NA	-4.071972548	4.071972548	female	0.721561751	Ovary_mean	0.05	0.0838	1.6769
TRINITY_DN105441_c0_g2_i3	NA	NA	NA	NA	-0.351253757	0.351253757	unbias	0.287618799	Ovary_mean	0.0128	0.0124	0.9683
TRINITY_DN105560_c0_g1_i2	NA	NA	NA	NA	-1.265767355	1.265767355	female	0.410375768	Ovary_mean	0.1374	0.1843	1.3417
TRINITY_DN105578_c0_g1_i1	NA	NA	NA	NA	-4.703992967	4.703992967	female	0.793924477	Ovary_mean	0.1479	0.2113	1.4289
TRINITY_DN105592_c1_g1_i2	tlk2	Chr10	9034424	9034424	0.419851436	0.419851436	unbias	0.224430782	G27_fmean	0.1597	0.2378	1.4894
TRINITY_DN105601_c0_g1_i1	NA	NA	NA	NA	-5.008871934	5.008871934	female	0.701864526	Ovary_mean	0.0889	0.1503	1.6911
TRINITY_DN105647_c0_g2_i1	NA	NA	NA	NA	-11.81141532	11.81141532	female	0.921850243	Ovary_mean	0.5406	0.7804	1.4436
TRINITY_DN105705_c0_g1_i1	NA	NA	NA	NA	0.067684109	0.067684109	unbias	0.511401922	G46_F_mean	0.1537	0.2185	1.4217
TRINITY_DN105721_c0_g1_i1	NA	NA	NA	NA	0.842696222	0.842696222	unbias	0.644234799	G46_M_mean	0.1036	0.1411	1.363
TRINITY_DN105726_c0_g1_i1	fubp1	Chr04	69963487	69963487	0.06842295	0.06842295	unbias	0.538085116	Ovary_mean	0.0788	0.1018	1.2921
TRINITY_DN105744_c0_g1_i1	NA	NA	NA	NA	0.988456004	0.988456004	unbias	0.604993603	Brain_mmean	0.0641	0.1136	1.7726
TRINITY_DN105885_c0_g1_i1	chad-like	Chr10	35289689	35289689	-0.146054097	0.146054097	unbias	0.524479132	G46_F_mean	0.0701	0.1062	1.5145
TRINITY_DN105940_c0_g1_i2	NA	NA	NA	NA	-0.036893423	0.036893423	unbias	0.562203372	Ovary_mean	0.0124	0.0153	1.2403
TRINITY_DN106065_c0_g1_i2	NA	NA	NA	NA	-1.299027206	1.299027206	female	0.439832165	Ovary_mean	0.0442	0.0531	1.2023
TRINITY_DN106090_c0_g2_i1	NA	NA	NA	NA	-0.273329055	0.273329055	unbias	0.213337935	Ovary_mean	0.1269	0.1557	1.227
TRINITY_DN106100_c0_g2_i1	NA	NA	NA	NA	-0.085402868	0.085402868	unbias	0.805194125	Brain_fmean	0.0313	0.0286	0.9137
TRINITY_DN106101_c0_g1_i1	scaf8	Chr05	42650260	42650260	-0.021629657	0.021629657	unbias	0.114320571	Ovary_mean	0.031	0.0387	1.2467
TRINITY_DN106189_c0_g2_i1	NA	NA	NA	NA	1.189074694	1.189074694	male	0.583518706	Liver_fmean	0.1266	0.2486	1.964
TRINITY_DN106366_c0_g5_i1	pth1r	Chr06	3738746	3738746	-0.664870224	0.664870224	unbias	0.527915597	Ovary_mean	0.0889	0.1226	1.3783
TRINITY_DN106368_c0_g2_i1	NA	NA	NA	NA	0.7073197	0.7073197	unbias	0.256137111	G23_mmean	0.0957	0.1369	1.43
TRINITY_DN106392_c0_g2_i2	sytl5	Chr02	71451415	71451415	-0.136668213	0.136668213	unbias	0.310371448	Ovary_mean	0.0667	0.1122	1.683
TRINITY_DN106464_c0_g2_i1	NA	NA	NA	NA	-2.390172886	2.390172886	female	0.775014805	Brain_fmean	0.0366	0.0529	1.4454
TRINITY_DN106465_c0_g1_i1	NA	NA	NA	NA	-0.004896104	0.004896104	unbias	0.165596721	Ovary_mean	0.0281	0.0393	1.3971
TRINITY_DN106476_c0_g1_i1	NA	NA	NA	NA	-0.164401394	0.164401394	unbias	0.369336964	Brain_mmean	0.0371	0.0623	1.678
TRINITY_DN106492_c0_g1_i4	LOC100127779	Chr08	47228041	47228041	0.532456371	0.532456371	unbias	0.718766725	Brain_mmean	0.0316	0.0313	0.9892
TRINITY_DN106515_c0_g1_i1	NA	NA	NA	NA	0.75677778	0.75677778	unbias	0.636689621	G23_mmean	0.1088	0.1004	0.9227
TRINITY_DN106706_c0_g1_i4	NA	NA	NA	NA	-0.402656591	0.402656591	unbias	0.25862767	Testis_mean	0.1394	0.1304	0.9357
TRINITY_DN106733_c0_g1_i1	NA	NA	NA	NA	0.400577709	0.400577709	unbias	0.754311614	Brain_mmean	0.1025	0.1451	1.4155
TRINITY_DN106899_c0_g2_i1	psmd9	Chr01	153494616	153494616	0.959816084	0.959816084	unbias	0.672974341	Ovary_mean	0.2917	0.4423	1.5162
TRINITY_DN106942_c0_g1_i1	NA	NA	NA	NA	-1.878857317	1.878857317	female	0.609934744	Ovary_mean	0.0487	0.0873	1.7914
TRINITY_DN106959_c0_g2_i1	rcan2	Chr05	142904030	142904030	-0.571475327	0.571475327	unbias	0.195071609	Ovary_mean	0.0436	0.0812	1.8649
TRINITY_DN107234_c0_g1_i1	denr	Chr01	152957959	152957959	-0.880682574	0.880682574	unbias	0.462035998	Ovary_mean	0.0603	0.1094	1.8135
TRINITY_DN107308_c0_g1_i1	wasl	Chr03	60799665	60799665	-1.203030321	1.203030321	female	0.509824948	Ovary_mean	0.0086	0.0117	1.3675
TRINITY_DN107374_c0_g2_i1	NA	NA	NA	NA	-0.861877355	0.861877355	unbias	0.771299558	Ovary_mean	0.0882	0.1595	1.8091
TRINITY_DN107396_c0_g1_i2	Xetrov90028550m	scaffold_394	122159	122159	0.636037879	0.636037879	unbias	0.420752774	Brain_mmean	0.0701	0.0936	1.3351
TRINITY_DN107472_c0_g1_i1	NA	NA	NA	NA	0.347857954	0.347857954	unbias	0.478024315	Brain_fmean	0.0772	0.0918	1.1896
TRINITY_DN107473_c0_g2_i2	NA	NA	NA	NA	-0.279527097	0.279527097	unbias	0.319180507	Ovary_mean	0.0783	0.1248	1.595
TRINITY_DN107530_c1_g1_i1	psmd11	Chr10	6662497	6662497	-1.16468088	1.16468088	female	0.326146599	Ovary_mean	0.0974	0.1502	1.5415
TRINITY_DN107586_c0_g1_i2	NA	NA	NA	NA	-0.294058623	0.294058623	unbias	0.276423953	Brain_fmean	0.0352	0.0451	1.2822
TRINITY_DN107672_c0_g2_i1	NA	NA	NA	NA	-0.095399462	0.095399462	unbias	0.60079732	G27_fmean	0.2023	0.2949	1.4581
TRINITY_DN107696_c0_g1_i4	NA	NA	NA	NA	-1.342941941	1.342941941	female	0.543133436	Ovary_mean	0.0631	0.067	1.0609
TRINITY_DN107740_c0_g1_i1	NA	NA	NA	NA	-2.063017987	2.063017987	female	0.651408248	Ovary_mean	0.0127	0.0151	1.1955
TRINITY_DN107757_c0_g1_i1	NA	NA	NA	NA	0.411979308	0.411979308	unbias	0.694217569	G27_fmean	0.1188	0.1271	1.0699
TRINITY_DN107761_c0_g1_i1	NA	NA	NA	NA	0.59448687	0.59448687	unbias	0.540941576	Brain_mmean	0.0647	0.1191	1.8409
TRINITY_DN107774_c0_g1_i2	NA	NA	NA	NA	-1.160881475	1.160881475	female	0.233174819	Ovary_mean	0.0257	0.0288	1.1202
TRINITY_DN107777_c0_g6_i1	NA	NA	NA	NA	-0.347499026	0.347499026	unbias	0.393336697	Ovary_mean	0.039	0.0505	1.293
TRINITY_DN107852_c0_g1_i2	NA	NA	NA	NA	-0.707754544	0.707754544	unbias	0.375037377	Ovary_mean	0.0163	0.0093	0.571
TRINITY_DN107915_c0_g1_i1	NA	NA	NA	NA	-0.513748075	0.513748075	unbias	0.447814593	Brain_mmean	0.0683	0.135	1.9753
TRINITY_DN108052_c0_g1_i1	NA	NA	NA	NA	-0.662424901	0.662424901	unbias	0.655005871	Liver_mmean	0.0734	0.0962	1.3092
TRINITY_DN108061_c0_g1_i1	ssu72	Chr07	70659588	70659588	-0.421720256	0.421720256	unbias	0.159037928	Ovary_mean	0.0392	0.065	1.6562
TRINITY_DN108116_c0_g2_i2	NA	NA	NA	NA	0.252817883	0.252817883	unbias	0.496052093	G23_mmean	0.0638	0.1029	1.614
TRINITY_DN108119_c0_g1_i1	NA	NA	NA	NA	-0.005870435	0.005870435	unbias	0.683682963	G23_fmean	0.1589	0.208	1.309
TRINITY_DN10812_c0_g1_i1	NA	NA	NA	NA	0.385340191	0.385340191	unbias	0.340619516	G27_mmean	0.0493	0.0692	1.4016
TRINITY_DN108126_c0_g2_i2	NA	NA	NA	NA	0.398466464	0.398466464	unbias	0.281067127	Brain_fmean	0.1477	0.2825	1.912
TRINITY_DN108146_c0_g1_i2	NA	NA	NA	NA	0.196145394	0.196145394	unbias	0.212059109	Brain_fmean	0.0442	0.0663	1.4996
TRINITY_DN108196_c0_g1_i1	NA	NA	NA	NA	-0.205988957	0.205988957	unbias	0.325066504	Ovary_mean	0.0643	0.0824	1.2798
TRINITY_DN108207_c0_g2_i1	NA	NA	NA	NA	0.331335326	0.331335326	unbias	0.432472048	G46_M_mean	0.0476	0.0762	1.6008
TRINITY_DN108276_c0_g2_i1	NA	NA	NA	NA	0.389822904	0.389822904	unbias	0.700956465	Testis_mean	0.0657	0.0724	1.1032
TRINITY_DN108314_c0_g1_i2	eya4-like	Chr05	35403136	35403136	0.499982182	0.499982182	unbias	0.419949503	Brain_mmean	0.071	0.0918	1.2929
TRINITY_DN108316_c0_g1_i1	NA	NA	NA	NA	-1.592468463	1.592468463	female	0.445466245	Ovary_mean	0.0167	0.0211	1.2626
TRINITY_DN108376_c0_g1_i4	cpne3	Chr06	110644971	110644971	1.115140645	1.115140645	male	0.541437415	G46_M_mean	0.0733	0.059	0.8048
TRINITY_DN108427_c0_g3_i5	NA	NA	NA	NA	-1.848577304	1.848577304	female	0.43547334	Ovary_mean	0.0748	0.1472	1.9671
TRINITY_DN108436_c0_g1_i2	ate1-like	Chr07	10842921	10842921	-1.38155846	1.38155846	female	0.520227666	Ovary_mean	0.1115	0.0839	0.7527
TRINITY_DN108443_c0_g4_i4	NA	NA	NA	NA	0.594882338	0.594882338	unbias	0.467501213	G46_M_mean	0.075	0.1463	1.9521
TRINITY_DN108476_c0_g1_i1	ube2h	Chr03	77340995	77340995	0.49135699	0.49135699	unbias	0.525235145	G46_M_mean	0.1888	0.331	1.7534
TRINITY_DN108509_c0_g1_i2	NA	NA	NA	NA	0.055287174	0.055287174	unbias	0.501275028	G43_M_mean	0.158	0.1608	1.0172
TRINITY_DN108517_c0_g1_i1	NA	NA	NA	NA	1.466702663	1.466702663	male	0.730703553	G43_M_mean	0.1535	0.2728	1.7779
TRINITY_DN108539_c0_g1_i2	NA	NA	NA	NA	-0.206714237	0.206714237	unbias	0.178723397	Ovary_mean	0.0422	0.0714	1.6932
TRINITY_DN108551_c0_g1_i2	NA	NA	NA	NA	0.469614113	0.469614113	unbias	0.682001497	Brain_mmean	0.0144	0.021	1.4572
TRINITY_DN108558_c2_g1_i2	NA	NA	NA	NA	-0.833975169	0.833975169	unbias	0.594215724	Ovary_mean	0.0506	0.0876	1.7305
TRINITY_DN108566_c0_g3_i1	NA	NA	NA	NA	-2.637974725	2.637974725	female	0.807771452	G46_F_mean	0.1183	0.2185	1.8478
TRINITY_DN108580_c0_g1_i1	NA	NA	NA	NA	-0.073946233	0.073946233	unbias	0.384390432	Brain_fmean	0.0568	0.1092	1.9239
TRINITY_DN108588_c0_g1_i1	NA	NA	NA	NA	0.161975637	0.161975637	unbias	0.398238291	Brain_mmean	0.1556	0.2039	1.3108
TRINITY_DN108683_c0_g3_i1	NA	NA	NA	NA	-0.661314942	0.661314942	unbias	0.126396601	G23_mmean	0.053	0.0368	0.6955
TRINITY_DN108688_c0_g1_i1	NA	NA	NA	NA	-0.856605833	0.856605833	unbias	0.587323385	Brain_fmean	0.0716	0.0933	1.3032
TRINITY_DN108726_c0_g1_i1	NA	NA	NA	NA	-0.136933907	0.136933907	unbias	0.135177663	G23_mmean	0.0854	0.1011	1.1838
TRINITY_DN108746_c0_g1_i1	NA	NA	NA	NA	-0.23733627	0.23733627	unbias	0.11727182	Brain_mmean	0.0337	0.0452	1.3443
TRINITY_DN108769_c0_g1_i3	NA	NA	NA	NA	0.206147891	0.206147891	unbias	0.394881415	Brain_fmean	0.0057	0.0063	1.0963
TRINITY_DN108791_c0_g2_i1	NA	NA	NA	NA	-1.84427199	1.84427199	female	0.574594446	Brain_fmean	0.0333	0.0324	0.9722
TRINITY_DN108927_c0_g4_i1	NA	NA	NA	NA	-1.096220312	1.096220312	female	0.322498714	Ovary_mean	0.1596	0.2324	1.456
TRINITY_DN108930_c0_g1_i3	NA	NA	NA	NA	-2.260625998	2.260625998	female	0.452281839	G27_fmean	0.2597	0.433	1.6673
TRINITY_DN108932_c0_g1_i1	NA	NA	NA	NA	-2.490433995	2.490433995	female	0.386398318	Ovary_mean	0.1002	0.0906	0.9041
TRINITY_DN108997_c0_g1_i1	aco2	Chr04	109970271	109970271	0.556561487	0.556561487	unbias	0.165058426	G27_mmean	0.0581	0.0995	1.711
TRINITY_DN109101_c0_g2_i1	map1lc3c	Chr05	60980250	60980250	-1.200913342	1.200913342	female	0.455714557	Ovary_mean	0.1856	0.1667	0.8984
TRINITY_DN109124_c0_g2_i2	LOC100498424	Chr04	128665948	128665948	-0.618754561	0.618754561	unbias	0.234747656	Brain_mmean	0.1062	0.2105	1.9825
TRINITY_DN109137_c0_g1_i1	NA	NA	NA	NA	0.406300362	0.406300362	unbias	0.506166038	G43_M_mean	0.0366	0.0512	1.3995
TRINITY_DN109157_c0_g1_i1	NA	NA	NA	NA	-0.269994146	0.269994146	unbias	0.258600445	Ovary_mean	0.0156	0.0301	1.9237
TRINITY_DN109160_c0_g1_i1	fgfr2	Chr07	10932024	10932024	0.523098596	0.523098596	unbias	0.173562251	Liver_mmean	0.1321	0.117	0.8858
TRINITY_DN109210_c0_g1_i1	LOC100170436	Chr03	129212470	129212470	-0.101179378	0.101179378	unbias	0.776121111	Brain_mmean	0.0457	0.0624	1.3637
TRINITY_DN109252_c0_g1_i2	LOC100498119	Chr08	58033011	58033011	-2.422927448	2.422927448	female	0.597359884	Ovary_mean	0.1287	0.1821	1.4156
TRINITY_DN109275_c0_g1_i1	NA	NA	NA	NA	-2.905882991	2.905882991	female	0.514076437	Ovary_mean	0.0644	0.1112	1.7268
TRINITY_DN109277_c0_g2_i3	LOC100490614	Chr07	110706113	110706113	-0.953727347	0.953727347	unbias	0.306248417	G23_mmean	0.1038	0.1589	1.5305
TRINITY_DN109295_c0_g1_i1	NA	NA	NA	NA	-0.168913667	0.168913667	unbias	0.363830036	G23_fmean	0.1667	0.2407	1.4435
TRINITY_DN109308_c0_g1_i1	LOC100486333-like	Chr08	18909118	18909118	-2.701597483	2.701597483	female	0.544668429	Ovary_mean	0.1947	0.307	1.5763
TRINITY_DN109310_c0_g2_i2	NA	NA	NA	NA	0.846345963	0.846345963	unbias	0.629992808	G43_M_mean	0.0443	0.0719	1.6242
TRINITY_DN109331_c0_g1_i1	NA	NA	NA	NA	-0.304946119	0.304946119	unbias	0.250276095	Ovary_mean	0.022	0.0175	0.7944
TRINITY_DN109423_c0_g1_i2	mrps18c	Chr01	121827523	121827523	0.279104144	0.279104144	unbias	0.302691416	G43_F_mean	0.1955	0.2882	1.4741
TRINITY_DN109424_c0_g2_i2	NA	NA	NA	NA	0.393404009	0.393404009	unbias	0.517822092	Testis_mean	0.0755	0.1195	1.5831
