gid	gname	chr	start	end	logFC.XY46.XX46	bias	tau	tissue
TRINITY_DN101409_c0_g1_i1	NA	NA	NA	NA	0.646070436	unbias	0.396156883	G31_mmean
TRINITY_DN101432_c0_g2_i1	gfra1	Chr07	541836	541836	0.800067915	unbias	0.319922517	G27_mmean
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	-1.617057321	female	0.484065879	Ovary_mean
TRINITY_DN101472_c0_g1_i1	NA	NA	NA	NA	-0.928915774	unbias	0.463317315	Ovary_mean
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	0.833869846	unbias	0.379893771	G46_M_mean
TRINITY_DN101481_c0_g1_i2	NA	NA	NA	NA	-0.461596747	unbias	0.333703367	Brain_fmean
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.273144125	unbias	0.170045449	G23_mmean
TRINITY_DN101537_c1_g1_i2	NA	NA	NA	NA	-0.069940385	unbias	0.412703434	G46_F_mean
TRINITY_DN101542_c0_g1_i1	uprt-like	Chr08	26339534	26339534	-0.788856374	unbias	0.253323869	Ovary_mean
TRINITY_DN101558_c0_g1_i1	NA	NA	NA	NA	0.172598245	unbias	0.434258624	Ovary_mean
TRINITY_DN101570_c0_g1_i1	zc3h14-like	Chr08	64919870	64919870	0.276301657	unbias	0.744289268	G46_M_mean
TRINITY_DN101610_c0_g2_i1	NA	NA	NA	NA	0.665159946	unbias	0.176829961	G43_F_mean
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	1.109236347	male	0.459006234	G43_F_mean
TRINITY_DN101738_c0_g2_i1	NA	NA	NA	NA	0.574025223	unbias	0.428795695	Brain_mmean
TRINITY_DN101739_c1_g1_i2	cfi	Chr01	59181768	59181768	0.572570985	unbias	0.334721874	G43_M_mean
TRINITY_DN101751_c0_g1_i1	NA	NA	NA	NA	-3.004701222	female	0.51580006	Ovary_mean
TRINITY_DN101758_c0_g1_i1	NA	NA	NA	NA	0.225855624	unbias	0.098486839	G27_fmean
TRINITY_DN101809_c0_g1_i2	sh2b2	Chr02	41888815	41888815	0.803252576	unbias	0.412454283	Brain_fmean
TRINITY_DN101813_c0_g1_i1	ttc22	Chr04	87529624	87529624	0.010556504	unbias	0.500209223	G27_mmean
TRINITY_DN101821_c0_g1_i1	NA	NA	NA	NA	0.233725162	unbias	0.703153505	Brain_mmean
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	-0.933560766	unbias	0.394024284	Ovary_mean
TRINITY_DN101867_c0_g1_i1	LOC101731469	scaffold_1895	10754	10754	-0.368292925	unbias	0.261813566	G23_mmean
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	0.501276497	unbias	0.32010738	G31_mmean
TRINITY_DN101897_c0_g1_i1	ehd2	Chr08	58578040	58578040	0.17468014	unbias	0.399599534	Brain_mmean
TRINITY_DN101901_c0_g1_i2	NA	NA	NA	NA	0.719681109	unbias	0.436273168	G31_mmean
TRINITY_DN101903_c0_g1_i1	pfn2	Chr05	115233446	115233446	-0.593372178	unbias	0.455250056	Ovary_mean
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	-0.66319214	unbias	0.469207272	Ovary_mean
TRINITY_DN101924_c0_g1_i2	NA	NA	NA	NA	0.632092154	unbias	0.257230037	G23_mmean
TRINITY_DN101945_c0_g2_i1	NA	NA	NA	NA	2.487069815	male	0.521161325	G31_fmean
TRINITY_DN101949_c0_g1_i1	NA	NA	NA	NA	-0.305918136	unbias	0.883474767	G43_M_mean
TRINITY_DN101950_c0_g1_i1	anapc5	Chr01	153780797	153780797	0.203754181	unbias	0.735070975	Brain_mmean
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	-0.579339572	unbias	0.428111172	Ovary_mean
TRINITY_DN101966_c0_g1_i1	NA	NA	NA	NA	1.085586292	unbias	0.57209203	G46_M_mean
TRINITY_DN101967_c0_g1_i4	NA	NA	NA	NA	0.201037653	unbias	0.620008627	Brain_mmean
TRINITY_DN101983_c0_g1_i1	NA	NA	NA	NA	1.729019034	male	0.648756275	G46_M_mean
TRINITY_DN101988_c0_g1_i1	NA	NA	NA	NA	0.210586112	unbias	0.536554319	G43_F_mean
TRINITY_DN102000_c0_g1_i1	LOC100486967	scaffold_39	1322889	1322889	-0.56415183	unbias	0.411657529	Testis_mean
TRINITY_DN10201_c0_g1_i1	senp8	Chr03	82450240	82450240	-4.275431453	female	0.774695299	G46_F_mean
TRINITY_DN102010_c0_g1_i1	c19orf12	Chr04	23317962	23317962	0.463517739	unbias	0.649104963	G43_F_mean
TRINITY_DN102010_c0_g3_i1	mchr1.1	Chr09	12526497	12526497	0.539519377	unbias	0.77584878	G46_M_mean
TRINITY_DN102016_c0_g1_i1	NA	NA	NA	NA	-1.046272184	female	0.331308297	Ovary_mean
TRINITY_DN102026_c0_g1_i2	inmt	Chr07	73890622	73890622	0.961032631	unbias	0.577737791	Brain_fmean
TRINITY_DN102065_c0_g1_i1	LOC101733140	Chr04	14965134	14965134	-2.156195295	female	0.434214696	Ovary_mean
TRINITY_DN102067_c0_g2_i1	tat	Chr04	63536360	63536360	0.482143627	unbias	0.462382496	Testis_mean
TRINITY_DN102070_c0_g3_i2	NA	NA	NA	NA	-0.724772927	unbias	0.739712783	G46_F_mean
TRINITY_DN102078_c0_g1_i1	naf1	Chr01	42692844	42692844	-1.099192848	female	0.261237667	Ovary_mean
TRINITY_DN102078_c0_g2_i1	dusp5	scaffold_401	102144	102144	-0.685178744	unbias	0.245801134	Ovary_mean
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	0.261748905	unbias	0.22164913	Ovary_mean
TRINITY_DN102094_c0_g1_i1	NA	NA	NA	NA	-0.30861386	unbias	0.843226352	Brain_fmean
TRINITY_DN102094_c0_g3_i1	NA	NA	NA	NA	0.282052929	unbias	0.761298496	Brain_fmean
TRINITY_DN102104_c0_g1_i1	NA	NA	NA	NA	0.58672377	unbias	0.322697995	G43_F_mean
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	0.562355604	unbias	0.486775433	Ovary_mean
TRINITY_DN102142_c0_g1_i1	NA	NA	NA	NA	0.035810799	unbias	0.538210506	G27_mmean
TRINITY_DN102158_c0_g1_i1	NA	NA	NA	NA	-0.49552773	unbias	0.208238663	Ovary_mean
TRINITY_DN102159_c0_g1_i2	NA	NA	NA	NA	0.58992895	unbias	0.46068713	Liver_fmean
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	-0.62020288	unbias	0.29869715	Ovary_mean
TRINITY_DN102186_c0_g1_i2	NA	NA	NA	NA	0.755802532	unbias	0.616356934	G43_F_mean
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	0.468847739	unbias	0.435739261	Brain_fmean
TRINITY_DN102193_c0_g2_i1	NA	NA	NA	NA	0.098034292	unbias	0.445715317	Brain_fmean
TRINITY_DN102201_c0_g1_i1	NA	NA	NA	NA	-0.733693082	unbias	0.385276075	Brain_mmean
TRINITY_DN102218_c0_g1_i1	NA	NA	NA	NA	0.179339737	unbias	0.418069932	Liver_fmean
TRINITY_DN102252_c0_g2_i1	NA	NA	NA	NA	0.388650951	unbias	0.443087166	G23_mmean
TRINITY_DN102255_c0_g2_i1	NA	NA	NA	NA	-0.303683754	unbias	0.715921113	G43_M_mean
TRINITY_DN102262_c0_g1_i1	erbb2	Chr10	2913053	2913053	0.652721092	unbias	0.491701089	G46_M_mean
TRINITY_DN102272_c0_g1_i1	NA	NA	NA	NA	-1.473375874	female	0.448244822	Ovary_mean
TRINITY_DN102276_c0_g1_i1	NA	NA	NA	NA	0.452026785	unbias	0.683653075	G43_F_mean
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	-0.025596801	unbias	0.148778968	G23_mmean
TRINITY_DN102279_c0_g2_i1	tril	Chr06	31926898	31926898	-0.28997551	unbias	0.17047988	G23_fmean
TRINITY_DN102288_c0_g1_i1	triobp	Chr04	112208425	112208425	-0.558424958	unbias	0.636104975	Ovary_mean
TRINITY_DN102300_c0_g1_i1	LOC101732180	Chr03	135536298	135536298	0.547069128	unbias	0.403244184	G23_fmean
TRINITY_DN102302_c0_g2_i1	NA	NA	NA	NA	0.55252036	unbias	0.317993441	Brain_mmean
TRINITY_DN102312_c0_g1_i1	mnat1	Chr08	82013879	82013879	-0.097275255	unbias	0.552689326	G27_mmean
TRINITY_DN102323_c0_g1_i1	echdc3-like	Chr03	72869909	72869909	0.817611216	unbias	0.710814068	G46_M_mean
TRINITY_DN102326_c0_g3_i1	NA	NA	NA	NA	0.521487828	unbias	0.56589888	G46_M_mean
TRINITY_DN102326_c0_g6_i1	NA	NA	NA	NA	-0.009762695	unbias	0.713377657	G46_F_mean
TRINITY_DN102362_c0_g1_i1	NA	NA	NA	NA	-1.08623556	female	0.225177242	Ovary_mean
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	-2.968329919	female	0.507290717	Ovary_mean
TRINITY_DN102367_c0_g1_i2	NA	NA	NA	NA	1.106013223	unbias	0.489053518	G43_M_mean
TRINITY_DN102383_c0_g1_i1	NA	NA	NA	NA	0.821612805	unbias	0.847484328	G43_F_mean
TRINITY_DN102386_c0_g1_i3	NA	NA	NA	NA	1.152863023	unbias	0.420420617	G46_M_mean
TRINITY_DN102393_c0_g1_i1	NA	NA	NA	NA	0.188561578	unbias	0.632102805	G27_mmean
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	-0.695102521	unbias	0.174012021	Testis_mean
TRINITY_DN102407_c0_g1_i1	NA	NA	NA	NA	-0.599112241	unbias	0.346573817	Brain_fmean
TRINITY_DN102409_c0_g1_i1	rem1	scaffold_2533	2137	2137	-3.884454614	female	0.87363589	G46_F_mean
TRINITY_DN102412_c0_g1_i1	NA	NA	NA	NA	-2.48481871	female	0.698316855	G46_F_mean
TRINITY_DN102425_c0_g1_i1	NA	NA	NA	NA	0.734570381	unbias	0.662027149	Brain_mmean
TRINITY_DN102429_c0_g1_i2	NA	NA	NA	NA	0.841496472	unbias	0.314321121	G43_F_mean
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	-1.803984961	female	0.360773137	Ovary_mean
TRINITY_DN102449_c0_g1_i1	NA	NA	NA	NA	0.645033205	unbias	0.431321007	G43_F_mean
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	-0.174624496	unbias	0.185950609	Ovary_mean
TRINITY_DN102456_c0_g1_i1	NA	NA	NA	NA	0.247479423	unbias	0.48595209	Liver_mmean
TRINITY_DN102459_c0_g1_i1	NA	NA	NA	NA	1.190080261	unbias	0.616896586	Brain_mmean
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	0.629973398	unbias	0.524397524	Liver_fmean
TRINITY_DN102489_c0_g2_i1	gnai3	Chr02	63269417	63269417	2.375879289	unbias	0.684117608	G46_M_mean
TRINITY_DN102489_c0_g3_i1	NA	NA	NA	NA	0.544843803	unbias	0.515521103	G43_M_mean
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	-0.014397321	unbias	0.203652497	Ovary_mean
TRINITY_DN102496_c0_g1_i1	LOC100485641	Chr02	135882898	135882898	-0.674185049	unbias	0.146281621	G23_mmean
TRINITY_DN102496_c0_g2_i1	NA	NA	NA	NA	0.50387689	unbias	0.578183823	G43_M_mean
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	-0.053373453	unbias	0.54774587	G23_fmean
TRINITY_DN102529_c0_g1_i1	NA	NA	NA	NA	-0.029818825	unbias	0.417875652	G43_F_mean
TRINITY_DN102531_c0_g1_i1	NA	NA	NA	NA	0.610088937	unbias	0.607882066	Brain_mmean
TRINITY_DN102539_c0_g1_i1	NA	NA	NA	NA	-0.040765932	unbias	0.350280171	Brain_mmean
TRINITY_DN102559_c0_g2_i1	NA	NA	NA	NA	-2.510943909	female	0.490634631	Ovary_mean
TRINITY_DN102578_c0_g1_i1	NA	NA	NA	NA	0.350846742	unbias	0.450145714	G23_mmean
TRINITY_DN102579_c0_g1_i1	ttpa	Chr06	102990382	102990382	1.225781589	male	0.869911305	G46_M_mean
TRINITY_DN102581_c0_g1_i2	NA	NA	NA	NA	-5.202101884	female	0.818376762	Ovary_mean
TRINITY_DN102584_c0_g1_i1	NA	NA	NA	NA	0.270510164	unbias	0.375609887	Brain_fmean
TRINITY_DN102595_c0_g1_i2	slc25a10	Chr10	19666060	19666060	0.419113155	unbias	0.592060982	G43_M_mean
TRINITY_DN102616_c0_g1_i1	NA	NA	NA	NA	0.668185436	unbias	0.238162136	Brain_fmean
TRINITY_DN102628_c0_g1_i1	NA	NA	NA	NA	-6.942247868	female	0.942394355	Ovary_mean
TRINITY_DN102643_c0_g1_i1	NA	NA	NA	NA	-0.975686692	unbias	0.26672218	G43_M_mean
TRINITY_DN102661_c0_g1_i1	NA	NA	NA	NA	0.022299709	unbias	0.259109979	G23_fmean
TRINITY_DN102667_c0_g1_i1	NA	NA	NA	NA	-0.245607387	unbias	0.17431997	Brain_fmean
TRINITY_DN102702_c0_g1_i1	NA	NA	NA	NA	-2.263597308	female	0.39105166	Ovary_mean
TRINITY_DN102760_c0_g1_i1	NA	NA	NA	NA	0.094802458	unbias	0.543421012	Brain_mmean
TRINITY_DN102865_c0_g1_i2	NA	NA	NA	NA	0.251147048	unbias	0.194483358	Brain_mmean
TRINITY_DN102894_c0_g1_i2	NA	NA	NA	NA	-14.88551524	female	0.933461949	Ovary_mean
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	-11.94937372	female	0.920555942	Ovary_mean
TRINITY_DN102903_c0_g1_i1	NA	NA	NA	NA	0.017679119	unbias	0.262633434	Brain_fmean
TRINITY_DN102912_c0_g1_i1	NA	NA	NA	NA	0.889501867	unbias	0.445675969	G31_mmean
TRINITY_DN102914_c0_g1_i1	Xetrov90008836m	Chr03	95586053	95586053	0.696853121	unbias	0.853989817	Brain_mmean
TRINITY_DN102923_c0_g1_i1	NA	NA	NA	NA	0.340496333	unbias	0.200318895	Brain_fmean
TRINITY_DN102938_c0_g1_i1	NA	NA	NA	NA	-0.007088809	unbias	0.237453564	Ovary_mean
TRINITY_DN102989_c0_g1_i1	NA	NA	NA	NA	-0.055057767	unbias	0.423435521	Brain_fmean
TRINITY_DN103024_c0_g1_i2	NA	NA	NA	NA	0.440537599	unbias	0.292296804	Brain_mmean
TRINITY_DN103037_c0_g1_i1	Xetrov90001259m	Chr01	70178425	70178425	-1.093171083	unbias	0.973035129	G46_F_mean
TRINITY_DN103037_c0_g2_i1	NA	NA	NA	NA	-0.865376418	unbias	0.980159039	G46_F_mean
TRINITY_DN103049_c0_g4_i1	orc3	Chr05	87042358	87042358	0.683439579	unbias	0.443236246	G46_M_mean
TRINITY_DN103059_c0_g1_i1	NA	NA	NA	NA	0.379564975	unbias	0.083164472	G27_fmean
TRINITY_DN103065_c0_g1_i1	NA	NA	NA	NA	0.464265723	unbias	0.23086557	G46_M_mean
TRINITY_DN103086_c1_g1_i1	NA	NA	NA	NA	1.928638256	male	0.624245117	G43_F_mean
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.038065352	unbias	0.139536702	Ovary_mean
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	0.421735541	unbias	0.375544167	Testis_mean
TRINITY_DN103157_c0_g1_i2	lhx9	Chr04	101172999	101172999	0.28317655	unbias	0.568647296	Brain_mmean
TRINITY_DN103173_c1_g1_i1	NA	NA	NA	NA	0.07507515	unbias	0.876580569	G46_F_mean
TRINITY_DN103187_c0_g1_i2	NA	NA	NA	NA	0.848056394	unbias	0.457716697	G46_M_mean
TRINITY_DN103192_c0_g1_i1	NA	NA	NA	NA	0.098693179	unbias	0.218716679	Testis_mean
TRINITY_DN103199_c0_g1_i1	NA	NA	NA	NA	0.695260461	unbias	0.570891556	Brain_mmean
TRINITY_DN103200_c0_g1_i1	NA	NA	NA	NA	0.621005978	unbias	0.545221353	Liver_fmean
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	-0.286978962	unbias	0.139736082	Ovary_mean
TRINITY_DN103214_c0_g1_i1	NA	NA	NA	NA	1.217202381	unbias	0.508233663	Brain_mmean
TRINITY_DN103227_c0_g1_i1	NA	NA	NA	NA	0.460891452	unbias	0.621469287	Brain_fmean
TRINITY_DN103236_c0_g2_i1	NA	NA	NA	NA	-0.118150212	unbias	0.219464026	Brain_mmean
TRINITY_DN103267_c0_g1_i1	NA	NA	NA	NA	-0.467307495	unbias	0.459804173	Brain_mmean
TRINITY_DN103270_c0_g1_i1	NA	NA	NA	NA	1.255373843	unbias	0.856921303	G46_M_mean
TRINITY_DN103284_c0_g1_i2	rnf207	Chr07	90525912	90525912	1.958950458	male	0.434721816	Liver_fmean
TRINITY_DN103287_c0_g1_i1	NA	NA	NA	NA	0.675123222	unbias	0.71250102	G46_M_mean
TRINITY_DN103303_c0_g1_i2	NA	NA	NA	NA	0.308679707	unbias	0.385986825	Brain_fmean
TRINITY_DN103334_c0_g1_i1	Xetrov90019068m	Chr07	98211599	98211599	0.521478314	unbias	0.37834483	Brain_mmean
TRINITY_DN103350_c0_g1_i2	ndp	Chr02	69274584	69274584	0.120617853	unbias	0.294572849	G46_F_mean
TRINITY_DN103468_c0_g1_i2	hspa13	Chr02	22412658	22412658	0.137479392	unbias	0.787278492	G46_F_mean
TRINITY_DN103496_c0_g1_i1	NA	NA	NA	NA	0.071686535	unbias	0.369574973	G43_F_mean
TRINITY_DN103500_c0_g1_i1	NA	NA	NA	NA	-1.203849282	female	0.300281271	Ovary_mean
TRINITY_DN103501_c0_g1_i1	NA	NA	NA	NA	0.312617185	unbias	0.634452896	Brain_fmean
TRINITY_DN103502_c0_g1_i1	NA	NA	NA	NA	0.218547625	unbias	0.47997309	G43_F_mean
TRINITY_DN103509_c0_g1_i1	NA	NA	NA	NA	-0.060005155	unbias	0.600261969	G23_mmean
TRINITY_DN103511_c0_g1_i2	NA	NA	NA	NA	-0.193610704	unbias	0.497948042	Brain_mmean
TRINITY_DN103523_c0_g1_i1	NA	NA	NA	NA	0.811614044	unbias	0.857705173	G46_M_mean
TRINITY_DN103526_c0_g1_i1	NA	NA	NA	NA	-2.409666638	female	0.619290643	Ovary_mean
TRINITY_DN103527_c0_g1_i1	b9d1	Chr09	12492498	12492498	0.718618054	unbias	0.820868409	G43_M_mean
TRINITY_DN103537_c0_g1_i1	NA	NA	NA	NA	-1.951589137	female	0.498017879	Ovary_mean
TRINITY_DN103537_c0_g2_i1	NA	NA	NA	NA	-0.616836482	unbias	0.360648716	Testis_mean
TRINITY_DN103542_c0_g2_i1	atp9b	Chr06	28091200	28091200	-0.313533305	unbias	0.916023343	G46_F_mean
TRINITY_DN103544_c0_g1_i2	NA	NA	NA	NA	1.60550471	unbias	0.471080709	Brain_mmean
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	-1.371772163	female	0.312515837	Ovary_mean
TRINITY_DN103557_c0_g2_i2	NA	NA	NA	NA	-1.152357093	female	0.328864962	Ovary_mean
TRINITY_DN103557_c0_g3_i1	c12orf49	Chr01	156092901	156092901	1.026647719	unbias	0.291222265	Ovary_mean
TRINITY_DN103558_c0_g1_i1	NA	NA	NA	NA	0.721173903	unbias	0.252684802	G27_mmean
TRINITY_DN103565_c0_g1_i1	NA	NA	NA	NA	-1.729409902	female	0.54370292	Ovary_mean
TRINITY_DN103565_c0_g4_i1	NA	NA	NA	NA	-5.01153916	female	0.958933976	Ovary_mean
TRINITY_DN103567_c0_g1_i1	enpep	Chr01	58901065	58901065	-0.390671666	unbias	0.209787303	Ovary_mean
TRINITY_DN103584_c0_g2_i1	NA	NA	NA	NA	0.679803721	unbias	0.719761967	Brain_mmean
TRINITY_DN103615_c0_g1_i1	lpcat2	Chr04	45407656	45407656	0.031324057	unbias	0.181753769	G27_fmean
TRINITY_DN103621_c0_g1_i2	NA	NA	NA	NA	-3.807957397	female	0.700727109	Ovary_mean
TRINITY_DN103622_c0_g3_i3	dhx15	Chr01	21109905	21109905	-3.268973096	female	0.5106073	Ovary_mean
TRINITY_DN103624_c0_g1_i1	NA	NA	NA	NA	0.34056271	unbias	0.711291361	Brain_mmean
TRINITY_DN103630_c0_g1_i1	crhr1.2	Chr10	7968259	7968259	0.027701722	unbias	0.316435943	Brain_mmean
TRINITY_DN103631_c0_g1_i1	NA	NA	NA	NA	0.616093269	unbias	0.473171897	G43_M_mean
TRINITY_DN103637_c0_g1_i1	NA	NA	NA	NA	-3.259103652	female	0.610750526	Ovary_mean
