gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	PV.XY23.XX23	FDR.XY23.XX23	tau	tissue	stage
TRINITY_DN101361_c0_g1_i2	NA	NA	NA	NA	7.566948242	0.479050432	0.094081779	0.999995244	0.451788343	G23_mmean	G23
TRINITY_DN101409_c0_g1_i1	cdx1	Chr03	7371260	7371260	1.031357934	0.382153373	0.497922639	0.999995244	0.396156883	G31_mmean	G23
TRINITY_DN101432_c0_g2_i1	NA	NA	NA	NA	2.522002225	0.050781938	0.914262372	0.999995244	0.319922517	G27_mmean	G23
TRINITY_DN101437_c0_g1_i1	wdr16	Chr10	39025432	39025432	5.583186464	0.06122321	0.80326013	0.999995244	0.235972827	Ovary_mean	G23
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	5.767155849	-0.00815668	0.972494267	0.999995244	0.484065879	Ovary_mean	G23
TRINITY_DN101472_c0_g1_i1	LOC100490649	Chr01	129940491	129940491	1.776687921	0.13883162	0.732542384	0.999995244	0.463317315	Ovary_mean	G23
TRINITY_DN101477_c0_g1_i2	snx2-like	Chr01	160975561	160975561	1.378091006	-0.165580896	0.832990045	0.999995244	0.379893771	G46_M_mean	G23
TRINITY_DN101481_c0_g1_i2	NA	NA	NA	NA	0.479880196	-0.013230961	0.978350009	0.999995244	0.333703367	Brain_fmean	G23
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	6.564991623	0.162172638	0.474323967	0.999995244	0.170045449	G23_mmean	G23
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	7.792519077	-0.050807253	0.812656902	0.999995244	0.253323869	Ovary_mean	G23
TRINITY_DN101558_c0_g1_i1	clock	Chr01	31205911	31205911	1.233241939	0.156469852	0.708504786	0.999995244	0.434258624	Ovary_mean	G23
TRINITY_DN101610_c0_g2_i1	NA	NA	NA	NA	7.997909218	0.24790912	0.25690017	0.999995244	0.176829961	G43_F_mean	G23
TRINITY_DN101728_c0_g2_i1	rnf157	Chr10	36523251	36523251	4.593315069	0.017288188	0.946780608	0.999995244	0.459006234	G43_F_mean	G23
TRINITY_DN101738_c0_g2_i1	NA	NA	NA	NA	0.097737566	0.722628401	0.302883734	0.999995244	0.428795695	Brain_mmean	G23
TRINITY_DN101739_c1_g1_i2	NA	NA	NA	NA	0.330734906	-0.255265997	0.622180359	0.999995244	0.334721874	G43_M_mean	G23
TRINITY_DN101751_c0_g1_i1	NA	NA	NA	NA	4.082748587	-0.093831768	0.721297317	0.999995244	0.51580006	Ovary_mean	G23
TRINITY_DN101758_c0_g1_i1	NA	NA	NA	NA	6.670793926	0.005171393	0.98056376	0.999995244	0.098486839	G27_fmean	G23
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	3.918692628	0.093288009	0.746805191	0.999995244	0.412454283	Brain_fmean	G23
TRINITY_DN101813_c0_g1_i1	NA	NA	NA	NA	5.470798324	-0.228855078	0.440234037	0.999995244	0.500209223	G27_mmean	G23
TRINITY_DN101821_c0_g1_i1	NA	NA	NA	NA	3.442051255	-0.057887043	0.844120756	0.999995244	0.703153505	Brain_mmean	G23
TRINITY_DN101833_c0_g1_i1	inpp5j	Chr01	131649401	131649401	4.667110966	-0.108412118	0.695930143	0.999995244	0.394024284	Ovary_mean	G23
TRINITY_DN101867_c0_g1_i1	NA	NA	NA	NA	1.648645368	0.224393189	0.581013041	0.999995244	0.261813566	G23_mmean	G23
TRINITY_DN101869_c0_g1_i1	NA	NA	NA	NA	0.318145963	-0.378712737	0.417606835	0.999995244	0.609127914	Brain_mmean	G23
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	0.988790078	0.203233689	0.64085939	0.999995244	0.32010738	G31_mmean	G23
TRINITY_DN101897_c0_g1_i1	NA	NA	NA	NA	0.840444627	-0.12266068	0.783917082	0.999995244	0.399599534	Brain_mmean	G23
TRINITY_DN101901_c0_g1_i2	twf1	Chr03	54831483	54831483	0.273056246	-0.593674819	0.266059986	0.999995244	0.436273168	G31_mmean	G23
TRINITY_DN101903_c0_g1_i1	mycn	Chr05	136942812	136942812	4.851358741	0.048879581	0.847611725	0.999995244	0.455250056	Ovary_mean	G23
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	4.32606504	0.079380436	0.755867722	0.999995244	0.469207272	Ovary_mean	G23
TRINITY_DN101919_c0_g1_i1	NA	NA	NA	NA	0.209549493	0.655555293	0.246273011	0.999995244	0.415215728	G43_M_mean	G23
TRINITY_DN101924_c0_g1_i2	NA	NA	NA	NA	2.153671085	0.117679254	0.745962709	0.999995244	0.257230037	G23_mmean	G23
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	1.746796119	-0.145989077	0.704226136	0.999995244	0.428111172	Ovary_mean	G23
TRINITY_DN101967_c0_g1_i4	LOC100487502	Chr04	105063977	105063977	0.652155116	-0.226663895	0.617024177	0.999995244	0.620008627	Brain_mmean	G23
TRINITY_DN101988_c0_g1_i1	NA	NA	NA	NA	3.524669251	0.062571517	0.861879431	0.999995244	0.536554319	G43_F_mean	G23
TRINITY_DN102000_c0_g1_i1	NA	NA	NA	NA	2.65974279	-0.157144232	0.629163667	0.999995244	0.411657529	Testis_mean	G23
TRINITY_DN10201_c0_g1_i1	NA	NA	NA	NA	1.056193665	0.081345362	0.858317279	0.999995244	0.774695299	G46_F_mean	G23
TRINITY_DN102010_c0_g1_i1	NA	NA	NA	NA	0.005751742	0.300759057	0.541146592	0.999995244	0.649104963	G43_F_mean	G23
TRINITY_DN102016_c0_g1_i1	tmed1	Chr03	128049225	128049225	6.02588029	-0.045213385	0.840416298	0.999995244	0.331308297	Ovary_mean	G23
TRINITY_DN102026_c0_g1_i2	NA	NA	NA	NA	1.50023576	-0.063319575	0.892698265	0.999995244	0.577737791	Brain_fmean	G23
TRINITY_DN102032_c0_g1_i1	NA	NA	NA	NA	0.502154634	0.275174974	0.556166628	0.999995244	0.7996036	Brain_mmean	G23
TRINITY_DN102065_c0_g1_i1	Xetrov90026986m	scaffold_199	135342	135342	6.220171253	-0.076992214	0.728099318	0.999995244	0.434214696	Ovary_mean	G23
TRINITY_DN102065_c0_g2_i1	NA	NA	NA	NA	1.614368143	-0.760517263	0.406530503	0.999995244	0.758044704	Testis_mean	G23
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	3.592247513	0.135870648	0.630706961	0.999995244	0.462382496	Testis_mean	G23
TRINITY_DN102070_c0_g3_i2	NA	NA	NA	NA	0.267898338	-0.081106924	0.893301388	0.999995244	0.739712783	G46_F_mean	G23
TRINITY_DN102078_c0_g1_i1	NA	NA	NA	NA	6.149061941	0.217714445	0.338481591	0.999995244	0.261237667	Ovary_mean	G23
TRINITY_DN102078_c0_g2_i1	NA	NA	NA	NA	4.432956075	-0.114992361	0.670378456	0.999995244	0.245801134	Ovary_mean	G23
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	4.034215762	-0.042527063	0.886710384	0.999995244	0.22164913	Ovary_mean	G23
TRINITY_DN102094_c0_g1_i1	akirin1	Chr02	54768838	54768838	1.983167175	-1.203878954	0.152039513	0.999995244	0.843226352	Brain_fmean	G23
TRINITY_DN102094_c0_g2_i1	NA	NA	NA	NA	1.775321182	0.32474709	0.462919264	0.999995244	0.85066817	Brain_fmean	G23
TRINITY_DN102094_c0_g3_i1	NA	NA	NA	NA	3.101529599	0.381084613	0.364271193	0.999995244	0.761298496	Brain_fmean	G23
TRINITY_DN102104_c0_g1_i1	lrrc32-like	Chr02	168798028	168798028	1.898918894	0.121780036	0.739959777	0.999995244	0.322697995	G43_F_mean	G23
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	0.702378685	-0.106052287	0.811089354	0.999995244	0.486775433	Ovary_mean	G23
TRINITY_DN102142_c0_g1_i1	NA	NA	NA	NA	1.703012741	0.080539037	0.834359114	0.999995244	0.538210506	G27_mmean	G23
TRINITY_DN102150_c0_g1_i3	NA	NA	NA	NA	0.621281638	0.529675695	0.430289676	0.999995244	0.582724802	Liver_fmean	G23
TRINITY_DN102158_c0_g1_i1	NA	NA	NA	NA	6.902644739	0.050262683	0.819523953	0.999995244	0.208238663	Ovary_mean	G23
TRINITY_DN102159_c0_g1_i2	NA	NA	NA	NA	3.664792844	-0.618484538	0.184092125	0.999995244	0.46068713	Liver_fmean	G23
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	2.479372414	-0.157368963	0.655246147	0.999995244	0.497457845	Ovary_mean	G23
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	5.712121485	-0.026679089	0.907515188	0.999995244	0.29869715	Ovary_mean	G23
TRINITY_DN102186_c0_g1_i2	NA	NA	NA	NA	0.357664144	0.432205193	0.455125887	0.999995244	0.616356934	G43_F_mean	G23
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	1.274444496	-0.782744082	0.319153582	0.999995244	0.435739261	Brain_fmean	G23
TRINITY_DN102193_c0_g2_i1	NA	NA	NA	NA	3.38488113	-0.290507967	0.324031898	0.999995244	0.445715317	Brain_fmean	G23
TRINITY_DN102201_c0_g1_i1	NA	NA	NA	NA	1.286379773	0.121121712	0.759217689	0.999995244	0.385276075	Brain_mmean	G23
TRINITY_DN102246_c0_g4_i1	NA	NA	NA	NA	2.61994115	0.535759991	0.241174832	0.999995244	0.679996531	G27_fmean	G23
TRINITY_DN102246_c0_g5_i1	NA	NA	NA	NA	1.163063701	1.949463997	0.075814439	0.999995244	0.72595272	G23_mmean	G23
TRINITY_DN102252_c0_g2_i1	smc3	scaffold_401	72807	72807	4.50017284	0.272016809	0.400730213	0.999995244	0.443087166	G23_mmean	G23
TRINITY_DN102272_c0_g1_i1	NA	NA	NA	NA	4.341268118	0.093268303	0.743583504	0.999995244	0.448244822	Ovary_mean	G23
TRINITY_DN102276_c0_g1_i1	NA	NA	NA	NA	1.100978915	0.053746509	0.899113418	0.999995244	0.683653075	G43_F_mean	G23
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	5.932206549	0.255772482	0.259769154	0.999995244	0.148778968	G23_mmean	G23
TRINITY_DN102279_c0_g2_i1	NA	NA	NA	NA	4.818357721	-0.147113979	0.564137059	0.999995244	0.17047988	G23_fmean	G23
TRINITY_DN102288_c0_g1_i1	NA	NA	NA	NA	2.656427563	0.25899984	0.427361039	0.999995244	0.636104975	Ovary_mean	G23
TRINITY_DN102300_c0_g1_i1	NA	NA	NA	NA	3.012542719	-0.000609568	0.998432924	0.999995244	0.403244184	G23_fmean	G23
TRINITY_DN102312_c0_g1_i1	NA	NA	NA	NA	7.784850339	0.109863066	0.629735306	0.999995244	0.552689326	G27_mmean	G23
TRINITY_DN102326_c0_g3_i1	NA	NA	NA	NA	0.793975456	0.728229996	0.098842593	0.999995244	0.56589888	G46_M_mean	G23
TRINITY_DN102362_c0_g1_i1	minpp1	Chr07	4816195	4816195	6.29736303	0.007873151	0.972020238	0.999995244	0.225177242	Ovary_mean	G23
TRINITY_DN102365_c0_g1_i1	limch1-like	Chr01	27762044	27762044	4.374278922	-0.004483239	0.987144967	0.999995244	0.507290717	Ovary_mean	G23
TRINITY_DN102367_c0_g1_i2	NA	NA	NA	NA	0.768193459	1.25304488	0.169017959	0.999995244	0.489053518	G43_M_mean	G23
TRINITY_DN102393_c0_g1_i1	NA	NA	NA	NA	5.140855704	-0.100824205	0.723396987	0.999995244	0.632102805	G27_mmean	G23
TRINITY_DN102400_c0_g1_i1	adora1	Chr02	68009727	68009727	6.180522523	0.025548806	0.908769284	0.999995244	0.174012021	Testis_mean	G23
TRINITY_DN102407_c0_g1_i1	NA	NA	NA	NA	0.722215252	0.980080163	0.233707216	0.999995244	0.346573817	Brain_fmean	G23
TRINITY_DN102412_c0_g1_i1	tmem39b	Chr02	82395230	82395230	0.125019243	0.284973949	0.556561272	0.999995244	0.698316855	G46_F_mean	G23
TRINITY_DN102425_c0_g1_i1	NA	NA	NA	NA	0.532606657	0.166796797	0.718622142	0.999995244	0.662027149	Brain_mmean	G23
TRINITY_DN102429_c0_g1_i2	NA	NA	NA	NA	1.842067358	-0.182201791	0.661097259	0.999995244	0.314321121	G43_F_mean	G23
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	6.695972464	0.02577238	0.907325243	0.999995244	0.360773137	Ovary_mean	G23
TRINITY_DN102449_c0_g1_i1	NA	NA	NA	NA	1.60862328	-0.422096115	0.277670805	0.999995244	0.431321007	G43_F_mean	G23
TRINITY_DN102455_c0_g1_i1	hmgcll1-like	Chr05	88279793	88279793	4.028545509	0.086099153	0.748288687	0.999995244	0.185950609	Ovary_mean	G23
TRINITY_DN102456_c0_g1_i1	NA	NA	NA	NA	0.512129078	0.359661302	0.505185724	0.999995244	0.48595209	Liver_mmean	G23
TRINITY_DN102458_c0_g1_i1	NA	NA	NA	NA	1.911664874	-0.263671203	0.618603984	0.999995244	0.637275108	G31_mmean	G23
TRINITY_DN102459_c0_g1_i1	fkbp6	Chr02	37483170	37483170	1.061617936	-0.354836571	0.3904389	0.999995244	0.616896586	Brain_mmean	G23
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	1.001496853	0.301537818	0.461364424	0.999995244	0.524397524	Liver_fmean	G23
TRINITY_DN102489_c0_g3_i1	abcg8	Chr05	14589593	14589593	2.991968914	0.162345928	0.647770052	0.999995244	0.515521103	G43_M_mean	G23
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	6.50434242	0.009207461	0.967361569	0.999995244	0.203652497	Ovary_mean	G23
TRINITY_DN102496_c0_g1_i1	NA	NA	NA	NA	8.759629733	0.109915993	0.587462873	0.999995244	0.146281621	G23_mmean	G23
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	5.356048911	0.036256522	0.904126072	0.999995244	0.54774587	G23_fmean	G23
TRINITY_DN102539_c0_g1_i1	NA	NA	NA	NA	4.794370352	-0.083482117	0.727375666	0.999995244	0.350280171	Brain_mmean	G23
TRINITY_DN102559_c0_g2_i1	NA	NA	NA	NA	3.961423004	0.009213704	0.977356757	0.999995244	0.490634631	Ovary_mean	G23
TRINITY_DN102559_c0_g3_i1	NA	NA	NA	NA	0.471486528	-0.121379791	0.815012256	0.999995244	0.619153251	G23_fmean	G23
TRINITY_DN102578_c0_g1_i1	NA	NA	NA	NA	4.202402371	0.17551955	0.562902784	0.999995244	0.450145714	G23_mmean	G23
TRINITY_DN102581_c0_g1_i2	NA	NA	NA	NA	0.801376635	1.077121971	0.037649431	0.999995244	0.818376762	Ovary_mean	G23
TRINITY_DN102584_c0_g1_i1	NA	NA	NA	NA	0.476238776	-0.3631321	0.570699326	0.999995244	0.375609887	Brain_fmean	G23
TRINITY_DN102595_c0_g1_i2	NA	NA	NA	NA	0.911260884	0.039756228	0.926291695	0.999995244	0.592060982	G43_M_mean	G23
TRINITY_DN102616_c0_g1_i1	NA	NA	NA	NA	1.419964928	-0.052547975	0.894085373	0.999995244	0.238162136	Brain_fmean	G23
TRINITY_DN102643_c0_g1_i1	epdr1	Chr06	80833581	80833581	0.76552712	-0.592112124	0.202797073	0.999995244	0.26672218	G43_M_mean	G23
TRINITY_DN102646_c0_g1_i1	NA	NA	NA	NA	0.387893038	-0.059507083	0.914444716	0.999995244	0.597730243	Brain_fmean	G23
TRINITY_DN102661_c0_g1_i1	NA	NA	NA	NA	2.402751465	0.078334786	0.847673362	0.999995244	0.259109979	G23_fmean	G23
TRINITY_DN102667_c0_g1_i1	NA	NA	NA	NA	5.542670616	0.07415764	0.761575293	0.999995244	0.17431997	Brain_fmean	G23
TRINITY_DN102702_c0_g1_i1	hdac9	Chr06	43842907	43842907	3.277001656	-0.266912995	0.382749689	0.999995244	0.39105166	Ovary_mean	G23
TRINITY_DN102772_c0_g1_i1	NA	NA	NA	NA	0.026013133	0.238699516	0.680926024	0.999995244	0.4231872	Ovary_mean	G23
TRINITY_DN102865_c0_g1_i2	NA	NA	NA	NA	3.332976655	0.193727888	0.551877473	0.999995244	0.194483358	Brain_mmean	G23
TRINITY_DN102903_c0_g1_i1	NA	NA	NA	NA	0.470747016	0.017896543	0.970497648	0.999995244	0.262633434	Brain_fmean	G23
TRINITY_DN102912_c0_g1_i1	NA	NA	NA	NA	0.774294712	1.448180283	0.073507857	0.999995244	0.445675969	G31_mmean	G23
TRINITY_DN102923_c0_g1_i1	NA	NA	NA	NA	1.548056917	0.079115703	0.840164122	0.999995244	0.200318895	Brain_fmean	G23
TRINITY_DN102938_c0_g1_i1	c6orf211	Chr03	8981568	8981568	2.236925124	0.102963186	0.770928109	0.999995244	0.237453564	Ovary_mean	G23
TRINITY_DN102989_c0_g1_i1	NA	NA	NA	NA	0.199330873	-0.161830871	0.750855507	0.999995244	0.423435521	Brain_fmean	G23
TRINITY_DN103024_c0_g1_i2	NA	NA	NA	NA	1.367674473	-0.035824435	0.949973248	0.999995244	0.292296804	Brain_mmean	G23
TRINITY_DN103049_c0_g4_i1	NA	NA	NA	NA	0.703020108	0.581629808	0.258854226	0.999995244	0.443236246	G46_M_mean	G23
TRINITY_DN103059_c0_g1_i1	LOC100489530-like	Chr08	111927446	111927446	7.380381776	0.069869317	0.741625305	0.999995244	0.083164472	G27_fmean	G23
TRINITY_DN103065_c0_g1_i1	NA	NA	NA	NA	1.805555356	-0.295209237	0.536407376	0.999995244	0.23086557	G46_M_mean	G23
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	6.037259898	0.069554964	0.76355874	0.999995244	0.139536702	Ovary_mean	G23
TRINITY_DN103145_c0_g1_i1	NA	NA	NA	NA	0.84735768	-0.142871722	0.746989524	0.999995244	0.666608103	Brain_fmean	G23
TRINITY_DN103147_c0_g1_i1	NA	NA	NA	NA	0.532346224	-0.090833785	0.857250906	0.999995244	0.707284275	G23_fmean	G23
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	1.947232693	-0.042728792	0.905761011	0.999995244	0.375544167	Testis_mean	G23
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	2.196444333	-0.224730762	0.542752332	0.999995244	0.568647296	Brain_mmean	G23
TRINITY_DN103192_c0_g1_i1	NA	NA	NA	NA	3.436039616	0.001701051	0.995544066	0.999995244	0.218716679	Testis_mean	G23
TRINITY_DN103196_c0_g1_i2	crlf1	Chr01	87594384	87594384	5.44956976	0.093038659	0.687559733	0.999995244	0.272730276	Ovary_mean	G23
TRINITY_DN103199_c0_g1_i1	NA	NA	NA	NA	1.63808091	0.067329983	0.881776552	0.999995244	0.570891556	Brain_mmean	G23
