gid	cutoff	bias	log2RPKM	sex	gname	chr	chr_all	start	end	target_id	length	eff_length
TRINITY_DN109646_c1_g1_i3	FC1	female	7.49994566	meanfemale	Xetrov90001894m	Chr01	Chr01	97375445	97375445	TRINITY_DN109646_c1_g1_i3	2371	2154.83
TRINITY_DN110037_c0_g1_i1	FC1	female	3.475560424	meanfemale	LOC100490930	Chr01	Chr01	182019902	182019902	TRINITY_DN110037_c0_g1_i1	1101	884.835
TRINITY_DN110371_c0_g1_i1	FC1	female	0.52309919	meanfemale	gfra4	Chr01	Chr01	7416468	7416468	TRINITY_DN110371_c0_g1_i1	2799	2582.83
TRINITY_DN110955_c0_g1_i1	FC1	female	5.960560189	meanfemale	chchd10	Chr01	Chr01	86912587	86912587	TRINITY_DN110955_c0_g1_i1	766	550.057
TRINITY_DN111067_c0_g1_i1	FC1	female	4.430800322	meanfemale	apba3-like	Chr01	Chr01	74393757	74393757	TRINITY_DN111067_c0_g1_i1	2817	2600.83
TRINITY_DN111129_c0_g1_i1	FC1	female	6.879764534	meanfemale	fbxl5	Chr01	Chr01	16988064	16988064	TRINITY_DN111129_c0_g1_i1	2161	1944.83
TRINITY_DN112067_c0_g1_i2	FC1	female	-0.072433342	meanfemale	vim.2	Chr01	Chr01	11588720	11588720	TRINITY_DN112067_c0_g1_i2	1449	1232.83
TRINITY_DN112453_c0_g3_i1	FC1	female	5.290111642	meanfemale	bcl7a	Chr01	Chr01	153437220	153437220	TRINITY_DN112453_c0_g3_i1	1708	1491.83
TRINITY_DN112849_c0_g1_i1	FC1	female	3.689292051	meanfemale	slc35e1	Chr01	Chr01	100115756	100115756	TRINITY_DN112849_c0_g1_i1	2129	1912.83
TRINITY_DN112933_c0_g2_i1	FC1	female	6.878681843	meanfemale	Xetrov90001975m	Chr01	Chr01	100592693	100592693	TRINITY_DN112933_c0_g2_i1	1769	1552.83
TRINITY_DN113395_c0_g1_i5	FC1	female	4.711362708	meanfemale	ogfod2	Chr01	Chr01	152771504	152771504	TRINITY_DN113395_c0_g1_i5	1185	968.835
TRINITY_DN113530_c0_g1_i1	FC1	female	6.457291155	meanfemale	rchy1	Chr01	Chr01	70186402	70186402	TRINITY_DN113530_c0_g1_i1	1165	948.835
TRINITY_DN113809_c0_g1_i2	FC1	female	7.078803935	meanfemale	pyurf	Chr01	Chr01	58346443	58346443	TRINITY_DN113809_c0_g1_i2	886	669.958
TRINITY_DN114338_c0_g2_i2	FC1	female	7.740008299	meanfemale	pop5-like	Chr01	Chr01	143273044	143273044	TRINITY_DN114338_c0_g2_i2	701	485.126
TRINITY_DN114344_c0_g2_i1	FC1	female	4.325709122	meanfemale	gltp	Chr01	Chr01	138816845	138816845	TRINITY_DN114344_c0_g2_i1	1252	1035.83
TRINITY_DN114651_c0_g1_i3	FC1	female	5.404848551	meanfemale	gtf2h3	Chr01	Chr01	152363125	152363125	TRINITY_DN114651_c0_g1_i3	1567	1350.83
TRINITY_DN114720_c2_g1_i2	FC1	female	1.937755243	meanfemale	mgat4a	Chr01	Chr01	51145888	51145888	TRINITY_DN114720_c2_g1_i2	2227	2010.83
TRINITY_DN114799_c0_g1_i1	FC1	female	7.240295972	meanfemale	aga	Chr01	Chr01	38042206	38042206	TRINITY_DN114799_c0_g1_i1	1304	1087.83
TRINITY_DN114876_c0_g1_i1	FC1	female	2.403891973	meanfemale	s100z	Chr01	Chr01	164876388	164876388	TRINITY_DN114876_c0_g1_i1	704	488.126
TRINITY_DN114976_c0_g1_i1	FC1	female	4.368608702	meanfemale	mmab	Chr01	Chr01	138372445	138372445	TRINITY_DN114976_c0_g1_i1	911	694.958
TRINITY_DN115131_c0_g3_i1	FC1	female	6.174565531	meanfemale	ccnh	Chr01	Chr01	169856023	169856023	TRINITY_DN115131_c0_g3_i1	1487	1270.83
TRINITY_DN115244_c0_g1_i1	FC1	female	5.530200189	meanfemale	sh2d4a	Chr01	Chr01	77329522	77329522	TRINITY_DN115244_c0_g1_i1	2040	1823.83
TRINITY_DN115291_c0_g1_i1	FC1	female	5.871070879	meanfemale	fbxo8	Chr01	Chr01	39144104	39144104	TRINITY_DN115291_c0_g1_i1	1836	1619.83
TRINITY_DN115618_c0_g1_i1	FC1	female	7.389722862	meanfemale	aldh7a1	Chr01	Chr01	159792883	159792883	TRINITY_DN115618_c0_g1_i1	2225	2008.83
TRINITY_DN116229_c1_g1_i3	FC1	female	7.172261055	meanfemale	snx2-like	Chr01	Chr01	160975561	160975561	TRINITY_DN116229_c1_g1_i3	2055	1838.83
TRINITY_DN116377_c0_g1_i1	FC1	female	7.109007796	meanfemale	ngdn	Chr01	Chr01	127651085	127651085	TRINITY_DN116377_c0_g1_i1	1659	1442.83
TRINITY_DN116557_c0_g1_i2	FC1	female	7.030149276	meanfemale	noc4l	Chr01	Chr01	147958547	147958547	TRINITY_DN116557_c0_g1_i2	2416	2199.83
TRINITY_DN116576_c0_g1_i2	FC1	female	5.80634901	meanfemale	scarb1	Chr01	Chr01	151579205	151579205	TRINITY_DN116576_c0_g1_i2	3688	3471.83
TRINITY_DN116651_c0_g1_i3	FC1	female	5.989020881	meanfemale	vps33a	Chr01	Chr01	153248054	153248054	TRINITY_DN116651_c0_g1_i3	3472	3255.83
TRINITY_DN116762_c0_g1_i1	FC1	female	5.824787891	meanfemale	prkaa1	Chr01	Chr01	182981048	182981048	TRINITY_DN116762_c0_g1_i1	2201	1984.83
TRINITY_DN116846_c0_g1_i3	FC1	female	3.887445477	meanfemale	cep78	Chr01	Chr01	120315587	120315587	TRINITY_DN116846_c0_g1_i3	2845	2628.83
TRINITY_DN116963_c0_g1_i1	FC1	female	5.846775554	meanfemale	wdr70	Chr01	Chr01	184283815	184283815	TRINITY_DN116963_c0_g1_i1	2103	1886.83
TRINITY_DN117015_c2_g1_i2	FC1	female	2.085513106	meanfemale	cfd	Chr01	Chr01	81874550	81874550	TRINITY_DN117015_c2_g1_i2	1628	1411.83
TRINITY_DN117117_c1_g1_i2	FC1	female	6.029560787	meanfemale	mettl17	Chr01	Chr01	131000181	131000181	TRINITY_DN117117_c1_g1_i2	2174	1957.83
TRINITY_DN117173_c0_g1_i1	FC1	female	2.324751005	meanfemale	fstl3	Chr01	Chr01	86773131	86773131	TRINITY_DN117173_c0_g1_i1	2259	2042.83
TRINITY_DN117235_c0_g3_i1	FC1	female	6.180295432	meanfemale	haus8	Chr01	Chr01	99918670	99918670	TRINITY_DN117235_c0_g3_i1	2006	1789.83
TRINITY_DN117328_c0_g1_i1	FC1	female	-0.564295284	meanfemale	lppr3	Chr01	Chr01	81892404	81892404	TRINITY_DN117328_c0_g1_i1	3855	3638.83
TRINITY_DN117330_c0_g1_i2	FC1	female	6.911147444	meanfemale	dda1	Chr01	Chr01	101222621	101222621	TRINITY_DN117330_c0_g1_i2	1903	1686.83
TRINITY_DN117497_c0_g1_i2	FC1	female	4.967283013	meanfemale	brap	Chr01	Chr01	154430859	154430859	TRINITY_DN117497_c0_g1_i2	3806	3589.83
TRINITY_DN117723_c0_g1_i1	FC1	female	4.998910162	meanfemale	spata4-like	Chr01	Chr01	38573353	38573353	TRINITY_DN117723_c0_g1_i1	1568	1351.83
TRINITY_DN117803_c0_g1_i2	FC1	female	7.218820565	meanfemale	dimt1	Chr01	Chr01	176073443	176073443	TRINITY_DN117803_c0_g1_i2	1481	1264.83
TRINITY_DN117878_c0_g1_i1	FC1	female	2.427384218	meanfemale	paqr3	Chr01	Chr01	75965288	75965288	TRINITY_DN117878_c0_g1_i1	1772	1555.83
TRINITY_DN117920_c0_g1_i5	FC1	female	6.693691939	meanfemale	ociad2	Chr01	Chr01	30009371	30009371	TRINITY_DN117920_c0_g1_i5	721	505.093
TRINITY_DN117942_c0_g1_i2	FC1	female	-0.734194305	meanfemale	LOC100488523	Chr01	Chr01	111913053	111913053	TRINITY_DN117942_c0_g1_i2	7456	7239.83
TRINITY_DN118005_c0_g2_i1	FC1	female	4.929748278	meanfemale	cds1	Chr01	Chr01	92574911	92574911	TRINITY_DN118005_c0_g2_i1	2212	1995.83
TRINITY_DN118139_c0_g1_i2	FC1	female	8.672001194	meanfemale	LOC100487248-like	Chr01	Chr01	74854551	74854551	TRINITY_DN118139_c0_g1_i2	1696	1479.83
TRINITY_DN118284_c0_g1_i1	FC1	female	-0.592613314	meanfemale	slco4c1	Chr01	Chr01	137467781	137467781	TRINITY_DN118284_c0_g1_i1	2709	2492.83
TRINITY_DN118379_c0_g1_i1	FC1	female	3.903917865	meanfemale	sass6	Chr01	Chr01	124600137	124600137	TRINITY_DN118379_c0_g1_i1	3132	2915.83
TRINITY_DN118391_c0_g1_i1	FC1	female	3.303251023	meanfemale	bbs12-like	Chr01	Chr01	56525994	56525994	TRINITY_DN118391_c0_g1_i1	2290	2073.83
TRINITY_DN118415_c0_g1_i1	FC1	female	4.242471608	meanfemale	LOC100145050-like	Chr01	Chr01	132701995	132701995	TRINITY_DN118415_c0_g1_i1	1265	1048.83
TRINITY_DN118628_c0_g2_i3	FC1	female	3.569759409	meanfemale	glt1d1	Chr01	Chr01	150293256	150293256	TRINITY_DN118628_c0_g2_i3	2024	1807.83
TRINITY_DN118755_c0_g1_i1	FC1	female	6.627958517	meanfemale	zmat5	Chr01	Chr01	132234180	132234180	TRINITY_DN118755_c0_g1_i1	996	779.835
TRINITY_DN118791_c0_g1_i2	FC1	female	2.154930754	meanfemale	LOC100486222	Chr01	Chr01	35569041	35569041	TRINITY_DN118791_c0_g1_i2	1215	998.835
TRINITY_DN118908_c1_g2_i2	FC1	female	5.345500231	meanfemale	neil3	Chr01	Chr01	38056089	38056089	TRINITY_DN118908_c1_g2_i2	2118	1901.83
TRINITY_DN118998_c1_g1_i2	FC1	female	3.995141159	meanfemale	dlc1	Chr01	Chr01	31801414	31801414	TRINITY_DN118998_c1_g1_i2	7057	6840.83
TRINITY_DN119102_c3_g7_i5	FC1	female	5.497446544	meanfemale	smpd4	Chr01	Chr01	144232941	144232941	TRINITY_DN119102_c3_g7_i5	3193	2976.83
TRINITY_DN119150_c0_g2_i1	FC1	female	5.734660878	meanfemale	caap1-like	Chr01	Chr01	109979170	109979170	TRINITY_DN119150_c0_g2_i1	1578	1361.83
TRINITY_DN119292_c0_g1_i1	FC1	female	4.381750519	meanfemale	igfbpl1	Chr01	Chr01	102887053	102887053	TRINITY_DN119292_c0_g1_i1	1647	1430.83
TRINITY_DN119418_c0_g1_i1	FC1	female	5.963837204	meanfemale	ascc2	Chr01	Chr01	132209057	132209057	TRINITY_DN119418_c0_g1_i1	2511	2294.83
TRINITY_DN119570_c0_g2_i5	FC1	female	6.291831801	meanfemale	mum1	Chr01	Chr01	80601662	80601662	TRINITY_DN119570_c0_g2_i5	3611	3394.83
TRINITY_DN119931_c0_g1_i1	FC1	female	6.562629725	meanfemale	LOC548788	Chr01	Chr01	147967898	147967898	TRINITY_DN119931_c0_g1_i1	1128	911.835
TRINITY_DN119946_c0_g1_i2	FC1	female	4.78260905	meanfemale	rnf103	Chr01	Chr01	11428540	11428540	TRINITY_DN119946_c0_g1_i2	2992	2775.83
TRINITY_DN120102_c0_g1_i2	FC1	female	6.022757969	meanfemale	mettl14	Chr01	Chr01	61096783	61096783	TRINITY_DN120102_c0_g1_i2	1932	1715.83
TRINITY_DN120105_c0_g1_i1	FC1	female	3.325221867	meanfemale	atg10-like	Chr01	Chr01	168180809	168180809	TRINITY_DN120105_c0_g1_i1	1093	876.835
TRINITY_DN120168_c0_g1_i6	FC1	female	1.103790365	meanfemale	kcnip4-like	Chr01	Chr01	22625130	22625130	TRINITY_DN120168_c0_g1_i6	1296	1079.83
TRINITY_DN120272_c0_g3_i2	FC1	female	6.254019232	meanfemale	cdc37l1	Chr01	Chr01	115087659	115087659	TRINITY_DN120272_c0_g3_i2	1540	1323.83
TRINITY_DN120352_c0_g1_i4	FC1	female	7.677784599	meanfemale	aldh2	Chr01	Chr01	154363072	154363072	TRINITY_DN120352_c0_g1_i4	2062	1845.83
TRINITY_DN120415_c0_g1_i1	FC1	female	7.799474184	meanfemale	drg1	Chr01	Chr01	143548439	143548439	TRINITY_DN120415_c0_g1_i1	1620	1403.83
TRINITY_DN120445_c0_g1_i1	FC1	female	6.04383077	meanfemale	c12orf49	Chr01	Chr01	156092901	156092901	TRINITY_DN120445_c0_g1_i1	1450	1233.83
TRINITY_DN120457_c0_g1_i2	FC1	female	6.662302201	meanfemale	hscb	Chr01	Chr01	141921629	141921629	TRINITY_DN120457_c0_g1_i2	1649	1432.83
TRINITY_DN120589_c0_g1_i1	FC1	female	5.602630726	meanfemale	mpv17l2	Chr01	Chr01	84893054	84893054	TRINITY_DN120589_c0_g1_i1	1282	1065.83
TRINITY_DN120911_c2_g1_i2	FC1	female	5.36772715	meanfemale	med16	Chr01	Chr01	81842115	81842115	TRINITY_DN120911_c2_g1_i2	3303	3086.83
TRINITY_DN120991_c0_g2_i2	FC1	female	5.172977994	meanfemale	gldc	Chr01	Chr01	114524252	114524252	TRINITY_DN120991_c0_g2_i2	4245	4028.83
TRINITY_DN121104_c0_g2_i1	FC1	female	2.043448531	meanfemale	intu	Chr01	Chr01	54888126	54888126	TRINITY_DN121104_c0_g2_i1	1947	1730.83
TRINITY_DN121176_c0_g1_i3	FC1	female	1.788284604	meanfemale	pdgfc	Chr01	Chr01	44413093	44413093	TRINITY_DN121176_c0_g1_i3	2049	1832.83
TRINITY_DN121303_c0_g1_i1	FC1	female	7.12467926	meanfemale	mrps30	Chr01	Chr01	181453885	181453885	TRINITY_DN121303_c0_g1_i1	1511	1294.83
TRINITY_DN121578_c0_g1_i1	FC1	female	5.865900476	meanfemale	LOC100494784	Chr01	Chr01	133867919	133867919	TRINITY_DN121578_c0_g1_i1	2665	2448.83
TRINITY_DN121771_c0_g1_i1	FC1	female	4.909781055	meanfemale	LOC100489262	Chr01	Chr01	102542493	102542493	TRINITY_DN121771_c0_g1_i1	3373	3156.83
TRINITY_DN121815_c5_g2_i6	FC1	female	7.063067841	meanfemale	gkap1	Chr01	Chr01	121832567	121832567	TRINITY_DN121815_c5_g2_i6	1304	1087.83
TRINITY_DN121888_c0_g2_i1	FC1	female	5.470349117	meanfemale	LOC101734987	Chr01	Chr01	125357764	125357764	TRINITY_DN121888_c0_g2_i1	1764	1547.83
TRINITY_DN121973_c0_g1_i2	FC1	female	6.763725298	meanfemale	cdc45-like	Chr01	Chr01	145780872	145780872	TRINITY_DN121973_c0_g1_i2	2143	1926.83
TRINITY_DN121986_c0_g1_i2	FC1	female	5.582437021	meanfemale	tmem144	Chr01	Chr01	43946688	43946688	TRINITY_DN121986_c0_g1_i2	1504	1287.83
TRINITY_DN122269_c0_g4_i1	FC1	female	3.278124286	meanfemale	LOC100491156-like	Chr01	Chr01	132733297	132733297	TRINITY_DN122269_c0_g4_i1	1220	1003.83
TRINITY_DN122367_c0_g1_i3	FC1	female	5.688265266	meanfemale	tm9sf1-like	Chr01	Chr01	127058796	127058796	TRINITY_DN122367_c0_g1_i3	2711	2494.83
TRINITY_DN122371_c0_g1_i1	FC1	female	7.327149713	meanfemale	brix1	Chr01	Chr01	185997584	185997584	TRINITY_DN122371_c0_g1_i1	1532	1315.83
TRINITY_DN122453_c4_g2_i1	FC1	female	6.954818493	meanfemale	ing2	Chr01	Chr01	35947272	35947272	TRINITY_DN122453_c4_g2_i1	1235	1018.83
TRINITY_DN122501_c0_g1_i2	FC1	female	4.963916249	meanfemale	sepsecs	Chr01	Chr01	20963028	20963028	TRINITY_DN122501_c0_g1_i2	1943	1726.83
TRINITY_DN122514_c0_g2_i1	FC1	female	6.716288877	meanfemale	fnta	Chr01	Chr01	77054648	77054648	TRINITY_DN122514_c0_g2_i1	2115	1898.83
TRINITY_DN122582_c0_g1_i1	FC1	female	6.774113924	meanfemale	ubap1	Chr01	Chr01	194575893	194575893	TRINITY_DN122582_c0_g1_i1	2599	2382.83
TRINITY_DN122590_c2_g1_i1	FC1	female	3.741385787	meanfemale	zdhhc8	Chr01	Chr01	146921265	146921265	TRINITY_DN122590_c2_g1_i1	4064	3847.83
TRINITY_DN122613_c0_g1_i3	FC1	female	5.068636715	meanfemale	ell	Chr01	Chr01	87372118	87372118	TRINITY_DN122613_c0_g1_i3	1861	1644.83
TRINITY_DN122615_c0_g2_i1	FC1	female	0.498430932	meanfemale	prdm8	Chr01	Chr01	76503565	76503565	TRINITY_DN122615_c0_g2_i1	2746	2529.83
TRINITY_DN122657_c4_g1_i1	FC1	female	5.905516094	meanfemale	rad17-like	Chr01	Chr01	167485640	167485640	TRINITY_DN122657_c4_g1_i1	2732	2515.83
TRINITY_DN122661_c0_g1_i5	FC1	female	1.549465828	meanfemale	afap1	Chr01	Chr01	19754013	19754013	TRINITY_DN122661_c0_g1_i5	3487	3270.83
TRINITY_DN122717_c0_g1_i1	FC1	female	5.23725534	meanfemale	dgcr14	Chr01	Chr01	144991316	144991316	TRINITY_DN122717_c0_g1_i1	2170	1953.83
TRINITY_DN122722_c0_g1_i2	FC1	female	6.621086929	meanfemale	Xetrov90001095m	Chr01	Chr01	59253600	59253600	TRINITY_DN122722_c0_g1_i2	1430	1213.83
TRINITY_DN122809_c1_g1_i1	FC1	female	1.621683953	meanfemale	ndnf	Chr01	Chr01	62015214	62015214	TRINITY_DN122809_c1_g1_i1	3444	3227.83
TRINITY_DN122892_c0_g1_i1	FC1	female	2.475405592	meanfemale	gba3	Chr01	Chr01	22342374	22342374	TRINITY_DN122892_c0_g1_i1	1750	1533.83
TRINITY_DN122897_c0_g1_i1	FC1	female	5.661670795	meanfemale	ctu1	Chr01	Chr01	61090188	61090188	TRINITY_DN122897_c0_g1_i1	1826	1609.83
TRINITY_DN122990_c0_g2_i8	FC1	female	3.451727808	meanfemale	ptpn13	Chr01	Chr01	88284804	88284804	TRINITY_DN122990_c0_g2_i8	8356	8139.83
TRINITY_DN123016_c0_g3_i2	FC1	female	4.363729999	meanfemale	alkbh2	Chr01	Chr01	138133029	138133029	TRINITY_DN123016_c0_g3_i2	1311	1094.83
TRINITY_DN123048_c0_g1_i8	FC1	female	5.134316581	meanfemale	fbxw7-like	Chr01	Chr01	46276113	46276113	TRINITY_DN123048_c0_g1_i8	3549	3332.83
TRINITY_DN123093_c0_g2_i1	FC1	female	-0.984677256	meanfemale	sez6l	Chr01	Chr01	140069924	140069924	TRINITY_DN123093_c0_g2_i1	4448	4231.83
TRINITY_DN123115_c0_g1_i2	FC1	female	6.911270872	meanfemale	tnfaip8	Chr01	Chr01	162017162	162017162	TRINITY_DN123115_c0_g1_i2	1360	1143.83
TRINITY_DN123229_c1_g2_i1	FC1	female	3.901463426	meanfemale	rab33b	Chr01	Chr01	51662085	51662085	TRINITY_DN123229_c1_g2_i1	1732	1515.83
TRINITY_DN123320_c0_g3_i7	FC1	female	3.312585947	meanfemale	setd7	Chr01	Chr01	51619256	51619256	TRINITY_DN123320_c0_g3_i7	1979	1762.83
TRINITY_DN123323_c0_g4_i2	FC1	female	2.861272104	meanfemale	hgfac	Chr01	Chr01	15854605	15854605	TRINITY_DN123323_c0_g4_i2	2259	2042.83
TRINITY_DN123361_c0_g1_i1	FC1	female	5.265791067	meanfemale	ikbkap	Chr01	Chr01	75561155	75561155	TRINITY_DN123361_c0_g1_i1	3015	2798.83
TRINITY_DN123377_c2_g3_i1	FC1	female	4.723735235	meanfemale	fem1c-like	Chr01	Chr01	163440311	163440311	TRINITY_DN123377_c2_g3_i1	2551	2334.83
TRINITY_DN123525_c0_g1_i5	FC1	female	3.426150733	meanfemale	tesc	Chr01	Chr01	156220320	156220320	TRINITY_DN123525_c0_g1_i5	1851	1634.83
TRINITY_DN123601_c1_g5_i1	FC1	female	5.884250192	meanfemale	tctn2	Chr01	Chr01	152326550	152326550	TRINITY_DN123601_c1_g5_i1	2314	2097.83
TRINITY_DN123601_c3_g9_i1	FC1	female	6.275323841	meanfemale	dgcr6	Chr01	Chr01	141996554	141996554	TRINITY_DN123601_c3_g9_i1	778	562.039
TRINITY_DN123610_c0_g1_i3	FC1	female	7.128134648	meanfemale	psat1	Chr01	Chr01	120348962	120348962	TRINITY_DN123610_c0_g1_i3	2418	2201.83
TRINITY_DN123632_c2_g2_i5	FC1	female	5.453531624	meanfemale	tm6sf2	Chr01	Chr01	101904360	101904360	TRINITY_DN123632_c2_g2_i5	1965	1748.83
TRINITY_DN123723_c3_g4_i1	FC1	female	6.602109845	meanfemale	med11	Chr01	Chr01	82744308	82744308	TRINITY_DN123723_c3_g4_i1	1675	1458.83
TRINITY_DN123729_c0_g2_i2	FC1	female	4.373046445	meanfemale	gstcd-like	Chr01	Chr01	63030620	63030620	TRINITY_DN123729_c0_g2_i2	2879	2662.83
TRINITY_DN123831_c0_g1_i1	FC1	female	5.216746149	meanfemale	c4orf32	Chr01	Chr01	58371685	58371685	TRINITY_DN123831_c0_g1_i1	1755	1538.83
TRINITY_DN123918_c0_g2_i1	FC1	female	-0.336440432	meanfemale	Xetrov90003223m	Chr01	Chr01	157376647	157376647	TRINITY_DN123918_c0_g2_i1	6586	6369.83
TRINITY_DN123920_c0_g1_i1	FC1	female	1.075351227	meanfemale	LOC100485518	Chr01	Chr01	141933296	141933296	TRINITY_DN123920_c0_g1_i1	2095	1878.83
TRINITY_DN124117_c6_g7_i1	FC1	female	3.332750938	meanfemale	fam109a	Chr01	Chr01	154647352	154647352	TRINITY_DN124117_c6_g7_i1	2022	1805.83
TRINITY_DN124220_c0_g1_i2	FC1	female	6.394539022	meanfemale	ptar1	Chr01	Chr01	117366486	117366486	TRINITY_DN124220_c0_g1_i2	1858	1641.83
TRINITY_DN124317_c0_g1_i6	FC1	female	6.066546983	meanfemale	LOC100145701	Chr01	Chr01	99166688	99166688	TRINITY_DN124317_c0_g1_i6	2184	1967.83
TRINITY_DN124342_c3_g1_i3	FC1	female	5.499853815	meanfemale	cbr4	Chr01	Chr01	40971260	40971260	TRINITY_DN124342_c3_g1_i3	919	702.935
TRINITY_DN124365_c0_g1_i1	FC1	female	3.962893058	meanfemale	slc25a51	Chr01	Chr01	96555155	96555155	TRINITY_DN124365_c0_g1_i1	2238	2021.83
TRINITY_DN124401_c0_g2_i2	FC1	female	4.549339362	meanfemale	klhl2	Chr01	Chr01	42086166	42086166	TRINITY_DN124401_c0_g2_i2	3090	2873.83
TRINITY_DN124429_c0_g1_i3	FC1	female	0.40821646	meanfemale	ksr2	Chr01	Chr01	156474255	156474255	TRINITY_DN124429_c0_g1_i3	3835	3618.83
TRINITY_DN124446_c1_g1_i2	FC1	female	5.190384059	meanfemale	anapc7	Chr01	Chr01	154139517	154139517	TRINITY_DN124446_c1_g1_i2	3198	2981.83
TRINITY_DN124500_c2_g1_i2	FC1	female	5.580730051	meanfemale	LOC100492505	Chr01	Chr01	82525693	82525693	TRINITY_DN124500_c2_g1_i2	3261	3044.83
TRINITY_DN124503_c1_g2_i2	FC1	female	7.190100826	meanfemale	cep44	Chr01	Chr01	39130121	39130121	TRINITY_DN124503_c1_g2_i2	1346	1129.83
TRINITY_DN124520_c1_g1_i1	FC1	female	5.573941011	meanfemale	crkl	Chr01	Chr01	144375164	144375164	TRINITY_DN124520_c1_g1_i1	3092	2875.83
TRINITY_DN124621_c1_g3_i2	FC1	female	7.086416406	meanfemale	diablo	Chr01	Chr01	153284825	153284825	TRINITY_DN124621_c1_g3_i2	984	767.886
TRINITY_DN124663_c0_g1_i1	FC1	female	5.862964883	meanfemale	arrdc2	Chr01	Chr01	80069097	80069097	TRINITY_DN124663_c0_g1_i1	2978	2761.83
TRINITY_DN124667_c1_g2_i1	FC1	female	4.709543217	meanfemale	uba6-like	Chr01	Chr01	89011589	89011589	TRINITY_DN124667_c1_g2_i1	4437	4220.83
TRINITY_DN124739_c1_g3_i5	FC1	female	1.731069973	meanfemale	homer1	Chr01	Chr01	163878577	163878577	TRINITY_DN124739_c1_g3_i5	2700	2483.83
TRINITY_DN124906_c0_g1_i2	FC1	female	2.649825568	meanfemale	acad10	Chr01	Chr01	154392658	154392658	TRINITY_DN124906_c0_g1_i2	3659	3442.83
TRINITY_DN124922_c6_g7_i1	FC1	female	5.90745223	meanfemale	ccrn4l	Chr01	Chr01	51728403	51728403	TRINITY_DN124922_c6_g7_i1	1155	938.835
TRINITY_DN124985_c4_g2_i1	FC1	female	3.870571148	meanfemale	orai2	Chr01	Chr01	153669594	153669594	TRINITY_DN124985_c4_g2_i1	1347	1130.83
TRINITY_DN125015_c1_g1_i1	FC1	female	4.831706904	meanfemale	znf131	Chr01	Chr01	182108399	182108399	TRINITY_DN125015_c1_g1_i1	2495	2278.83
TRINITY_DN125066_c0_g1_i1	FC1	female	7.242067555	meanfemale	pgrmc2	Chr01	Chr01	54746200	54746200	TRINITY_DN125066_c0_g1_i1	2739	2522.83
TRINITY_DN125103_c0_g1_i3	FC1	female	2.7814426	meanfemale	caps	Chr01	Chr01	82777390	82777390	TRINITY_DN125103_c0_g1_i3	1761	1544.83
TRINITY_DN125267_c4_g1_i3	FC1	female	3.824496618	meanfemale	vmac	Chr01	Chr01	82768395	82768395	TRINITY_DN125267_c4_g1_i3	1744	1527.83
TRINITY_DN125337_c3_g1_i1	FC1	female	6.193731404	meanfemale	skiv2l2-like	Chr01	Chr01	178712368	178712368	TRINITY_DN125337_c3_g1_i1	3457	3240.83
TRINITY_DN125443_c1_g1_i4	FC1	female	6.208552954	meanfemale	fam53a	Chr01	Chr01	13456936	13456936	TRINITY_DN125443_c1_g1_i4	2738	2521.83
