gid	cutoff	bias	log2RPKM	sex	gname	chr	chr_all	start	end	target_id	length	eff_length
TRINITY_DN117052_c0_g2_i1	FC1	male	-3.232139376	meanfemale	camk4	Chr01	Chr01	135183936	135183936	TRINITY_DN117052_c0_g2_i1	2398	2181.83
TRINITY_DN117066_c0_g1_i2	FC1	male	3.176540132	meanfemale	gadd45g	Chr01	Chr01	125842551	125842551	TRINITY_DN117066_c0_g1_i2	1455	1238.83
TRINITY_DN117149_c0_g2_i1	FC1	male	-0.857420603	meanfemale	mknk2	Chr01	Chr01	83933755	83933755	TRINITY_DN117149_c0_g2_i1	3203	2986.83
TRINITY_DN117279_c0_g1_i4	FC1	male	2.014825664	meanfemale	LOC100493543	Chr01	Chr01	43628302	43628302	TRINITY_DN117279_c0_g1_i4	1067	850.835
TRINITY_DN117446_c0_g1_i2	FC1	male	6.222496036	meanfemale	ddx4	Chr01	Chr01	178458618	178458618	TRINITY_DN117446_c0_g1_i2	2369	2152.83
TRINITY_DN117534_c0_g1_i1	FC1	male	1.368804582	meanfemale	spata5-like	Chr01	Chr01	56387734	56387734	TRINITY_DN117534_c0_g1_i1	2751	2534.83
TRINITY_DN117790_c0_g1_i1	FC1	male	-2.23688398	meanfemale	bmp3	Chr01	Chr01	76911734	76911734	TRINITY_DN117790_c0_g1_i1	2436	2219.83
TRINITY_DN117910_c0_g1_i1	FC1	male	-0.675834627	meanfemale	rem2	Chr01	Chr01	127940248	127940248	TRINITY_DN117910_c0_g1_i1	1441	1224.83
TRINITY_DN119264_c0_g1_i1	FC1	male	-2.041140432	meanfemale	vsig10	Chr01	Chr01	156752619	156752619	TRINITY_DN119264_c0_g1_i1	2785	2568.83
TRINITY_DN119308_c0_g2_i1	FC1	male	-1.601263714	meanfemale	pde4c-like	Chr01	Chr01	84792338	84792338	TRINITY_DN119308_c0_g2_i1	2441	2224.83
TRINITY_DN119446_c0_g1_i3	FC1	male	4.715718923	meanfemale	ifi30	Chr01	Chr01	84909967	84909967	TRINITY_DN119446_c0_g1_i3	978	761.886
TRINITY_DN119653_c0_g2_i1	FC1	male	-0.778538414	meanfemale	efna2	Chr01	Chr01	80820366	80820366	TRINITY_DN119653_c0_g2_i1	3069	2852.83
TRINITY_DN119668_c0_g1_i3	FC1	male	8.767581099	meanfemale	hmgb2	Chr01	Chr01	39547683	39547683	TRINITY_DN119668_c0_g1_i3	1194	977.835
TRINITY_DN119913_c1_g1_i3	FC1	male	0.701274691	meanfemale	sbno2	Chr01	Chr01	81314281	81314281	TRINITY_DN119913_c1_g1_i3	8343	8126.83
TRINITY_DN119920_c0_g1_i1	FC1	male	-0.52849531	meanfemale	c7	Chr01	Chr01	182919844	182919844	TRINITY_DN119920_c0_g1_i1	3175	2958.83
TRINITY_DN119965_c0_g1_i1	FC1	male	-0.962670396	meanfemale	tmem132b	Chr01	Chr01	151093537	151093537	TRINITY_DN119965_c0_g1_i1	4143	3926.83
TRINITY_DN120010_c0_g1_i1	FC1	male	0.130112619	meanfemale	zbtb7c	Chr01	Chr01	192640895	192640895	TRINITY_DN120010_c0_g1_i1	2296	2079.83
TRINITY_DN120044_c0_g2_i2	FC1	male	0.983315062	meanfemale	LOC100498355	Chr01	Chr01	192981468	192981468	TRINITY_DN120044_c0_g2_i2	1262	1045.83
TRINITY_DN120250_c2_g5_i1	FC1	male	0.874005838	meanfemale	LOC100496462	Chr01	Chr01	130486699	130486699	TRINITY_DN120250_c2_g5_i1	810	594.019
TRINITY_DN120579_c0_g2_i2	FC1	male	3.813660668	meanfemale	slc7a8	Chr01	Chr01	127346709	127346709	TRINITY_DN120579_c0_g2_i2	3046	2829.83
TRINITY_DN120624_c0_g3_i6	FC1	male	-2.184180816	meanfemale	syk	Chr01	Chr01	126264199	126264199	TRINITY_DN120624_c0_g3_i6	2464	2247.83
TRINITY_DN120919_c0_g1_i2	FC1	male	-0.467292016	meanfemale	morn3	Chr01	Chr01	153642968	153642968	TRINITY_DN120919_c0_g1_i2	1757	1540.83
TRINITY_DN121216_c0_g1_i3	FC1	male	-1.163598902	meanfemale	Xetrov90001390m	Chr01	Chr01	77506688	77506688	TRINITY_DN121216_c0_g1_i3	1508	1291.83
TRINITY_DN121277_c0_g1_i1	FC1	male	-1.501761503	meanfemale	LOC100124991	Chr01	Chr01	81112251	81112251	TRINITY_DN121277_c0_g1_i1	3803	3586.83
TRINITY_DN121345_c0_g2_i1	FC1	male	2.166569807	meanfemale	hdhd2	Chr01	Chr01	193087310	193087310	TRINITY_DN121345_c0_g2_i1	1295	1078.83
TRINITY_DN121364_c0_g1_i2	FC1	male	-1.637903153	meanfemale	fam198b	Chr01	Chr01	43970167	43970167	TRINITY_DN121364_c0_g1_i2	2084	1867.83
TRINITY_DN121490_c3_g1_i3	FC1	male	-0.872858708	meanfemale	mfsd7	Chr01	Chr01	98607651	98607651	TRINITY_DN121490_c3_g1_i3	2051	1834.83
TRINITY_DN121494_c0_g1_i3	FC1	male	0.671532918	meanfemale	map3k1	Chr01	Chr01	178057194	178057194	TRINITY_DN121494_c0_g1_i3	5333	5116.83
TRINITY_DN121559_c0_g1_i2	FC1	male	-0.674396242	meanfemale	tek	Chr01	Chr01	110075520	110075520	TRINITY_DN121559_c0_g1_i2	3855	3638.83
TRINITY_DN122130_c0_g1_i3	FC1	male	9.604804518	meanfemale	ran	Chr01	Chr01	149245485	149245485	TRINITY_DN122130_c0_g1_i3	1413	1196.83
TRINITY_DN122559_c1_g2_i1	FC1	male	1.435480431	meanfemale	htt	Chr01	Chr01	16029872	16029872	TRINITY_DN122559_c1_g2_i1	10207	9990.83
TRINITY_DN123006_c2_g6_i1	FC1	male	4.374096437	meanfemale	apex1	Chr01	Chr01	130621237	130621237	TRINITY_DN123006_c2_g6_i1	1414	1197.83
TRINITY_DN123011_c1_g2_i1	FC1	male	4.176071577	meanfemale	cdc34	Chr01	Chr01	86547485	86547485	TRINITY_DN123011_c1_g2_i1	1495	1278.83
TRINITY_DN123059_c0_g3_i4	FC1	male	-0.744002524	meanfemale	Xetrov90000734m	Chr01	Chr01	35206850	35206850	TRINITY_DN123059_c0_g3_i4	2476	2259.83
TRINITY_DN123158_c0_g1_i7	FC1	male	0.521873718	meanfemale	tcf4	Chr01	Chr01	189635978	189635978	TRINITY_DN123158_c0_g1_i7	3080	2863.83
TRINITY_DN123268_c0_g1_i2	FC1	male	2.156876921	meanfemale	LOC100124801	Chr01	Chr01	114558042	114558042	TRINITY_DN123268_c0_g1_i2	2524	2307.83
TRINITY_DN123270_c0_g3_i6	FC1	male	0.121168274	meanfemale	38596	Chr01	Chr01	145941070	145941070	TRINITY_DN123270_c0_g3_i6	2174	1957.83
TRINITY_DN123342_c1_g1_i1	FC1	male	-0.592956837	meanfemale	fzd10	Chr01	Chr01	149678661	149678661	TRINITY_DN123342_c1_g1_i1	2894	2677.83
TRINITY_DN123520_c0_g1_i1	FC1	male	2.801497187	meanfemale	LOC734015	Chr01	Chr01	151510761	151510761	TRINITY_DN123520_c0_g1_i1	4107	3890.83
TRINITY_DN123534_c0_g1_i2	FC1	male	1.240223434	meanfemale	gas1	Chr01	Chr01	122939003	122939003	TRINITY_DN123534_c0_g1_i2	1231	1014.83
TRINITY_DN123581_c0_g1_i2	FC1	male	4.376408526	meanfemale	ccni	Chr01	Chr01	94789672	94789672	TRINITY_DN123581_c0_g1_i2	2795	2578.83
TRINITY_DN123620_c11_g1_i1	FC1	male	-1.405396929	meanfemale	cpamd8	Chr01	Chr01	99845191	99845191	TRINITY_DN123620_c11_g1_i1	8114	7897.83
TRINITY_DN123676_c0_g2_i2	FC1	male	-1.573251634	meanfemale	Xetrov90003819m	Chr01	Chr01	193559142	193559142	TRINITY_DN123676_c0_g2_i2	1803	1586.83
TRINITY_DN123721_c0_g1_i1	FC1	male	-1.417848094	meanfemale	fam101a	Chr01	Chr01	152002324	152002324	TRINITY_DN123721_c0_g1_i1	1845	1628.83
TRINITY_DN123854_c0_g4_i5	FC1	male	2.201575809	meanfemale	arrdc3	Chr01	Chr01	171087831	171087831	TRINITY_DN123854_c0_g4_i5	2047	1830.83
TRINITY_DN123925_c0_g1_i1	FC1	male	-1.221024181	meanfemale	fam149a-like	Chr01	Chr01	34875296	34875296	TRINITY_DN123925_c0_g1_i1	2845	2628.83
TRINITY_DN123963_c2_g1_i1	FC1	male	0.141065279	meanfemale	lin54	Chr01	Chr01	91545516	91545516	TRINITY_DN123963_c2_g1_i1	5088	4871.83
TRINITY_DN124041_c0_g1_i2	FC1	male	1.351035518	meanfemale	tmem119	Chr01	Chr01	132881628	132881628	TRINITY_DN124041_c0_g1_i2	1809	1592.83
TRINITY_DN124045_c0_g2_i1	FC1	male	1.608214559	meanfemale	klf3	Chr01	Chr01	26186197	26186197	TRINITY_DN124045_c0_g2_i1	1895	1678.83
TRINITY_DN124435_c0_g2_i2	FC1	male	2.955135563	meanfemale	tnks-like	Chr01	Chr01	78868911	78868911	TRINITY_DN124435_c0_g2_i2	3815	3598.83
TRINITY_DN124517_c0_g2_i1	FC1	male	3.580225148	meanfemale	arl9	Chr01	Chr01	100796271	100796271	TRINITY_DN124517_c0_g2_i1	1873	1656.83
TRINITY_DN124535_c0_g1_i1	FC1	male	-0.155708396	meanfemale	rnft2-like	Chr01	Chr01	156104061	156104061	TRINITY_DN124535_c0_g1_i1	2329	2112.83
TRINITY_DN124563_c2_g1_i1	FC1	male	4.773634442	meanfemale	tcn2	Chr01	Chr01	157819690	157819690	TRINITY_DN124563_c2_g1_i1	1885	1668.83
TRINITY_DN124730_c0_g2_i13	FC1	male	-1.840700059	meanfemale	ap1g2	Chr01	Chr01	127741260	127741260	TRINITY_DN124730_c0_g2_i13	4338	4121.83
TRINITY_DN124784_c6_g7_i1	FC1	male	-0.186283687	meanfemale	srd5a3	Chr01	Chr01	31182035	31182035	TRINITY_DN124784_c6_g7_i1	1224	1007.83
TRINITY_DN124848_c3_g1_i2	FC1	male	3.183018763	meanfemale	slc12a2	Chr01	Chr01	159210667	159210667	TRINITY_DN124848_c3_g1_i2	6945	6728.83
TRINITY_DN124955_c0_g2_i2	FC1	male	1.27546542	meanfemale	vps13a	Chr01	Chr01	119998679	119998679	TRINITY_DN124955_c0_g2_i2	9846	9629.83
TRINITY_DN125258_c0_g1_i1	FC1	male	0.041371744	meanfemale	LOC100485265	Chr01	Chr01	131046486	131046486	TRINITY_DN125258_c0_g1_i1	8191	7974.83
TRINITY_DN125306_c0_g1_i1	FC1	male	-1.910462633	meanfemale	sorcs2	Chr01	Chr01	19859326	19859326	TRINITY_DN125306_c0_g1_i1	4100	3883.83
TRINITY_DN125378_c4_g1_i2	FC1	male	-1.389764174	meanfemale	LOC100145252	Chr01	Chr01	9931810	9931810	TRINITY_DN125378_c4_g1_i2	1524	1307.83
TRINITY_DN125527_c2_g7_i1	FC1	male	-1.750020065	meanfemale	LOC100145581	Chr01	Chr01	134198372	134198372	TRINITY_DN125527_c2_g7_i1	3442	3225.83
TRINITY_DN125554_c0_g1_i6	FC1	male	1.566446357	meanfemale	pip5k1b-like	Chr01	Chr01	116999068	116999068	TRINITY_DN125554_c0_g1_i6	2940	2723.83
TRINITY_DN125573_c0_g1_i1	FC1	male	-1.777030999	meanfemale	enpep	Chr01	Chr01	58901065	58901065	TRINITY_DN125573_c0_g1_i1	3485	3268.83
TRINITY_DN125605_c3_g3_i1	FC1	male	5.306273115	meanfemale	sod3	Chr01	Chr01	21082217	21082217	TRINITY_DN125605_c3_g3_i1	1545	1328.83
TRINITY_DN126186_c7_g2_i2	FC1	male	-0.871519155	meanfemale	arl14epl-like	Chr01	Chr01	163243296	163243296	TRINITY_DN126186_c7_g2_i2	885	668.958
TRINITY_DN126237_c11_g4_i1	FC1	male	-0.985312808	meanfemale	LOC100492058	Chr01	Chr01	100030752	100030752	TRINITY_DN126237_c11_g4_i1	1432	1215.83
TRINITY_DN126462_c0_g1_i2	FC1	male	1.928649048	meanfemale	ccdc11	Chr01	Chr01	191964060	191964060	TRINITY_DN126462_c0_g1_i2	1988	1771.83
TRINITY_DN126550_c3_g2_i1	FC1	male	0.695845225	meanfemale	pkd2	Chr01	Chr01	69861488	69861488	TRINITY_DN126550_c3_g2_i1	3902	3685.83
TRINITY_DN126769_c1_g2_i1	FC1	male	4.562887334	meanfemale	ptbp1	Chr01	Chr01	81914698	81914698	TRINITY_DN126769_c1_g2_i1	4075	3858.83
TRINITY_DN126892_c0_g2_i3	FC1	male	5.505271201	meanfemale	supt16h	Chr01	Chr01	129648747	129648747	TRINITY_DN126892_c0_g2_i3	4303	4086.83
TRINITY_DN126957_c0_g1_i3	FC1	male	-1.793957093	meanfemale	camkk2-like	Chr01	Chr01	153827883	153827883	TRINITY_DN126957_c0_g1_i3	4253	4036.83
TRINITY_DN127040_c3_g1_i8	FC1	male	4.945484733	meanfemale	dcaf11	Chr01	Chr01	127254242	127254242	TRINITY_DN127040_c3_g1_i8	2493	2276.83
TRINITY_DN127043_c1_g1_i1	FC1	male	1.500432688	meanfemale	idua	Chr01	Chr01	90466017	90466017	TRINITY_DN127043_c1_g1_i1	2463	2246.83
TRINITY_DN127084_c1_g6_i1	FC1	male	3.668513361	meanfemale	maea	Chr01	Chr01	14027089	14027089	TRINITY_DN127084_c1_g6_i1	2569	2352.83
TRINITY_DN127120_c0_g1_i1	FC1	male	1.193120944	meanfemale	lef1	Chr01	Chr01	57601350	57601350	TRINITY_DN127120_c0_g1_i1	3407	3190.83
TRINITY_DN127163_c0_g4_i1	FC1	male	4.865722461	meanfemale	smarca5	Chr01	Chr01	49814354	49814354	TRINITY_DN127163_c0_g4_i1	3472	3255.83
TRINITY_DN127164_c5_g2_i1	FC1	male	-1.410066971	meanfemale	nr2f1	Chr01	Chr01	171601333	171601333	TRINITY_DN127164_c5_g2_i1	2374	2157.83
TRINITY_DN127208_c2_g8_i1	FC1	male	1.091319572	meanfemale	pik3r1-like	Chr01	Chr01	173932735	173932735	TRINITY_DN127208_c2_g8_i1	3302	3085.83
TRINITY_DN127225_c3_g2_i2	FC1	male	0.891024584	meanfemale	abhd17a	Chr01	Chr01	79338399	79338399	TRINITY_DN127225_c3_g2_i2	3117	2900.83
TRINITY_DN127344_c0_g1_i3	FC1	male	1.326098833	meanfemale	patz1	Chr01	Chr01	143518974	143518974	TRINITY_DN127344_c0_g1_i3	2979	2762.83
TRINITY_DN127422_c1_g1_i1	FC1	male	0.792846341	meanfemale	med13l-like	Chr01	Chr01	132909027	132909027	TRINITY_DN127422_c1_g1_i1	8227	8010.83
TRINITY_DN127429_c4_g2_i7	FC1	male	-0.447276223	meanfemale	nfic	Chr01	Chr01	79132147	79132147	TRINITY_DN127429_c4_g2_i7	4191	3974.83
TRINITY_DN127713_c2_g2_i1	FC1	male	-1.153901115	meanfemale	rab36	Chr01	Chr01	143921007	143921007	TRINITY_DN127713_c2_g2_i1	2003	1786.83
TRINITY_DN127870_c2_g3_i1	FC1	male	2.124097576	meanfemale	slc25a42	Chr01	Chr01	102102855	102102855	TRINITY_DN127870_c2_g3_i1	1899	1682.83
TRINITY_DN128168_c0_g1_i1	FC1	male	2.228549135	meanfemale	dck.1	Chr01	Chr01	69530333	69530333	TRINITY_DN128168_c0_g1_i1	1977	1760.83
TRINITY_DN128422_c6_g7_i4	FC1	male	2.520575402	meanfemale	slc7a7	Chr01	Chr01	128252906	128252906	TRINITY_DN128422_c6_g7_i4	2224	2007.83
TRINITY_DN128513_c1_g2_i6	FC1	male	2.264801097	meanfemale	etnppl	Chr01	Chr01	57862643	57862643	TRINITY_DN128513_c1_g2_i6	1926	1709.83
TRINITY_DN128649_c0_g1_i1	FC1	male	-2.442266325	meanfemale	tmprss9	Chr01	Chr01	73951201	73951201	TRINITY_DN128649_c0_g1_i1	4331	4114.83
TRINITY_DN128660_c0_g1_i3	FC1	male	1.956233741	meanfemale	dao	Chr01	Chr01	138056255	138056255	TRINITY_DN128660_c0_g1_i3	2160	1943.83
TRINITY_DN128678_c1_g3_i2	FC1	male	3.01773146	meanfemale	40787	Chr01	Chr01	94601841	94601841	TRINITY_DN128678_c1_g3_i2	4178	3961.83
TRINITY_DN128762_c3_g1_i1	FC1	male	-0.58549811	meanfemale	zswim6	Chr01	Chr01	176322139	176322139	TRINITY_DN128762_c3_g1_i1	3218	3001.83
TRINITY_DN128775_c0_g1_i1	FC1	male	-1.845344974	meanfemale	LOC100494841-like	Chr01	Chr01	161269104	161269104	TRINITY_DN128775_c0_g1_i1	1784	1567.83
TRINITY_DN128793_c0_g1_i6	FC1	male	2.17852344	meanfemale	Xetrov90003572m	Chr01	Chr01	178656582	178656582	TRINITY_DN128793_c0_g1_i6	2112	1895.83
TRINITY_DN128794_c0_g4_i3	FC1	male	1.30609406	meanfemale	zdhhc2	Chr01	Chr01	33018188	33018188	TRINITY_DN128794_c0_g4_i3	1891	1674.83
TRINITY_DN128803_c1_g1_i3	FC1	male	-1.064904598	meanfemale	LOC100487354	Chr01	Chr01	96280632	96280632	TRINITY_DN128803_c1_g1_i3	1934	1717.83
TRINITY_DN128881_c4_g2_i1	FC1	male	3.945413449	meanfemale	dazl	Chr01	Chr01	177485028	177485028	TRINITY_DN128881_c4_g2_i1	2598	2381.83
TRINITY_DN128955_c5_g1_i1	FC1	male	0.734370239	meanfemale	rbpms	Chr01	Chr01	90124737	90124737	TRINITY_DN128955_c5_g1_i1	2720	2503.83
TRINITY_DN129128_c4_g1_i5	FC1	male	1.417022321	meanfemale	irf9	Chr01	Chr01	127143348	127143348	TRINITY_DN129128_c4_g1_i5	5695	5478.83
TRINITY_DN129193_c4_g1_i1	FC1	male	7.480080684	meanfemale	hnrnpc	Chr01	Chr01	131110518	131110518	TRINITY_DN129193_c4_g1_i1	1725	1508.83
TRINITY_DN129350_c3_g1_i4	FC1	male	2.11623936	meanfemale	adh1b	Chr01	Chr01	65302152	65302152	TRINITY_DN129350_c3_g1_i4	2017	1800.83
TRINITY_DN129508_c2_g3_i2	FC1	male	-2.125137566	meanfemale	dnah10	Chr01	Chr01	152202210	152202210	TRINITY_DN129508_c2_g3_i2	14023	13806.8
TRINITY_DN129538_c1_g1_i3	FC1	male	1.848646045	meanfemale	pank2-like	Chr01	Chr01	6077607	6077607	TRINITY_DN129538_c1_g1_i3	3965	3748.83
TRINITY_DN129590_c0_g1_i1	FC1	male	-0.382011939	meanfemale	LOC100486685	Chr01	Chr01	7605581	7605581	TRINITY_DN129590_c0_g1_i1	4574	4357.83
TRINITY_DN129643_c0_g1_i2	FC1	male	-0.436509474	meanfemale	dock8	Chr01	Chr01	116644276	116644276	TRINITY_DN129643_c0_g1_i2	7020	6803.83
TRINITY_DN129675_c0_g1_i1	FC1	male	-1.426939029	meanfemale	tlr6	Chr01	Chr01	26251596	26251596	TRINITY_DN129675_c0_g1_i1	2752	2535.83
TRINITY_DN129745_c0_g2_i1	FC1	male	2.355636223	meanfemale	il6st	Chr01	Chr01	178412095	178412095	TRINITY_DN129745_c0_g2_i1	4446	4229.83
TRINITY_DN129826_c0_g1_i4	FC1	male	3.37340084	meanfemale	safb	Chr01	Chr01	85658014	85658014	TRINITY_DN129826_c0_g1_i4	3058	2841.83
TRINITY_DN129957_c0_g1_i1	FC1	male	-1.815461547	meanfemale	ccdc157	Chr01	Chr01	131900950	131900950	TRINITY_DN129957_c0_g1_i1	2492	2275.83
TRINITY_DN130058_c1_g1_i1	FC1	male	-0.356735256	meanfemale	tec	Chr01	Chr01	29623054	29623054	TRINITY_DN130058_c1_g1_i1	2687	2470.83
TRINITY_DN130107_c1_g3_i1	FC1	male	1.978918633	meanfemale	sirt4	Chr01	Chr01	144350512	144350512	TRINITY_DN130107_c1_g3_i1	1251	1034.83
TRINITY_DN130136_c6_g1_i1	FC1	male	-0.289510994	meanfemale	Xetrov90000413m	Chr01	Chr01	15030282	15030282	TRINITY_DN130136_c6_g1_i1	2525	2308.83
TRINITY_DN130218_c0_g1_i2	FC1	male	0.591575145	meanfemale	f2rl2	Chr01	Chr01	165093844	165093844	TRINITY_DN130218_c0_g1_i2	1008	791.835
TRINITY_DN130247_c4_g4_i2	FC1	male	1.155954248	meanfemale	LOC100490902	Chr01	Chr01	107631974	107631974	TRINITY_DN130247_c4_g4_i2	1590	1373.83
TRINITY_DN130262_c0_g1_i1	FC1	male	-0.722035107	meanfemale	LOC100124862	Chr01	Chr01	30840173	30840173	TRINITY_DN130262_c0_g1_i1	5748	5531.83
TRINITY_DN130294_c0_g2_i6	FC1	male	1.037658999	meanfemale	wdr66	Chr01	Chr01	153461529	153461529	TRINITY_DN130294_c0_g2_i6	3992	3775.83
TRINITY_DN130295_c0_g1_i2	FC1	male	2.476796879	meanfemale	fam189a2	Chr01	Chr01	117224702	117224702	TRINITY_DN130295_c0_g1_i2	1888	1671.83
TRINITY_DN130321_c2_g2_i4	FC1	male	-2.093299368	meanfemale	LOC100490743	Chr01	Chr01	135139370	135139370	TRINITY_DN130321_c2_g2_i4	5691	5474.83
TRINITY_DN130457_c6_g4_i1	FC1	male	-1.990835648	meanfemale	ppp1r3e	Chr01	Chr01	127474799	127474799	TRINITY_DN130457_c6_g4_i1	2625	2408.83
TRINITY_DN130476_c1_g2_i1	FC1	male	-1.637169619	meanfemale	idnk	Chr01	Chr01	121865844	121865844	TRINITY_DN130476_c1_g2_i1	2233	2016.83
TRINITY_DN130517_c0_g6_i2	FC1	male	-0.890982251	meanfemale	LOC100495334	Chr01	Chr01	12014876	12014876	TRINITY_DN130517_c0_g6_i2	2858	2641.83
TRINITY_DN130620_c0_g2_i1	FC1	male	1.104732507	meanfemale	slc35e4-like	Chr01	Chr01	157860181	157860181	TRINITY_DN130620_c0_g2_i1	2078	1861.83
TRINITY_DN130752_c0_g4_i2	FC1	male	-0.656528383	meanfemale	mfhas1	Chr01	Chr01	91463462	91463462	TRINITY_DN130752_c0_g4_i2	4625	4408.83
TRINITY_DN130862_c0_g1_i1	FC1	male	2.171764988	meanfemale	sfi1-like	Chr01	Chr01	143587214	143587214	TRINITY_DN130862_c0_g1_i1	2620	2403.83
TRINITY_DN130966_c6_g1_i1	FC1	male	5.008486364	meanfemale	pnp	Chr01	Chr01	130312418	130312418	TRINITY_DN130966_c6_g1_i1	1760	1543.83
TRINITY_DN131107_c0_g4_i2	FC1	male	1.029397375	meanfemale	nmrk1	Chr01	Chr01	119248563	119248563	TRINITY_DN131107_c0_g4_i2	1084	867.835
TRINITY_DN131182_c0_g1_i6	FC1	male	-0.125503895	meanfemale	adam33	Chr01	Chr01	9999783	9999783	TRINITY_DN131182_c0_g1_i6	4458	4241.83
TRINITY_DN131217_c3_g4_i1	FC1	male	0.560810458	meanfemale	agtpbp1	Chr01	Chr01	122452456	122452456	TRINITY_DN131217_c3_g4_i1	4534	4317.83
TRINITY_DN131226_c2_g1_i4	FC1	male	-0.515671176	meanfemale	wdr17-like	Chr01	Chr01	38582869	38582869	TRINITY_DN131226_c2_g1_i4	4621	4404.83
TRINITY_DN131230_c2_g1_i17	FC1	male	5.525804112	meanfemale	dazap1	Chr01	Chr01	80534503	80534503	TRINITY_DN131230_c2_g1_i17	2195	1978.83
TRINITY_DN131295_c2_g2_i3	FC1	male	1.320320159	meanfemale	arsb	Chr01	Chr01	164009251	164009251	TRINITY_DN131295_c2_g2_i3	2352	2135.83
TRINITY_DN131356_c5_g1_i1	FC1	male	0.249409996	meanfemale	znf462-like	Chr01	Chr01	108361163	108361163	TRINITY_DN131356_c5_g1_i1	9856	9639.83
TRINITY_DN131403_c3_g1_i1	FC1	male	-0.353160063	meanfemale	pde5a	Chr01	Chr01	61452590	61452590	TRINITY_DN131403_c3_g1_i1	4491	4274.83
TRINITY_DN131450_c1_g5_i5	FC1	male	4.633190347	meanfemale	Xetrov90001039m	Chr01	Chr01	56647536	56647536	TRINITY_DN131450_c1_g5_i5	2874	2657.83
TRINITY_DN131479_c0_g3_i1	FC1	male	0.865459852	meanfemale	poli	Chr01	Chr01	190318197	190318197	TRINITY_DN131479_c0_g3_i1	2257	2040.83
