gid	gname	chr	start	end	target_id	length	eff_length
TRINITY_DN103830_c0_g1_i1	tppp3	Chr04	51907928	51907928	TRINITY_DN103830_c0_g1_i1	1289	1072.83
TRINITY_DN103833_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103833_c0_g1_i1	536	321.109
TRINITY_DN103855_c0_g1_i1	osr2	Chr06	113922956	113922956	TRINITY_DN103855_c0_g1_i1	1729	1512.83
TRINITY_DN103859_c0_g1_i1	amh	Chr01	83615433	83615433	TRINITY_DN103859_c0_g1_i1	2971	2754.83
TRINITY_DN103974_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN103974_c0_g2_i1	1296	1079.83
TRINITY_DN103990_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN103990_c0_g1_i2	1589	1372.83
TRINITY_DN103997_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN103997_c0_g1_i1	648	432.232
TRINITY_DN104012_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN104012_c0_g1_i1	382	174.411
TRINITY_DN104090_c1_g2_i1	NA	NA	NA	NA	TRINITY_DN104090_c1_g2_i1	495	280.898
TRINITY_DN104155_c0_g1_i1	znhit1	Chr03	136889253	136889253	TRINITY_DN104155_c0_g1_i1	727	511.093
TRINITY_DN104173_c0_g1_i1	efs	Chr01	127517336	127517336	TRINITY_DN104173_c0_g1_i1	2300	2083.83
TRINITY_DN104357_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN104357_c0_g1_i2	323	123.528
TRINITY_DN104436_c0_g1_i1	ccm2	Chr06	4939212	4939212	TRINITY_DN104436_c0_g1_i1	2135	1918.83
TRINITY_DN104464_c0_g1_i1	fam57a	Chr02	92704574	92704574	TRINITY_DN104464_c0_g1_i1	1399	1182.83
TRINITY_DN104490_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN104490_c0_g1_i1	616	400.384
TRINITY_DN104532_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN104532_c0_g1_i1	461	248.079
TRINITY_DN104667_c0_g1_i3	palm	Chr01	81998606	81998606	TRINITY_DN104667_c0_g1_i3	2084	1867.83
TRINITY_DN104721_c0_g1_i1	LOC100036725	Chr07	964038	964038	TRINITY_DN104721_c0_g1_i1	4890	4673.83
TRINITY_DN104783_c1_g1_i1	itgb2	Chr09	50370563	50370563	TRINITY_DN104783_c1_g1_i1	3033	2816.83
TRINITY_DN105039_c0_g1_i1	cdkn1a	Chr02	67900893	67900893	TRINITY_DN105039_c0_g1_i1	2868	2651.83
TRINITY_DN105042_c0_g2_i1	pof1b	Chr08	41962240	41962240	TRINITY_DN105042_c0_g2_i1	2103	1886.83
TRINITY_DN105042_c1_g1_i2	NA	NA	NA	NA	TRINITY_DN105042_c1_g1_i2	382	174.411
TRINITY_DN105061_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN105061_c0_g1_i1	981	764.886
TRINITY_DN105118_c0_g1_i1	LOC100486306	scaffold_597	77549	77549	TRINITY_DN105118_c0_g1_i1	1270	1053.83
TRINITY_DN105198_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN105198_c0_g3_i1	1088	871.835
TRINITY_DN105198_c0_g4_i1	NA	NA	NA	NA	TRINITY_DN105198_c0_g4_i1	1281	1064.83
TRINITY_DN105227_c0_g1_i1	higd1b	Chr10	13607422	13607422	TRINITY_DN105227_c0_g1_i1	743	527.093
TRINITY_DN105250_c0_g1_i2	pdzd11	Chr08	17767156	17767156	TRINITY_DN105250_c0_g1_i2	844	627.958
TRINITY_DN105320_c0_g2_i2	NA	NA	NA	NA	TRINITY_DN105320_c0_g2_i2	1207	990.835
TRINITY_DN105324_c0_g1_i5	NA	NA	NA	NA	TRINITY_DN105324_c0_g1_i5	577	361.576
TRINITY_DN105353_c0_g2_i2	ccdc135	Chr04	28065592	28065592	TRINITY_DN105353_c0_g2_i2	2754	2537.83
TRINITY_DN105438_c0_g1_i1	LOC100492550	Chr01	98813361	98813361	TRINITY_DN105438_c0_g1_i1	1288	1071.83
TRINITY_DN105451_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN105451_c0_g1_i1	818	601.999
TRINITY_DN105493_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN105493_c0_g2_i1	904	687.958
TRINITY_DN105675_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN105675_c0_g2_i1	984	767.886
TRINITY_DN105687_c0_g2_i1	LOC100498263	Chr08	19459739	19459739	TRINITY_DN105687_c0_g2_i1	1249	1032.83
TRINITY_DN105698_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN105698_c0_g1_i1	748	532.093
TRINITY_DN105721_c0_g1_i1	ca3	Chr06	110349520	110349520	TRINITY_DN105721_c0_g1_i1	1337	1120.83
TRINITY_DN105730_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN105730_c0_g1_i2	517	302.38
TRINITY_DN105849_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN105849_c0_g1_i1	480	266.482
TRINITY_DN105870_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN105870_c0_g1_i1	736	520.093
TRINITY_DN105871_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN105871_c0_g1_i2	504	289.726
TRINITY_DN105980_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN105980_c0_g3_i1	1451	1234.83
TRINITY_DN105981_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN105981_c0_g1_i1	411	200.976
TRINITY_DN105985_c0_g1_i1	LOC101731777	Chr10	374422	374422	TRINITY_DN105985_c0_g1_i1	526	311.236
TRINITY_DN106031_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN106031_c0_g1_i1	771	555.039
TRINITY_DN106049_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN106049_c0_g1_i2	1403	1186.83
TRINITY_DN106049_c0_g2_i2	NA	NA	NA	NA	TRINITY_DN106049_c0_g2_i2	1285	1068.83
TRINITY_DN106100_c0_g2_i1	otud7a-like	Chr03	86979374	86979374	TRINITY_DN106100_c0_g2_i1	5340	5123.83
TRINITY_DN106179_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN106179_c0_g1_i1	2723	2506.83
TRINITY_DN106256_c0_g3_i3	acmsd-like	Chr09	79125160	79125160	TRINITY_DN106256_c0_g3_i3	1828	1611.83
TRINITY_DN106281_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN106281_c0_g2_i1	1655	1438.83
TRINITY_DN106338_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN106338_c0_g1_i1	833	616.979
TRINITY_DN106354_c0_g2_i1	grip2	Chr04	122293021	122293021	TRINITY_DN106354_c0_g2_i1	3637	3420.83
TRINITY_DN106368_c0_g2_i1	aplnr	Chr01	131383517	131383517	TRINITY_DN106368_c0_g2_i1	2166	1949.83
TRINITY_DN106476_c0_g1_i1	isyna1	Chr01	87331353	87331353	TRINITY_DN106476_c0_g1_i1	2893	2676.83
TRINITY_DN106492_c0_g1_i4	chst11	Chr03	40488991	40488991	TRINITY_DN106492_c0_g1_i4	1683	1466.83
TRINITY_DN106661_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN106661_c0_g3_i1	1516	1299.83
TRINITY_DN106671_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN106671_c0_g2_i1	2936	2719.83
TRINITY_DN106709_c0_g4_i1	NA	NA	NA	NA	TRINITY_DN106709_c0_g4_i1	1559	1342.83
TRINITY_DN106733_c0_g1_i1	faim2	Chr02	145414357	145414357	TRINITY_DN106733_c0_g1_i1	1329	1112.83
TRINITY_DN106741_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN106741_c0_g1_i2	1083	866.835
TRINITY_DN106792_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN106792_c0_g1_i1	1127	910.835
TRINITY_DN106792_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN106792_c0_g2_i1	677	461.158
TRINITY_DN106792_c0_g3_i1	LOC100498620	Chr04	127594386	127594386	TRINITY_DN106792_c0_g3_i1	972	755.886
TRINITY_DN106897_c0_g1_i6	NA	NA	NA	NA	TRINITY_DN106897_c0_g1_i6	2142	1925.83
TRINITY_DN106937_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN106937_c0_g1_i1	419	208.33
TRINITY_DN106961_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN106961_c0_g1_i1	692	476.142
TRINITY_DN107048_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107048_c0_g1_i1	719	503.11
TRINITY_DN107048_c1_g1_i1	NA	NA	NA	NA	TRINITY_DN107048_c1_g1_i1	2205	1988.83
TRINITY_DN107077_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN107077_c0_g1_i2	1699	1482.83
TRINITY_DN107077_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN107077_c0_g2_i1	1578	1361.83
TRINITY_DN107120_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107120_c0_g1_i1	1240	1023.83
TRINITY_DN107214_c0_g1_i1	morn5	Chr08	16207588	16207588	TRINITY_DN107214_c0_g1_i1	913	696.958
TRINITY_DN107257_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107257_c0_g1_i1	720	504.11
TRINITY_DN107303_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107303_c0_g1_i1	478	264.518
TRINITY_DN107343_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107343_c0_g1_i1	661	445.188
TRINITY_DN107445_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN107445_c0_g1_i2	393	184.5
TRINITY_DN107472_c0_g1_i1	spred1	Chr08	90520636	90520636	TRINITY_DN107472_c0_g1_i1	1625	1408.83
TRINITY_DN107559_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107559_c0_g1_i1	382	174.411
TRINITY_DN107632_c0_g1_i1	tex12	Chr07	74053815	74053815	TRINITY_DN107632_c0_g1_i1	721	505.093
TRINITY_DN107659_c0_g1_i1	c19orf66	Chr03	126350905	126350905	TRINITY_DN107659_c0_g1_i1	1821	1604.83
TRINITY_DN107707_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107707_c0_g1_i1	1566	1349.83
TRINITY_DN107730_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107730_c0_g1_i1	1232	1015.83
TRINITY_DN107742_c0_g1_i1	Xetrov90028290m	scaffold_36	11837	11837	TRINITY_DN107742_c0_g1_i1	858	641.958
TRINITY_DN107751_c0_g1_i1	rad50-like	Chr03	27722828	27722828	TRINITY_DN107751_c0_g1_i1	5415	5198.83
TRINITY_DN107761_c0_g1_i1	rasl11a	Chr02	152572792	152572792	TRINITY_DN107761_c0_g1_i1	979	762.886
TRINITY_DN107785_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN107785_c0_g1_i2	933	716.911
TRINITY_DN107811_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107811_c0_g1_i1	582	366.564
TRINITY_DN107817_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107817_c0_g1_i1	548	332.946
TRINITY_DN107843_c0_g4_i1	NA	NA	NA	NA	TRINITY_DN107843_c0_g4_i1	2213	1996.83
TRINITY_DN107875_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107875_c0_g1_i1	626	410.33
TRINITY_DN107896_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN107896_c0_g1_i2	307	110.746
TRINITY_DN107915_c0_g1_i1	scd	Chr07	33089443	33089443	TRINITY_DN107915_c0_g1_i1	7177	6960.83
TRINITY_DN107915_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN107915_c0_g2_i1	1223	1006.83
TRINITY_DN107920_c0_g1_i1	tefm-like	scaffold_463	410	410	TRINITY_DN107920_c0_g1_i1	1178	961.835
TRINITY_DN107978_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107978_c0_g1_i1	1078	861.835
TRINITY_DN107988_c0_g2_i2	Xetrov90017416m	Chr07	1849813	1849813	TRINITY_DN107988_c0_g2_i2	2216	1999.83
TRINITY_DN108039_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN108039_c0_g1_i2	529	314.194
TRINITY_DN108068_c0_g1_i3	NA	NA	NA	NA	TRINITY_DN108068_c0_g1_i3	1575	1358.83
TRINITY_DN108095_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN108095_c0_g1_i1	1429	1212.83
TRINITY_DN108126_c0_g2_i2	tprg1l-like.1	Chr07	1363010	1363010	TRINITY_DN108126_c0_g2_i2	1683	1466.83
TRINITY_DN108152_c0_g3_i4	NA	NA	NA	NA	TRINITY_DN108152_c0_g3_i4	2840	2623.83
TRINITY_DN108157_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN108157_c0_g2_i1	2616	2399.83
TRINITY_DN108162_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN108162_c0_g1_i1	1906	1689.83
TRINITY_DN108186_c0_g2_i5	asb14	scaffold_87	179786	179786	TRINITY_DN108186_c0_g2_i5	2622	2405.83
TRINITY_DN108191_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN108191_c0_g1_i1	1515	1298.83
TRINITY_DN108227_c2_g1_i1	NA	NA	NA	NA	TRINITY_DN108227_c2_g1_i1	2861	2644.83
TRINITY_DN108245_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN108245_c0_g1_i2	387	178.961
TRINITY_DN108276_c0_g2_i1	grem1	Chr08	90348949	90348949	TRINITY_DN108276_c0_g2_i1	1991	1774.83
TRINITY_DN108303_c0_g1_i1	LOC100492300	Chr06	4419945	4419945	TRINITY_DN108303_c0_g1_i1	2680	2463.83
TRINITY_DN108382_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN108382_c0_g3_i1	712	496.11
TRINITY_DN108410_c0_g1_i1	akap14-like	Chr08	38584082	38584082	TRINITY_DN108410_c0_g1_i1	1102	885.835
TRINITY_DN108491_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN108491_c0_g1_i1	673	457.173
TRINITY_DN108540_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN108540_c0_g1_i1	1354	1137.83
TRINITY_DN108551_c0_g1_i2	nlgn3	Chr08	23268026	23268026	TRINITY_DN108551_c0_g1_i2	3711	3494.83
TRINITY_DN108553_c0_g1_i1	ninj2	scaffold_98	487503	487503	TRINITY_DN108553_c0_g1_i1	947	730.911
TRINITY_DN10856_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN10856_c0_g2_i1	463	250.02
TRINITY_DN108615_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN108615_c0_g2_i1	351	147.047
TRINITY_DN108618_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN108618_c0_g1_i2	1241	1024.83
TRINITY_DN108672_c0_g3_i2	NA	NA	NA	NA	TRINITY_DN108672_c0_g3_i2	628	412.316
TRINITY_DN108703_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN108703_c0_g3_i1	633	417.289
TRINITY_DN108709_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN108709_c0_g1_i2	969	752.886
TRINITY_DN108737_c0_g1_i6	NA	NA	NA	NA	TRINITY_DN108737_c0_g1_i6	481	267.428
TRINITY_DN108742_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN108742_c0_g1_i1	854	637.958
TRINITY_DN108997_c0_g1_i1	anxa6	Chr03	5503738	5503738	TRINITY_DN108997_c0_g1_i1	2687	2470.83
TRINITY_DN109025_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109025_c0_g1_i1	415	204.61
TRINITY_DN109035_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109035_c0_g1_i1	471	257.807
TRINITY_DN109035_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN109035_c0_g2_i1	498	283.851
TRINITY_DN1091_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN1091_c0_g1_i1	541	326.056
TRINITY_DN109106_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109106_c0_g1_i1	1569	1352.83
TRINITY_DN109134_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109134_c0_g1_i1	521	306.329
TRINITY_DN109149_c0_g2_i1	thra	scaffold_39	217850	217850	TRINITY_DN109149_c0_g2_i1	1855	1638.83
TRINITY_DN109203_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109203_c0_g1_i1	1128	911.835
TRINITY_DN109239_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109239_c0_g1_i1	840	623.958
TRINITY_DN109245_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109245_c0_g1_i1	327	126.787
TRINITY_DN109361_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109361_c0_g1_i1	322	122.78
TRINITY_DN109423_c0_g1_i2	twsg2	Chr01	127451015	127451015	TRINITY_DN109423_c0_g1_i2	1623	1406.83
TRINITY_DN109424_c0_g2_i2	MGC147419	Chr01	99496874	99496874	TRINITY_DN109424_c0_g2_i2	2930	2713.83
TRINITY_DN109463_c0_g2_i1	Xetrov90014028m	Chr05	72055273	72055273	TRINITY_DN109463_c0_g2_i1	2803	2586.83
TRINITY_DN109468_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109468_c0_g1_i1	711	495.11
TRINITY_DN109470_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN109470_c0_g2_i1	1918	1701.83
TRINITY_DN109555_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN109555_c0_g1_i2	1940	1723.83
TRINITY_DN109600_c0_g2_i3	NA	NA	NA	NA	TRINITY_DN109600_c0_g2_i3	1222	1005.83
TRINITY_DN109621_c1_g1_i1	NA	NA	NA	NA	TRINITY_DN109621_c1_g1_i1	3225	3008.83
TRINITY_DN109640_c0_g2_i2	fam173a	scaffold_458	26381	26381	TRINITY_DN109640_c0_g2_i2	933	716.911
TRINITY_DN109683_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN109683_c0_g1_i2	432	220.416
TRINITY_DN109692_c0_g1_i2	bre	Chr05	1854844	1854844	TRINITY_DN109692_c0_g1_i2	1730	1513.83
TRINITY_DN109706_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109706_c0_g1_i1	1280	1063.83
TRINITY_DN109714_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109714_c0_g1_i1	2994	2777.83
TRINITY_DN109745_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109745_c0_g1_i1	1367	1150.83
TRINITY_DN109773_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN109773_c0_g1_i2	392	183.576
TRINITY_DN109897_c0_g1_i1	gpc1	Chr05	123731518	123731518	TRINITY_DN109897_c0_g1_i1	3291	3074.83
TRINITY_DN109897_c1_g1_i1	NA	NA	NA	NA	TRINITY_DN109897_c1_g1_i1	2607	2390.83
TRINITY_DN109907_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109907_c0_g1_i1	2156	1939.83
TRINITY_DN109954_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN109954_c0_g2_i1	569	353.66
TRINITY_DN110023_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN110023_c0_g1_i1	675	459.158
TRINITY_DN110061_c0_g1_i1	myod1	scaffold_4589	1061	1061	TRINITY_DN110061_c0_g1_i1	972	755.886
TRINITY_DN110081_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN110081_c0_g1_i1	1308	1091.83
TRINITY_DN110108_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN110108_c0_g1_i1	2305	2088.83
TRINITY_DN110146_c0_g1_i3	ebpl	Chr02	146513662	146513662	TRINITY_DN110146_c0_g1_i3	880	663.958
TRINITY_DN110181_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN110181_c0_g1_i1	1709	1492.83
TRINITY_DN110193_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN110193_c0_g1_i1	1230	1013.83
TRINITY_DN110214_c0_g1_i3	errfi1	Chr07	76298361	76298361	TRINITY_DN110214_c0_g1_i3	2752	2535.83
TRINITY_DN110217_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN110217_c0_g1_i2	784	568.039
TRINITY_DN110283_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN110283_c0_g1_i1	1153	936.835
TRINITY_DN110285_c0_g2_i2	usp5	Chr07	1158013	1158013	TRINITY_DN110285_c0_g2_i2	2911	2694.83
TRINITY_DN110285_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN110285_c0_g3_i1	520	305.349
TRINITY_DN110308_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN110308_c0_g1_i1	1116	899.835
TRINITY_DN110395_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN110395_c0_g2_i1	366	160.079
TRINITY_DN110412_c0_g1_i1	dck.2	Chr03	22496016	22496016	TRINITY_DN110412_c0_g1_i1	1121	904.835
TRINITY_DN110438_c1_g1_i1	rgs9	Chr09	9156968	9156968	TRINITY_DN110438_c1_g1_i1	2639	2422.83
TRINITY_DN110440_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN110440_c0_g1_i1	589	373.552
TRINITY_DN110445_c1_g1_i3	eaf1	Chr06	72701061	72701061	TRINITY_DN110445_c1_g1_i3	1379	1162.83
TRINITY_DN110454_c0_g6_i1	NA	NA	NA	NA	TRINITY_DN110454_c0_g6_i1	329	128.487
TRINITY_DN110478_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN110478_c0_g1_i2	418	207.428
TRINITY_DN110510_c0_g1_i1	spry4	Chr03	28028689	28028689	TRINITY_DN110510_c0_g1_i1	2490	2273.83
TRINITY_DN110588_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN110588_c0_g1_i1	981	764.886
TRINITY_DN110591_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN110591_c0_g2_i1	548	332.946
TRINITY_DN110650_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN110650_c0_g1_i1	364	158.273
TRINITY_DN110705_c0_g1_i1	rnf34	Chr01	153758327	153758327	TRINITY_DN110705_c0_g1_i1	1633	1416.83
TRINITY_DN110706_c0_g1_i2	lrrc71	Chr08	110438568	110438568	TRINITY_DN110706_c0_g1_i2	1804	1587.83
TRINITY_DN110725_c0_g1_i3	phyhd1	Chr08	4052114	4052114	TRINITY_DN110725_c0_g1_i3	1264	1047.83
TRINITY_DN110726_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN110726_c0_g1_i2	363	157.416
TRINITY_DN110732_c0_g1_i2	zdbf2-like	Chr09	48556841	48556841	TRINITY_DN110732_c0_g1_i2	3391	3174.83
TRINITY_DN110737_c0_g1_i1	s1pr5	Chr03	127323105	127323105	TRINITY_DN110737_c0_g1_i1	2389	2172.83
TRINITY_DN110788_c1_g1_i1	NA	NA	NA	NA	TRINITY_DN110788_c1_g1_i1	1671	1454.83
TRINITY_DN110843_c0_g1_i1	dnajc24	Chr04	10089702	10089702	TRINITY_DN110843_c0_g1_i1	866	649.958
