gid	gname	chr	start	end	target_id	length	eff_length
TRINITY_DN105440_c0_g1_i1	kcnq1-like	Chr04	15895945	15895945	TRINITY_DN105440_c0_g1_i1	3211	2994.83
TRINITY_DN105453_c0_g1_i1	rnf7	Chr05	125903385	125903385	TRINITY_DN105453_c0_g1_i1	813	597.019
TRINITY_DN105455_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN105455_c0_g3_i1	938	721.911
TRINITY_DN105525_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN105525_c0_g1_i1	858	641.958
TRINITY_DN105578_c0_g1_i1	ipmk	Chr07	7302223	7302223	TRINITY_DN105578_c0_g1_i1	2283	2066.83
TRINITY_DN105601_c0_g1_i1	exd2	Chr08	89479970	89479970	TRINITY_DN105601_c0_g1_i1	3103	2886.83
TRINITY_DN105624_c0_g1_i1	mkrn3	Chr02	77298584	77298584	TRINITY_DN105624_c0_g1_i1	1504	1287.83
TRINITY_DN105647_c0_g2_i1	ccnb1	Chr01	173679416	173679416	TRINITY_DN105647_c0_g2_i1	1213	996.835
TRINITY_DN105777_c1_g1_i1	NA	NA	NA	NA	TRINITY_DN105777_c1_g1_i1	480	266.482
TRINITY_DN105826_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN105826_c0_g1_i2	426	214.813
TRINITY_DN105850_c0_g2_i1	fchsd1	Chr03	18720123	18720123	TRINITY_DN105850_c0_g2_i1	2588	2371.83
TRINITY_DN105886_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN105886_c0_g1_i2	940	723.911
TRINITY_DN105940_c0_g1_i2	LOC100486956-like.1	Chr04	14163381	14163381	TRINITY_DN105940_c0_g1_i2	2517	2300.83
TRINITY_DN105941_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN105941_c0_g1_i1	708	492.11
TRINITY_DN105955_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN105955_c0_g1_i2	333	131.779
TRINITY_DN106065_c0_g1_i2	slc30a5	Chr01	173689269	173689269	TRINITY_DN106065_c0_g1_i2	3432	3215.83
TRINITY_DN106090_c0_g2_i1	mrps36	Chr05	63122423	63122423	TRINITY_DN106090_c0_g2_i1	630	414.303
TRINITY_DN106124_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN106124_c0_g2_i1	556	340.834
TRINITY_DN106219_c0_g3_i1	sssca1	Chr04	42835170	42835170	TRINITY_DN106219_c0_g3_i1	797	581.039
TRINITY_DN106366_c0_g4_i1	NA	NA	NA	NA	TRINITY_DN106366_c0_g4_i1	643	427.261
TRINITY_DN106366_c0_g5_i1	klf2	Chr01	100271353	100271353	TRINITY_DN106366_c0_g5_i1	1880	1663.83
TRINITY_DN106372_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN106372_c0_g1_i1	508	293.648
TRINITY_DN106459_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN106459_c0_g1_i1	577	361.576
TRINITY_DN106464_c0_g2_i1	Xetrov90018212m	Chr07	50883831	50883831	TRINITY_DN106464_c0_g2_i1	4375	4158.83
TRINITY_DN106615_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN106615_c0_g1_i1	504	289.726
TRINITY_DN106620_c0_g1_i1	prickle1	Chr03	55250903	55250903	TRINITY_DN106620_c0_g1_i1	3994	3777.83
TRINITY_DN106674_c0_g1_i1	rplp0	Chr01	143013157	143013157	TRINITY_DN106674_c0_g1_i1	1318	1101.83
TRINITY_DN106700_c0_g5_i1	NA	NA	NA	NA	TRINITY_DN106700_c0_g5_i1	409	199.105
TRINITY_DN106704_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN106704_c0_g2_i1	406	196.348
TRINITY_DN106780_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN106780_c0_g1_i1	417	206.485
TRINITY_DN106815_c0_g2_i2	NA	NA	NA	NA	TRINITY_DN106815_c0_g2_i2	800	584.019
TRINITY_DN106873_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN106873_c0_g1_i2	400	190.876
TRINITY_DN106923_c0_g1_i1	fbxl12	Chr03	125633549	125633549	TRINITY_DN106923_c0_g1_i1	1260	1043.83
TRINITY_DN106942_c0_g1_i1	pcgf2	Chr10	4436049	4436049	TRINITY_DN106942_c0_g1_i1	1798	1581.83
TRINITY_DN107038_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107038_c0_g1_i1	346	142.8
TRINITY_DN107083_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN107083_c0_g2_i1	1796	1579.83
TRINITY_DN107087_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107087_c0_g1_i1	376	169.028
TRINITY_DN107134_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN107134_c0_g1_i2	474	260.712
TRINITY_DN107178_c0_g3_i1	pmm1	Chr09	34969314	34969314	TRINITY_DN107178_c0_g3_i1	1925	1708.83
TRINITY_DN107215_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107215_c0_g1_i1	1099	882.835
TRINITY_DN107229_c0_g1_i1	LOC100489679	Chr03	17522373	17522373	TRINITY_DN107229_c0_g1_i1	1198	981.835
TRINITY_DN107251_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN107251_c0_g1_i2	1413	1196.83
TRINITY_DN107289_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107289_c0_g1_i1	649	433.232
TRINITY_DN107294_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN107294_c0_g1_i2	518	303.37
TRINITY_DN107308_c0_g1_i1	LOC549067	Chr09	36972293	36972293	TRINITY_DN107308_c0_g1_i1	1441	1224.83
TRINITY_DN107311_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107311_c0_g1_i1	571	355.624
TRINITY_DN107361_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN107361_c0_g1_i2	388	179.826
TRINITY_DN107365_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107365_c0_g1_i1	433	221.342
TRINITY_DN107371_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107371_c0_g1_i1	783	567.039
TRINITY_DN107374_c0_g2_i1	b3gnt5	Chr05	98244680	98244680	TRINITY_DN107374_c0_g2_i1	2422	2205.83
TRINITY_DN107450_c0_g3_i2	c2orf44	Chr05	141414975	141414975	TRINITY_DN107450_c0_g3_i2	2957	2740.83
TRINITY_DN107473_c0_g2_i2	avpr2	Chr08	12415792	12415792	TRINITY_DN107473_c0_g2_i2	2380	2163.83
TRINITY_DN107487_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107487_c0_g1_i1	789	573.039
TRINITY_DN107522_c0_g2_i2	mhc2a	Chr08	51914545	51914545	TRINITY_DN107522_c0_g2_i2	1573	1356.83
TRINITY_DN107530_c1_g1_i1	lmnb1	Chr01	159727673	159727673	TRINITY_DN107530_c1_g1_i1	2768	2551.83
TRINITY_DN107645_c0_g1_i1	dctn5	Chr09	15532065	15532065	TRINITY_DN107645_c0_g1_i1	1060	843.835
TRINITY_DN107693_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107693_c0_g1_i1	861	644.958
TRINITY_DN107696_c0_g1_i4	ctnnal1	Chr06	61288653	61288653	TRINITY_DN107696_c0_g1_i4	3390	3173.83
TRINITY_DN107727_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN107727_c0_g1_i1	903	686.958
TRINITY_DN107740_c0_g1_i1	appbp2	Chr02	88860435	88860435	TRINITY_DN107740_c0_g1_i1	2289	2072.83
TRINITY_DN107748_c0_g3_i1	aadacl4	Chr07	77113918	77113918	TRINITY_DN107748_c0_g3_i1	1425	1208.83
TRINITY_DN107777_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN107777_c0_g3_i1	2930	2713.83
TRINITY_DN107787_c0_g1_i1	Xetrov90004750m	Chr02	50835888	50835888	TRINITY_DN107787_c0_g1_i1	1255	1038.83
TRINITY_DN107852_c0_g1_i2	kcmf1	Chr01	75613371	75613371	TRINITY_DN107852_c0_g1_i2	2426	2209.83
TRINITY_DN107990_c0_g1_i1	tmem161a	Chr01	102084590	102084590	TRINITY_DN107990_c0_g1_i1	2158	1941.83
TRINITY_DN108052_c0_g1_i1	dhdh-like.2	Chr07	105215165	105215165	TRINITY_DN108052_c0_g1_i1	1238	1021.83
TRINITY_DN108208_c0_g1_i3	NA	NA	NA	NA	TRINITY_DN108208_c0_g1_i3	374	167.22
TRINITY_DN108305_c0_g1_i1	cdh23-like.1	Chr07	41437428	41437428	TRINITY_DN108305_c0_g1_i1	1470	1253.83
TRINITY_DN108305_c0_g2_i1	LOC101730685	Chr07	50819201	50819201	TRINITY_DN108305_c0_g2_i1	1490	1273.83
TRINITY_DN108427_c0_g3_i5	dtymk	Chr05	122284078	122284078	TRINITY_DN108427_c0_g3_i5	958	741.911
TRINITY_DN108429_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN108429_c0_g1_i1	1149	932.835
TRINITY_DN108429_c0_g2_i1	slc30a6	Chr05	53115481	53115481	TRINITY_DN108429_c0_g2_i1	2182	1965.83
TRINITY_DN108434_c0_g2_i2	siglec1	Chr01	8069004	8069004	TRINITY_DN108434_c0_g2_i2	5524	5307.83
TRINITY_DN108436_c0_g1_i2	tmem243	Chr03	71642246	71642246	TRINITY_DN108436_c0_g1_i2	1090	873.835
TRINITY_DN108450_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN108450_c0_g1_i2	1870	1653.83
TRINITY_DN108450_c0_g4_i1	NA	NA	NA	NA	TRINITY_DN108450_c0_g4_i1	1134	917.835
TRINITY_DN108541_c0_g1_i1	isca1	Chr01	122707595	122707595	TRINITY_DN108541_c0_g1_i1	2308	2091.83
TRINITY_DN108556_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN108556_c0_g1_i1	741	525.093
TRINITY_DN108604_c0_g1_i1	Xetrov90026273m	scaffold_1375	2060	2060	TRINITY_DN108604_c0_g1_i1	584	368.552
TRINITY_DN108668_c0_g1_i1	LOC100497969-like	Chr03	334904	334904	TRINITY_DN108668_c0_g1_i1	1058	841.835
TRINITY_DN108683_c0_g1_i2	NA	NA	NA	NA	TRINITY_DN108683_c0_g1_i2	749	533.093
TRINITY_DN108688_c0_g1_i1	snx24	Chr01	160897943	160897943	TRINITY_DN108688_c0_g1_i1	1242	1025.83
TRINITY_DN108703_c0_g8_i1	NA	NA	NA	NA	TRINITY_DN108703_c0_g8_i1	638	422.275
TRINITY_DN108714_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN108714_c0_g1_i1	324	124.325
TRINITY_DN108717_c0_g1_i5	NA	NA	NA	NA	TRINITY_DN108717_c0_g1_i5	435	223.237
TRINITY_DN108717_c0_g3_i1	NA	NA	NA	NA	TRINITY_DN108717_c0_g3_i1	1270	1053.83
TRINITY_DN108930_c0_g1_i3	LOC100485113	Chr02	90896895	90896895	TRINITY_DN108930_c0_g1_i3	1857	1640.83
TRINITY_DN108932_c0_g1_i1	ell2	Chr01	172702126	172702126	TRINITY_DN108932_c0_g1_i1	3697	3480.83
TRINITY_DN108991_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN108991_c0_g1_i1	800	584.019
TRINITY_DN109047_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109047_c0_g1_i1	915	698.958
TRINITY_DN109050_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109050_c0_g1_i1	518	303.37
TRINITY_DN109077_c0_g1_i1	ahi1-like	Chr05	34396335	34396335	TRINITY_DN109077_c0_g1_i1	3727	3510.83
TRINITY_DN109099_c0_g2_i2	NA	NA	NA	NA	TRINITY_DN109099_c0_g2_i2	1393	1176.83
TRINITY_DN109253_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109253_c0_g1_i1	810	594.019
TRINITY_DN109275_c0_g1_i1	wdr36	Chr01	135270707	135270707	TRINITY_DN109275_c0_g1_i1	3276	3059.83
TRINITY_DN109288_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109288_c0_g1_i1	995	778.835
TRINITY_DN109292_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109292_c0_g1_i1	744	528.093
TRINITY_DN109302_c0_g2_i1	cyp19a1	Chr03	92646100	92646100	TRINITY_DN109302_c0_g2_i1	1784	1567.83
TRINITY_DN109332_c0_g1_i1	senp8	Chr03	82450240	82450240	TRINITY_DN109332_c0_g1_i1	864	647.958
TRINITY_DN109352_c0_g2_i1	NA	NA	NA	NA	TRINITY_DN109352_c0_g2_i1	491	276.982
TRINITY_DN109401_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109401_c0_g1_i1	723	507.093
TRINITY_DN109430_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109430_c0_g1_i1	383	175.309
TRINITY_DN109430_c0_g5_i1	tysnd1	Chr07	34702872	34702872	TRINITY_DN109430_c0_g5_i1	2360	2143.83
TRINITY_DN109440_c0_g1_i1	traf3	Chr08	76953094	76953094	TRINITY_DN109440_c0_g1_i1	2319	2102.83
TRINITY_DN109459_c0_g1_i1	LOC100486041-like	Chr01	65671663	65671663	TRINITY_DN109459_c0_g1_i1	2423	2206.83
TRINITY_DN109541_c0_g2_i1	knstrn-like	Chr08	94357028	94357028	TRINITY_DN109541_c0_g2_i1	1046	829.835
TRINITY_DN109560_c0_g1_i1	tbccd1	Chr09	37444768	37444768	TRINITY_DN109560_c0_g1_i1	2310	2093.83
TRINITY_DN109586_c0_g1_i1	gskip	Chr08	68168236	68168236	TRINITY_DN109586_c0_g1_i1	1300	1083.83
TRINITY_DN109596_c0_g1_i1	cyp26a1	Chr07	17008567	17008567	TRINITY_DN109596_c0_g1_i1	1889	1672.83
TRINITY_DN109615_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109615_c0_g1_i1	631	415.303
TRINITY_DN109617_c1_g2_i1	gpa33	Chr02	1711393	1711393	TRINITY_DN109617_c1_g2_i1	1278	1061.83
TRINITY_DN109619_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109619_c0_g1_i1	708	492.11
TRINITY_DN109646_c1_g1_i3	Xetrov90001894m	Chr01	97375445	97375445	TRINITY_DN109646_c1_g1_i3	2371	2154.83
TRINITY_DN109666_c0_g1_i1	avd.2	Chr10	36014201	36014201	TRINITY_DN109666_c0_g1_i1	472	258.773
TRINITY_DN109667_c0_g1_i2	slu7	Chr03	14200431	14200431	TRINITY_DN109667_c0_g1_i2	2034	1817.83
TRINITY_DN109669_c1_g2_i1	aurka	scaffold_113	346610	346610	TRINITY_DN109669_c1_g2_i1	2068	1851.83
TRINITY_DN109713_c0_g1_i1	NA	NA	NA	NA	TRINITY_DN109713_c0_g1_i1	608	392.397
TRINITY_DN109721_c0_g2_i5	cp	Chr05	118876720	118876720	TRINITY_DN109721_c0_g2_i5	3556	3339.83
TRINITY_DN109790_c0_g1_i1	trappc4	Chr07	85229280	85229280	TRINITY_DN109790_c0_g1_i1	929	712.911
TRINITY_DN109823_c0_g1_i2	LOC101732531	Chr02	52033540	52033540	TRINITY_DN109823_c0_g1_i2	1828	1611.83
TRINITY_DN109864_c0_g1_i1	tm2d2	Chr03	121541631	121541631	TRINITY_DN109864_c0_g1_i1	984	767.886
