gid	gname	chr	chrall	start	end	target_id	length	eff_length	cutoff	bias	log2RPKM	sex
TRINITY_DN113809_c0_g1_i2	pyurf	Chr01	Chr01	58346443	58346443	TRINITY_DN113809_c0_g1_i2	886	669.958	FC1	female	5.737649282	meanmale
TRINITY_DN114338_c0_g2_i2	pop5-like	Chr01	Chr01	143273044	143273044	TRINITY_DN114338_c0_g2_i2	701	485.126	FC1	female	5.473742508	meanmale
TRINITY_DN114344_c0_g2_i1	gltp	Chr01	Chr01	138816845	138816845	TRINITY_DN114344_c0_g2_i1	1252	1035.83	FC1	female	2.014247494	meanmale
TRINITY_DN114651_c0_g1_i3	gtf2h3	Chr01	Chr01	152363125	152363125	TRINITY_DN114651_c0_g1_i3	1567	1350.83	FC1	female	3.123907666	meanmale
TRINITY_DN114720_c2_g1_i2	mgat4a	Chr01	Chr01	51145888	51145888	TRINITY_DN114720_c2_g1_i2	2227	2010.83	FC1	female	-1.089935216	meanmale
TRINITY_DN114799_c0_g1_i1	aga	Chr01	Chr01	38042206	38042206	TRINITY_DN114799_c0_g1_i1	1304	1087.83	FC1	female	5.899930289	meanmale
TRINITY_DN114876_c0_g1_i1	s100z	Chr01	Chr01	164876388	164876388	TRINITY_DN114876_c0_g1_i1	704	488.126	FC1	female	0.352670675	meanmale
TRINITY_DN114976_c0_g1_i1	mmab	Chr01	Chr01	138372445	138372445	TRINITY_DN114976_c0_g1_i1	911	694.958	FC1	female	3.242534005	meanmale
TRINITY_DN115131_c0_g3_i1	ccnh	Chr01	Chr01	169856023	169856023	TRINITY_DN115131_c0_g3_i1	1487	1270.83	FC1	female	4.588215838	meanmale
TRINITY_DN115244_c0_g1_i1	sh2d4a	Chr01	Chr01	77329522	77329522	TRINITY_DN115244_c0_g1_i1	2040	1823.83	FC1	female	3.821851947	meanmale
TRINITY_DN115291_c0_g1_i1	fbxo8	Chr01	Chr01	39144104	39144104	TRINITY_DN115291_c0_g1_i1	1836	1619.83	FC1	female	3.811126639	meanmale
TRINITY_DN115618_c0_g1_i1	aldh7a1	Chr01	Chr01	159792883	159792883	TRINITY_DN115618_c0_g1_i1	2225	2008.83	FC1	female	6.020550586	meanmale
TRINITY_DN116229_c1_g1_i3	snx2-like	Chr01	Chr01	160975561	160975561	TRINITY_DN116229_c1_g1_i3	2055	1838.83	FC1	female	5.819785991	meanmale
TRINITY_DN116377_c0_g1_i1	ngdn	Chr01	Chr01	127651085	127651085	TRINITY_DN116377_c0_g1_i1	1659	1442.83	FC1	female	5.758266028	meanmale
TRINITY_DN116557_c0_g1_i2	noc4l	Chr01	Chr01	147958547	147958547	TRINITY_DN116557_c0_g1_i2	2416	2199.83	FC1	female	5.327316959	meanmale
TRINITY_DN116576_c0_g1_i2	scarb1	Chr01	Chr01	151579205	151579205	TRINITY_DN116576_c0_g1_i2	3688	3471.83	FC1	female	3.373347011	meanmale
TRINITY_DN116651_c0_g1_i3	vps33a	Chr01	Chr01	153248054	153248054	TRINITY_DN116651_c0_g1_i3	3472	3255.83	FC1	female	3.591328507	meanmale
TRINITY_DN116762_c0_g1_i1	prkaa1	Chr01	Chr01	182981048	182981048	TRINITY_DN116762_c0_g1_i1	2201	1984.83	FC1	female	3.231784746	meanmale
TRINITY_DN116846_c0_g1_i3	cep78	Chr01	Chr01	120315587	120315587	TRINITY_DN116846_c0_g1_i3	2845	2628.83	FC1	female	2.252633729	meanmale
TRINITY_DN116963_c0_g1_i1	wdr70	Chr01	Chr01	184283815	184283815	TRINITY_DN116963_c0_g1_i1	2103	1886.83	FC1	female	4.46928139	meanmale
TRINITY_DN117015_c2_g1_i2	cfd	Chr01	Chr01	81874550	81874550	TRINITY_DN117015_c2_g1_i2	1628	1411.83	FC1	female	-0.864503355	meanmale
TRINITY_DN117117_c1_g1_i2	mettl17	Chr01	Chr01	131000181	131000181	TRINITY_DN117117_c1_g1_i2	2174	1957.83	FC1	female	4.380855553	meanmale
TRINITY_DN117173_c0_g1_i1	fstl3	Chr01	Chr01	86773131	86773131	TRINITY_DN117173_c0_g1_i1	2259	2042.83	FC1	female	0.554846885	meanmale
TRINITY_DN117235_c0_g3_i1	haus8	Chr01	Chr01	99918670	99918670	TRINITY_DN117235_c0_g3_i1	2006	1789.83	FC1	female	4.32181234	meanmale
TRINITY_DN117328_c0_g1_i1	lppr3	Chr01	Chr01	81892404	81892404	TRINITY_DN117328_c0_g1_i1	3855	3638.83	FC1	female	-2.706369436	meanmale
TRINITY_DN117330_c0_g1_i2	dda1	Chr01	Chr01	101222621	101222621	TRINITY_DN117330_c0_g1_i2	1903	1686.83	FC1	female	5.335207536	meanmale
TRINITY_DN117497_c0_g1_i2	brap	Chr01	Chr01	154430859	154430859	TRINITY_DN117497_c0_g1_i2	3806	3589.83	FC1	female	3.355539928	meanmale
TRINITY_DN117723_c0_g1_i1	spata4-like	Chr01	Chr01	38573353	38573353	TRINITY_DN117723_c0_g1_i1	1568	1351.83	FC1	female	2.871123498	meanmale
TRINITY_DN117803_c0_g1_i2	dimt1	Chr01	Chr01	176073443	176073443	TRINITY_DN117803_c0_g1_i2	1481	1264.83	FC1	female	5.826141142	meanmale
TRINITY_DN117878_c0_g1_i1	paqr3	Chr01	Chr01	75965288	75965288	TRINITY_DN117878_c0_g1_i1	1772	1555.83	FC1	female	0.379821198	meanmale
TRINITY_DN117920_c0_g1_i5	ociad2	Chr01	Chr01	30009371	30009371	TRINITY_DN117920_c0_g1_i5	721	505.093	FC1	female	4.150324434	meanmale
TRINITY_DN117942_c0_g1_i2	LOC100488523	Chr01	Chr01	111913053	111913053	TRINITY_DN117942_c0_g1_i2	7456	7239.83	FC1	female	-2.642168461	meanmale
TRINITY_DN118005_c0_g2_i1	cds1	Chr01	Chr01	92574911	92574911	TRINITY_DN118005_c0_g2_i1	2212	1995.83	FC1	female	3.011098461	meanmale
TRINITY_DN118139_c0_g1_i2	LOC100487248-like	Chr01	Chr01	74854551	74854551	TRINITY_DN118139_c0_g1_i2	1696	1479.83	FC1	female	6.853692662	meanmale
TRINITY_DN118284_c0_g1_i1	slco4c1	Chr01	Chr01	137467781	137467781	TRINITY_DN118284_c0_g1_i1	2709	2492.83	FC1	female	-3.271496295	meanmale
TRINITY_DN118379_c0_g1_i1	sass6	Chr01	Chr01	124600137	124600137	TRINITY_DN118379_c0_g1_i1	3132	2915.83	FC1	female	2.8689634	meanmale
TRINITY_DN118391_c0_g1_i1	bbs12-like	Chr01	Chr01	56525994	56525994	TRINITY_DN118391_c0_g1_i1	2290	2073.83	FC1	female	1.725251265	meanmale
TRINITY_DN118415_c0_g1_i1	LOC100145050-like	Chr01	Chr01	132701995	132701995	TRINITY_DN118415_c0_g1_i1	1265	1048.83	FC1	female	2.5680154	meanmale
TRINITY_DN118628_c0_g2_i3	glt1d1	Chr01	Chr01	150293256	150293256	TRINITY_DN118628_c0_g2_i3	2024	1807.83	FC1	female	2.489136425	meanmale
TRINITY_DN118755_c0_g1_i1	zmat5	Chr01	Chr01	132234180	132234180	TRINITY_DN118755_c0_g1_i1	996	779.835	FC1	female	4.592283309	meanmale
TRINITY_DN118791_c0_g1_i2	LOC100486222	Chr01	Chr01	35569041	35569041	TRINITY_DN118791_c0_g1_i2	1215	998.835	FC1	female	-0.212623955	meanmale
TRINITY_DN118908_c1_g2_i2	neil3	Chr01	Chr01	38056089	38056089	TRINITY_DN118908_c1_g2_i2	2118	1901.83	FC1	female	4.082256213	meanmale
TRINITY_DN118998_c1_g1_i2	dlc1	Chr01	Chr01	31801414	31801414	TRINITY_DN118998_c1_g1_i2	7057	6840.83	FC1	female	1.705864216	meanmale
TRINITY_DN119102_c3_g7_i5	smpd4	Chr01	Chr01	144232941	144232941	TRINITY_DN119102_c3_g7_i5	3193	2976.83	FC1	female	4.258491352	meanmale
TRINITY_DN119150_c0_g2_i1	caap1-like	Chr01	Chr01	109979170	109979170	TRINITY_DN119150_c0_g2_i1	1578	1361.83	FC1	female	4.115507679	meanmale
TRINITY_DN119292_c0_g1_i1	igfbpl1	Chr01	Chr01	102887053	102887053	TRINITY_DN119292_c0_g1_i1	1647	1430.83	FC1	female	2.808587266	meanmale
TRINITY_DN119418_c0_g1_i1	ascc2	Chr01	Chr01	132209057	132209057	TRINITY_DN119418_c0_g1_i1	2511	2294.83	FC1	female	4.849526646	meanmale
TRINITY_DN119570_c0_g2_i5	mum1	Chr01	Chr01	80601662	80601662	TRINITY_DN119570_c0_g2_i5	3611	3394.83	FC1	female	3.470189723	meanmale
TRINITY_DN119931_c0_g1_i1	LOC548788	Chr01	Chr01	147967898	147967898	TRINITY_DN119931_c0_g1_i1	1128	911.835	FC1	female	5.357598143	meanmale
TRINITY_DN119946_c0_g1_i2	rnf103	Chr01	Chr01	11428540	11428540	TRINITY_DN119946_c0_g1_i2	2992	2775.83	FC1	female	3.487790049	meanmale
TRINITY_DN120102_c0_g1_i2	mettl14	Chr01	Chr01	61096783	61096783	TRINITY_DN120102_c0_g1_i2	1932	1715.83	FC1	female	4.920043729	meanmale
TRINITY_DN120105_c0_g1_i1	atg10-like	Chr01	Chr01	168180809	168180809	TRINITY_DN120105_c0_g1_i1	1093	876.835	FC1	female	2.166782094	meanmale
TRINITY_DN120168_c0_g1_i6	kcnip4-like	Chr01	Chr01	22625130	22625130	TRINITY_DN120168_c0_g1_i6	1296	1079.83	FC1	female	-1.217344745	meanmale
TRINITY_DN120272_c0_g3_i2	cdc37l1	Chr01	Chr01	115087659	115087659	TRINITY_DN120272_c0_g3_i2	1540	1323.83	FC1	female	3.69492422	meanmale
TRINITY_DN120352_c0_g1_i4	aldh2	Chr01	Chr01	154363072	154363072	TRINITY_DN120352_c0_g1_i4	2062	1845.83	FC1	female	6.276612877	meanmale
TRINITY_DN120415_c0_g1_i1	drg1	Chr01	Chr01	143548439	143548439	TRINITY_DN120415_c0_g1_i1	1620	1403.83	FC1	female	6.560853434	meanmale
TRINITY_DN120445_c0_g1_i1	c12orf49	Chr01	Chr01	156092901	156092901	TRINITY_DN120445_c0_g1_i1	1450	1233.83	FC1	female	4.105943114	meanmale
TRINITY_DN120457_c0_g1_i2	hscb	Chr01	Chr01	141921629	141921629	TRINITY_DN120457_c0_g1_i2	1649	1432.83	FC1	female	4.551270972	meanmale
TRINITY_DN120589_c0_g1_i1	mpv17l2	Chr01	Chr01	84893054	84893054	TRINITY_DN120589_c0_g1_i1	1282	1065.83	FC1	female	4.398115184	meanmale
TRINITY_DN120911_c2_g1_i2	med16	Chr01	Chr01	81842115	81842115	TRINITY_DN120911_c2_g1_i2	3303	3086.83	FC1	female	3.682401693	meanmale
TRINITY_DN120991_c0_g2_i2	gldc	Chr01	Chr01	114524252	114524252	TRINITY_DN120991_c0_g2_i2	4245	4028.83	FC1	female	3.196712011	meanmale
TRINITY_DN121104_c0_g2_i1	intu	Chr01	Chr01	54888126	54888126	TRINITY_DN121104_c0_g2_i1	1947	1730.83	FC1	female	0.793916823	meanmale
TRINITY_DN121176_c0_g1_i3	pdgfc	Chr01	Chr01	44413093	44413093	TRINITY_DN121176_c0_g1_i3	2049	1832.83	FC1	female	-0.035550169	meanmale
TRINITY_DN121303_c0_g1_i1	mrps30	Chr01	Chr01	181453885	181453885	TRINITY_DN121303_c0_g1_i1	1511	1294.83	FC1	female	5.953818899	meanmale
TRINITY_DN121578_c0_g1_i1	LOC100494784	Chr01	Chr01	133867919	133867919	TRINITY_DN121578_c0_g1_i1	2665	2448.83	FC1	female	3.728909443	meanmale
TRINITY_DN121771_c0_g1_i1	LOC100489262	Chr01	Chr01	102542493	102542493	TRINITY_DN121771_c0_g1_i1	3373	3156.83	FC1	female	3.035258611	meanmale
TRINITY_DN121815_c5_g2_i6	gkap1	Chr01	Chr01	121832567	121832567	TRINITY_DN121815_c5_g2_i6	1304	1087.83	FC1	female	5.667746643	meanmale
TRINITY_DN121888_c0_g2_i1	LOC101734987	Chr01	Chr01	125357764	125357764	TRINITY_DN121888_c0_g2_i1	1764	1547.83	FC1	female	4.105170856	meanmale
TRINITY_DN121973_c0_g1_i2	cdc45-like	Chr01	Chr01	145780872	145780872	TRINITY_DN121973_c0_g1_i2	2143	1926.83	FC1	female	4.297922221	meanmale
TRINITY_DN121986_c0_g1_i2	tmem144	Chr01	Chr01	43946688	43946688	TRINITY_DN121986_c0_g1_i2	1504	1287.83	FC1	female	4.4093634	meanmale
TRINITY_DN122269_c0_g4_i1	LOC100491156-like	Chr01	Chr01	132733297	132733297	TRINITY_DN122269_c0_g4_i1	1220	1003.83	FC1	female	1.587934829	meanmale
TRINITY_DN122367_c0_g1_i3	tm9sf1-like	Chr01	Chr01	127058796	127058796	TRINITY_DN122367_c0_g1_i3	2711	2494.83	FC1	female	4.635637652	meanmale
TRINITY_DN122371_c0_g1_i1	brix1	Chr01	Chr01	185997584	185997584	TRINITY_DN122371_c0_g1_i1	1532	1315.83	FC1	female	6.133275263	meanmale
TRINITY_DN122453_c4_g2_i1	ing2	Chr01	Chr01	35947272	35947272	TRINITY_DN122453_c4_g2_i1	1235	1018.83	FC1	female	5.44859019	meanmale
TRINITY_DN122501_c0_g1_i2	sepsecs	Chr01	Chr01	20963028	20963028	TRINITY_DN122501_c0_g1_i2	1943	1726.83	FC1	female	2.989542324	meanmale
TRINITY_DN122514_c0_g2_i1	fnta	Chr01	Chr01	77054648	77054648	TRINITY_DN122514_c0_g2_i1	2115	1898.83	FC1	female	5.398343756	meanmale
TRINITY_DN122582_c0_g1_i1	ubap1	Chr01	Chr01	194575893	194575893	TRINITY_DN122582_c0_g1_i1	2599	2382.83	FC1	female	4.713620971	meanmale
TRINITY_DN122590_c2_g1_i1	zdhhc8	Chr01	Chr01	146921265	146921265	TRINITY_DN122590_c2_g1_i1	4064	3847.83	FC1	female	2.214379992	meanmale
TRINITY_DN122613_c0_g1_i3	ell	Chr01	Chr01	87372118	87372118	TRINITY_DN122613_c0_g1_i3	1861	1644.83	FC1	female	3.454778293	meanmale
TRINITY_DN122615_c0_g2_i1	prdm8	Chr01	Chr01	76503565	76503565	TRINITY_DN122615_c0_g2_i1	2746	2529.83	FC1	female	-2.39907408	meanmale
TRINITY_DN122657_c4_g1_i1	rad17-like	Chr01	Chr01	167485640	167485640	TRINITY_DN122657_c4_g1_i1	2732	2515.83	FC1	female	4.275557302	meanmale
TRINITY_DN122661_c0_g1_i5	afap1	Chr01	Chr01	19754013	19754013	TRINITY_DN122661_c0_g1_i5	3487	3270.83	FC1	female	0.494860659	meanmale
TRINITY_DN122717_c0_g1_i1	dgcr14	Chr01	Chr01	144991316	144991316	TRINITY_DN122717_c0_g1_i1	2170	1953.83	FC1	female	2.68671893	meanmale
TRINITY_DN122722_c0_g1_i2	Xetrov90001095m	Chr01	Chr01	59253600	59253600	TRINITY_DN122722_c0_g1_i2	1430	1213.83	FC1	female	5.355365946	meanmale
TRINITY_DN122809_c1_g1_i1	ndnf	Chr01	Chr01	62015214	62015214	TRINITY_DN122809_c1_g1_i1	3444	3227.83	FC1	female	-0.44560679	meanmale
TRINITY_DN122892_c0_g1_i1	gba3	Chr01	Chr01	22342374	22342374	TRINITY_DN122892_c0_g1_i1	1750	1533.83	FC1	female	-0.472764258	meanmale
TRINITY_DN122897_c0_g1_i1	ctu1	Chr01	Chr01	61090188	61090188	TRINITY_DN122897_c0_g1_i1	1826	1609.83	FC1	female	3.139831046	meanmale
TRINITY_DN122990_c0_g2_i8	ptpn13	Chr01	Chr01	88284804	88284804	TRINITY_DN122990_c0_g2_i8	8356	8139.83	FC1	female	2.234700607	meanmale
TRINITY_DN123016_c0_g3_i2	alkbh2	Chr01	Chr01	138133029	138133029	TRINITY_DN123016_c0_g3_i2	1311	1094.83	FC1	female	2.650241699	meanmale
TRINITY_DN123048_c0_g1_i8	fbxw7-like	Chr01	Chr01	46276113	46276113	TRINITY_DN123048_c0_g1_i8	3549	3332.83	FC1	female	3.505708087	meanmale
TRINITY_DN123093_c0_g2_i1	sez6l	Chr01	Chr01	140069924	140069924	TRINITY_DN123093_c0_g2_i1	4448	4231.83	FC1	female	-3.693634208	meanmale
TRINITY_DN123115_c0_g1_i2	tnfaip8	Chr01	Chr01	162017162	162017162	TRINITY_DN123115_c0_g1_i2	1360	1143.83	FC1	female	5.086485144	meanmale
TRINITY_DN123229_c1_g2_i1	rab33b	Chr01	Chr01	51662085	51662085	TRINITY_DN123229_c1_g2_i1	1732	1515.83	FC1	female	1.957532211	meanmale
TRINITY_DN123320_c0_g3_i7	setd7	Chr01	Chr01	51619256	51619256	TRINITY_DN123320_c0_g3_i7	1979	1762.83	FC1	female	1.961594239	meanmale
TRINITY_DN123323_c0_g4_i2	hgfac	Chr01	Chr01	15854605	15854605	TRINITY_DN123323_c0_g4_i2	2259	2042.83	FC1	female	1.517824496	meanmale
TRINITY_DN123361_c0_g1_i1	ikbkap	Chr01	Chr01	75561155	75561155	TRINITY_DN123361_c0_g1_i1	3015	2798.83	FC1	female	3.844243522	meanmale
TRINITY_DN123377_c2_g3_i1	fem1c-like	Chr01	Chr01	163440311	163440311	TRINITY_DN123377_c2_g3_i1	2551	2334.83	FC1	female	2.839607813	meanmale
TRINITY_DN123525_c0_g1_i5	tesc	Chr01	Chr01	156220320	156220320	TRINITY_DN123525_c0_g1_i5	1851	1634.83	FC1	female	2.136904268	meanmale
TRINITY_DN123601_c1_g5_i1	tctn2	Chr01	Chr01	152326550	152326550	TRINITY_DN123601_c1_g5_i1	2314	2097.83	FC1	female	3.831493997	meanmale
TRINITY_DN123601_c3_g9_i1	dgcr6	Chr01	Chr01	141996554	141996554	TRINITY_DN123601_c3_g9_i1	778	562.039	FC1	female	4.859465312	meanmale
TRINITY_DN123610_c0_g1_i3	psat1	Chr01	Chr01	120348962	120348962	TRINITY_DN123610_c0_g1_i3	2418	2201.83	FC1	female	5.403766794	meanmale
TRINITY_DN123632_c2_g2_i5	tm6sf2	Chr01	Chr01	101904360	101904360	TRINITY_DN123632_c2_g2_i5	1965	1748.83	FC1	female	4.045916119	meanmale
TRINITY_DN123723_c3_g4_i1	med11	Chr01	Chr01	82744308	82744308	TRINITY_DN123723_c3_g4_i1	1675	1458.83	FC1	female	3.978843401	meanmale
TRINITY_DN123729_c0_g2_i2	gstcd-like	Chr01	Chr01	63030620	63030620	TRINITY_DN123729_c0_g2_i2	2879	2662.83	FC1	female	3.328609494	meanmale
TRINITY_DN123831_c0_g1_i1	c4orf32	Chr01	Chr01	58371685	58371685	TRINITY_DN123831_c0_g1_i1	1755	1538.83	FC1	female	2.710619473	meanmale
TRINITY_DN123918_c0_g2_i1	Xetrov90003223m	Chr01	Chr01	157376647	157376647	TRINITY_DN123918_c0_g2_i1	6586	6369.83	FC1	female	-3.326227401	meanmale
TRINITY_DN123920_c0_g1_i1	LOC100485518	Chr01	Chr01	141933296	141933296	TRINITY_DN123920_c0_g1_i1	2095	1878.83	FC1	female	-0.074717272	meanmale
TRINITY_DN124117_c6_g7_i1	fam109a	Chr01	Chr01	154647352	154647352	TRINITY_DN124117_c6_g7_i1	2022	1805.83	FC1	female	2.14973964	meanmale
TRINITY_DN124220_c0_g1_i2	ptar1	Chr01	Chr01	117366486	117366486	TRINITY_DN124220_c0_g1_i2	1858	1641.83	FC1	female	3.58455142	meanmale
TRINITY_DN124317_c0_g1_i6	LOC100145701	Chr01	Chr01	99166688	99166688	TRINITY_DN124317_c0_g1_i6	2184	1967.83	FC1	female	4.689390578	meanmale
TRINITY_DN124342_c3_g1_i3	cbr4	Chr01	Chr01	40971260	40971260	TRINITY_DN124342_c3_g1_i3	919	702.935	FC1	female	4.084811099	meanmale
TRINITY_DN124365_c0_g1_i1	slc25a51	Chr01	Chr01	96555155	96555155	TRINITY_DN124365_c0_g1_i1	2238	2021.83	FC1	female	1.892428777	meanmale
TRINITY_DN124401_c0_g2_i2	klhl2	Chr01	Chr01	42086166	42086166	TRINITY_DN124401_c0_g2_i2	3090	2873.83	FC1	female	2.133231933	meanmale
TRINITY_DN124429_c0_g1_i3	ksr2	Chr01	Chr01	156474255	156474255	TRINITY_DN124429_c0_g1_i3	3835	3618.83	FC1	female	-1.579956195	meanmale
TRINITY_DN124446_c1_g1_i2	anapc7	Chr01	Chr01	154139517	154139517	TRINITY_DN124446_c1_g1_i2	3198	2981.83	FC1	female	3.191587339	meanmale
TRINITY_DN124500_c2_g1_i2	LOC100492505	Chr01	Chr01	82525693	82525693	TRINITY_DN124500_c2_g1_i2	3261	3044.83	FC1	female	4.485711799	meanmale
TRINITY_DN124503_c1_g2_i2	cep44	Chr01	Chr01	39130121	39130121	TRINITY_DN124503_c1_g2_i2	1346	1129.83	FC1	female	4.258660665	meanmale
TRINITY_DN124520_c1_g1_i1	crkl	Chr01	Chr01	144375164	144375164	TRINITY_DN124520_c1_g1_i1	3092	2875.83	FC1	female	4.318375159	meanmale
TRINITY_DN124621_c1_g3_i2	diablo	Chr01	Chr01	153284825	153284825	TRINITY_DN124621_c1_g3_i2	984	767.886	FC1	female	5.59150924	meanmale
TRINITY_DN124663_c0_g1_i1	arrdc2	Chr01	Chr01	80069097	80069097	TRINITY_DN124663_c0_g1_i1	2978	2761.83	FC1	female	3.779150994	meanmale
TRINITY_DN124667_c1_g2_i1	uba6-like	Chr01	Chr01	89011589	89011589	TRINITY_DN124667_c1_g2_i1	4437	4220.83	FC1	female	2.676670568	meanmale
TRINITY_DN124739_c1_g3_i5	homer1	Chr01	Chr01	163878577	163878577	TRINITY_DN124739_c1_g3_i5	2700	2483.83	FC1	female	0.419060127	meanmale
TRINITY_DN124906_c0_g1_i2	acad10	Chr01	Chr01	154392658	154392658	TRINITY_DN124906_c0_g1_i2	3659	3442.83	FC1	female	1.057063681	meanmale
TRINITY_DN124922_c6_g7_i1	ccrn4l	Chr01	Chr01	51728403	51728403	TRINITY_DN124922_c6_g7_i1	1155	938.835	FC1	female	4.310987001	meanmale
TRINITY_DN124985_c4_g2_i1	orai2	Chr01	Chr01	153669594	153669594	TRINITY_DN124985_c4_g2_i1	1347	1130.83	FC1	female	1.854749831	meanmale
TRINITY_DN125015_c1_g1_i1	znf131	Chr01	Chr01	182108399	182108399	TRINITY_DN125015_c1_g1_i1	2495	2278.83	FC1	female	3.607234021	meanmale
TRINITY_DN125066_c0_g1_i1	pgrmc2	Chr01	Chr01	54746200	54746200	TRINITY_DN125066_c0_g1_i1	2739	2522.83	FC1	female	5.326766094	meanmale
TRINITY_DN125103_c0_g1_i3	caps	Chr01	Chr01	82777390	82777390	TRINITY_DN125103_c0_g1_i3	1761	1544.83	FC1	female	1.305146768	meanmale
TRINITY_DN125267_c4_g1_i3	vmac	Chr01	Chr01	82768395	82768395	TRINITY_DN125267_c4_g1_i3	1744	1527.83	FC1	female	1.070046365	meanmale
TRINITY_DN125337_c3_g1_i1	skiv2l2-like	Chr01	Chr01	178712368	178712368	TRINITY_DN125337_c3_g1_i1	3457	3240.83	FC1	female	4.566066771	meanmale
TRINITY_DN125443_c1_g1_i4	fam53a	Chr01	Chr01	13456936	13456936	TRINITY_DN125443_c1_g1_i4	2738	2521.83	FC1	female	4.361273077	meanmale
TRINITY_DN125463_c5_g2_i5	abcg2	Chr01	Chr01	69819146	69819146	TRINITY_DN125463_c5_g2_i5	2928	2711.83	FC1	female	3.320280263	meanmale
TRINITY_DN125463_c6_g3_i1	nop14	Chr01	Chr01	16332469	16332469	TRINITY_DN125463_c6_g3_i1	3016	2799.83	FC1	female	4.092364892	meanmale
